title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[3] Number of Jobs Started","[32] Number of Jobs Started","[16] Number of Jobs Started","[10] Number of Jobs Started","[5] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[14] Number of Jobs Started","[9] Number of Jobs Started","[13] Number of Jobs Started","[7] Number of Jobs Started","[24] Number of Jobs Started","[18] Number of Jobs Started","[15] Number of Jobs Started","[20] Number of Jobs Started","[30] Number of Jobs Started","[11] Number of Jobs Started","[48] Number of Jobs Started","[17] Number of Jobs Started","[19] Number of Jobs Started","[64] Number of Jobs Started"
2012-02-22,1742,99,23,14,4,14,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-23,1966,97,90,11,4,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-24,1267,93,182,20,2,8,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-25,1519,92,7,31,2,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-26,1483,108,96,28,13,41,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-27,2458,81,51,4,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-28,1712,80,95,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-29,2178,124,39,11,16,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,590,87,30,28,26,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-02,717,59,7,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-03,933,54,14,6,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,1234,66,12,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-05,996,97,32,14,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,1234,78,52,19,5,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,3052,66,23,18,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-08,2526,65,25,37,5,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,1339,97,48,58,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,860,57,2,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,682,13,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,1351,90,27,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,2981,72,7,66,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,1777,47,4,18,2,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-15,2162,98,32,59,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,1277,150,12,45,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,1617,55,14,17,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,2705,45,9,66,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,2116,162,24,50,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2012-03-20,1436,169,17,87,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,777,83,8,49,5,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,2058,141,18,83,4,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-23,1964,71,14,37,25,3,7,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
2012-03-24,1077,36,5,4,49,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-25,641,39,16,15,46,0,4,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2012-03-26,1091,83,18,34,50,0,4,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
2012-03-27,1190,90,13,14,28,3,4,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2012-03-28,1325,76,35,27,44,3,2,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0
2012-03-29,287,91,31,16,43,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-30,803,78,14,16,42,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,1017,65,27,9,83,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,2002,61,47,7,71,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012-04-02,1634,105,38,9,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-03,1472,141,25,22,34,17,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-04,1332,110,35,79,37,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-05,1096,111,27,80,19,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-06,959,101,20,17,73,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-04-07,190,54,13,14,51,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-08,1270,88,22,6,56,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-09,853,138,49,10,44,2,3,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,1215,66,23,8,41,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-11,1717,171,9,18,40,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,1167,100,5,31,39,2,2,1,1,1,1,1,3,1,1,0,0,1,0,0,1,0,0,0,0
2012-04-13,333,80,63,25,33,1,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2012-04-14,216,58,8,15,28,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0
2012-04-15,236,70,5,11,51,0,1,1,1,2,2,1,2,1,1,0,3,1,0,0,1,0,1,0,0
2012-04-16,624,149,10,14,34,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,402,98,36,3,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-18,495,127,38,14,21,8,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-19,562,154,5,8,15,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-20,521,88,12,18,30,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-21,378,23,20,9,57,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-22,397,76,37,16,55,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-23,778,112,24,4,19,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-24,564,73,49,21,3,8,4,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-04-25,687,90,14,17,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-26,567,123,22,17,6,5,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-27,933,121,38,15,5,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-28,1206,144,48,7,3,1,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-29,1217,116,30,15,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-30,708,700,42,16,5,0,6,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2012-05-01,1291,222,58,25,2,3,11,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
2012-05-02,1452,134,69,15,9,32,17,0,2,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
2012-05-03,1292,110,119,26,5,11,5,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-04,878,22,10,30,0,3,1,0,1,2,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0
2012-05-05,2132,21,9,13,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-06,1322,17,4,5,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-07,596,272,38,27,3,5,9,48,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2012-05-08,830,61,43,17,3,3,14,5,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-05-09,1646,83,61,87,11,2,10,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-10,2098,148,50,10,11,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-11,657,132,118,13,32,0,5,73,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-12,355,51,17,15,10,0,12,82,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-13,511,80,7,30,32,0,5,198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-14,1006,106,9,19,38,3,4,10,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-15,1923,153,79,21,27,3,6,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-16,601,48,54,20,6,3,5,69,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-17,1217,141,34,30,40,0,4,62,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-18,603,88,27,21,16,2,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-19,1354,91,27,11,10,15,9,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-20,516,70,41,31,1,15,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-21,282,96,29,28,1,13,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-22,601,110,42,15,0,37,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-23,994,97,29,9,5,18,7,0,2,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-05-24,764,87,14,6,1,27,2,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2012-05-25,2938,97,28,7,1,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-26,920,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-27,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-28,2230,85,12,7,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-29,4719,144,33,37,1,16,5,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-05-30,3359,89,34,159,16,165,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-31,3248,89,15,108,30,4,19,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,5634,298,21,9,16,1,12,0,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-06-02,2606,152,12,5,1,17,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-03,2398,100,5,7,6,21,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-04,1991,144,20,12,11,32,14,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-05,1725,392,14,11,1,20,13,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-06,698,205,11,9,6,0,7,2,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-06-07,698,249,16,6,1,0,23,24,3,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-08,393,70,13,6,6,19,4,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-09,1006,173,6,5,8,23,8,19,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-10,2087,131,8,6,2,30,7,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-11,1326,128,28,33,2,19,18,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-12,1585,126,37,26,7,2,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-13,1823,99,11,21,7,0,6,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-14,7126,128,25,12,5,0,11,1,108,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-15,3233,154,36,3,2,2,6,67,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-16,4573,61,5,2,2,0,4,95,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-17,5341,69,7,11,3,0,11,50,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-18,5761,138,36,8,5,4,9,86,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-19,701,102,45,7,5,2,6,43,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-20,2896,94,55,8,1,1,4,7,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-21,636,152,33,23,4,3,14,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-22,754,251,20,15,4,5,5,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-23,415,158,6,19,2,2,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-24,435,153,5,15,2,0,36,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-25,378,159,9,6,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-26,867,213,9,9,5,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-27,1086,81,32,6,21,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-28,838,97,48,9,9,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-29,878,73,15,9,8,3,4,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-30,1005,134,9,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,737,23,2,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-02,1779,134,27,9,5,1,7,0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-03,1395,187,11,16,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-04,643,111,8,3,5,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-05,763,128,12,6,1,2,5,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-06,565,132,20,12,0,1,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-07,511,213,27,10,4,7,9,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-08,348,211,28,19,0,5,11,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-09,571,116,48,12,2,8,7,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-10,1035,179,50,20,9,7,9,1,14,12,2,0,1,0,0,1,1,1,2,0,0,0,0,0,0
2012-07-11,1096,162,13,3,8,32,9,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-12,635,78,31,4,3,15,5,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-13,991,106,61,9,9,25,6,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-07-14,325,74,26,3,6,21,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-15,196,153,14,7,9,19,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-16,386,135,24,3,9,15,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-17,413,81,36,13,5,0,10,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2012-07-18,1189,87,30,12,4,4,12,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-07-19,3313,137,29,6,2,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-20,2279,119,23,12,0,4,7,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-21,584,133,7,6,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-22,670,73,29,3,5,3,4,0,2,2,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-07-23,422,261,25,11,2,4,12,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-24,359,176,12,13,1,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-25,357,276,89,16,1,11,13,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-26,414,143,20,8,2,3,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-27,580,247,24,6,4,4,8,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-28,635,77,43,4,16,3,2,0,0,1,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2012-07-29,810,61,9,1,9,3,1,0,0,6,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
2012-07-30,1282,113,12,1,3,1,2,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-31,2467,86,17,9,2,16,4,0,0,2,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0
---------
