Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[10] Number of Jobs Started,[8] Number of Jobs Started,[12] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[16] Number of Jobs Started,[20] Number of Jobs Started,[5] Number of Jobs Started,[32] Number of Jobs Started,[72] Number of Jobs Started,[13] Number of Jobs Started,[30] Number of Jobs Started,[40] Number of Jobs Started,[24] Number of Jobs Started,[64] Number of Jobs Started,[60] Number of Jobs Started,[7] Number of Jobs Started,[25] Number of Jobs Started,[9] Number of Jobs Started,[43] Number of Jobs Started,[50] Number of Jobs Started,[70] Number of Jobs Started,[45] Number of Jobs Started,[22] Number of Jobs Started,[28] Number of Jobs Started,[15] Number of Jobs Started,[33] Number of Jobs Started,[48] Number of Jobs Started,[62] Number of Jobs Started,[36] Number of Jobs Started,[14] Number of Jobs Started,[58] Number of Jobs Started,[11] Number of Jobs Started,[34] Number of Jobs Started,[53] Number of Jobs Started,[21] Number of Jobs Started,[29] Number of Jobs Started,[23] Number of Jobs Started,[41] Number of Jobs Started,[57] Number of Jobs Started,[61] Number of Jobs Started,[65] Number of Jobs Started,[49] Number of Jobs Started,[69] Number of Jobs Started,[37] Number of Jobs Started,[31] Number of Jobs Started,[17] Number of Jobs Started,[54] Number of Jobs Started,[59] Number of Jobs Started,[27] Number of Jobs Started,[56] Number of Jobs Started,[18] Number of Jobs Started,[52] Number of Jobs Started,[55] Number of Jobs Started,[68] Number of Jobs Started,[67] Number of Jobs Started,[19] Number of Jobs Started,[42] Number of Jobs Started,[44] Number of Jobs Started,[39] Number of Jobs Started,[35] Number of Jobs Started,[63] Number of Jobs Started,[47] Number of Jobs Started,[66] Number of Jobs Started,[26] Number of Jobs Started,[46] Number of Jobs Started,[51] Number of Jobs Started,[71] Number of Jobs Started,[38] Number of Jobs Started
2015-05-21,402,308,67,13,17,14,30,3,25,8,0,0,0,0,5,6,6,1,14,0,0,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,662,239,72,19,42,2,5,1,22,3,2,0,0,0,2,2,3,0,6,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,279,82,44,33,29,11,46,2,3,0,2,0,0,0,4,0,7,0,6,1,0,0,0,5,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,168,88,28,75,53,8,12,0,2,0,2,0,0,0,4,2,2,0,5,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,320,195,51,43,20,13,23,0,0,0,3,0,1,0,12,0,0,0,13,0,0,0,1,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,482,232,68,51,12,17,44,0,6,13,4,0,0,0,6,7,1,0,12,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,592,197,60,48,8,1,43,1,42,18,4,0,17,0,12,1,6,2,5,0,2,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,575,335,47,33,6,3,49,2,6,8,4,0,46,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,648,280,56,28,26,1,42,4,6,2,3,1,10,0,4,0,0,0,3,0,1,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,351,170,37,12,6,5,21,0,3,0,0,0,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,533,148,38,31,20,14,8,1,2,0,4,7,16,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,756,216,87,25,23,12,44,0,6,9,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,929,240,75,21,22,272,73,4,7,18,4,4,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,1218,371,53,36,56,197,27,16,28,12,7,6,0,0,0,5,0,6,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,751,318,155,34,40,54,31,5,13,12,3,1,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,843,327,108,56,26,2,25,14,5,9,13,4,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,432,225,124,21,38,5,39,31,7,3,27,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,606,144,76,26,27,4,13,26,8,0,41,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,703,172,116,37,48,10,44,78,42,0,95,7,2,2,0,2,5,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,675,75,162,16,45,11,6,31,34,2,9,4,12,0,3,4,3,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,674,89,204,28,112,7,2,62,40,3,21,8,16,42,4,7,1,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,887,126,286,25,30,6,34,55,3,6,46,3,1,1,4,12,2,0,0,20,0,3,0,0,0,0,4,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,461,124,200,50,26,11,44,11,20,12,4,1,2,39,10,10,0,6,0,4,0,4,0,0,0,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,457,9,161,31,9,3,1,1,2,3,2,1,0,50,7,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,495,136,184,19,9,9,6,6,1,0,25,2,1,22,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,776,85,611,402,22,10,13,26,13,5,41,1,10,18,2,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,663,48,326,83,31,18,9,13,13,8,7,0,3,2,0,0,0,3,0,2,8,0,1,0,8,0,0,0,0,8,0,8,0,2,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,360,44,171,40,37,36,6,28,17,2,0,5,5,21,4,1,5,17,5,5,6,3,1,2,7,5,2,0,1,11,4,4,3,3,11,4,8,8,2,1,9,3,7,6,2,3,4,3,3,2,2,8,2,0,4,1,4,0,4,5,5,2,0,4,3,3,2,4,1,2,2,1
2015-06-18,468,47,212,51,23,25,41,37,10,6,6,9,8,1,4,3,14,21,3,5,5,7,7,5,2,7,1,10,7,2,8,2,4,5,6,4,5,4,4,5,5,6,2,3,4,5,4,4,0,1,1,4,2,3,3,1,4,2,4,6,4,2,10,2,5,4,4,2,5,4,1,2
2015-06-19,625,115,202,37,42,17,36,28,14,4,3,5,2,37,1,0,56,2,0,0,1,0,0,2,3,4,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,560,48,133,17,16,5,1,16,6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2015-06-21,411,50,114,29,46,2,2,19,7,5,7,0,0,17,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,646,30,99,75,23,16,18,11,9,7,7,3,8,4,1,4,1,2,0,0,4,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,907,98,108,54,30,17,8,12,11,4,19,3,12,1,1,2,1,1,4,0,0,0,0,5,9,3,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,794,102,85,67,28,17,4,23,18,58,4,16,5,0,1,1,1,1,2,0,11,0,0,5,2,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,636,105,76,39,47,12,6,27,10,35,1,22,12,15,0,0,7,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,2266,55,34,98,23,16,2,13,15,28,13,1,2,0,0,0,1,4,0,1,3,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,1181,35,69,33,20,8,33,12,11,13,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,3702,13,31,89,25,3,5,8,12,23,8,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,3881,66,115,27,43,4,7,13,9,25,0,12,1,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,781,54,147,76,38,16,30,12,7,31,16,0,5,14,0,0,2,0,0,3,14,14,0,0,1,14,0,0,0,14,0,0,0,0,0,0,0,14,14,14,0,14,14,14,14,14,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,10553,75,471,22,21,71,1,15,7,37,1,1,5,0,8,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,3620,189,326,2,27,3,21,15,8,32,2,19,7,1,2,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,306,240,152,8,7,46,5,8,5,24,0,4,3,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,306,58,66,8,37,1,3,13,23,13,0,35,0,1,4,0,2,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,1377,33,96,14,61,1,5,11,5,7,5,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,10023,29,343,9,36,5,11,33,4,10,0,4,1,5,0,2,1,2,0,0,0,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,9946,121,434,8,58,3,10,21,2,14,1,0,0,1,1,3,0,1,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,3046,151,357,22,84,13,32,30,6,12,15,3,3,2,0,5,0,0,0,13,0,7,0,0,1,1,9,2,1,0,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,789,108,380,15,45,9,28,12,6,15,3,1,12,1,1,8,0,1,0,5,0,2,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,633,147,516,19,32,15,18,9,15,21,0,1,2,0,17,2,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,305,160,110,48,24,2,8,9,3,23,3,1,0,0,22,1,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,237,171,302,58,30,4,9,7,25,9,2,6,1,0,13,4,13,8,0,0,13,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,2243,153,421,42,29,14,17,16,11,12,6,13,6,0,8,0,7,5,0,0,1,1,6,0,0,0,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,1764,168,97,41,31,25,10,12,14,8,0,12,3,0,7,16,3,0,0,0,3,1,5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,952,93,510,16,16,9,11,19,27,2,0,12,0,0,4,14,0,0,0,2,1,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,879,253,702,9,35,34,18,6,8,14,5,2,1,0,6,9,3,0,0,0,3,8,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,1184,165,78,33,15,53,9,13,8,5,1,10,0,0,5,2,3,2,0,1,0,1,3,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,613,86,21,42,20,5,3,9,3,7,2,9,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,246,358,46,42,19,9,7,16,9,1,0,11,1,0,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,2100,172,62,41,31,19,3,13,8,0,1,12,1,0,12,1,0,0,0,2,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,3319,260,22,8,18,56,3,13,8,5,1,1,1,0,8,2,0,0,1,3,7,0,1,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,2860,261,21,32,13,6,22,11,2,0,1,2,0,0,9,0,2,1,0,0,3,0,7,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,518,218,48,25,26,12,27,17,9,3,7,2,3,0,18,1,0,4,0,0,5,0,4,2,4,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,2132,176,401,21,34,12,17,2,8,9,1,0,1,0,14,4,6,4,1,3,0,8,5,0,0,1,2,0,5,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,796,106,38,69,24,9,12,19,18,3,13,11,3,0,4,2,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,562,137,76,71,25,15,3,9,5,4,13,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,877,257,111,34,37,18,7,29,11,7,12,9,1,0,4,0,2,0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28,1321,272,316,16,70,73,19,23,10,4,11,14,1,0,1,4,1,3,1,2,0,0,1,2,0,0,12,2,5,0,1,7,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0
2015-07-29,1191,521,95,22,43,32,5,13,12,6,7,14,9,0,1,28,4,3,3,0,3,0,3,2,5,0,4,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
