title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[16] Number of Jobs Started","[32] Number of Jobs Started","[3] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[18] Number of Jobs Started","[10] Number of Jobs Started","[5] Number of Jobs Started","[9] Number of Jobs Started","[14] Number of Jobs Started","[24] Number of Jobs Started","[28] Number of Jobs Started","[17] Number of Jobs Started","[13] Number of Jobs Started","[7] Number of Jobs Started","[15] Number of Jobs Started","[20] Number of Jobs Started","[22] Number of Jobs Started","[19] Number of Jobs Started","[30] Number of Jobs Started","[21] Number of Jobs Started","[26] Number of Jobs Started","[11] Number of Jobs Started","[25] Number of Jobs Started"
2012-08-11,129,87,0,0,3,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,89,98,0,1,3,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,449,213,15,6,9,1,5,5,5,0,1,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0
2012-08-14,396,131,12,1,7,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0
2012-08-15,483,80,7,5,3,4,4,2,3,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-08-16,915,92,22,7,11,3,4,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,975,113,10,6,4,0,5,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,863,38,13,2,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,512,43,31,2,9,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-20,391,116,21,6,1,8,10,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-21,387,90,44,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-22,377,35,63,20,3,8,8,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-23,518,163,25,6,6,2,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-24,337,143,13,22,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,1723,48,2,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,351,40,5,7,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,596,92,35,3,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,704,92,10,11,3,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,547,197,24,17,0,0,14,14,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-08-30,1215,149,11,9,1,0,11,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,979,79,10,17,0,0,15,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,1034,27,39,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,480,10,10,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,387,62,4,6,0,192,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,717,97,9,3,1,8,9,0,1,0,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,1224,108,18,6,10,119,20,10,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-06,2799,88,28,84,2,14,15,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,3642,96,39,291,0,2,8,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-08,254,30,6,73,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,216,55,6,98,3,32,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-10,2741,118,41,48,11,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-11,3199,114,29,151,1,8,3,13,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-12,2987,87,34,161,0,13,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-13,3118,111,28,25,2,21,4,6,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,3083,80,28,5,5,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-15,5231,37,129,5,5,7,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-09-16,1374,66,14,3,0,0,1,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,3539,71,13,28,0,0,11,2,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-09-18,3209,143,23,76,1,4,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,4415,106,50,5,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-20,2954,96,86,5,0,1,17,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-21,1627,60,40,13,2,3,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-22,253,30,55,88,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,531,97,36,54,0,1,9,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,404,213,101,0,2,2,3,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-25,2849,76,30,39,0,1,6,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-26,518,89,65,102,4,0,2,1,2,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-27,518,99,18,2,4,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-28,878,158,49,10,9,3,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-29,227,61,17,11,0,5,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,274,31,10,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,613,95,50,8,16,0,9,4,3,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02,1088,93,27,5,13,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,786,67,11,10,16,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2012-10-04,1881,286,47,56,32,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,422,44,48,42,26,0,12,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-10-06,639,20,2,38,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,932,58,5,40,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,4314,93,9,57,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,4618,129,18,40,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,2852,178,28,14,4,2,10,0,1,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,1626,77,24,20,9,1,5,1,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-12,605,96,41,22,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2012-10-13,532,39,6,13,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-10-14,273,32,10,12,2,6,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15,1446,69,16,22,2,5,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,870,103,4,8,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17,993,156,11,18,5,0,5,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-18,1214,136,19,14,6,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,1317,99,15,17,2,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,1051,55,13,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,157,22,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,683,58,12,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-23,2994,131,12,10,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-24,2520,104,6,12,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-25,2662,79,6,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
2012-10-26,1252,80,6,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27,361,36,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28,1078,29,33,0,1,5,4,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29,2081,66,41,1,1,1,3,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-10-30,1013,157,19,2,2,1,3,1,3,16,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2012-10-31,2459,173,11,4,3,0,4,5,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2012-11-01,1398,150,25,15,13,0,13,2,1,5,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0
2012-11-02,3774,86,48,18,6,0,0,0,7,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
2012-11-03,2428,34,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-04,4520,195,430,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-05,2065,64,24,10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-06,4042,99,15,4,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-07,2506,73,33,4,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-08,1079,105,18,5,2,1,2,2,1,0,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2012-11-09,2363,79,48,0,3,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
2012-11-10,1065,66,27,0,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,781,47,56,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-12,1520,80,44,15,2,2,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-13,2704,118,38,7,7,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-14,3219,108,38,25,8,0,6,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-15,1188,124,26,14,14,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-16,655,74,32,10,5,2,8,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,1182,31,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-18,608,50,16,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-19,1552,130,45,5,1,1,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-20,1548,106,38,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-21,2207,109,41,3,4,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-22,1761,67,29,0,0,10,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-23,533,67,27,2,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-24,334,62,270,3,0,2,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-25,1109,49,233,10,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-26,1229,253,117,1,1,1,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-27,2131,175,23,4,3,1,9,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-28,2133,91,10,4,1,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-29,3231,95,11,2,4,12,14,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
2012-11-30,433,124,11,7,9,4,8,0,0,3,0,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
2012-12-01,943,84,15,14,3,3,16,0,1,3,2,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-12-02,752,96,4,4,0,11,9,6,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-12-03,1273,153,5,1,4,7,11,2,1,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2012-12-04,1873,132,11,2,10,4,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-05,2481,160,8,18,2,2,7,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-06,976,163,10,2,4,0,12,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07,4169,124,12,2,10,1,15,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-08,3368,110,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-09,1568,74,3,2,7,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-10,3947,140,34,0,4,31,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-11,7495,126,13,4,3,4,9,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-12,6721,107,15,8,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-13,2732,83,10,7,9,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,3297,131,4,6,11,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-15,216,74,3,1,95,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-16,3747,52,2,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-17,1466,112,7,6,3,0,1,6,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-18,1038,117,11,2,2,6,1,2,18,2,4,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2012-12-19,685,93,3,7,6,3,0,7,0,5,3,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2012-12-20,511,92,3,130,6,12,0,7,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-21,387,60,5,117,13,24,1,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,387,84,3,6,0,0,0,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-23,1282,96,3,28,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-24,1121,68,2,4,0,5,2,3,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-25,205,39,3,1,1,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-12-26,594,58,2,81,0,0,0,4,4,0,1,1,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-12-27,858,47,3,75,3,3,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-28,239,68,6,20,1,5,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-29,170,51,5,24,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,105,59,4,55,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,393,63,6,33,1,1,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,705,39,2,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,2452,112,10,9,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,880,148,8,8,3,10,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,505,99,7,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-05,359,46,2,11,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-01-06,1273,80,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-07,2842,123,16,4,13,0,3,6,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-08,2011,107,21,1,3,0,11,11,1,0,1,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2013-01-09,2843,134,11,38,14,2,3,3,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1069,94,10,100,19,0,9,5,4,0,20,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-11,1966,150,15,2,10,0,7,11,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-12,540,25,3,1,10,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-13,789,55,9,3,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,759,103,3,2,2,0,4,15,0,0,3,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1029,129,13,1,4,3,6,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,1303,100,15,6,6,0,0,12,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,686,136,25,4,10,0,0,7,0,0,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,894,89,10,2,4,0,8,9,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,635,42,11,6,1,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,604,49,15,2,2,0,5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-21,1032,107,6,2,15,1,1,6,0,7,0,0,2,0,3,0,0,0,0,0,0,4,0,0,2,1,0,0
2013-01-22,1018,83,42,4,5,0,4,5,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2013-01-23,1679,139,14,12,6,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,2102,97,31,25,6,1,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,1340,70,16,11,19,1,0,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,790,60,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,753,95,8,2,2,0,0,7,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,1146,150,21,2,1,0,5,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-29,1010,114,9,10,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,1363,143,8,33,38,5,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-31,462,218,8,6,7,0,7,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
