Day,[PSC BRIDGES LARGE] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[CCT LSU SUPERMIC] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job
2016-06-01,0,6.15668526,0,1.70883636,1.47786442,4.25141842,2.82819692,4.50406316,1.40483216,0,1.06984427,0
2016-06-02,0,5.78091310,0,1.82429787,3.70535833,3.93970172,2.57615993,2.35340024,0.66886276,0,0.69771916,0
2016-06-03,0,6.07770375,0,2.49183898,2.07246923,3.09614120,3.42390123,4.87914163,1.21319147,0,0.57987569,0
2016-06-04,0,5.92374720,0,4.72931333,7.01418654,3.32949034,4.48749499,5.18433050,4.78612197,0,0.81460812,0
2016-06-05,0,5.16905808,0,2.67675000,2.01698857,4.24260508,3.82910228,2.82399413,3.42955043,0,1.05971901,0
2016-06-06,0,5.35358115,0,1.28326000,2.13041383,4.75799094,4.20371808,3.06805137,2.65208766,0,1.11636441,0
2016-06-07,0,4.71828787,0,0.95624000,2.36290816,3.76937632,3.79634033,3.46032342,2.42344732,0,0.82910041,0
2016-06-08,0,6.27799148,0,1.63376842,1.24628485,5.92856556,4.41100180,5.43287194,3.45012473,0,0.53295755,0
2016-06-09,0,8.01841469,0,2.66107222,1.18771458,5.33836316,4.79917137,4.18611267,5.43313955,0,0.41832796,0
2016-06-10,0,7.47729071,0,1.49500526,10.01294783,5.17103023,3.49701121,5.14849311,6.23992381,0,0.85661970,0
2016-06-11,0,11.78113271,0,0.69203333,4.48449167,5.18648710,4.61652723,8.73126924,3.37411250,0,0.46785404,0
2016-06-12,15.24500000,9.09990689,0,1.48047143,2.09449259,6.58251667,3.91599546,3.49464671,4.12653952,0,0.89044053,0
2016-06-13,24.00000000,5.01585891,0,2.77438000,0.98252500,5.57525431,3.06690944,2.35288312,4.86819144,0,0.52820451,0
2016-06-14,24.00000000,5.81882652,0,1.04240000,8.72982826,5.72441268,3.99927688,3.96782217,4.13768416,0,0.59543453,0
2016-06-15,24.00000000,5.56679702,0,1.50894737,3.15109595,4.71638261,4.35382282,3.75324749,0.81491872,0,0.58224614,0
2016-06-16,24.00000000,4.65640761,0,2.36438125,6.20275248,4.18903697,4.26200777,3.16265503,0.49723552,0,0.59003471,0
2016-06-17,24.00000000,5.07594908,0,1.29978235,3.42535797,4.04650346,3.13449295,2.02110369,1.66872466,0,0.64143284,0
2016-06-18,24.00000000,10.17614703,0,1.99870000,4.73736800,4.76577025,4.03514293,1.83097587,4.59073950,0,0.68278663,0
2016-06-19,24.00000000,12.73844674,0,0.03156667,3.56555833,5.33200566,4.54664362,5.11146260,0.96374822,0,0.54201272,0
2016-06-20,24.00000000,3.28377782,8.73856000,1.43721000,2.76367262,4.61219254,3.23641618,1.92966029,0.66536070,0,0.42985314,0
2016-06-21,24.00000000,4.99453182,5.56119485,1.93575556,2.25720032,6.04316505,3.81400099,2.93153520,0.90562862,0,0.57617171,0
2016-06-22,22.43640000,7.05210010,6.04503462,1.99718333,2.92680704,7.45636737,3.12037423,1.92503803,1.64123451,0,0.71503549,0
2016-06-23,0,6.81228958,5.57695530,0.90839808,4.69485741,5.11239000,3.93485970,2.31817590,1.49656900,0,0.60754942,0
2016-06-24,1.23926667,4.34685468,3.28338280,0.75760435,7.30507568,6.43671508,4.08218334,2.14007284,1.89911394,0,0.72980291,0
2016-06-25,3.03853000,8.52510016,3.93090280,6.76995000,12.44945349,4.22783246,6.05904567,2.16199641,2.88866915,0,0.51003752,0
2016-06-26,6.30260000,6.05569091,2.44978367,3.24793571,8.91707031,5.04106386,4.56501941,4.37959183,0.69069568,0,0.47418940,0
2016-06-27,9.19332500,3.94354352,4.76734559,1.87120000,4.10813182,6.37000761,3.57471202,3.22754975,0.57790800,0.03890000,0.46067936,0
2016-06-28,6.53930000,5.28874509,5.69811625,1.41360345,6.26359219,5.56611786,3.83773297,4.51257902,0.55831743,0,1.23352356,0
2016-06-29,2.78064444,4.15101341,4.99278967,0.67256316,2.79138241,4.83804019,4.06186482,3.67863438,0.83244275,0,0.76457039,0
2016-06-30,3.07149091,5.38659584,6.98843695,1.17050938,3.71194177,6.66449167,3.68449064,3.50774144,2.86271944,0,1.19462438,0
2016-07-01,4.21341000,6.38667513,7.75758000,1.89729474,2.82320824,5.53474040,3.49537488,1.94529886,0,0.96030000,1.27757110,0
2016-07-02,3.27002941,9.28889130,14.65527913,1.74465333,4.51825238,2.74226857,5.79166587,2.55282820,0,0.13065455,1.22497590,0
2016-07-03,5.50381579,7.89896164,8.58602241,3.41025000,4.25179118,2.30481176,4.42322688,2.62137182,0,0,1.22146403,0
2016-07-04,5.50489000,5.92277974,5.09164894,0.19762500,6.68010127,5.57660256,4.68463691,3.77065679,0,0,1.19292728,0
2016-07-05,12.35375000,3.37089838,15.00153105,0.53484375,1.51828824,3.50148193,4.23862642,2.10191563,0,0,1.27869150,0
2016-07-06,24.00000000,5.41431089,13.38921733,1.78512667,0.15440000,6.36387179,4.88104420,3.06331745,0,0,1.35389743,0
2016-07-07,24.00000000,7.37158482,0,2.12642353,0,5.74957413,4.04337998,3.33576857,0,0,1.39372690,0
2016-07-08,2.66287500,6.85784033,5.71455765,3.68131250,0,5.42232037,4.28068224,3.41706371,0,0,1.38989154,0
2016-07-09,14.96603333,9.58125055,7.62865529,16.39210000,0,6.58660244,6.08694053,1.81695706,0,0,1.37655126,0
2016-07-10,10.33018000,8.70855214,7.46122798,1.26504839,0,7.53107589,5.21228897,1.44433469,0,0,1.24414191,0
2016-07-11,2.49006786,6.40812720,6.37837753,5.04471250,0,4.85762871,3.04018323,2.92165387,0,0,1.27141556,0
2016-07-12,6.66365862,7.80000297,4.09398336,2.70112692,0,5.51937712,3.62935683,3.02530100,0,0.00353333,1.23824376,0
2016-07-13,8.14877273,5.57024638,4.44088179,2.20819167,0,4.16139394,3.24374591,2.61219134,0,0,1.49691493,0
2016-07-14,5.99170000,5.66868634,4.73720855,1.59718889,0,4.44611277,3.63436303,3.05798329,0,0,2.11512731,0
2016-07-15,3.13812105,7.07230050,4.95257294,3.78763333,0,4.72162065,4.29424962,2.35467685,0,0,1.52696149,0
2016-07-16,8.30068182,9.60461730,3.21542259,1.45542857,0,4.90176809,4.35637432,2.61197926,0,0,1.28065619,0
2016-07-17,3.78142857,9.03806264,8.35836687,0,0,6.58686026,3.89553554,2.21826876,0,0,1.25466602,0
2016-07-18,8.18902000,6.29663611,7.68522765,7.22445000,0,4.94026912,1.82768064,2.72528718,0,0,1.26928741,0
2016-07-19,4.30225238,6.79689489,2.48087523,4.34735000,0,2.85962450,0.94140622,14.80668054,0,0,0.62713723,0
2016-07-20,3.76372333,4.56157617,4.91499593,4.61483333,0,2.86840094,3.67893337,4.68631526,0,0,0.79332994,0
2016-07-21,3.34731579,3.65208879,6.45991940,8.00308000,4.25748000,5.09711000,2.40842860,2.67461196,0,0,1.31522325,0
2016-07-22,2.25033913,5.73645103,10.77845880,4.03428000,3.12799111,4.56227568,0.91648358,4.07467905,0,0,0.91699320,0
2016-07-23,1.77368000,6.45164265,8.72587129,1.69409333,2.71022889,5.09053659,3.31943715,2.63783847,0,0,0.94659557,0
2016-07-24,0.32217273,6.69247877,6.89580843,24.00000000,3.11259158,6.90624111,5.09912638,2.58948355,0,0,1.21743474,0
2016-07-25,6.16100667,4.79550711,5.68274068,24.00000000,0.74915413,5.28649231,2.51244161,2.73802516,0,0,1.17527448,0
2016-07-26,17.33013725,7.16375301,4.19930772,10.10890000,0.98548715,6.42814516,1.89809924,2.47316654,0,0,1.17340115,0
2016-07-27,9.31579333,7.72637322,11.40165335,7.31035000,1.14916305,4.99665224,1.51907530,2.95883230,0,0,1.07978918,0
2016-07-28,16.22053469,6.16427459,5.76048966,21.68780000,2.88412896,4.64186463,3.04524716,1.67092399,0,0.00000000,1.06019480,0
2016-07-29,0,5.35512471,3.09936697,2.41909000,4.96007867,6.16906133,2.72376268,2.53433391,0,0.10580000,0.93207242,0
2016-07-30,7.83540000,8.44749727,14.31350385,24.00000000,1.18160449,4.82883051,5.37848375,2.88671476,0,0,1.14844196,0
2016-07-31,5.86612500,12.48949572,2.63326191,16.78265000,0.74933357,4.50661642,4.31863190,3.57776974,0,4.79903333,1.29637884,0
