Day,[SDSC GORDON] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[CCT LSU SUPERMIC] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job
2015-08-21,7.49032945,0,6.54520028,9.20111043,6.84437929,5.01004516,4.68452824,0,3.12763895,0
2015-08-22,6.79542177,0,4.19640084,12.13365586,5.26765732,3.99860000,5.64964074,0,3.28938338,0
2015-08-23,9.17608907,0,1.58666712,12.60373016,6.01360074,0.24203333,5.77907641,0,2.30496014,0
2015-08-24,6.65784541,0,4.04039845,6.59717597,5.84634304,0.82530915,3.87624571,0,3.50297532,0
2015-08-25,6.62786695,0,3.51357262,9.06022931,8.61111193,4.41985676,4.09115880,0,4.97012047,0
2015-08-26,6.87318076,0,2.56913594,7.87327488,5.82662606,1.56756338,4.19927021,0,4.04138844,0
2015-08-27,8.19089592,0,3.05930922,3.16192626,3.96497157,2.73713261,4.09106933,0,3.08120413,0
2015-08-28,8.73510539,0,2.47324486,10.40039896,3.80918161,6.11672439,4.18958012,0,5.70211091,0.14780000
2015-08-29,6.94966862,0,1.82984579,1.46265326,4.41070889,3.92090000,4.45582547,0,5.86353597,0
2015-08-30,5.86709623,0,1.92766906,5.43216162,2.41710400,3.98117879,3.32729506,0,8.33584197,0
2015-08-31,4.38760486,0,5.12555305,2.91431360,3.89599429,3.73319565,2.54642828,0,3.02785580,0
2015-09-01,5.24866529,0,4.38803503,1.17603386,2.19466056,1.26529811,3.72462520,0,3.09367494,0
2015-09-02,5.23913841,0,5.07416735,1.89639312,4.12444667,2.35467931,2.75300316,0,3.36883973,0
2015-09-03,5.38692127,0,7.72870588,2.77584930,1.77916857,8.47053846,8.36003544,0,2.93114082,0
2015-09-04,6.72049159,0,3.74846197,1.20849026,4.29526951,5.69642286,3.57054800,0,2.57735655,0
2015-09-05,8.50554452,0,6.31473824,1.30663685,5.69795517,3.84954348,3.82607039,0,2.19545579,0
2015-09-06,4.07189602,0,5.07228571,2.23239283,7.11735699,4.11715000,3.58741985,0,2.32248831,0
2015-09-07,4.59545994,0,10.91639259,1.29177677,6.64020576,3.68093636,4.87299157,0,2.21628729,0
2015-09-08,4.00682276,0,4.80470536,0.47473939,7.83067500,2.23508382,3.08033947,0,2.00727647,0.50000000
2015-09-09,5.79017897,0,5.32132773,5.40876163,8.59809431,3.27901351,4.15491318,0,2.85931097,0
2015-09-10,4.29942031,0,3.16531167,8.47669925,9.25751130,3.40130000,3.24016386,22.51190000,3.39015538,0
2015-09-11,7.74174072,0,4.58067003,2.73004597,3.77511122,2.87219211,2.63698429,24.00000000,2.61422585,0
2015-09-12,7.85949980,0,7.13261571,6.85908788,4.04654500,2.93498947,4.28065402,24.00000000,1.51954381,0
2015-09-13,10.02109261,0,4.39736359,2.10288288,0.76142541,2.75310000,2.76755982,24.00000000,1.72733015,0
2015-09-14,4.61809327,0,4.11452406,0.95724145,4.46536000,6.26370000,3.08378065,6.58340000,1.80288026,0
2015-09-15,5.84253881,0,3.15241994,1.36573884,2.22622424,3.19903896,4.09363105,2.30491176,1.60993146,0
2015-09-16,5.90189632,0,2.70353819,1.56181043,3.59351860,2.72332775,2.76879280,0.95375625,1.77027230,0
2015-09-17,9.28975850,0,3.08151852,1.89361235,3.09045476,1.83973210,2.53458106,1.06645429,1.55395315,0
2015-09-18,9.69979730,0,2.45288065,3.27017210,7.88023731,3.13753000,2.70844977,1.67887667,1.40639447,0
2015-09-19,7.39462974,0,3.23610522,6.35593510,7.27233684,2.61218095,5.66304024,2.64354167,1.67368262,0
2015-09-20,11.24188484,0,4.86541351,9.30690346,6.93322917,1.75008889,5.69180607,1.93750000,4.28447248,0
2015-09-21,6.37351144,0,4.54759684,4.77541610,3.51714559,2.00851296,2.99808641,0.46414167,6.79654348,0
2015-09-22,5.08617473,0,2.17265030,3.80895560,5.47857049,3.37000952,3.26014352,0.63684375,1.86969173,0
2015-09-23,4.33525162,0,3.67554306,4.39501826,3.19840575,5.25781000,3.69547900,0.69657895,3.02367748,0
2015-09-24,5.65015563,0,5.35785308,4.50097381,4.40725313,3.47663129,3.45923479,2.30831290,2.57396235,0
2015-09-25,5.54823444,0,3.88408571,3.42698555,2.92973366,3.48371346,3.98144817,2.78677273,1.16545354,0
2015-09-26,5.97423518,0,4.25650551,9.66005704,9.01942881,3.37064783,3.80200178,16.02333333,1.20098930,0
2015-09-27,6.86685129,0,3.46634682,5.72626777,7.99480000,4.22792857,4.13025010,7.84771111,1.54887602,0
2015-09-28,2.59694377,0,2.83107267,4.14312503,1.30426944,2.13596933,1.80222351,1.47647302,1.19357041,0
2015-09-29,6.38584709,0,4.04687577,4.75980100,4.64130704,2.39604333,1.35980055,3.29959259,1.17480520,0
2015-09-30,9.11154074,0,3.14581532,4.93348879,5.35108267,5.54515349,5.73569954,2.39905263,1.36521055,0
2015-10-01,9.84587587,0,3.87080000,3.74583663,3.58775000,2.03155349,4.10129685,2.06797500,2.01278635,0
2015-10-02,7.91200000,0,1.92265182,1.65231601,4.73673785,4.62988630,3.37290845,3.35491951,7.85831024,0
2015-10-03,8.62485560,0,3.03289608,2.76471184,1.53043571,4.02301842,3.62539555,4.10924231,16.20888462,0
2015-10-04,8.30512830,0,5.10594804,1.90954751,5.43235957,2.76732532,4.96566370,15.37316000,4.10941395,0
2015-10-05,6.39595270,0,3.11393930,5.85497367,2.75755795,3.27370330,3.18043537,2.25378036,2.96960236,0
2015-10-06,4.06817479,0,4.81104506,6.38389926,5.62552023,4.02360000,3.81235517,3.33467931,2.27066199,0
2015-10-07,4.37310586,0,4.79929471,4.40981532,3.67798626,2.17415274,4.16325826,1.61611509,0.22859276,0
2015-10-08,3.09068071,0,3.59304592,2.08096886,2.05382905,2.70353117,3.82965844,4.14682059,0.45915987,0
2015-10-09,4.18505704,0,3.00756073,5.13356024,3.32177130,3.97131560,5.06279444,13.20985385,2.01821759,0
2015-10-10,6.63913333,0,3.01586205,5.87537087,5.18893871,3.47822857,4.12424970,5.70458000,2.04693819,0
2015-10-11,6.89664128,0,2.58821081,2.50579264,2.71526452,3.85601667,4.48641906,2.23758000,2.27762719,0
2015-10-12,5.57384973,0,4.07160106,5.06426109,3.33624545,2.44428229,3.07177874,2.19136176,0.30053303,0
2015-10-13,2.47691658,0,3.90510769,4.91771236,3.54365817,3.58051951,3.91139873,2.45148125,0.68686818,0
2015-10-14,8.35383281,0,3.87386596,3.02920955,12.50879535,3.46201250,3.25172341,4.67600000,0.74172310,0
2015-10-15,5.92511166,0,4.38874918,3.25377535,3.29772642,4.45418514,3.74193381,3.23643704,1.13360965,0
2015-10-16,5.39245523,0,4.97608922,5.48539256,14.80539178,5.01929223,4.02838617,3.71347692,0.33076647,0
2015-10-17,5.92550025,0,7.08077632,4.13671989,13.16283128,5.49368108,4.83502755,15.09978889,0.57952818,0
2015-10-18,4.33574902,0,5.52648169,6.16417877,11.16078874,5.40609444,4.19189833,3.92617692,1.20382232,0
2015-10-19,4.11456793,0,4.18681942,2.70638308,12.61896964,3.46450833,4.14137282,3.86592222,1.14940599,0
2015-10-20,4.35499018,0,5.71045933,3.06463529,12.28104054,5.78788696,3.79153489,6.05428108,0.79964950,0
2015-10-21,4.12679908,0,5.79107634,6.57583693,9.22515399,3.60022909,3.22189408,8.60626500,0.42519531,0
2015-10-22,4.13930755,0,4.54733949,5.18725380,16.93714365,4.08220465,2.76255291,13.74252000,0.72546224,0
2015-10-23,4.60123156,0,4.43897451,5.90236072,10.71961053,2.99613582,3.47123929,4.25575161,0.44777749,0
2015-10-24,4.61666239,0,7.61316369,4.44150281,16.85270649,3.62615893,5.17194786,8.06230714,0.61351139,0
2015-10-25,5.16789366,0,7.47222199,4.55947091,12.61468261,4.40630741,4.14904313,24.00000000,1.58210351,0
2015-10-26,5.91476057,0,4.70860699,5.06482640,7.75430623,3.17786596,3.49191802,1.79111500,1.06553971,0
2015-10-27,4.90377337,0,4.38177523,5.63944666,7.49912479,2.79548974,3.76416444,13.16310000,0.79782208,0
2015-10-28,5.05148663,0,4.34119187,5.33818519,3.45174610,2.68837864,3.12156353,5.06972000,1.13435657,0
2015-10-29,5.89318740,0,6.37783780,5.80395824,4.84085111,3.10310179,3.69170651,5.56747742,1.04324835,0
2015-10-30,6.27439716,0,5.96521746,6.56049986,5.81514337,3.08542373,3.63156174,3.88042979,0.94840163,0
2015-10-31,6.82550133,0,5.85334942,5.10222300,5.75293659,2.82451707,4.20168057,6.95695806,0.91556501,0
2015-11-01,6.07454141,0,6.34880757,3.24165474,6.08070702,3.27813158,3.64523799,6.52067407,0.76957639,0
2015-11-02,5.42878331,0,6.46567507,3.25548477,4.94599489,3.06236103,2.36448536,3.89082903,0.54242936,0
2015-11-03,7.14237942,0,3.91462072,3.64971136,6.43357483,2.53218177,1.41196469,5.12933947,0.83171458,0
2015-11-04,5.19687827,0,3.81958924,5.38892852,6.44875983,5.13423214,3.16071577,5.04990222,0.56331184,0
2015-11-05,6.00716033,0,4.50071088,5.53526293,2.76681814,3.56508895,2.74142663,5.63452703,0.95335641,0
2015-11-06,7.35509444,0,4.98861499,6.46496041,4.33029071,3.66063077,3.03646407,7.60265588,0.94869064,0
2015-11-07,8.60226591,0,4.39369802,8.21657048,4.18865176,3.86437455,4.75266029,24.00000000,0.69163290,0
2015-11-08,7.14981698,0,4.75067318,6.43698837,5.52398488,5.25558391,3.87085958,0.72883254,1.01091262,0
2015-11-09,6.09531116,0,5.28946939,2.95468556,3.84079034,4.16315500,3.34389077,0.15679688,1.20814780,0
2015-11-10,6.31799693,0,3.70794819,2.80335226,4.44991000,3.36315065,3.63023298,0.11394544,1.36467928,0
2015-11-11,5.19498976,0,4.16401683,4.95842783,6.59007913,3.44424000,3.51497632,0.30586649,0.93375974,0
2015-11-12,5.56664035,0,5.21573541,4.91094465,2.43538391,3.56819800,3.71543199,0.27231656,0.65410184,0
2015-11-13,5.04111125,0,4.05552815,7.19083926,4.82277733,4.05228571,3.59107622,0.29170097,0.76902896,0
2015-11-14,7.15493536,0,2.05010288,8.48695118,11.85127250,7.07132857,3.88347503,4.38241379,0.62295003,0
2015-11-15,6.24805531,0,2.54437746,7.88247787,9.42253816,7.19728400,3.42666062,10.51154545,0.70435919,0
2015-11-16,2.89244896,0,3.30723819,5.26711928,8.33571085,6.46934211,3.07031811,0.64233618,1.21047662,0
2015-11-17,7.32005589,0,4.05369444,3.23543197,9.76732761,5.10322199,3.54614583,2.53674500,1.27559290,0
2015-11-18,5.62912807,0,3.80907312,2.54334781,4.76412548,5.19281412,3.76822464,1.62305641,0.79336340,0
2015-11-19,5.15655388,0,4.58213986,4.72087090,9.35156606,2.86857310,3.17728540,1.88278571,1.12512844,0
2015-11-20,6.30828189,0,3.40084878,5.62886566,6.93478873,4.52873953,3.92384253,1.25130111,1.23188604,0
2015-11-21,8.48309656,0,2.48437768,5.96949518,19.90457260,5.70140825,4.33593591,3.29151923,0.96064079,0
2015-11-22,8.16526520,0,3.74984811,5.09902318,12.38571010,4.67478333,4.03457284,4.61303889,1.07308305,0
2015-11-23,5.07718940,0,4.18200591,3.43304497,11.49153060,3.35403607,2.95214707,0.54201545,1.15710730,0
2015-11-24,5.82545576,0,5.02365296,5.42235827,11.68628894,3.08226034,4.10198196,0.54357456,1.66183797,0
2015-11-25,8.39534492,0,3.28023908,3.40681888,14.93219512,3.16952432,2.84581722,1.55550000,1.08602426,0
2015-11-26,8.09039470,0,5.27724647,5.12015295,9.47296532,7.36195000,3.18093449,3.73098462,0.86825938,0
2015-11-27,6.50970694,0,5.66657884,6.14926873,18.81373282,2.02694750,2.77013634,1.28308750,0.65553246,0
2015-11-28,7.71590000,0,4.77164084,5.92948372,11.20500705,3.18463778,4.08314047,0.03986250,0.87925505,0
2015-11-29,6.55314473,0,4.19796203,7.45863688,10.91481892,2.33551136,3.40094815,0.01447692,1.14490078,0
2015-11-30,5.43374231,0,3.55736583,5.43692458,3.79157878,5.14422805,3.48259582,1.50858636,1.24579142,0
2015-12-01,6.26949608,0,3.09450393,3.90354640,7.41822816,4.91972540,3.20613911,4.08748000,0.89591442,0
2015-12-02,6.55721809,0,3.73485734,1.96197813,9.49294740,4.15878855,3.54956703,3.44728889,0.92712413,0
2015-12-03,6.91621341,0,6.40329613,3.09630196,8.81402353,5.48817305,2.72115943,5.23177500,0.79668121,0
2015-12-04,5.58699284,0,3.95034638,10.86538026,2.65656239,5.38489735,4.10170800,1.57081200,0.90232984,0
2015-12-05,8.93715582,0,7.86940595,12.33549130,16.72322500,4.50126800,4.19758776,0.66775000,1.80273120,0
2015-12-06,6.96265644,0,5.50371371,10.60269580,7.08318333,6.05393667,3.11061453,0.03851429,1.06249203,0
2015-12-07,3.52004658,0,2.42591416,9.32421130,10.91222598,3.69987000,2.18608805,2.02329038,1.08840015,0
2015-12-08,6.37037290,0,1.98749011,7.30488096,4.14855921,4.19244438,1.15503703,1.30918061,0.82149451,0
2015-12-09,5.56817516,0,2.42442825,6.22608468,8.55573952,5.46505760,3.46237044,4.36408286,0.72803216,0
2015-12-10,5.09308412,0,3.03324741,4.68807399,5.60601424,2.90475134,3.31685428,1.69035435,1.13173838,0
2015-12-11,5.63481636,0,7.28513021,8.52307557,7.58257500,4.17170667,3.49475735,5.12656957,1.19631987,0
2015-12-12,9.31493567,0,5.87530000,8.33491589,5.48995606,5.73532895,5.69642241,4.42339273,1.73807246,0
2015-12-13,8.34335691,0,5.47843812,8.48362847,8.24672727,7.33350247,4.18669423,1.69860763,1.60077755,0
2015-12-14,4.82834479,0,5.07605449,6.90874061,3.31267181,3.50493150,3.80137727,0.57798795,1.56443339,0
2015-12-15,6.71295444,0,3.22005890,5.63674500,6.59809074,2.63136519,4.01098085,0.99851786,2.84447593,0
2015-12-16,7.54567608,0,5.83889486,6.17990992,3.85729028,3.50321829,3.64445564,0.93339709,1.30454224,0
2015-12-17,7.22542839,0,8.06594878,4.80753671,7.62034933,2.65184871,3.73045425,0.25577644,1.24244027,0
2015-12-18,6.74252944,0,6.04173557,5.23287956,9.72056893,5.90884183,4.65553450,5.51484510,1.32419125,0
2015-12-19,8.11321298,0,7.87507965,6.85825698,14.45070259,3.74313837,4.92144512,6.82713125,1.27672174,0
2015-12-20,9.41646697,0,5.34205361,6.72537913,8.84692897,4.52567034,2.41605319,7.52838485,1.26491832,0
2015-12-21,6.85357967,0,5.35280059,6.18255208,14.70383049,6.22731250,3.54645300,5.69849333,1.94654575,0
2015-12-22,5.80499992,0,6.03074182,5.29719557,10.59410237,6.36899363,7.70722001,9.34443200,1.99021764,0
2015-12-23,5.88134958,0,3.56999179,5.10218596,12.65105105,5.78649246,5.20181654,6.81767955,1.84672863,0
2015-12-24,5.43233720,0,4.78111348,5.93405345,12.02527386,5.25013382,5.85559303,10.13073043,0.97982657,0
2015-12-25,10.24695824,0,5.93331122,9.17542156,14.64410878,5.46671063,6.87251554,14.85668235,0.95792397,0
2015-12-26,7.35141941,0,7.66610530,3.05679892,9.50467543,4.76051092,5.23392907,10.76044091,0.94757255,0
2015-12-27,7.98708496,0,6.04706543,3.13246231,10.69191274,2.40248786,4.45793069,11.54081667,1.63255948,0
2015-12-28,7.73178227,0,5.83205889,3.61725429,10.95755762,4.57823022,5.03726103,3.70850333,1.30863252,0
2015-12-29,9.44010108,0,5.96201689,1.74662772,11.73402963,7.02141392,4.73448229,6.48799167,0.51014141,0
2015-12-30,9.20427256,0,5.19281571,2.20234513,11.50262713,6.29651970,4.91054815,9.51653600,1.26835786,0
2015-12-31,10.21585166,0,6.61323834,7.82386836,15.55775441,4.97507288,3.32515353,11.43510870,1.47113299,0
2016-01-01,10.80217969,0,4.23322060,8.70180728,5.97954512,5.47188219,1.38565074,8.05099048,1.42386461,0
2016-01-02,6.25012025,0,5.56271250,8.07149966,4.21721667,5.26273333,3.00791778,6.41710714,1.57249517,0
2016-01-03,2.95112704,0,6.83481429,7.49934481,1.50851250,2.98310667,4.13869483,2.35602500,1.50386979,0
2016-01-04,10.96020502,0,5.02149461,9.37522213,0.71688791,5.32287131,3.11274598,4.96026667,1.57043669,0
2016-01-05,7.18361483,0,4.51936378,7.40498477,0.59284011,2.35728072,3.73352889,4.97263438,1.67346121,0
2016-01-06,4.90693064,0,3.76050126,2.33637761,0.60677250,3.59446905,3.67859331,4.88209412,1.68537871,0
2016-01-07,10.19849268,0,2.87906246,3.28469464,0.37731504,4.95414402,3.67063188,6.31864167,1.37653775,0
2016-01-08,9.17312521,0,3.32693236,3.59931027,0.31970949,3.67761417,2.85752017,7.95381364,1.19383011,0.00280000
2016-01-09,10.22253248,0,2.45254579,8.31385736,0.55483341,4.29930270,1.63300056,21.07433750,0.49580571,0
2016-01-10,8.84345907,0,2.60328052,11.49719858,0.38212275,3.18729885,3.50689402,9.21268333,0.47778532,0
2016-01-11,6.45382197,0,3.66537423,6.32748382,0.31528781,5.23359619,1.63767929,3.90861905,0.46791289,0.00004615
2016-01-12,9.10053958,0,3.01236646,3.93742303,1.14624175,2.89966495,2.73467311,7.23686000,0.32928846,0.00087317
2016-01-13,8.78592933,0,4.06237152,4.08858272,4.28606159,3.69951309,1.72198933,5.12348125,0.98481707,0.00051667
2016-01-14,8.99334339,0,4.94290543,3.40746562,7.28162679,3.21174913,1.96244850,19.25156250,1.05894427,0.00044000
2016-01-15,9.60522680,0,4.18936639,3.39167373,2.37436531,3.81016250,3.22603950,5.68424138,0.88604881,0.00048333
2016-01-16,9.71201308,0,3.48999545,5.82452589,0.54327371,2.00204944,5.06645619,7.40220556,0.76849935,0
2016-01-17,10.20409110,0,3.16041309,4.34552682,1.69795089,2.18126400,3.37904690,7.05545455,0.66564886,0
2016-01-18,7.97587302,0,2.90770184,3.91681541,4.83225745,4.90119111,3.34078393,1.95209722,0.36034169,0
2016-01-19,6.91094643,0,2.64144832,2.27699416,2.98408737,4.46269357,2.35692443,2.62649556,0.58943947,0.00047500
2016-01-20,7.23530106,0,2.70880292,4.37339601,2.30342013,4.86779910,2.49789857,8.81315556,0.49547689,0
2016-01-21,7.27875676,0,1.60847220,4.55753751,2.75852920,6.06572097,2.79311695,5.34049667,1.05514518,0.00047143
2016-01-22,8.23202819,0,3.36784238,7.49138055,4.19088667,3.88043907,2.64742651,8.66409286,0.44349478,0.00051667
2016-01-23,9.01772700,0,5.97797746,7.42486809,1.46248734,3.64278990,3.46223520,22.48338333,0.75304541,0
2016-01-24,8.12484597,0,5.10853975,4.94745282,1.82396947,4.75819912,1.54268557,3.69024815,1.00137583,0
2016-01-25,5.95233958,0,6.51125406,3.37989986,2.58582500,3.22544490,1.59065400,5.76083750,1.13310233,0
2016-01-26,7.87584136,0,5.78727793,3.61491505,7.50615149,4.98617301,3.34714245,2.96440400,0.80853075,0.00000000
2016-01-27,5.77069092,0,3.73678296,4.50829677,7.00905909,4.50997215,2.69129213,5.76754762,0.86760471,0.00053333
2016-01-28,5.67447094,0,3.31757363,4.47163760,5.43979338,4.34479200,2.83826235,7.10198710,1.36478736,0.00047500
2016-01-29,8.01642810,0,4.86201635,5.52058191,5.59021667,4.26252609,2.60888516,5.49295172,1.26840350,0.00063333
2016-01-30,8.69957504,0,4.98931786,5.97907822,3.02115714,5.23700182,1.21368860,2.53533889,0.87700984,0
2016-01-31,7.30058426,0,4.88831685,5.70801183,5.18957687,1.98409928,0.87935040,1.58502340,1.12686764,0
