Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[10] Number of Jobs Started,[6] Number of Jobs Started,[12] Number of Jobs Started,[16] Number of Jobs Started,[5] Number of Jobs Started,[20] Number of Jobs Started,[7] Number of Jobs Started,[32] Number of Jobs Started,[24] Number of Jobs Started,[40] Number of Jobs Started,[72] Number of Jobs Started,[18] Number of Jobs Started,[9] Number of Jobs Started,[15] Number of Jobs Started,[30] Number of Jobs Started,[64] Number of Jobs Started,[25] Number of Jobs Started,[11] Number of Jobs Started,[42] Number of Jobs Started,[22] Number of Jobs Started,[14] Number of Jobs Started,[48] Number of Jobs Started,[21] Number of Jobs Started,[36] Number of Jobs Started,[50] Number of Jobs Started,[17] Number of Jobs Started,[13] Number of Jobs Started,[60] Number of Jobs Started,[70] Number of Jobs Started,[26] Number of Jobs Started,[19] Number of Jobs Started,[54] Number of Jobs Started,[43] Number of Jobs Started,[71] Number of Jobs Started,[33] Number of Jobs Started,[56] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[51] Number of Jobs Started,[65] Number of Jobs Started,[35] Number of Jobs Started,[27] Number of Jobs Started,[55] Number of Jobs Started,[41] Number of Jobs Started,[58] Number of Jobs Started,[52] Number of Jobs Started,[67] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[34] Number of Jobs Started,[49] Number of Jobs Started,[68] Number of Jobs Started,[23] Number of Jobs Started,[31] Number of Jobs Started,[38] Number of Jobs Started,[46] Number of Jobs Started,[37] Number of Jobs Started,[39] Number of Jobs Started,[57] Number of Jobs Started,[63] Number of Jobs Started,[66] Number of Jobs Started
2015-08-12,346,189,24,16,28,10,10,4,27,5,7,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,837,183,99,17,51,8,39,18,21,10,9,0,10,3,0,2,19,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,571,76,64,28,46,42,15,8,10,5,6,1,3,1,0,1,2,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,691,66,49,20,37,7,17,2,16,6,6,19,3,2,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,402,152,88,25,38,22,47,2,13,13,1,6,4,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,425,435,166,45,95,20,60,7,20,29,0,0,1,3,13,11,0,0,0,1,0,1,1,0,0,0,0,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,2465,158,143,31,53,24,34,10,12,15,0,11,12,0,0,6,1,0,0,1,6,1,0,0,0,0,0,7,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,844,411,152,37,48,19,99,18,14,15,8,1,3,0,4,6,2,1,8,1,0,0,1,0,0,0,8,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,1487,288,202,22,29,13,53,7,15,6,10,0,0,0,3,8,2,1,10,1,0,0,0,2,1,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-08-21,610,273,197,37,25,4,33,7,13,1,12,1,0,1,0,3,0,5,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,416,176,164,30,11,3,7,12,6,2,7,0,0,4,1,0,4,16,2,8,0,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,514,162,133,11,7,0,35,16,6,6,6,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,800,333,75,55,13,4,72,13,18,35,0,9,1,3,1,4,8,6,6,14,0,1,0,0,0,5,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,755,847,82,27,17,1,11,24,4,16,3,13,2,6,4,7,1,0,1,7,0,1,0,0,3,1,0,0,1,0,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,748,260,83,39,11,23,2,9,41,9,8,5,7,7,0,3,0,3,4,46,3,1,0,0,2,2,1,3,0,7,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,660,217,68,75,17,5,66,17,24,35,27,0,7,8,9,3,0,4,0,0,0,1,1,0,0,6,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,515,219,49,45,5,10,51,7,9,49,16,0,12,5,3,6,0,0,0,1,0,1,4,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,346,153,48,57,41,40,7,5,17,22,8,7,20,7,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,367,158,45,24,13,11,2,13,9,14,9,0,1,3,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,446,240,120,29,4,10,11,7,34,20,16,1,33,0,11,2,0,1,5,4,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-09-01,601,333,159,83,9,2,11,5,5,3,5,7,3,0,6,1,2,0,0,4,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,553,225,57,14,27,12,4,3,16,6,12,2,7,0,6,2,1,0,0,9,0,1,1,0,1,0,6,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,509,320,55,17,16,6,1,4,1,8,16,1,5,1,1,2,2,12,0,15,0,1,0,5,0,0,6,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,406,290,14,32,6,12,3,2,1,3,23,0,3,0,0,3,0,2,3,10,0,2,0,1,1,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,425,153,2720,17,2,4,1,1,6,1,8,0,2,1,1,1,1,5,0,0,5,0,10,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,212,174,1468,21,1,11,0,1,0,0,12,0,0,0,0,1,1,4,0,0,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-09-07,103,276,7,30,0,8,0,1,3,0,1,0,1,2,1,5,7,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,254,357,50,21,4,2,1,3,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,578,297,31,48,6,7,2,8,3,2,19,0,0,1,1,8,2,3,4,3,7,0,5,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,860,247,92,26,7,6,8,13,6,5,3,0,1,0,0,0,0,5,3,3,1,0,1,0,0,0,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,3406,269,260,41,3,14,3,3,6,9,2,0,2,3,0,4,0,4,6,0,2,0,3,7,0,0,2,1,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,696,173,276,8,4,17,10,13,2,0,4,0,0,0,0,5,0,5,1,1,5,0,4,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,3513,153,104,5,0,2,2,4,14,3,1,0,0,0,1,2,0,3,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,6148,347,45,21,18,16,8,20,15,2,2,0,0,0,2,2,1,3,3,2,0,3,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,5714,418,145,29,3,8,8,8,24,14,13,0,0,1,0,2,0,4,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,7046,274,141,10,21,24,12,99,17,12,17,0,0,1,0,6,1,4,2,1,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,6837,232,117,36,6,16,8,7,7,5,13,0,5,2,19,2,2,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,3028,400,177,46,9,11,14,8,46,25,6,0,36,0,3,4,1,4,1,2,3,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2015-09-19,315,184,30,16,1,3,2,1,6,2,3,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,404,122,263,43,7,4,3,7,1,8,1,0,0,0,0,3,0,2,0,0,5,0,2,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,928,246,192,345,2,2,12,6,6,1,4,0,0,1,4,7,2,3,2,0,0,0,0,3,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-22,678,281,36,84,8,4,32,8,9,7,12,0,4,2,0,2,0,5,0,0,6,0,0,2,0,0,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,691,312,99,38,8,12,17,11,14,2,7,3,1,1,0,3,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,558,289,100,26,10,10,17,6,9,3,31,0,13,1,10,1,0,0,0,1,3,4,5,6,1,3,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-25,1211,228,75,7,7,4,10,11,1,6,9,0,1,1,13,4,0,2,0,0,5,4,2,9,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,207,96,7,4,8,2,3,11,2,10,3,0,0,0,0,1,0,12,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,383,100,132,10,9,4,3,4,8,3,3,0,11,0,0,0,0,7,0,0,17,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,379,293,50,18,13,4,27,13,8,7,2,0,2,2,16,4,0,0,0,0,17,0,1,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,521,287,52,24,10,27,13,12,4,14,5,0,9,0,4,1,0,0,0,0,5,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,643,272,32,71,8,13,13,8,9,5,7,1,1,0,0,1,0,0,1,1,2,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,1401,310,93,65,24,18,15,15,19,10,14,1,6,0,2,5,0,0,1,0,9,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,4031,195,138,52,44,23,16,13,16,4,3,0,5,4,14,5,0,8,0,3,8,0,3,2,6,17,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,3648,108,45,10,40,16,24,9,10,0,1,0,2,0,3,1,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,2404,170,82,8,21,6,7,2,6,0,0,0,15,2,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,1583,235,81,27,32,16,46,10,5,1,1,0,5,44,1,3,0,8,1,0,4,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,1193,447,140,16,43,86,34,18,6,3,0,0,2,4,5,1,0,9,7,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-07,1494,334,69,69,41,78,17,26,16,14,6,0,3,14,4,3,0,15,4,0,4,0,0,0,0,0,1,1,7,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,3024,320,43,147,34,72,34,214,30,8,8,0,8,25,3,0,0,3,0,3,12,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015-10-09,2296,373,60,71,38,13,8,16,9,7,5,0,8,24,3,2,0,1,0,0,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-10,1598,134,40,34,31,18,16,81,7,5,3,0,9,0,3,1,0,4,0,3,5,0,0,0,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,1228,214,72,41,47,27,5,11,14,15,2,0,6,2,1,0,0,0,1,3,3,18,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,1337,538,209,31,53,11,18,48,15,6,6,0,7,5,8,1,0,0,1,5,6,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,1962,425,253,71,29,11,51,139,13,18,2,0,12,22,1,7,0,2,0,0,4,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,3861,409,372,107,24,7,41,168,13,13,6,0,2,1,2,2,0,0,0,2,1,10,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,3966,403,362,93,14,3,34,34,13,2,5,1,4,5,0,2,2,5,3,1,1,5,0,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,1220,346,204,47,22,6,98,19,8,24,2,2,5,1,0,1,11,4,0,1,4,2,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,1154,139,151,93,19,10,32,7,3,1,1,4,0,6,0,0,11,0,1,0,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,410,139,178,24,45,7,86,67,12,0,0,16,3,1,0,0,0,3,0,1,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-19,5502,317,65,69,23,9,54,185,21,7,1,38,3,2,0,0,1,0,0,0,3,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,6509,310,34,89,50,27,30,168,34,2,11,12,22,0,2,2,0,6,0,1,16,18,2,0,0,6,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,1414,272,87,86,107,33,26,26,9,18,40,9,0,24,5,0,3,5,0,2,1,9,2,0,2,6,14,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-22,2214,326,34,56,64,25,41,21,21,11,25,1,4,3,1,0,0,11,1,1,0,0,4,11,0,7,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-23,1412,296,41,80,84,30,13,78,28,10,11,39,5,24,3,0,6,5,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-24,2992,146,49,35,58,22,7,10,12,4,11,45,5,5,3,1,3,1,0,1,2,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-25,2556,137,28,42,26,0,1,38,15,8,5,1,0,1,1,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-26,725,419,94,97,93,4,41,21,26,19,16,2,2,25,7,2,7,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-27,557,251,123,50,67,6,12,139,21,25,15,0,0,1,3,5,0,2,2,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
