Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[10] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[12] Number of Jobs Started,[16] Number of Jobs Started,[5] Number of Jobs Started,[22] Number of Jobs Started,[64] Number of Jobs Started,[24] Number of Jobs Started,[20] Number of Jobs Started,[32] Number of Jobs Started,[9] Number of Jobs Started,[60] Number of Jobs Started,[25] Number of Jobs Started,[15] Number of Jobs Started,[7] Number of Jobs Started,[18] Number of Jobs Started,[72] Number of Jobs Started,[30] Number of Jobs Started,[11] Number of Jobs Started,[40] Number of Jobs Started,[48] Number of Jobs Started,[36] Number of Jobs Started,[50] Number of Jobs Started,[43] Number of Jobs Started,[14] Number of Jobs Started,[13] Number of Jobs Started,[17] Number of Jobs Started,[42] Number of Jobs Started,[70] Number of Jobs Started,[21] Number of Jobs Started,[62] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[45] Number of Jobs Started,[26] Number of Jobs Started,[54] Number of Jobs Started,[28] Number of Jobs Started,[38] Number of Jobs Started,[56] Number of Jobs Started,[46] Number of Jobs Started,[33] Number of Jobs Started,[27] Number of Jobs Started,[19] Number of Jobs Started,[31] Number of Jobs Started,[65] Number of Jobs Started,[23] Number of Jobs Started,[41] Number of Jobs Started,[63] Number of Jobs Started,[44] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[49] Number of Jobs Started,[55] Number of Jobs Started,[37] Number of Jobs Started,[39] Number of Jobs Started,[61] Number of Jobs Started,[29] Number of Jobs Started,[47] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[66] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started
2016-02-14,337,1111,10,13,0,31,10,8,2,3,0,1,0,2,1,0,1,0,2,0,1,5,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,1146,370,18,54,19,24,8,15,5,4,3,1,31,5,5,0,8,0,8,0,9,21,0,0,10,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,886,353,21,47,33,17,5,14,5,2,1,0,37,3,2,1,0,8,4,0,2,15,0,0,2,2,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,619,338,33,38,7,22,5,7,5,25,1,2,0,5,2,0,0,6,4,0,3,10,1,0,4,39,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,819,463,22,71,19,12,13,90,9,21,0,0,1,6,0,1,0,0,2,0,5,2,0,0,4,33,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,1044,300,16,1026,15,21,3,96,9,2,4,1,0,22,0,2,0,19,6,2,8,2,1,0,1,49,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,495,192,15,76,18,37,2,16,6,1,2,1,1,10,1,0,0,0,2,0,1,3,0,0,1,13,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,799,156,33,1796,6,6,3,9,48,11,4,1,4,4,0,0,0,0,2,0,0,2,0,3,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,929,382,32,991,27,50,6,5,14,10,1,1,2,7,10,4,0,0,3,0,0,5,5,3,1,4,0,1,1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,3802,438,38,185,7,16,14,7,9,13,4,1,2,10,2,2,0,5,4,0,0,0,5,2,2,3,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,5876,505,30,103,62,29,7,25,21,20,7,1,30,3,25,1,10,23,3,2,0,0,2,1,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,2373,376,11,36,6,18,2,76,15,17,7,1,0,0,0,2,0,3,2,1,0,11,1,1,6,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,836,391,25,88,36,39,17,15,26,11,2,1,2,3,14,1,0,3,3,1,0,3,0,0,2,21,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,576,315,5,42,34,39,20,16,8,35,4,0,2,6,1,0,0,5,1,2,0,9,2,2,0,42,4,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,763,333,9,61,21,34,1,15,13,19,3,4,31,0,0,0,0,0,0,2,0,18,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,1428,561,22,35,35,55,10,52,26,16,2,1,66,3,4,0,2,6,0,3,0,10,0,4,4,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,765,435,20,71,77,45,5,27,33,15,6,1,56,9,33,11,0,1,15,0,0,28,0,3,1,0,0,4,1,0,0,2,0,6,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,1158,323,13,85,32,98,13,20,15,10,1,0,39,11,8,0,1,2,10,1,0,10,0,5,3,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,2139,295,13,125,43,34,7,14,29,19,4,2,3,15,2,5,0,4,0,0,0,11,2,16,5,2,0,6,1,0,0,1,0,0,0,0,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,991,369,6,74,39,31,14,9,32,20,1,0,1,5,37,3,1,1,0,0,0,16,0,3,3,5,0,18,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,510,315,5,102,23,54,32,15,31,11,2,1,2,2,0,3,4,0,0,0,0,0,0,2,7,8,19,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,806,258,6,62,47,150,4,13,20,13,11,0,3,10,0,4,4,1,0,0,0,0,0,1,1,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,1250,370,51,176,92,202,27,23,39,17,9,0,4,36,38,3,5,2,0,0,0,0,0,1,9,6,6,7,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,607,298,35,39,92,38,2,82,26,12,9,4,3,9,2,11,11,9,3,0,1,3,2,1,1,3,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2016-03-09,986,335,1,83,30,215,32,83,44,5,11,1,5,6,6,6,0,13,10,0,8,11,1,2,13,6,8,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-10,677,611,10,21,70,81,3,17,13,15,14,1,3,18,12,17,2,9,3,0,3,5,0,0,4,4,7,0,0,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,640,182,2,32,45,26,1,41,16,19,7,0,1,19,0,39,0,4,2,0,0,5,3,0,1,2,11,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-12,254,216,0,52,115,89,2,29,7,5,2,0,0,0,0,3,0,11,2,0,0,0,2,1,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,145,35,0,11,9,7,0,0,4,1,5,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,944,302,28,62,11,57,6,17,36,10,19,0,4,0,9,0,2,0,29,0,6,2,2,3,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,1280,480,16,104,35,29,7,17,17,4,7,0,5,11,5,4,1,9,4,2,9,2,2,1,1,1,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,1441,558,27,43,28,121,5,62,22,1,15,3,6,3,5,6,2,10,8,2,6,2,4,1,6,0,11,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,642,427,18,34,34,103,11,78,20,7,8,10,1,17,16,10,12,0,18,1,3,8,7,4,5,1,3,5,2,0,0,0,0,5,2,0,0,0,2,11,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,838,891,8,24,11,223,3,28,19,9,1,0,6,7,12,12,2,0,16,5,6,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,629,647,1,29,17,184,2,5,17,26,1,0,2,0,0,5,0,0,16,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,1777,238,3,6,6,285,2,2,23,22,0,0,7,8,0,4,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,1982,351,7,88,14,588,7,16,23,9,1,5,8,4,2,5,1,13,5,1,2,1,1,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,2751,446,12,728,27,73,13,18,41,31,2,4,13,14,5,1,2,2,7,12,0,2,0,5,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,1807,488,3,102,26,382,6,13,34,3,0,1,2,2,3,2,10,7,1,12,0,0,1,1,0,1,0,3,1,0,0,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,3302,318,13,2115,19,357,5,10,25,24,0,2,1,3,4,3,13,3,10,0,0,5,0,1,6,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,1077,309,11,5107,28,36,3,6,33,7,0,0,5,1,9,6,1,2,5,2,3,0,1,0,8,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,886,209,4,1128,9,16,0,17,9,2,0,1,0,2,12,6,1,1,2,7,4,1,0,0,11,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,2323,272,0,72,26,72,1,6,6,6,0,0,0,0,16,5,0,0,0,10,0,0,1,0,6,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,825,360,6,1100,50,67,10,10,24,15,3,3,3,2,26,3,7,1,3,1,6,0,1,1,5,9,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,698,416,9,75,36,192,18,13,15,15,2,0,3,4,24,2,2,0,1,2,12,2,0,0,9,3,0,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,1127,380,12,71,12,210,22,6,23,21,0,0,9,11,4,1,2,0,7,4,36,0,0,1,11,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,1062,355,25,102,69,73,27,10,18,21,0,0,8,4,2,10,17,0,14,11,22,4,0,7,4,0,0,0,1,8,7,5,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,1633,308,7,171,23,62,14,35,13,3,0,0,7,4,11,1,15,0,4,20,3,4,4,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,1342,181,7,103,20,36,3,5,11,14,0,0,3,6,1,0,7,4,10,0,27,2,3,0,6,1,1,2,1,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-04-03,505,200,4,16,17,19,2,6,7,3,1,0,0,6,1,1,3,0,7,5,19,0,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,636,308,10,34,34,52,25,37,24,39,9,7,10,9,14,11,32,0,8,7,18,0,3,9,1,0,0,3,0,8,7,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,728,418,7,56,31,127,37,36,32,11,4,6,0,2,4,3,19,10,5,3,35,1,2,1,4,7,0,0,4,2,2,2,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-06,671,492,5,53,36,40,10,79,17,7,7,15,0,1,4,1,19,14,7,0,9,5,1,0,3,3,0,0,1,0,0,5,19,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2016-04-07,988,628,8,38,19,33,19,11,9,8,2,25,3,8,3,4,4,0,6,4,32,1,1,2,0,3,0,0,1,0,2,1,11,3,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-08,652,477,7,66,155,158,18,7,11,7,10,16,1,2,2,6,2,1,6,14,16,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,848,247,14,60,92,35,7,5,9,7,15,22,0,2,3,125,4,0,9,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,3044,300,2,79,42,40,7,10,13,4,3,21,10,1,3,12,8,1,7,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,1642,382,14,71,41,126,5,11,26,2,6,17,5,3,14,14,25,1,6,8,1,7,0,1,4,0,0,1,0,0,0,0,11,6,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,477,414,19,80,42,27,10,9,14,17,2,11,6,2,6,11,5,1,6,1,2,8,0,5,1,0,4,0,3,3,0,0,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,1271,457,57,62,31,114,3,63,26,17,2,8,2,6,13,22,5,2,3,3,9,7,0,3,0,0,11,0,1,11,0,0,4,4,3,0,0,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,967,336,32,104,23,26,31,43,24,9,6,11,6,3,3,6,10,0,0,7,39,1,0,1,1,0,13,0,1,1,0,0,4,0,2,0,0,0,1,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,1058,273,35,90,25,32,21,23,19,13,2,6,6,8,8,3,20,2,11,3,65,5,0,2,3,0,6,1,0,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,666,169,2,48,21,12,16,27,4,15,0,0,1,8,9,19,2,0,41,2,104,0,1,0,1,0,1,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,309,269,25,318,34,20,13,136,5,0,4,0,0,3,5,82,2,0,27,10,1,0,1,0,1,0,6,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,985,569,25,95,63,31,24,31,11,8,1,2,2,2,6,0,9,7,20,0,0,3,0,1,2,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,477,714,22,44,18,21,30,142,13,25,0,5,2,16,13,5,2,9,5,1,5,1,2,0,0,0,4,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,896,899,51,83,77,18,24,182,9,22,1,1,7,9,3,4,4,8,1,7,11,3,0,2,4,2,9,0,3,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,646,676,24,77,68,107,18,21,19,32,0,3,5,4,5,3,3,0,0,3,8,8,1,0,0,2,11,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-22,693,587,22,96,45,28,18,17,33,16,6,1,8,3,6,11,4,1,0,10,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-23,596,168,26,15,65,159,21,12,9,8,2,4,1,3,8,3,7,0,4,5,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
