Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[OSG] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[GATECH KIDS] CPU Hours: Total
2014-09-04,1766348.4495,315537.7166,137663.2444,229784.5248,96548.9600,69797.0802,26715.7933,0,8654.7557,0,737.1644,0
2014-09-05,1977616.2403,315295.9415,155575.0577,233858.8422,80306.5066,61443.4838,22433.4599,0,14580.6667,0,0.1067,0
2014-09-06,1707254.7416,313639.0959,274215.4222,232504.4974,23052.1377,57549.8486,12160.9634,0,21087.6336,0,531.3044,0
2014-09-07,1135224.9951,324021.3492,169996.1777,136738.8902,52403.9913,67193.5421,2716.6398,0,32203.6999,0,0.6044,0
2014-09-08,849402.0432,319861.2041,181845.4401,176100.3615,79395.4312,70485.7110,11805.7536,0,30834.5499,0,256.3911,0
2014-09-09,334623.5330,307172.2155,276736.1245,203071.5640,47608.0888,69435.6530,25055.6834,0,22842.9445,0,0.2756,0
2014-09-10,1904205.5335,305513.1085,253130.3647,211902.8167,48491.8979,63249.4220,52540.2365,0,18561.9943,0,208.0377,0
2014-09-11,1654244.4716,322769.5223,327221.4310,218146.7487,93447.4355,70832.5156,41084.2997,0,15161.9888,0,0.2044,0
2014-09-12,1861352.9527,322174.4677,390041.5912,200696.8658,58985.3600,71850.5821,50386.7434,0,8483.4832,0,568.0889,0
2014-09-13,1582809.4404,323770.2532,446611.2001,210886.7561,18210.4358,70820.0044,36011.5102,0,1739.3722,0,3004.4778,0
2014-09-14,1460694.9729,319603.2446,506412.2577,204611.1330,51190.6356,70125.5068,28666.6367,0,763.4667,0,3836.1956,0
2014-09-15,1564423.0847,261901.6000,504330.6044,131349.1794,95435.5422,69780.1691,39413.1002,0,3700.0500,0,0.2044,0
2014-09-16,1725305.5460,154169.5013,277295.0932,92655.0620,84856.8178,69168.3642,50464.0434,0,4856.7722,0,761.4956,0
2014-09-17,1613850.9907,303225.1756,516168.5630,220732.8751,96466.3912,69243.8806,88289.9199,0,422.7889,0,0.1867,0
2014-09-18,1587541.8311,310202.0537,420185.3154,220925.4861,93141.1866,66522.6181,74765.8233,0,2843.4332,0,736.8578,0
2014-09-19,1966681.1694,306705.8336,438201.7686,209003.3976,68501.6180,64455.9021,30109.1466,0,6572.9611,0,466.9689,0
2014-09-20,2077978.9694,320854.6993,284366.7377,211491.6227,87698.4978,66660.5069,20438.9368,0,2176.5723,0,530.4866,0
2014-09-21,1667052.5867,314925.4156,485584.6135,210603.4483,76602.4356,67774.4089,39783.0304,0,3448.9222,0,0.1955,0
2014-09-22,1694030.6274,319277.8550,497517.1911,211502.6967,84861.8222,66650.0135,62215.9631,0,2615.2223,0,0.2578,0
2014-09-23,1985042.3372,322469.5871,388144.7379,208346.0403,76080.6934,66201.4046,85440.4399,0,2867.1833,0,0.1422,0
2014-09-24,1803516.7339,321541.8047,522438.4890,213441.7552,73551.0979,59680.7866,76378.7067,0,395.4611,0,0.0711,0
2014-09-25,2033882.2767,317325.7148,351256.2664,205833.7417,57040.0708,65091.3198,99484.5166,0,1679.6113,0,0.1778,0
2014-09-26,1941122.1769,313951.1626,237144.8712,192727.4111,67234.6667,66532.1070,96925.5332,0,795.7612,0,0.1778,0
2014-09-27,1931381.8435,307100.4126,369301.4666,143814.8076,64059.1466,62568.7201,56096.9268,0,375.5333,0,0.1333,0
2014-09-28,1641715.9773,303824.1138,282729.6536,194086.5082,58466.4136,65589.8131,15905.2631,0,882.0610,0,0.1956,0
2014-09-29,1262859.4747,295233.2642,260492.9332,204392.9945,53360.3869,63410.1557,51754.8699,0,1913.2391,0,0.2045,0
2014-09-30,372841.0972,291753.9823,385006.6401,192561.4204,14199.8800,55632.6620,73001.8935,0,7090.6281,0,0.1867,0
2014-10-01,1877173.3650,303837.0062,112119.6799,207891.6511,21242.7112,50710.6712,101805.6702,0,5761.1555,0,16.2711,0
2014-10-02,1936265.0909,306365.3205,43869.5110,194780.4903,20606.2443,50077.9289,38481.2264,0,5403.1333,0,0.3289,0
2014-10-03,2016628.4537,289623.5690,130430.2934,171106.1793,17375.2044,49342.1423,20509.7134,0,11572.4890,5991.6555,1789.3156,0
2014-10-04,1751820.9471,286173.9442,75230.5422,175710.7218,11058.2445,50948.5779,12053.7701,0,17615.7666,0,6794.8377,0
2014-10-05,1694762.1380,259650.4737,146209.2266,123949.0887,15045.4710,55416.9956,1630.4967,0,17637.6831,0,7270.2979,0
2014-10-06,1636299.2712,244212.7844,288112.0534,174699.0916,25074.5866,45224.1068,3956.1901,0,23221.5276,9344.6445,1975.5512,0
2014-10-07,1723399.6161,270415.5484,378834.1602,199455.7585,25751.5776,26664.8578,8439.1166,0,22690.3166,0,405.5866,0
2014-10-08,1585539.9512,291096.2137,306225.1912,177794.1675,40582.6711,32794.2575,5081.1900,0,18640.3332,6296.5333,0,0
2014-10-09,1018347.0803,289838.5488,176015.6001,145573.1588,63099.8487,45316.6758,6762.4334,0,20342.5332,7062.6667,0,0
2014-10-10,1676246.8044,312172.5664,28855.9467,182133.1238,64554.4310,46884.9513,9492.2634,0,17008.6334,37237.3333,0,0
2014-10-11,1662254.5465,309525.4841,18354.8977,177547.9196,29911.7732,43651.7196,10113.4966,0,20108.0110,572.8000,0,0
2014-10-12,1457236.0624,265292.8938,41450.3735,186385.8369,59898.6489,49274.7998,12024.7901,0,20508.6056,0,0,0
2014-10-13,1528294.6049,293551.2022,38784.9602,180877.3409,66614.6666,43697.7335,75559.0064,0,32578.8778,39255.4666,0,0
2014-10-14,1498142.0038,318074.2032,36277.5114,212684.3971,49792.8756,38788.0935,22644.3598,0,23013.4779,35074.4889,0.8267,0
2014-10-15,2049780.9119,306316.4269,63859.6267,206265.6044,50821.3954,44198.3020,11397.5701,0,27256.7776,60182.4001,58.8578,0
2014-10-16,1785515.8268,297532.8936,57064.4445,230352.0766,77904.0799,49352.3382,80272.4201,0,19738.9113,19108.2667,253.2955,0
2014-10-17,1501648.5773,313254.0630,80745.8844,213886.6882,95330.9023,66232.4488,59689.7334,0,5840.1444,30772.9333,0.2133,0
2014-10-18,1819783.1028,267565.0070,29252.7733,173061.3741,92744.7023,78275.7647,19692.1866,0,14224.1501,0,98.7777,0
2014-10-19,1036858.9636,266828.8206,25905.8488,167244.9701,46109.9378,75643.1377,7230.5633,0,12572.8946,0,192.0955,0
2014-10-20,1078753.7333,267804.3538,26551.4136,202939.1608,38849.5556,73333.5601,15344.5367,0,11794.9501,502.5000,135.6489,0
2014-10-21,167590.9332,271934.0887,40338.9688,219667.2230,75064.6268,70533.8180,18057.2968,0,12317.5334,1150.2000,0.6311,0
2014-10-22,1760325.3433,306250.1670,43572.8177,217802.5982,94961.0933,66764.9333,14699.5167,0,17014.0721,7222.7556,0.5689,0
2014-10-23,1651545.2220,296884.3757,169639.5464,167628.2352,92357.9334,67255.4887,18181.1365,0,26405.4166,0,0.1511,0
2014-10-24,1863475.5910,296549.3420,115786.7911,183713.1294,92136.7954,68606.0001,13043.8801,0,25002.6721,0,23.0400,0
2014-10-25,1775907.1420,253974.3974,124517.1290,161657.1954,95643.3779,74052.1779,9127.5533,0,5780.9388,0,0.1689,0
2014-10-26,1405850.9873,214764.4013,90775.5468,183151.3226,94155.9020,75446.4178,15438.2867,0,15722.7665,0,101.8177,0
2014-10-27,1033099.7515,214440.0265,184378.5955,189755.3290,93249.7865,79741.9641,29479.4401,0,17325.6223,0,26.7577,0
2014-10-28,380850.2169,264593.7905,431007.8225,201927.4561,85850.0176,79069.8444,31562.1168,0,27423.0834,0,179.5755,0
2014-10-29,1675058.8663,303026.6733,223989.4487,200288.7125,82902.0847,77504.9866,26038.5232,0,20343.3612,0,97.1623,0
2014-10-30,1574012.9025,291802.3495,151655.9644,161089.5055,95521.2891,72369.2933,35300.5201,0,23187.5057,0,975.9377,0
2014-10-31,1702991.8256,261492.0938,112139.2980,174117.7850,96350.5956,76444.8664,26961.5400,0,23665.8556,4288.8166,136.1711,0
2014-11-01,1379105.9606,277039.7667,113469.1645,119978.6689,96183.0179,74709.4666,15090.6900,0,9787.0446,9489.2778,93.5533,0
2014-11-02,1767541.3376,210011.6245,175565.5203,93302.3972,92818.4666,75024.8844,9677.0833,0,19942.6112,9174.1389,119.0711,0
2014-11-03,2053621.3020,240813.9909,244049.4846,132314.4020,85001.8979,65340.1064,10354.0267,0,30607.7945,9044.9556,117.7823,0
2014-11-04,2042749.6367,299414.6819,234830.5957,184473.0939,41387.0222,72901.2978,9817.6501,0,30241.7278,6298.7167,120.8667,0
2014-11-05,1949893.3238,294959.9732,94454.2312,195837.2243,46871.4756,78988.1733,18819.1833,0,19109.3058,16514.9611,24.1378,0
2014-11-06,1862087.8452,291207.9760,298398.0092,191067.1324,90274.5469,79796.8091,7194.3665,0,20227.7778,3415.8443,0,0
2014-11-07,1886233.2431,305444.0515,192336.5245,199225.3995,89612.0933,78274.1067,52013.0566,0,18521.3333,6912.3611,0.4622,0
2014-11-08,1842231.9648,292710.0887,377600.0356,184507.1902,90076.4001,70336.4267,32738.8933,0,11270.6888,9628.5167,0.2133,0
2014-11-09,1653178.0633,271586.2603,378576.2845,140142.1587,84046.2576,62653.7733,7312.4667,0,8756.3388,9244.6445,0.2044,0
2014-11-10,2009653.7557,261984.4644,325973.1020,227835.6107,66260.9157,67171.8624,10586.4631,0,9687.5889,9665.4667,107.3844,0
2014-11-11,2064655.8187,284740.3379,385395.8842,169106.0155,71614.7421,79082.0576,17634.4266,0,14879.7556,9023.5000,20.6933,0
2014-11-12,2042868.5281,296506.5047,431117.9292,161073.0009,93340.7733,79571.3867,9918.8268,0,11800.0667,8479.0113,20.7577,0
2014-11-13,2092746.0898,299539.8221,446181.1113,158940.0832,79307.5867,81101.2003,9410.7668,0,2225.9111,9007.6056,12272.1689,0
2014-11-14,1964145.2672,311461.7088,498857.4579,114038.4645,75293.9780,80640.8313,8794.4133,0,6072.2445,9034.3388,2006.2866,0
2014-11-15,2151743.4049,311501.4158,306758.3641,107641.3012,44126.5510,81060.2535,5955.6799,0,5879.2278,4813.5778,142.7200,0
2014-11-16,2077953.8046,310886.3484,401400.1958,168460.3504,67433.5291,66409.0624,12068.4133,0,5278.3000,4041.2167,786.5689,0
2014-11-17,2037498.3416,298908.3424,383679.3958,148010.0184,80476.5912,64706.5687,11544.3334,0,17090.9445,4813.4111,71.3133,0
2014-11-18,2005226.0181,277925.9782,462259.1022,156689.0040,94410.9557,79425.6889,4555.4900,0,3858.1723,4563.0278,1699.7623,0
2014-11-19,1897130.9460,306051.0066,494199.8667,150714.3194,74986.4088,77480.8575,8160.3099,0,553.7611,4208.3833,1905.0244,0
2014-11-20,1926184.5649,311475.1199,521015.7599,173142.1710,80871.5022,73920.2979,17001.6267,0,427.4333,5416.9667,738.2178,0
2014-11-21,1952267.6216,297247.8438,502553.9201,154488.5922,83946.7159,71565.3595,15010.9034,0,3325.0890,5097.6333,0.0800,0
2014-11-22,1692596.7214,224285.8528,506745.9200,149342.3058,89431.8132,64034.4179,4215.5766,0,4925.8277,2268.4944,0.0089,0
2014-11-23,1391549.1548,252169.8955,484816.9155,89599.9766,89489.0309,62004.3242,12329.4599,0,13781.8889,2369.6222,0.0089,0
2014-11-24,947147.9280,293378.2286,452166.0536,106246.8930,81665.9777,52769.6357,7338.5699,0,7853.5889,2410.6333,14.1067,0
2014-11-25,347392.4571,299549.8069,414818.4800,122592.0156,85474.8890,66077.2715,7791.1631,0,11994.3890,2436.7332,0.0089,0
2014-11-26,2085047.0497,281650.8090,421069.3333,139082.4272,82348.8445,69319.7998,17268.5467,0,10338.6390,2402.5111,0.0089,0
2014-11-27,2010814.9562,259357.2683,504744.6667,121815.3867,85300.8803,73565.9425,15519.3599,0,2984.9223,1107.8333,0.0089,0
2014-11-28,1530267.2718,268831.9553,384894.2047,118766.8891,88795.6710,67241.6041,4518.4998,0,7224.9832,1551.3444,0.0178,0
2014-11-29,1316517.2884,243961.7646,521823.1733,92789.3553,90395.7423,53923.8221,5936.1566,0,5843.0776,14.5499,0.0089,0
2014-11-30,1388591.0847,234563.5270,509548.6310,97806.2204,32537.3729,45099.7688,5560.0867,0,6109.8110,1572.6444,0.0222,0
2014-12-01,1572787.5434,217825.0821,469379.8754,153617.8201,81023.7912,46842.0932,11076.7202,0,5742.4167,2522.0111,0.0089,0
2014-12-02,1743763.1383,219337.3424,367588.8978,132690.3564,27265.7512,56744.4888,14733.3733,0,4142.6222,3144.5334,1057.6089,0
2014-12-03,1829716.8006,293676.4440,351413.3688,143446.7380,58315.8400,62034.3908,8311.5868,0,4800.1278,3703.8333,0,0
2014-12-04,2140971.0310,286699.0418,447698.6311,142310.3738,93144.1778,66784.5864,15004.4501,0,7340.2722,1838.1278,8.2200,0
2014-12-05,2071497.2039,305626.7221,486405.1733,161105.6283,86414.9912,66673.5020,25032.1802,0,6611.7275,4853.0557,50.1689,0
2014-12-06,1890054.4623,296302.8220,409179.9732,180114.2830,91410.8179,47161.5467,25105.5234,0,3833.5943,2762.1723,208.5822,0
2014-12-07,1913006.2482,287825.5422,426666.5599,161130.9676,88343.0533,27518.9734,28013.6566,0,3406.2670,4606.6945,0.0089,0
2014-12-08,2000005.8245,298271.4335,360206.1333,206798.3086,83755.0400,49756.3199,25770.3901,0,8833.5502,6299.7278,260.4267,0
2014-12-09,2059938.5245,312871.9999,132521.3600,200629.4464,87521.4400,45159.8131,53065.9401,0,9680.2833,4923.6167,0.0089,0
2014-12-10,2074606.4230,308312.4136,238232.1954,187646.5384,79043.1246,51020.9906,74408.0165,0,5170.8280,2911.2445,38.0089,0
2014-12-11,1996082.8134,310842.1091,473996.7023,195839.6963,84628.0134,45396.3244,69689.6036,0,13494.4945,2417.1778,192.3444,0
2014-12-12,1939340.6670,312639.1646,489563.2622,169735.6242,84715.8221,48113.3867,106163.1099,0,17421.3668,5966.2110,1186.8023,0
2014-12-13,2032472.9826,310873.2581,432645.1645,157761.7067,94626.5777,49810.1202,123731.5165,0,13322.3777,4524.7723,720.1022,0
2014-12-14,1929802.6320,303358.7332,355069.0930,107004.0121,95227.6222,48948.4667,233835.6467,0,17913.9276,8670.8444,0.0000,0
2014-12-15,1594396.8720,308401.3111,389698.0443,107432.6116,96838.3022,52561.5688,192061.9268,0,12225.2055,6667.1332,0.0089,0
2014-12-16,1897122.2933,302772.3222,333785.9377,186560.6140,96378.7598,52587.8134,174109.0669,0,10436.6556,8136.1277,352.1644,0
2014-12-17,1981032.3025,304737.8822,373217.1911,183449.2306,96079.9111,47098.3464,128946.1399,0,21525.0721,7706.3499,2177.1378,0
2014-12-18,1910321.4440,310606.2111,76696.6754,192452.9112,69580.1690,44110.5293,96220.8700,0,25925.8722,7256.3613,197.9022,0
2014-12-19,1828420.2490,313261.7865,294423.0046,192006.7834,59332.9377,49649.0178,19936.2732,0,32765.6390,6467.1890,0.0178,0
2014-12-20,1960114.4563,306836.5912,539998.0268,159528.9113,96883.2354,45421.8979,27686.9767,0,38811.4555,6354.4056,0.0000,0
2014-12-21,1954746.1299,298418.8869,503186.6314,138900.8369,97836.4221,38807.2711,35407.6899,0,12633.4554,5790.4445,0.0000,0
2014-12-22,1682237.9785,298997.4001,425720.0888,173875.2341,96361.1200,31582.4266,30477.8266,0,16406.3888,5340.2612,0.0089,0
2014-12-23,1766096.2975,315953.9731,277350.8089,166520.3236,75717.8089,23340.1332,53788.0266,0,7856.4221,5789.0888,109.8689,0
2014-12-24,1811595.4092,295797.4442,205356.9067,186213.8225,49245.6178,12336.1334,44596.5634,0,5240.7000,5562.8056,3366.8000,0
2014-12-25,1650780.0660,279356.2401,242921.8932,176116.9153,65050.4045,42793.1155,114939.1200,0,5147.8111,3651.6500,6004.6445,0
2014-12-26,1977958.1435,264422.9382,367333.7777,132792.4774,78729.6000,45450.5426,27619.5734,0,6118.6388,5780.0167,8195.9822,0
2014-12-27,1662016.9912,266256.6774,437266.5689,167250.7378,96769.1244,43435.8755,17886.3632,0,3842.8000,5473.3888,6847.0066,0
2014-12-28,1613022.7453,236693.9156,345458.1779,120864.8620,96791.9332,42822.9426,12434.6301,0,1606.9722,10068.6055,8203.7511,0
2014-12-29,1793164.9512,217362.7448,400491.9999,98063.3112,86140.2890,33913.2887,8231.0732,0,8083.8001,9307.9944,7449.8111,0
2014-12-30,2082263.6722,129827.3263,482085.9645,59230.3339,72288.1552,43547.0176,2288.2366,0,13893.9555,5492.6777,4413.4533,0
2014-12-31,1724590.7380,65415.1178,444258.8800,27885.7628,12470.3379,36453.0132,2918.0433,0,9214.9778,8938.1667,4413.9133,0
2015-01-01,1016608.8941,49249.2156,130828.4444,31057.8946,0,43693.4934,7037.0233,0,9883.3999,9387.2667,4413.2489,0
2015-01-02,1261004.0085,145943.6558,3232.1422,45405.5933,0,42827.8441,19841.9200,0,9548.4556,12877.9667,4414.1689,0
2015-01-03,915807.9025,246453.1020,2133.5112,50766.2887,0,41366.7066,0,0,7561.1001,12731.5333,7818.8844,0
2015-01-04,61911.6533,228270.5133,1683.5556,57368.2369,0,42612.7599,0,0,29.5945,11395.8999,5932.1689,0
2015-01-05,824186.0402,234743.2400,1977.7956,80606.0338,0,43439.2402,0,0,3055.5001,14905.7277,738.7356,0
2015-01-06,1885470.0589,264606.9728,13519.7777,113203.3277,0,42925.3777,0,0,28380.9111,13836.7000,0.0089,0
2015-01-07,1670561.7219,263734.2181,73.5644,204268.3937,0,43376.2132,0,0,20957.4945,12463.9889,0,0
2015-01-08,1967705.4014,249523.6727,22660.4353,92246.2152,0,47931.6889,0,0,21576.4388,11422.3388,1265.5711,0
2015-01-09,1767524.2273,273132.2578,36509.3690,102358.6314,0,37433.1693,0,0,17564.3944,9238.5944,978.8089,0
2015-01-10,1503706.7379,270896.9931,33486.0623,74217.9915,0,25843.8665,0,9.4461,16910.9277,6266.4944,1393.9266,0
2015-01-11,1227041.8444,287669.0383,11431.3422,76799.8286,0,42926.4266,0,22.9322,13574.9610,3559.5222,2802.0000,0
2015-01-12,919736.2983,291733.2004,36896.6221,216170.5819,0,45216.4801,0,31.7997,15312.8947,10875.6167,2712.1512,0
2015-01-13,378834.1508,278935.2084,136249.9467,204494.7788,0,47387.2799,0,68.6328,957.9944,9967.3946,2030.8000,0
2015-01-14,1867237.3995,305787.2607,26126.5776,105422.5326,0,45139.8090,0,203.2703,9228.1109,6616.7667,3549.4666,0
2015-01-15,1903499.9102,307894.7690,40630.9955,126417.8083,0,37440.8088,0,357.9881,19264.0666,6947.5221,8032.3245,0
2015-01-16,1957993.9382,304491.8422,21404.6933,148840.9078,0,23893.2801,0,469.1830,11016.2612,7428.0944,3757.2423,0
2015-01-17,1998967.1754,300141.4907,11404.9778,148489.0474,0,22957.9198,0,19036.9277,2888.3834,11722.5666,2710.6222,0
2015-01-18,1550233.6226,277452.1737,9768.2491,128541.5259,0,27167.4534,0,187849.0344,5516.6333,19535.3389,8360.1156,0
2015-01-19,1749363.5331,278582.8434,13312.5777,171289.8145,0,39432.4179,0,187896.1552,6476.5945,27964.2943,6600.1156,0
2015-01-20,1909630.2524,248209.8003,77771.7509,156460.3015,0,39496.2933,303.6733,165397.6179,4798.4112,20860.4945,0.0089,0
2015-01-21,2024939.2453,270001.3977,49125.3332,197425.5399,0,36974.2576,284.1600,184519.0569,1833.0334,20172.5404,0.0089,0
2015-01-22,2059599.9024,297311.1393,149083.7245,182170.4233,0,40860.0534,40.5000,135367.4399,8605.8054,30745.5833,444.0889,0
2015-01-23,2111292.8907,280831.1602,39407.7066,179769.6699,0,45897.7199,5139.0000,141233.6693,24799.5170,32248.5610,609.6666,0
2015-01-24,2165031.0175,299011.0511,20506.4800,190605.4443,0,46080.9156,0,200008.0383,14551.6110,23139.2610,148.3467,0
2015-01-25,2062202.4894,295191.3512,19393.1824,165740.9235,0,44669.5154,0,223689.4048,20386.1722,14105.6999,0.0089,0
2015-01-26,1992940.1423,294763.3797,37778.1422,164418.3540,0,35564.0980,0,240962.1753,12385.3001,25964.8721,0.0089,0
2015-01-27,2102304.6537,281443.1648,220275.0043,207057.7296,0,45650.4709,35.9867,106087.9811,13330.8331,20877.9834,0.0089,0
2015-01-28,2093160.6946,294505.9846,130081.3774,207686.3013,0,47746.1556,284.2867,116342.6060,9374.6444,18592.9833,0,0
2015-01-29,2066049.4806,235498.6174,174552.1598,193541.5923,0,47350.5286,195.8534,189982.2752,12411.3610,21943.1722,30.3688,0
2015-01-30,1997578.4897,284104.6758,154740.0003,194693.8700,0,41009.4936,115.4533,318821.0622,10712.4167,21265.7666,342.7645,0
2015-01-31,2062083.6325,240464.8736,218149.7330,174062.0658,0,52316.5156,0,445017.6835,1216.5890,19943.4722,0.0089,0
