title
"CPU Hours: Total: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[TACC STAMPEDE] CPU Hours: Total","[NICS KRAKEN] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[NICS DARTER] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC MAVERICK2] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total"
2014-02-19,1985162.9162,2594958.6036,267255.7873,184670.0215,0,145820.1033,86196.3863,73091.1686,0,2656.8689,721.2225,13.8933
2014-02-20,1898549.5296,2617770.6329,264741.7538,207581.4625,0,184200.1804,90656.3647,54702.7819,0,2893.1801,719.9875,2.8533
2014-02-21,2034216.3689,2595230.0601,265535.9685,181914.2313,0,177997.7003,94694.2447,54562.4890,0,3865.0310,726.2325,19.7178
2014-02-22,2077022.9785,2551780.1098,267314.9137,172269.9145,0,121590.6936,95924.2802,75572.8934,0,2100.5533,730.1091,96.1778
2014-02-23,1635261.6270,2403473.1470,260863.0285,170137.5718,0,56757.8131,60966.8579,60407.0359,0,6705.0511,715.6633,9.7933
2014-02-24,1149838.9615,2513493.5437,257635.5451,192164.1784,0,93844.2568,63848.3203,59904.1686,0,1767.4599,569.2325,28.0533
2014-02-25,303236.3684,2499654.5232,248984.8728,212179.8225,0,158501.5168,65262.8221,58334.6803,0,33.4134,722.5200,10.7311
2014-02-26,1872582.6168,2566394.0138,260616.1028,213221.3524,0,168308.9000,55892.8574,49819.0712,0,3979.2222,1004.6566,0
2014-02-27,1949483.7746,2554944.1561,263149.2982,206891.9544,0,128974.1603,82134.3466,47581.6042,0,5167.0889,1430.8716,0
2014-02-28,1925510.5460,2501098.0767,279838.1891,206276.1093,0,128436.8777,57332.8800,34086.0621,0,6410.3643,1453.2483,0
2014-03-01,1739682.2177,2619678.9303,294256.1533,207164.2509,0,111326.1968,66860.5643,39943.7240,0,1083.9200,778.6182,0
2014-03-02,1899800.9210,2654284.5103,289810.3022,207478.4695,0,227.0268,72051.0490,44164.2135,0,2670.7243,722.6934,0
2014-03-03,2093693.1243,2605556.3728,299042.1114,203689.5365,0,0,81608.4798,47343.3777,0,4378.5222,1014.8933,3.9556
2014-03-04,2067637.2988,2612665.0013,299345.0841,203595.8390,0,1495.3532,86274.4222,62851.8047,0,4511.1800,879.9801,8.6089
2014-03-05,2007717.1686,1984662.5664,304157.3689,196157.2247,0,26837.3203,94980.8534,63029.5210,0,9105.8534,719.9942,0
2014-03-06,2109251.6364,1795008.2234,291597.3958,201904.3579,0,71730.5567,75000.2445,60187.5507,0,8444.9400,719.9908,0
2014-03-07,1998167.1555,2458972.4268,281721.9065,189025.8413,0,193178.5497,80741.4000,52697.5686,0,187.6601,604.8392,0
2014-03-08,1492348.9192,950110.0202,209764.3824,108494.9157,0,65947.7702,22712.6446,49765.9911,0,581.2488,387.9058,0
2014-03-09,1738705.5470,1113655.6629,2544.1156,3339.7200,0,11432.7700,12351.1289,64977.3866,0,2633.6155,460.2050,0
2014-03-10,1839562.4594,1912154.0233,0,0,0,87416.4867,14327.1113,59605.7547,0,7136.5511,120.8342,0
2014-03-11,1949569.4578,2258263.3560,3699.0488,40247.4115,0,147676.2269,72641.1110,59954.6398,0,5011.4445,543.4708,0
2014-03-12,1971475.3648,2317771.0970,33014.4132,214653.7587,0,153358.2203,97579.7377,55503.9558,0,8697.4000,720.9250,0
2014-03-13,1992831.8304,2415385.0866,263100.2134,194475.4605,0,190534.8894,97379.1201,58059.9421,0,3336.2199,878.8983,0
2014-03-14,2068599.9860,2263516.1363,274452.4945,173692.7653,0,104620.9768,97383.5824,53545.0310,0,6160.2666,708.7567,0
2014-03-15,1941937.0348,2507988.6333,262230.0573,129602.4630,0,146001.9368,96782.9599,55743.6089,0,7343.6067,682.1867,0
2014-03-16,1794599.0315,2128071.7764,242937.3420,118015.8248,0,168526.0699,97179.4664,55509.9557,0,7273.7267,692.4942,0
2014-03-17,1612001.9514,2495178.9731,252518.1399,112301.9482,0,132196.0469,86731.0088,54056.0534,0,4865.5289,657.8433,0
2014-03-18,1021038.9801,2228357.0968,200618.7285,127314.0422,0,121721.2765,94053.5599,84384.7025,0,0,726.7133,3.7978
2014-03-19,1684000.5468,2277581.8271,214716.2003,129575.0152,0,154269.8134,72285.7287,78185.6220,0,0,727.9700,0
2014-03-20,1858712.1116,2503344.8100,302987.4716,164714.0549,0,118992.0858,77490.3026,65662.2842,0,0,720.1767,0
2014-03-21,1573912.0568,2545103.9703,306073.5962,155337.2563,0,97991.6765,96907.7734,64675.6578,0,0,835.5141,0
2014-03-22,913428.2267,2222380.1798,308693.7619,171172.8923,0,18041.3467,97192.2754,51544.6710,0,0,1439.9825,0
2014-03-23,2015275.7065,2499702.4770,301742.0780,145694.5730,0,23041.1565,81917.4223,42430.3467,0,0,1271.4383,0
2014-03-24,1909474.5694,2101122.2405,280637.7336,194594.7183,0,68137.7002,88403.9467,72579.2976,0,0,722.3575,0
2014-03-25,2006187.9289,2289040.6770,295692.8025,228927.4212,0,104899.0696,95915.0047,72398.4449,0,0,1440.2825,0
2014-03-26,2005705.2569,2492378.5534,268949.6426,224013.6201,0,153013.1370,96219.9243,67092.0399,0,0,1439.9692,0
2014-03-27,2041053.3066,2562508.7766,150491.7998,165372.9378,0,85707.8535,95767.3287,69448.7956,0,0,1441.3108,0
2014-03-28,2131564.8178,1625332.2763,102375.0511,105576.1201,0,108084.7268,85369.4311,69228.4890,0,0,1437.8067,0.3289
2014-03-29,2152947.6478,1956863.5464,195769.8160,79404.3333,0,69964.1567,77596.3556,66669.4315,0,0,1166.8900,0
2014-03-30,1947898.8228,2092769.9300,278651.1538,55982.3016,0,91985.9632,63155.5513,54316.5777,0,0,967.5159,0
2014-03-31,1967326.8517,2297812.2098,284338.1136,73468.7525,0,111916.7895,54436.6133,49614.8088,0,0,131.5560,0
2014-04-01,1993370.3196,2256644.7728,272116.1135,135676.9807,0,107445.4202,11322.6268,51059.4087,0,0,132.9425,0
2014-04-02,2088766.3337,2398786.2504,285560.8706,182450.9830,0,122106.4465,47689.4798,51979.9781,0,0,720.0125,0
2014-04-03,2008630.8948,2355681.3170,292579.2488,200320.1743,0,142291.8032,57184.4443,60529.2623,0,0,1080.5025,0
2014-04-04,1929511.6639,2303505.5035,199734.2400,142744.8677,0,160980.9333,86340.5200,73371.1647,0,0,1083.0766,0
2014-04-05,2091702.0492,2415561.7267,119663.4551,72723.0746,0,205667.6635,41077.9288,61503.4847,0,0,550.9200,0
2014-04-06,2013472.1116,2379201.5496,299687.0282,140426.9681,0,191632.1832,56453.8979,47170.1824,0,0,187.0742,0
2014-04-07,1983819.9596,2501417.5199,308241.1934,181462.6596,0,134295.0032,63087.3645,58180.1818,0,0,893.1875,0
2014-04-08,2063318.7518,1675760.3968,297123.8815,222106.2552,0,243326.0268,59163.5688,71605.9818,0,0,1080.5975,0
2014-04-09,2101583.2473,2366490.3432,298251.1444,212406.6128,0,149663.8534,67352.7025,77929.0490,0,0,1058.6825,0
2014-04-10,2118581.5676,2041840.4098,303633.4557,188111.6273,0,154488.2765,75874.0269,68282.6000,0,0,840.2967,0
2014-04-11,2183617.6524,2051200.8430,310108.9085,196872.4463,0,86525.8000,90306.7290,61727.1294,0,0,522.7075,0
2014-04-12,2128491.2313,2048485.3532,301022.4624,159524.1199,0,145575.5268,89008.6841,53187.2800,0,0,583.5884,0
2014-04-13,1939795.3126,2100804.4468,287281.4201,171092.3784,0,130578.1200,90799.1643,58538.4045,0,0,638.1925,0
2014-04-14,1152060.7293,2366385.1461,297943.3400,185998.2888,0,67847.1434,70212.1865,69272.1732,0,0,474.1051,0
2014-04-15,8827.2046,2094676.9698,313005.6181,147952.7068,18.3467,15713.5999,80330.9160,62905.9868,0,0,401.6108,0
2014-04-16,1476763.3419,1951726.5469,309404.9472,139388.8882,0,117919.5697,69589.7378,51053.6751,0,0,452.9076,35.6333
2014-04-17,1947728.0395,1446047.5832,310878.9673,155382.8262,635.1288,149843.2599,51856.4223,50103.0712,0,0,379.1917,0
2014-04-18,1985090.2850,2316132.7601,311084.4160,146250.4611,1165.7956,105652.7132,53873.5868,59123.8980,0,0,359.9933,6.0089
2014-04-19,2174038.8974,2403420.1865,312502.9061,153044.7448,0,85795.0638,80133.3423,66128.2798,0,0,379.7700,0
2014-04-20,1805844.3435,2539588.2133,308149.2352,133378.1482,0,51207.2903,29577.9023,64508.6089,0,0,293.3300,0
2014-04-21,2045135.6081,2250904.2760,309979.6977,160964.4997,2023.9466,48093.0632,63919.0577,60678.9420,0,0,417.2783,245.1799
2014-04-22,2075025.2852,2060547.7973,310503.5093,206301.5615,48609.2977,18302.0036,86799.8888,63408.4089,0,0,1057.7266,0
2014-04-23,2091448.1027,1738241.6833,307612.7727,202904.0174,52561.7867,104479.0398,85066.1111,65628.9690,0,0,1028.1358,246.4799
2014-04-24,2132514.7379,2186145.7431,307232.9775,211208.7328,52109.9556,94781.6766,85708.5555,67780.2174,0,0,855.4950,0
2014-04-25,2028588.9385,2208793.3939,304870.7287,166732.9918,64928.3910,91633.4201,82102.6490,66932.7018,0,0,1650.3909,0
2014-04-26,2075187.3078,2227598.1467,305850.2646,129192.8930,69284.7645,60795.9737,53710.9554,73447.1109,0,0,1710.4050,0
2014-04-27,2006768.8231,2082356.8334,296826.4778,101588.0560,75337.0134,36752.0930,48400.0889,72700.8843,0,0,1534.2891,0
2014-04-28,2062303.8313,1768682.2301,292830.9283,143481.6132,67476.9956,138348.6768,72384.3376,79359.5115,0,0,2063.1985,0
2014-04-29,1429683.0183,2205454.8363,318124.3334,223809.9545,31080.1868,120317.2544,80935.4932,75495.4177,0,0,1071.2160,0
2014-04-30,1442380.0133,668885.9500,311962.4134,228116.1233,86500.2134,79224.6633,81609.5956,74630.7334,0,0,672.4544,0
2014-05-01,1710789.4048,0,320739.8666,192331.0197,157187.5112,106641.2666,84054.9779,83752.8797,0,0,830.6778,0
2014-05-02,2031791.4307,0,300294.0044,226079.5946,61975.0844,95249.4671,86092.5422,81694.5643,0,0,783.0201,0
2014-05-03,1979348.0485,0,223675.4580,159106.3523,0,37540.3567,87412.2221,74179.4888,0,0,776.1017,0
2014-05-04,1917795.0272,0,120342.0286,127804.0727,0,47385.7500,35561.4801,77219.4975,0,0,807.0458,0
2014-05-05,1996401.1524,0,269874.3956,183312.8453,50241.8312,58922.2797,64317.0445,82749.2267,0,0,1201.0367,0
2014-05-06,1930196.8534,0,246096.1667,214092.4051,126098.9779,62921.0435,71665.6711,76268.7999,0,0,829.4185,0
2014-05-07,1979050.6704,0,321455.5247,201403.2101,87376.9509,62479.1369,88595.0535,77166.4667,0,0,589.5533,0
2014-05-08,2120031.4629,0,324749.4841,200555.9837,168740.6579,74313.0864,79859.3423,74553.4752,0,0,700.3408,0
2014-05-09,2022423.3439,0,321042.9956,214737.3921,101514.8887,90783.5733,80060.9507,72467.7961,0,0,638.3383,0
2014-05-10,2048777.1024,0,321355.8179,216755.2751,33979.7689,110957.2864,93374.2399,73772.4136,0,0,719.9608,0
2014-05-11,1958219.9206,0,310058.8552,188837.7276,22448.3823,121387.6165,88209.8536,68462.7646,0,0,442.1875,0
2014-05-12,1794492.3368,0,311229.3582,195305.5581,65804.9599,93570.2700,65549.6356,67851.1334,0,0,92.0735,0
2014-05-13,293448.3512,0,315572.8841,208768.4621,108288.1510,83813.3566,3411.7601,72822.2802,0,0,0,0
2014-05-14,2095588.3158,0,300785.2510,196798.8903,95361.8401,80608.1534,41047.3245,51539.9774,0,0,425.3400,0
2014-05-15,2060150.5958,0,323837.1396,178072.5762,129425.1112,90264.8871,92699.4535,32982.9064,0,0,1141.0000,0
2014-05-16,1991209.3947,0,323726.7821,158748.6775,178031.3244,158737.7469,89688.0443,39116.1423,0,0,866.0700,0
2014-05-17,2066956.3695,0,328287.3843,116497.4146,79575.9199,126147.3301,87730.5687,38205.2315,0,0,604.2291,0
2014-05-18,2061678.1070,0,308780.6845,66433.3018,288433.9733,77446.6967,80196.9022,38739.8980,0,0,591.6217,0
2014-05-19,2004970.2798,0,323020.0538,113566.7170,311318.0088,53457.4268,85318.8621,45266.1600,0,0,368.3300,0
2014-05-20,2131527.4449,0,329389.2110,134873.8632,391233.2977,78400.6967,93074.1199,37017.9823,0,0,264.6551,0
2014-05-21,1985896.2145,0,329019.7220,178677.6747,397628.3199,109642.3831,90030.2667,30501.4578,0,0,493.1159,0
2014-05-22,2014979.1915,0,331387.5895,174421.2753,346538.4441,123869.2839,90995.9067,23707.8442,0,0,634.0867,0
2014-05-23,1983536.4036,0,330883.3585,163430.1329,432878.4441,134518.4362,88600.7644,15396.6533,0,0,448.4150,0
2014-05-24,1747739.9391,0,332202.9248,107067.1190,411362.3199,73974.4200,87273.1778,1207.2844,0,0,399.3782,0
2014-05-25,1990550.7879,0,299825.6379,70342.5256,141929.8135,92645.8634,81995.7688,0,0,0,719.9942,0
2014-05-26,1935865.5693,0,257989.3890,80576.5908,103469.3688,90470.8198,74888.7064,0,0,0,598.0659,0
2014-05-27,2053860.6486,0,293996.4002,137397.8501,198526.4002,26088.4798,72882.3066,33728.3291,0,0,270.3825,0
2014-05-28,1863517.2799,0,306600.0286,158247.2298,285902.8180,89374.7902,77303.7110,75689.8089,0,0,409.0890,0
2014-05-29,1889460.4628,0,321538.8797,157107.4289,272765.6268,70015.2735,87339.5198,78009.9422,0,0,356.2632,0
2014-05-30,1963452.3503,0,324746.1422,139193.8704,351771.1729,80815.2829,82704.3555,72363.7424,0,0,424.7090,0
2014-05-31,1792895.6078,0,317593.9727,144756.1756,248494.3468,71182.3765,92701.1023,57745.6266,0,0,1213.6799,0
2014-06-01,1563049.0621,0,307952.7334,94607.1578,172183.7598,113357.2835,80616.9955,40522.3865,0,0,941.3034,0
2014-06-02,1933066.7772,0,312838.8052,90599.0242,240488.5334,83547.7736,87074.7645,40807.8179,0,0,292.9424,0
2014-06-03,1997313.0531,0,301626.3115,159659.8782,330753.5200,68695.2735,44640.2088,36574.8444,0,0,81.1092,0
2014-06-04,2032959.3508,0,313506.7242,210788.1330,169510.8265,138431.8559,47326.5781,23427.8799,0,0,151.5684,0
2014-06-05,1965381.2847,0,263851.6176,226431.0284,321497.2623,133663.7669,90915.7910,54543.1690,0,0,400.5750,0
2014-06-06,1906249.6664,0,134707.1083,232873.2740,414882.0003,136421.4866,93007.6668,48494.5778,0,0,623.2208,0
2014-06-07,1972986.5569,0,312647.2148,207748.2402,435655.5466,82364.8166,76851.6356,41818.8221,0,0,579.9450,0
2014-06-08,1890671.4762,0,324875.9334,133453.6735,145362.2312,43223.2734,70161.0354,40069.0619,0,0,287.9950,0
2014-06-09,1577760.6384,0,324000.1710,171528.4199,322862.2130,49861.3269,86084.1289,61162.7869,0,0,257.7400,0
2014-06-10,1866957.6800,0,317569.5696,196317.1706,376725.1380,70063.3466,80680.5556,56379.7867,622.6167,0,177.2742,0
2014-06-11,1582713.3589,0,292490.5998,186784.3805,298920.7820,91359.6573,92078.4932,71811.8443,7873.2888,0,481.8566,0
2014-06-12,1926025.1913,0,282931.9754,170249.0100,479297.5554,84122.2797,72587.9513,68547.2929,7216.6834,0,498.6091,0
2014-06-13,1786914.2802,0,289506.0429,201354.2235,435206.8269,95776.4096,69692.7601,61116.8127,6910.8666,0,426.3875,0
2014-06-14,1631547.2886,0,288988.0353,176942.1710,480886.2487,50840.3802,29901.3334,61231.8849,8563.3889,0,339.6883,0
2014-06-15,1154121.9957,0,260542.4044,93006.4698,403720.1333,69453.0296,48888.8268,59845.5022,13214.0112,0,286.9225,0
2014-06-16,761103.5247,0,286932.8136,147677.4259,469810.2224,129265.6001,70258.2091,53631.2974,7989.8667,0,225.4767,0
2014-06-17,76832.3205,0,285984.2617,128706.3412,279435.0756,143030.9902,57315.2578,63661.6837,10802.1055,0,157.5234,0
2014-06-18,1175966.6707,0,290545.3680,144883.1403,91008.3021,141139.0769,52268.6709,77469.5822,7377.2388,0,337.2841,0
2014-06-19,1852492.6046,0,303139.3485,140330.5191,329965.6263,196744.7999,84968.4711,53220.0311,9579.1110,0,880.3134,0
2014-06-20,1678196.2040,0,318474.7688,181354.6056,384835.7246,163772.6197,91366.6932,58493.4577,14918.3278,0,588.0808,0
2014-06-21,1681310.1859,0,306499.2002,217220.7748,415567.3332,202898.4336,76892.4668,71805.9867,21343.4223,0,416.1183,0
2014-06-22,1650743.6258,0,298102.8423,146593.4523,421466.2131,137496.6100,78036.0533,72885.3203,12636.2501,0,382.3226,0
2014-06-23,1745851.6395,0,304601.1451,177772.6125,429947.6799,191642.8464,76691.0000,70951.3331,5853.0555,0,423.8459,0
2014-06-24,2071321.9018,0,310370.4261,186848.6139,376995.2354,165308.6567,82205.8312,64502.3113,6668.2834,0,491.5742,0
2014-06-25,2040465.8228,0,321413.2422,180098.5796,254268.9242,168187.5773,87953.9777,74148.8707,4770.3444,0,601.5534,0
2014-06-26,1995252.0713,0,316452.0218,171515.9849,301339.6268,114127.0733,95142.2934,66743.2889,7195.4779,0,477.4558,435.1955
2014-06-27,1940940.6889,0,295568.2107,199285.7600,284783.1290,129743.2666,74763.0844,75572.4356,6631.7337,0,739.8750,199.5733
2014-06-28,1987246.5926,0,303972.5775,189641.9882,396330.7469,148279.1833,48766.6842,80982.0579,3192.9112,0,764.3608,133.1467
2014-06-29,1889498.4169,0,281623.1865,181810.8398,51625.3333,168067.1930,48891.3954,68171.0845,3377.0611,0,547.2609,69.4666
2014-06-30,1923754.8578,0,262793.1643,193934.0590,74829.1826,146503.5534,45674.5998,66141.2621,6689.6055,0,340.9684,1901.8666
2014-07-01,1942986.4616,0,308734.8670,187567.1457,260149.8221,158448.8299,26504.2799,72489.9156,13884.4553,0,156.7125,84.6200
2014-07-02,2018225.2079,0,315473.2667,186003.5259,141655.5201,125456.1799,15547.2089,71034.9332,28943.7221,0,0.7125,74.5644
2014-07-03,1934960.6849,0,318043.0508,215829.4084,285091.2623,147933.6304,64332.2354,67139.7512,15731.7164,0,6.9250,0
2014-07-04,2074622.4003,0,317627.7399,215668.1735,157293.0934,120167.4466,49771.2710,72841.1555,12745.7668,0,0,0
2014-07-05,1643043.3369,0,293149.3865,207626.6403,133481.9733,143316.3934,41616.8668,78789.6313,1753.5110,0,0,0
2014-07-06,1623585.1601,0,248245.5819,217450.9707,84050.6579,164585.2535,34754.4133,76987.2355,20448.8223,0,1.7484,4.7200
2014-07-07,1809530.8221,0,277291.6909,219484.4376,252069.9020,86495.8469,53911.9957,79853.4845,13715.3219,0,0.7933,20.1911
2014-07-08,1931186.3105,0,314013.5637,219066.8674,195863.8755,80176.4133,87373.3823,75949.5468,15242.9335,0,530.4226,255.3310
2014-07-09,2020798.4577,0,315760.4149,221970.3436,96397.0135,184241.7700,91987.8843,64103.2803,22376.2721,0,914.8108,11.9845
2014-07-10,1968888.6889,0,315494.0864,220439.9325,121249.3334,141041.8169,87053.6441,67624.7336,28722.3834,0,554.2833,1.1689
2014-07-11,2026725.3470,0,316772.2979,221275.5253,80922.5335,189829.6199,88322.1154,38101.9604,15291.7556,0,320.0183,45.8623
2014-07-12,1961558.9646,0,303480.6264,217258.1888,174911.8756,85987.5430,81737.9332,59555.8665,14150.3556,0,347.9466,0
2014-07-13,1347219.3192,0,279782.5821,216992.4086,82156.5510,152502.4033,91071.8134,67877.7910,4917.5611,0,356.0575,0
2014-07-14,1026847.4572,0,281333.5150,208110.9719,183450.1424,100475.0399,93952.7687,59438.3779,4301.5167,0,223.1316,1816.6911
2014-07-15,172126.4928,0,318998.9736,221694.9342,106996.4177,77414.3167,88210.2665,44126.7690,398.4110,0,224.3408,2035.9223
2014-07-16,1468271.2670,0,312683.2726,223993.2768,269156.2225,94879.8333,93604.2443,40819.7910,10352.0944,0,111.4958,272.7578
2014-07-17,1468836.5693,0,316594.9843,216061.7334,365854.8357,117749.2964,72266.2579,50186.3823,22073.2780,0,119.6583,2263.5090
2014-07-18,1800415.7680,0,310939.4425,222097.3047,410698.8178,162072.3667,83412.6268,53248.8935,25853.1109,0,553.2016,14.8267
2014-07-19,1666329.2306,0,308361.7378,216147.9842,253206.2399,136798.1134,93552.4088,13908.4579,27032.8999,0,799.5292,2.6978
2014-07-20,1338257.2816,0,307624.0445,216325.7979,157836.0446,80969.2700,68718.3869,30552.9689,19196.3943,0,356.6908,36.8356
2014-07-21,1953840.3649,0,313174.6045,220739.4501,174265.6533,63737.2165,75224.1069,49551.7775,9200.9055,0,135.2017,1042.7556
2014-07-22,1988322.0134,0,312222.6104,214753.3793,95512.0799,53198.2829,74969.7823,48946.5554,7487.9610,0,120.2450,823.3155
2014-07-23,1985305.9976,0,310922.0481,211990.6179,64861.3865,61191.7634,32357.9466,6648.2312,10215.1056,0,143.3058,347.0223
2014-07-24,1891334.5690,0,318454.3221,214591.4016,219062.3822,63747.8362,43834.9512,10216.4800,14148.3167,0,181.9484,459.8333
2014-07-25,1931654.1940,0,302452.1863,210051.9145,309968.8003,85853.8969,95122.8445,19303.0801,20070.2221,0,405.9417,116.4821
2014-07-26,1950848.2579,0,310150.5972,214968.8378,384936.0529,92819.8467,93940.5779,18023.2000,24481.3612,0,406.3800,14962.9000
2014-07-27,1712285.8842,0,252067.3449,213739.4385,30576.5956,83051.0936,81810.2399,18731.9334,20946.7333,0,426.4800,8109.1445
2014-07-28,1856389.4887,0,268835.0956,220719.6705,287123.2443,108466.9033,57142.7290,18983.7423,27650.8779,0,537.1492,14539.8844
2014-07-29,1960493.2749,0,298536.4681,223569.0696,215924.8443,106134.7168,32984.4445,19356.8800,21906.7446,0,798.2966,8352.4222
2014-07-30,1834925.6720,0,321014.4396,219857.4212,213608.5424,88968.0566,70438.5466,20838.8888,6432.9167,0,1021.7800,726.2933
2014-07-31,1911642.3527,0,309623.6397,217945.6778,411866.0445,128852.8935,39034.1244,20592.7420,7075.3278,0,956.7850,2732.5644
---------
