title
"CPU Hours: Total: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[NICS ATHENA] CPU Hours: Total","[NCSA ABE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[TACC LONESTAR] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[NCAR FROST] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[PSC BIGBEN] CPU Hours: Total","[PSC POPLE] CPU Hours: Total","[NCSA DTF] CPU Hours: Total","[NCSA LINCOLN] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[IU BIGRED*] CPU Hours: Total","[NCSA COBALT] CPU Hours: Total","[SDSC DASH] CPU Hours: Total","[ORNL NSTG] CPU Hours: Total","[TACC SPUR] CPU Hours: Total"
2010-02-17,1711512.7670,1231983.2574,0,153825.3493,3223.5201,35368.3904,69241.3139,44577.6890,19575.7420,84515.1156,19025.7342,29021.0399,13927.6159,16693.7909,1503.2399,1522.1122,0,51.0178,54.1156
2010-02-18,1909733.7359,1238952.3369,0,134700.9378,0,39200.1742,80398.9118,102480.7999,29342.5838,88125.4253,19396.0932,31913.9785,23221.5864,11629.2667,1734.1977,1523.5627,0,75.4766,128.0578
2010-02-19,2272428.6272,1257780.1961,0,154202.3047,0,40651.9713,78815.0578,54068.3021,26859.8501,90791.8483,19787.6919,35776.7532,28583.9997,419.4778,2169.8955,1534.3425,0,34.3200,7.9689
2010-02-20,2346733.7800,1259363.7648,0,128345.8449,0,34627.2173,74230.7441,82021.3511,25685.0762,85382.5098,19465.5643,38280.1919,27664.8378,0,1150.7722,1620.1431,0,0.2433,0
2010-02-21,2303495.0862,1276901.2627,0,158475.9597,0.0044,37551.4155,70337.0502,43908.8534,24902.9187,73980.6952,18762.5411,29662.3970,23724.2243,0,1294.1778,1480.9298,0,0.2467,111.4444
2010-02-22,2190876.2431,1320062.9154,0,147245.6506,4858.4155,46191.0060,68919.1935,42052.9421,22469.1377,90854.4413,19329.4433,31865.3120,19632.4800,828.8112,1183.1368,866.0139,0,169.7083,157.5066
2010-02-23,2093798.7805,1173253.3825,0,149967.4774,45415.5290,53554.4975,64403.0200,87761.7778,19569.1963,88146.4206,19650.7455,38113.4792,16974.7799,91.9290,1620.5499,1590.1125,0,46.3389,164.3866
2010-02-24,1795960.9968,1270171.0749,0,127095.4931,64441.1825,50106.1209,53880.2461,78363.1822,20809.2794,96738.1626,19459.9613,36899.2623,21117.7158,376.2999,1605.9668,1941.9493,0,44.8527,60.8267
2010-02-25,2104170.5399,1178345.3556,0,113568.4195,84657.4159,45977.1635,48499.3973,40525.5467,15556.2373,96972.1973,19106.2126,37888.3099,19023.1889,452.2535,3073.9991,2304.0868,0,56.9482,64.1200
2010-02-26,2186940.9365,989537.3553,0,105487.6976,118269.1738,51012.4509,48538.6012,51242.1157,13895.6674,94974.2532,18154.1400,37568.6162,17522.2156,332.9089,3486.8143,1686.2450,0,45.4250,0
2010-02-27,2021664.2170,1163877.5689,0,92544.8981,117017.2468,50518.8910,43037.6248,67408.3021,17133.0978,87336.2965,18111.6132,35915.9254,16864.6778,103.7867,1462.7844,1079.4657,0,0.2477,190.2711
2010-02-28,2055992.5497,1073370.7115,0,75311.5016,83493.2802,46182.6348,39008.3948,83769.5824,14212.0933,91978.8615,18017.4255,35750.8101,21005.2201,656.5511,1539.6879,919.2150,0,0.2444,174.0533
2010-03-01,2302995.8267,1072002.1381,0,141580.4699,121765.6757,40780.4411,55054.5183,96100.3911,19802.8872,94173.7366,17933.7268,25842.2027,27614.1778,53.2155,2337.8545,809.0221,0,46.7589,215.3733
2010-03-02,1810142.9367,1155359.1384,0,146902.4930,111946.3224,37272.4045,60962.6804,80095.5379,32771.5777,95790.0611,17371.5390,24056.3945,27985.3821,26.1177,398.5100,1410.3066,0,51.4255,219.5466
2010-03-03,1801050.5766,1141726.6396,0,137366.3674,99184.9666,42875.5869,63895.1288,89264.9068,86499.2920,83713.5969,17912.3485,31322.8378,26367.2888,949.2622,788.3657,1319.8240,0,45.5289,298.3289
2010-03-04,2279451.3067,1153605.6578,0,133810.7729,101324.8933,50926.7661,47152.4737,42448.6043,75193.3739,84887.3842,17843.4413,31158.5680,19311.2313,1108.6601,845.7855,1959.4614,0,72.6978,213.4355
2010-03-05,2095082.7668,1172929.4166,0,151162.5226,108824.7000,46631.2309,40208.7049,43667.5023,62979.8495,90584.1673,17708.4635,31163.0443,18022.4645,1509.1132,1607.4375,2189.6330,0,47.0450,355.9245
2010-03-06,2326013.2067,1132522.8490,0,140822.5552,115356.6112,57379.1866,54314.8596,72220.2843,46104.3454,80104.0118,12700.0747,35220.7652,20016.0888,73.9289,2481.5390,2188.1079,0,0.2489,0
2010-03-07,2249782.4429,1148048.8573,0,110114.6525,107206.8487,65355.8514,53710.1776,36103.7156,29750.2287,44903.5589,16768.9733,32355.1754,10674.1555,39.1889,1993.2534,2203.6101,0,0.2484,113.1689
2010-03-08,2076362.6804,1111353.5768,0,161522.9177,96211.7021,54427.3012,77630.8004,31712.9600,30016.6699,93433.1380,15085.1141,34766.2938,7200.5845,106.1156,1136.6844,1802.3289,0,125.9732,307.2400
2010-03-09,1100104.4366,1165210.7072,0,155125.0229,91786.9736,61741.9958,81154.3300,52569.0665,35590.0996,82453.0268,15557.7757,31264.6488,6139.0088,2243.9112,1642.2088,1520.8872,0,95.8200,278.5511
2010-03-10,1782989.5967,1129219.0755,0,143985.2599,100244.9667,52008.2862,39716.9276,62957.4757,31914.9382,92917.3466,18819.3075,34634.2156,6519.6779,5997.4512,1485.3833,1951.4526,0,95.7727,235.1066
2010-03-11,2306049.0365,1200719.1105,0,154160.6223,115575.2403,47528.7682,45250.2285,31531.8754,30127.1748,75818.7396,18341.3133,28995.0655,8006.8472,11222.3713,1200.7077,1707.7725,0,119.3556,140.5867
2010-03-12,1943472.3933,1124843.1158,0,130780.5575,99853.8533,42296.7679,55094.2647,37375.2890,30609.4551,88045.1222,18409.1111,34424.6062,2883.9595,10289.2866,994.4833,1714.5464,0,47.6379,88.5423
2010-03-13,1024616.9202,618522.2980,0,144383.5429,76265.0734,32696.9115,29881.6814,43450.3645,31437.9402,69900.9676,13681.7812,33828.6563,2351.9000,5131.8113,1221.8467,1228.1141,0,0.2478,0
2010-03-14,1192707.6299,722741.1199,0,130813.2834,82585.5866,37059.6586,60186.8751,1253.9200,27230.6316,49138.9660,16456.8214,31271.0349,6597.3286,10885.0688,1942.1311,1786.1949,0,0.2439,0
2010-03-15,1781386.7364,815398.5460,0,155539.9075,110052.4756,57355.5746,59006.5296,4736.6045,35550.9189,78817.0150,17555.0932,33637.4143,12269.9155,4880.0600,1190.1000,2184.4394,0,46.2450,88.4533
2010-03-16,1459410.3339,584869.8444,0,127790.9271,117520.2002,54589.9491,44684.6616,20631.2535,46352.7424,79991.7343,17722.4257,34399.3421,9210.2157,10188.7334,1571.5977,1869.2576,0,104.9906,40.5111
2010-03-17,1619243.3865,1306156.9696,0,38102.2269,119878.3686,53849.0053,46216.3073,42784.0535,28327.3890,86057.0314,14958.7671,33821.9745,2166.8089,8.0556,1711.0913,2057.0709,0,49.1639,482.5822
2010-03-18,2185429.4235,1243087.1690,0,153426.6260,116340.9733,59063.2018,65825.4518,70824.0890,31346.2871,51142.7598,16868.7501,32599.3227,4362.4128,36.2289,2434.6467,2112.7812,0,51.1228,512.1511
2010-03-19,2033783.4963,1326053.1602,0,174351.8363,104019.3731,52757.9011,75561.0657,33313.3511,37652.0429,66992.3033,17195.6189,31055.0984,6706.4089,48.8111,2497.7334,2100.6758,0,50.3950,697.2534
2010-03-20,1901884.2764,1309149.9509,0,194465.5752,103983.7223,54420.9077,65854.5394,31525.4755,27203.9316,63341.6177,19148.6612,31071.3696,6919.9287,0,1779.8332,1614.5519,0,0.2595,1072.7423
2010-03-21,1539415.6168,1259899.8216,0,192716.6578,93350.3312,50631.9333,58388.6369,89584.6400,26677.8377,80444.5077,13058.2611,31488.3078,6422.7245,0,1920.0022,1773.5138,0,0.1645,481.7110
2010-03-22,1904557.9926,1218955.0308,0,189262.0797,94666.7932,39828.2285,70037.3604,28510.0089,33002.7698,91532.4924,16507.6068,32873.4209,5048.4843,91.1200,1611.0010,1888.7889,0,48.8461,193.6977
2010-03-23,1948678.5598,1263974.1517,0,163015.7355,88565.0870,52745.4464,52041.2023,68463.3423,27451.0353,89176.8612,17027.5055,33185.0483,3763.5844,0,1427.2401,1861.1510,0,44.6139,491.5422
2010-03-24,1549425.9633,1288036.0225,0,157273.3355,99227.3156,49418.7756,72620.1011,56670.3111,30183.6810,95205.0807,18587.1244,34148.7721,5582.9669,3599.5644,1432.9066,1581.8445,0,49.7116,388.6755
2010-03-25,2347359.0634,1192503.5420,0,165742.4221,117541.6091,74705.7293,53068.2019,50466.8977,30660.7994,95682.9767,18987.4987,31930.1586,4731.4603,1993.7156,1364.2178,1722.0905,0,46.2389,0
2010-03-26,2131519.2799,1085434.3694,0,189911.3266,108776.6198,63298.5269,74038.5316,40577.7777,36357.2916,94302.0771,19030.4164,33848.9180,5840.3758,3206.9911,1394.8810,1882.3703,0,75.6000,63.4267
2010-03-27,2195623.2499,1060848.9953,0,190770.5317,110471.2089,49747.4873,73649.0805,46093.2800,28002.7370,95289.0622,18700.3267,31626.8312,4794.4045,32.2822,1417.3887,1430.0266,0,0.3173,27.5467
2010-03-28,1798636.9707,1204816.2353,0,182595.3159,94074.2644,41021.0222,59335.6047,49146.6489,33015.3356,88924.2257,16780.6433,32239.7195,3858.1813,107.4489,1405.1943,1507.7227,0,0.3139,0
2010-03-29,2044186.9302,1231220.0748,0,182545.2156,109064.7244,53194.5598,72142.7564,48585.2800,36640.7984,86617.4882,17904.6502,22812.2957,2662.0013,5744.7736,1233.4577,1345.1335,0,3.6656,302.7600
2010-03-30,1868125.0471,1201685.8977,0,197509.9334,91318.4846,54385.4605,65608.1576,71568.3733,38080.4452,95206.5128,18367.0289,28031.7617,6179.9800,3509.4511,1418.9078,903.1071,0,46.1394,464.2267
2010-03-31,1277860.7436,1211167.4856,0,187614.0570,99002.2598,45415.3602,61948.7001,66447.2889,23501.4153,38371.9845,18545.2932,17123.3137,9584.2045,1573.0555,2129.3733,1503.9867,0,48.3061,418.7644
2010-04-01,2037411.7600,1223924.8665,68223.6556,186280.0933,95733.0585,47219.8259,57525.9266,31948.1779,37279.1192,0,19218.7742,223.7444,8234.9332,1380.2711,1581.8266,1003.7357,0,49.3172,390.2356
2010-04-02,2045182.6871,1241090.8659,394630.8932,81585.4909,91390.8845,38817.4824,62376.3764,34821.7244,31256.6598,0,19499.2065,0,2554.8088,87.2022,1375.5367,698.7636,0,0.1867,132.4089
2010-04-03,1777370.3433,1244929.8844,386510.2067,41533.5688,70646.0309,40390.8550,62700.0002,59165.9555,23701.6009,0,17935.5578,0,2304.0000,992.6310,1027.1434,969.0172,0,0.1122,103.4888
2010-04-04,1598455.2970,1126327.2267,393884.5011,28131.9290,108865.8356,39275.9238,57524.0955,52674.2933,23650.3639,0,17806.9213,0,2304.0000,504.5955,1501.6078,1088.4562,0,0.1117,0
2010-04-05,1397639.8432,1205058.3871,395737.1901,71141.7219,92012.2403,32537.7257,50239.5513,6020.6045,27248.1093,0,17804.5921,0,2919.4178,2040.3511,1653.9576,1718.6978,0,45.4889,146.8488
2010-04-06,1298090.4334,1243927.5285,376853.1032,202587.6821,79237.6292,21811.7602,50828.6529,1938.4712,29068.5513,0,19657.4697,0,6305.9621,401.1711,1446.9132,2049.3328,0,50.5300,361.5821
2010-04-07,2372261.7200,1193007.4224,324812.8078,156993.2463,83759.0511,34876.0827,56506.7669,4154.2222,28939.5674,0,17740.0169,0,7272.2265,3572.6289,2584.6165,1890.1237,0,53.4372,311.2578
2010-04-08,2340726.7095,1061193.9335,398155.4322,133562.9674,78176.6032,43267.9821,60316.3313,2666.8622,28397.2088,0,16892.1867,0,6960.1644,2829.1489,1915.1556,1882.1713,0,69.8356,346.7021
2010-04-09,1957229.9892,1084159.6980,402823.9734,130170.4914,70572.9556,36736.3629,58279.7178,3.6444,24159.8244,0,19087.4680,0,5966.3977,4517.0977,2060.3554,1390.4411,0,50.0250,427.3910
2010-04-10,1934545.4533,930064.2853,399164.4611,107677.6930,60980.0560,38491.6976,52858.9816,0,24273.5454,0,19673.5377,0,3644.1334,7031.3156,2059.6032,1818.9016,0,0.2739,289.8934
2010-04-11,1499120.4198,887534.7203,390996.6889,61554.6070,51931.5576,52443.4519,58783.0735,5.3511,23677.5525,0,19071.3813,0,2466.7956,922.9688,2945.6632,1736.0886,0,0.2705,148.9156
2010-04-12,1840319.3236,1003425.1385,188751.7689,37128.5154,61818.5580,49209.4317,56763.4466,6.9156,28280.2839,0,18800.8153,0,1207.3589,674.7355,3120.9359,1718.8813,0,57.0427,30.6045
2010-04-13,1380145.7234,1112361.0881,253220.9554,186705.5664,59621.9909,54892.1247,60103.7670,342.2933,25957.1164,0,18347.5955,0,15809.9956,13716.2377,2967.6521,1608.8995,0,46.2195,322.1200
2010-04-14,1757271.2998,1198098.6450,361355.1033,190716.1865,59901.0313,48658.1858,58451.6450,28.0889,37350.3480,0,18400.5213,0,26940.9823,22176.4666,2006.1348,1429.7717,0,41.2444,273.4667
2010-04-15,1917064.8833,1271600.7192,316684.8655,147999.3664,54323.1926,52262.4286,57567.9012,18.2755,33396.8130,0,15593.2432,0,26849.5814,32142.0334,1620.9122,1146.1803,0,146.9572,338.0889
2010-04-16,2288949.9433,1189368.9594,365019.0056,179614.7972,57506.7710,52982.2227,51579.1866,38.4534,39305.8524,0,8137.9001,0,23487.6437,28899.5842,1963.8588,1592.4524,0,200.7283,312.3155
2010-04-17,2136918.6366,1078399.8985,392963.4823,196348.4105,61178.7087,55272.2409,57985.7761,53.9555,46580.9344,0,0,0,30949.2734,16439.9336,2132.3446,1703.9534,0,0.1133,195.7023
2010-04-18,1734647.1932,1204648.2897,392890.3866,193840.6865,56376.9424,45224.0138,61408.4406,88.0533,47369.7031,0,3325.2345,0,27544.7200,14345.0088,3568.5179,1476.8661,0,0.1117,208.5555
2010-04-19,1658090.8131,1264712.9336,391333.4144,199761.1424,61055.1958,35716.6921,57038.1995,318.1156,46366.4814,0,18377.1466,0,32313.2311,8531.5867,3569.0233,1374.8683,0,46.8806,273.7554
2010-04-20,977229.9862,1319775.7502,379536.3680,206845.4888,81250.0645,51780.5903,59832.9530,2492.0000,47998.5135,0,14590.5267,0,32671.0511,5368.6401,3850.1522,1578.4734,0,48.0229,923.9422
2010-04-21,1365188.5967,1283451.1243,430277.4444,209787.7951,83903.1064,53772.3498,61679.6298,45625.5644,42684.3061,0,13285.6255,0,32107.9934,12351.3578,2665.3555,1278.2564,0,49.1778,1299.1777
2010-04-22,1735933.4230,1195248.2987,420769.3544,197150.0644,77976.6760,50128.5220,53219.0410,24116.3556,37838.7855,0,19272.7597,0,31439.3510,12488.7533,2024.9568,1403.6915,0,76.7595,1126.8978
2010-04-23,2091205.7935,1136232.2490,389697.1055,206479.4662,72593.6486,55438.5342,54321.6535,25213.4933,34957.7334,0,17877.3791,0,25653.5401,12463.6489,2130.4898,1632.7684,2.4978,49.6144,265.0934
2010-04-24,2116892.3969,1155793.0849,352961.9112,194305.7137,63689.3888,58240.8436,58400.0860,36215.3601,35396.6240,0,15922.4610,0,28491.2377,9931.1711,2202.6845,1642.9004,0,0.2783,114.5111
2010-04-25,1889730.0697,1142283.7996,398901.0057,201390.0603,58075.0621,46024.6062,55361.1487,26404.0533,36613.1884,0,16402.4789,0,29496.5268,11506.8444,2253.7722,1539.6883,0,0.2711,120.0045
2010-04-26,2237752.7173,1236380.3601,383596.0010,189011.0021,63629.2600,50072.4933,56820.2737,10508.5155,34562.2128,0,16140.9355,0,32908.6956,20054.9513,2141.6779,1470.8089,0,0.2505,370.5334
2010-04-27,1367321.2366,1152308.3567,411036.7845,204334.5539,73399.3931,37644.4282,53343.4028,29818.6844,42093.6006,0,17303.0169,0,30284.2801,19090.9244,2216.1588,1628.1666,15.0756,160.9545,498.0532
2010-04-28,1726797.1500,1101688.9296,396389.0546,182852.3267,56942.1620,44423.7848,42298.7788,58394.1513,31749.3160,0,18961.7179,0,31745.4844,19187.3801,2055.6123,1522.2867,888.7199,260.9629,218.5601
2010-04-29,1893398.0339,1192331.9336,407601.6490,199364.4405,47335.7865,60407.8268,55314.6920,73484.1954,31281.6468,0,20385.3098,0,30466.3288,13950.0422,2146.1845,1970.3217,1917.9289,74.8361,516.8445
2010-04-30,2058908.9165,1264331.1473,420683.8699,186713.3622,56248.8200,53060.2241,55708.2205,32175.1822,21754.2125,0,20600.8422,0,6080.5156,13652.4534,1705.7210,1678.9787,1724.5333,324.3099,194.4089
2010-05-01,2329843.6631,1260529.3776,382723.9101,210452.6776,39916.9222,54966.0295,41925.3895,63133.2267,16844.3833,0,20123.2435,0,4564.6218,12377.3911,1946.1032,1116.4428,1536.0000,0.1111,124.1956
2010-05-02,1898579.3497,1161761.5193,396644.2045,210625.4003,19311.5867,60413.4180,47727.4212,87522.3111,16346.0630,0,18604.2578,0,27635.4401,12381.4845,1821.0333,836.9991,1536.0000,0.1150,120.5201
2010-05-03,1653543.9166,713684.7956,393228.2200,187063.6644,40650.8642,64075.6627,50822.1259,82442.0980,15288.2993,0,18017.2321,0,23685.0846,12686.8956,1387.7400,1053.4387,1536.0000,210.1894,241.8889
2010-05-04,1945162.4731,395199.0489,270634.7474,183877.8489,66593.4399,62123.0868,40622.8221,97531.4666,13876.2761,0,19333.8356,0,8750.9800,13245.6467,296.0222,1391.9769,1536.0000,82.7266,0
2010-05-05,1876901.9795,1169593.5328,401264.4810,162938.6872,61854.6579,66301.3036,37612.4189,75018.8623,21261.4875,0,19183.3255,0,8161.0798,22407.0312,1143.5364,1819.3279,927.4667,203.7687,0
2010-05-06,1947457.6993,1257362.1733,360658.0089,182677.9427,66375.1176,72141.4917,40761.7135,60567.5733,16093.0893,0,17694.3965,0,9112.5379,18531.3379,2059.7901,1827.2010,0,50.6877,76.1022
2010-05-07,1896694.8607,1290422.2084,408423.2146,173064.2201,72355.5622,68270.3877,43609.0753,50075.8755,22723.2271,0,16997.9887,0,8517.5776,22434.6000,1963.5356,1768.7271,912.5955,50.8778,39.7067
2010-05-08,1603263.7701,1190384.9566,401430.6133,167337.2976,49871.4064,79292.6789,45327.5979,70017.2621,18838.0562,0,14208.7764,0,7263.3490,19125.9556,1921.4378,1355.1990,1863.2178,0.2861,31.9467
2010-05-09,2085259.7032,1211206.2802,415834.1987,168194.2734,47714.5202,69710.6519,49587.1686,60833.2089,26783.4777,0,16559.9010,0,6182.4400,23407.9823,1757.5122,1889.7313,1920.0000,0.2622,83.2667
2010-05-10,2268780.8475,1166231.8975,397389.7157,155794.3981,43677.9577,67742.5559,49872.8854,58772.4977,38720.3212,0,16226.1468,0,5784.6821,25579.2088,1698.3088,1625.9284,1336.5022,48.7656,134.2977
2010-05-11,2019983.5601,1234870.9150,401147.6754,169771.3289,69651.2042,68054.1316,52005.3345,33647.5555,31880.4324,0,20343.3077,0,6301.5444,24653.5979,1297.7555,1888.8545,1309.5423,46.9861,128.6889
2010-05-12,2228543.5035,1235098.9418,401565.6589,164441.3488,85899.7885,56259.8547,55313.7346,50010.1333,26155.4504,0,20657.9230,0,6457.9377,18205.4267,1614.2867,1633.1732,1794.3044,46.1139,237.0223
2010-05-13,960866.6037,1286392.2792,311275.0033,186704.9829,63458.2135,56357.6273,54416.6284,11490.4711,34156.1397,0,19947.5044,0,6696.0361,15608.8801,1469.8401,1387.5838,1691.2644,48.0622,28.5378
2010-05-14,0,1272534.4360,0,181172.1002,60496.5179,66558.6268,53603.8249,5953.8844,28130.5103,0,20733.7423,0,6943.7602,21835.2954,1416.2177,956.9065,1128.4623,0,156.9066
2010-05-15,0,1280707.9338,0,180761.6686,43543.1090,72440.7091,49142.7887,79159.8045,25204.5692,0,20081.1323,0,7104.5205,15544.3867,1751.7544,910.6019,947.7377,0,65.8489
2010-05-16,728849.2666,1248865.0927,238213.6365,182872.0621,33784.5446,58019.1947,47906.9541,83639.7690,29432.8007,0,19413.0200,0,7011.9516,16183.2977,1770.1845,967.8640,852.5044,0.1984,2.5467
2010-05-17,2287617.3198,1307254.4402,416052.5343,147082.9483,54977.6887,54025.4223,31574.0144,52122.9866,22559.2160,0,15944.4810,0,7758.8726,19077.5289,1193.0521,1336.0033,412.3244,142.5340,102.6312
2010-05-18,2248792.3697,1158670.2889,407277.7622,145394.6290,53985.0377,68044.2288,31502.7270,54206.5422,20288.7201,0,17736.7379,0,6380.6478,28814.4443,1398.6966,1700.1672,49.3089,247.7933,91.7600
2010-05-19,2331168.7936,1190815.6668,409894.1711,144676.9729,53285.3909,62113.1675,34932.9061,55038.2043,19766.4201,0,16226.2032,0,11762.0055,24848.3423,1364.0133,1778.9756,7.2667,382.0794,253.0355
2010-05-20,2290015.5503,1292185.7732,301043.6434,166072.7291,62310.1532,57521.7784,36449.5928,51136.3556,24810.3575,0,17202.2690,0,10876.3623,24726.5865,1202.6703,2010.8753,362.5867,539.7861,401.6978
2010-05-21,2221496.3300,1218842.4353,159789.1323,157172.1794,53485.1022,61399.9773,46999.0935,22632.1067,15383.6165,0,16202.1899,0,11024.4560,28149.4580,1228.9644,1851.0293,774.1867,480.1938,194.8133
2010-05-22,2203593.0935,1320461.7242,418337.6444,210267.9243,40818.8025,39522.3644,49259.0113,32106.2045,14158.6145,0,12393.4033,0,3704.9002,12838.4399,1304.7878,1725.9983,20.9956,480.1994,108.6622
2010-05-23,2189264.2236,1252847.3597,400910.9866,201142.3130,35687.0914,60221.2231,44096.2723,52163.2889,10952.6403,0,13740.0057,0,4634.3117,5820.2957,1568.7276,1079.6560,5.8533,227.1584,128.2044
2010-05-24,2253557.2907,1286326.5594,298278.0322,172235.7882,45022.9647,68324.9896,45317.0602,31055.8400,10753.2438,0,12533.7069,0,4555.7615,9762.7601,1912.0825,1221.3677,81.8533,0.2633,212.5912
2010-05-25,2291785.2496,1301387.7814,401102.8143,151421.6223,64513.8577,46033.1157,47851.9830,29762.5778,11185.6536,0,11951.0657,0,12213.5312,4508.3666,1422.6389,1381.1114,209.5422,316.7016,339.7957
2010-05-26,1489494.7299,1296865.5163,403356.9967,189618.3390,50284.6135,44726.8068,48015.8181,49197.8843,12211.2800,0,13988.9069,0,16355.5837,5604.1336,1296.0856,1796.5568,138.0267,480.2038,379.1422
2010-05-27,2218398.3835,1166948.2435,378399.6522,147329.6355,56530.9466,59346.1842,51862.2777,41677.7600,12843.3120,0,13506.0624,0,4054.5488,5101.1866,1320.2012,1696.7945,47.0689,568.9490,160.2978
2010-05-28,2339182.2027,1261473.2608,426790.2691,200887.8107,60311.6067,60333.3318,59958.3171,10210.1156,20273.0163,0,15063.1555,0,4827.8487,7896.1555,1261.2324,2088.5107,181.5822,540.1778,170.4489
2010-05-29,2194030.8667,1286624.6622,429770.0977,174903.9021,78832.6425,71673.1431,46217.5227,68408.3733,18936.3787,0,14081.0152,0,7247.4755,16182.9779,1181.9979,1808.0667,881.2355,243.9510,384.5779
2010-05-30,2032191.0233,1282326.9019,407903.3043,197795.1175,65928.9445,53840.2131,40322.7071,50576.0000,13263.7379,0,13537.9025,0,2940.8402,10323.4044,1254.3667,1497.2505,556.5289,0.2672,639.5466
