title
"CPU Hours: Total: by Resource"
parameters

start,end
2012-02-01,2012-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[NCSA FORGE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[TACC SPUR] CPU Hours: Total","[SDSC DASH] CPU Hours: Total"
2012-04-15,2646799.6693,1041459.7423,196922.0988,262680.6498,30797.3421,84890.6217,43270.9467,49256.9626,16762.8466,6203.3957,7661.1090,0,0,0,0
2012-04-16,2619070.7909,621562.5945,196613.1735,93628.2970,82161.6579,54294.5989,38784.0000,33025.1941,4998.7311,12568.8044,4884.1955,0,0,15.9422,0
2012-04-17,2600584.1203,609688.2934,212641.5589,193212.3262,101485.7779,99455.2030,53082.8402,22437.9118,2110.1956,10385.8867,4962.8740,0,0,0,0
2012-04-18,2596154.7967,1256003.1993,215399.8593,230553.9366,132965.8928,67120.1824,66205.1027,41500.6420,8652.3689,7917.9290,5084.3891,0,0,145.5200,0
2012-04-19,2531234.2637,1266663.0944,214353.6202,227918.3200,135614.1912,88079.5545,47363.9602,57961.5795,10792.2912,8295.1531,4265.9761,0,0,115.7556,0
2012-04-20,2514020.2297,1249412.6936,216346.6153,252431.0567,104991.9290,123162.0983,54934.0401,74408.2681,19456.0267,2960.6845,2843.9357,0,0,38.7600,0
2012-04-21,2592200.2701,1196569.4851,200454.2614,113113.3063,44580.4313,131058.2985,56040.2132,64572.5617,17959.8378,387.1355,4057.9251,0,0,64.2489,0
2012-04-22,2581122.5407,1098218.1830,188182.7450,157327.9932,55308.9021,140360.2917,45216.0444,30506.2063,11584.2600,1089.8422,7000.9223,0,0,0,0
2012-04-23,2440937.3574,607189.7785,176749.3284,117148.5499,91553.6666,140380.1572,78252.9156,29839.7075,11312.0355,3320.5533,5689.4292,0,0,0,0
2012-04-24,2378169.0474,0,201389.6686,0,156433.9375,134787.6464,66025.1593,22812.3263,0,2493.3977,5401.3458,0,0,0,0
2012-04-25,2379855.0691,0,235388.3731,0,142158.7870,135305.6328,68945.1507,23162.8794,0,8297.9088,2269.0479,0,0,0,0
2012-04-26,2348115.2094,0,224617.6593,0,128902.7954,124686.7890,74573.9204,11472.6652,0,5479.9111,5909.5665,0,0,0,0
2012-04-27,2496616.4738,0,225554.8997,0,154019.0841,130386.4783,85496.0976,865.4356,0,5386.4979,7878.1951,0,0,0,0
2012-04-28,2202425.9835,0,229840.2393,0,129204.2308,116541.4492,79546.1267,664.0704,0,12009.6019,4695.6779,0,0,0,0
2012-04-29,1910563.6167,0,231612.8792,0,70530.3823,29903.6608,67710.4131,517.0244,0,4676.5667,2711.7667,0,0,0,0
2012-04-30,2021238.4945,2008.2844,223189.5396,0,79708.7864,61405.6860,56135.8912,354.9199,0,4235.1132,4541.4063,0,0,0,0
2012-05-01,2386794.9172,130542.4885,210963.2718,0,138678.6223,46267.6083,59523.7826,269.6948,0,3897.9267,7050.3327,0,0,0,0
2012-05-02,1953356.9671,833406.1555,216713.4758,0,123258.2358,63712.6782,71321.6536,3829.0974,8667.5155,4705.7557,6932.5299,0,0,0,0
2012-05-03,1597157.4166,1277884.4797,220169.5911,0,125125.9111,89459.2960,80483.5137,15336.2918,30947.4709,3153.6134,5997.7467,0,0,106.9645,0
2012-05-04,2635021.2767,1243901.0039,199700.5306,5199.1333,101326.6888,63676.6107,75758.3288,19280.3095,25918.8510,4733.1510,3834.0212,0,0,293.3910,0
2012-05-05,2331091.3336,1210264.7781,213720.8308,141608.2098,78475.1113,88105.2040,86669.6021,11323.0250,17607.9910,1995.0845,3498.8111,0,0,0,0
2012-05-06,2620495.2561,1255342.1064,137010.9936,248215.8232,86061.0573,93163.2254,77900.0867,6853.6480,19071.5134,512.8912,4465.6695,0,0,38.3689,0
2012-05-07,2489839.6504,822804.0530,70971.9545,315935.1631,182613.9472,112577.3197,80599.9113,36852.9712,16297.1910,1269.2489,4301.2778,0,0,99.0622,0
2012-05-08,2611419.1770,413816.3830,230593.3123,319174.5138,222642.9864,113275.7473,82200.1825,48568.4786,14300.5400,2342.5889,3072.4573,0,0,0,0
2012-05-09,2522093.8074,1247084.8226,224782.6907,355229.8834,231507.7021,131936.2470,42537.8401,24027.0642,9200.5309,2231.4379,1990.1212,0,0,23.5556,0
2012-05-10,2534921.9472,1249548.5330,200808.0470,269106.2466,241523.6087,126402.4165,30660.1040,27607.8617,16313.3199,644.7643,4060.0376,0,0,115.9866,0
2012-05-11,2552053.1164,1317354.7413,231546.5612,205264.7332,236941.7688,119308.1550,89880.8045,49437.1124,17493.0134,622.4712,5114.7711,0,0,118.5822,0
2012-05-12,2473748.4859,1304252.9955,226893.9020,233885.2268,137261.4132,103759.6201,89547.1288,27185.1799,14241.4177,302.6711,5745.1566,0,0,37.9777,0
2012-05-13,2569599.4302,1215065.4481,221829.3344,247182.1866,123784.4444,84379.0515,82151.8865,20937.0207,13540.2467,149.3444,5314.1600,0,0,0,0
2012-05-14,2483141.5300,1316206.7608,222088.0194,261709.6800,169487.7112,77031.0764,62160.7868,58560.3165,15739.7379,47.2866,4330.8257,0,0,15.4356,0
2012-05-15,2138105.6202,1296225.5197,224330.7303,284332.5106,227042.0664,124.2977,87809.1887,197.5116,27803.1955,328.0245,4295.4376,0,0,71.7644,0
2012-05-16,2094134.2868,1254677.9021,197428.5422,240727.1930,195097.2581,0,86054.6354,0,18024.3690,512.5511,5087.9525,0,0,64.2578,0
2012-05-17,1595421.6229,1360886.0658,236124.4717,270691.4635,233882.3690,386.2653,84257.6799,23.5889,16642.5843,1780.2111,6553.4350,0,0,104.0400,0
2012-05-18,2605477.8831,1281635.4668,233279.6261,209724.1371,217827.2934,8789.1380,82223.6267,38440.2375,15729.3445,643.7667,6730.3025,0,0,67.5244,0
2012-05-19,2655025.6072,1263709.3597,227202.8210,244882.0837,208833.5026,9744.4002,67172.0756,120201.2681,16002.5667,111.2334,5546.5550,0,0,0,0
2012-05-20,2639995.9832,1264696.8889,221286.8159,275682.2429,185192.4709,9060.1542,76876.3469,133540.9300,14360.5689,883.0533,5511.1284,0,0,0,0
2012-05-21,2442857.6865,705353.3563,221793.6116,261762.1438,148080.3067,17796.2313,79621.5378,52696.7969,14888.3934,5640.0688,2438.3944,0,0,18.7467,0
2012-05-22,2147221.3000,328313.3600,176145.6384,201313.4901,132761.5909,68402.0037,88423.1333,66512.9281,12873.1223,4373.2533,2579.9730,0,0,65.4000,0
2012-05-23,2046655.7229,1215039.7455,131690.7870,239258.0591,89939.2620,105891.4893,89119.8446,87483.1361,15727.8843,2299.3867,4641.3541,0,0,72.2844,0
2012-05-24,2458785.0239,1294491.3147,199860.8429,182714.6864,88956.5951,110402.4629,82145.7197,71309.0468,18329.8199,1181.1221,3291.8586,0,0,65.7689,0
2012-05-25,2508056.2734,1279404.3695,139577.5832,230303.6868,90832.5288,95240.0960,67773.8975,84092.5042,20472.9266,2106.0424,1947.9768,0,0,32.8578,0
2012-05-26,2591301.2371,1300805.9643,4344.4599,269670.5365,1551.0178,117109.4021,86863.5422,18479.4832,651.3645,1542.9667,3110.8418,0,0,0.9600,0
2012-05-27,2579649.9399,1313395.1724,190.0711,263031.5897,0,95643.7419,90616.0356,61776.0871,7487.4379,2471.8577,3541.1178,0,0,97.0800,0
2012-05-28,2451171.6101,1319130.6965,33548.1039,255480.8431,0,104843.3304,89542.3603,11213.9956,7979.4734,9148.8245,4658.7177,0,0,0.9244,0
2012-05-29,1218316.6101,1362531.8622,174501.4599,148645.6166,0,114742.5302,75175.6492,16489.5790,6701.3312,11449.2977,6344.4220,0,0,0.6889,0
2012-05-30,136707.1066,1331214.4447,219782.2793,305873.8470,62521.0934,121159.7698,89246.7021,16507.6903,11383.3089,10153.2488,6063.0097,0,0,13.1778,0
2012-05-31,1821376.7566,1212961.1816,170755.7344,269634.1836,165711.9334,105264.1490,88652.0894,12474.4275,7522.4822,4294.7354,5943.0061,0,0,0,0
2012-06-01,2529015.3493,1191711.9112,200945.5576,231225.9697,151439.9779,94401.3298,89894.4309,47141.3634,6758.3466,1361.9088,6743.5798,0,0,0,0
2012-06-02,2429303.6461,1271009.5021,232482.9618,232200.3867,152705.5509,105693.9111,89471.5064,56459.7849,9754.8754,2958.2110,6950.7585,0,0,0,0
2012-06-03,2631946.6596,1143776.5822,237638.3187,244358.2067,139811.2400,99954.3372,89440.2003,41817.1390,6883.5578,1710.1756,7455.7075,0,0,0,0
2012-06-04,2620377.1205,1276581.7205,230328.8961,221281.7199,150784.1957,103109.3071,88941.4004,14103.1317,26250.1776,3089.4377,6571.8873,0,0,0,0
2012-06-05,2611535.5867,1278725.4271,193122.2404,259217.8440,124066.8449,99570.8502,86837.8134,8726.9667,34950.5111,3043.5577,5434.3087,0,0,0,0
2012-06-06,2583146.3537,1016905.6311,194782.2019,235744.7034,177702.9424,106955.4864,85545.9243,15530.5306,24837.2180,6432.9801,4907.1965,0,0,0,0
2012-06-07,2396953.9064,1302839.2086,211313.2556,255393.8998,224089.4623,115244.5829,84810.1247,38874.8571,31236.7266,5234.0801,8458.7627,0,0,205.1556,0
2012-06-08,2473280.9935,1225553.5780,235620.2933,182675.5365,199035.9113,119235.2353,68859.1865,26822.7778,25844.4087,14962.9266,9258.5355,0,0,2.8178,0
2012-06-09,2616671.0032,953542.7073,230704.7924,190554.0463,150735.2137,120844.2073,52764.6180,28243.6863,9879.9111,9422.0733,6554.4951,0,0,4.5689,0
2012-06-10,2598704.6566,1053108.9644,234979.4127,260176.0134,175835.1465,119974.7899,76186.8626,26312.7001,885.7511,3192.3001,7900.5964,0,0,0,0
2012-06-11,2614173.8168,1159133.2880,193424.7003,186097.8566,170919.7604,119946.1134,76149.9775,13531.6530,18415.8557,12654.0087,7176.1097,0,0,0,0
2012-06-12,2566536.2434,1214647.7785,193917.7751,227601.4473,160690.1950,122228.9109,74819.2709,27411.8968,27646.3044,19675.6378,6801.1919,0,0,0,0
2012-06-13,2451397.3977,1177342.2136,142823.5607,234820.4870,80433.8930,130402.3101,87643.8978,16982.3904,21471.6220,18433.9821,6312.3472,0,0,0,0
2012-06-14,2581021.6779,1199011.2131,170995.2504,205288.8867,143785.0799,130459.1500,88414.9689,37590.2942,18337.1221,15779.4087,5978.9815,0,0,63.9956,0
2012-06-15,2601826.1367,1221791.1469,135157.5258,243676.2269,110373.5199,130171.8709,84296.7026,48881.3091,18879.4689,8271.1001,8035.9772,0,0,4.5600,0
2012-06-16,2586886.3694,1153856.6668,148940.2330,189061.2800,138633.4178,127502.7740,80857.2890,29146.2048,16067.3289,6007.5202,6955.2151,0,0,1.8044,0
2012-06-17,2599363.6631,1041950.5247,167729.0724,283247.1300,74298.4933,117431.1372,74187.2225,27694.2184,8395.6222,9690.7557,4985.9932,0,0,1.9111,0
2012-06-18,1674740.0832,1188110.2445,191469.3811,241424.9466,101105.9291,113418.2103,84841.1691,31024.6566,19819.7022,6681.9198,2373.7780,0,0,2.0534,0
2012-06-19,1419589.3699,1227705.5906,220093.1303,190253.5530,85993.7642,128669.3319,83504.3641,52980.9122,23324.4734,4082.1287,4924.6384,0,0,81.0889,0
2012-06-20,1801407.9803,1295052.0410,236115.1615,149286.7431,77987.6535,121184.0886,76591.6047,56976.6863,31643.8757,17798.4268,6296.4669,0,0,0,0
2012-06-21,1718882.6761,1297501.2356,194333.1738,227920.1301,78758.5598,128196.0789,81741.7828,19810.5379,19712.9156,12107.0134,6869.6298,0,0,96.0889,0
2012-06-22,2528399.6832,1281755.0801,221187.9135,234403.2069,77776.4489,115707.4403,86157.4980,13284.1812,19189.4289,7718.2667,6698.0236,0,0,150.1822,0
2012-06-23,2658070.8073,1222231.0086,230827.4863,223101.9035,84818.8183,129927.9327,84651.7560,16650.6128,25362.8578,8254.2290,5386.4967,0,0,0,0
2012-06-24,2638772.1369,1136397.5074,216896.4992,200495.1870,77510.1201,127224.8776,85784.4577,19496.5079,25352.6289,14290.6201,3670.9975,0,0,44.4622,0
2012-06-25,2576898.0697,1258605.8628,189038.1751,257071.0963,90506.0088,119468.2465,80343.5019,20846.8369,13417.6223,2196.7000,8406.3623,0,0,48.1512,0
2012-06-26,2447890.0999,1251074.1863,220525.6148,234491.1934,107901.6755,137419.8584,48076.7685,6553.9230,21279.7021,5485.8287,7658.1776,0,0,0,0
2012-06-27,1441181.6536,1205750.7359,191314.5654,190152.9034,130579.1160,135510.4878,14815.5642,34941.3032,18005.4802,9659.2755,8122.7876,0,0,0,0
2012-06-28,1509456.5736,1264730.9948,201560.4351,213245.9166,118486.2402,124404.9056,71917.1868,3878.2726,9610.3577,15454.6488,6531.1043,0,0,2.1422,0
2012-06-29,2647005.5399,1273865.6314,170835.3850,177902.6403,116113.0752,112847.5016,74401.3288,25160.3009,13615.5979,14145.0201,5443.3181,0,0,11.7778,0
2012-06-30,2578895.8363,1200348.3330,165425.2438,121361.0366,88995.7823,128431.6493,76934.8892,45274.2355,16114.7800,13554.8111,2835.0175,0,0,54.7734,0
2012-07-01,2385880.0397,1157271.3066,126702.3208,149551.9035,50889.8091,133455.8028,76248.3375,4467.0655,7981.4912,10944.3978,4516.9692,0,0,15.4755,0
2012-07-02,2397072.9363,1086283.7294,169724.2317,170589.0635,121080.3958,128948.8230,75595.3639,93181.1320,18596.4156,7393.1289,6427.4743,0,0,11.9200,0
2012-07-03,2582056.0397,1236008.7689,220747.8254,200582.0733,119852.9734,110771.4585,77170.7502,5705.2438,21303.4823,10544.2044,10290.4946,0,0,0,0
2012-07-04,2605016.9195,1216828.5865,222321.1723,176782.4566,171209.0490,107444.6979,59536.4491,60449.1557,23715.8889,15323.1266,7663.5376,0,0,22.4444,0
2012-07-05,2597047.5569,1170560.4757,206830.2279,219240.4799,102235.6313,120794.1271,69421.7686,12043.0300,22763.3867,9497.2577,6554.9750,0,0,404.7155,0
2012-07-06,2392547.3609,1198220.2947,230015.9931,134836.2232,137395.3111,106533.9840,58029.4093,8984.1388,14361.9689,6260.3914,8313.6007,0,0,448.0889,0
