title
"CPU Hours: Total: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC STAMPEDE] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total"
2013-08-29,2608936.5863,1624890.7686,222430.3731,194046.0129,212760.8797,93494.8223,47381.4221,1793.3376,300.1000,0,69.2175,0
2013-08-30,2646417.1770,1586249.2483,246781.9825,156111.4137,214129.5731,70698.6710,46821.5691,2988.4444,640.2667,0,39.5600,311.4367
2013-08-31,2649400.9928,1768751.2415,240265.3413,109974.1626,205642.3436,36987.2400,30639.8934,1405.7911,12288.3244,0,0,0
2013-09-01,2637905.5334,1508001.6172,233957.1268,53455.6433,208594.0424,48600.2178,15569.2888,1833.5022,11240.0823,0,0,154.1300
2013-09-02,2618946.8202,2051098.9091,238710.7000,118064.1360,159348.8053,43281.5734,21793.7509,1296.7667,12546.1532,0,0,1.7208
2013-09-03,2648794.2636,1983679.6460,213536.7792,132287.8329,139863.9829,59304.4624,65175.0093,1079.5644,8137.1554,0,1.9834,212.6167
2013-09-04,2597495.0072,1801777.9837,171540.5373,179312.7301,121127.1280,62723.3644,59305.1821,1895.5889,1327.4223,0,57.2816,0.0167
2013-09-05,2578810.7637,1885919.2748,112352.5974,216426.6672,84275.7183,70299.0090,60177.7553,1519.1644,4103.3889,0,0,73.8375
2013-09-06,1900994.7810,2510326.6387,238773.4530,265122.9633,215602.4621,91412.5022,57347.4711,1718.5067,5806.0331,0,0,70.5834
2013-09-07,1693989.2405,1657900.7878,247619.7777,290425.9492,182428.9313,70851.0576,50797.6266,720.5733,6619.1689,0,0,35.5911
2013-09-08,2556358.1303,1577936.4936,235335.7269,191627.9066,122752.4143,54626.4800,48764.4749,1838.5089,530.3423,0,0,0
2013-09-09,2530232.0734,1469751.6236,224237.9800,250048.9332,171172.8099,31520.3510,44600.1688,1537.5756,799.1889,0,0,167.3177
2013-09-10,2230358.6835,463861.1019,209677.8867,261747.6371,163100.0132,28620.8266,53058.2449,1522.0689,3551.0999,0,93.5300,0.0567
2013-09-11,2409547.6840,1537086.5419,217640.4043,154958.7530,185592.6374,74600.7826,48930.8845,1339.6713,10659.8334,0,72.4517,0.0461
2013-09-12,2595946.2466,1775539.0933,221958.3684,162069.5634,200225.7808,73846.1909,53999.7067,2277.5219,2582.7044,0,108.3633,9.6556
2013-09-13,2595841.8371,1901005.0345,224586.1394,141390.1559,203259.2954,65213.0712,41425.3244,2167.1041,3232.8021,0,151.6635,1.3633
2013-09-14,2543943.2999,1640866.5813,222795.6531,100472.3736,149057.0148,43674.1598,40549.3997,1343.6911,5375.2000,0,0,0.0567
2013-09-15,1148705.7665,1130387.8409,231525.6337,112644.7669,159272.5477,55419.9422,49257.6358,3058.3468,1991.0622,0,0,0.0208
2013-09-16,2056068.6200,1676188.6795,230801.1934,155234.4201,201077.7466,60547.7333,49535.3288,1159.2843,7278.3021,0,121.5808,0.5347
2013-09-17,2657256.0498,1307463.9860,228565.4840,112440.1235,191019.4456,73344.0846,55397.2000,1006.3999,8286.9243,0,127.1817,5.2222
2013-09-18,2646820.8432,1620099.3327,248237.0712,109289.6535,211339.2440,79068.5377,48621.6135,3067.3132,9977.7312,0,136.3184,0
2013-09-19,2626074.1933,1572032.9819,252218.8911,118189.6399,217500.7872,77134.0357,53591.8665,1423.4710,14.8711,0,231.0867,0
2013-09-20,2622308.9190,1580193.3421,241308.5087,160873.2730,219819.5240,72390.0489,63799.7467,1021.4067,1161.5021,0,76.5767,117.6889
2013-09-21,2609703.0732,1365198.0487,238244.6562,175850.4268,217999.9518,71804.2711,63385.1691,1097.4378,26.1689,0,92.8334,3.7100
2013-09-22,2652755.0729,1266393.9912,244378.0956,122306.3961,214525.0453,86537.5332,66185.7375,1167.0133,605.1888,0,9.2724,0.0217
2013-09-23,2634479.9430,1397892.0358,251528.7314,118214.1896,214567.8913,83824.3821,65280.7023,1963.8488,565.5645,0,65.1740,106.2806
2013-09-24,2131769.8465,1557864.3777,252049.3615,109337.1499,209558.9573,77511.5466,70011.2450,3502.2445,1028.1067,0,34.2650,173.8167
2013-09-25,2661748.9135,1541123.2452,214912.8374,127744.2807,214542.6154,86650.7911,79877.0977,3419.4334,3521.8420,0,76.8041,0
2013-09-26,2658972.0768,1498778.5118,198407.7462,230003.7599,218938.6326,87039.3687,81592.3866,3648.6400,2849.8043,0,34.4884,175.6050
2013-09-27,2633306.7699,1632772.6027,171467.6708,186380.8733,216003.2335,88560.5689,60958.4179,3898.0244,3460.3888,0,0,88.1008
2013-09-28,2639549.7331,1698300.7764,130275.6266,141026.8869,192612.1808,83929.9024,53744.2580,3015.5622,2288.5665,0,0,6.1192
2013-09-29,2578137.1921,1745632.7913,139556.4399,112531.4299,159059.3619,84601.1824,44556.8929,2193.0934,7094.4111,0,0,0
2013-09-30,2636963.8062,1701800.9677,168380.4751,115974.0797,129745.9030,57682.3023,40508.5425,2831.2977,3799.6131,0,284.2141,13.8522
2013-10-01,2613924.0157,1628607.7572,176240.6732,119702.4600,133157.0956,18742.7022,40010.5822,4109.2467,12400.0266,0,0.6183,0
2013-10-02,2640938.1036,1804260.4516,190050.8932,158364.6035,133417.3116,76173.0889,31662.7067,4164.1798,12245.3555,0,1.1758,0
2013-10-03,2588471.1268,1779024.3050,236478.0265,153596.2362,148534.5967,86934.9157,54651.7685,2227.3423,17260.0889,0,126.7209,0.1494
2013-10-04,2482204.2469,1695454.1548,236747.2928,174829.0036,167180.5830,58783.1599,50552.6445,2918.3646,16472.7822,0,44.2775,0.0239
2013-10-05,1844205.9398,1694343.5162,243507.1113,117980.3533,131381.9082,57310.8845,29071.7866,2086.2800,5363.4844,0,3.3850,0.1117
2013-10-06,1681793.0263,1601797.0184,206163.0647,136974.8431,117814.0387,86119.3109,21116.4578,2626.2844,2463.7156,0,137.5974,24.6556
2013-10-07,954115.3700,1913320.6445,249719.1619,100443.2502,136413.4607,88820.5554,24658.8184,721.1600,9850.7534,0,382.0467,149.3444
2013-10-08,2454312.5535,1736818.2635,267997.3423,144351.8596,176468.8157,89377.8890,40447.8848,2686.4067,8.2333,0,595.0442,0
2013-10-09,2139305.9533,1863177.2658,252967.1887,179065.2271,159859.7012,88857.7998,64575.1688,4761.2911,0,0,575.6042,0
2013-10-10,2543477.4961,1703897.7461,265780.5200,195535.3329,182253.2007,90969.2622,63721.5016,1802.9222,0,0,551.8042,0
2013-10-11,931399.3263,1750780.6919,246369.2645,212453.9164,182207.5601,73906.9955,45666.8626,2738.7977,0,0,206.2742,0
2013-10-12,33582.7101,1869416.9267,246127.6645,235210.6495,159048.5211,16990.5111,64650.0933,2902.7178,0,0,0,0
2013-10-13,1822188.8265,1284884.5281,234645.8400,163113.2263,181502.6435,78881.4622,58646.1820,365.3645,0,0,8.3741,0
2013-10-14,2605036.5366,1797647.7511,247891.0382,129524.7431,209868.8894,76112.2265,66565.8845,2509.3866,0,0,204.9267,0
2013-10-15,2600106.7368,1515841.7782,243551.7373,126542.8337,171560.1651,88924.2577,75944.9244,142.3778,0,0,21.1717,0
2013-10-16,1670962.0931,1766591.4382,236841.9709,189611.6670,183654.8562,78260.1513,55608.7067,511.5401,0,0,165.2976,0.0378
2013-10-17,1811866.7593,1957833.6398,233458.5869,178215.9665,185317.9627,75957.7112,62668.2311,2920.9756,0,0,490.0092,0.0506
2013-10-18,2473337.1030,1634169.0626,209462.4674,245400.6164,183561.9589,85630.7955,63142.5288,3895.2179,0,0,1191.8043,0
2013-10-19,1929247.2932,1470376.0666,207058.6932,203530.0068,176888.1010,93177.0531,65578.4890,1938.8333,0,0,611.2883,0
2013-10-20,1835684.4426,1083816.7789,173172.3268,226308.2432,142323.5404,96123.8578,46754.1109,2298.7510,0,0,480.2384,0
2013-10-21,1990711.5600,1392745.7292,192926.9992,211639.2001,158070.3741,68934.5730,51327.2759,2494.6134,0,0,94.4391,0
2013-10-22,2339108.4434,1729533.6532,177373.4051,189349.9432,197077.7785,82518.3066,77742.7243,2109.5934,12.8155,0,1341.4517,0
2013-10-23,2177355.2496,2004750.7543,169124.8605,236317.4698,190086.5616,91512.6043,68550.7554,370.7733,0,0,122.3509,0.0622
2013-10-24,2139504.5694,1631062.9512,185537.8763,179638.4930,204530.5554,95098.9822,56122.1112,1493.8911,0,0,26.9208,0
2013-10-25,1477083.5767,1731688.8453,241384.9688,214229.6568,189444.5885,49416.0309,58775.4628,2851.1711,0,0,0,0
2013-10-26,889974.9831,876727.9774,231233.7383,197129.4599,162826.8489,27767.2889,49936.2666,2466.4999,0,0,113.4342,0
2013-10-27,1733423.3167,929314.2627,222329.1503,190763.5064,199982.7643,94233.2754,61948.5286,3606.0244,0,0,153.4959,0
2013-10-28,1798434.6507,1180700.4684,255796.8758,240278.8463,199087.7630,93368.3156,55610.7554,4075.1358,0,0,64.0892,0
2013-10-29,1798881.1540,202178.1824,248017.8092,240163.1298,186861.7063,92421.5421,62601.6227,9523.7288,0,0,784.1807,0
2013-10-30,1893370.4462,1191302.0378,236897.1072,254661.0528,139028.7753,84205.5822,43481.7334,4775.9667,0,0,810.2616,0
2013-10-31,1866982.8502,2024138.7515,237255.5819,234168.4000,124928.4484,85748.7999,56976.9372,1135.2000,0,0,167.8017,0
2013-11-01,1931872.0606,2238620.5202,247827.2617,294173.4464,133508.0285,56511.1424,47839.2179,4374.3688,0,0,183.8967,0
2013-11-02,1954111.3929,1484436.6554,201296.3025,164815.0801,137234.1352,41929.9067,49099.6979,3765.9289,0,0,58.4817,0
2013-11-03,1863877.7433,1682546.9698,199718.7863,300257.0030,140221.7998,69832.4486,61663.4442,0.3911,0,0,47.0150,0
2013-11-04,1820265.4202,1726385.0488,245921.1423,292401.8299,194318.1050,55657.3600,67612.2576,32.4378,0,0,0,0
2013-11-05,860306.2398,1742889.6421,264678.5466,276982.5825,168224.8796,10004.3998,64060.5070,1515.6025,0,0,54.6183,0
2013-11-06,1840265.1806,1957976.2273,235452.2534,202251.3264,139482.5497,82467.0222,54841.1069,3315.5778,0,0,95.3009,0
2013-11-07,2173262.2102,2270397.6867,230708.4660,266311.0396,147883.0686,55149.9867,66874.9243,4195.7912,0,0,96.2350,0
2013-11-08,1955734.2438,1863274.7694,217233.1916,270354.7870,148266.5438,82451.2935,67039.9112,1671.1889,0,0,176.1083,0
2013-11-09,1675594.4499,1307042.5491,241792.8663,184061.3703,148320.7992,67658.5290,34130.6622,1210.8244,0,0,215.2033,0
2013-11-10,1283251.7065,1827786.9460,203155.7592,216241.2403,118843.8502,64362.9156,34620.3107,2439.9756,4.6666,0,169.6233,0
2013-11-11,1386072.9333,1847042.7786,215952.7596,195704.9841,129534.0743,63613.2844,61265.8445,2017.0621,7.3134,0,202.9725,0
2013-11-12,1527574.4471,1831298.4177,203365.4759,168321.4997,146629.1704,97618.7601,67044.2975,235.6400,0,0,151.8275,17.7431
2013-11-13,1692720.6399,1565390.5075,226392.1953,236835.9161,176380.8275,96048.7866,62440.3782,9083.1000,0,0,160.8875,0
2013-11-14,1734653.6737,1852366.7498,216260.8444,259822.5425,188554.9464,97854.2046,66317.1954,3306.6445,0,0,242.6384,0
2013-11-15,2035977.8160,2058943.7830,206924.1646,277870.9468,116512.0272,96239.6580,66327.4182,6539.4578,0.2222,0,377.5801,0
2013-11-16,1387060.6898,1157520.9190,159120.2130,125512.8397,102844.6307,97151.0888,68205.2711,2358.9466,0,0,194.8242,0
2013-11-17,1222452.2297,1667781.4631,123104.8802,180408.7299,86440.7952,97970.4667,68444.3200,5300.8910,0,0,174.7083,0
2013-11-18,1667356.4998,1876144.9470,147042.6221,184704.2327,96502.6762,77952.5379,67764.1873,2521.2133,0,0,350.4708,0
2013-11-19,2247547.4900,2056611.8042,239660.0671,246760.1036,105512.5887,77270.3289,53237.0620,4532.2600,15.5733,0,266.4749,0
2013-11-20,1978521.2705,1733422.8406,258119.7247,168505.8465,161964.5059,94458.7957,53234.0670,3817.4710,147.5976,0,169.2909,0
2013-11-21,2507032.8604,2392109.4579,243739.7023,269724.1262,158313.5803,96311.1871,41991.2581,7065.0733,0,0,106.6191,0.0822
2013-11-22,2419340.0929,2079746.7204,254892.3822,246176.8197,133695.5732,95137.6978,38244.1601,4136.0222,0,0,162.2234,0
2013-11-23,1831228.0003,1608616.7336,220765.8625,251985.7700,153856.0701,92241.3735,66996.5246,4067.0400,0,0,169.3592,0
2013-11-24,1603414.5266,2091001.6675,234517.1116,334897.0270,128329.7841,82956.0398,68499.8226,5213.3067,0,0,140.5684,0
2013-11-25,1884329.3795,1536764.4854,254749.6619,205106.9299,161852.9724,57122.9244,53555.5863,2282.5222,572.4800,0,89.0075,0
2013-11-26,1997614.9202,1798371.9779,236399.2267,255132.6531,173469.8129,76996.9157,72131.4130,4545.5778,136.0245,0,56.9858,0
2013-11-27,1868563.2998,1946663.4091,262335.8581,215580.5431,141624.2090,97391.5068,71243.9688,3771.1133,0,0,224.0559,0
2013-11-28,1647118.8366,1953256.8930,263822.7110,272066.6267,159250.9683,97536.0000,53462.9465,6386.5288,0,0,16.3092,0
2013-11-29,1695386.6036,1940287.2451,223678.1512,246632.7597,138024.9164,97536.0000,25755.2977,5806.9467,0,0,63.6242,0
2013-11-30,1710413.2160,1958635.8393,270001.4487,138094.9967,98200.1402,97536.0000,23003.6533,4133.9334,0,0,71.9983,0
2013-12-01,1645685.7066,1993364.9008,218409.1161,180887.7899,65978.7076,96343.6356,47477.5113,7113.9601,0,0,74.7400,0
2013-12-02,1941163.3634,1830633.2937,196581.5206,224731.0735,105019.1094,42079.8399,72938.2666,2414.1422,2.8800,0,1061.6292,0
2013-12-03,2351128.5103,1943144.6272,206459.1424,276422.0968,92249.3482,76073.4266,71569.5691,1877.1224,9.7822,0,935.1366,0
2013-12-04,1481176.9855,1844626.5947,171261.4973,240470.2799,98137.7719,93402.3024,82637.5022,3230.0267,11.6200,0,471.2266,0
2013-12-05,1123692.5833,2065182.6808,82665.5624,220889.6629,102082.6148,95427.8089,84254.7689,629.7422,15.2022,0,78.2041,0
2013-12-06,2511937.4662,2056480.4259,3953.2467,261539.2172,29685.2113,92852.5643,84496.6670,927.3624,10.8844,0,647.7442,0
2013-12-07,2336441.4198,2076412.1428,0,188290.1799,0,85980.3469,63204.0933,3871.3510,621.6533,0,509.3899,0
2013-12-08,2413434.4107,1763263.9292,0,167980.9237,0,91750.4888,72508.8223,1866.9067,1685.4133,0,327.5693,0
2013-12-09,2394400.6535,1475138.6934,35390.3772,238432.0800,58.0978,96743.6046,79777.5109,6209.0200,2108.7067,0,1038.3726,0
2013-12-10,2206208.8705,247444.1728,223776.2490,271450.9298,4442.6846,91477.4000,81283.7334,3374.7534,315.6689,0,575.1575,0
2013-12-11,2030455.0727,1635730.8920,225430.6486,240565.2824,51471.9992,53545.5331,74427.8534,5067.8578,1215.3823,0,406.5751,0
2013-12-12,2453517.2368,1460197.4315,235272.5421,262636.1070,127091.0173,66234.1911,73812.6490,4790.0710,1297.7556,0,6.0608,0
2013-12-13,1897315.8098,1962239.2973,245631.6129,204462.8901,190793.9642,83386.0135,75177.6134,7625.6623,202.9623,0,50.0142,0
2013-12-14,2050164.0967,1982314.7496,177693.8020,148280.0831,133679.4774,64690.3023,73825.7777,142.1644,0.0222,0,168.7650,0
2013-12-15,2427567.6463,1816494.3370,150931.5582,110342.7767,133055.7583,67698.3556,76112.5692,1474.8246,695.8933,0,100.8574,0
2013-12-16,1289403.7034,2033676.2006,201268.3337,154370.2400,162855.1161,42255.1511,74782.0621,2109.5733,1350.4178,0,258.0085,0
2013-12-17,586976.3228,2078592.8096,241917.2380,163379.7871,215625.5462,19514.9511,76507.7068,2325.1511,0,0,0,0
2013-12-18,2415195.2429,2034127.1735,256765.2962,178269.0061,217451.6670,94847.2845,76182.4314,4837.5245,1931.4934,0,166.1583,0
2013-12-19,2386144.3239,1863540.9021,269340.6158,215003.9531,162141.3312,90937.2043,76463.0934,7362.6178,4318.3444,0,351.2625,0
2013-12-20,2358141.3901,1992510.1774,249650.1665,216630.1500,180065.2183,84232.6889,74566.1511,6594.8554,3042.0044,0,751.3508,0
2013-12-21,2660680.1499,1474582.6669,264849.3512,209601.0999,154747.0718,81897.7110,73581.6091,7105.8934,1359.4489,0,1049.1367,0
2013-12-22,2612200.5166,1477434.5248,275151.1224,162840.3134,149628.7616,82723.7244,73858.5513,3055.8933,2088.8778,0,894.4283,0
2013-12-23,2646154.9567,1745304.1865,257034.4112,245332.0564,160624.1968,94066.9379,75581.4709,2375.1822,587.4533,0,3280.7526,0
2013-12-24,2675012.9895,1714161.5286,253048.4799,219736.7269,145093.4822,94383.9956,81916.3199,7730.5712,755.8577,0,2651.3016,0
2013-12-25,2654195.5036,1870069.3864,220083.5913,194680.5633,130125.2885,92074.0624,75829.2754,11813.4223,606.4600,0,2181.1691,0
2013-12-26,2675040.7132,1880224.4793,108853.6220,215617.0197,122321.9438,88037.7644,74386.1554,7400.0155,325.8000,0,947.5242,0
2013-12-27,2652249.6361,2074363.5253,108417.8021,221868.7733,110692.5081,91643.3956,58332.8357,5485.7932,307.4022,0,961.4851,0
2013-12-28,2634300.2436,1994019.9063,206125.3039,290965.8999,94158.4451,88878.1469,68677.7825,7178.4645,362.8756,0,434.8884,0
2013-12-29,2108656.7305,1862454.0275,173715.4308,214683.4633,90024.8894,91227.6489,79141.8357,5787.9067,346.0978,0,359.9942,0
2013-12-30,1888530.3334,1331448.9648,164346.8603,222029.0500,77979.9775,54979.5424,80864.0265,7238.9181,203.0978,0,406.9550,0
2013-12-31,2422475.9898,1551807.0935,245622.3198,209930.1134,81124.2261,44171.7288,83183.4578,6715.3957,282.2511,0,432.2983,0
2014-01-01,1968232.7933,1223550.1428,174573.4538,103125.2769,86027.9463,73564.2755,76289.5692,3571.0734,460.6156,0,379.4825,0
2014-01-02,2397393.7735,1694693.5700,199124.5931,178383.9734,146853.6232,31264.8533,60037.7692,442.8690,558.3710,0,658.5300,0
2014-01-03,2360913.9331,1830835.4182,265225.3982,173452.5667,103043.7414,52802.2088,50318.8620,1084.1400,657.3556,0,598.4575,0
2014-01-04,2259337.8167,1590324.5958,257209.3800,125053.4134,86794.8077,25133.0531,65785.1379,1320.0556,1331.0933,0,661.7741,0
2014-01-05,2534595.4134,1796740.1856,235897.6027,101648.6672,83869.6807,21019.4934,63290.6535,1375.0067,2601.8311,0,2088.5083,0
2014-01-06,2555738.5031,1908213.7030,273051.6936,119733.7797,115654.4256,10223.3867,48194.4979,700.7867,942.2355,0,1062.1116,0
2014-01-07,2495538.5265,2013035.2791,261281.2710,204216.4870,115953.0082,78734.6135,52562.9107,1925.7910,653.2223,0,1960.7133,0
2014-01-08,2306409.0899,2094062.2620,217288.4221,91163.4366,120637.6121,70676.2359,65100.6402,880.8133,916.9445,0,900.4025,0
2014-01-09,2001651.8834,1954596.0180,200155.0866,82627.5166,155430.8518,74460.3467,73390.7291,767.4845,581.1088,0,449.5061,0
2014-01-10,2039699.0569,2008583.5449,227708.2761,69133.7464,164315.1126,79340.0668,78468.6581,8818.5510,0,0,661.2077,0
2014-01-11,2352032.0032,1686679.2973,243436.4127,61228.4963,144215.2398,59036.2847,86640.5199,8712.3356,0,0,281.1424,0
2014-01-12,2364058.0738,1479479.8581,177711.8333,57710.9402,129099.9533,67793.7110,82119.7510,3743.3066,0,0,268.2876,0
2014-01-13,2605269.5367,1643205.8124,203257.3201,113726.9231,135082.6547,78869.8625,85375.9913,1492.3799,0,0,544.8542,0
2014-01-14,2549274.7471,1957357.1874,220411.2861,159253.9137,135684.6087,79647.6890,86495.3960,1179.5977,107.9355,0,321.6649,0
2014-01-15,2588174.1666,1724936.5650,245098.3294,117227.2168,175477.9498,77351.2309,84978.9558,2402.2422,32.7689,0,1307.8860,0
2014-01-16,2558568.0234,1651025.0831,245480.6439,94096.4066,174451.3190,84311.1820,83551.3511,4572.0287,0,0,1102.3392,0
2014-01-17,2634414.3760,1704061.4852,260024.8401,111092.4806,193794.5713,89469.2177,81302.5690,6150.3956,400.6644,0,1679.5615,0
2014-01-18,2652082.6467,1372688.4394,239622.2795,98874.8365,153718.5177,77473.4801,74329.9332,3112.7555,128.0845,0,3011.0901,0
2014-01-19,2664493.7168,1303481.0133,259939.9556,101544.1399,128192.7450,80761.5203,82750.6220,3510.8423,637.2444,0,2368.5342,0
2014-01-20,2592228.3531,668504.6675,247315.4905,127683.5836,166370.9122,36695.0755,78229.9688,8990.9822,0,0,454.9684,0
2014-01-21,2622690.4466,279896.0890,239880.2372,150736.3434,169148.3189,78326.9200,53653.1556,5510.0799,81.3667,0,1049.8566,0
2014-01-22,1771791.2569,1822206.4588,264583.0842,111421.8897,204101.1650,97714.6710,49466.5153,2106.5688,81.4778,0,1106.7142,0
2014-01-23,2094341.9800,2024163.4449,264509.1313,120046.2228,141734.3654,98374.9466,67876.6931,1732.1689,196.0289,0,1030.4143,0
2014-01-24,2549039.2163,1914221.1247,269317.0548,119180.7069,187320.5877,98544.8890,70408.4446,3356.2066,0,0,732.9524,0
2014-01-25,2051253.9862,2047013.8883,267533.5486,115394.5434,192008.9323,98327.9643,57311.9465,2981.2267,0,0,800.1092,0
2014-01-26,2206901.7830,2089509.2101,249121.2888,146075.3469,158671.9263,98907.0445,48946.8219,3201.1844,0,0,759.9767,0
2014-01-27,2350336.8165,2175866.6595,232233.3429,152650.1670,191455.3723,62040.3199,43639.1073,4660.6088,0,0,540.6541,0
2014-01-28,2423068.1868,2203513.9247,268690.3620,139801.7106,218511.1459,88322.8844,52576.1562,3042.5312,81.2000,0,1139.3583,0
2014-01-29,2401806.5936,2101649.5369,258313.0605,152233.1167,223107.1066,98748.0001,64394.8221,3452.2599,0,0,1563.4450,0
2014-01-30,2639396.0235,2043347.1187,258376.4310,82658.8069,220186.7704,98320.8268,63069.8003,3577.3445,0,0,1319.1600,0
2014-01-31,2664514.4633,2007745.2054,251107.3407,81422.5162,215163.3151,97684.7157,57707.8222,4480.0577,0,0,1459.0375,0
---------
