title
"CPU Hours: Total: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC STAMPEDE] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total"
2013-02-14,2175658.7566,1308675.4326,222678.6046,213735.0370,137242.7402,99053.0487,67960.4664,43273.6796,0,13429.2021,5198.3677,4154.5068,0
2013-02-15,2439055.1963,1296226.7069,274292.4802,157242.2354,171506.1472,94343.3584,69171.7157,56983.0222,0,15429.9065,1000.5158,2498.6000,0
2013-02-16,2592889.0770,1000984.7562,214708.7980,149363.8807,138548.8067,82733.8700,53703.0266,61992.7775,0,9503.3778,985.7323,3065.5199,0
2013-02-17,2620346.8565,781313.8489,255185.9978,144693.3025,149447.6800,103439.6476,65158.4799,85008.0091,0,11117.8910,943.0670,6934.1712,0
2013-02-18,2572690.3768,1274286.2933,189123.1311,199771.9104,144609.9637,104173.0139,72230.9469,59261.0710,0,1409.6221,1047.1175,2670.0222,0
2013-02-19,2549119.4133,1462734.2580,195657.9422,193593.5460,137027.4499,44296.6221,66052.8396,79125.7687,0,8426.6355,751.8622,11430.2422,0
2013-02-20,2213754.2226,1208772.6356,223707.7289,220725.9834,148621.3706,57572.9126,64973.9154,75326.8175,0,5294.7754,150.8886,13524.3977,0
2013-02-21,621878.6231,1506687.4886,275838.8478,197303.1618,113096.9431,90844.8760,48833.6472,75101.9509,0,3984.4667,7928.3419,9589.5889,0
2013-02-22,2609969.0358,1233377.9562,241856.1218,169727.2196,168233.2665,79913.4073,55439.8068,73234.2444,0,6771.0554,22979.9838,14657.4399,0
2013-02-23,2633123.1734,981712.0309,260273.3379,160363.7631,145866.1767,79781.5918,53976.7510,83503.7243,0,2429.4623,5358.9639,13262.8445,0
2013-02-24,2626880.7270,1107233.2187,215947.2575,98154.4802,178757.4834,89560.7715,51674.2403,88779.8623,0,2140.6667,285.2333,4268.1624,0
2013-02-25,2561907.1038,760047.8135,152189.4825,69022.0945,72601.0534,68770.4343,59140.5158,44556.8223,0,510.0866,1454.1302,214.6556,0
2013-02-26,2526275.0402,233912.0302,242426.5528,190981.3107,42596.3533,66764.8859,40648.1555,44892.0134,0,8272.2556,13976.1834,3352.3290,0
2013-02-27,2651913.6460,1390867.6352,267768.9542,159773.9900,162205.8435,83689.0970,46111.4886,68775.7601,0,7656.8332,998.2506,2885.4357,0
2013-02-28,2635269.9003,1222757.1236,272209.6595,147281.2886,166520.7131,77338.3441,66959.7911,86340.5912,0,8781.9109,974.5712,3163.1957,0
2013-03-01,2605596.9124,1154183.8619,252874.4178,157781.2825,199674.4762,93023.4215,69084.9468,74911.8087,0,7969.2998,752.6644,1670.9844,0
2013-03-02,2627892.0996,919928.7113,225153.2535,118742.5318,201401.8531,88181.9489,61690.5866,85567.6046,0,6355.7021,461.0466,1843.4401,0
2013-03-03,2650564.2603,1314362.7692,160230.3422,109142.9323,175571.3065,85541.4475,33830.6178,83459.3596,0,2875.2530,488.7367,1756.1289,0
2013-03-04,2651269.2268,1907042.0175,247651.8200,125380.1534,130506.6866,81577.0641,52195.2307,75547.7246,0,8365.3242,430.1878,1152.4911,0
2013-03-05,2600891.7998,1337040.1678,250850.9934,116347.2976,182490.1835,80121.8396,67098.7082,80069.8798,0,7616.7934,444.7948,3683.3645,0
2013-03-06,2246153.5797,1228046.9354,175807.2043,90095.1638,169972.4098,84764.3743,58329.6672,85175.7333,0,5814.4421,213.9914,1591.3690,0
2013-03-07,1785238.1401,1142507.1248,179284.0397,108550.6701,179184.9732,83174.7152,68052.9930,87143.9467,0,11124.8468,502.7954,3011.2600,0
2013-03-08,2555108.3130,1264329.8099,176004.6134,95794.3824,172068.7799,71316.2571,67173.3425,83410.2668,0,4349.8689,1881.9886,2635.7778,0
2013-03-09,2536504.6562,673944.6364,95878.0870,56043.9683,199747.8035,74319.8769,65166.2665,52170.3821,0,933.7689,477.6405,2680.0955,0
2013-03-10,2498426.6260,649720.0985,43337.9597,18293.5926,211226.9498,88793.2608,57881.6267,11409.9377,0,35.7911,363.4405,1916.7579,0
2013-03-11,2633445.0502,1163189.3423,143878.5889,87604.5183,165886.6954,86554.9632,42833.4266,9411.2001,0,3437.0934,1381.3039,2837.4490,0
2013-03-12,2545855.1628,1184013.0980,172919.5668,102675.3028,157609.9631,52570.3780,47289.9775,10407.1955,0,2079.4491,4266.3466,7022.0866,0
2013-03-13,1945333.8600,1034598.4882,168262.3352,118169.6232,170008.7567,95770.8365,34872.1238,15280.1908,0,4116.1823,721.8144,6135.4244,0
2013-03-14,860662.6097,1093703.4714,197837.1777,112899.6404,164044.4871,99534.6318,76879.5021,33776.6399,0,889.3757,1593.4770,6495.0889,0
2013-03-15,2269575.2001,947183.9689,279259.4153,120434.9678,116901.4467,97990.3576,79749.1689,31749.2667,0,950.7980,1554.4634,5071.9601,0
2013-03-16,2087780.8229,666217.1154,184678.6222,108292.4772,105251.6067,98772.3135,78152.3289,48164.3243,0,650.8133,459.5555,1172.2267,0
2013-03-17,2587466.9500,586409.5456,201389.8705,92964.4306,137340.9432,86001.9300,61195.8801,14892.7380,0,1185.4265,11448.5854,2613.9021,0
2013-03-18,2585129.0340,460485.2579,168060.4560,129699.9354,89987.7303,93869.2550,81462.1112,34822.1423,0,328.7088,11564.1502,4364.2533,0
2013-03-19,2610242.7872,505225.0794,165371.8218,131035.4139,96057.9498,94086.7425,75008.8467,290.1333,0,0,474.9193,1392.2266,0
2013-03-20,2639795.9165,1576293.4492,200912.5369,168284.1096,144500.0701,90508.7684,81542.5154,0,0,0,5746.4815,2167.9955,0
2013-03-21,2629406.0432,1471686.4724,199736.6577,207354.7943,107705.0262,91918.5581,75918.4802,0,0,0,10629.8812,2266.0511,0
2013-03-22,2565817.5796,1416160.8296,222166.0036,219712.3672,108058.2430,97551.2263,80542.8663,0,0,0,2298.0462,3653.2178,0
2013-03-23,2577752.9961,1026847.8800,221969.8772,215377.1116,119796.2200,92602.1941,78184.9867,5921.9511,0,4385.2178,2371.4445,12082.9422,0
2013-03-24,2677956.7797,946045.8228,208439.2025,218209.9189,118416.1804,95280.4473,74886.1912,10475.0932,0,14462.8267,7238.7823,18895.9199,0
2013-03-25,2541718.0071,1141574.5113,199016.0145,219869.1261,112693.6228,101925.6029,68965.9536,15408.8935,0,9502.1244,1627.9334,19726.1088,0
2013-03-26,2292603.8235,1410676.8040,188219.6109,216626.0765,84185.0231,100351.6277,75476.1313,57160.2045,0,8416.6222,5296.0887,14761.6333,0
2013-03-27,1848828.4210,1274893.8438,179330.4450,193803.1073,106079.7863,96592.2607,74018.8687,88187.9954,0,10912.7801,2361.0053,9726.7976,0
2013-03-28,1523225.0336,1566293.2224,247670.6665,195332.4284,146512.8537,86183.8753,76645.3462,85903.3953,0,3461.9356,4214.9202,9935.7224,0
2013-03-29,2534824.6529,1714387.9812,237499.5403,157790.5189,122722.9293,79482.6118,71715.0777,92292.1870,0,10334.7067,2144.3493,17432.1045,0
2013-03-30,2524859.5073,1197024.1956,229389.1956,129118.3486,132501.6802,85801.8485,75096.8469,84347.1466,0,10427.2623,1597.0661,15069.7000,0
2013-03-31,1549851.5747,972626.5063,185215.9248,79393.1807,73278.9131,86153.0401,76956.6911,72623.0754,0,2976.7510,450.2757,13965.4421,0
2013-04-01,2168848.0237,493465.1506,243086.3266,121004.3842,73959.1334,43715.4978,61760.7999,67209.5556,0,58.5200,3368.3409,5910.0043,0
2013-04-02,2616806.1503,550453.9239,292444.2777,114090.0402,127642.4604,27000.2083,65829.4665,58627.5866,0,3098.3044,7221.8264,6325.8601,0
2013-04-03,2613814.0194,1369475.2881,243969.8843,102357.6555,168153.8767,44186.4985,64261.8799,82574.8576,0,1642.2265,2098.7469,3496.2644,0
2013-04-04,2635909.7211,1317646.5164,235095.1510,150405.7680,216961.3600,51601.2232,61417.3738,61877.5021,0,2150.0090,889.4101,6828.7401,0
2013-04-05,2643293.2729,1181025.9422,271548.2110,175462.1499,219843.7533,44465.3458,48719.9802,67108.3157,0,572.3046,1126.6722,6406.5755,0
2013-04-06,2636146.4934,1145031.5555,245897.6733,135078.0941,239011.8263,56881.7643,40662.4891,45208.8087,0,2251.1356,1281.2642,5278.7113,0
2013-04-07,1908438.0131,997801.4221,182855.0112,110276.1604,117941.6702,51055.6951,34242.4219,59797.9910,0,24213.4221,1056.3275,7420.7000,0
2013-04-08,1947391.6563,1310457.8309,230975.1724,142143.1489,102622.6865,37280.8171,29358.8023,56013.0089,0,16425.5868,1091.1912,5185.5111,0
2013-04-09,2335001.0589,1428187.4002,219697.7188,156025.2533,41017.1797,36624.7963,34928.6621,43233.5377,0,11121.2356,1568.9889,4753.1444,0
2013-04-10,2624922.0765,1479266.0793,189544.4341,136503.4586,115057.8063,49286.3527,46853.8420,48877.8402,0,16859.4400,2436.4549,5293.3446,0
2013-04-11,2657943.7072,1240559.0547,173792.6291,131528.0900,157230.6002,60495.6170,60788.7892,74863.0044,0,14663.8247,836.1832,7202.0601,0
2013-04-12,2563161.9587,1221892.8173,276373.0885,184245.8291,142293.3471,61717.8326,43907.5619,86651.0178,0,6808.4133,3298.6327,5195.7200,0
2013-04-13,2559919.1000,1000282.1505,250221.5666,164899.5922,114414.8424,64702.8550,34178.3535,45907.7379,0,3376.3422,3835.1324,2821.4467,0
2013-04-14,2292649.7233,1611027.0625,166455.6334,123573.7917,161673.1706,63206.4842,28022.1956,57482.1509,0,6416.7443,5175.4490,1865.1689,0
2013-04-15,2174615.7589,904509.6578,176328.9842,174610.2801,137204.4796,67150.4482,47464.7179,51902.1200,0,5839.7291,9377.5785,1287.6135,0
2013-04-16,2336319.6362,566434.1184,279877.4713,178530.5318,119759.6531,68513.3048,51457.5226,36690.5110,0,8371.3911,6006.1235,620.8800,0
2013-04-17,2666120.4231,1003751.5673,293088.5360,178848.8567,126114.2938,64117.0434,62955.2110,19309.1332,0,1069.3711,5705.8513,548.6201,0
2013-04-18,2667843.7431,1330581.2039,281678.1431,181448.3931,164433.0303,59637.2514,47019.0150,32556.1644,0,3584.5465,1814.9662,451.7245,0
2013-04-19,2597298.8865,1259493.3026,241396.1087,174501.7254,190514.3203,56886.9291,49634.1405,23638.1956,0,11280.0467,2100.0909,1063.8067,0
2013-04-20,2616355.7305,1377850.1723,176893.8889,193163.4751,203861.6372,59791.8257,46979.3308,6111.5778,0,16588.4066,3431.9336,2558.4600,0
2013-04-21,2613999.4965,1362077.4005,116366.0889,157391.5278,202858.7667,61500.0037,33508.9154,9845.9867,0,16933.5488,1673.3993,2827.7022,0
2013-04-22,2537906.2128,1213707.0215,175540.0530,170048.7172,154780.4632,64530.4848,45907.1938,32353.8624,0,5133.3933,4993.7175,3362.2577,0
2013-04-23,2532780.5924,1103280.3818,198414.3739,168338.1962,147344.0330,68965.7067,63552.5689,32941.1421,0,5992.8333,970.0742,3271.1223,0
2013-04-24,2615081.6648,1051152.8849,252005.6486,185553.9354,83437.7096,69263.0277,66720.7419,80722.3201,0,1773.2668,5346.5528,2031.9977,0
2013-04-25,2697236.4076,1132676.2619,270005.5825,211642.8007,145562.2267,69887.2595,73068.0884,82176.4975,0,7043.1778,9427.0731,1326.3733,0
2013-04-26,2572832.6299,1215750.8493,282384.8061,212518.8045,140398.4134,68836.0944,63833.6060,81088.7645,0,16559.8379,3721.2787,1272.9868,0
2013-04-27,2573397.9237,1302045.6490,252127.1199,177278.2203,128046.3201,73748.5881,60780.6489,72698.1821,0,11141.3398,1944.9828,19773.2200,0
2013-04-28,2569650.2600,1047542.4941,96777.9845,118986.5594,87699.5832,73500.4445,62130.5866,67208.7953,0,909.5800,3154.8714,36047.6465,0
2013-04-29,2710548.9634,661712.5903,53770.9644,132003.7472,109587.5025,73206.0205,59870.4018,32945.3465,0,7138.7823,2315.9796,17805.2666,0
2013-04-30,2635158.3855,232692.8438,75137.9179,163554.3385,128738.8360,67683.8923,55189.2578,62196.4668,0,99.5645,6149.2564,19055.7444,0
2013-05-01,2668134.6615,1090342.4128,164583.9572,157514.1224,128940.9063,71738.4166,40308.8981,81396.7426,0,3510.5178,12974.0983,35772.0089,0
2013-05-02,2103828.5323,1392277.9423,243927.0821,141081.6070,162308.7624,72913.1008,21850.5466,46553.9912,0,6860.3197,1805.7981,17023.1245,0
2013-05-03,2124859.4734,1584151.7601,239535.9709,167289.6747,169144.6635,70435.2846,64985.9930,61607.5246,0,3816.7575,3847.1707,4670.7956,0
2013-05-04,2185706.9310,1333128.1201,198962.1017,215187.3702,103050.2432,69826.3225,71630.5737,67054.5470,0,1392.6756,5408.8866,4497.0310,0
2013-05-05,2609272.5622,1187064.2808,173629.6691,224826.5695,115403.3431,65408.1402,70458.9333,78561.2445,0,438.0377,1198.8017,2701.0333,0
2013-05-06,2377144.1376,846327.7998,253105.6690,228268.8534,77349.9531,65950.1915,77111.6178,71041.9598,0,3976.8689,4936.0135,1697.6111,0
2013-05-07,2449548.8101,480941.8451,280175.0072,219386.5130,58707.1170,63199.1333,80965.0178,87205.6488,0,2734.7712,9935.4995,2440.7400,0
2013-05-08,1653815.3302,1869718.3063,229934.6485,214580.7850,135044.9334,55477.9823,82379.5419,72466.4267,0,1289.3844,20374.4277,5235.9221,0
2013-05-09,1720018.3025,1088115.1422,265273.1885,223903.1072,167453.6803,65076.1595,74533.5514,65227.5335,0,1984.2711,34865.4963,3526.2045,0
2013-05-10,2384265.7771,893603.1024,273364.1154,212062.4343,158058.0563,64651.7989,80075.9113,87189.5287,0,990.5441,52305.2535,1863.8912,0
2013-05-11,2013111.9449,1557958.4084,214572.9999,188185.0947,129781.7532,63113.6562,63580.8087,72161.0178,0,677.5111,32749.8021,2550.3776,0
2013-05-12,1672369.0885,1417461.1683,195233.3595,131296.0724,127224.4237,54779.9953,47705.0622,80192.7690,0,1898.8244,34386.6862,3883.4822,0
2013-05-13,2478259.4449,1086530.5738,259766.8046,150529.1151,118828.9436,58155.0857,74771.5109,24356.9909,0,9944.4399,42869.4672,2395.9200,0
2013-05-14,1923785.0423,234833.0263,283968.7093,192904.3312,99432.8204,55541.8807,65810.3153,67968.6890,0,7023.7846,54544.7165,3273.2045,0
2013-05-15,2071019.0782,1798622.0090,268619.7753,195436.5511,138051.6140,61835.1034,38796.2092,76762.6312,0,10750.7468,56990.6680,2295.7088,0
2013-05-16,2391686.3460,1699543.5301,238754.3871,231897.5085,115562.1036,59289.5780,81343.9693,90012.9377,0,16469.9778,2524.8394,2418.7200,0
2013-05-17,2386503.8445,1583729.7165,296347.2173,194867.4481,145902.8564,51319.9895,78997.4223,83373.3511,0,11085.6534,77811.1112,1119.3977,0
2013-05-18,1940808.2872,799961.3199,205458.4535,222668.8865,120739.3097,51393.2968,36902.4890,87900.8757,0,4881.5690,3826.1733,546.1290,0
2013-05-19,1755448.9222,700490.1155,136295.2999,221529.6237,87027.9368,51920.4408,53082.9690,81116.1778,0,8275.9223,10406.9990,225.7867,0
2013-05-20,1993941.4692,1305073.5235,194093.2124,226049.9826,123374.0768,33025.5429,82446.7641,85423.7733,0,7060.7400,2167.2660,150.3667,0
2013-05-21,2241622.8770,1775837.9553,251983.4421,219937.4252,122552.7524,38408.6586,83733.0847,76611.8534,0,8901.2243,1467.9524,220.3778,0
2013-05-22,2370604.5413,1804066.9424,257238.6354,235895.1534,197340.9268,42211.4671,43949.8713,86385.4446,0,8822.0042,827.3050,209.3845,0
2013-05-23,2530171.6448,1843761.5593,277442.7626,231757.1711,143836.9761,35569.0412,68294.1110,86567.1421,0,3092.5089,923.1750,253.1979,0
2013-05-24,2315587.7156,1525035.8859,298719.8822,221998.1794,155739.0071,24568.7700,69524.2934,83458.0576,0,2030.8534,685.2392,298.5711,0
2013-05-25,2052679.3170,1327627.4401,296563.1579,216528.9110,120590.8825,18685.8319,67460.1373,77747.4933,0,2543.6157,402.2755,147.7000,0
2013-05-26,1968609.1949,1062268.5151,284306.9246,211068.5454,159574.9470,18542.2824,69935.8667,50251.0223,0,882.5023,705.2172,0,0
2013-05-27,2082836.6369,1123228.9961,231067.5465,182103.8829,125859.2234,21936.9975,69035.7469,34260.3912,0,2034.6533,1440.8900,125.8000,0
2013-05-28,2212507.8344,1356824.2671,239703.4416,160949.9301,119048.2034,23166.4071,69555.8709,18.9778,0,8470.7310,742.5789,361.1310,0
2013-05-29,2570176.4968,1487350.3691,237855.7264,134422.2387,150837.0940,48219.3240,69418.4534,51330.2486,0,1666.7203,1327.2912,420.7156,0
2013-05-30,2402178.9492,1389158.5909,227329.2892,186517.6013,213780.1931,61417.6275,66398.9198,74286.2666,0,389.2178,1790.2456,189.9155,0
2013-05-31,2357160.7264,357404.8803,279158.2778,205066.5692,152959.7136,64506.8156,65265.9203,58092.5998,0,1122.4734,637.8591,224.4312,0
2013-06-01,2522692.2885,0,185736.8242,97496.3310,214779.6932,65322.9600,73164.8403,25486.1378,0,490.4356,1137.7595,990.0333,0
2013-06-02,2524617.0501,189545.2089,127344.9085,82749.6495,105877.6168,66432.1989,39110.9471,17802.4311,0,153.8645,745.3713,694.0266,0
2013-06-03,2541106.3697,1769692.0928,180585.0735,116397.5321,147277.5129,57454.8727,35224.1955,36948.3509,0,3596.7623,935.0389,1239.6710,0
2013-06-04,2342631.7056,1843138.4099,227999.8601,94940.4184,116380.5632,63552.9404,73218.7378,73933.4933,0,7017.2066,8125.9868,1123.0777,0
2013-06-05,2637484.5168,1936625.1251,251715.7446,203313.7010,165825.5272,59670.1751,77424.5066,85243.4976,0,5142.4623,20497.5979,664.7067,0
2013-06-06,2669204.1808,1797250.1293,256091.7933,208063.6604,151588.9033,58050.8730,78813.8711,76248.4664,0,8959.9177,4684.1572,1278.2022,0
2013-06-07,2554471.3190,1856307.9914,248952.7817,194794.0741,240515.2468,60460.7422,85693.2535,83499.4398,0,12658.0933,4851.4043,3779.5355,0
2013-06-08,2644367.3266,1690643.1327,230330.1421,106717.1787,254836.6935,62309.2088,89595.9467,76606.0132,0,6188.0822,1391.9695,4068.0089,0
2013-06-09,2623591.3791,1498510.1826,267692.3264,161269.2956,117515.7762,65580.6173,88406.0354,49148.0445,0,13141.8089,121.8988,3503.2978,0
2013-06-10,2561755.7811,1524680.2222,283965.9390,128695.6415,128810.6400,65500.8253,84922.9874,9.8844,0,1971.3332,798.2670,13777.0911,0
2013-06-11,2644644.6401,1613016.8844,264891.3578,156665.6005,32870.3798,63131.0329,83980.7111,0,0,6602.2022,1424.6798,22557.9601,0
2013-06-12,2484869.1640,1702202.9566,283218.4829,152332.8673,171947.8262,65773.8031,75616.6669,0,0,21315.2601,10814.9785,16642.9444,0
2013-06-13,1860659.6226,1737732.0847,266015.0684,164880.6472,177788.9067,66212.6094,40316.6712,45868.6533,0,18120.2043,1102.7099,12081.9088,0
2013-06-14,2621844.0138,1515753.7856,253686.8155,198346.1400,210883.8064,66461.9222,62646.4850,58794.6978,0,16429.0800,1619.8478,3370.7489,0
2013-06-15,2611739.8496,1371049.0666,238611.9822,205488.3975,151810.3298,68343.0191,71418.3069,84618.8490,0,2767.0844,5237.4508,176.3178,0
2013-06-16,1818360.2300,1182459.0040,265046.2510,126913.5777,100717.6433,68614.0521,60987.1553,70832.7424,0,2154.1356,13651.6129,104.4933,0
2013-06-17,1749400.8903,1437529.5465,288204.5466,119904.7177,137655.6568,67533.5614,61587.3200,66811.8044,0,16198.3757,21664.8309,5088.3512,0
2013-06-18,2576870.8236,1455783.9920,296759.7435,138989.7007,104633.1137,68623.3276,60403.2223,65351.2043,0,10179.7622,20372.1257,16005.3755,0
2013-06-19,2227789.9033,1651816.7828,291848.4911,154133.3979,116248.8231,68429.7131,77423.7380,71358.6490,0,10846.5533,12440.4610,14718.4355,0
2013-06-20,1699625.9675,1435180.9601,290400.9805,151127.5122,109022.7600,67101.9653,67455.0974,73418.3292,0,12541.0668,13042.9711,12315.5689,0
2013-06-21,2545528.2468,1685731.0122,291378.3865,175614.8443,104439.3764,70816.0189,50192.5465,83137.9554,0,15506.8490,5417.1753,12894.3045,0
2013-06-22,2586396.2705,1297759.5973,293089.6312,201209.9329,106910.1997,69175.0104,37777.9068,89054.3194,0,134.9911,1681.6474,22171.7088,0
2013-06-23,2508941.0703,1328304.4084,265006.0211,180928.5498,79884.5196,64348.6486,33873.7952,63866.0667,0,495.6310,1882.4584,6235.1999,0
2013-06-24,2483902.0872,767760.6756,284717.7419,207892.6567,120021.4170,67054.7787,43569.7600,76266.4442,0,12498.9421,1784.9064,3522.2022,0
2013-06-25,2481474.4260,25050.7425,297173.6086,173986.9915,141223.4899,58249.4886,50314.6398,69437.5865,0,16996.3645,1112.1698,693.7600,10.4119
2013-06-26,2189834.4800,1714619.8266,298857.8180,194761.6670,144218.5643,58719.0879,45157.2798,83952.9375,0,13880.5822,2413.8634,0,0
2013-06-27,1310664.3364,1900934.0580,294824.5025,219393.0648,135618.0506,61679.6804,39943.6661,74078.0578,0,15091.1909,608.0111,4685.0689,0
2013-06-28,2477871.9870,1720150.4276,286368.3909,195169.3597,62969.2039,56870.4943,48073.0711,48093.5380,0,8920.4933,858.3722,18551.6088,0.1608
2013-06-29,2295710.1074,1601093.6261,286509.1556,208097.8645,61766.1934,62264.9186,40260.7022,54678.5423,0,5757.4801,2043.3095,10978.5067,0
2013-06-30,2415776.1667,1487392.1701,274249.9138,176347.9892,163321.6301,63881.3869,26858.8089,37364.9865,0,11104.7866,1135.0978,10767.4489,0
2013-07-01,2119742.8301,1640925.7389,288957.6807,142667.5901,103678.0969,64612.7263,34682.3379,61324.1419,0,13968.5643,1273.7733,11882.2400,0.0075
2013-07-02,2378951.7464,1753085.4443,295742.1398,162791.0202,141406.7635,63728.3876,54022.3468,90831.3420,0,15082.0934,10145.9839,12853.1733,0.7034
2013-07-03,1710047.1130,1800055.7471,293677.5447,178147.4373,151319.7300,59944.6167,53810.3645,92819.7601,0,12986.8487,11533.1354,12894.8576,78.9709
2013-07-04,2095359.6100,1519268.3596,290012.5891,144484.6345,100464.9502,62457.4421,66738.5023,82979.8621,0,9450.1934,5646.7000,12714.7245,215.9700
2013-07-05,2079434.1468,1408376.8940,278268.0183,109990.4055,99258.9934,62588.2873,66966.5380,73682.7245,0,14216.0132,1005.1900,16803.9472,215.9700
2013-07-06,2458714.7736,1234005.9375,269319.2980,91838.4897,161037.4200,60052.0748,63526.4840,88841.8975,0,6134.5868,16173.0167,12829.1267,215.9667
2013-07-07,2136930.4531,1248488.8757,282441.3618,80053.9640,238260.2163,62045.0359,57443.0092,78133.8535,0,129.9734,5118.2987,6337.1111,195.4683
2013-07-08,2231877.5764,1581324.4749,267117.5843,105798.3869,234640.3702,57866.2346,41691.4580,29086.2931,0,9062.7245,10621.0539,4385.7044,215.9658
2013-07-09,2602628.4926,1764988.3519,274838.8732,138003.8216,193239.5934,59663.6241,20234.8178,47447.0489,0,14336.3177,1900.3130,3323.9555,208.8783
2013-07-10,1941951.2505,1830775.9186,290170.6635,139334.4375,140957.1070,58149.7962,24378.9956,68601.0397,0,7374.4778,20339.0740,9376.7357,258.3817
2013-07-11,2253226.9839,1891989.8336,290214.2669,167296.9067,145145.8098,59867.8097,43847.1421,83443.7464,0,1565.9688,11130.2462,1016.2422,312.1775
2013-07-12,2271618.4636,1756111.4752,286602.6847,155232.5714,211571.2799,60540.5223,65204.8447,91560.4490,0,13304.1377,5325.9541,550.2600,396.1258
2013-07-13,1935880.0727,1356324.6491,283058.4178,104768.1810,177934.4701,62521.7542,65432.7512,59963.6221,0,5473.4978,15913.7801,267.4511,249.4483
2013-07-14,2104438.7429,1227394.4846,200775.9042,84635.7797,222470.8002,63046.8637,61987.0177,91069.5645,0,3825.9912,16931.6860,1351.2533,0
2013-07-15,2299726.2731,1433609.9361,237752.3107,120604.6798,165541.3933,59778.8304,71962.5819,19751.1822,0,9089.2334,27002.0756,4668.6112,165.2542
2013-07-16,2530107.3538,1309338.1820,272589.1779,166072.7573,148607.8365,58319.9077,62315.7731,73019.6133,0,12153.8667,9242.5099,1980.3622,12.8492
2013-07-17,2608276.6443,1503176.5747,277497.3886,203030.0087,146857.2163,64369.7459,42477.4092,96262.8623,0,20331.6777,2639.3861,1262.1690,187.5667
2013-07-18,2574476.6235,1601219.2441,261812.8021,164414.4217,166345.5366,62175.7049,65606.7553,96128.2531,0,7799.8644,1029.1833,5076.2555,193.7033
2013-07-19,2499417.5635,1829877.5865,256816.9001,171004.9775,234413.9669,61693.6588,67636.0978,86105.7823,0,8574.0844,301.2745,4904.3044,12.3383
