Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[TACC STAMPEDE] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[NCSA FORGE] CPU Hours: Total,[TACC SPUR] CPU Hours: Total
2012-10-01,2598498.2399,1244281.4666,162093.7291,131586.3051,157438.0233,101840.7517,0,51972.1596,5547.5201,11259.6223,0,459.9023,0,0
2012-10-02,2495087.9742,1365989.6891,205188.0843,188123.6372,117616.9732,91598.9510,0,55251.0049,9027.0090,9341.9509,6731.0820,2.5422,0,0
2012-10-03,2548123.6965,1301426.6269,271922.7468,219159.7332,151307.6035,85918.2446,0,49025.3288,7988.8089,6770.6422,11727.2846,4582.0365,0,3.8489
2012-10-04,2382100.9734,1360526.1957,264576.9956,189181.3099,180635.0332,85331.7751,0,62683.3778,10753.2356,5998.6311,2649.4890,7155.8748,0,0
2012-10-05,2246757.4839,1308624.7064,203946.0626,158591.5668,172726.9494,86871.1373,0,78661.9650,4262.9688,8940.2534,4585.9332,2276.8359,0,0
2012-10-06,2633792.3707,1226907.1464,150932.4974,214921.2584,128988.0867,91042.3476,0,63047.3420,6303.0712,5734.8556,7527.2488,1334.8390,0,0
2012-10-07,2611698.4965,1173177.9784,195107.1555,117306.0850,169843.5705,87051.3985,0,68790.8313,10077.8044,6473.5223,6211.8866,299.9722,0,0
2012-10-08,2533492.7266,1327871.9782,226195.8708,139731.8710,181004.2064,97303.9821,0,48367.2841,8767.3733,7853.4198,4119.5934,2924.4491,0,0
2012-10-09,2648545.2200,1174909.0933,227550.9778,157375.3563,173459.4667,102654.4432,0,27465.1643,7923.3600,7105.2178,6732.7245,2440.5851,0,0
2012-10-10,2510335.9173,1292637.4842,211429.0357,181172.7990,185264.5835,102639.3776,0,21384.8528,6800.4267,15043.0467,11815.5936,7180.8980,0,223.4222
2012-10-11,1301913.2693,1296266.3193,193882.6891,214312.6424,171107.1868,97380.0890,0,69790.6486,2808.0089,19956.3845,13755.9601,7365.5663,0,259.9956
2012-10-12,2616353.9127,1248535.2309,219104.6889,202476.9134,164387.6064,91343.6358,0,69515.2976,1472.9111,18454.6023,15952.0912,10186.3095,0,34.2622
2012-10-13,2625411.0886,1247445.9031,198516.9690,219102.9657,20374.8602,93960.5089,0,56523.1597,503.3334,10654.0978,5027.5468,4603.5658,0,0
2012-10-14,2440167.3532,1216671.4486,112221.9820,190961.3258,20462.1466,92478.2184,0,57257.6265,3039.7778,5967.7422,14730.1534,354.8528,0,0
2012-10-15,1989452.1334,1008958.5651,99961.0533,185540.2016,130552.3203,97667.7312,0,63829.4935,9992.4088,17469.8245,16221.6245,1324.6360,0,15.7600
2012-10-16,2289942.4665,837621.0793,99844.3112,217301.6687,195048.4100,101378.1708,0,62953.6754,1281.8398,14353.2334,5034.3377,6857.2484,0,22.8489
2012-10-17,1598076.9575,1288472.9045,110427.1334,197177.2739,138867.6797,83883.8747,0,66937.1953,2482.2982,7138.0419,15891.3534,10523.9793,0,288.2800
2012-10-18,2569668.1164,1258864.1065,121166.4222,207236.3655,132517.1129,73640.2324,0,79679.1071,7148.0889,17126.0289,18414.6531,4768.0855,0,453.7244
2012-10-19,2450650.0165,1325506.1237,155115.9909,173376.0323,175627.4530,85916.8651,0,72694.4438,11880.2223,16762.0466,14985.3666,13834.1579,0,288.5733
2012-10-20,2305806.9206,1302935.7330,142540.0048,142633.6462,120243.7134,91425.6145,0,76260.4442,11026.1465,17151.5022,14116.0579,18482.0611,0,95.6222
2012-10-21,2518657.3196,1318589.7157,56998.1467,55984.2814,84863.2031,96664.5899,0,71349.8798,16436.3913,14630.9645,18871.1978,9116.5691,0,0
2012-10-22,2608107.7032,1360474.8969,7512.3865,38486.6520,57841.7997,95675.3539,0,64600.3249,15217.0668,17059.0000,11430.3556,14323.0082,0,6.0000
2012-10-23,2469243.2569,1311606.9149,145967.4039,216092.8701,92764.5299,83058.1102,0,72836.9511,2133.8800,17246.3242,3589.3265,16568.8018,0,479.9600
2012-10-24,2597448.3093,1318366.4529,175783.7334,190710.0751,135444.3260,82575.9831,0,82893.1689,8068.4709,17811.0934,7608.1779,1947.5897,0,489.0711
2012-10-25,2579271.8264,1210328.8797,211148.7554,156993.4498,185374.3040,88257.2362,0,85165.7420,12941.5422,18076.9667,9876.5554,3477.2156,0,326.5600
2012-10-26,2587287.8963,1281517.4697,195138.1112,143618.5831,188679.7667,88614.6086,0,82700.6000,6355.8801,17642.2511,7182.4956,1193.8147,0,531.5377
2012-10-27,2509456.1367,1187912.3106,203655.9689,113052.9109,162265.8367,82866.2005,0,77963.6891,8298.9732,17167.7066,12519.2333,313.0905,0,322.1688
2012-10-28,1753178.5334,1090264.5419,166579.0174,110420.2205,103597.3364,89863.3468,0,73114.9424,4419.2133,16424.0310,12551.2335,299.4211,0,224.0134
2012-10-29,2236647.0499,928588.5499,165116.0091,147072.0581,119565.1965,87143.0313,0,63967.1558,3755.0310,20186.1865,10737.4556,299.2923,0,119.4357
2012-10-30,1893584.7100,1155394.6307,169851.0711,164183.9554,126486.9502,82071.3633,0,82564.5596,4805.0000,18571.4889,10490.1333,6140.1497,0,3.1467
2012-10-31,2383516.6100,1281759.0495,158532.0624,183044.8875,144791.8067,81786.9589,0,84960.7736,14482.0534,16650.3890,15100.9732,9338.7744,0,0
2012-11-01,1030022.9331,1215938.7549,241489.6268,172796.4002,172376.5436,102280.2513,0,78062.8091,8807.3600,19661.2711,22367.7578,636.3988,0,48.2134
2012-11-02,1476941.7766,1299675.6268,266690.3469,161047.9370,207338.1467,103966.8735,0,82282.5198,3329.8759,19411.2844,22451.9113,419.5111,0,0
2012-11-03,2643096.0506,1334697.7961,256967.6799,162616.6261,203694.0632,101335.7338,0,79570.2839,6368.8844,19754.5844,6630.8689,299.5111,0,0
2012-11-04,2520388.9049,1326728.3112,270180.5200,162437.3124,215289.6535,104570.0431,0,75692.7466,6600.0798,23235.9488,1574.6911,41.8545,0,0
2012-11-05,2441108.3990,1310330.5911,234664.8844,138953.9276,198236.9335,105497.7799,0,61402.1425,3789.7243,26084.7511,13136.0422,14819.8527,0,0
2012-11-06,2503928.3171,1312162.5822,267803.4572,217401.5783,243172.1965,111444.7462,0,57997.9689,4144.2802,15810.7179,6929.5398,37096.8506,0,0
2012-11-07,2577567.6163,1342118.7736,275481.1201,200261.0001,173821.1134,105057.1212,0,41518.1911,10901.9822,7364.3378,6370.7422,35390.7048,0,0
2012-11-08,2449119.7636,1272197.3688,270771.1642,205589.7740,158048.7169,111641.0623,0,81054.1646,11442.9066,9013.5510,15102.0978,34007.5087,0,7.9733
2012-11-09,2396050.2205,1259257.1767,251018.1461,200060.2443,108166.5403,113114.1653,0,84408.9468,12748.3689,6572.3733,9397.7624,20957.2444,0,7.3600
2012-11-10,2459994.4299,1341733.9912,206499.1069,167814.1258,127214.0601,107446.4299,0,83883.0666,15139.1643,11466.4358,19110.1444,58312.4223,0,0
2012-11-11,2452510.5994,1277679.3202,148975.6444,133790.6070,89633.4998,107846.5625,0,80599.5600,27849.2399,13828.4534,7946.7690,6104.7909,0,0
2012-11-12,2350451.2536,1065309.7551,242406.6086,171396.8534,168793.4201,104399.1945,0,79137.3868,18042.1777,11770.0246,11836.2600,4100.4228,0,0
2012-11-13,2584477.5132,1358478.4614,195587.9373,213159.1050,150101.7664,106436.9733,0,76666.8490,15977.3779,18229.1423,19910.4711,404.9509,0,25.2622
2012-11-14,2597065.5202,1339339.0408,195496.3418,212510.4510,147931.0629,102724.3460,0,67078.8625,20224.2489,12926.4112,21477.5180,2190.3516,0,8.4356
2012-11-15,2598250.0303,1305598.3157,132402.1383,204051.8663,134491.3600,102009.4047,0,62840.7331,19849.4800,14402.4822,15121.8227,4309.7504,0,0
2012-11-16,1213932.4895,1369050.2270,145292.8308,207643.1611,96070.6433,110491.3204,0,77726.5066,17118.1334,18643.3442,8530.0795,424.5602,0,0
2012-11-17,326882.4798,1359593.8315,135834.0226,196535.3421,166149.0068,112558.0933,0,66311.0579,21439.6045,17027.5423,17211.7422,20421.6797,0,0
2012-11-18,2307797.8637,1354354.0092,143065.4002,180924.4688,116911.0935,112070.2975,0,43799.1556,18762.8177,18538.1021,6917.4645,19495.3928,0,0
2012-11-19,2640081.9537,1340301.3115,138898.4004,187382.6538,130760.4033,107027.6222,0,83952.7156,15009.2710,16097.8778,17149.7977,23118.1623,0,64.2133
2012-11-20,2625656.5769,1328790.4223,194016.0217,200791.1733,128175.8897,107052.1305,0,75460.7328,19081.5289,12813.7955,18091.7466,25.9516,0,8.4267
2012-11-21,2622601.2534,1319740.6078,184904.1420,171972.3898,107017.5165,93401.0277,0,61771.2661,30813.9779,14164.5977,20029.7577,306.5222,0,8.6444
2012-11-22,2571992.7299,1298789.0669,235120.9551,204310.9840,75869.9800,108018.1032,0,43735.0175,35298.2669,8234.4089,18400.3110,299.6422,0,0
2012-11-23,2675846.4395,1314587.1421,176877.9513,157299.0004,37540.0401,119537.4191,0,67619.7243,32923.6091,7224.8757,8170.5357,299.5822,0,0
2012-11-24,2523932.0868,1314726.9419,219704.0088,159085.3047,82410.8963,117846.3220,0,77291.3153,20843.2000,15019.1354,12756.8288,299.4755,0,3.0667
2012-11-25,2492792.3333,1301655.6528,231951.6136,218500.3257,100395.7900,119469.6574,0,65057.4221,14600.7466,18385.0423,20095.9889,160.5217,0,0
2012-11-26,2549995.0868,778039.3515,242052.6845,218752.8408,84241.7499,110412.2115,0,75198.7601,30585.7643,22215.4222,19976.3555,31174.0375,0,0
2012-11-27,1836480.5435,560389.2976,236504.4576,181255.6489,112997.8734,110109.5434,0,75032.7310,41420.8090,15514.5336,16620.1445,24341.4114,0,0
2012-11-28,683368.3262,1311602.2406,149842.7026,207225.2360,102009.0060,111056.9245,0,65714.8799,45795.3867,9033.5043,20547.4154,11571.2945,0,29.8577
2012-11-29,1592455.4034,1324600.3194,134613.8667,175930.6990,97463.5669,109937.1722,0,73772.3089,38243.7512,15370.3244,17683.6289,40544.2052,0,32.9689
2012-11-30,2625528.5900,1351209.7999,189532.8130,165165.0506,84765.5266,106819.0298,0,68720.6444,26252.4934,15898.3334,19531.5287,46976.0222,0,6.9778
2012-12-01,2509571.1102,1283363.9682,151601.7110,165902.0321,44826.4768,96218.3245,0,62690.3155,12758.6977,15672.5134,18354.4245,72.0000,0,0
2012-12-02,2504099.4434,1311158.2223,235483.5732,165838.8561,64411.1200,100422.5225,0,60054.1604,11017.7644,7031.9490,23033.8422,56.4867,0,0
2012-12-03,2056093.0506,1363050.0536,236630.4493,223101.0467,80677.2604,91892.4953,0,55390.7195,9095.1689,12957.3267,20476.1466,0.8467,0,0
2012-12-04,1594984.9231,1265303.0456,237742.8221,222603.2187,87735.4433,84898.4627,0,48123.0620,12091.5645,15513.4778,12284.3198,0,0,3.8756
2012-12-05,2399108.5266,1332222.0396,214331.1024,203028.6019,92989.8832,77646.6913,0,47593.7864,20976.4712,8935.7934,21182.6246,0,0,1.1378
2012-12-06,2164222.7939,1326726.9036,231532.9331,223161.4636,98259.1896,80539.7141,0,39521.2797,23121.1735,17838.9201,14771.1332,2.4867,0,0
2012-12-07,2609149.7931,1290240.9991,222343.7998,200093.6037,96938.8324,86968.2256,0,35541.5732,22711.7820,23477.7932,20754.6665,118.0364,0,61.6889
2012-12-08,2580024.8239,1351382.1027,178088.4358,174192.4829,60604.6931,86350.2669,0,35468.7694,16947.0579,20560.9979,19432.7955,7638.8576,0,59.8133
2012-12-09,2443993.6433,1274466.2352,124233.7644,179677.8454,59824.0301,88013.2857,0,70566.0044,14806.1022,16953.7644,7349.9665,326.1027,0,5.7422
2012-12-10,2475076.9335,1338969.0492,191334.7245,178263.2261,66512.1864,89312.1217,0,66990.7514,11272.5332,30482.0624,11935.8956,602.9900,0,0
2012-12-11,2327901.2262,1358085.2225,197177.1472,202184.6911,89910.8636,89103.9062,0,70982.5911,10447.8799,17351.8332,13997.9978,356.4750,0,0
2012-12-12,2462058.7644,1391944.5691,221788.1331,189796.7675,112360.8599,90490.3329,0,72500.1981,24611.3866,25924.9956,9221.8401,10002.0699,0,68.1511
2012-12-13,2380098.5035,1347891.6889,252919.5017,204327.8605,113381.2131,88713.9526,0,69806.6552,34891.9201,12328.5310,5961.3934,1178.0958,0,319.4977
2012-12-14,2492807.8364,1351951.2043,232556.7778,140263.9577,96525.7797,87609.5512,0,76114.6888,44872.4357,7974.9578,6225.4601,7680.5298,0,169.3333
2012-12-15,2651315.7696,1355697.9690,242067.2132,128417.4175,72189.2996,91460.6315,0,74481.5692,29339.7157,5177.3778,10907.9577,2075.3283,0,0
2012-12-16,2613606.5130,1352486.2529,159504.6133,101816.6127,64260.2431,91006.4549,0,68868.7870,29020.6222,4045.8134,17458.4889,48.0000,0,0
2012-12-17,2535765.5734,1278709.7548,149444.7645,75301.4012,160693.2997,88295.7973,0,74376.2491,41611.5160,7249.5288,6914.6090,62.9973,0,0
2012-12-18,2589847.0934,1109117.7284,210110.5381,100411.8154,172406.7105,89371.9489,0,72480.5197,37413.1063,12794.2533,14739.0666,61.1416,0,36.6089
2012-12-19,2286567.3868,1243601.6124,71950.6754,139638.7127,173965.5330,90195.1659,0,75562.9046,17899.8579,3461.2111,14157.2600,255.2014,0,19.2222
2012-12-20,2145337.7699,1358359.7379,83974.5863,210328.1979,175840.9770,99196.6006,0,78513.8536,21647.4446,17322.5532,3178.8045,53.7367,0,0
2012-12-21,2451827.8097,1257909.1422,206852.2581,170422.5408,114735.2435,96916.1821,0,62277.3113,17435.1822,22262.5422,5913.3177,28.1806,0,25.3956
2012-12-22,2647554.5966,1300894.1148,176103.1555,183764.5850,144925.5995,100230.0222,0,68032.0933,12734.7066,21167.3423,8754.8690,296.8072,0,256.7244
2012-12-23,2655078.3128,1263944.8972,86666.3468,177700.2317,117166.5100,103686.5697,0,63646.0221,11933.3154,18017.9312,16606.3622,296.6534,0,46.8222
2012-12-24,2666938.5271,1223435.1063,36701.8313,199334.6754,80777.1799,101636.0727,0,60948.6668,12896.9869,21581.7312,2525.1555,1170.6225,0,331.0711
2012-12-25,2666057.6000,1306135.1776,46445.9156,138559.6940,73947.9871,92833.0681,0,64344.5557,17596.9824,16369.0933,3142.3488,294.4934,0,153.0578
2012-12-26,2613627.3835,1231198.4351,91217.3468,138727.9311,122404.0562,102844.7763,0,66768.2578,21765.1644,23475.5378,2054.2466,81.1536,0,256.3911
2012-12-27,2540220.2864,1230158.9554,85656.3734,167663.5848,121287.5668,100316.6280,0,64659.4444,23785.0267,22691.8267,1027.9111,296.2767,0,380.0578
2012-12-28,2660890.2402,1325073.9107,130045.0270,170434.2435,96405.8334,64171.7917,0,60918.5357,25517.1067,26571.5600,13851.6200,295.4589,0,610.2578
2012-12-29,2640720.4099,1271076.2582,83506.5914,127602.6869,94559.0567,16251.4019,0,39174.1603,6824.8445,25178.6355,22527.2579,65.3053,0,362.1645
2012-12-30,2638140.7403,1228523.8123,72442.3513,101859.4250,80528.7599,0,0,32115.4023,6790.9333,33063.0312,17937.5289,0,0,1083.2667
2012-12-31,2566176.1303,1175137.7997,64424.9823,114194.9728,74381.2967,0,0,28466.3022,11189.2534,30819.8001,13602.4401,0,0,1560.3111
2013-01-01,2405399.6072,1273760.8938,64369.1111,122467.0095,69704.3200,0,0,23703.7512,42441.3155,25923.1199,1357.5044,0,0,0
2013-01-02,2609535.3969,902407.4529,112598.8399,149694.6240,96026.6998,0,0,44665.0267,51554.9598,27392.5866,9268.7066,0,0,0
2013-01-03,2581593.8101,980909.9281,177487.9246,109894.1070,119559.8038,0,0,56221.5467,58544.1112,22506.7221,14036.7244,0,0,0
2013-01-04,2499478.6806,883367.0491,160980.0443,94146.2496,142567.1365,22236.3646,0,52489.3758,62150.8044,13428.4332,17426.2955,1.8375,0,0
2013-01-05,2535389.1565,900935.2085,106156.0754,52763.0668,94491.1265,101896.2712,0,49742.9180,47679.0047,4397.2666,12926.0066,0,0,0
2013-01-06,2237542.1598,688025.3330,87336.5556,58497.5437,45572.3362,114725.9420,0,49532.7782,60424.2443,5774.9644,20086.5711,11.8722,0,0
2013-01-07,2579442.5228,820250.5199,134185.3296,62564.0929,89638.1536,98438.7907,1.6578,52766.3885,74074.2622,7360.6868,14018.7357,546.3522,0,0
