title
"CPU Hours: Total: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NCSA LINCOLN] CPU Hours: Total","[NCSA FORGE] CPU Hours: Total","[NCAR FROST] CPU Hours: Total","[PSC POPLE] CPU Hours: Total","[SDSC DASH] CPU Hours: Total","[TACC SPUR] CPU Hours: Total","[IU BIGRED*] CPU Hours: Total","[NCSA EMBER*] CPU Hours: Total"
2011-10-29,2608466.3533,1223918.4174,238895.0101,129535.7638,81189.3472,64018.9844,44490.8890,41812.8887,1310.8111,972.0489,0,352.5265,0,0,245.2978,7.1956,0,0
2011-10-30,2389627.5304,950842.2351,250025.1041,62036.3895,84980.8488,70744.0671,48862.8224,60583.6515,972.3933,801.4756,0,670.8095,0,0,313.4578,0,0,0
2011-10-31,2329860.3297,1069111.1106,232624.6236,139573.6113,76268.4397,67024.5743,65627.2511,66761.8444,0,1883.3111,0,3356.8482,0,0,0.7289,96.7956,0,0
2011-11-01,2521178.3230,1305872.9288,45120.6398,171876.6952,86307.9914,58264.0196,81966.0844,46866.3244,2388.5288,1718.4178,0,8176.8417,0,0,555.4489,61.5645,0,0
2011-11-02,2599639.1438,1101781.0443,180798.0902,180920.4824,23966.3154,67430.6650,42409.3245,44668.4556,3360.1600,1418.2800,0,3982.6699,0,0,0,215.0800,0,0
2011-11-03,2274346.5255,1123173.7279,247596.5034,194450.1631,65892.1688,73221.4822,0,36936.9451,3352.2489,2374.9599,0,3884.7806,0,0,0,140.0177,0,0
2011-11-04,2455558.0438,1107150.9280,204503.4805,205590.3591,82310.7334,71791.2391,20481.5155,39147.7166,5931.8802,849.5178,0,6134.9771,0,0,0,171.1422,0,0
2011-11-05,2501171.6204,1121173.5239,226089.5832,156129.5888,76025.6580,87603.2821,30176.2667,28429.5111,4799.9267,845.2088,0,6370.9280,0,0,375.1822,230.3733,0,0
2011-11-06,2011483.6369,1122861.0496,293534.4232,80016.4770,72413.0797,86725.7737,5861.3555,40455.4332,7863.0823,1551.3645,0,3229.9073,0,0,0,39.7644,0,0
2011-11-07,519895.9904,895749.0186,117047.9003,163709.9153,70980.8710,78577.6833,1277.1822,37667.1556,18388.7579,3353.6888,0,6397.0240,0,0,1191.9644,32.1778,0,0
2011-11-08,2548439.4094,1186730.5641,181010.0937,203464.0864,76612.7375,81595.1813,58956.3378,31817.8480,17541.0686,2436.9689,0,6504.3261,0,0,443.3156,84.2266,0,0
2011-11-09,2192241.5442,1277886.6262,136825.9199,209434.3540,77392.7199,64744.7862,80383.4311,31309.6287,18467.1889,2276.5468,0,5190.9133,0,0,24.9934,110.3378,0,0
2011-11-10,1751177.7503,1287966.1159,175602.8266,211324.7816,78695.9552,80922.8568,50224.7822,11557.7401,2982.9489,1443.6466,0,4492.4434,0,0,0,105.1511,0,0
2011-11-11,2440588.7568,1224954.3344,247323.8200,215792.2840,77580.0044,94082.5135,67572.6044,3882.4457,6054.3578,1733.1733,0,5232.1543,0,0,0,8.1466,0,0
2011-11-12,2401123.6669,1282663.8492,287316.2034,217575.4424,59648.9958,94198.5057,65902.4578,5711.9169,10177.8867,1197.3067,0,3490.7239,0,0,0,3.7689,0,0
2011-11-13,2433200.8501,1242980.0530,127036.2766,222969.3810,79312.0974,94977.4540,65319.6755,4365.7681,15239.8534,1566.3689,0,2626.4564,0,0,0,0.2222,0,0
2011-11-14,2422560.3720,1339032.1689,198770.2966,217221.6867,84287.2445,94159.7002,62218.1334,7029.1160,17680.2001,1747.1112,0,1314.6477,0,0,0,81.4044,0,0
2011-11-15,2363714.2536,1334915.4355,248824.5495,186919.7407,83597.9602,97512.3277,62261.3645,18838.0481,14755.8290,1992.4889,0,1951.0821,0,0,0,380.1378,0,0
2011-11-16,1965915.5265,1314686.9330,262797.5741,149440.4755,80289.2345,98391.6645,66528.0844,10009.7166,4817.3691,1278.9512,0,967.0645,0,0,0,341.7645,0,0
2011-11-17,2274141.8330,1322860.7913,126158.7798,188409.4454,68468.5110,91910.6815,42737.2422,6325.0767,15721.9133,961.7179,0,2057.9632,0,0,859.3711,268.5155,0,0
2011-11-18,2575059.5936,1375174.0219,2216.6166,227146.4240,42948.9553,93820.6395,61321.8201,14773.1862,19752.4202,436.3955,0,3591.2565,0,0,470.6156,453.3645,0,0
2011-11-19,2405160.5304,1335718.9691,126607.5200,172383.3694,31228.1068,92767.4284,73270.9067,6555.4015,12518.3646,56.7978,0,5092.5443,0,0,3.5044,68.9555,0,0
2011-11-20,2224359.3000,1324912.5960,199393.2834,182989.5960,11432.0844,88770.7439,47108.6555,14655.0224,14721.8087,48.0533,0,3043.0739,0,0,0,4.1067,0,0
2011-11-21,2472690.2361,1270029.6399,204117.8631,183578.7130,39952.8577,74369.9418,50527.8443,8775.8162,20130.5688,1124.5667,0,5574.1889,0,0,0,106.6978,0,0
2011-11-22,2641263.7170,1265651.1196,272193.6734,159897.3402,74660.5423,76618.0629,51101.8223,20530.2932,17621.4977,1686.1800,0,4972.1845,0,0,0,96.2356,0,0
2011-11-23,1921921.1962,1270977.5907,239439.7135,145593.5590,70408.5780,67327.6789,49290.1800,107806.2182,10664.4777,1306.0667,0,4382.2089,0,0,0,0,0,0
2011-11-24,2404898.2601,1319602.2004,141121.9632,195853.6545,80159.2759,63006.4364,49620.8644,15536.2272,7056.4088,757.4756,0,5136.2922,0,0,0,0,0,0
2011-11-25,2685048.3199,1214729.6133,3953.3667,178390.5939,60865.4976,69084.2401,49883.8356,4854.2007,13368.9289,773.4845,0,5379.5667,0,0,0,0,0,0
2011-11-26,2629253.3966,1181913.2889,134080.5766,143002.7052,25706.1021,62979.9482,49148.4445,4185.5521,3896.4222,757.5556,0,3884.6732,0,0,0,2.7822,0,0
2011-11-27,2571548.5328,1359116.4572,246764.7666,127593.6721,43416.4177,68830.1705,52426.5778,4576.7131,14900.4645,773.4134,0,1129.1911,0,0,0,3.3466,0,0
2011-11-28,2399491.4963,899442.3869,213467.9267,169510.1538,67316.8708,72617.1019,36881.7510,2620.0417,14812.6577,1742.6223,0,2544.5110,0,0,0,2.2311,0,0
2011-11-29,2493067.0402,515533.2269,121941.2804,202247.2528,36023.3154,70716.4562,39013.1198,967.7259,13238.6447,2103.1666,0,6368.4652,0,0,0,155.2267,0,0
2011-11-30,2613061.1964,1295218.9739,0,190905.7251,30596.0086,100950.6994,46027.7154,3689.5386,19834.5401,1341.5866,0,4821.5073,0,0,0,229.9378,0,0
2011-12-01,1791027.1328,1314662.4177,115846.8067,162950.7122,89592.6798,80356.7569,50722.4532,79.1822,7349.8773,1396.5200,0,6203.6190,0,0,81.8867,293.2222,0,0
2011-12-02,2314616.8233,1196430.8042,227286.8037,157414.9267,82042.0308,81571.0570,53433.7955,362.8434,11125.0444,785.4977,0,7259.3490,0,0,2012.2023,92.7289,0,0
2011-12-03,2545365.3864,1290162.4402,105355.9196,109988.1102,57030.5599,68394.2218,65173.2000,258.6600,10666.2688,922.7733,0,7990.5523,0,0,1236.7957,0,0,0
2011-12-04,2577373.3069,1297156.1066,578.7133,74376.2962,67973.9330,62834.7993,64496.1777,257.7680,13783.0910,806.9222,0,4360.6100,0,0,0,0,0,0
2011-12-05,2588557.0800,1180279.4400,132692.5063,135813.2011,75414.6712,73687.3766,56926.7378,881.6198,12559.8668,480.3399,0,5715.8267,0,0,0,0,0,0
2011-12-06,2486777.9629,1264539.1953,241297.6732,159308.0230,70716.5422,60431.7234,84075.2533,2966.1543,15688.9154,18.5978,0,4736.8350,0,0,85.8711,0.0533,0,0
2011-12-07,2432300.1936,1307528.8306,196834.8767,161106.0106,36108.8000,54795.9128,78625.9111,2533.8769,8171.3953,260.0334,0,6633.1789,0,0,0,0.6311,0,0
2011-12-08,1601856.3073,1125177.2216,135554.7332,185173.2842,64598.2755,56718.4733,57606.6200,265.3567,1329.0089,286.7023,0,4549.6178,0,0,6.4867,64.1022,0,0
2011-12-09,2645677.2040,1266245.2627,202726.8965,167864.1816,78605.4888,49125.7065,54226.7689,66.2300,3474.9889,78.8334,0,8025.2532,0,0,0,3.8089,0,0
2011-12-10,2669402.4702,1335554.3292,281729.5698,109652.7874,80537.4761,51835.9205,16053.0934,251.3483,7661.6843,0,0,8116.4623,0,0,80.1399,0,0,0
2011-12-11,2118702.8431,1333590.6851,294541.5869,102598.9275,64002.6357,60109.1821,4289.6711,76.1534,21052.7200,30.5689,0,8025.3955,0,0,938.5066,5.4044,0,0
2011-12-12,2459560.2132,1317100.1655,285861.3367,105256.7721,59984.3733,68058.2637,4730.8267,67.8544,21551.5288,308.9290,0,4586.9777,0,0,880.5178,317.9733,0,0
2011-12-13,2619482.3429,1315747.7736,129314.0430,120505.3917,58962.8848,52945.7728,1730.0889,242.1144,18446.0309,400.8423,0,6530.0401,0,0,689.7156,84.6178,0,0
2011-12-14,2530880.0534,1284572.8100,241745.3966,144714.8718,35592.7604,64411.0257,2562.2511,79.1933,10451.7581,525.3113,0,6724.3245,0,0,15.5045,308.1823,0,0
2011-12-15,2544817.6334,1295363.0089,263673.9564,154658.8230,77399.0400,55402.6868,2409.1423,37.6811,5954.5289,451.8222,0,5931.6399,0,0,4.2667,167.3067,0,0
