Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC COMET] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[OSG] CPU Hours: Total,[PSC BRIDGES] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[PSC GREENFIELD] CPU Hours: Total,[PSC BRIDGES LARGE] CPU Hours: Total,[Stanford XSTREAM] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total
2016-05-14,1845217.6177,796768.3560,464724.7817,221325.7535,83367.1607,0,28452.9778,2476.9111,2164.1959,0,0,0
2016-05-15,1754762.4760,830495.7297,408324.1960,190702.8710,112660.8038,0,30297.8389,1937.0111,1579.0124,0,0,0
2016-05-16,1641432.3013,865647.5999,417013.4757,241821.3380,150787.8267,0,34810.1111,3895.4780,1959.2917,0,0,0
2016-05-17,1671313.7866,920810.9163,394800.5597,310798.6731,125220.7507,0,24924.4888,3290.9167,1930.1542,0,0,0
2016-05-18,1818956.4623,938352.6109,401568.7025,323789.6082,63545.4352,0,29522.7887,10841.6166,2431.8918,0,0,0
2016-05-19,1793452.0581,917106.4428,390248.0888,324461.6491,73420.8836,0,43053.2276,9079.5223,1029.4958,0,0,0
2016-05-20,1971076.4842,936675.2581,104282.2401,323741.1512,62023.8496,0,65891.1223,19225.3832,1193.6500,0,0,0
2016-05-21,2008232.2214,903169.1393,219333.4577,323377.4978,42747.2381,0,69470.4833,3043.4222,1825.6834,0,0,0
2016-05-22,1971923.4710,917200.6317,422727.7067,321589.3160,52143.8398,0,61177.8941,4088.3334,1465.0833,0,0,0
2016-05-23,1798455.9593,897359.2991,425996.6314,253427.1583,54512.5031,0,52602.4055,2143.9111,204.3792,0,0,0
2016-05-24,1636502.1745,912172.0359,394845.2711,286618.0799,41755.6438,0,43567.7334,3183.8665,17.6375,0,0,0
2016-05-25,1874749.1467,906223.1177,362518.9512,288042.5894,73202.3237,0,66737.0331,10079.2612,356.6084,0,0,0
2016-05-26,1912250.5340,890373.0378,396391.4312,318970.3139,62162.3550,0,63771.8720,9548.5666,695.8791,0,0,0
2016-05-27,1833796.2182,910742.3140,492878.8624,307540.5621,83600.5805,0,87186.6277,6980.1833,488.9375,0,0,0
2016-05-28,2051008.5555,783280.8227,459569.7156,319729.3930,99966.6224,0,104813.9777,8091.6389,496.4000,0,0,0
2016-05-29,2083711.3899,746215.3691,374255.8845,306912.7820,123379.7482,0,133420.1110,5317.0834,384.1709,0,0,0
2016-05-30,1903870.3407,796297.8002,411209.8665,241831.0532,110388.5607,0,75991.6776,8829.8610,370.2001,0,0,0
2016-05-31,1847807.1840,693971.8041,377767.9108,183085.9250,80753.2235,0,90992.7499,13499.5555,937.7208,0,0,0
2016-06-01,1660553.7149,849400.5097,446017.8045,203501.2756,65609.2695,0,16712.9944,19089.7887,1127.8291,0,0,0
2016-06-02,1690123.9508,849029.5283,412359.3512,227423.5246,51172.8167,0,16761.4776,11117.6109,1689.8625,0,0,0
2016-06-03,1871531.8537,820839.4740,517921.6002,258122.7402,45019.8089,0,16218.9611,18179.1168,3227.5624,0,0,0
2016-06-04,1679592.0317,864582.6399,513943.3688,257099.3842,85475.2011,0,13414.4335,10699.1222,1784.5542,0,0,0
2016-06-05,1699715.1519,945543.5107,457282.2576,169743.3447,53634.4983,0,20709.0776,10014.3832,1523.0251,0,0,0
2016-06-06,1888050.4301,907770.3844,465752.1869,247160.0686,119912.0508,0,20393.3224,24670.2167,2141.9667,0,0,0
2016-06-07,1731488.6977,960040.6358,423852.6486,237761.7780,89820.5924,0,9173.3275,30885.1278,1254.6918,0,0,0
2016-06-08,1796451.4089,961616.0966,530113.0758,263771.4228,51043.4764,0,2737.9500,36665.3221,1687.5251,0,0,0
2016-06-09,1755508.0883,941818.1929,514942.7378,285572.2171,42941.3655,0,13094.5724,29871.0166,2371.6875,0,0,0
2016-06-10,1703499.0408,946609.2863,519351.5020,313082.4421,123531.4141,0,23881.6666,22070.8167,1577.6249,0,0,0
2016-06-11,1636666.4577,940192.5975,536316.8621,314483.7759,33493.2028,0,23167.2388,30918.2446,62.2833,0,0,0
2016-06-12,1837487.6920,822119.8992,510270.7107,299439.6909,58422.6939,0,29917.5165,31285.3556,155.4500,3902.7200,0,0
2016-06-13,1821419.2526,911655.2041,494906.8978,288032.5268,105759.7473,0,20715.3612,40562.7723,264.1333,6144.0000,0,0
2016-06-14,2059307.6440,890572.5090,521753.0493,316892.1442,42063.2812,0,35807.6555,39832.7333,395.4375,6144.0000,0,0
2016-06-15,2097879.2116,882383.2663,482015.3955,282626.6882,61344.8707,0,50614.2167,32789.7280,674.2875,6144.0000,0,0
2016-06-16,1885617.8794,864748.8745,506098.4180,278894.9818,58555.0445,0,42627.8947,30832.2556,750.1752,6144.0000,0,0
2016-06-17,2035249.3917,874027.1948,516411.0487,264526.2670,77766.0346,0,37928.5610,40906.4889,562.2000,6144.0000,0,0
2016-06-18,1984087.1418,866775.8686,540817.1378,270870.2003,110833.3393,0,19518.6109,37423.7499,539.6500,6144.0000,0,0
2016-06-19,2035935.0257,483926.8524,485876.0712,152124.5246,118566.3656,0,34255.3334,35730.9168,14.2041,6144.0000,0,0
2016-06-20,1937146.5341,325020.6878,458608.9068,104101.8025,89820.8219,1253.0005,75738.1334,38721.9667,292.8250,6144.0000,0,0
2016-06-21,1978586.7782,886457.4104,480117.6623,278604.8080,51093.7545,15684.2487,52394.9334,40538.0890,941.3167,6144.0000,0,0
2016-06-22,1966990.3971,860131.8378,463797.6084,303517.8639,49965.9649,100330.0526,64210.3222,34711.0109,1256.7624,5743.7156,0,0
2016-06-23,2085710.3634,871271.7268,428503.1031,316275.0627,47191.4015,148396.7638,76728.8390,19961.5665,1205.2375,0,0,0
2016-06-24,1996075.3877,819545.3187,460522.3913,282090.5868,65148.7764,121584.1194,38412.7390,42359.5833,443.9124,608.8393,0,0
2016-06-25,1967968.1506,666505.1821,544402.6134,290897.6247,58882.3019,69826.0078,62270.9834,31582.8501,1202.0958,1758.0756,0,0
2016-06-26,1881768.6487,670340.6869,417469.1106,214441.1336,40712.4789,41578.8126,65483.6500,36338.9611,1268.8667,1807.6652,0,0
2016-06-27,1836151.1495,782875.0329,424925.1642,247799.3865,13290.1390,197448.0014,71459.6722,25484.4723,1060.9417,1612.0480,0.0389,0
2016-06-28,2053545.6532,891665.9879,444531.8665,292028.7399,3073.9407,286212.9985,61045.6890,36083.9054,1179.3793,1406.1086,0,0
2016-06-29,1918044.5948,898746.6158,150322.1514,312715.9321,75505.9132,114834.1795,14275.8999,38950.2055,317.6876,892.2212,0,0
2016-06-30,1990800.3741,842896.4019,55093.3867,309291.2379,59850.6816,84097.9307,11589.5058,37064.6446,852.5043,2014.8969,0,0
2016-07-01,1824857.1950,867475.3217,0,296615.8379,54720.9253,104377.9967,9683.4221,38176.2390,778.3000,2616.4099,0.9603,0
2016-07-02,1881797.4138,888559.5452,0,279925.6268,56373.3911,152909.7469,18650.5611,29628.3057,531.2250,3516.3649,4.5047,0
2016-07-03,1994946.2187,867085.8546,0,249401.9308,84306.6689,68807.2109,21075.7054,38550.8001,102.3083,5853.2818,0,0
2016-07-04,2029482.9595,882394.0704,0,223955.7994,87064.6046,55414.7266,26135.6277,36408.2666,11.8584,3071.3309,0,0
2016-07-05,1997752.3249,861800.9989,0,217392.0866,143219.8409,60281.9728,11820.3886,41903.8056,128.3625,3049.7889,0,0
2016-07-06,1884580.5188,855312.5603,0,273255.0538,149827.7053,27021.8445,15.4389,44372.6225,474.6832,3072.0000,0,0
2016-07-07,1911749.0120,910260.3266,0,252986.8625,162264.6549,0,0,44154.3887,710.8000,3072.0000,0,0
2016-07-08,1906156.6946,884409.3934,0,273116.3685,67618.2234,51279.1292,0,43968.1057,801.7584,3749.3964,0,0
2016-07-09,1909984.7914,869629.5094,0,283778.7754,64027.5287,115233.7882,0,43331.2166,983.5250,3356.2992,0,0
2016-07-10,2003715.3153,863812.0250,0,225920.9402,107782.5017,196548.9677,0,37339.3666,1127.1126,3499.7978,0,0
2016-07-11,2007848.2320,867818.1265,0,262916.9029,109531.1794,167338.0915,0,43513.3389,1690.8292,3918.8873,0,0
2016-07-12,1852898.8834,868460.8505,0,280267.2021,65815.1321,137001.1410,0,40620.2500,3459.2416,9870.3540,0.0106,0
2016-07-13,1981736.8525,886713.8366,0,245321.6539,36488.7983,260402.8096,0,43850.1612,2805.1750,9444.3221,0,0
2016-07-14,1977098.3984,895322.5986,0,227019.7310,43385.4914,275229.4072,0,40882.7445,497.0833,4264.2039,0,0
2016-07-15,2064097.5949,890639.6745,0,226511.6333,46155.4651,339542.3181,0,45482.3445,1522.4375,3155.6393,0,0
2016-07-16,2089448.3273,862091.5841,0,239720.2042,45765.5295,372821.4774,0,42361.3667,517.9334,4049.0910,0,0
2016-07-17,2093902.2711,816101.1494,0,263139.5707,28443.2787,318984.6773,0,43112.8889,0,5193.9405,0,0
2016-07-18,1749079.5456,562764.8338,0,216173.8866,76624.3424,221420.1793,0,38207.3168,866.9333,4991.9308,0,0
2016-07-19,423135.8311,280074.3677,0,228328.1952,45844.3587,275778.7982,0,12422.4444,1565.0500,4811.4828,0,0
2016-07-20,2035273.1327,767387.5675,0,245770.3694,43948.8922,319172.9502,0,42099.9777,4132.2500,4695.9175,0,0
2016-07-21,1975104.4164,874439.1308,0,259309.0951,61936.4934,339554.4251,851.4944,44630.9111,1693.1625,3267.8273,0,0
2016-07-22,1881896.0439,837696.5881,0,227132.7083,83186.8719,240658.9222,6099.6610,43250.5333,605.1416,1987.7070,0,0
2016-07-23,1940242.8585,895801.1229,0,219479.0666,129418.5470,182520.1637,10638.4110,45827.3779,741.1708,2182.9258,0,0
2016-07-24,2040139.2979,908237.5976,0,197040.1669,167937.8180,198887.3698,7971.8944,40291.8167,720.0000,67.4100,0,0
2016-07-25,1760309.3560,923753.5924,0,241158.3424,207933.0860,291383.2231,13774.6665,43372.7999,720.0000,2866.7360,0,0
2016-07-26,1889375.6901,892340.2842,0,292367.0908,103807.2794,211381.2509,20695.2001,42061.1889,814.9000,4447.1950,0,0
2016-07-27,2020911.0719,873992.2060,0,277769.5443,65806.6717,156047.9709,34341.0569,44996.9056,877.2250,2847.9522,0,0
2016-07-28,1642994.5999,868448.1365,0,301537.2326,54605.3331,118276.3808,27627.4830,39945.1556,1301.2667,2811.2836,0.0000,0
2016-07-29,1436988.5379,904057.0276,0,311132.2181,112202.8779,24716.7638,32120.9000,44254.5333,717.9208,0,0.1058,0
2016-07-30,1750923.6707,896904.8511,0,300708.9980,181534.2206,49293.0754,17730.5667,40513.3335,720.0000,915.2666,0,0
2016-07-31,1693158.9073,746647.5281,0,270372.2754,367675.0762,184558.6485,8644.0611,40023.2557,1006.9583,901.8639,28.7942,0
