Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[NICS ATHENA] CPU Hours: Total,[NCSA ABE] CPU Hours: Total,[NCAR FROST] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[LONI QUEENBEE] CPU Hours: Total,[TACC LONESTAR] CPU Hours: Total,[PSC POPLE] CPU Hours: Total,[NCSA LINCOLN] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[IU BIGRED*] CPU Hours: Total,[SDSC DASH] CPU Hours: Total,[NCSA COBALT] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[NCSA EMBER*] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[TACC SPUR] CPU Hours: Total,[ORNL NSTG] CPU Hours: Total
2010-08-15,2261348.0432,1150824.9606,406009.2000,215647.9490,10001.3156,68628.4163,77774.3154,75539.0816,9048.7677,3735.9421,86.6578,37430.9440,0,3083.8400,402.1555,1295.6469,0,0,0,190.0488,0.1966
2010-08-16,2207021.1829,1274746.7767,426721.3913,190732.6269,28145.4576,48826.2221,71733.4890,95238.2481,16403.3798,7348.9822,342.6066,9617.4333,0,3416.8054,20.1623,1506.4369,0,0,0,293.7688,0.2000
2010-08-17,2078002.2236,1290445.8750,413768.5110,211653.2831,65468.2668,52471.2548,81985.6379,81510.2378,17780.1833,14590.6844,103.8800,16471.0656,0,2606.6067,9.7533,1523.8547,0,0,0,255.6000,5.3911
2010-08-18,1971153.1099,1224213.9876,396954.8958,209204.6222,111049.4579,72311.2726,96445.7441,79058.2656,17288.3432,10563.8156,95.9333,9155.9912,0,19680.6624,214.7866,1706.0228,0,0,0,78.8000,5.3944
2010-08-19,2356335.4910,1127279.4439,413609.5633,204219.5758,100257.9734,69362.5699,63743.2757,78777.7768,16254.9765,10422.7410,200.3223,20518.9764,0,8114.6821,50.6000,1747.7043,0,0,0,259.2089,5.4933
2010-08-20,2087465.6568,1230217.4716,423583.3189,190201.4428,43259.5732,63309.7095,40169.0002,81776.5872,15007.7324,13516.0834,204.3068,19606.1763,0,2250.0545,27.5666,1586.1378,0,0,0,128.3822,0.2100
2010-08-21,2093854.2237,1076671.9644,413425.9723,171318.2198,53951.9288,53469.9584,36241.2333,85142.3838,14641.4267,19799.6199,7.5400,27537.2246,0,6238.5380,103.2222,930.4438,0,0,0,87.0800,0.2045
2010-08-22,2184977.5966,995254.9694,413579.4711,127946.5336,81430.1867,66747.0337,32849.9422,67645.8359,12139.1597,19391.5578,0,15041.8755,0,9513.5422,21.0045,179.1658,0,0,0,132.7111,0.2006
2010-08-23,2151163.7695,1021173.4976,420787.5367,131841.9603,49552.7465,46102.1623,38563.7287,55467.2253,15887.1122,19954.6890,2717.2046,26252.7455,0,5067.1211,0,354.1406,0,0,0,111.1022,0.2055
2010-08-24,1884310.0537,1128721.1787,421789.1134,207879.8405,24612.8179,43723.6365,44583.3825,37309.1438,14519.4486,20556.2688,1380.2710,14846.7867,0,3222.3088,0,820.1662,0,0,0,4.1556,0.1971
2010-08-25,1427635.5270,1194621.2278,426648.5288,209096.9133,60625.2267,32541.7854,51086.7336,96610.9320,16308.0412,18215.3600,148.9266,8714.1232,0,3001.3212,52.4444,1110.9334,0,0,0,254.2177,0.2066
2010-08-26,2284275.4170,1168768.6536,424520.2178,194440.8867,17413.7423,80954.9371,62261.7974,88836.1205,15952.4301,16953.9112,83.0868,59241.2773,0,3034.9568,186.4355,1011.7469,0,0,0,144.8133,0.1939
2010-08-27,2275337.9427,1111027.4924,431272.4031,206289.9486,48359.6977,92105.4003,58266.4352,76563.8843,13884.2966,16632.7206,118.5288,88089.0284,0,2230.6289,17.3689,1183.2433,0,0,0,0,0.1961
2010-08-28,2205573.1771,1210008.5513,423261.8708,122198.3622,33320.1779,102740.5563,35935.6288,74482.6337,11387.0274,15435.2842,15.5467,51930.3612,0,2096.2967,0,1122.7670,0,0,0,29.1423,0.2005
2010-08-29,2235974.1331,1235045.0539,295400.1866,90299.4599,35300.9600,97202.1937,24571.3645,95538.3211,14988.7281,7570.4992,29.6178,29170.7813,0,2156.3354,0,1164.9635,0,0,0,0,0.2521
2010-08-30,2279316.5933,1207276.1739,340995.6246,145582.7710,13620.6046,81799.1454,32114.7711,81263.6585,15648.0498,11782.5282,427.1578,28317.1631,0,2209.6066,13.5200,1003.4350,0,0,0,40.9867,31.7160
2010-08-31,2155065.1595,1222066.2520,368403.5555,208543.8132,3301.4756,19104.6028,47211.4845,71920.4758,14939.6212,9611.0241,461.7955,54916.1192,0,1910.1610,1042.7622,1153.5174,0,0,0,32.9467,0.2127
2010-09-01,2098164.5366,1161145.4621,421765.8446,213022.1089,4284.3912,51399.8873,58551.5334,72774.8361,17384.6490,9770.9563,1200.9092,66712.3310,0,2134.0422,663.6600,1272.6641,0,0,0,0,0.2183
2010-09-02,1628282.9267,1059238.8502,409276.7312,214841.2951,2684.0711,44175.1332,56725.3512,86391.6872,17585.1319,12059.2935,2397.8446,33202.9238,0,2661.6143,272.6689,1239.8128,0,0,0,0,0.2088
2010-09-03,2044117.4263,1146975.0099,397101.4047,170789.0800,64781.7599,53903.3366,59370.6932,88345.2397,17142.4448,11388.5224,709.3022,21718.6166,0,1619.2601,0,1139.1487,0,0,0,3.0622,0.1944
2010-09-04,2275524.2097,1258985.3285,428650.1900,202496.2086,84455.1112,42445.3046,56548.6157,66884.7874,13885.3655,7797.1443,0,17459.0445,0,1055.7112,0,1121.5653,0,0,0,0,0.1973
2010-09-05,2199759.7434,1178666.5158,425999.5277,208939.6598,17259.2356,53204.2957,43385.0888,84711.1447,16297.1577,7328.0491,0.6911,9491.0278,0,999.8845,0,1296.9676,0,0,0,0,0.1956
2010-09-06,2186933.8606,1284001.6531,427437.9876,202912.5397,5859.5555,20375.4298,55351.6023,80071.0190,15608.9811,5595.0826,4186.8845,18169.2222,0,658.7999,0,1150.0936,0,0,0,0,0.1994
2010-09-07,1288057.9397,1252863.1025,428875.6645,211074.9559,80030.8443,20992.9206,56104.0423,53205.6546,12762.9536,4630.3656,1444.0266,7651.6379,0,1178.5221,0,1288.4058,0,0,0,20.2400,0.2139
2010-09-08,1222243.9698,1123047.7379,420897.1025,200245.5891,62646.5422,29902.8053,41402.3890,66767.3720,12746.0367,7699.8022,204.3999,1505.2436,0,3350.1401,619.2290,1206.1180,0,0,0,49.6666,0.2128
2010-09-09,2329203.0634,1234093.4040,412783.4732,127678.2351,64601.9911,45485.3884,47257.6489,74291.8162,14878.3303,4202.7141,103.5156,122.1134,0,3948.9998,1218.1801,1023.6153,0,0,0,25.7156,0.2100
2010-09-10,2150180.9834,1264929.1206,426293.2043,176508.8330,44940.6400,33370.8397,55059.4687,64335.1207,16262.3857,8025.8989,514.7022,95.3183,0,7736.7189,1051.5178,696.5897,0,0,0,11.7377,0.2233
2010-09-11,1751635.7803,1322343.7818,423090.5278,127827.3797,55768.6578,34831.2669,33697.6044,71498.5759,17103.7633,3996.3312,342.1822,0,0,6739.9276,308.8578,1012.4510,0,0,0,62.0711,0.2089
2010-09-12,2196452.3571,1236529.4669,383167.4578,61312.8178,43330.7377,26971.1753,55413.7132,66347.0829,16180.2898,6581.6466,172.2400,0,0,7310.3646,136.1933,1123.7661,0,0,0,64.0400,0.2100
2010-09-13,2259794.8030,1228243.7321,428124.5497,39677.9219,22225.3866,27361.3363,75828.1957,66345.0500,16731.7822,4351.4112,1591.5088,6501.2963,0,14192.5767,36.8978,891.1965,0,0,0,160.3289,0.2150
2010-09-14,1870569.4938,1291798.7695,431128.7400,169575.8605,47214.6490,49450.8683,80960.1581,61818.9798,18366.3188,8895.4712,5092.6089,12143.1115,0,5082.5846,841.6711,1412.9289,0,0,0,344.2090,0.2100
2010-09-15,1311759.8199,1368918.2002,430765.6624,192970.2890,64925.9733,36980.2508,73550.2022,72180.0539,18006.8333,11963.7026,4198.6886,32156.4050,0,2308.3389,2679.7510,1348.5814,0,0,0,346.3732,0.2071
2010-09-16,2181597.4332,1307708.9997,382271.7735,113844.4111,32504.3733,53167.3511,55099.2177,67865.6506,15966.2438,10485.0711,2197.9087,7194.4100,0,2037.8044,1609.6600,807.2607,0,0,0,66.6667,0.2094
2010-09-17,2223699.6390,1348723.0219,391174.1678,46419.9780,32963.7690,63129.9848,63857.7156,60036.8282,13111.6577,5800.8889,170.7601,13753.5577,0,1925.1578,0,221.1612,0,0,0,48.5200,10.6810
2010-09-18,2191197.3333,1223200.4582,418976.2900,21046.0422,18766.5600,50962.8992,59430.1113,66518.4972,12453.1267,8315.0466,597.9910,15916.8023,0,2222.6279,0,155.8684,0,0,0,0,0.2099
2010-09-19,2227981.1834,1236563.7818,396443.6646,17978.1402,12708.9955,82760.1834,61842.2578,62619.1355,14236.6567,8602.9423,104.4956,4621.4889,0,2366.1611,0,113.0525,0,0,0,78.1689,0.2050
2010-09-20,2277822.0930,1242866.5475,425668.3723,22904.5738,20136.6223,54434.3224,67031.1644,54290.5406,15683.5290,10629.6600,3475.0111,23085.2778,0,2307.9346,0,403.5879,0,0,0,96.7556,0.1478
2010-09-21,2269998.3500,1287895.4094,424304.2444,56316.9156,107831.5376,61435.0944,65419.1665,75200.1215,16386.5108,10408.5343,3214.9710,21318.9740,0,2173.3556,0,924.4566,0,0,0,36.3155,0.0634
2010-09-22,1714795.3203,1291535.8362,405203.2925,154721.2376,99047.4669,59927.9509,73897.9842,61575.3615,15165.7651,11143.2013,2880.8422,15268.4592,0,2202.7297,0,1014.3704,0,0,0,136.0000,5.3212
2010-09-23,2152393.9301,1269262.7969,398940.7280,156810.6045,40643.1111,55824.6552,71601.9935,73593.0023,16595.3469,9665.2756,2349.8577,6476.8945,0,2198.2199,0,2248.9568,0,0,0,552.1244,16.5922
2010-09-24,2218656.2502,1232676.8309,428433.2689,170764.7019,37607.6089,50173.6609,40873.8867,71283.5550,14324.9980,10790.7778,0.9222,7330.1971,0,1890.6944,0,2221.7031,0,0,0,217.1421,20.7433
2010-09-25,2259322.9237,1272678.6712,404143.3967,149156.1576,28657.2800,53007.1727,39958.0689,67948.5527,14211.6234,9162.6488,0,8953.3822,0,1949.8090,0,1855.2590,0,0,0,0,0.1272
2010-09-26,1991186.0134,1117935.1952,362027.0397,153616.4217,17271.2710,55662.8459,51752.3866,70294.7726,9554.7878,6835.1976,0,3253.2533,0,1921.2690,0,1270.8421,0,0,0,195.5333,0.1111
2010-09-27,2273074.6169,741252.6927,234920.5834,181720.5084,34109.1200,71062.2203,43944.4290,51234.0875,6780.9569,9347.3313,2952.9333,8172.6916,0,2040.3110,0,966.4490,0,0,0,263.2711,0.1200
2010-09-28,2298008.7961,617032.6268,390376.4698,161502.8907,107750.3645,82234.7937,52087.6778,65348.7261,15080.3624,4421.4581,0,4238.9077,0,1823.3112,0,1770.4637,0,0,0,0,5.3845
2010-09-29,1653737.9598,1190132.0222,412631.9856,168681.9713,124684.4445,70841.2501,45281.9222,58626.2273,16643.9945,5842.1310,1885.0644,4065.2610,0,2372.3356,2.9956,1766.4454,0,0,0,141.3334,0.1267
2010-09-30,2303882.4968,1227504.2047,397877.0276,136249.1801,100300.3910,76383.2875,54681.3556,66602.9634,17614.1275,8307.5179,338.3644,67.3511,0,2115.4234,0,1640.3570,0,0,0,48.8177,17.0600
2010-10-01,2237586.6262,1263247.8176,403226.6256,116457.7352,57699.3066,71792.6676,51051.4222,68991.8396,17406.8633,7423.8356,6155.5844,0.2756,0,1686.7766,0.9289,1025.9014,0,0,0,121.8355,0.1211
2010-10-02,2205944.0865,1211181.8228,409900.2010,106437.0018,85162.9511,69770.3035,37377.9488,56445.8330,10253.5788,4816.0710,5983.2578,97.9198,0,1047.9500,0,1191.7889,0,0,0,128.5156,0.1194
2010-10-03,2093443.4463,1072726.0765,395992.9912,150309.5113,58745.2266,65369.4225,50913.0312,72963.0109,5358.8986,2604.1333,7135.8444,0.0333,0,971.4133,0,903.5764,0,0,0,17.8711,0.1227
2010-10-04,2326708.0830,1187655.0356,396448.9476,135589.4870,100603.6444,58874.3047,35937.7888,62707.5901,14932.7722,1730.4977,16097.9912,1061.5464,0,729.2722,6.3511,1347.0819,0,0,0,28.8934,0.1183
2010-10-05,2257659.8632,1253108.6896,373932.0421,169065.4262,77115.1468,57134.0141,44957.1534,56304.5570,11988.0777,3725.5515,18794.6755,1763.3997,0,1251.3991,10.0844,1027.4776,0,47.9461,0,26.7201,0.1211
2010-10-06,2142224.5332,1347030.2044,390614.5513,179842.0619,101045.5466,24979.8723,46780.2755,66066.4275,8846.9133,6414.2777,11948.5733,3143.2605,0,4772.7565,6.6778,1225.2023,0,46.9517,0,72.1467,0.1227
2010-10-07,2368121.3435,1288963.9822,399936.7188,157770.0729,89994.2400,24643.5982,74541.0822,61149.2889,16851.2574,7752.9400,12491.1999,2158.8989,0,4325.5889,69.1778,1324.1981,0,26.3016,0,412.0446,0.1133
2010-10-08,2294690.4433,1217051.3834,380514.8088,137694.9688,3754.6134,32618.4933,68081.4892,57128.5638,13596.5321,7246.7975,18617.1489,2595.3549,0,4035.6500,42.9867,1518.0418,0,38.4689,0,1020.3333,0.1638
2010-10-09,2229079.4266,1144487.3419,371318.5003,118538.5981,8051.2533,30917.3720,37633.0667,70006.8467,3469.7689,4955.6178,23163.4177,1670.5121,0,3972.0655,288.3711,1015.3040,0,54.0028,0,1000.3511,0.1961
2010-10-10,2289672.3162,1166628.0542,415049.7023,104071.4041,101373.7066,21967.2291,19182.1354,60174.6152,3297.5911,768.0622,21244.2665,1658.3872,0,3913.4889,830.1245,1072.4353,0,27.9789,0.0022,937.1067,0.1939
2010-10-11,2153568.5264,766770.5910,408584.6264,108048.0422,82181.3335,1494.4561,15889.1676,70679.0157,6253.5221,3848.0866,24673.5423,1589.5742,0,3744.8699,1589.7511,1113.2316,0,1.6191,0,407.8799,0.1938
2010-10-12,2259965.2041,499561.1331,396315.6688,135648.3442,60259.5553,2362.6498,28748.0865,60586.7182,1996.4066,7340.9846,18155.9467,2107.4879,0,3983.5622,219.5467,1056.8826,0,15.4132,0,136.2134,0.2072
2010-10-13,1439480.0872,1230727.2162,361335.1667,126409.5731,113722.2223,73070.2521,35742.4666,49460.1392,65.7978,6538.2334,19624.7576,3856.7948,0,4728.5809,77.1999,1325.1353,0,34.3066,6.4111,1006.8934,0.2144
2010-10-14,2306751.8297,1322950.6545,422416.4467,122559.2262,81673.5466,78234.8510,41706.4357,48718.4740,215.6011,7149.7133,25471.5556,8310.6298,0,4457.7756,441.2733,2146.8460,0,29.6403,0,622.0533,0.2195
2010-10-15,2303912.2167,1343959.8444,411432.1609,129991.1178,53615.8399,56677.8474,32016.2332,65149.0752,16710.4952,5770.2451,22500.7134,63131.6298,0,4850.2367,1338.4755,2087.7825,0,58.6161,0,159.7111,0.1606
2010-10-16,2321005.7729,1291132.2491,420719.0188,58702.2975,98259.0578,44896.5111,25742.2490,86131.1986,18434.1888,6507.9908,14817.1845,8402.6302,0,7182.8790,1500.5666,1120.0743,0,58.2614,0,24.6934,0.2123
2010-10-17,2317590.4867,1128145.8351,401350.9356,119872.4179,23843.2355,45288.9427,36357.6910,65174.3314,18907.0611,7449.4999,12466.9822,6640.6214,0,6025.8933,923.0711,821.0114,0,28.0728,0,0,0.2183
2010-10-18,2344750.0108,1301440.6494,280143.1044,131444.3241,43958.3289,46831.9768,38500.2379,61982.6572,15767.2021,8499.4090,8283.7265,6119.7335,0,3237.7266,1955.0644,1354.6326,0,38.8017,9.3947,13.7911,0.1600
2010-10-19,2299787.2936,1303440.6529,412390.5422,163755.5978,106859.0044,46239.5817,28634.3156,52663.5329,17020.2710,10353.9132,5520.3244,15693.2258,0,1858.5467,1537.0222,1866.7386,0,110.5325,3.5692,0,0.0583
2010-10-20,2285769.0064,1281217.5691,414836.8544,155760.0796,90605.6534,48838.5042,41408.2908,54270.7400,15781.3666,10174.9755,17632.0554,3469.2386,0,1528.0623,1262.2644,2016.9753,0,158.8572,12.4834,193.9689,0.2145
2010-10-21,2319393.8130,1286421.2936,414387.9699,82523.3778,87449.8312,57610.7161,29475.8687,54117.4139,18218.2808,7748.9244,26732.4133,5230.4635,0,1575.5087,1375.7134,1862.7024,0,191.4524,0.9592,12.9556,0.2117
2010-10-22,2274325.3835,1282833.2756,427308.3748,139400.1178,60962.7020,53475.4524,31961.2665,59673.7794,16075.6198,5745.9488,17584.5180,818.9181,0,1368.2835,1668.7512,1864.3039,0,50.7484,5.3272,160.1556,0.2077
2010-10-23,1884570.8902,1318723.9160,401151.3609,112597.9935,95520.1956,53576.3418,28913.7133,55290.2387,15853.2457,4262.1732,13926.6757,306.7876,0,2408.8700,3040.1800,1301.1837,0,160.9102,0,160.1867,0.2089
2010-10-24,2276888.4035,1256072.8092,380376.8768,112242.9397,60165.3156,52591.8634,20259.9245,54188.5474,13779.2766,2270.8845,17231.3799,1090.7603,0,7260.4589,2006.3777,1127.0879,0,190.7645,0,160.2000,0.2111
2010-10-25,2238592.5461,1181749.2897,253165.0954,125861.2665,110850.5067,51246.1733,28304.4714,60068.5267,12409.3143,3570.8052,15482.7978,5237.5729,0,6383.1780,2788.7511,1178.9994,0,227.5379,7.3603,9.0133,0.2050
2010-10-26,2124474.2334,929284.6755,375292.0422,170179.5881,101482.8445,50708.6654,36185.0045,30597.7155,16708.6336,4846.0932,18448.9802,5492.1778,0,2228.4134,2675.3556,1626.6188,0,210.8548,0,65.9956,0.2094
2010-10-27,2370429.6232,73335.6536,418080.9458,171331.0313,116060.7822,72337.9308,41703.6332,23295.5694,16816.4460,7347.5529,4850.5777,1960.9232,0,2604.0846,1321.8778,1912.3437,0,260.0077,0,0,0.1550
2010-10-28,2262739.9798,315428.7600,431654.4879,143546.2811,74041.4577,69865.5824,55265.4801,48756.4292,16191.8255,8085.2422,280.8044,3927.2785,0,2273.3855,380.4822,1297.0521,0,336.0369,0,64.0311,0.1283
2010-10-29,2262760.9132,1242536.2834,426859.6045,119823.9601,87542.1510,51509.5437,54748.2403,63349.7514,16363.4988,7105.9089,97.9289,3361.3161,0,2649.3000,1910.5912,1483.8842,0,179.8336,0,24.4756,0.1256
2010-10-30,2249398.1664,1276445.1682,425658.7923,150546.4425,134328.9422,41913.4887,24554.8490,47412.8514,12793.7965,7579.2377,91.3578,3587.7137,0,2565.1388,2659.3688,1315.6293,0,255.5464,0,27.9467,0.1183
2010-10-31,2274607.2568,1259870.3909,429537.3323,135253.2846,136539.0577,50197.0751,17051.3245,44844.1429,11955.3798,5270.7912,225.2290,26047.0367,0,1619.3423,2328.9289,905.5795,0,200.0332,0.8763,0,0.1300
2010-11-01,2322923.2168,1264116.2707,413366.8168,133753.3737,84717.6534,54087.7652,42758.7331,43547.8841,12952.6390,4773.5791,516.4443,16298.8256,0,822.7611,1886.2756,1298.5447,0,164.9975,3.9867,19.2711,0.1222
2010-11-02,2253132.3767,1172713.8931,430538.6743,116013.6110,98110.3467,64230.0585,49874.1799,35537.1274,15871.1498,6618.5267,11287.0509,10302.3684,0,1739.3588,3609.5245,1319.7916,0,249.3209,7.4133,59.8178,0.1244
2010-11-03,2116139.5832,1191605.7778,408746.0900,2565.5247,105268.9068,67798.7412,26376.3201,33842.8059,16608.2846,943.2156,17336.4225,3745.0751,0,4032.5422,5267.3445,1702.7369,0,413.1079,18.0000,36.3644,0.0639
2010-11-04,2367113.6131,1230981.6497,429969.4465,67219.9530,75753.1378,75971.9617,38198.6798,38797.9192,16966.8115,1870.7954,16781.5711,22801.2348,0,3000.8467,2568.4312,1122.7390,0,331.9936,19.8350,162.6622,0.1261
2010-11-05,2334254.1833,1052998.7855,401062.6890,165943.8798,58625.2444,66343.5586,40019.0311,31141.2440,17219.7529,3583.9821,17500.0267,11678.8438,0,1774.0855,1547.3156,1058.5087,0,272.3437,0,5.7689,0.0828
2010-11-06,2320916.1764,610111.7509,389330.2578,154349.7770,88334.9867,45604.2143,34990.0622,28226.5808,16527.4134,3708.1561,16264.2888,5022.6900,0,5691.1655,761.5755,551.0719,0,360.6112,0,9.1733,0
2010-11-07,2429155.9459,796806.4312,419894.6223,135278.7445,49515.1645,45405.7573,43010.6468,23197.3597,13495.1590,4619.3511,15972.7401,1623.8500,0,7501.9722,239.7644,254.7517,0,406.0371,0,0,0
2010-11-08,2307209.7400,1154023.7913,264096.3110,105418.3464,27081.0844,43233.5312,37873.4044,21270.2538,14439.9711,4380.9201,10609.7398,8057.1799,0,4254.7921,469.2356,178.2214,0,460.3961,0,92.8044,0
2010-11-09,2234332.4800,1172178.5637,415624.7945,99010.5732,99480.4799,96863.7669,30041.9800,26470.7835,16459.0344,4583.8019,8807.6045,8044.9572,0,4105.0021,973.4334,120.0000,0,501.1306,0,102.4089,0
2010-11-10,1285134.1933,1293418.3414,419036.8889,110510.8905,93707.4312,70357.3643,45230.4490,47369.7195,15546.3166,4402.4312,12691.2911,11745.9355,0,3445.4099,0,100.1961,0,848.1713,60.2192,180.8843,0
2010-11-11,2288576.3663,1284893.4532,402728.7023,114255.9913,76608.0711,63791.0337,58878.2666,33485.6263,16153.8433,6267.8112,9472.8311,11344.6670,0,4144.6145,651.2066,31.5183,0,441.4948,0,374.8090,0
2010-11-12,2283691.4833,1259993.5869,426395.3145,96114.9802,52618.4711,46193.2400,48990.0555,20739.6170,14705.5256,6553.1154,7166.3533,12008.3518,0,1919.8388,1043.5489,0,0,180.0754,0,560.0490,0
2010-11-13,2338609.1036,1051526.3776,429401.3299,136915.9124,101333.7601,42225.7783,45692.8133,16551.2989,9316.0755,6052.1356,11666.9845,10647.8398,0,1704.1856,727.2133,0,0,444.6647,0,318.1377,0
2010-11-14,2326336.9564,1178832.8451,367348.9637,117120.6907,89549.4933,60784.3468,31314.8088,24516.8040,10261.0666,5630.3311,16748.8355,6582.3258,0,1471.2722,7.4133,0,0,417.9726,0,18.5778,0
2010-11-15,2274852.8338,1069824.1337,422960.6240,100828.8288,120403.6976,58620.5670,41993.8688,45427.4057,16285.3581,5325.7888,17286.4380,17616.1630,0,1029.6244,80.2755,0,0,58.5247,0,175.8800,0
2010-11-16,1755534.7836,987986.7327,380271.5435,67114.8289,94358.3999,57982.3826,42535.5001,54422.2830,17505.4354,5800.8111,17315.1644,13743.3670,0,1799.1478,0,0,0,162.2203,0,1.8844,0
2010-11-17,1846665.0403,1195850.2619,422764.9778,95695.7557,74053.6355,68698.8831,24685.6802,45391.4171,15745.9808,6588.7490,19311.9755,21245.3963,0,5021.5499,798.5711,0,0,521.3846,0,244.9466,0
2010-11-18,2304493.2570,1182813.7340,423324.9378,130692.5425,42641.0489,77287.9775,36115.6026,52957.8154,18097.5820,6923.9555,20374.0001,10845.1658,0,4338.2488,1368.1156,0,0,1190.9073,30.1642,133.9334,0
2010-11-19,994750.0028,1196904.7158,414575.4845,132815.4553,52264.9422,86023.7612,30304.9602,51982.6631,16608.3403,8835.8643,22368.1957,12909.8551,0,5630.5822,1019.1488,0,0,1817.1287,110.7951,108.0579,0
2010-11-20,0,1260422.4629,412825.7166,126077.1490,96217.2267,107971.0602,28989.7465,44914.8165,14496.7578,9262.9066,15734.2290,8640.3764,0,4835.2655,980.4511,0,0,2393.8770,12.9272,83.8932,0
2010-11-21,2194758.8263,1164945.0668,408489.2155,102899.1058,98122.6311,107975.8331,46533.0957,42453.0824,12103.9699,8697.3668,15715.0800,8491.5699,0,843.4477,1380.0332,0,0,1545.8420,32.4353,5.3467,0
2010-11-22,2318929.6966,1180067.4011,255044.9677,117004.1021,99404.0890,114732.4055,58000.3177,24394.7791,8947.4754,5699.7174,18961.6911,8499.3950,0,724.5044,1598.5911,0,0,1067.6616,209.3871,31.2712,0
