Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC COMET] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[OSG] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total
2015-02-18,2034857.3641,0,296951.1623,53243.2799,349050.2063,187616.0892,32435.1780,44733.9821,10086.1002,36864.0000,7516.2711
2015-02-19,1943810.0047,0,279979.9091,35625.6355,190675.4066,176208.8615,24216.5443,34431.3154,10430.5221,30674.3467,15536.0645
2015-02-20,2031753.5571,0,259596.7201,32680.2488,177597.9817,122984.8570,39322.4277,45309.6446,8094.6553,0,19627.3376
2015-02-21,2071444.9464,0,264507.9248,31137.1023,318534.0371,108727.8319,39801.9945,56746.5731,5032.6280,0,19641.0933
2015-02-22,2149194.3206,0,272830.6379,55386.5867,441085.5759,111296.8698,47088.7834,52454.6358,2317.1889,0,20455.7510
2015-02-23,2097658.9654,0,295750.3667,114834.1158,193684.6426,134038.7991,25137.8224,58071.7020,2259.4000,0,15781.8467
2015-02-24,2077228.8082,0,310815.4297,121852.0623,43017.3358,169613.7773,42714.3832,56289.5594,3189.1447,0,9986.6044
2015-02-25,2046121.4885,0,294998.4934,143910.1421,68118.8768,149034.9115,41152.5889,57565.3601,5517.0890,31072.8533,9698.0511
2015-02-26,1856418.2838,0,215259.2161,76576.5780,142782.8113,144886.2548,33890.2889,54456.5250,7467.3500,19411.3767,3200.9155
2015-02-27,2056180.8624,0,262088.5157,54959.4843,158864.9580,154602.5299,19478.3999,56540.9557,8830.5666,0,3696.1933
2015-02-28,2181217.1824,0,259519.2060,70498.4710,92061.7263,93305.2262,22219.3390,51774.9024,7159.7167,0,3869.6755
2015-03-01,2181968.3466,0,221486.5091,53713.5910,107045.0143,102042.1991,17363.4721,53711.9466,5342.2610,0,3002.5644
2015-03-02,2070048.3646,0,236330.4415,49644.6132,92191.9262,103523.1517,21580.4444,51476.8045,5506.0834,571.7066,2294.9712
2015-03-03,2038155.1462,0,221987.1957,65900.4710,93069.6266,121299.3107,53062.7668,41240.0928,4398.1556,25095.5433,2.7288
2015-03-04,1967830.8528,0,316599.1354,43929.0669,90350.3298,118722.1427,54323.6722,40534.7110,8436.4832,24790.5400,2717.3333
2015-03-05,2007241.3288,0,316021.6683,54518.3377,132872.1864,152150.8217,21546.8389,42725.8446,9845.4998,27764.3666,1348.9244
2015-03-06,2080368.6810,0,255716.3023,72675.6621,286039.8032,100585.7542,8822.6055,40751.3063,6884.1724,31001.9667,8295.1644
2015-03-07,2141674.7372,0,168712.0337,69362.2755,329257.8619,100952.9688,32320.6334,40499.9999,10707.9946,21090.4834,10352.2111
2015-03-08,2063626.0925,0,113584.9488,16099.6357,307103.7384,38959.9661,4623.5444,27087.7111,3986.8221,14367.1000,10662.2666
2015-03-09,1913755.7300,0,270423.3291,161504.5869,159357.4186,76143.0120,14541.7665,27631.6579,7015.7167,27798.7467,18719.6133
2015-03-10,1833602.8973,0,289251.6844,270939.5466,135475.3656,131605.3700,24274.9391,23372.0575,10927.7889,25174.7001,14771.0355
2015-03-11,2150739.0260,0,295225.2027,77204.7913,72186.8616,146300.6924,24337.1390,23709.3201,11449.2112,31391.2500,15171.0622
2015-03-12,2085988.2890,0,280212.5112,84031.4398,92759.3425,206741.5923,11452.5111,29078.4664,41412.6945,28354.8067,5718.9089
2015-03-13,1811091.6419,0,314613.1107,51310.9690,171368.2638,214905.0118,18734.1999,31946.6222,46335.4777,27810.0533,8264.3622
2015-03-14,1940054.8488,0,292051.4597,103301.5290,201513.1020,147886.9995,1678.8390,32179.6532,37330.2167,27596.8733,2627.2000
2015-03-15,1955421.0452,0,264436.6775,48526.7023,244649.6377,96342.0972,814.7612,28824.0131,39600.7556,22885.0966,5.1289
2015-03-16,1992086.4889,0,261595.8002,17913.0133,406279.9443,103280.7372,3643.2890,34646.8354,41987.6833,28451.5733,0.4356
2015-03-17,2117111.7162,0,272374.2775,77901.5910,154883.9697,155828.4996,16988.9277,46989.0845,39282.0389,11419.6500,0.3733
2015-03-18,2089819.0720,0,314696.1847,65337.3240,124132.7958,198870.2218,21145.4387,42908.7954,32799.2387,14650.4600,3595.1400
2015-03-19,2103377.2327,0,321798.2154,90142.3576,62186.2440,189864.2336,18810.1220,41914.7646,39635.8947,15840.0000,4309.6555
2015-03-20,2095934.7548,0,286470.3883,119781.6050,38227.0662,197634.9914,33590.1109,28576.3067,24951.4613,4730.4033,4206.3156
2015-03-21,2120917.5859,0,273302.1264,169636.1366,105532.5722,197850.2456,35333.4611,18531.6088,6555.4335,15840.0000,3293.4155
2015-03-22,2104817.6875,0,153282.4842,212681.7246,170209.0181,167378.7190,41940.7111,19902.4801,6451.3722,13363.7900,2729.8266
2015-03-23,2104407.4491,0,227245.9152,134593.6714,84773.4394,170057.5734,37237.8610,23915.1469,4730.6167,3168.0000,5848.0044
2015-03-24,2050841.0479,0,289120.2641,128222.9246,73497.6055,182200.1856,47481.1944,25189.4175,5896.3110,6422.3500,4380.6756
2015-03-25,2104378.1750,0,317943.6686,129037.5113,106832.4294,160177.7385,50345.8556,24271.8400,7393.6945,7761.5367,2579.1644
2015-03-26,2135129.0264,0,269600.1378,121851.9911,120697.2032,143722.7973,55127.8834,21196.7642,12689.8275,6414.0000,0.1956
2015-03-27,2125543.2106,0,316564.9865,141178.9337,227053.0287,190688.3231,47838.4279,21379.8314,6534.6501,14046.7733,0.2756
2015-03-28,2182461.4676,0,245859.6797,31254.9868,153876.2582,154842.3181,35826.6667,24733.6356,7001.1612,5320.4000,0.3333
2015-03-29,2186852.0833,0,199661.9134,196682.4711,251938.1331,116057.7114,37522.0220,23653.0000,12782.4166,3863.7134,8567.1667
2015-03-30,1648608.5257,0,227107.2743,211393.6711,249671.0301,152687.6718,28927.9112,24381.6310,21346.9999,11201.8867,21123.9778
2015-03-31,339963.0836,0,283754.9045,359582.8534,20170.4965,118996.3147,31440.8278,27125.6268,23042.8167,11979.7333,18066.2401
2015-04-01,2075795.3993,0,238269.3783,227750.4891,267948.5330,133296.0368,2367.7055,29465.1466,3247.7168,4638.7733,17964.6668
2015-04-02,2110765.2050,0,284817.7003,221204.6580,277013.7759,141534.7897,34091.1445,28973.3825,12997.4447,0,12442.3467
2015-04-03,2052541.7060,0,267466.6556,159377.1373,312441.9330,149550.9327,76293.1939,25048.5513,8635.2334,0,0.2578
2015-04-04,2094492.8396,0,225287.2296,136957.1198,265894.2891,128753.4442,87387.4000,25107.1777,13210.4446,0,0.2400
2015-04-05,2058778.2765,0,210421.0379,92713.9555,229164.3851,190512.6668,78849.0943,22837.1864,4684.1167,0,0.2667
2015-04-06,1966056.3306,0,221397.5332,131369.7155,208840.9399,181327.6340,55635.1277,27474.2755,8155.3944,0,0.2756
2015-04-07,1917121.3884,0,279424.3779,188783.6977,286126.7308,140237.2159,45594.4278,24203.4357,1286.1889,0,0.2844
2015-04-08,1925888.1058,0,323474.1334,83400.7377,221212.9047,155943.1920,51379.4834,23578.3999,1321.8388,0,0.2667
2015-04-09,2128756.5282,0,322084.4737,84637.3777,201252.4327,177512.0442,77727.4943,28315.5244,1131.9334,0,0.0178
2015-04-10,2108684.9593,0,309260.6887,164703.5109,154890.2187,166547.7456,97822.8725,27138.6220,1880.4611,0,0.2933
2015-04-11,1997720.9514,0,274773.4801,152741.7865,161140.2740,180142.0605,107564.4500,26091.3468,4902.1056,0,0.2667
2015-04-12,2156934.1555,0,313799.5376,229169.5379,108538.3295,179494.4810,63733.8609,25927.5779,42631.3890,0,0.2489
2015-04-13,1906878.6615,0,272119.0702,235456.0975,101568.4196,173449.3110,75729.1611,23870.6672,23312.7449,0,0.2756
2015-04-14,1976494.8664,0,301522.6982,226057.2178,104484.9878,142342.2708,81705.2389,26189.9329,9272.4944,0,0.2578
2015-04-15,2187410.4119,0,313106.8222,5186.0887,118187.1601,105194.9409,103896.7055,23652.6533,3993.3446,0,0.1067
2015-04-16,2090631.8488,0,269727.4533,89727.9022,102151.2727,105360.7349,67372.1110,24882.8844,3578.3503,0,0.2756
2015-04-17,2030770.4862,0,311089.1715,70648.3200,118523.9589,113154.5411,76463.4112,26903.8929,8162.2554,0,0.6578
2015-04-18,2155771.1154,0,262899.0352,0,175001.7532,82604.1840,79498.8391,25747.8442,8962.1112,0,0
2015-04-19,2010331.3906,0,195259.2885,0,166673.0793,48697.3526,79148.0611,25611.6579,1965.5278,15.1333,0
2015-04-20,1559016.3613,0,240921.1093,69722.5602,149786.8446,73396.6206,68572.6000,20907.0398,3305.5610,0,0.0089
2015-04-21,755414.6658,0,301741.6668,221148.2758,90487.3843,136038.8800,99384.0497,27189.3822,3549.4997,0,0.1444
2015-04-22,818007.9158,0,312286.2338,127372.8174,88959.2929,100026.1397,79616.8998,27241.7019,6709.0500,0,0.2844
2015-04-23,2043660.6659,0,321951.7914,136029.5146,127468.3454,71781.9422,73710.0500,26485.4536,7376.0611,0,0.2756
2015-04-24,2064278.8168,0,320195.3665,216661.5555,149544.0923,111669.7667,75786.9892,22501.4221,6601.8444,0,0.2578
2015-04-25,2020618.8988,0,306331.8533,266294.9778,169995.3055,103561.0551,98296.9056,21328.9246,6955.8001,0,0.2667
2015-04-26,2024613.2088,0,282306.1348,249889.9912,130708.3124,39903.2663,108332.9277,13779.8400,5973.2167,0,0.2667
2015-04-27,1320746.3884,0,270243.3870,179671.2534,40126.8541,87716.5121,100493.7613,17727.1781,12439.2057,0,0.2667
2015-04-28,289331.9997,0,290486.1513,208914.6756,16456.7528,45834.4545,135736.9167,25744.1913,11544.4612,0,0.2311
2015-04-29,2082047.0397,0,313846.8115,133822.5777,72884.0616,18691.4067,120581.8889,29692.0223,5304.1888,0,0.3289
2015-04-30,2064025.2170,0,310923.1112,218710.3734,90205.0326,12233.3975,111109.9612,28760.2710,4345.1056,0,0.2578
2015-05-01,2086762.7823,0,322721.9754,238889.0134,76111.5454,0,79157.5057,27379.3553,4225.2666,0,33.2356
2015-05-02,2136529.8713,0,314803.9266,167075.7245,116562.1301,0,73884.1942,33342.3511,5312.8334,0.8667,0.2578
2015-05-03,2121748.5286,0,229580.2337,152241.2623,133967.0718,0,66264.1111,29322.0446,5151.2944,0,0.2489
2015-05-04,2083345.3645,0,268700.3665,197619.4133,169586.4535,0,61532.5278,26928.8261,10390.7723,1.9834,0.0800
2015-05-05,2008654.7686,0,304673.9779,227952.0977,103702.6492,0,74151.3389,21616.1819,14329.0168,6.0000,0.1511
2015-05-06,2023899.0318,0,303545.6556,306685.4131,118815.0574,0,108489.3221,28263.3378,14971.2224,0,0.2489
2015-05-07,2161671.8307,0,308119.0838,324748.0622,97276.6061,0,118394.7946,23789.3382,12948.0614,2.7533,8.7645
2015-05-08,2080558.3509,0,276651.4933,332151.2447,130424.2341,0,132412.4054,33653.7601,16.6278,0,8.6089
2015-05-09,2096844.2970,0,208227.4132,465146.1158,126323.2460,0,114052.5888,48098.6932,0,0,0.1778
2015-05-10,1974040.7511,0,92218.0063,191966.4267,200422.8848,0,85100.5832,20302.9376,4409.0778,0,0.0089
2015-05-11,2035092.7419,643.2400,29792.8910,86423.0933,191106.0895,0,132669.0834,45972.4755,24320.3501,0,0
2015-05-12,2028022.5782,1152.0000,32553.9177,361260.1598,122505.3935,0,148671.3330,46351.5819,21548.1000,0,0
2015-05-13,2049084.2843,150086.4639,184535.7465,419908.5877,90929.0655,0,123986.1891,42602.1290,15675.9279,0,0
2015-05-14,2018693.6711,487963.4596,293227.0869,299700.8354,83113.6345,0,80694.9722,46352.5646,16612.1556,0,0
2015-05-15,1581380.3372,754247.2176,302894.0694,326988.2286,88508.7658,0,108815.9112,46697.2358,25086.7001,0,0
2015-05-16,322510.0184,706284.6391,296492.7402,352973.8577,86591.0805,0,49588.4278,43540.5159,39062.3610,0,0
2015-05-17,1875301.8541,714659.4929,288586.2643,291069.9466,93701.2952,0,71738.2389,51368.2575,19102.1332,0,0
2015-05-18,1984592.3109,700521.4265,272131.3926,206932.2665,101444.8121,0,101287.3890,48517.6445,9162.0445,0,0
2015-05-19,2145056.2677,863483.3411,317505.6044,212161.9645,101757.7173,0,102179.4111,52117.6848,17107.4057,0,0
2015-05-20,2088156.8873,920839.7190,320948.7733,198065.7425,100726.0330,0,93953.5000,53327.3646,25916.3279,0,0
2015-05-21,2004929.0268,905789.6714,317062.9621,185335.0326,115958.6722,0,146581.5001,50513.0796,20190.0057,0,0
2015-05-22,2105556.4985,943130.2614,315372.5043,200272.5161,121578.6906,0,96241.4275,44104.7384,19588.5555,0,0
2015-05-23,2090011.7728,823919.8264,294663.8602,229110.5256,109467.5836,0,161149.8000,41898.0843,12773.8943,0,0
2015-05-24,2152140.4133,604328.6919,226191.6358,150321.1416,136437.7534,0,113391.4668,41190.4977,4859.9944,0,0
2015-05-25,1943244.1115,629128.0531,239329.1552,147554.9155,142867.6210,0,52598.7391,46233.9734,8461.3557,0,0
2015-05-26,2118697.5546,648609.9195,292864.5616,164732.1334,64062.4664,0,57776.4830,39744.7423,10876.2889,0,0
2015-05-27,2181512.7885,751341.9983,294544.7203,204500.0621,72362.7825,0,80246.4387,45132.0225,13678.5554,0,0
2015-05-28,2204774.7024,614184.6343,294738.2741,341288.0530,71339.4970,0,82767.6389,43218.4356,9309.4331,0,0
2015-05-29,2143352.7074,578522.8290,306018.7465,110929.1377,71224.3487,0,65255.5720,43253.6846,17464.5388,0,0
2015-05-30,2190205.2794,470456.3976,308587.5851,99427.8490,84282.1282,0,75827.0388,41796.7646,35699.0555,0,0
2015-05-31,2115659.8488,367703.2780,302728.1551,111414.7645,89203.1079,0,43323.1724,36161.8042,40784.4721,0,0
2015-06-01,2100368.9333,444734.6579,301901.7173,225279.1556,93185.5264,0,91766.3496,37523.2709,11473.3497,0,0
2015-06-02,380288.4920,606333.2835,266490.7820,264115.1022,53109.8823,0,72072.7944,48858.6666,4049.0055,0,0
2015-06-03,2042035.9063,770692.0706,286249.4519,283127.0935,83825.7308,0,58963.6280,47685.8270,19667.5606,0,0
2015-06-04,2080590.4265,715600.3901,277415.7316,292724.2400,72219.7121,0,91907.2224,44076.4580,19371.1274,0,0
2015-06-05,2182374.9520,672909.6349,262260.5673,334925.8487,55252.4022,0,70656.4606,40643.2533,26500.0333,0,0
2015-06-06,2052920.7235,673738.2470,240594.5846,258690.7821,33582.2726,0,72694.8944,13312.2135,13619.8945,0,0
2015-06-07,2094768.9376,647155.1051,203227.0647,98259.6623,57104.6970,0,87733.6666,22988.1466,14627.8388,0,0
2015-06-08,2156934.0317,680038.6382,273267.4848,63424.0890,145754.4536,0,81979.4334,37647.8622,19096.3554,0,0
2015-06-09,2055406.7372,881582.1714,297237.4320,177665.9377,91718.8420,0,109726.3611,58860.1334,16593.8778,0,0
2015-06-10,2038238.5473,826333.0262,328771.6844,351278.7376,91266.6052,0,141723.1222,59910.5825,24406.4332,0,0
2015-06-11,2009575.9369,736033.8175,323113.4848,372676.1156,154393.0352,0,114501.2280,56552.8137,15666.1780,0,0
2015-06-12,2057651.7278,771285.7550,313521.2405,460226.2671,307346.9460,0,152183.2778,56860.4312,16655.7889,0,0
2015-06-13,2123709.1953,736411.0522,237441.6515,418660.6042,229874.8504,0,109855.7389,59731.7509,14649.4557,0,0
2015-06-14,2040431.1504,613678.4130,85393.1552,357280.8888,149346.9494,0,62862.4447,55458.5909,14228.5112,0,0
2015-06-15,2055014.1831,724454.6856,74643.0042,386052.6223,171595.6272,0,67696.9891,54047.0618,16810.9057,0,0
2015-06-16,2140032.9642,779569.1702,300768.2111,443565.2269,153226.0040,0,59386.3268,49885.5375,17163.3722,0,0
2015-06-17,2025591.3521,803319.7350,308945.9292,449634.6224,80970.5390,0,43268.6667,35821.6750,22206.8609,0,0
2015-06-18,2181520.1162,922629.6723,311386.6600,383937.5824,63236.9390,0,38431.3220,51738.4888,17286.6555,0,0
2015-06-19,2203779.7068,942907.4698,296558.6219,407096.2221,119173.5649,0,70957.8445,55159.3022,16244.5666,0,0
2015-06-20,1971405.9857,766843.9692,300698.2886,428535.4311,129227.7537,0,40584.1944,30788.3999,16195.8778,0,0
2015-06-21,2100197.3916,559525.0587,225770.8176,453432.5778,56543.1980,0,29048.1834,20333.8443,19370.4667,0,0
2015-06-22,2194573.8888,695114.5188,295054.0785,409547.6356,140446.3592,0,49960.4388,40051.8136,11441.9000,0,0
2015-06-23,2167297.4312,875453.3826,310801.3289,434127.4133,117946.4691,0,49710.7944,56212.6708,7799.7722,0,0
2015-06-24,2103325.4480,799004.7009,313525.0580,159471.3244,103759.2458,0,57483.0388,54962.6221,8084.9000,0,0
2015-06-25,2169927.5357,759655.1515,321777.1417,326937.6445,247325.7452,0,48717.0390,11142.4976,12543.5389,0,0
2015-06-26,2226100.2493,749830.8314,320139.4437,427793.6979,196799.7080,0,67661.2613,21157.3732,13683.0610,0,0
2015-06-27,2098527.0401,758586.0228,314086.2316,394431.1558,243306.2482,0,41771.4112,58456.9470,14220.7556,0,0
2015-06-28,2138444.7779,616689.5784,298183.2263,341973.2001,243765.0504,0,34660.6389,50831.0090,13067.4220,0,0
2015-06-29,2168611.1861,626622.9420,310253.1245,362659.0667,142988.3354,0,28944.0279,38745.3733,12561.3723,0,0
2015-06-30,2192562.7470,662502.7011,319616.4268,262653.1377,89420.7737,0,41877.0056,40365.0089,9899.5001,0,0
2015-07-01,2153202.7956,659642.0109,317090.9696,255864.8003,41781.1168,0,62143.1386,28224.0843,12934.4332,0,0
2015-07-02,2093450.1025,523789.6068,317346.9907,402942.2042,68170.5627,0,44941.3668,28603.2400,11468.1725,0,0
2015-07-03,1948462.7557,579304.9298,321759.1532,400904.6399,87178.2435,0,55222.5721,31483.9822,12567.4446,0,0
2015-07-04,2105770.3209,435091.1131,272534.9889,318690.1689,69473.1945,0,8936.0392,25107.5244,4704.7890,0,0
2015-07-05,2123556.4089,293244.0170,256328.0869,225108.5775,80376.2517,0,16932.7777,22760.0446,7202.4556,0,0
2015-07-06,2193640.9496,423677.6808,287264.7113,332622.1068,113430.7669,0,47334.7222,32997.3688,17395.0944,0,0
2015-07-07,2161145.6172,689846.3380,299158.3093,451660.7291,121094.1583,0,77460.4387,34177.3422,25025.2499,0,0
2015-07-08,2194217.8954,722899.2252,298362.9600,448928.4178,88912.7223,0,87147.2222,36613.3072,14720.5053,0,0
2015-07-09,2170193.8048,724009.6395,293367.5841,519357.0041,118271.4590,0,89957.8557,35544.6450,12072.0556,0,0
2015-07-10,2101755.6043,620544.2907,296749.2956,471926.5601,121394.2748,0,52249.6278,46197.9023,14736.3389,0,0
2015-07-11,2054558.8574,385721.5453,295122.2291,485419.0224,100899.1129,0,30608.1942,37647.8491,10000.0556,0,0
2015-07-12,2073496.1910,383900.9976,272512.2511,377091.7956,130923.8847,0,25765.0222,9697.6667,6377.2389,0,0
2015-07-13,1797126.2793,392566.9278,270868.4511,482740.4445,108028.1252,0,22231.7833,19754.8043,8973.6001,0,0
2015-07-14,548598.8092,611745.6773,286196.8379,481296.9066,88730.2233,0,26088.0333,33364.5600,11783.2559,25.2467,0
2015-07-15,2054327.7765,728763.8624,299947.8309,529871.5823,115588.0779,0,24971.1832,32155.8175,16197.8498,0,0
2015-07-16,1973452.6497,736048.4745,295807.1069,494689.2173,148683.8794,0,11650.7779,37137.2847,16475.6223,0,0
2015-07-17,2213092.8021,723090.9908,295479.7482,477270.3016,91369.7519,0,13096.3775,41691.8756,17498.3334,0,0
2015-07-18,2146648.3962,565064.4802,280882.9533,434745.3956,114699.5210,0,11341.6444,26114.7911,11889.3664,0,0
2015-07-19,2135067.6312,655017.6656,297066.2556,455282.1333,134245.4226,0,11393.2166,21752.4533,10542.7833,0,0
2015-07-20,2147955.3371,677913.2273,296209.3378,438823.0401,196589.2554,0,41241.1274,33525.0887,18052.2167,0,0
2015-07-21,2250154.4411,677583.4841,298109.4134,473769.8047,141455.8708,0,45594.7055,37342.3687,24699.5277,0,0
2015-07-22,2186255.8367,468922.4994,287879.5800,465575.4229,133906.0722,0,42139.1447,16119.3202,27109.9558,0,0
2015-07-23,2123647.8437,175532.1379,296401.3138,407075.0043,82805.3795,0,24130.3111,27733.1867,12636.1333,0,0
2015-07-24,2252714.2622,816957.8437,284487.5581,428195.6529,74162.0737,0,26612.2781,27852.9200,11809.5666,0,0
2015-07-25,2196675.6489,875399.1499,294945.3996,452102.6665,195946.4870,0,35849.7669,33738.6579,4621.7890,8.3367,0
2015-07-26,2210732.6099,711775.4560,303743.6783,328193.9110,147139.2843,0,72763.8502,25562.9202,13676.9111,0,0
2015-07-27,2157088.3067,751451.9739,297084.6113,302328.3915,119109.2691,0,49209.0556,21879.7067,14473.2223,0,0
2015-07-28,2153609.3245,824242.0605,303028.9465,324705.4043,62869.8547,0,32266.4776,24445.1999,17001.8276,0,0
2015-07-29,2196634.0655,854247.7239,287341.4115,331046.6399,15397.9532,0,74109.5835,29725.1511,16304.0943,0,0
2015-07-30,2220643.1764,838775.0637,301019.9003,287817.0665,17809.6258,0,42757.9055,20648.6711,9752.6613,0.4100,0
2015-07-31,2157304.4485,891644.8311,300775.4706,330214.2133,17668.1511,0,34683.5444,37275.7557,13373.4777,0,0
