title
"CPU Hours: Total: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[TACC STAMPEDE] CPU Hours: Total","[SDSC COMET] CPU Hours: Total","[NICS DARTER] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[OSG] CPU Hours: Total","[CCT LSU SUPERMIC] CPU Hours: Total","[TACC MAVERICK2] CPU Hours: Total","[PSC GREENFIELD] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total"
2015-11-24,2156360.3862,807128.0139,355258.1154,229128.4647,39952.2467,65703.2166,3780.7667,1345.4458,0,0
2015-11-25,2166755.1477,772818.5223,441824.8980,287222.8424,34229.3126,55230.5612,2919.7832,1227.5126,0,0
2015-11-26,2068424.2488,758572.1072,413303.5557,264157.4869,50615.1803,57646.1056,4711.6500,1801.2000,0,0
2015-11-27,1944940.6790,740877.3742,355737.1021,250000.8176,91693.2584,60396.6502,2319.9554,307.9416,0,0
2015-11-28,1898323.6148,597744.5349,427278.0976,229123.1778,128200.6617,61457.0777,3005.2389,14.3500,0,0
2015-11-29,2072932.4261,639627.9380,462695.3690,158480.8511,111541.9588,50761.8890,3175.6334,6.9250,0,0
2015-11-30,2096328.0543,777774.6396,443616.7998,178390.6891,102242.1020,55669.9999,9703.5833,497.8334,0,0
2015-12-01,2147949.7463,871186.8487,317083.4489,244923.1508,104840.8012,78995.4168,15741.2667,306.5626,0,0
2015-12-02,2182125.6675,754881.7920,343117.9023,248237.4557,99799.3503,65894.0057,16200.7112,1061.3127,0,0
2015-12-03,1834250.5679,435450.8341,258006.5870,276802.6110,62242.3128,51345.0059,23250.2001,2557.3459,0,0
2015-12-04,2172242.4012,98540.7124,298054.9329,245734.7556,109704.3602,64353.7002,20353.6946,986.2750,0,0
2015-12-05,2164809.0887,41846.2141,304663.3066,223101.9705,90875.6799,98323.8444,8182.8834,174.0251,0,0
2015-12-06,1953059.8266,816881.0690,386366.3557,158821.8198,75203.1861,76691.7112,4447.8721,34.3583,0,0
2015-12-07,1545482.1117,782228.8135,396600.2669,228611.9449,63926.0945,49418.3944,9371.0833,3042.5708,0,0
2015-12-08,334288.2222,809596.7076,374874.9427,316966.7684,62816.3992,41461.4000,18226.2609,3842.9417,0,0
2015-12-09,1850898.7124,943935.2418,422145.0490,307464.6849,86897.9185,34149.5443,16672.7888,3730.7082,0,0
2015-12-10,2075491.1342,901993.3202,458906.6044,312774.6576,123984.2028,52402.7612,14589.9667,4113.7916,0,0
2015-12-11,2031308.2268,826221.3965,465054.7290,308567.9534,175217.7930,31098.7109,20765.8056,5785.7709,0,0
2015-12-12,2118607.9563,646826.9492,495082.3641,284139.3045,168222.8193,10378.6387,13957.6501,6187.3500,0,0
2015-12-13,1703734.8184,703749.6518,428079.1556,199728.6422,105718.5509,7465.8889,24348.6390,5585.9626,0,0
2015-12-14,1967718.3652,831393.5423,468376.0363,82086.4911,113576.2995,18827.5946,24380.6721,3838.3543,0,0
2015-12-15,2079191.4872,884076.2633,485108.1419,273266.3492,36457.6480,15759.1446,17289.8447,4588.9543,0,0
2015-12-16,2036606.0081,900059.3985,454351.7246,278907.5004,22657.2897,13600.2002,20587.2947,5020.7166,0,0
2015-12-17,1998548.9484,921754.6099,421683.5204,241284.9532,24625.1662,33662.3611,17888.8833,6136.5040,0,0
2015-12-18,1964243.8627,895894.7630,468642.7644,298744.3424,36284.1645,38669.8501,20791.9610,6279.3625,0,0
2015-12-19,2002231.7477,914276.0902,482351.2087,304474.5960,34098.6843,34485.0112,22342.3387,7824.2085,0,0
2015-12-20,1411113.7922,812403.3944,476804.0979,286832.8577,28513.7888,25889.5556,12210.6778,7077.6667,0,0
2015-12-21,584211.8757,846566.6284,492021.4667,204638.9686,24913.8390,29287.1556,20875.3056,7539.9749,0,0
2015-12-22,1765220.0839,941866.5402,484561.9468,239090.0288,20732.0972,53438.5945,22850.9446,6623.2250,0,0
2015-12-23,2072296.8352,880845.2652,485522.8177,222996.4486,23785.8647,67425.5500,24699.8056,7400.3124,0,0
2015-12-24,2137339.1562,792992.9385,474535.9024,280376.8616,31153.5857,57621.7387,23342.2332,5560.2250,0,0
2015-12-25,2073196.0263,655585.6061,465040.4620,182256.5691,55119.9030,46804.4335,24014.8891,6655.7999,0,0
2015-12-26,2125035.4792,643937.2101,521157.8845,133554.9817,89857.3574,38169.8112,18118.9000,6052.8085,0,0
2015-12-27,1703964.8261,557749.2654,526500.5333,151014.8912,163600.4177,34625.3890,20376.0722,5264.4833,0,0
2015-12-28,1920530.2182,531804.5226,470420.0625,186145.1219,259783.1845,34659.8002,27910.9499,5620.6290,0,0
2015-12-29,2132724.1631,566188.0853,455013.8044,287585.2003,122191.1112,41060.9889,28332.2111,6951.9415,0,0
2015-12-30,2129557.5830,491702.5620,448223.9023,258349.7132,89135.1172,55083.2166,20033.4610,7354.5541,0,0
2015-12-31,2069390.3154,379141.2101,436511.5112,291628.2957,88267.9791,32799.9335,21662.6112,7784.2418,0,0
2016-01-01,1818455.8400,435687.1772,472466.6399,307404.4351,102062.6150,10456.8609,8652.6167,5452.8335,0,0
2016-01-02,1557595.7201,510466.3856,499271.3775,305923.8445,300951.9877,7796.6054,3877.1667,2868.8084,0,0
2016-01-03,1689154.2364,505663.8456,522989.4936,161829.7843,287030.0920,15305.0333,3594.9944,4263.0251,0,0
2016-01-04,1909588.8942,628676.6212,490907.3776,207326.0310,253132.4090,23374.8777,16251.3165,7758.6125,0,0
2016-01-05,1916187.4565,783194.4538,490550.7467,207739.0913,114963.4380,52203.4945,10304.0889,7308.9334,0,0
2016-01-06,2007164.5252,501530.8832,440617.3330,175229.3573,138258.3568,48632.8333,21152.6167,7691.5249,0,0
2016-01-07,1955409.2587,813490.2605,452548.9687,290433.8510,51036.5136,56185.7941,24266.1946,7831.8874,0,0
2016-01-08,2010736.1423,688891.6500,477953.2439,289716.7997,37463.5827,63341.8388,14838.6222,7773.3959,0,0.0333
2016-01-09,1582179.4757,627451.8355,460996.4270,233153.1398,36850.2639,79735.9556,7172.1166,7568.9208,0,0
2016-01-10,1240238.4035,632942.7150,468834.6131,166221.8956,99310.0672,90548.1166,13858.5668,7396.0874,0,0
2016-01-11,1888617.2722,734230.1687,457624.9245,241657.7463,60800.1336,51228.2058,20093.2332,7160.2502,0,0.0067
2016-01-12,1921610.3997,680656.4880,460137.9910,297228.0618,93157.3529,35890.9226,21461.5501,4759.7749,0,0.4300
2016-01-13,1814647.2621,899940.7558,465376.0444,304863.6440,138155.0624,39435.9058,22791.3889,4702.9251,0,0.0367
2016-01-14,1810919.8974,898386.4702,451256.1421,310990.4266,92419.3608,26451.7279,18531.0611,7710.1500,0,0.0267
2016-01-15,1913808.3247,895864.3946,439070.5335,296044.1047,33294.1701,14928.9110,21752.8944,7520.7459,0,0.0700
2016-01-16,1939064.9149,776167.6305,512979.4579,304290.4153,36505.2560,16694.7889,14687.3389,6941.6708,0,0
2016-01-17,1992713.6323,647384.0070,527050.5600,267482.2376,79383.2858,9183.1166,4983.8278,5557.4541,0,0
2016-01-18,1833558.9029,714956.0707,522638.6220,205375.6092,64966.7238,9624.2944,9766.0113,5390.3750,0,0
2016-01-19,1793764.6132,845003.1495,462740.0535,250784.5206,74209.8399,13126.0166,16926.8278,6363.7418,0,0.0233
2016-01-20,1860074.8488,947724.7521,471881.8756,314657.5129,82417.6262,20242.7722,11862.4279,7601.1208,0,0
2016-01-21,1998348.5382,917505.3509,496452.0351,318284.0016,95412.5581,24170.9333,9351.3779,5206.2042,0,0.0400
2016-01-22,1989326.6118,946053.4821,490626.6309,304183.1274,107848.6159,19229.0722,16448.3112,6326.4832,0,0.0367
2016-01-23,1987926.5953,865156.6413,515131.6087,306645.7448,111697.7195,10232.6611,19343.0666,6343.5042,0,0
2016-01-24,1777371.0933,905735.4881,504089.3513,261104.1337,134201.3847,8726.3777,13997.3112,4760.1583,0,0
2016-01-25,1823149.6400,926765.2701,477081.3069,280668.1270,49648.0119,18951.7113,20476.3000,4263.2541,0,0
2016-01-26,2051724.7292,940607.5903,478524.0798,318756.2573,159400.2208,29129.4500,25669.5890,5239.0792,0,0.0000
2016-01-27,1898713.6454,947121.7987,438584.8714,314901.4138,109982.7783,40513.9445,8472.6780,7598.5750,0,0.0767
2016-01-28,1933097.5026,906863.5696,509135.7602,272950.9643,77171.9011,40528.8057,10861.9834,7332.4333,0,0.0233
2016-01-29,1973942.7824,886646.7888,486685.3955,233022.6485,23168.6583,39394.8889,10831.4111,5429.7540,0,0.0233
2016-01-30,1992923.4488,913346.2842,482438.6755,203324.2864,27373.2312,26232.3832,5775.5721,2089.0833,0,0
2016-01-31,1860914.5416,912327.5877,524238.6222,245682.2621,92214.9595,29636.0387,6591.1780,1837.4417,0,0
---------
