Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[NICS ATHENA] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[NCAR FROST] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[LONI QUEENBEE] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[NCSA ABE] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[NCSA LINCOLN] CPU Hours: Total,[PSC POPLE] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[IU BIGRED*] CPU Hours: Total,[NCSA EMBER*] CPU Hours: Total,[SDSC DASH] CPU Hours: Total,[TACC SPUR] CPU Hours: Total,[ORNL NSTG] CPU Hours: Total
2011-02-11,0,1239458.2354,424002.4666,36259.6665,70334.7732,60510.1689,33296.6995,68919.3266,21214.4400,155747.9000,40006.1623,32024.2201,19355.2646,13881.9669,3298.3391,7180.1569,1575.4071,1423.6067,30.7689,0
2011-02-12,114.7534,1336948.0846,427245.4368,44923.0268,80167.6888,120178.0801,35649.6549,61125.4694,22705.7154,142374.6578,38504.8800,31845.7067,18212.0804,12737.6160,2824.8017,7136.5857,1058.3244,1067.2756,0,0
2011-02-13,178.9067,1157207.1417,431436.8200,44518.0100,42267.6265,118345.1201,32961.3067,48213.6964,28028.1730,129711.0893,26055.9065,32508.7512,17199.1922,12089.4707,2056.6700,7327.0823,1047.2179,0,29.4711,0
2011-02-14,443.5200,1237922.0000,431952.5423,32372.9702,25918.7288,118181.7954,36180.1305,72042.3177,27357.6623,151827.4530,33431.9378,30491.0712,17801.2175,12321.7853,501.5756,7307.6110,1312.6198,761.5533,19.1467,0
2011-02-15,99813.7630,1122916.5412,432109.2435,26880.9933,27829.1647,97952.8180,35606.2720,88327.2580,20944.8847,190294.6738,37335.6756,33092.1646,18693.0911,9833.8547,0,7053.5977,773.8976,1593.0267,33.9022,0
2011-02-16,1823751.3301,1171078.5460,428704.5044,83013.8437,39850.3911,56529.6001,32113.9947,69964.8466,10205.3331,158744.3825,36084.3599,25917.5535,17287.0407,8288.3087,0.6828,6778.9597,1066.0034,1805.7178,50.4311,0
2011-02-17,2623155.7997,1330965.7694,426978.8821,86013.6834,53898.9690,41250.5067,28680.9210,83654.6664,28173.3643,151219.8614,37567.3756,33909.8380,20436.0621,8169.1849,22.6267,5877.8043,1396.2122,1649.2222,8.0933,0
2011-02-18,2479422.4205,1315941.4136,424964.5410,72238.2500,36775.9945,77215.1467,84249.1252,87291.1312,19732.4400,144466.3908,36466.3489,33074.5025,20786.0801,8491.4406,1381.1655,967.1145,1952.9847,1536.0889,73.0578,0
2011-02-19,2508854.6203,1307177.4544,422967.5643,105094.6796,40784.4800,138822.9509,74600.7262,77156.3843,13760.8443,180499.4650,36530.3243,22644.8355,20802.3911,10357.2231,552.8000,6575.1133,1159.1446,1646.2534,82.6000,0
2011-02-20,2649966.9698,1216194.2192,421621.4499,112925.4366,37839.0135,118893.1200,77915.5939,67249.4956,12608.7733,173140.9823,34100.8333,8291.3467,15592.3471,11260.1477,1768.2779,6575.1487,814.5743,798.6267,84.2311,0
2011-02-21,2622572.1358,1270494.5474,422007.9224,48903.6368,33984.9367,115262.6134,74247.8996,94581.4177,26303.7554,180916.6377,31158.7843,20741.0777,17817.3358,9401.2674,2002.8578,6421.8021,2151.6863,655.7600,46.0532,0
2011-02-22,2620340.9537,1203877.2094,431707.6200,19274.2501,27250.4620,129895.6800,71415.9253,93275.0646,28562.8269,159077.8238,27488.4400,26786.2999,21012.3041,8456.4786,94.2399,6399.6456,2336.9405,1186.7489,123.1066,0
2011-02-23,1767429.2407,1221075.9337,430094.3977,138132.4301,36517.2709,97007.0578,82018.8239,66823.4578,7646.4713,144293.7780,31900.0087,26366.6576,19073.1880,10378.4060,1052.9914,1320.9544,2796.8605,631.1645,0,0
2011-02-24,2671973.7996,1255022.9827,403933.4939,109517.0763,53690.5153,77643.6978,66467.7270,72698.5890,19903.1288,152289.1071,29920.4687,9778.0320,19161.2498,9526.1717,892.7377,2310.2321,2613.2107,871.4577,70.9911,0
2011-02-25,2424330.7104,1277372.2677,393379.3944,130626.1098,63255.6044,54102.0800,49038.4535,37204.5754,29081.3868,166550.1605,27322.0667,4830.3466,18251.4721,11752.0470,673.6688,4220.1767,2084.7764,580.5000,0,0
2011-02-26,2284251.9403,1283005.2350,235582.7402,164929.2064,72873.1910,117193.8844,57455.6856,51410.7112,46471.1645,160705.0642,25803.5244,8158.9944,18800.8823,9407.3042,1814.3601,3250.2288,1846.6580,342.6222,0,0
2011-02-27,1624090.6233,1262996.4182,263681.6757,174770.3634,53076.0714,108169.4400,52498.5329,100216.3156,38921.9597,132207.1404,27027.4755,9624.7199,17598.2218,8414.5833,878.6489,2192.2000,1546.8050,1034.7999,33.5911,0
2011-02-28,978303.6136,1313666.4802,180942.5355,121605.7001,48335.8721,77727.4311,75818.8555,81906.6445,22527.3557,152992.9404,25215.1311,12522.0612,16142.1389,8383.0521,561.3467,952.0665,1285.5872,614.6511,20.8133,0
2011-03-01,2540275.9065,1300162.3118,431750.2975,73759.1635,83971.0853,85154.9688,117960.2343,45913.8289,44992.8799,166883.7905,14457.0111,17557.7350,17441.7397,10908.4460,3162.5667,3086.1180,961.9777,6.6067,29.5512,0
2011-03-02,2475641.4907,1277852.3192,419003.0821,185659.8165,95365.4734,105397.4756,118408.2285,48845.7711,36727.9600,150532.3419,29486.6134,18669.5589,15779.3958,13952.5733,866.7444,11361.3277,2273.8103,496.3778,18.3067,0
2011-03-03,2527446.3501,1184887.9961,430082.5745,142639.5266,136146.6255,63850.2576,49877.5627,58858.6244,31936.6041,107466.7070,29927.9600,13277.7890,17554.8252,14153.6504,740.7379,8585.3655,1666.1790,107.4578,12.4311,0
2011-03-04,2556312.1273,1244305.5385,408685.3378,94303.7561,121715.8460,80519.2535,62192.4613,63868.4223,37907.4755,94480.8227,26216.4756,15749.0890,13280.5407,12086.0873,1678.6468,6506.3088,1577.2638,532.3467,54.4400,0
2011-03-05,2671497.8794,1322572.8940,429900.9178,43592.7497,84283.4295,135490.3111,42335.7380,52655.3733,40471.9865,89547.9799,21777.4822,10453.4578,10784.4466,7856.4020,2467.6911,6498.3112,1447.5396,310.4933,19.7867,0
2011-03-06,2558408.9367,1291916.8267,425262.7646,51263.9702,102887.6982,140376.1067,35908.7763,30940.6133,34813.5824,116969.4304,29013.2511,11198.6021,11245.4624,10839.4715,2842.5798,7172.0910,1274.8035,1150.4177,12.2356,0
2011-03-07,2447383.9501,1266557.7641,426515.3276,73907.9164,59219.1844,118325.8312,39964.7182,47899.6888,30928.9156,139185.5043,33054.0710,10041.1825,16202.1068,8956.7168,1034.7333,6834.7411,1138.8092,777.8044,112.8622,0
2011-03-08,2350948.7865,1289228.0090,428914.6591,71342.3298,47709.2709,140295.9288,47063.0136,51092.0396,25667.2801,99798.0976,37350.9980,12985.3080,15989.7568,14382.3565,2268.3734,6997.9043,717.4894,767.5334,135.2756,0
2011-03-09,1891729.8961,1276846.7866,423814.2123,81062.5064,41377.4843,132371.9823,48118.0386,47381.8243,8174.6042,116949.6049,35496.4956,17017.1487,20274.2641,12613.4585,10781.2799,7086.3144,162.1150,780.6133,21.0578,0
2011-03-10,963047.5101,1214727.5999,416621.7745,116525.6664,41627.1822,102175.9998,45113.3890,57021.2175,35307.3958,71531.7541,16170.1244,10877.9478,14563.9587,15385.8688,2716.8177,6505.8299,1113.4615,651.7956,69.9378,0
2011-03-11,1917110.8832,612934.8132,431416.4021,106024.8767,71240.7622,100563.8756,49806.0135,85939.4310,41156.4310,79962.7829,5915.2712,17947.4466,19183.1124,9419.0066,787.9979,4938.7366,2121.1950,0,75.8311,0
2011-03-12,2639591.7832,89792.5023,425395.0190,66495.1866,38236.2685,153026.5067,68679.6182,107094.8801,7847.0221,123775.8678,0,26869.2800,9697.6921,9933.2278,146.4133,738.8766,3292.1850,0,0,0
2011-03-13,2510894.0131,773799.0846,378331.7800,110878.8331,19397.3955,135138.2932,71911.3879,88395.6535,25790.3999,94317.8404,13252.5511,9131.3557,9857.2758,9485.2455,834.8444,6455.1765,2659.3340,34.7889,0,0
2011-03-14,2543883.1063,1181924.9997,371637.1387,120866.7464,35507.5955,117220.5154,119836.3029,88742.8891,24340.9510,58532.4672,19882.2355,16808.7402,17560.6530,11204.0578,2287.2889,6528.7090,1890.7576,58.9200,12.3777,0
2011-03-15,2599645.9297,184402.1780,413328.2589,153979.5832,75661.8655,52663.4134,122981.9737,95543.9782,28485.9379,90460.8083,26173.9556,18418.4272,15783.9655,10621.4128,0,6422.4632,1113.0308,402.6000,0,0
2011-03-16,2640122.6395,1243342.2974,431515.9275,187256.9133,98248.5181,82474.8623,103531.4325,103920.6068,10817.7021,42736.0561,25276.1643,20699.5846,12495.7973,8346.5113,2386.4222,5761.5743,1163.4066,264.8934,165.4133,0
2011-03-17,2605823.2836,1249978.6413,430907.5268,207752.4967,160522.2310,113662.8622,76460.7814,93811.3068,61015.7113,25208.9219,28372.8956,26928.0469,14066.8181,8331.6039,3774.9889,5153.3400,1395.8264,139.6578,132.5200,0
2011-03-18,2582616.2333,1326789.4490,429586.9292,145628.8697,131077.7600,30149.7601,39142.5267,114759.5110,57619.6265,46034.1943,24180.6355,26291.8177,18006.5255,10570.3671,1503.4823,5309.6933,893.3892,449.7733,233.2356,0
2011-03-19,2657180.5104,1335632.3823,398511.7233,117766.4068,104326.1777,50753.4754,32139.7299,103563.6247,42076.5867,27337.9046,23025.6666,27277.5001,18049.9597,12825.7730,2696.0333,4192.1188,1280.7176,1394.2578,458.0400,0
2011-03-20,2593021.3334,1321942.1991,301626.8820,181936.6998,115845.2966,103355.7511,28864.3817,74062.8311,30321.0000,71685.2761,22997.2799,14274.7289,16628.7111,9915.1217,2663.0933,3203.0279,1084.1548,2235.0222,128.9778,0
2011-03-21,2492485.7734,1303808.5518,172751.7324,134161.2465,124975.1537,88529.7245,37413.4510,109867.2265,45294.9067,83941.9391,24281.4488,21843.6666,17035.1697,12303.1360,621.2757,2485.6445,1866.6421,3065.7333,21.7822,0
2011-03-22,2525521.8331,1358616.8263,297753.3601,71545.3670,135954.0358,36792.9245,44061.9868,107727.5886,49027.9599,85139.2623,10079.8758,28127.6414,15451.8359,10541.1008,71.0422,1685.8778,1965.9223,4702.2889,0,0
2011-03-23,956978.8634,1356099.1821,411954.4276,131223.2468,138200.3674,42505.8311,50265.2555,76323.0909,16161.9955,65089.5297,12751.5024,26068.6087,7230.8457,17157.8885,0,951.0232,2193.8236,3317.9600,7.8089,0
2011-03-24,2569924.6360,1349978.2182,361022.1903,162265.4935,109237.8319,54764.6932,48016.4713,86042.1293,39763.1067,97573.5351,20711.6846,24339.3101,19601.2954,13696.0683,145.9666,502.8611,2105.2346,3208.1822,39.0133,0
2011-03-25,2619246.9865,1349686.5335,358605.6502,155656.2097,137610.3713,33186.5600,42900.4338,59516.4687,51126.4310,75779.2966,29737.4868,29494.1155,18526.2111,8839.6237,3333.9087,508.4958,2611.6251,1663.2266,72.6978,0
2011-03-26,2555001.5461,1332554.8179,275466.6553,136017.0233,92703.8801,58294.7378,45652.5316,58769.2267,31686.0399,70888.6011,20797.9111,27871.3066,20586.8853,8008.8103,1390.5444,486.6411,3017.1574,4124.0311,12.1067,0
2011-03-27,2553381.3964,1349706.6140,102178.2412,108142.6402,73403.7866,61189.0844,43297.0612,75683.9555,24744.9156,61942.4503,4673.4268,28979.7065,19965.5769,7738.4895,1734.0688,309.0612,2749.2619,2131.0577,101.9155,0
2011-03-28,2565989.5633,1304434.6222,368520.4443,91360.4201,50019.3033,70536.5690,37890.9330,78197.6864,42209.4710,51751.2453,8109.1911,23842.6067,21072.2311,8017.7691,712.1022,471.3045,4089.9255,1869.2023,456.5067,0
2011-03-29,2279433.2699,1351149.5605,363431.4610,118049.6567,55551.4373,64991.0578,10139.8699,79791.6998,61316.6891,29184.8667,7712.0532,15652.4820,20324.0266,7680.1641,2237.1999,447.0011,3369.4609,5069.9666,226.2756,0
2011-03-30,2386111.6029,1400240.9205,387980.8715,178575.7064,63744.3772,75335.9112,51853.2368,63015.7647,13287.6401,41274.2373,11029.1535,30113.0403,17144.2799,7939.3859,3007.1467,326.4566,2131.8522,5147.6844,181.9645,0
2011-03-31,2537641.8430,1377056.3195,382818.1168,140334.6632,120617.0813,48318.8266,42995.0509,59095.3647,52109.8086,29238.1019,8155.0423,32186.7466,21149.2290,7683.4186,1864.8756,395.4777,1655.6631,5033.1399,26.8356,0
2011-04-01,1983002.3500,1305637.0222,397399.2649,29055.6267,98977.2371,51388.9244,49145.1864,35822.0156,49610.0222,22599.8375,14366.6821,29155.0756,20625.1656,8063.5747,750.9888,458.8757,1561.8315,3742.0666,204.4178,0
2011-04-02,2135092.2166,1286654.1601,393924.2421,0,72506.0378,97776.5332,47718.4581,20303.5911,34274.5334,21561.6129,25520.7733,30750.1579,17670.8385,7680.1922,284.0378,1312.1655,1477.3996,25677.8889,99.4978,0
2011-04-03,2616782.6768,1182300.5202,387747.0022,48439.1868,56552.5688,69103.2711,51298.4245,24567.7024,17485.1866,19151.7421,20390.4666,32520.5201,18169.6288,7680.1142,261.4844,449.7967,1535.9911,6835.0045,27.8711,0
2011-04-04,2524673.7787,1234921.6837,399524.1322,94260.6700,49881.6711,70088.3555,50434.3252,39382.0669,24883.5420,25059.6683,12737.4957,32257.4001,21096.6899,8505.7412,1381.5756,162.3233,1339.2492,3949.9777,190.9823,0
2011-04-05,2466176.8766,1309286.9691,398278.5183,59913.6367,68104.0889,102518.5245,64694.2201,71867.7601,38131.8977,35814.5601,10823.1512,33017.4468,20026.4094,11028.8899,1935.0822,592.0367,1774.8881,4266.6488,60.0089,0
2011-04-06,1593841.7366,1279242.6054,388401.9054,65168.7966,88317.2801,67936.1423,62366.4300,93597.2686,33977.1198,21514.0055,22832.7578,31889.6446,19551.3446,11647.6489,4253.5067,1602.6723,1521.2727,3291.3400,107.1733,0.0578
2011-04-07,2698507.7733,1293482.9371,420967.4799,143282.1734,92172.4809,54192.6932,62870.4231,48820.7976,44785.5957,17240.1643,14764.2288,17823.6678,16903.6535,7875.9981,5761.6267,2421.6478,1920.1897,617.8889,29.5067,0.1933
2011-04-08,2593280.2163,1292010.4487,427937.0223,107553.7066,104750.9777,3014.6844,59759.9832,63133.3910,37059.9867,39650.3917,28996.6375,10505.1267,17705.2024,7835.7713,2188.4713,3707.4421,1592.9644,753.5734,108.9600,0.2172
2011-04-09,2543288.4165,1256186.6400,412190.8024,2703.8399,125210.3037,8454.0444,50630.8437,76736.9244,16903.6534,21056.5956,34422.3110,8137.7758,15332.2832,7680.6639,5508.2310,4033.9842,1171.7083,975.9067,0,0.2066
2011-04-10,2451724.3563,1212606.0319,394250.0712,0,109362.4999,62707.3599,45176.8852,47028.2644,11832.8178,24602.2532,36751.7778,5094.6133,15974.6755,7683.3156,898.3312,4279.1843,1285.7550,1526.0534,0,0.2055
2011-04-11,2472022.4391,1289853.6839,408271.3479,109861.4235,85418.8427,70140.4623,49078.1398,50793.9490,25238.0489,15668.2122,30306.5556,4414.8555,17858.6518,7974.1847,189.3666,6225.4266,2067.9042,1171.8511,0,0.1956
2011-04-12,2404041.3073,1268383.4227,389587.0469,163915.8174,124100.3452,77146.9868,61961.6149,48121.4512,61866.4669,25805.1000,33747.9000,4411.1889,17692.1857,9689.9291,2853.4843,5524.3601,2053.6124,912.8755,10.2400,0.1594
2011-04-13,2512112.4032,1203700.0041,408861.4879,190994.7266,137644.9426,60428.4622,56075.9423,39365.4153,71588.1155,19529.4995,28936.6445,3539.2422,18944.5200,19307.7390,3960.2046,5122.3978,1848.3054,1886.4710,3.6044,0.1861
2011-04-14,2578882.9665,1284780.3607,412582.9352,257655.2701,106661.3247,34435.9822,54465.9240,71406.9444,75322.7509,20029.8612,26353.7533,3230.8224,19776.2411,12720.7990,2128.0312,6092.6598,1810.8303,2191.4400,3.5822,0.1872
2011-04-15,2482315.5464,1217160.6357,415955.6176,173527.6294,122692.9548,49800.1245,55641.9422,43850.5890,57670.5552,1087.7212,21866.1667,4027.6778,16136.5043,4246.5380,2169.0443,6768.7566,2124.6005,1733.0978,57.0844,0.1728
2011-04-16,2217670.6968,502257.7514,424168.9356,89852.2468,112154.9773,68742.3998,58117.2047,26693.5508,77638.8712,0,14187.1867,4076.9489,17468.2997,3871.2166,389.4356,6625.1200,2076.9166,1502.5245,0,0.1989
2011-04-17,2479444.5468,783127.8541,404381.0978,94863.9869,120758.9646,29798.2399,59947.1896,52892.3513,78109.4709,0,9154.8444,13930.3754,19490.5811,3843.4278,395.7089,6570.6799,1639.7429,557.8578,0,0.2012
2011-04-18,2533417.4100,1272654.4534,404252.7354,224034.9399,108769.9042,62884.1779,58039.2908,68695.4733,67677.5071,0,35031.1666,16105.8844,21224.6563,4070.7222,3734.7553,5592.7478,1022.6284,775.4977,38.2978,0.1573
2011-04-19,2386958.4038,1312825.5791,423875.2923,59297.3168,74251.3355,70908.9779,50014.1188,58005.5577,46119.1327,0,40748.4755,4472.5689,20360.8998,5180.3253,4357.2866,4314.5732,1995.4667,583.5490,76.7467,0.1494
2011-04-20,1315651.0667,1245792.3107,428096.9410,132818.1968,85931.7599,71278.4534,48692.3875,50165.4468,48658.8977,0,40179.8489,13733.9088,20699.6577,5033.9620,3129.6021,2671.0354,2237.2769,54.1533,34.4889,0.2022
2011-04-21,2699943.6934,1087250.3726,410784.4770,338764.5635,110787.2950,69505.8490,44776.7376,58362.4088,77166.1062,0,34045.9734,22837.3822,14271.3012,5176.1700,1962.7399,1478.3633,2646.7228,124.3712,18.4400,0.1967
2011-04-22,2667551.3765,558497.0093,394075.2169,139870.1592,116927.0874,49984.5513,35731.2371,52942.7401,80624.1242,0,19819.2402,22674.2936,14044.0787,5231.2928,1834.0311,779.2533,2454.5402,546.0578,77.5955,0.2000
2011-04-23,2669229.1966,148054.3862,381203.2788,1269.8000,145919.2333,74036.3198,49720.2717,62004.9268,79570.9376,0,43.0044,21960.2778,18925.0209,4806.7239,2953.4778,1054.4932,2061.1158,609.0489,0,0.2061
2011-04-24,2498927.0890,676160.9468,405556.4424,161724.7936,94906.8602,70297.2622,47896.4902,82329.1111,65803.0222,0,13102.3956,22385.5934,17765.8644,4572.8611,4010.7132,984.3144,2057.6278,146.5022,1.2889,0.1933
2011-04-25,2485110.7394,1104667.1149,422304.1854,310293.6233,58544.6931,55418.6312,48714.7196,82364.3267,76355.7019,0,34299.4953,24760.4800,15020.0322,4320.0000,1599.7311,1288.9532,1896.5914,807.0756,64.0800,0.1661
2011-04-26,2200313.3002,1207229.8324,425154.1501,287531.1500,117397.0817,54819.9644,58415.1227,61844.0001,71573.4445,0,37813.1332,28422.4267,15145.3135,4322.0333,2572.1712,1268.7011,1953.6412,1199.9955,22.9022,0.1883
2011-04-27,2248249.8669,1275595.4803,355583.6021,353272.6999,158476.0598,44026.1157,72464.5346,73811.2753,78714.9868,0,28885.1886,21588.3245,19463.8157,4325.5134,4279.8511,1013.2067,1989.3125,1058.6777,50.6267,0.1844
2011-04-28,2706045.4966,1333342.1153,312506.6425,113124.5962,158737.7218,45555.1288,70100.1543,63371.4553,79606.1736,0,34907.1530,25085.9467,19303.1776,4344.7430,958.4154,1499.1677,1895.3281,140.6844,40.0845,0.1900
2011-04-29,2124410.1104,1341985.2801,321597.9024,218885.9530,182819.5566,44438.7731,49312.9398,65501.9844,84786.7339,0,41181.3956,24369.8179,19702.1233,6753.6028,4175.6553,1284.8800,2025.1195,0,85.7511,0.2012
2011-04-30,1242.2367,1358750.1377,133.9645,407957.1030,148752.6731,118870.8978,39734.2645,56662.0489,84470.9600,0,42533.0223,30154.6046,19384.4712,14513.4937,431.8133,981.5554,2010.4937,18.2044,2.3733,68.8226
2011-05-01,2418299.9400,1354267.0932,209722.6256,401612.3770,142910.6150,101463.2532,35787.8415,51511.3425,81330.2490,0,36683.7847,30203.8200,19510.9101,9670.2172,2196.5178,702.9355,1818.1871,71.8489,16.7956,0.2040
2011-05-02,2579970.8068,1275249.7682,325830.6404,329313.7798,134397.7171,146207.0222,53241.0674,67463.2955,80803.0357,0,27564.1555,25277.3688,20104.5199,7716.6674,314.4445,770.1833,2151.8980,0,68.9556,0.1440
2011-05-03,2617570.5000,1265215.5111,347553.1234,167878.1734,168551.8516,108286.3289,68647.5910,69773.6577,79510.8401,0,28086.9245,19702.5756,19764.1026,19136.5292,1726.4978,1483.6366,2847.9235,0,35.2222,0.0966
2011-05-04,2508422.7463,1192364.5427,380535.9548,401018.1629,194561.3236,70573.4578,58736.4508,77090.9554,85469.4046,0,29383.9289,17793.9912,16551.8011,14402.8666,4580.2777,5443.9800,3008.0170,313.7422,149.8577,0.0283
2011-05-05,2392217.6872,1276846.9343,371089.7625,403045.8665,158498.9360,83631.8577,78930.7579,67494.4109,80236.0975,0,21298.8222,17701.6866,12202.7278,12503.5248,1091.1889,6987.3419,2481.8100,1587.4023,48.8222,0
2011-05-06,2504306.4064,1242761.2399,359253.9379,323159.9798,156416.2421,77678.6310,79593.3707,48876.4778,87980.5914,0,19950.8600,17249.0311,16341.1578,4348.2541,5346.6775,5245.0389,1910.8839,1200.6422,161.0178,0.0634
2011-05-07,2672261.4471,1208803.1822,392041.3667,385075.8897,111393.8337,66762.8445,71305.2274,66633.2422,81255.3200,0,22702.6977,15017.0198,15666.5021,4320.1036,2218.3022,6487.3389,2343.0769,31.7422,79.5823,0.1578
2011-05-08,2657914.6201,1223408.3302,357209.5214,409532.4697,94131.5571,74614.7378,66364.2744,41036.1977,69551.1289,0,27948.9846,23585.0155,14456.2722,4320.1031,3252.0444,6232.2975,2614.8946,0,8.6000,0.1878
2011-05-09,2643225.6604,1298443.9338,228643.2649,378917.1267,107784.2182,62065.2801,83162.2669,41097.2355,72122.5735,0,25323.9268,27776.5734,13950.0631,4320.1014,2179.8555,5710.0434,2318.8189,104.2000,255.8400,0.1949
2011-05-10,2296054.4207,1270248.8492,383559.8425,311297.2001,123817.6006,99820.8709,75174.0648,45511.0068,50264.1914,0,9146.0133,28640.9447,8086.9526,4320.1017,1824.1135,5466.4046,2063.8319,278.6466,362.5065,0.1973
2011-05-11,2491249.5335,1309696.3307,358952.4921,366143.1933,171974.0887,113700.0358,79995.3561,80268.5423,24709.7643,0,27018.9112,28202.1577,5072.8520,4320.1025,4183.4400,5727.0255,1601.1987,245.8134,377.1956,0.2283
2011-05-12,2363145.2901,1280516.7599,378402.9937,357516.5501,212572.2751,98403.4668,83027.1954,64037.2824,73478.4000,0,31973.9089,29214.7244,16585.6134,4545.5595,4386.6599,6906.8657,1578.0655,163.7355,83.0089,0.1934
2011-05-13,2201126.8368,1328247.8137,418855.7945,429645.7433,187700.8730,72026.2932,97173.0952,63685.6200,68041.0492,0,28575.4712,28754.8778,18746.0720,7566.2314,6089.4176,5485.7367,1952.5131,3.0756,91.1822,0.1972
2011-05-14,2582681.2062,1313173.4267,401097.2965,437271.7402,200062.5680,108829.8490,111668.4678,80787.8466,56842.0488,0,20011.1244,29203.9268,17390.1635,4479.2533,6667.2422,5988.4967,1531.0238,0,41.3200,0.1982
2011-05-15,2207040.5894,1220430.2086,380912.2077,400104.7335,182734.0795,89995.0756,120121.4804,34035.4267,46921.8977,0,26163.7199,29039.9956,17120.2887,4506.6303,1857.4800,5379.9265,1370.5935,0,88.1200,0.1967
2011-05-16,2084028.2901,1287832.5070,378213.9213,445444.7697,222364.7877,42895.1466,98393.8776,51409.8934,64121.7203,0,30406.4511,29068.4467,11102.9268,4792.0423,4733.5868,6994.4669,3092.4445,888.3334,293.2444,0.1945
2011-05-17,2150872.1831,1328380.1924,366283.4579,365008.7364,223576.8031,8409.0311,79997.3163,58917.1447,74887.0137,0,32775.1735,28687.8089,13366.5722,7286.4442,7363.2465,7105.8099,1329.9113,2752.1845,557.8666,199.6589
2011-05-18,2158204.4599,1262051.1029,368115.6688,405283.2668,188751.7436,3743.9111,72447.2053,62371.1443,82964.4935,0,35933.2020,28044.0556,18404.2188,4320.0692,4277.8200,6980.7634,2053.6097,1534.6267,481.7200,180.7594
2011-05-19,2031631.7404,1301402.3201,385289.3401,331098.4997,161198.4199,38271.9823,54356.9195,55894.4954,70087.6358,0,23444.9866,28849.2802,10146.8878,4380.6909,8282.5000,7212.4833,1570.0328,553.2267,184.7555,0.1678
