Day,[OSG] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[PSC BRIDGES] Number of Jobs Running,[CCT LSU SUPERMIC] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[PSC GREENFIELD] Number of Jobs Running,[PSC BRIDGES LARGE] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[Stanford XSTREAM] Number of Jobs Running
2016-03-02,79801,3463,4447,2185,433,0,185,143,30,0,0,0
2016-03-03,97092,4950,4629,727,401,0,165,96,54,0,0,0
2016-03-04,116441,4116,5589,1034,183,0,90,36,22,0,0,0
2016-03-05,16173,2819,4889,1724,241,0,102,19,25,0,0,0
2016-03-06,19876,2643,4720,1867,225,0,121,25,18,0,0,0
2016-03-07,75537,4048,5459,1124,297,0,106,87,22,0,0,0
2016-03-08,197882,3509,5342,1775,141,0,160,185,28,0,0,0
2016-03-09,9147,7101,5674,2521,155,0,128,194,26,0,0,0
2016-03-10,18193,3911,5941,1275,195,0,162,359,31,0,0,0
2016-03-11,80747,3589,5760,909,327,0,125,534,19,0,0,0
2016-03-12,77528,1969,3407,587,66,0,79,298,12,0,0,0
2016-03-13,111657,828,4075,248,108,0,146,115,32,0,0,0
2016-03-14,106429,6609,6416,810,272,0,123,234,4,0,0,0
2016-03-15,85557,9558,7828,929,351,0,111,205,42,0,0,0
2016-03-16,93869,17674,6177,1132,244,0,107,126,44,0,0,0
2016-03-17,34477,12331,5542,1183,265,0,95,206,36,0,0,0
2016-03-18,32110,4289,5546,1148,375,0,92,194,29,0,0,0
2016-03-19,64615,3358,4822,836,572,0,54,166,24,0,0,0
2016-03-20,63282,3693,3131,819,178,0,101,119,15,0,0,0
2016-03-21,67135,12778,3830,1196,257,0,136,146,21,0,0,0
2016-03-22,53980,11057,3365,1311,341,0,95,297,24,0,0,0
2016-03-23,47884,7544,4174,1306,297,0,203,180,17,0,0,0
2016-03-24,94210,10425,3616,1341,388,0,170,204,35,0,0,0
2016-03-25,35595,20143,3141,1164,231,0,132,190,24,0,0,0
2016-03-26,27177,25400,3352,740,239,0,50,88,9,0,0,0
2016-03-27,33589,10861,3239,829,211,0,87,71,35,0,0,0
2016-03-28,34382,14319,4246,1282,1771,0,93,72,57,0,0,0
2016-03-29,54648,15959,3144,1623,671,0,143,112,17,0,0,0
2016-03-30,14791,25262,2986,1234,548,0,143,123,23,0,0,0
2016-03-31,3851,11896,2340,2174,330,0,118,124,48,0,0,0
2016-04-01,11774,17568,4747,1404,203,0,237,80,37,0,0,0
2016-04-02,6850,25242,3736,1365,206,0,378,36,28,0,0,0
2016-04-03,70239,10831,5294,1050,78,0,272,21,24,0,0,0
2016-04-04,103818,9056,4565,1972,125,0,273,171,36,0,0,0
2016-04-05,53315,8845,4466,1808,115,0,174,36,43,0,0,0
2016-04-06,28349,10722,3557,1414,196,0,181,77,47,0,0,0
2016-04-07,24777,23915,3796,1614,140,0,125,149,55,0,0,0
2016-04-08,49577,29256,4998,1313,92,0,209,181,38,0,0,0
2016-04-09,23470,17152,3136,600,104,0,154,112,33,0,0,0
2016-04-10,74539,16772,3270,696,361,0,176,215,20,0,0,0
2016-04-11,60396,21972,3327,2115,238,0,175,260,33,0,3,0
2016-04-12,17930,13858,3508,2078,272,0,126,349,42,0,0,0
2016-04-13,48718,8536,3371,1196,254,0,122,257,61,0,0,0
2016-04-14,46157,10879,3008,1119,309,0,214,147,47,0,0,0
2016-04-15,42198,6892,3327,1423,189,0,238,64,59,0,0,0
2016-04-16,83539,6754,2610,914,75,0,69,49,20,0,0,0
2016-04-17,126593,23951,3295,780,98,0,26,52,40,0,0,0
2016-04-18,82848,14838,3838,1072,139,0,0,51,85,0,0,0
2016-04-19,66742,10013,5190,1159,192,0,83,116,59,0,0,0
2016-04-20,104048,11931,5072,2210,291,0,346,214,55,0,0,0
2016-04-21,40165,18279,5045,1631,341,0,114,165,31,0,0,0
2016-04-22,43121,22873,4039,1377,318,0,228,82,30,0,0,0
2016-04-23,145457,10634,1512,1402,0,0,128,68,17,0,0,0
2016-04-24,147991,11013,3649,1461,0,0,73,71,7,0,0,0
2016-04-25,149086,13711,4661,1523,23,0,66,89,49,0,0,0
2016-04-26,74595,16782,5718,1801,930,0,167,87,0,0,0,0
2016-04-27,80463,17025,5433,1511,449,0,129,119,16,0,0,0
2016-04-28,78947,17211,6249,1754,228,0,88,67,12,0,0,0
2016-04-29,66193,19038,5534,1279,475,0,510,48,13,0,0,0
2016-04-30,187371,19808,3596,1423,157,0,248,48,5,0,0,0
2016-05-01,214088,22180,5321,1340,2300,0,151,44,0,0,0,0
2016-05-02,320480,16369,6534,1694,6297,0,243,36,21,0,1,0
2016-05-03,321595,11741,2008,1457,369,0,417,52,27,0,0,0
2016-05-04,145346,9869,5123,1434,634,0,199,69,42,0,0,0
2016-05-05,102484,14697,4451,1295,945,0,78,46,29,0,0,0
2016-05-06,163221,13419,5236,1476,732,0,83,97,10,0,0,0
2016-05-07,167209,14760,3167,1340,332,0,83,67,9,0,0,0
2016-05-08,324605,17978,3411,1412,956,0,78,91,3,0,0,0
2016-05-09,252581,15043,3930,1460,1012,0,117,102,3,0,0,0
2016-05-10,263160,19002,4412,1508,842,0,89,83,15,0,0,0
2016-05-11,247231,21144,4585,1310,1256,0,59,66,32,0,0,0
2016-05-12,145472,22032,4116,1736,644,0,72,38,39,0,0,0
2016-05-13,135842,21452,4763,1621,603,0,51,51,20,0,0,0
2016-05-14,133330,6338,3306,726,172,0,65,27,16,0,0,0
2016-05-15,158877,5976,4700,810,605,0,62,30,13,0,0,0
2016-05-16,185743,6977,5082,1319,1462,0,122,45,7,0,0,0
2016-05-17,193290,7841,5743,1728,501,0,56,78,17,0,0,0
2016-05-18,128594,8472,4074,1752,1125,0,137,144,18,0,0,0
2016-05-19,137371,11157,4543,2688,861,0,294,132,7,0,0,0
2016-05-20,122124,5506,4106,1804,472,0,170,116,10,0,0,0
2016-05-21,79241,3550,2957,1519,17,0,63,34,5,0,0,0
2016-05-22,92585,6369,4442,1141,595,0,187,38,2,0,0,0
2016-05-23,75943,6413,4841,843,1134,0,98,28,2,0,0,0
2016-05-24,45817,6589,5676,1178,980,0,181,60,2,0,0,0
2016-05-25,66138,6477,4644,1453,977,0,129,71,27,0,0,0
2016-05-26,61722,7413,3948,1967,869,0,159,118,19,0,0,0
2016-05-27,125448,6869,3953,1185,361,0,56,97,21,0,0,0
2016-05-28,72007,4589,2718,986,109,0,63,72,4,0,0,0
2016-05-29,89269,6294,3769,1160,703,0,54,76,4,0,0,0
2016-05-30,85578,4799,4670,1522,829,0,125,148,6,0,0,0
2016-05-31,61613,4919,4295,993,1016,0,82,110,11,0,0,0
2016-06-01,61326,4585,4417,1058,681,0,104,190,44,0,0,0
2016-06-02,73343,10903,4552,1183,1007,0,48,116,47,0,0,0
2016-06-03,77637,8518,4068,1121,668,0,91,267,59,0,0,0
2016-06-04,104928,7059,2455,928,132,0,52,145,15,0,0,0
2016-06-05,50612,7819,3515,1226,232,0,140,118,20,0,0,0
2016-06-06,107413,7106,3070,1655,316,0,94,254,45,0,0,0
2016-06-07,108335,6734,3040,1261,410,0,49,304,30,0,0,0
2016-06-08,95774,5356,2668,1714,283,0,33,241,19,0,0,0
2016-06-09,102650,7916,2036,1368,134,0,48,133,18,0,0,0
2016-06-10,144208,5388,2712,1109,84,0,23,86,19,0,0,0
2016-06-11,71589,2045,2148,862,224,0,48,155,6,0,0,0
2016-06-12,65611,5799,2512,915,124,0,54,102,7,1,0,0
2016-06-13,200225,14233,3241,1492,187,0,72,116,5,1,0,0
2016-06-14,70643,8432,2868,1282,202,0,46,142,14,1,0,0
2016-06-15,105359,7711,2783,1374,828,0,321,115,19,1,0,0
2016-06-16,99240,8911,2112,1537,1219,0,101,119,16,1,0,0
2016-06-17,121238,9500,2256,1245,657,0,138,260,17,1,0,0
2016-06-18,162325,10172,2674,674,200,0,100,158,9,1,0,0
2016-06-19,218752,1425,2047,383,1290,0,108,53,30,1,0,0
2016-06-20,208957,4294,3170,947,1122,5,263,67,10,1,0,0
2016-06-21,88678,8281,3243,1100,1698,97,315,103,18,1,0,0
2016-06-22,69879,11401,3885,984,1840,517,199,95,24,1,0,0
2016-06-23,77675,6369,2712,969,2058,821,108,90,52,0,0,0
2016-06-24,89269,6314,3241,1357,710,1192,37,126,23,18,0,0
2016-06-25,115447,4621,2527,622,201,536,43,114,6,10,0,0
2016-06-26,85857,2093,2869,616,1018,441,64,83,14,5,0,0
2016-06-27,28849,4587,3878,1034,1262,1393,132,92,23,4,0,1
2016-06-28,2492,4418,3170,876,1245,1662,128,84,29,9,0,0
2016-06-29,98756,4601,3127,992,800,542,108,107,19,9,0,0
2016-06-30,50100,4520,3495,793,36,866,79,96,32,11,0,0
2016-07-01,42832,17002,3666,933,0,1130,85,99,19,10,0,1
2016-07-02,46020,20369,2121,471,0,484,63,35,15,17,0,11
2016-07-03,69021,19418,2656,378,0,290,68,51,2,19,0,0
2016-07-04,72984,12790,2804,385,0,568,79,78,4,10,0,0
2016-07-05,112005,23718,3388,679,0,277,119,83,16,4,0,0
2016-07-06,110664,8797,3036,946,0,150,5,117,15,2,0,0
2016-07-07,116425,9677,3177,1008,0,0,0,143,17,2,0,0
2016-07-08,48650,6977,2911,1101,0,536,0,108,8,20,0,0
2016-07-09,46512,11154,2581,813,0,463,0,82,2,3,0,0
2016-07-10,86631,16003,2592,819,0,336,0,112,31,5,0,0
2016-07-11,86148,8833,3889,1033,0,454,0,101,8,28,0,0
2016-07-12,53151,9369,4079,943,0,583,0,118,26,29,0,3
2016-07-13,24375,11680,4424,1339,0,1197,0,99,24,22,0,0
2016-07-14,20511,13941,4698,1347,0,1416,0,94,9,11,0,0
2016-07-15,30226,15790,3553,803,0,1759,0,92,9,19,0,0
2016-07-16,35733,10936,2835,601,0,1939,0,94,7,11,0,0
2016-07-17,22666,13320,2431,621,0,1135,0,78,0,28,0,0
2016-07-18,60362,9129,4090,1069,0,1519,0,68,2,8,0,0
2016-07-19,73095,1408,2331,1017,0,3694,0,151,6,16,0,0
2016-07-20,55390,7175,2946,1490,0,1425,0,106,15,30,0,0
2016-07-21,47084,14096,4416,2025,0,1170,10,80,5,17,0,0
2016-07-22,90709,10137,12221,1160,0,886,45,74,5,20,0,0
2016-07-23,136711,16519,4285,877,0,1146,90,82,15,40,0,0
2016-07-24,137933,12930,2646,650,0,1388,95,90,1,11,0,0
2016-07-25,176912,10761,7027,1252,0,1406,872,65,1,45,0,0
2016-07-26,88456,12551,10101,1179,0,2240,506,93,3,51,0,0
2016-07-27,60931,6882,9697,1083,0,984,609,49,4,90,0,0
2016-07-28,51492,16023,563,1287,0,1151,221,2,2,49,0,2
2016-07-29,120367,13531,1704,1781,0,109,75,23,10,0,0,1
2016-07-30,158057,14841,2783,770,0,26,245,58,1,2,0,0
2016-07-31,283604,5879,2931,444,0,1066,426,67,2,4,0,6
