title
"Number of Jobs Running: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[OSG] Number of Jobs Running","[TACC STAMPEDE] Number of Jobs Running","[SDSC GORDON] Number of Jobs Running","[SDSC TRESTLES] Number of Jobs Running","[NICS DARTER] Number of Jobs Running","[GATECH KEENELAND] Number of Jobs Running","[TACC MAVERICK2] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC LONESTAR4] Number of Jobs Running","[CCT LSU SUPERMIC] Number of Jobs Running","[NICS NAUTILUS] Number of Jobs Running","[GATECH KIDS] Number of Jobs Running"
2014-09-29,0,7723,1043,1081,804,239,198,172,561,0,5,0
2014-09-30,0,3527,1073,1567,796,115,116,101,254,0,4,0
2014-10-01,0,14981,1196,1349,120,241,83,80,193,0,5,0
2014-10-02,0,4676,2450,2108,112,210,290,82,282,0,6,0
2014-10-03,0,4177,2199,1368,240,212,91,64,314,17,11,0
2014-10-04,0,3236,1836,1110,247,103,126,119,327,0,23,0
2014-10-05,0,3671,1184,688,103,202,162,79,21,0,29,0
2014-10-06,0,9425,1111,777,448,273,317,112,26,10,12,0
2014-10-07,0,7285,1208,760,655,241,209,78,30,0,35,0
2014-10-08,0,3354,1551,922,304,399,185,113,12,1,0,0
2014-10-09,0,3910,1746,596,1163,512,190,121,37,4,0,0
2014-10-10,0,5007,1467,609,329,587,100,91,65,8,0,0
2014-10-11,0,3182,1814,438,21,180,105,79,43,1,0,0
2014-10-12,0,3962,2311,471,195,587,224,79,33,0,0,0
2014-10-13,0,5422,2012,1380,819,687,113,81,232,5,0,0
2014-10-14,0,9609,2024,1870,1401,372,204,122,215,4,14,0
2014-10-15,0,7826,2011,1219,1174,412,215,107,26,12,8,0
2014-10-16,0,4338,1912,3032,3262,657,191,106,30,6,43,0
2014-10-17,0,4584,2387,1105,599,563,149,109,52,32,4,0
2014-10-18,0,4459,2199,722,350,576,94,67,68,0,5,0
2014-10-19,0,2494,2647,513,1237,433,43,74,20,0,7,0
2014-10-20,0,4133,2222,1066,647,388,108,119,34,5,5,0
2014-10-21,0,1290,1711,821,1960,753,39,93,36,6,6,0
2014-10-22,0,4120,1313,944,370,630,154,70,51,3,2,0
2014-10-23,0,3428,1419,1184,2628,696,99,69,96,0,3,0
2014-10-24,0,8445,3090,1045,2782,553,68,99,45,0,4,0
2014-10-25,0,5409,2803,586,1149,533,72,70,31,0,3,0
2014-10-26,0,4763,2217,526,769,541,169,99,37,0,3,0
2014-10-27,0,4368,1431,1023,1234,802,199,76,146,0,5,0
2014-10-28,0,1737,1363,1907,1080,831,136,78,131,0,5,0
2014-10-29,0,3719,2594,923,584,1229,61,98,175,0,3,0
2014-10-30,0,4243,2236,1275,595,515,68,127,113,0,5,0
2014-10-31,0,5539,1348,1060,1198,570,67,78,77,9,3,0
2014-11-01,0,3987,1005,337,117,1081,39,81,27,7,1,0
2014-11-02,0,4289,826,1873,1739,571,29,55,23,7,1,0
2014-11-03,0,5567,1638,1003,836,1277,39,148,63,9,5,0
2014-11-04,0,5390,1352,2782,363,478,39,188,70,7,6,0
2014-11-05,0,6224,1764,1642,437,877,41,186,59,7,1,0
2014-11-06,0,4060,1322,1067,1768,2003,39,169,53,14,0,0
2014-11-07,0,4477,1185,839,552,632,53,470,171,15,6,0
2014-11-08,0,6080,1079,540,313,970,42,477,37,6,3,0
2014-11-09,0,5415,1374,605,350,696,25,73,20,10,3,0
2014-11-10,0,3991,1733,790,377,1683,29,864,65,7,5,0
2014-11-11,0,3305,1821,778,599,1292,19,779,62,5,2,0
2014-11-12,0,3867,2262,945,561,2075,17,249,44,17,8,0
2014-11-13,0,4869,1595,1807,614,2504,32,381,80,7,43,0
2014-11-14,0,3998,1524,655,324,1475,61,244,83,16,27,0
2014-11-15,0,2982,1295,462,117,1812,7,146,44,6,6,0
2014-11-16,0,5520,2027,428,180,670,72,288,97,8,10,0
2014-11-17,0,4162,2406,1062,294,693,89,547,221,6,6,0
2014-11-18,0,4476,2096,1076,384,590,51,391,164,6,7,0
2014-11-19,0,3963,2259,1378,118,591,88,114,182,7,12,0
2014-11-20,0,3975,1527,1824,187,392,62,104,175,13,6,0
2014-11-21,0,4009,1593,1657,212,633,87,149,59,8,2,0
2014-11-22,0,3330,1278,1232,51,882,140,94,38,7,1,0
2014-11-23,0,3530,1588,673,24,532,340,75,41,9,1,0
2014-11-24,0,3754,1287,1790,581,747,198,114,55,8,2,0
2014-11-25,0,1594,1235,2632,124,578,190,103,72,17,1,0
2014-11-26,0,3773,1074,1125,112,561,119,91,54,11,1,0
2014-11-27,0,2440,1142,848,74,454,81,106,69,6,1,0
2014-11-28,0,2747,1130,1005,80,616,106,83,42,6,1,0
2014-11-29,0,2910,1206,631,29,854,156,50,111,5,1,0
2014-11-30,0,2830,1378,428,71,393,205,67,104,7,4,0
2014-12-01,0,7992,1032,929,169,1116,121,124,184,7,1,0
2014-12-02,0,5227,906,2153,199,273,99,137,88,7,3,0
2014-12-03,0,4873,1714,4237,73,341,60,109,75,7,0,0
2014-12-04,0,2682,1167,986,162,639,183,117,90,80,3,0
2014-12-05,0,2699,1142,3037,279,578,218,207,69,16,2,0
2014-12-06,0,2839,1041,3793,61,579,167,27,86,6,5,0
2014-12-07,0,3238,1905,3494,144,1179,120,166,61,8,1,0
2014-12-08,0,4326,1510,2625,119,762,204,131,351,9,2,0
2014-12-09,0,5242,1800,3649,203,510,172,264,144,12,1,0
2014-12-10,0,4425,2364,4024,108,367,82,158,387,10,4,0
2014-12-11,0,4642,2453,3566,214,219,107,265,218,13,6,0
2014-12-12,0,3673,2271,900,355,313,152,136,604,24,9,0
2014-12-13,0,3280,2347,498,89,594,94,171,268,23,4,0
2014-12-14,0,5811,4535,411,118,561,55,176,110,17,1,0
2014-12-15,0,4007,5562,2500,115,978,141,161,118,53,1,0
2014-12-16,0,3130,2055,3565,55,1277,148,143,224,44,5,0
2014-12-17,0,3075,4094,1452,243,755,156,212,132,31,4,0
2014-12-18,0,3464,5533,994,8,358,171,191,170,34,1,0
2014-12-19,0,3173,3808,1778,29,609,108,178,470,23,2,0
2014-12-20,0,2620,5714,2242,25,786,81,106,350,19,1,0
2014-12-21,0,3766,3543,1404,103,740,91,71,305,16,1,0
2014-12-22,0,3615,4428,4611,51,1047,68,110,120,18,1,0
2014-12-23,0,3458,3286,2906,31,941,64,105,263,14,2,0
2014-12-24,0,2995,3031,1653,19,468,54,74,161,11,7,0
2014-12-25,0,2238,3227,951,25,385,28,157,124,12,7,0
2014-12-26,0,1821,4678,390,24,498,52,193,62,11,12,0
2014-12-27,0,2571,3263,524,32,515,28,177,46,14,13,0
2014-12-28,0,3792,3667,436,15,446,27,67,34,15,8,0
2014-12-29,0,2528,1332,842,30,519,95,52,58,13,9,0
2014-12-30,0,2927,1422,370,66,253,117,107,15,16,6,0
2014-12-31,0,4432,461,218,27,56,94,90,4,17,5,0
2015-01-01,0,2841,286,243,12,0,82,152,4,22,5,0
2015-01-02,0,3690,1253,695,4,0,87,293,1,18,5,0
2015-01-03,0,3039,3855,876,3,0,71,70,0,20,21,0
2015-01-04,0,180,7429,390,4,0,4,77,0,30,13,0
2015-01-05,0,471,2449,2450,18,0,18,110,0,30,2,0
2015-01-06,0,4204,2086,759,17,0,87,85,0,28,1,0
2015-01-07,0,4651,7758,1012,3,0,106,139,0,43,0,0
2015-01-08,0,4486,6718,1525,52,0,76,84,0,30,7,0
2015-01-09,0,4520,2289,428,28,0,76,74,0,21,15,0
2015-01-10,1,3354,2112,365,24,0,24,36,0,19,4,0
2015-01-11,1,3663,5982,359,23,0,25,103,0,27,3,0
2015-01-12,2,4720,2309,751,110,0,98,102,0,25,4,0
2015-01-13,4,1627,1777,1252,100,0,8,104,0,27,2,0
2015-01-14,14,3880,1942,981,72,0,88,164,0,30,4,0
2015-01-15,18,3878,4309,1546,127,0,130,157,0,23,16,0
2015-01-16,21,4930,4100,1408,74,0,101,187,0,40,4,0
2015-01-17,7387,3735,3136,1311,68,0,39,70,0,43,2,0
2015-01-18,69345,4276,5798,758,36,0,50,96,0,40,3,0
2015-01-19,64299,4769,4160,750,21,0,114,125,0,44,2,0
2015-01-20,95246,5151,2722,1333,287,0,53,113,2,46,1,0
2015-01-21,99799,5381,4817,3024,220,0,34,73,1,85,1,0
2015-01-22,54553,4923,3353,1094,124,0,46,137,1,59,6,0
2015-01-23,59527,5353,2314,1503,195,0,60,111,2,77,8,0
2015-01-24,77508,4136,4750,836,71,0,19,83,0,91,2,0
2015-01-25,88284,4654,1875,602,34,0,144,87,0,127,1,0
2015-01-26,102271,6608,2956,695,308,0,201,166,0,124,1,0
2015-01-27,56246,4428,4109,942,320,0,143,134,1,130,1,0
2015-01-28,42449,3939,3821,1046,119,0,81,134,2,156,0,0
2015-01-29,76401,4371,4457,1269,339,0,74,156,4,111,4,0
2015-01-30,108880,4786,1697,1379,171,0,59,238,1,105,4,0
2015-01-31,150279,4388,5131,582,108,0,16,98,0,105,1,0
---------
