title
"Number of Jobs Running: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Running","[NCSA ABE] Number of Jobs Running","[PURDUE CONDOR] Number of Jobs Running","[NICS KRAKEN] Number of Jobs Running","[TACC RANGER] Number of Jobs Running","[NICS ATHENA] Number of Jobs Running","[LONI QUEENBEE] Number of Jobs Running","[TACC LONESTAR] Number of Jobs Running","[PSC POPLE] Number of Jobs Running","[NCSA COBALT] Number of Jobs Running","[IU BIGRED*] Number of Jobs Running","[NCSA EMBER*] Number of Jobs Running","[NCAR FROST] Number of Jobs Running","[NCSA LINCOLN] Number of Jobs Running","[TACC LONGHORN] Number of Jobs Running","[ORNL NSTG] Number of Jobs Running","[SDSC DASH] Number of Jobs Running","[SDSC TRESTLES] Number of Jobs Running","[NICS NAUTILUS] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC SPUR] Number of Jobs Running"
2010-08-30,4427,3364,2226,1592,1920,89,225,546,125,181,69,0,14,36,11,54,1,0,0,0,2
2010-08-31,1553,3184,2147,1035,2248,166,387,307,161,246,55,0,22,36,12,49,11,0,0,0,6
2010-09-01,1934,2294,3859,560,2239,242,668,289,51,241,177,0,22,38,68,56,12,0,0,0,0
2010-09-02,1775,3681,1789,2561,1762,827,469,237,65,182,141,0,7,44,53,57,14,0,0,0,0
2010-09-03,2185,2797,1416,2026,1880,178,487,314,108,246,105,0,24,64,10,50,0,0,0,0,2
2010-09-04,1524,1845,1076,1487,1228,771,193,210,99,190,64,0,10,40,0,54,0,0,0,0,0
2010-09-05,3571,1111,516,943,1049,874,244,214,35,101,70,0,10,31,1,52,0,0,0,0,0
2010-09-06,1054,870,656,1528,1244,939,205,214,32,210,62,0,16,25,15,53,0,0,0,0,0
2010-09-07,693,1940,502,2333,1511,124,161,510,117,292,132,0,13,34,16,56,0,0,0,0,3
2010-09-08,839,883,103,647,1433,789,243,573,131,295,93,0,22,21,9,53,10,0,0,0,3
2010-09-09,2366,1188,26,1643,1124,213,198,423,132,271,218,0,22,56,7,56,23,0,0,0,5
2010-09-10,759,1759,6,1239,1113,259,232,482,142,206,274,0,30,36,3,58,18,0,0,0,3
2010-09-11,760,1704,0,526,1221,132,175,2109,85,128,246,0,31,14,5,52,4,0,0,0,3
2010-09-12,900,1862,0,1035,1271,82,253,2630,108,139,285,0,27,10,7,54,2,0,0,0,1
2010-09-13,1165,1006,471,2199,1441,169,280,1672,151,271,225,0,34,18,46,55,3,0,0,0,3
2010-09-14,1524,1185,1191,8494,1519,279,198,1970,107,236,203,0,34,28,17,52,3,0,0,0,14
2010-09-15,1251,1593,1683,204,1469,871,166,1713,140,246,100,0,35,44,19,53,9,0,0,0,10
2010-09-16,1898,1302,507,890,2572,244,582,326,150,76,74,0,28,14,13,54,4,0,0,0,5
2010-09-17,5274,274,2018,575,1397,234,709,881,73,17,90,0,23,4,7,57,0,0,0,0,2
2010-09-18,8176,450,1165,5366,1279,136,141,1964,81,29,76,0,14,41,6,54,0,0,0,0,0
2010-09-19,10606,432,331,2177,1500,141,137,1445,80,14,72,0,15,34,9,51,0,0,0,0,2
2010-09-20,12391,491,700,2322,1479,207,189,895,132,151,77,0,35,40,12,23,0,0,0,0,5
2010-09-21,1779,1407,1156,6245,1437,249,155,2419,123,237,42,0,50,57,50,7,0,0,0,0,3
2010-09-22,1426,1335,545,270,1227,307,218,2381,105,406,78,0,27,73,10,12,0,0,0,0,15
2010-09-23,1464,1393,430,812,1371,246,151,2149,113,479,48,0,22,59,8,20,0,0,0,0,10
2010-09-24,1161,828,88,2190,1473,308,130,2319,94,268,56,0,33,107,4,16,0,0,0,0,9
2010-09-25,5782,741,849,1068,1278,227,149,1779,38,262,39,0,17,52,0,16,0,0,0,0,0
2010-09-26,1142,1762,79,1111,1396,103,129,1895,34,117,51,0,33,84,0,11,0,0,0,0,3
2010-09-27,2031,1670,117,1693,1176,221,128,2014,70,266,45,0,40,51,8,15,0,0,0,0,13
2010-09-28,2479,530,218,1100,472,335,268,1267,67,352,48,0,47,55,0,13,0,0,0,0,0
2010-09-29,2260,1652,87,149,1823,249,137,1672,127,314,59,0,34,42,9,13,2,0,0,0,4
2010-09-30,2725,1136,27,514,1711,259,181,1700,139,266,44,0,19,54,12,14,0,0,0,0,7
2010-10-01,2445,1071,8,1159,1414,248,153,155,65,196,41,0,19,37,15,13,1,0,0,0,7
2010-10-02,2608,2705,15,920,1350,145,139,143,40,312,30,0,30,20,14,18,0,0,0,0,1
2010-10-03,2486,4276,8,1018,1377,196,137,128,136,225,28,0,17,12,11,12,0,0,0,0,4
2010-10-04,2931,2451,825,1403,1204,491,56,130,300,165,32,0,42,39,53,15,6,0,0,0,2
2010-10-05,3309,2110,832,1525,1086,505,91,191,118,124,81,11,32,62,28,14,11,0,0,0,9
2010-10-06,1795,5246,254,258,1000,184,153,146,70,231,61,20,37,71,35,16,7,0,0,0,4
2010-10-07,1609,6572,117,121,1038,273,215,172,102,208,62,8,51,36,53,12,9,0,0,0,27
2010-10-08,2535,6910,503,925,806,144,216,280,79,192,61,12,7,65,35,29,1,0,0,0,9
2010-10-09,4317,9132,138,1552,701,91,221,257,7,138,90,11,4,13,26,51,9,0,0,0,6
2010-10-10,1812,12706,100,1773,956,151,143,213,6,141,92,38,13,2,24,50,4,0,1,0,6
2010-10-11,386,7920,148,2734,807,171,173,132,87,254,86,13,19,25,52,50,7,0,0,0,4
2010-10-12,414,11711,923,6826,631,183,152,381,38,285,113,19,39,42,214,55,3,0,0,0,2
2010-10-13,3356,7341,1115,3802,861,191,200,220,1,227,143,21,14,39,132,51,13,0,5,0,11
2010-10-14,3011,7502,1971,1872,972,1916,174,134,6,262,94,12,21,53,57,53,45,0,0,0,24
2010-10-15,1877,3603,1565,1855,850,360,168,231,96,207,145,42,16,72,25,53,11,0,0,0,7
2010-10-16,1157,1764,575,1002,1363,243,151,250,109,143,99,12,9,45,29,53,30,0,0,0,4
2010-10-17,1383,5390,4117,1665,1337,88,145,298,148,127,122,3,12,30,16,58,16,0,0,0,0
2010-10-18,1539,5714,2508,1397,1221,199,153,493,181,195,115,33,8,76,31,45,15,0,11,0,3
2010-10-19,1899,2885,1910,1378,1052,139,186,421,103,220,69,51,41,48,17,8,9,0,3,0,0
2010-10-20,1796,6089,1711,982,1070,188,195,526,127,305,50,40,88,47,152,56,14,0,6,0,4
2010-10-21,1906,2299,4719,1110,1024,186,151,499,100,492,96,92,31,38,154,50,17,0,7,0,2
2010-10-22,1815,6693,764,1370,1167,289,237,504,204,298,75,24,35,40,59,51,28,0,2,0,1
2010-10-23,861,6622,499,1032,948,400,152,469,82,136,162,65,25,24,23,48,24,0,0,0,1
2010-10-24,1667,9336,699,1107,990,384,131,362,72,163,126,57,18,6,44,54,28,0,0,0,2
2010-10-25,1824,4515,1092,2241,1182,132,247,609,134,203,134,73,23,44,66,51,20,0,3,0,2
2010-10-26,1180,10188,1072,969,731,775,206,199,93,331,82,91,23,37,72,51,18,0,0,0,2
2010-10-27,2341,8276,3393,2852,47,482,174,257,175,524,71,123,19,100,31,29,10,0,0,0,0
2010-10-28,2295,6934,1909,3485,319,509,167,362,155,266,63,121,33,50,15,14,7,0,0,0,1
2010-10-29,1251,3518,1146,4894,1000,1676,182,266,151,178,77,66,31,55,5,15,20,0,0,0,3
2010-10-30,570,2979,772,1164,1243,1037,163,170,125,169,71,49,25,26,4,16,21,0,0,0,1
2010-10-31,909,5229,1726,3007,1286,220,142,204,64,140,80,41,31,73,13,14,18,0,3,0,0
2010-11-01,1299,4525,1928,4955,1493,2184,224,250,108,189,64,55,47,121,49,15,40,0,3,0,3
2010-11-02,2958,4830,3246,4103,990,1554,184,244,123,155,88,83,41,116,42,21,35,0,1,0,10
2010-11-03,7201,571,1168,519,1017,226,193,246,207,245,66,173,27,30,77,10,24,0,1,0,1
2010-11-04,4024,444,1279,95,997,225,247,246,156,229,94,175,46,37,35,14,32,0,2,0,6
2010-11-05,2339,1425,2089,524,1035,602,208,259,249,125,78,134,33,86,35,15,65,0,0,0,1
2010-11-06,1885,1289,293,662,785,983,137,233,166,35,116,101,20,72,24,0,7,0,0,0,1
2010-11-07,3388,1148,173,1099,392,483,174,85,146,11,126,100,12,24,24,0,2,0,0,0,0
2010-11-08,1654,511,845,2125,1067,440,227,225,121,8,251,218,7,93,71,0,18,0,0,0,4
2010-11-09,13973,798,146,5100,1192,525,218,317,123,5,84,163,25,71,205,0,35,0,0,0,3
2010-11-10,10447,856,1030,2413,1077,322,261,446,159,5,126,398,14,40,27,0,0,0,18,0,14
2010-11-11,6326,755,915,4634,1023,217,231,313,126,2,87,165,9,42,25,0,13,0,0,0,22
2010-11-12,1051,2077,721,2243,1013,165,190,326,134,0,120,117,8,41,28,0,7,0,0,0,10
2010-11-13,1049,1075,812,2484,643,287,151,234,38,0,70,159,14,18,18,0,2,0,0,0,8
2010-11-14,2884,679,818,1772,1061,243,128,194,33,0,44,57,11,24,30,0,1,0,0,0,7
2010-11-15,4097,359,1437,2231,1290,253,205,406,151,0,82,7,18,17,36,0,4,0,0,0,16
2010-11-16,5866,1059,809,1794,838,239,230,418,511,0,149,87,20,18,37,0,0,0,0,0,1
2010-11-17,6379,2351,1868,875,1021,232,359,344,347,0,139,202,7,44,62,0,59,0,0,0,9
2010-11-18,8127,1808,856,620,919,230,380,240,169,0,146,395,20,56,40,0,10,0,10,0,15
2010-11-19,4074,2089,4838,1768,840,461,329,228,148,0,123,271,16,37,46,0,8,0,7,0,19
2010-11-20,4463,6350,1195,0,1166,176,248,227,237,0,110,292,12,46,79,0,22,0,26,0,8
2010-11-21,2172,3190,615,2619,1088,153,222,244,300,0,86,206,9,47,25,0,33,0,27,0,5
2010-11-22,3405,2892,11796,3435,1061,156,194,224,307,0,62,205,21,59,68,0,27,0,27,0,29
2010-11-23,1898,1925,20378,2921,1044,844,271,50,178,0,48,195,20,57,53,0,108,0,11,0,18
2010-11-24,1956,1554,15107,609,1527,308,278,97,91,0,44,242,23,95,31,0,76,0,12,0,4
2010-11-25,1270,1298,32,2878,1431,287,296,68,85,0,6,145,18,56,25,0,11,0,7,0,0
2010-11-26,967,1995,43,4726,1171,298,541,85,83,0,52,169,10,47,29,0,12,0,2,0,0
2010-11-27,1629,1415,3739,3760,947,1500,257,69,112,0,88,220,14,43,22,0,34,0,2,0,0
2010-11-28,2055,1470,4077,3768,1423,1732,285,121,124,0,83,147,8,69,22,0,52,0,2,0,0
2010-11-29,2181,565,13190,4488,1225,224,162,115,104,0,87,190,23,11,33,0,64,0,4,0,4
2010-11-30,2071,1184,7070,622,1550,325,185,208,93,0,169,355,20,111,10,0,44,0,8,0,2
2010-12-01,1752,1798,715,2757,1378,301,287,6,139,0,122,596,21,285,17,0,37,0,4,0,1
2010-12-02,1400,2192,6540,747,1359,1227,263,0,101,0,92,376,19,71,28,0,30,0,21,0,4
2010-12-03,1388,1962,24,1480,1250,549,139,0,143,0,42,594,19,104,15,0,22,0,10,0,8
2010-12-04,3588,1746,471,2891,1148,551,87,0,72,0,66,112,13,122,10,0,10,0,4,0,8
2010-12-05,2528,1962,10,1647,1186,1509,73,0,56,0,85,67,16,147,14,0,20,0,7,0,4
2010-12-06,1402,3166,54,3723,1049,499,72,0,59,0,81,288,18,119,41,0,59,0,7,0,2
2010-12-07,1750,5447,54,3612,1172,2221,184,0,90,0,88,221,17,64,32,0,44,0,9,0,2
2010-12-08,1714,4295,20,3551,1237,3105,145,0,82,0,104,165,22,80,49,0,45,0,9,0,3
2010-12-09,3455,3805,22,2587,1061,958,172,0,119,0,103,198,62,64,48,0,25,0,24,0,6
2010-12-10,11684,2575,561,3597,1065,3694,143,0,212,0,65,367,21,39,48,0,25,0,26,0,3
2010-12-11,9135,3624,469,2403,1183,3643,170,0,63,0,47,264,14,54,24,0,25,0,22,0,0
2010-12-12,10013,3730,96,1131,811,1375,119,0,73,0,32,176,13,35,22,0,12,0,29,0,3
2010-12-13,13935,3073,8871,2006,1138,1144,121,0,174,0,40,190,13,305,33,0,18,0,18,0,5
2010-12-14,9027,6607,5387,1612,983,357,203,0,161,0,48,327,15,43,15,0,21,0,24,0,2
2010-12-15,6933,3685,1427,796,1161,383,177,0,219,0,119,282,12,89,45,0,20,0,31,0,1
2010-12-16,5633,1691,546,1087,1559,2067,217,0,127,0,211,328,14,69,48,0,15,0,28,0,2
2010-12-17,5358,1852,902,1132,1459,3450,260,0,286,0,84,283,7,83,44,0,12,0,10,0,1
2010-12-18,3784,1557,89,1183,1239,2313,122,0,103,0,125,172,8,81,44,0,10,0,22,0,0
2010-12-19,2977,2496,43,3053,1167,729,280,0,66,0,202,149,7,103,45,0,6,0,31,0,0
2010-12-20,4882,1475,1181,2946,1113,1889,170,0,88,0,124,209,8,94,56,0,7,0,31,0,4
2010-12-21,6030,2356,263,2682,1074,1350,212,0,111,0,159,103,27,96,38,0,4,0,69,0,10
2010-12-22,3561,1877,1292,2327,977,371,193,0,177,0,133,171,12,105,54,0,5,0,63,0,0
2010-12-23,4663,7195,91,145,778,283,147,0,154,0,209,137,20,85,89,0,5,0,39,0,1
2010-12-24,6001,1879,252,49,1168,245,136,0,156,0,110,70,9,121,63,0,10,0,34,0,0
2010-12-25,6852,1303,1119,83,888,224,127,0,100,0,225,93,83,104,59,0,4,0,26,0,0
2010-12-26,5689,1139,1107,182,772,260,142,0,145,0,55,125,12,105,63,0,3,0,21,0,0
2010-12-27,5276,6831,1029,572,654,251,188,0,126,0,97,100,32,97,64,0,3,0,19,0,1
2010-12-28,6419,1160,542,768,15,268,130,0,105,0,86,203,26,91,44,0,2,0,2,0,0
2010-12-29,12418,1002,410,1340,65,279,168,0,120,0,272,171,13,79,46,0,5,0,3,0,0
2010-12-30,7932,1553,88,666,402,363,194,0,73,0,161,71,33,87,24,0,14,0,18,0,0
2010-12-31,11808,2663,71,2961,558,622,221,0,77,0,227,84,46,83,19,0,14,0,10,0,0
2011-01-01,9192,3731,7,1561,831,253,145,0,79,0,69,168,51,76,30,0,23,0,9,0,1
2011-01-02,8794,6269,15,1079,826,348,161,0,51,0,442,273,34,81,30,0,22,0,29,0,7
2011-01-03,9713,8737,384,1704,1155,355,167,0,89,0,85,223,62,82,55,0,13,0,15,0,3
2011-01-04,9891,11093,658,2008,1273,450,172,0,100,0,202,154,55,79,70,0,13,0,19,0,1
2011-01-05,10279,9053,1974,265,1769,297,236,0,136,0,237,159,68,304,48,0,11,101,33,0,0
2011-01-06,6723,7520,11386,650,1445,1436,283,0,213,0,196,242,39,236,80,0,12,101,12,0,7
2011-01-07,6109,2073,759,1420,1257,2846,199,0,142,0,214,306,10,116,56,0,13,101,11,0,2
2011-01-08,5531,7320,1647,1154,1423,1938,228,0,153,0,181,187,29,158,26,0,7,139,2,0,0
2011-01-09,6873,11585,1770,2681,1397,1244,391,0,307,0,175,194,46,80,80,0,8,139,1,0,10
2011-01-10,5580,11083,2803,5394,1869,624,453,0,209,0,186,229,69,58,57,0,17,139,11,0,0
2011-01-11,3513,4802,2493,2210,1340,620,155,0,411,0,170,201,238,75,48,0,1,139,9,0,0
2011-01-12,7455,2025,4348,1977,1340,597,348,0,231,0,176,335,406,148,57,0,5,150,6,0,0
2011-01-13,14543,1794,13153,706,1455,178,342,0,346,0,164,584,57,284,101,0,12,157,12,0,3
2011-01-14,23815,4595,11099,750,1276,2063,339,0,186,0,175,200,75,83,97,0,9,149,21,0,0
2011-01-15,20978,2985,7702,1688,1451,7374,591,0,107,0,139,126,61,115,29,0,7,3,5,0,5
2011-01-16,20107,3145,1907,1552,1620,7057,596,0,77,0,136,140,58,133,40,0,6,18,4,0,2
2011-01-17,18889,1249,2970,1721,1053,3731,559,0,167,0,129,245,170,452,19,0,10,13,1,0,3
2011-01-18,11822,2766,767,2512,465,2227,424,0,247,0,127,284,48,112,37,0,7,21,3,0,0
2011-01-19,14632,4845,1492,1177,1031,336,743,0,375,0,112,210,218,90,55,0,6,31,16,0,6
2011-01-20,11294,2976,892,2048,1228,939,552,0,294,0,107,190,256,126,26,0,81,57,22,0,5
2011-01-21,13377,3632,387,1726,1977,3870,328,0,289,0,113,193,78,90,46,0,16,40,17,13,8
2011-01-22,11061,3549,161,1490,1352,2546,368,0,149,0,82,161,1763,60,41,0,4,32,3,19,3
2011-01-23,26756,2908,263,1400,979,4322,327,0,133,0,80,204,1127,101,55,0,4,11,7,15,7
2011-01-24,25731,2218,1634,1614,1372,471,288,0,264,0,266,293,1596,102,75,0,6,18,2,46,9
2011-01-25,16061,1458,3606,2326,1154,293,313,0,136,0,86,231,48,143,55,0,3,24,3,22,5
2011-01-26,15638,1690,4827,911,1373,287,282,0,179,0,71,348,35,200,41,0,5,202,16,72,3
2011-01-27,37329,6907,888,466,1638,949,252,0,262,0,129,328,142,112,65,0,2,99,17,184,2
2011-01-28,42830,5226,173,1086,1105,597,247,0,1095,0,82,469,50,160,56,0,1,176,22,486,7
2011-01-29,37818,9369,502,1123,1149,359,215,0,170,0,84,338,941,75,68,0,0,73,7,86,0
2011-01-30,25660,15319,155,165,1102,258,241,0,351,0,78,472,114,76,41,0,1,85,7,30,1
2011-01-31,28077,1555,266,989,1185,345,209,0,393,0,177,501,2186,170,37,0,1,101,5,96,0
---------
