Day,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC SPUR] Number of Jobs Running
2012-08-21,1044,2536,12369,813,2040,3450,407,0,236,97,10,37,313,23
2012-08-22,2564,2356,7089,742,1902,2643,385,0,218,89,8,60,113,7
2012-08-23,2424,2553,5880,999,2362,862,357,0,274,79,47,36,54,2
2012-08-24,2972,2149,2083,798,2566,830,397,0,217,69,11,16,65,2
2012-08-25,1325,1503,42,2052,2523,1784,237,0,436,67,9,19,54,2
2012-08-26,1510,3224,33,575,3821,1976,254,0,276,44,4,4,82,4
2012-08-27,1639,3085,7067,854,2910,4877,330,0,307,66,19,44,107,11
2012-08-28,5601,2253,3868,1081,3530,2655,347,0,292,68,0,36,117,3
2012-08-29,7723,2989,2951,1203,2422,2187,445,0,294,59,16,67,46,2
2012-08-30,8655,2777,4647,1552,1712,1514,482,0,239,62,12,38,78,0
2012-08-31,6157,3056,7213,2060,2251,3031,485,0,217,78,12,13,85,4
2012-09-01,10196,3176,3714,1777,2445,1291,259,0,207,62,7,6,242,1
2012-09-02,5232,3537,1699,841,1489,702,230,0,226,39,4,16,276,1
2012-09-03,8933,6352,28,753,1069,1615,441,0,203,53,3,7,130,2
2012-09-04,9196,3760,254,968,1379,1046,446,0,255,72,4,34,265,12
2012-09-05,11236,3956,1138,1696,1360,964,385,0,122,95,9,21,173,2
2012-09-06,8905,2975,1695,3234,2241,2824,554,0,153,112,14,22,193,8
2012-09-07,1933,3720,4115,4410,1677,2810,528,0,200,93,14,48,84,0
2012-09-08,3131,2304,5747,615,1645,669,285,0,130,78,35,30,79,0
2012-09-09,3791,3870,2798,552,1068,2337,299,0,103,69,16,33,88,0
2012-09-10,5000,3946,5523,3100,1730,981,574,0,89,77,7,47,158,0
2012-09-11,5790,3396,4150,3863,1783,976,455,0,126,91,0,98,65,3
2012-09-12,5948,2403,6801,3711,1666,999,577,0,217,85,5,63,104,4
2012-09-13,11575,2644,953,3625,1071,1121,290,0,221,72,0,25,105,0
2012-09-14,6644,2982,3502,3522,1,1573,0,0,362,0,4,41,93,0
2012-09-15,6437,3150,3321,5711,1,2534,112,0,293,54,10,6,147,0
2012-09-16,2700,3799,2649,1862,994,4036,282,0,394,76,15,6,75,0
2012-09-17,6561,3021,592,3904,1244,1776,466,0,461,121,18,9,70,3
2012-09-18,9454,3125,525,4056,1313,1069,669,0,608,143,2,10,77,51
2012-09-19,10087,3603,531,5010,1719,1483,508,0,424,139,5,25,68,33
2012-09-20,11302,2814,612,3354,1641,1292,417,0,260,124,12,106,138,7
2012-09-21,8639,3349,205,2264,1481,931,455,0,355,146,18,83,96,4
2012-09-22,11834,1830,92,837,1318,1956,414,0,298,102,8,25,75,0
2012-09-23,9951,2254,38,1017,801,1107,434,0,259,96,7,31,62,0
2012-09-24,6639,3016,30,1013,1349,1946,539,0,265,139,8,340,108,5
2012-09-25,7603,2993,30,3322,1502,1242,608,0,224,85,17,563,68,7
2012-09-26,9247,3218,17,1215,1341,1552,533,0,230,109,37,51,82,7
2012-09-27,10424,5050,100,870,991,917,523,0,286,130,41,31,29,5
2012-09-28,10067,3612,786,1330,1588,1394,511,0,310,100,18,34,62,0
2012-09-29,12908,3325,2174,551,1264,576,381,0,225,101,8,6,12,1
2012-09-30,6431,2411,816,483,1194,565,479,0,222,90,6,8,1,2
2012-10-01,9981,3116,431,939,1949,543,512,0,272,147,20,0,0,0
2012-10-02,14156,3492,24,1500,1703,660,271,0,470,141,31,41,0,0
2012-10-03,11993,2754,1023,1236,1802,790,508,0,579,100,40,57,0,2
2012-10-04,6379,2943,16695,2590,1559,642,821,0,228,83,24,37,0,0
2012-10-05,6289,2505,27251,835,1429,598,669,0,277,117,30,47,0,0
2012-10-06,8954,2943,13856,1013,1361,535,410,0,327,88,21,31,0,0
2012-10-07,7145,3489,20,1189,1576,633,637,0,209,66,48,30,0,0
2012-10-08,3938,2965,17947,4713,1250,1220,484,0,326,89,40,30,0,0
2012-10-09,6464,1890,24951,5142,1388,1320,1018,0,258,95,21,60,0,0
2012-10-10,7105,2511,13794,3517,1458,1082,1000,0,209,116,24,73,0,1
2012-10-11,5223,1423,8143,2144,1167,721,625,0,202,115,17,39,0,3
2012-10-12,7130,3217,6049,1076,1046,801,766,0,297,111,29,39,0,1
2012-10-13,9132,4212,2090,906,1219,1215,206,0,261,37,20,18,0,0
2012-10-14,10185,3185,435,615,1369,376,152,0,249,28,37,27,0,0
2012-10-15,9701,2364,2918,1710,1104,468,635,0,278,74,7,84,0,3
2012-10-16,4353,3748,2714,1626,1085,753,548,0,209,86,472,43,0,1
2012-10-17,4551,2599,1975,1804,2012,563,544,0,215,74,307,64,0,2
2012-10-18,8609,3121,3669,1983,2471,686,762,0,238,88,29,69,0,2
2012-10-19,10765,2396,4928,2210,2237,605,551,0,242,81,47,55,0,1
2012-10-20,9756,2330,3160,1873,1577,964,369,0,290,84,60,80,0,1
2012-10-21,11347,2866,1665,669,1498,573,456,0,260,39,60,41,0,0
2012-10-22,8079,3416,5069,839,1733,90,375,0,285,71,38,20,0,2
2012-10-23,2605,2776,6434,3617,2226,3253,369,0,244,101,13,19,0,5
2012-10-24,2361,3068,313,3414,1425,3839,696,0,183,98,38,14,0,4
2012-10-25,3746,4185,620,3586,1259,1451,609,0,148,94,42,36,0,2
2012-10-26,3474,3197,268,2015,1384,1003,559,0,146,100,33,14,0,18
2012-10-27,9458,3151,52,1044,2026,750,447,0,111,79,13,10,0,67
2012-10-28,6398,2681,24,1372,1666,644,465,0,136,60,15,27,0,25
2012-10-29,5581,3977,24,2598,1945,732,659,0,205,93,9,65,0,56
2012-10-30,9397,3406,3320,1917,1330,1357,513,0,169,94,16,21,0,1
2012-10-31,10519,4025,804,2881,1534,645,550,0,199,86,41,79,0,0
2012-11-01,11427,565,116,2211,885,673,700,0,181,106,46,73,0,10
2012-11-02,10224,1047,488,4446,828,641,705,0,177,107,38,54,0,0
2012-11-03,10113,2929,20,3170,749,540,547,0,125,107,34,10,0,0
2012-11-04,11196,4238,12,5384,1646,420,598,0,118,90,15,17,0,0
2012-11-05,9652,3104,4864,2303,1732,764,827,0,343,98,29,45,0,0
2012-11-06,14453,2340,9896,5427,1933,547,750,0,281,85,27,74,0,0
2012-11-07,9060,2669,7936,3618,1759,265,606,0,103,59,35,98,0,0
2012-11-08,9524,2081,10492,1905,2026,368,585,0,72,69,52,41,0,2
2012-11-09,8701,2863,4151,3336,1412,791,591,0,88,73,49,28,0,3
2012-11-10,10016,2540,4857,1950,1537,839,484,0,76,129,25,8,0,0
2012-11-11,7283,2710,1340,1563,1752,684,601,0,96,81,51,14,0,0
2012-11-12,7992,3319,887,2261,1595,841,625,0,185,74,46,54,0,0
2012-11-13,10008,2467,327,3813,1629,826,747,0,234,67,40,40,0,24
2012-11-14,10945,2397,719,4026,1253,932,784,0,242,79,55,88,0,10
2012-11-15,9107,2925,1209,1935,1371,855,634,0,432,62,27,77,0,0
2012-11-16,7755,1629,734,1061,1229,938,966,0,337,74,31,41,0,0
2012-11-17,6141,251,960,1417,1829,619,2080,0,232,133,30,38,0,0
2012-11-18,12075,2400,877,1013,1295,482,399,0,273,104,10,41,0,0
2012-11-19,10870,2542,1022,2019,1575,482,428,0,499,127,171,29,0,1
2012-11-20,10144,2238,39,2410,1745,1884,384,0,470,121,117,90,0,7
2012-11-21,9570,2218,32,3116,1704,4150,372,0,251,89,76,44,0,7
2012-11-22,7899,1745,24,2655,1124,6182,206,0,156,50,68,21,0,0
2012-11-23,6702,1632,24,1305,1160,400,745,0,330,49,33,36,0,0
2012-11-24,8426,1743,24,1333,1398,4527,754,0,539,54,9,31,0,2
2012-11-25,10842,1956,531,1636,1090,4228,1524,0,147,112,20,40,0,0
2012-11-26,10878,2483,3489,2162,896,3917,639,0,190,156,58,39,0,0
2012-11-27,4804,2473,15363,2628,698,3048,576,0,175,85,98,67,0,0
2012-11-28,14757,774,10000,2650,1541,724,812,0,151,59,158,75,0,11
2012-11-29,11565,559,8796,3613,1700,1659,643,0,169,151,48,55,0,11
2012-11-30,20329,1426,17656,879,1484,1048,830,0,307,151,60,36,0,6
2012-12-01,16530,2182,3,1315,1373,574,454,0,332,134,57,38,0,0
2012-12-02,10789,2130,3,1229,1299,1711,792,0,421,73,84,75,0,0
2012-12-03,11264,1615,4,1644,1612,1544,2090,0,360,108,67,32,0,0
2012-12-04,10515,966,0,2274,1259,1258,1415,0,328,138,48,45,0,3
2012-12-05,6053,2755,0,2949,1572,982,1479,0,310,78,53,66,0,2
2012-12-06,17522,1380,67,1390,1686,753,1482,0,264,106,49,27,0,0
2012-12-07,14764,1799,73,4589,1499,600,1274,0,202,105,76,24,0,5
2012-12-08,5368,1653,4808,4031,949,315,551,0,183,97,70,28,0,4
2012-12-09,7133,1826,28,1962,759,334,828,0,173,78,89,24,0,2
2012-12-10,8881,1623,27,4295,947,513,1923,0,188,98,70,18,0,0
2012-12-11,5924,2024,34,7903,1561,1333,1531,0,293,85,59,29,0,0
2012-12-12,6818,1870,6753,7144,1537,2467,925,0,327,89,119,28,0,2
2012-12-13,4088,1963,1335,3589,1720,3057,1659,0,386,70,156,18,0,2
2012-12-14,4482,2103,5763,4212,1638,2343,1960,0,306,80,179,30,0,1
2012-12-15,5881,1065,1205,1067,1348,1482,2000,0,173,60,93,18,0,0
2012-12-16,9728,1713,2,4437,1144,1639,1076,0,180,32,96,20,0,0
2012-12-17,6335,2693,42,1685,1551,417,949,0,279,53,241,33,0,0
2012-12-18,5389,2616,71,1305,1478,302,497,0,301,65,131,50,0,2
2012-12-19,7473,3160,366,903,1210,185,607,0,171,33,61,32,0,11
2012-12-20,7743,1114,5,894,1141,341,343,0,205,60,46,10,0,0
2012-12-21,15387,1517,9,835,1137,256,510,0,348,49,66,3,0,1
2012-12-22,6149,2772,33,638,1047,218,479,0,112,28,64,6,0,4
2012-12-23,4196,2328,24,1606,1091,297,619,0,168,15,74,21,0,2
2012-12-24,5279,1496,1023,1463,890,245,295,0,113,25,60,15,0,3
2012-12-25,4165,1986,24,710,1024,184,403,0,125,34,78,16,0,1
2012-12-26,7766,2804,55,1166,1402,416,519,0,133,41,94,14,0,1
2012-12-27,6101,1513,27,1439,1302,434,335,0,169,48,112,9,0,2
2012-12-28,3312,1654,24,944,1310,357,249,0,130,43,115,43,0,3
2012-12-29,1173,1303,125,527,1204,152,190,0,61,30,7,52,0,14
2012-12-30,0,1565,0,302,1100,189,307,0,103,77,16,34,0,25
2012-12-31,0,1192,0,542,1050,144,197,0,58,62,57,26,0,7
2013-01-01,0,1427,0,859,943,168,238,0,68,54,111,14,0,0
2013-01-02,0,1786,0,2827,1275,327,345,0,162,67,171,48,0,0
2013-01-03,0,2280,0,1420,1821,424,466,0,156,110,232,66,0,0
2013-01-04,1878,2218,2,763,1475,469,578,0,108,97,249,61,0,0
2013-01-05,5003,2187,0,536,1676,255,419,0,113,48,155,36,0,0
2013-01-06,2993,1911,20,1542,1009,429,414,0,231,66,191,35,0,0
2013-01-07,4383,2791,196,3116,1569,512,485,7,238,59,357,46,0,0
2013-01-08,2489,2815,15,2264,1679,566,426,751,300,39,183,46,0,0
2013-01-09,4161,2838,186,3185,1852,692,458,795,112,46,161,101,0,0
2013-01-10,6763,1590,572,1502,2131,645,463,908,195,89,195,115,0,0
2013-01-11,5096,3128,707,2360,2551,648,355,1741,121,94,218,111,0,0
2013-01-12,4175,1575,24,851,1665,466,202,536,108,61,132,52,0,0
2013-01-13,5554,3233,24,1082,898,540,296,1483,111,70,163,42,0,0
2013-01-14,4324,3868,144,1154,1446,688,362,3589,91,144,80,59,0,0
2013-01-15,5405,3269,298,1356,859,767,458,1917,117,103,315,72,0,0
2013-01-16,3768,3049,454,1684,2946,1117,340,4276,123,160,275,109,0,0
2013-01-17,7042,3355,126,1489,3645,874,463,3704,120,126,210,59,0,0
2013-01-18,5610,4726,366,1342,2221,500,343,3562,189,58,250,43,0,0
2013-01-19,5818,3106,236,1392,2387,1098,195,2327,152,23,129,19,0,0
2013-01-20,6461,2578,30,1260,1947,728,341,2582,199,25,165,21,0,0
2013-01-21,4821,2825,46,1654,2490,646,299,1958,143,70,149,49,0,0
2013-01-22,5064,3272,8,1890,1737,763,273,0,154,56,137,67,0,0
2013-01-23,4203,2601,628,2583,1589,738,667,1306,122,31,222,49,0,0
2013-01-24,1868,2171,535,3102,1769,740,711,4949,190,30,207,42,0,0
2013-01-25,2461,3248,1297,2197,1569,986,482,5247,134,24,120,35,0,0
2013-01-26,1017,3119,68,1571,2208,611,269,3051,125,10,114,41,0,0
2013-01-27,751,2885,51,1544,2035,599,267,2232,146,42,110,33,0,0
2013-01-28,903,3625,74,1745,2049,372,450,2459,171,49,89,74,0,0
2013-01-29,3675,4176,1232,2015,1427,1124,628,2117,129,31,111,94,0,0
2013-01-30,6108,2787,2779,2386,1669,803,673,7045,200,57,70,117,0,0
2013-01-31,7274,2614,1156,1098,1437,733,490,5830,141,61,62,94,0,0
