title
"Number of Jobs Running: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PURDUE CONDOR] Number of Jobs Running","[PURDUE STEELE] Number of Jobs Running","[NCSA ABE] Number of Jobs Running","[TACC RANGER] Number of Jobs Running","[NICS KRAKEN] Number of Jobs Running","[LONI QUEENBEE] Number of Jobs Running","[NICS ATHENA] Number of Jobs Running","[TACC LONESTAR] Number of Jobs Running","[NCSA COBALT] Number of Jobs Running","[NCSA DTF] Number of Jobs Running","[IU BIGRED*] Number of Jobs Running","[PSC POPLE] Number of Jobs Running","[PSC BIGBEN] Number of Jobs Running","[NCSA LINCOLN] Number of Jobs Running","[ORNL NSTG] Number of Jobs Running","[TACC LONGHORN] Number of Jobs Running","[NCAR FROST] Number of Jobs Running","[TACC SPUR] Number of Jobs Running","[SDSC DASH] Number of Jobs Running"
2010-03-20,11518,3332,1522,936,1597,347,0,253,209,388,78,130,104,43,53,0,12,10,0
2010-03-21,10811,1993,1201,958,1196,250,0,512,240,470,53,62,65,13,30,0,8,7,0
2010-03-22,26588,1590,1395,1169,1377,214,0,409,447,571,44,106,167,19,33,8,13,9,0
2010-03-23,8057,3513,2536,1318,1269,310,0,619,477,445,48,188,212,32,57,0,11,7,0
2010-03-24,29255,6517,3037,1302,93,394,0,310,246,383,88,245,163,72,56,46,33,10,0
2010-03-25,19160,5967,3264,994,29,499,0,246,453,515,49,262,133,107,58,16,11,0,0
2010-03-26,20557,10149,1330,1530,794,294,0,364,432,467,59,453,131,113,61,33,12,1,0
2010-03-27,16074,4981,1036,1237,1372,694,0,259,207,472,84,217,75,95,70,6,9,3,0
2010-03-28,30241,6398,1465,961,1391,362,0,212,261,418,82,281,76,49,69,14,5,0,0
2010-03-29,39784,12833,1820,1213,1633,255,0,245,347,389,84,346,218,40,74,71,18,4,0
2010-03-30,21583,1458,2706,1178,1186,242,0,251,263,310,92,200,407,112,68,12,16,8,0
2010-03-31,4654,1426,1488,1057,86,364,0,376,355,170,259,100,297,86,72,17,20,7,0
2010-04-01,38927,1643,1246,1162,5,506,8,425,400,28,73,120,0,15,61,26,11,6,0
2010-04-02,39924,1546,300,1229,587,332,28,450,256,0,54,91,0,5,39,29,16,6,0
2010-04-03,19810,1050,105,933,1795,477,51,236,452,0,39,64,0,3,16,4,10,3,0
2010-04-04,14782,832,68,1131,2621,227,57,205,184,0,29,136,0,3,17,3,9,0,0
2010-04-05,28550,1319,1208,1081,1597,1093,96,330,381,0,88,301,0,63,52,59,6,6,0
2010-04-06,46373,1381,1632,1175,221,681,74,187,407,0,133,213,0,81,56,6,16,7,0
2010-04-07,41559,8756,1718,1054,17,254,150,321,421,0,102,207,0,86,64,59,9,6,0
2010-04-08,61248,7979,2054,1019,194,334,259,483,374,0,90,254,0,22,63,19,8,4,0
2010-04-09,36321,7502,2190,1213,1197,289,477,570,332,0,97,145,0,12,55,23,2,12,0
2010-04-10,47823,10995,2882,1190,1669,242,13,237,380,0,108,161,0,7,55,16,0,5,0
2010-04-11,67350,8425,3043,950,957,199,2,382,270,0,105,102,0,8,53,22,3,3,0
2010-04-12,64863,3464,1263,1326,723,264,79,391,474,0,125,140,0,10,64,39,4,2,0
2010-04-13,51642,3600,3087,1341,672,307,261,373,308,0,113,131,0,27,39,51,5,4,0
2010-04-14,27549,8163,4585,1447,517,377,377,514,290,0,100,106,0,62,22,92,13,3,0
2010-04-15,17696,1567,5165,1153,635,387,361,331,246,0,68,109,0,61,23,66,11,6,0
2010-04-16,16554,1363,4270,1194,702,288,403,365,218,0,78,106,0,57,23,66,18,18,0
2010-04-17,14230,1342,2268,729,679,314,82,335,137,0,76,0,0,53,17,53,9,13,0
2010-04-18,24101,1685,2668,828,586,228,117,354,205,0,115,42,0,54,17,23,7,7,0
2010-04-19,30881,4484,2504,1242,1249,397,737,371,238,0,131,126,0,85,26,7,31,11,0
2010-04-20,37713,7905,1987,1177,1351,336,581,297,340,0,132,178,0,74,23,5,22,9,0
2010-04-21,29078,1484,1719,1159,553,290,610,335,212,0,111,151,0,66,34,13,15,19,0
2010-04-22,20029,2040,2120,1179,1105,435,809,298,241,0,87,144,0,88,65,21,7,13,0
2010-04-23,18007,1436,3125,1153,799,350,351,241,261,0,97,139,0,111,59,25,7,12,1
2010-04-24,19798,2561,3824,875,667,267,285,242,326,0,76,58,0,134,49,14,60,4,0
2010-04-25,20927,1527,2927,1170,634,193,1128,273,215,0,72,172,0,75,57,35,17,5,0
2010-04-26,13283,2376,2837,1367,865,330,1218,311,401,0,73,151,0,70,52,65,7,11,0
2010-04-27,22242,1743,2148,1228,704,398,1637,364,214,0,73,181,0,127,65,74,70,9,2
2010-04-28,21029,3507,3380,1157,727,290,1931,395,276,0,78,132,0,81,65,78,133,5,3
2010-04-29,13097,1820,4554,1213,1094,458,1612,265,383,0,71,359,0,121,62,49,18,8,5
2010-04-30,10247,1380,2855,1268,1142,173,642,245,306,0,63,378,0,35,39,42,38,4,2
2010-05-01,2617,1015,1938,1065,1371,116,219,184,122,0,51,180,0,97,16,38,14,4,1
2010-05-02,2537,5629,2556,1471,970,92,805,114,100,0,39,184,0,59,24,39,18,3,1
2010-05-03,2962,4938,1255,1545,872,217,1009,352,397,0,46,289,0,78,42,57,34,5,1
2010-05-04,10766,776,2020,573,1048,242,1038,339,340,0,29,123,0,73,68,48,36,0,1
2010-05-05,11135,1031,1706,1100,1325,211,1045,301,361,0,31,166,0,114,65,44,26,0,2
2010-05-06,8863,917,1465,1383,968,200,1040,230,399,0,62,161,0,72,58,48,14,13,0
2010-05-07,11181,2023,1621,1100,1009,446,93,262,521,0,44,167,0,71,57,51,23,3,2
2010-05-08,23842,7312,1165,827,177,210,36,299,229,0,40,125,0,33,52,42,21,4,4
2010-05-09,29976,4984,854,867,634,115,971,281,282,0,41,98,0,22,53,45,26,2,2
2010-05-10,46190,5990,1806,1184,1337,188,984,289,472,0,36,155,0,34,64,55,19,11,3
2010-05-11,31615,7935,1828,900,1449,236,986,287,377,0,34,163,0,52,60,84,18,8,10
2010-05-12,27927,5612,2152,986,1758,339,1003,323,319,0,37,117,0,25,57,66,16,8,12
2010-05-13,39748,4100,1497,847,1473,384,308,199,303,0,41,246,0,59,44,66,14,4,20
2010-05-14,30505,964,2288,769,0,251,0,285,174,0,43,240,0,48,0,91,14,6,21
2010-05-15,30403,956,2835,1014,0,227,0,185,90,0,41,265,0,88,0,42,20,2,6
2010-05-16,34092,8236,1453,813,174,288,960,223,154,0,46,162,0,31,15,49,15,1,9
2010-05-17,41734,916,12226,923,751,149,1004,258,291,0,41,150,0,69,61,79,17,12,7
2010-05-18,54881,742,4663,874,1103,233,989,240,285,0,48,195,0,74,79,103,20,7,11
2010-05-19,58204,2876,2388,1025,930,256,992,201,358,0,75,213,0,46,81,106,20,6,2
2010-05-20,86799,5213,1840,1007,959,291,75,315,298,0,70,163,0,58,63,68,13,9,1
2010-05-21,63013,1704,4057,1040,1828,180,4,365,296,0,80,134,0,49,53,69,7,3,4
2010-05-22,76492,1918,1022,963,902,154,45,237,274,0,72,66,0,30,57,32,10,3,1
2010-05-23,46979,8004,3257,828,670,93,943,247,250,0,67,76,0,29,60,44,9,1,3
2010-05-24,39579,7481,3475,1016,1275,231,998,286,528,0,103,127,0,213,66,69,8,2,9
2010-05-25,45363,4593,2011,1160,1162,173,998,218,251,0,374,111,0,877,60,10,10,5,7
2010-05-26,57901,8851,2321,955,221,2770,980,308,726,0,221,169,0,1030,56,55,17,9,3
2010-05-27,65790,7858,2941,1133,80,858,957,445,352,0,74,128,0,30,61,46,9,1,4
2010-05-28,74875,5008,2819,1004,484,460,107,428,512,0,66,292,0,29,60,42,7,4,8
2010-05-29,60709,1828,2864,925,367,298,36,181,315,0,182,157,0,38,55,10,8,6,9
2010-05-30,85640,2837,1280,824,393,264,993,176,228,0,63,168,0,18,56,9,7,2,3
2010-05-31,62631,1721,1604,1049,940,192,1003,197,336,0,66,129,0,39,48,8,8,2,1
2010-06-01,18187,3691,975,1195,2110,2464,2239,304,304,0,39,156,0,17,35,76,10,5,0
2010-06-02,16170,10186,820,1283,131,2452,2100,191,430,0,48,207,0,29,0,28,13,0,3
2010-06-03,36285,3284,2203,1157,1204,761,1763,184,490,0,42,120,0,68,26,26,46,2,0
2010-06-04,30865,2349,3841,1149,1199,7991,1125,282,419,0,53,167,0,42,55,19,52,6,0
2010-06-05,28735,5705,1824,953,514,381,1896,254,207,0,62,119,0,26,55,10,21,2,0
2010-06-06,41650,1647,183,1169,658,452,2113,306,220,0,58,74,0,2,58,27,19,2,0
2010-06-07,31990,4561,54,1334,1341,3362,1570,284,385,0,75,75,0,0,66,31,57,18,0
2010-06-08,22657,3692,4,1081,1914,1409,2376,323,456,0,73,180,0,0,66,27,31,20,0
2010-06-09,24099,3551,3654,887,116,471,1968,330,406,0,77,197,0,105,65,66,36,14,0
2010-06-10,26431,2470,1077,1371,856,266,2232,319,355,0,98,99,0,48,67,72,13,13,0
2010-06-11,15519,3790,3933,1462,1942,396,1743,240,340,0,59,170,0,82,55,39,23,18,0
2010-06-12,24244,5347,5602,1570,1363,285,1766,235,217,0,272,121,0,25,63,30,12,7,0
2010-06-13,25723,1935,4620,1557,490,276,1459,261,217,0,85,106,0,16,60,23,12,8,0
2010-06-14,30763,4475,5904,1496,1227,1873,1397,381,285,0,73,72,0,67,66,85,42,32,0
2010-06-15,10094,5566,5348,1221,2135,3340,1778,363,363,0,89,109,0,38,66,15,50,20,0
2010-06-16,18062,1975,2164,1039,221,58,2104,407,453,0,282,181,0,32,60,59,23,58,0
2010-06-17,20081,1955,1999,1214,1393,247,1758,1279,372,0,118,159,0,15,52,43,22,56,0
2010-06-18,19058,3060,3811,1306,1262,615,1433,554,353,0,85,172,0,11,62,25,18,20,0
2010-06-19,24921,2784,834,1069,1254,271,640,296,320,0,90,109,0,27,61,30,10,4,0
2010-06-20,851,7078,376,1071,1036,242,2600,307,264,0,85,131,0,17,63,44,7,2,0
2010-06-21,3540,6336,80,1126,1489,297,1967,256,437,0,84,172,0,6,70,88,10,13,0
2010-06-22,1569,7729,0,1016,1590,5019,1111,528,429,0,485,232,0,0,135,22,16,5,0
2010-06-23,1694,7266,114,1149,112,351,3858,277,489,0,131,182,0,0,60,33,15,21,0
2010-06-24,1963,5635,1527,1044,566,342,6138,351,532,0,178,137,0,23,62,80,24,2,0
2010-06-25,5144,178,1902,1217,1099,397,2616,319,397,0,378,138,0,57,75,66,11,9,0
2010-06-26,2363,6556,2069,981,225,237,2594,230,170,0,101,182,0,29,58,7,7,6,0
2010-06-27,1328,2479,1298,1011,786,224,2726,290,234,0,578,144,0,30,57,8,5,9,0
2010-06-28,7777,4373,1851,1199,1169,753,2660,402,215,0,464,184,0,207,59,12,11,45,0
2010-06-29,13096,6234,3287,946,2024,231,1774,605,368,0,181,184,0,156,538,6,43,13,0
2010-06-30,20408,2997,1960,949,49,477,1353,215,391,0,697,196,0,23,70,37,19,22,2
2010-07-01,21238,1992,1745,1095,125,170,2434,218,401,0,293,215,0,14,331,19,8,9,7
2010-07-02,28342,4414,1445,1318,388,272,904,215,378,0,581,171,0,27,83,11,32,12,5
2010-07-03,33157,4185,1007,1148,357,167,2343,149,262,0,1773,99,0,13,60,6,22,11,0
2010-07-04,18659,4237,1091,917,805,137,2684,158,180,0,300,60,0,8,59,5,15,9,0
2010-07-05,15280,2461,1771,1086,810,128,3116,215,302,0,1511,58,0,20,64,10,17,9,8
2010-07-06,22729,4705,1868,1285,1451,102,2647,240,303,0,6279,196,0,51,48,16,8,12,19
2010-07-07,4475,6729,1355,1321,1490,324,1896,218,373,0,2245,176,0,64,49,28,19,13,18
2010-07-08,7863,3904,2551,1983,1254,258,1854,504,329,0,136,232,0,393,54,14,26,15,24
2010-07-09,14149,3723,3835,1255,1532,983,1626,413,311,0,295,185,0,65,180,18,37,22,4
2010-07-10,15054,4113,1500,1183,2149,98,1812,262,276,0,207,126,0,65,20,8,11,8,1
2010-07-11,18257,2950,2268,923,1572,69,1470,334,249,0,182,110,0,79,29,5,10,10,2
2010-07-12,35854,595,1701,976,1438,134,821,496,252,0,601,114,0,104,56,16,22,9,1
2010-07-13,15762,3812,2695,433,2533,1077,2321,794,355,0,1380,148,0,355,115,44,27,2,3
2010-07-14,14335,2609,2831,1367,200,211,1421,321,344,0,703,190,0,107,193,42,20,14,3
2010-07-15,11220,2432,2953,1372,181,737,790,623,427,0,301,215,0,168,364,29,18,15,1
2010-07-16,17991,2499,2901,1396,1193,248,1079,637,328,0,163,206,0,581,816,12,35,10,3
2010-07-17,18659,6065,1637,1004,784,528,1240,516,232,0,222,125,0,406,80,9,18,10,2
2010-07-18,13840,2035,1699,755,1002,430,946,321,234,0,250,72,0,18,23,6,9,7,1
2010-07-19,11340,6607,2289,969,2346,122,1057,369,311,0,245,142,0,60,20,18,35,7,1
2010-07-20,10974,4988,2104,1076,1754,131,267,291,330,0,150,192,0,84,59,19,11,5,0
2010-07-21,9533,5998,2153,1158,319,4339,141,929,349,0,120,117,0,434,137,39,20,9,0
2010-07-22,9991,8423,2325,927,1853,12282,168,901,379,0,147,181,0,424,139,21,17,19,0
2010-07-23,13254,2719,1764,930,1356,11376,212,489,209,0,133,206,0,208,24,40,26,35,0
2010-07-24,1398,613,1360,953,1058,172,275,274,280,0,88,168,0,17,56,17,7,13,1
2010-07-25,11863,3041,1528,855,1036,6152,133,281,309,0,90,121,0,46,83,8,5,8,0
2010-07-26,4980,2605,1728,1119,1321,7346,255,487,222,0,108,186,0,73,47,17,12,12,0
2010-07-27,963,2239,3367,1379,1453,17377,241,1231,144,0,57,205,0,113,33,18,16,13,0
2010-07-28,1260,2464,1001,1419,175,684,248,454,150,0,100,185,0,105,37,12,56,14,0
2010-07-29,546,5900,8879,1230,975,333,275,444,306,0,61,230,0,51,71,13,21,21,0
2010-07-30,445,3856,3462,1490,1919,6649,223,331,331,0,57,179,0,43,69,13,18,8,0
2010-07-31,173,8470,2180,950,1098,1082,194,200,256,0,67,139,0,12,51,2,8,7,0
---------
