Day,[OSG] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[CCT LSU SUPERMIC] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running
2015-03-19,43697,3441,2183,0,954,112,385,118,444,37,4
2015-03-20,30610,3929,1897,0,870,144,258,85,386,30,8
2015-03-21,84283,2632,1543,0,815,430,221,102,128,32,4
2015-03-22,119828,2688,926,0,655,790,228,105,103,32,5
2015-03-23,74551,3756,1581,0,666,357,220,118,60,23,1
2015-03-24,48881,3401,2012,0,676,73,298,92,29,14,5
2015-03-25,72826,3264,4107,0,1008,89,257,83,31,6,4
2015-03-26,89854,2605,2304,0,656,317,365,23,90,4,7
2015-03-27,150047,3099,1177,0,787,407,387,67,225,5,5
2015-03-28,113080,2532,1965,0,1345,48,286,18,214,1,2
2015-03-29,178461,2645,1793,0,470,34,306,47,169,9,4
2015-03-30,172764,3984,1723,0,768,157,94,27,80,22,4
2015-03-31,20876,1984,1857,0,656,92,389,70,144,32,4
2015-04-01,189895,2942,1887,0,824,295,638,5,116,35,2
2015-04-02,188118,4683,1966,0,535,168,288,45,109,34,0
2015-04-03,221326,3944,2201,0,4488,319,210,61,105,5,0
2015-04-04,189942,2554,1563,0,6801,668,327,89,125,6,0
2015-04-05,156646,3021,854,0,681,116,308,24,63,5,0
2015-04-06,145417,3709,1632,0,550,775,321,79,61,6,0
2015-04-07,179697,4680,1538,0,603,325,499,35,49,5,0
2015-04-08,111800,3760,2475,0,648,156,331,132,18,5,0
2015-04-09,171344,3313,2215,0,567,92,523,190,23,2,0
2015-04-10,117704,3294,2178,0,947,84,221,174,70,7,0
2015-04-11,105037,3103,1766,0,475,233,358,186,33,6,0
2015-04-12,67913,2153,1193,0,550,50,478,76,30,6,0
2015-04-13,67337,3233,1846,0,1784,251,596,81,120,6,0
2015-04-14,63349,3125,1675,0,980,873,128,89,304,6,0
2015-04-15,79143,2995,1407,0,863,54,208,67,97,4,0
2015-04-16,65038,5458,2046,0,698,33,181,108,112,6,0
2015-04-17,34064,4188,1356,0,623,25,234,61,94,4,0
2015-04-18,41865,3242,1132,0,389,0,220,57,79,0,0
2015-04-19,114962,2599,1039,0,284,0,337,62,47,0,4
2015-04-20,90707,3955,1819,0,494,29,218,125,68,1,0
2015-04-21,41638,4572,1967,0,534,122,230,110,93,7,0
2015-04-22,49784,794,1961,0,464,140,277,115,75,4,0
2015-04-23,62596,6036,2438,0,944,144,274,104,56,4,0
2015-04-24,57387,6173,2406,0,1101,132,279,77,63,4,0
2015-04-25,79227,3298,1501,0,988,139,86,42,87,4,0
2015-04-26,68773,3976,1689,0,616,425,15,44,88,4,0
2015-04-27,23773,5718,2556,0,453,1723,104,53,95,4,0
2015-04-28,11833,2711,2158,0,376,944,189,90,103,4,0
2015-04-29,66406,4015,1860,0,297,1545,122,44,29,4,0
2015-04-30,106246,4781,1567,0,251,2771,176,56,39,4,0
2015-05-01,216190,4541,1619,0,0,53,246,44,54,6,0
2015-05-02,158838,2359,1530,0,0,131,244,53,36,4,1
2015-05-03,87951,2972,1710,0,0,716,230,41,34,4,0
2015-05-04,165922,4864,1421,0,0,1795,272,100,51,2,2
2015-05-05,40603,4946,1740,0,0,3546,192,62,63,3,1
2015-05-06,76987,4782,1629,0,0,2203,207,90,60,4,0
2015-05-07,100395,4981,1420,0,0,2856,237,70,345,5,3
2015-05-08,108970,5195,1898,0,0,3097,214,84,1,6,0
2015-05-09,99652,5711,808,0,0,168,128,46,0,3,0
2015-05-10,154501,3781,574,0,0,1343,38,163,47,1,0
2015-05-11,153160,6238,710,1,0,17,169,111,280,0,0
2015-05-12,104161,5303,441,1,0,2497,87,285,183,0,0
2015-05-13,138125,5027,1926,145,0,634,149,170,90,0,0
2015-05-14,131534,4895,1930,1180,0,2447,206,83,74,0,0
2015-05-15,119875,5832,1055,2055,0,1576,213,97,64,0,0
2015-05-16,93890,1304,719,1330,0,407,94,69,56,0,0
2015-05-17,98980,2137,775,1391,0,2966,104,32,64,0,0
2015-05-18,103769,4130,1534,1919,0,2147,99,117,62,0,0
2015-05-19,64009,4831,1355,2290,0,2627,239,61,79,0,0
2015-05-20,239690,4203,1447,2757,0,1081,168,205,91,0,0
2015-05-21,177140,4414,1894,1343,0,1826,134,256,123,0,0
2015-05-22,94121,4148,2044,1402,0,891,176,111,115,0,0
2015-05-23,65157,2215,1358,955,0,52,236,280,51,0,0
2015-05-24,101619,2211,1597,817,0,523,125,176,29,0,0
2015-05-25,109709,4561,1220,997,0,2110,64,19,65,0,0
2015-05-26,55242,4968,1499,1186,0,925,189,134,74,0,0
2015-05-27,82157,4682,1613,1455,0,2366,163,148,104,0,0
2015-05-28,124589,5195,1810,1534,0,3391,172,141,105,0,0
2015-05-29,71921,4927,2217,1430,0,2664,133,107,134,0,0
2015-05-30,71697,2752,1156,936,0,2046,80,119,56,0,0
2015-05-31,103116,3097,1330,1098,0,848,78,111,37,0,0
2015-06-01,99701,5040,1139,1451,0,6108,127,113,99,0,0
2015-06-02,79698,3377,1079,1998,0,3185,131,130,32,0,0
2015-06-03,130259,5504,1633,2533,0,4283,319,158,266,0,0
2015-06-04,120189,5079,1773,1936,0,1808,286,113,522,0,0
2015-06-05,73763,5136,1542,1988,0,3923,238,165,1044,0,0
2015-06-06,50710,2709,3228,1311,0,3300,97,69,386,0,0
2015-06-07,149819,2704,3006,1337,0,547,57,144,87,0,0
2015-06-08,248013,3536,2673,1712,0,128,166,134,119,0,0
2015-06-09,190491,3429,1825,1533,0,103,238,122,139,0,0
2015-06-10,151182,4090,1853,1749,0,148,157,95,102,0,0
2015-06-11,294488,3227,1580,1994,0,832,164,139,191,0,0
2015-06-12,442223,3822,1706,1435,0,106,237,70,122,0,0
2015-06-13,323276,2431,989,1141,0,95,239,152,74,0,0
2015-06-14,169041,2691,441,1260,0,167,270,81,67,0,0
2015-06-15,251132,3272,874,2433,0,83,192,165,86,0,0
2015-06-16,298431,3253,1120,1698,0,75,147,93,164,0,0
2015-06-17,128244,3239,1295,1434,0,171,194,79,85,0,0
2015-06-18,64914,3173,2147,1545,0,134,242,34,75,0,0
2015-06-19,129572,3576,2130,1635,0,107,123,214,94,0,0
2015-06-20,116995,2922,1419,1233,0,184,49,298,140,0,0
2015-06-21,51886,2893,1106,1064,0,62,37,76,120,0,0
2015-06-22,220720,2963,1331,1328,0,208,167,60,248,0,0
2015-06-23,111297,3191,1522,1707,0,560,133,82,72,0,0
2015-06-24,145421,4034,1590,1792,0,173,182,288,97,0,0
2015-06-25,370473,3127,1284,1404,0,750,87,200,82,0,0
2015-06-26,266796,2681,1523,2979,0,298,170,176,369,0,0
2015-06-27,296113,2544,1126,1821,0,108,251,278,532,0,0
2015-06-28,318221,2901,1361,4136,0,212,252,134,420,0,0
2015-06-29,352718,3113,1511,4371,0,207,271,239,85,0,0
2015-06-30,340646,3698,1970,1716,0,182,156,119,136,0,0
2015-07-01,87822,3491,1878,11607,0,161,160,256,119,0,0
2015-07-02,117027,3694,1357,4553,0,413,146,225,65,0,0
2015-07-03,235414,3285,1355,1077,0,508,199,168,82,0,0
2015-07-04,137790,2503,876,819,0,495,178,25,48,0,0
2015-07-05,170059,2492,721,1734,0,461,89,84,56,0,0
2015-07-06,216095,3255,1089,10648,0,321,54,123,117,0,0
2015-07-07,149640,3260,1216,10869,0,172,162,228,131,0,0
2015-07-08,43452,3161,1369,4306,0,169,150,167,98,0,0
2015-07-09,59115,3197,1311,1872,0,315,134,309,86,0,0
2015-07-10,56509,4033,1226,1757,0,195,59,177,102,0,0
2015-07-11,50486,3135,842,952,0,209,97,62,86,0,0
2015-07-12,68642,3060,947,1128,0,293,72,31,63,0,0
2015-07-13,57856,4315,1178,3169,0,395,284,108,68,0,0
2015-07-14,46203,1894,1345,3516,0,364,194,96,91,0,3
2015-07-15,58177,3396,1241,3038,0,163,184,195,134,0,0
2015-07-16,97709,3020,976,2405,0,236,150,219,249,0,0
2015-07-17,64836,2899,1122,1990,0,314,123,237,201,0,0
2015-07-18,132576,2422,936,1172,0,218,93,36,64,0,0
2015-07-19,140971,2119,1037,1048,0,200,77,65,47,0,0
2015-07-20,217345,3649,996,2780,0,362,152,183,79,0,0
2015-07-21,159969,3649,1105,4515,0,374,118,224,164,0,0
2015-07-22,189115,3408,1129,5225,0,311,217,91,103,0,0
2015-07-23,81160,3114,953,2801,0,271,223,95,58,0,0
2015-07-24,90488,3585,1077,3292,0,302,122,111,33,0,0
2015-07-25,254762,2558,821,2590,0,124,60,75,41,0,2
2015-07-26,308415,2555,672,2216,0,186,82,63,22,0,0
2015-07-27,257349,3354,834,1867,0,371,237,231,43,0,0
2015-07-28,113665,3694,903,2754,0,489,78,273,127,0,0
2015-07-29,11059,3793,917,3010,0,375,83,226,126,0,0
2015-07-30,5497,3465,900,2748,0,469,96,97,145,0,1
2015-07-31,3565,2805,924,3743,0,351,73,64,232,0,0
