Day,[TACC STAMPEDE] Number of Jobs Running,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running
2013-04-25,3041,5235,3709,10165,1133,1331,1025,404,343,18,63,0,0
2013-04-26,3107,4804,2710,6461,1504,1107,978,895,195,17,47,0,0
2013-04-27,7435,4951,1614,6560,663,1775,919,540,643,51,33,0,0
2013-04-28,6099,4042,3234,290,400,1885,978,486,200,82,11,0,0
2013-04-29,4351,4256,4526,277,489,1302,1077,463,181,115,16,0,0
2013-04-30,1546,5198,4647,714,353,897,1163,486,269,61,9,0,0
2013-05-01,2372,3483,4116,4767,895,805,1067,297,372,161,29,0,0
2013-05-02,10584,4040,8896,276,1311,693,942,50,181,127,28,0,0
2013-05-03,9248,3072,3625,446,1707,805,1053,213,202,78,48,0,0
2013-05-04,4942,4502,3293,9788,1312,927,606,222,157,102,13,0,0
2013-05-05,6645,2947,3255,183,1137,727,517,182,171,86,23,0,0
2013-05-06,5920,3096,13406,7077,1510,665,572,234,192,68,59,0,0
2013-05-07,1942,2021,10760,3083,1227,2170,569,165,220,63,49,0,0
2013-05-08,5668,1468,3377,1676,719,1758,1044,238,157,83,74,0,0
2013-05-09,5867,3095,2637,1353,1791,1626,1017,226,243,68,43,0,0
2013-05-10,1349,4470,2282,7957,2496,1364,1282,115,225,65,46,0,0
2013-05-11,6473,5082,2846,3727,1599,946,904,151,173,101,24,0,0
2013-05-12,6080,5773,3731,3412,2494,445,495,185,182,122,43,0,0
2013-05-13,6742,4132,2163,451,3414,1018,584,185,70,65,96,0,0
2013-05-14,1925,2308,3653,321,3029,1106,659,201,178,65,104,0,0
2013-05-15,6373,3546,8514,186,2478,1859,954,231,262,63,63,0,0
2013-05-16,6700,2803,6437,370,1833,3351,1008,204,197,65,59,0,0
2013-05-17,5390,3439,3171,216,1412,1122,771,118,172,26,29,0,0
2013-05-18,2412,2888,3470,1044,983,488,619,73,218,6,45,0,0
2013-05-19,5753,3332,4529,1067,958,431,646,44,281,2,30,0,0
2013-05-20,7153,2244,4500,221,2189,1145,855,237,201,1,36,0,0
2013-05-21,4778,2097,7097,115,2240,800,732,163,124,3,98,0,0
2013-05-22,6461,4052,5437,75,2699,1126,706,150,101,3,72,0,0
2013-05-23,10142,19645,4682,125,5305,956,767,67,232,4,29,0,0
2013-05-24,7324,2274,3923,69,3433,850,849,205,257,8,16,0,0
2013-05-25,2504,392,2349,33,2545,578,569,118,156,2,9,0,0
2013-05-26,2777,1139,3476,226,2315,753,1053,144,143,0,17,0,0
2013-05-27,4944,659,4605,210,1474,772,576,146,80,2,20,0,0
2013-05-28,7140,1156,3327,80,2344,1011,587,143,2,20,75,0,0
2013-05-29,8778,3839,5870,4126,3099,1068,879,159,88,10,57,0,0
2013-05-30,6830,4103,5519,4020,3030,1568,863,265,194,5,45,0,0
2013-05-31,2983,5108,3795,70,2729,1279,658,260,139,7,66,0,0
2013-06-01,0,3593,3626,145,916,1017,698,172,101,21,32,0,0
2013-06-02,968,3110,4721,83,621,1082,460,57,54,19,20,0,0
2013-06-03,4075,3180,5029,87,1399,2628,809,132,439,23,20,0,0
2013-06-04,6285,2308,5274,6017,1804,1721,746,204,277,20,51,0,0
2013-06-05,5931,3190,4964,23502,2189,2884,855,122,586,28,47,0,0
2013-06-06,6589,4369,4978,9563,1579,2359,924,170,356,33,55,0,0
2013-06-07,5043,1952,3387,8318,3002,2831,1017,123,441,255,62,0,0
2013-06-08,4943,3360,1582,195,6128,845,796,112,393,249,34,0,0
2013-06-09,4047,4002,1957,105,6615,571,1072,89,160,164,106,0,0
2013-06-10,5354,3734,4324,386,4177,1079,821,278,1,259,35,0,0
2013-06-11,5662,1975,3710,1794,1923,1376,305,170,0,207,40,0,0
2013-06-12,5631,6823,5020,9592,2758,1243,544,198,0,87,86,0,0
2013-06-13,7377,3282,1926,237,3986,1233,555,109,338,9,50,0,0
2013-06-14,10911,1903,4930,213,3480,1753,658,143,487,3,41,0,0
2013-06-15,8953,2655,2836,360,3319,1404,331,133,563,2,25,0,0
2013-06-16,7038,3640,2323,2602,2089,990,259,117,379,1,19,0,0
2013-06-17,4535,2324,2283,9180,1558,1058,756,427,226,16,21,0,0
2013-06-18,4628,3712,4609,4826,2038,1291,1229,376,239,31,58,0,0
2013-06-19,6107,3991,4567,2380,1881,1469,1437,327,331,66,75,0,0
2013-06-20,5246,5092,3496,2491,2102,1779,1048,175,860,22,35,0,0
2013-06-21,3802,3898,4899,4906,1857,770,749,130,292,28,46,0,0
2013-06-22,5384,2029,3320,2019,1721,1031,534,128,158,31,2,0,0
2013-06-23,5044,2001,3063,266,3007,1093,650,99,136,11,7,0,0
2013-06-24,4550,3247,4518,370,2141,875,1447,189,136,27,57,0,0
2013-06-25,766,2238,5480,146,2530,1195,1095,218,278,22,53,0,170
2013-06-26,4409,1382,7306,1924,1423,1546,1439,206,519,0,24,0,0
2013-06-27,7230,2017,2689,164,1613,2020,942,193,362,8,37,0,0
2013-06-28,4915,1567,6682,511,1973,1898,485,368,437,20,43,0,4
2013-06-29,6951,2352,3709,234,1834,547,135,54,236,50,12,0,0
2013-06-30,7992,2573,3136,150,3023,711,498,36,129,68,15,0,0
2013-07-01,6969,2925,6340,228,1933,1132,551,431,160,27,46,0,2
2013-07-02,4263,2943,6347,1502,1018,1210,614,271,104,25,50,0,5
2013-07-03,3719,1651,5516,1863,1523,1395,780,647,138,34,52,0,37
2013-07-04,3141,3826,4347,1340,1456,941,880,128,129,20,29,0,27
2013-07-05,4437,3517,4788,376,2343,810,652,226,127,308,52,0,28
2013-07-06,4797,3500,2549,2542,1323,511,1197,364,53,20,42,0,29
2013-07-07,4843,3553,2672,773,724,334,1513,191,87,16,15,0,24
2013-07-08,5240,2991,3905,861,1439,618,931,133,137,70,59,0,30
2013-07-09,4372,3040,3103,659,1217,888,473,65,86,60,33,0,115
2013-07-10,3773,3384,3007,1723,790,1060,439,41,158,92,24,0,34
2013-07-11,3290,3873,4027,1227,617,1365,511,288,124,21,38,0,49
2013-07-12,3770,3866,5049,625,573,1108,464,148,147,6,34,0,66
2013-07-13,4617,2370,3964,2588,1060,390,450,127,129,4,26,0,30
2013-07-14,3672,2381,3804,3659,845,547,644,132,82,4,28,0,0
2013-07-15,5012,2159,4168,2991,1081,1487,419,208,34,46,31,0,19
2013-07-16,6071,1298,3138,850,955,1729,380,200,93,16,60,0,17
2013-07-17,9030,1764,3523,235,832,2203,451,207,200,56,59,0,32
2013-07-18,6888,2638,3456,210,855,1208,528,73,666,45,41,0,19
2013-07-19,7997,4567,3332,36,823,1134,572,94,409,17,39,0,2
2013-07-20,7876,7767,1873,4371,524,1043,651,46,38,10,28,0,15
2013-07-21,7360,1977,3056,8449,701,1316,539,94,182,10,27,0,31
2013-07-22,8295,4882,2993,4092,769,1988,613,193,201,10,71,0,17
2013-07-23,1653,2034,1801,30,447,847,530,136,38,37,100,0,8
2013-07-24,3766,1671,2328,24,1036,838,630,165,22,59,19,0,8
2013-07-25,7205,3236,1342,24,1130,1373,582,238,62,32,50,0,31
2013-07-26,8766,3392,1918,28,832,1013,429,352,144,32,66,0,52
2013-07-27,7086,5151,2672,36,1186,961,314,154,212,30,21,0,29
2013-07-28,6408,4879,2821,36,1128,475,515,155,167,20,21,0,26
2013-07-29,15291,5699,3012,24,1630,948,584,207,144,34,29,0,10
2013-07-30,8215,3681,2967,29,1837,3981,450,251,30,36,8,0,0
2013-07-31,28454,5452,3308,77,2021,1770,373,260,43,36,22,0,0
