Day,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[SDSC DASH] Number of Jobs Running
2012-03-17,7147,946,127,2988,1421,83,127,323,121,17,111,5,42,0,0
2012-03-18,4324,893,44,4305,1415,77,345,237,247,12,26,9,58,0,0
2012-03-19,8637,1520,125,4008,1296,96,4,539,119,35,30,13,7,0,0
2012-03-20,16780,1603,5618,2957,1639,72,144,463,269,143,17,7,39,0,0
2012-03-21,17141,1566,77,2370,2179,463,723,185,330,193,45,10,75,0,0
2012-03-22,9099,1553,241,3280,1781,423,530,296,401,155,25,36,69,0,0
2012-03-23,8422,1259,121,3106,1761,335,30,243,99,85,16,3,74,0,0
2012-03-24,6857,887,20,1895,1822,646,239,351,72,57,8,2,18,0,0
2012-03-25,20693,1301,28,1865,2231,894,729,655,64,18,12,0,21,0,0
2012-03-26,20995,1982,145,2119,2153,720,653,334,60,50,52,2,18,0,0
2012-03-27,7819,1963,2480,1937,2528,479,174,139,83,50,56,12,11,0,0
2012-03-28,6462,2106,513,2163,3041,344,568,346,480,51,57,19,8,0,0
2012-03-29,5867,1728,4164,1725,2916,791,549,775,204,20,69,12,12,0,0
2012-03-30,6759,2115,804,1620,3108,859,349,996,70,19,34,7,6,0,0
2012-03-31,17246,77,214,1571,2701,664,11,370,78,10,0,2,4,0,0
2012-04-01,46286,442,56,2532,1888,409,234,508,31,28,0,4,0,0,0
2012-04-02,8491,1314,133,2298,1747,5901,965,234,21,169,0,0,0,0,0
2012-04-03,6252,2496,2085,2316,1549,723,562,327,55,189,57,1,0,0,0
2012-04-04,5054,2032,191,2260,1750,1930,475,271,35,188,52,2,0,0,0
2012-04-05,5338,2202,98,2231,1994,4338,352,206,130,165,14,5,0,0,0
2012-04-06,6041,2924,1114,2267,1616,3809,51,294,70,55,19,1,0,0,0
2012-04-07,7326,1767,3504,1473,1506,327,199,205,79,109,27,1,0,0,0
2012-04-08,16146,1366,96,2562,1126,628,292,160,46,98,13,3,0,0,0
2012-04-09,6857,1825,6642,2131,1906,406,356,190,95,131,51,2,0,0,0
2012-04-10,8825,2090,16396,2483,1828,504,379,313,138,135,101,3,0,0,0
2012-04-11,5598,1887,3413,3051,1775,394,537,235,56,18,44,4,0,0,0
2012-04-12,5522,5030,10547,2470,1325,438,621,225,125,116,33,6,0,0,0
2012-04-13,7405,5476,7095,1702,1638,265,2,264,126,107,18,2,0,0,0
2012-04-14,11209,3959,14034,1479,926,176,170,255,83,105,53,0,0,0,0
2012-04-15,3494,2929,13440,1487,1015,146,465,113,64,128,17,0,0,0,0
2012-04-16,1890,6488,6519,1829,1430,550,361,42,101,106,95,1,0,0,0
2012-04-17,7115,7278,4826,1295,447,844,87,356,144,6,60,0,0,0,0
2012-04-18,4247,5400,4272,1294,1325,639,541,228,103,69,82,3,0,0,0
2012-04-19,8879,3897,5762,1336,1884,568,502,170,109,119,48,3,0,0,0
2012-04-20,5738,4167,10408,1288,1717,738,444,223,99,135,42,3,0,0,0
2012-04-21,9783,2232,8602,828,1741,518,328,152,91,113,9,1,0,0,0
2012-04-22,6451,2447,3668,948,1616,595,103,160,76,59,13,0,0,0,0
2012-04-23,4011,4369,5500,1308,1549,742,300,205,100,139,35,0,0,0,0
2012-04-24,9808,6167,4375,1178,0,391,0,275,96,0,30,0,0,0,0
2012-04-25,8907,5476,6747,1259,0,2635,0,268,83,0,37,0,0,0,0
2012-04-26,6309,4451,88,1171,0,3100,0,225,125,0,37,0,0,0,0
2012-04-27,6313,2610,52,1539,0,1328,0,268,108,0,38,0,0,0,0
2012-04-28,5969,1320,44,1809,0,1809,0,186,397,0,60,0,0,0,0
2012-04-29,966,2310,34,1695,0,1245,0,198,27,0,20,0,0,0,0
2012-04-30,1455,4934,24,1871,4,976,0,230,148,0,102,0,0,0,0
2012-05-01,1770,5170,53,2017,95,1231,0,263,81,0,79,0,0,0,0
2012-05-02,7880,3351,486,2030,599,1464,0,237,95,19,32,0,0,0,0
2012-05-03,4546,4175,1086,1991,1908,1059,0,234,55,130,15,4,0,0,0
2012-05-04,2163,4886,855,1368,1677,1154,3,253,116,159,14,8,0,0,0
2012-05-05,4148,2816,1226,2574,1772,883,172,284,35,78,14,0,0,0,0
2012-05-06,4157,3663,854,1651,1857,605,502,245,62,62,5,1,0,0,0
2012-05-07,3266,5468,10729,1061,1317,857,555,496,51,57,32,2,0,0,0
2012-05-08,4596,5811,7645,1347,991,594,433,507,83,61,20,0,0,0,0
2012-05-09,7847,7971,1834,2240,2000,575,470,253,66,43,23,1,0,0,0
2012-05-10,10742,5482,7679,2534,1557,361,456,271,135,39,30,3,0,0,0
2012-05-11,6691,3302,10389,1301,1324,1048,424,362,77,39,15,4,0,0,0
2012-05-12,3273,2023,2120,789,1668,989,288,178,49,51,6,2,0,0,0
2012-05-13,3969,4020,2848,1058,1498,1163,266,199,48,86,3,0,0,0,0
2012-05-14,2904,4361,4193,1403,1389,533,392,275,56,85,7,1,0,0,0
2012-05-15,32,3191,142,2569,1704,1464,438,263,63,95,5,4,0,0,0
2012-05-16,0,3768,0,1014,1574,1085,518,309,65,61,14,1,0,0,0
2012-05-17,1680,3487,40,1911,1594,1133,471,267,81,65,15,3,0,0,0
2012-05-18,1579,4222,3219,1079,1258,915,438,305,199,91,6,2,0,0,0
2012-05-19,149,1267,3331,1692,1034,992,336,170,58,57,4,0,0,0,0
2012-05-20,151,5977,4716,954,1490,744,391,196,43,48,19,0,0,0,0
2012-05-21,318,7302,2121,650,1317,388,600,242,51,62,42,10,0,0,0
2012-05-22,5951,4478,2611,945,499,1060,453,205,89,32,29,3,0,0,0
2012-05-23,4653,5802,6149,1359,1876,438,455,215,162,41,38,7,0,0,0
2012-05-24,9887,7283,2627,1245,1765,1256,370,217,264,49,34,4,0,0,0
2012-05-25,5073,5674,1156,3330,1721,712,349,178,52,40,47,10,0,0,0
2012-05-26,3112,7573,1425,1105,1656,72,419,199,28,5,17,5,0,0,0
2012-05-27,5108,6400,4838,26,1771,0,604,175,24,11,9,17,0,0,0
2012-05-28,5483,4994,559,2346,1984,0,520,161,102,9,9,1,0,0,0
2012-05-29,6176,4660,21381,5432,1845,0,282,326,92,39,18,1,0,0,0
2012-05-30,7547,198,12859,4209,1614,396,414,175,145,22,26,1,0,0,0
2012-05-31,9361,8636,1149,3663,1439,965,364,285,102,21,42,0,0,0,0
2012-06-01,6456,6506,2632,6228,1253,597,461,274,93,30,13,0,0,0,0
2012-06-02,6066,3901,5259,3230,1288,758,400,170,55,29,11,0,0,0,0
2012-06-03,5124,8062,6540,3012,1371,746,316,160,102,17,8,0,0,0,0
2012-06-04,4593,6217,10495,3020,1454,689,435,207,412,77,26,0,0,0,0
2012-06-05,3324,6143,1280,2695,1918,1247,449,236,293,119,12,0,0,0,0
2012-06-06,5032,9689,3874,1088,1660,1209,573,252,338,89,27,0,0,0,0
2012-06-07,7633,12545,4339,1224,2007,1421,382,236,372,103,27,42,0,0,0
2012-06-08,6240,8958,3880,682,1592,1296,363,185,324,98,86,1,0,0,0
2012-06-09,5323,8440,4868,1370,1470,1030,340,139,329,38,27,3,0,0,0
2012-06-10,3713,5959,3600,2558,1106,1150,351,257,350,8,18,0,0,0,0
2012-06-11,6094,2840,3164,2229,1294,1623,396,231,349,70,42,0,0,0,0
2012-06-12,5653,4408,2684,1972,1458,1374,427,208,329,97,56,0,0,0,0
2012-06-13,5720,5864,3057,2222,1475,1096,439,173,451,107,65,0,0,0,0
2012-06-14,5046,5280,5790,7801,1361,2274,407,464,542,63,57,2,0,0,0
2012-06-15,5006,6752,5523,3936,1648,1852,419,207,593,111,50,9,0,0,0
2012-06-16,4965,9232,4496,5171,1508,2596,425,401,297,31,25,4,0,0,0
2012-06-17,5263,12970,4072,5778,1306,1443,498,352,225,23,22,4,0,0,0
2012-06-18,6944,7771,4823,6399,1826,506,514,304,95,486,39,7,0,0,0
2012-06-19,9939,803,3590,1154,1804,1144,533,243,230,287,11,4,0,0,0
2012-06-20,8008,2292,4410,3323,2160,874,572,347,173,621,31,0,0,0,0
2012-06-21,8820,3023,2843,1199,1759,1215,657,155,132,222,35,1,0,0,0
2012-06-22,6753,4403,829,1281,2325,839,687,161,176,403,30,6,0,0,0
2012-06-23,6410,4208,1823,888,1794,2140,674,189,168,435,20,0,0,0,0
2012-06-24,6625,3404,2062,1023,1711,1005,723,257,179,135,24,1,0,0,0
2012-06-25,11106,4201,1708,821,2076,1081,702,280,222,141,22,6,0,0,0
2012-06-26,13695,3558,1178,1322,1849,1231,657,333,191,139,23,0,0,0,0
2012-06-27,11900,1194,354,1450,1993,1737,601,117,158,144,44,0,0,0,0
2012-06-28,20740,1451,822,1260,2071,2169,554,182,158,92,84,7,0,0,0
2012-06-29,17527,4394,2992,1189,1690,1482,822,386,88,154,100,44,0,0,0
2012-06-30,14958,7338,3419,1337,1616,600,733,140,31,94,63,64,0,0,0
2012-07-01,6889,2714,433,930,1255,535,579,160,124,51,20,6,0,0,0
2012-07-02,6219,4289,515,2047,2185,1067,723,247,173,145,125,2,0,0,0
2012-07-03,5343,2779,306,1925,1811,2062,881,219,116,160,36,0,0,0,0
2012-07-04,8785,3171,600,1028,1790,1987,908,121,72,88,16,1,0,0,0
2012-07-05,4671,2113,273,1095,1882,1047,733,213,161,104,21,6,0,0,0
2012-07-06,6492,2784,252,924,2297,1447,846,186,154,41,60,20,0,0,0
2012-07-07,6355,2508,232,951,1584,636,901,151,84,11,4,73,0,0,0
2012-07-08,2535,2998,172,771,1241,373,840,160,145,17,22,20,0,0,0
2012-07-09,3177,5259,572,943,2558,814,785,243,156,14,58,14,0,0,0
2012-07-10,704,3518,1433,1569,2107,1017,589,201,140,85,37,5,0,0,0
2012-07-11,447,3264,458,1800,1843,1086,557,255,102,73,22,10,0,0,0
2012-07-12,275,3171,552,986,1666,1555,657,234,71,51,96,9,0,10,0
2012-07-13,1786,2655,489,1419,1998,1246,659,139,25,34,62,10,0,10,0
2012-07-14,2523,2724,372,592,1101,821,583,105,39,10,13,48,0,12,0
2012-07-15,5171,2211,232,533,1157,498,774,162,74,8,13,6,0,4,0
2012-07-16,7229,3442,337,697,1486,808,644,205,136,27,68,7,0,33,0
2012-07-17,4416,3354,1008,799,1890,1126,704,162,46,47,75,17,0,4,0
2012-07-18,2469,4653,2328,1564,2072,1616,841,260,112,33,32,13,0,3,0
2012-07-19,4448,2345,508,3937,1837,1431,475,136,108,29,59,35,0,0,0
2012-07-20,3796,3234,590,3085,1539,2099,474,110,133,32,27,7,0,0,0
2012-07-21,6525,2899,528,1046,1477,973,488,165,149,19,23,2,0,0,0
2012-07-22,10179,2710,608,1130,1364,783,541,151,117,12,13,0,0,0,0
2012-07-23,5161,3537,1728,1087,1421,1246,630,146,238,33,41,6,0,0,0
2012-07-24,3754,2600,5848,875,1768,1472,134,189,393,63,58,4,0,0,0
2012-07-25,2286,4847,6042,1017,1844,2582,450,298,327,43,28,9,0,0,0
2012-07-26,1370,2180,6133,841,1767,1371,571,379,313,19,26,3,0,0,0
2012-07-27,2122,2273,4823,1049,1857,1316,586,313,245,29,12,6,0,0,0
2012-07-28,2044,2481,1504,972,1664,490,409,218,299,33,2,0,0,1,0
2012-07-29,2411,2080,1237,1012,1672,242,435,212,133,21,33,1,0,14,0
2012-07-30,5078,3320,1957,1585,1584,1759,452,156,163,4,5,3,0,15,0
2012-07-31,7057,3653,1834,2809,792,1842,873,277,200,22,54,5,0,11,0
