Day,[PURDUE STEELE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[NCAR FROST] Number of Jobs Running
2011-08-29,3517,10556,1577,1716,844,471,603,142,119,0,14,56,75,6,3,6,0,3
2011-08-30,4809,7962,2411,1711,1106,296,487,118,132,0,52,78,46,3,5,12,0,6
2011-08-31,3365,4747,3295,1907,767,582,242,255,159,0,44,66,22,2,4,1,0,0
2011-09-01,2723,4853,1654,1634,876,332,399,24,247,0,58,115,1,2,5,0,0,0
2011-09-02,4429,4252,2526,1600,638,645,295,28,149,0,49,101,0,9,5,0,0,0
2011-09-03,4598,7542,2522,1204,636,220,283,5,100,0,60,60,0,2,9,1,0,0
2011-09-04,4140,5268,3663,1194,390,708,232,15,71,0,55,56,0,1,11,0,0,0
2011-09-05,3103,3624,3257,1429,229,672,163,109,109,0,44,53,10,0,8,0,0,0
2011-09-06,3257,3338,1078,1763,500,589,264,198,219,0,51,51,4,6,9,4,0,0
2011-09-07,4663,2574,1174,1679,638,631,331,106,259,0,55,84,3,5,3,9,2,0
2011-09-08,2674,2594,702,1442,35,571,527,24,219,0,57,56,15,9,0,16,0,0
2011-09-09,1368,5041,840,1657,1,277,508,27,194,0,55,102,14,20,16,1,0,0
2011-09-10,3932,9530,2140,952,206,394,228,8,184,0,62,94,3,7,17,0,0,0
2011-09-11,5164,4068,2601,1072,297,280,176,52,137,0,41,104,0,8,0,0,3,0
2011-09-12,3444,1492,1975,1432,858,678,570,38,152,0,55,81,7,8,0,1,0,0
2011-09-13,6296,2179,1410,1951,770,896,608,43,127,0,82,84,76,8,0,0,0,0
2011-09-14,3479,3037,1905,1566,607,660,423,22,112,0,119,71,3,5,0,0,0,0
2011-09-15,5688,4086,2856,2032,638,589,338,117,173,0,107,107,1,6,0,1,0,0
2011-09-16,5851,4849,2409,1601,636,546,336,18,63,0,83,74,0,0,0,10,0,0
2011-09-17,6587,5048,1552,1404,372,400,287,6,31,0,89,62,0,2,0,0,0,0
2011-09-18,10710,4941,4498,1036,150,48,227,10,28,0,87,60,0,7,0,0,0,0
2011-09-19,15480,5114,3281,1509,140,147,408,33,38,0,69,61,0,10,0,0,0,0
2011-09-20,13210,4550,1830,1705,530,22,254,64,36,5,70,57,0,9,1,2,0,0
2011-09-21,13350,5296,1793,1143,610,0,295,92,75,2,56,33,0,5,0,7,0,0
2011-09-22,3678,6433,2007,1385,632,384,255,57,84,24,72,61,0,9,0,4,0,0
2011-09-23,2010,9800,2142,1384,596,630,272,63,69,30,50,53,0,6,0,11,0,0
2011-09-24,600,7954,979,1153,333,472,235,25,39,1,54,44,0,6,0,0,0,0
2011-09-25,673,8165,1933,995,514,269,189,19,31,0,46,42,0,12,0,0,0,0
2011-09-26,1621,4422,3666,1371,636,518,313,6,70,36,51,55,14,4,0,0,0,0
2011-09-27,555,7221,1480,1688,750,621,332,94,60,28,61,112,6,3,0,0,0,0
2011-09-28,1642,5459,2164,1647,502,843,258,234,82,21,52,92,16,1,0,0,0,0
2011-09-29,11321,3342,308,1473,659,560,301,218,56,71,39,33,13,13,0,0,0,0
2011-09-30,22961,4432,929,1527,501,899,631,116,20,62,44,145,5,8,0,0,0,0
2011-10-01,11717,7324,991,723,329,596,264,9,9,16,13,38,13,1,0,0,0,0
2011-10-02,39115,5664,992,1103,458,441,470,12,27,71,2,34,13,17,0,0,0,0
2011-10-03,21967,4047,2143,1088,660,259,195,35,15,163,8,32,16,3,1,0,0,0
2011-10-04,19849,4826,2597,417,800,17,107,118,32,74,5,42,17,0,0,0,0,0
2011-10-05,37576,8632,2290,1582,422,162,759,105,18,19,14,60,18,7,0,0,0,0
2011-10-06,21207,6025,1836,1530,399,406,389,93,21,28,11,25,14,6,1,0,0,0
2011-10-07,20953,3496,1911,1486,608,449,297,244,21,20,6,27,0,2,1,0,0,0
2011-10-08,17579,7680,1484,1292,1602,294,306,7,6,2,7,15,0,1,0,0,0,0
2011-10-09,11684,10273,2486,1291,1145,90,369,184,1,0,2,13,0,3,0,0,0,0
2011-10-10,8669,9699,2187,1517,306,254,158,140,2,1,5,13,23,15,0,0,0,0
2011-10-11,6263,7180,2234,1296,407,0,0,20,9,3,19,72,0,14,0,0,0,0
2011-10-12,9643,5870,2542,1534,842,10,545,98,11,43,13,6,0,6,1,0,0,0
2011-10-13,12805,3901,1498,2067,952,168,635,104,31,55,57,40,0,3,0,0,0,0
2011-10-14,14519,2416,811,1689,912,574,1174,14,9,74,14,8,0,11,0,0,0,0
2011-10-15,10114,6621,751,1518,689,386,288,12,11,52,5,13,0,2,0,0,0,0
2011-10-16,12855,12405,1952,1074,316,261,192,8,4,76,4,10,0,1,0,0,0,0
2011-10-17,35000,11422,2060,1478,436,7,259,10,12,107,11,7,0,8,0,0,0,0
2011-10-18,39338,2961,1439,754,130,115,412,106,17,60,35,0,0,4,0,0,0,0
2011-10-19,38569,601,1902,1217,504,392,560,20,4,56,17,0,1,7,0,0,0,0
2011-10-20,3557,2730,1340,1264,552,193,617,11,0,68,24,0,0,10,0,0,0,0
2011-10-21,3959,14964,1771,818,752,525,498,39,3,64,30,0,0,1,0,0,0,0
2011-10-22,6449,10189,1665,916,417,206,296,20,2,70,18,0,0,0,0,0,0,0
2011-10-23,10034,1969,1437,860,417,186,138,22,1,91,25,0,0,2,0,0,0,0
2011-10-24,13291,3849,2257,1416,927,552,183,152,10,55,16,0,2,10,1,0,0,0
2011-10-25,7136,7625,1827,1233,1128,453,262,104,23,96,30,0,2,3,0,0,0,0
2011-10-26,13831,5411,1460,1549,629,29,429,112,29,61,8,0,1,5,3,0,0,0
2011-10-27,9976,8959,1389,1543,949,213,437,28,54,60,9,0,0,1,3,0,0,0
2011-10-28,11552,2509,1623,1689,691,642,370,33,32,74,7,0,0,5,9,0,0,0
2011-10-29,10162,2549,1922,1179,506,426,220,7,15,55,5,0,0,5,3,0,0,0
2011-10-30,7936,3378,2398,2796,549,541,247,24,18,115,3,0,0,0,2,0,0,0
2011-10-31,9063,3289,2233,3422,801,678,437,0,33,137,7,0,0,6,5,0,0,0
2011-11-01,5724,2503,2689,2604,845,78,345,179,32,90,9,0,0,9,1,0,0,0
2011-11-02,8270,2430,2270,1697,1035,192,202,155,18,191,7,0,0,8,0,0,0,0
2011-11-03,7831,3792,2278,1479,885,544,475,35,0,54,4,0,0,20,0,0,0,0
2011-11-04,5700,3132,2363,1217,877,543,437,161,11,142,13,0,0,3,0,0,0,0
2011-11-05,7896,1412,2500,1094,399,382,183,23,10,86,7,0,0,5,1,0,0,0
2011-11-06,9401,4452,1251,1450,157,424,192,19,10,55,10,0,0,4,0,0,0,0
2011-11-07,10112,4992,491,751,611,399,478,15,4,107,27,0,0,6,3,0,0,0
2011-11-08,4909,5018,922,1559,1186,172,455,51,14,85,27,0,0,4,9,0,0,0
2011-11-09,4868,1621,2121,1650,814,619,253,39,12,79,37,0,0,9,7,0,0,0
2011-11-10,4676,462,889,1620,875,175,350,38,11,57,46,0,0,6,0,0,0,0
2011-11-11,6597,347,2785,1761,1066,456,500,37,12,63,51,0,0,3,0,0,0,0
2011-11-12,6511,2128,1951,1379,548,488,389,30,11,45,15,0,0,6,0,0,0,0
2011-11-13,6974,3466,2414,1491,562,364,337,33,11,187,11,0,0,1,0,0,0,0
2011-11-14,5710,3723,2198,1843,692,214,493,37,22,41,7,0,0,1,0,0,0,0
2011-11-15,7310,6811,2233,1615,650,613,717,65,44,26,17,0,0,6,0,0,0,0
2011-11-16,6670,5738,2192,1627,899,514,722,40,21,30,10,0,0,4,0,0,0,0
2011-11-17,5298,8189,1360,1509,1765,477,395,46,13,73,12,0,0,5,5,0,0,0
2011-11-18,3136,11751,1073,916,1961,12,189,56,19,74,6,0,0,4,10,0,0,0
2011-11-19,4412,4348,1350,1240,1073,168,44,127,23,55,2,0,0,2,1,0,0,0
2011-11-20,3466,5939,1206,1166,1276,362,38,75,35,57,1,0,0,2,0,0,0,0
2011-11-21,4455,18367,1267,1159,2091,347,244,169,33,60,20,0,0,3,0,0,0,0
2011-11-22,7904,46731,1286,1280,2027,511,234,46,18,93,76,0,0,2,0,0,0,0
2011-11-23,4808,53884,1319,1377,1977,459,273,65,10,65,27,0,0,0,0,0,0,0
2011-11-24,4468,55114,480,1264,1715,304,177,61,12,48,2,0,0,0,0,0,0,0
2011-11-25,11025,43432,674,969,2246,5,135,24,12,76,3,0,0,0,0,0,0,0
2011-11-26,10807,43438,918,1100,2091,125,72,124,8,91,2,0,0,2,0,0,0,0
2011-11-27,3039,36374,1470,668,2627,358,213,122,18,28,3,0,0,19,0,0,0,0
2011-11-28,4612,19072,1566,703,2404,354,392,284,27,61,9,0,0,6,0,0,0,0
2011-11-29,4186,667,1411,748,2452,295,209,261,26,103,30,0,0,1,0,0,0,0
2011-11-30,10597,1035,1379,1515,2442,0,287,146,22,86,22,0,0,4,0,0,0,0
2011-12-01,9265,33,1528,1196,2319,149,701,329,21,58,48,0,0,2,1,0,0,0
2011-12-02,7555,51,1429,1162,2096,676,648,166,20,194,7,0,0,3,30,0,0,0
2011-12-03,5329,27,1495,1182,1877,560,259,115,49,61,8,0,0,0,16,0,0,0
2011-12-04,3298,26,1756,737,1713,2,338,210,46,38,6,0,0,0,0,0,0,0
2011-12-05,7359,1739,1805,1172,2070,66,577,250,31,68,21,0,0,0,0,0,0,0
2011-12-06,3760,4571,2884,1071,2139,527,455,112,24,87,62,0,0,2,4,0,0,0
2011-12-07,4405,3189,2597,1545,2088,424,183,75,28,89,48,0,0,1,0,0,0,0
2011-12-08,5366,32,1040,1114,1393,412,483,29,15,19,9,0,0,1,4,0,0,0
2011-12-09,4893,26,1871,1396,785,203,471,47,13,67,2,0,0,1,0,0,0,0
2011-12-10,2550,26,1165,1547,816,744,461,38,7,51,0,0,0,0,4,0,0,0
2011-12-11,4491,25,1727,1342,533,526,381,57,4,51,4,0,0,2,12,0,0,0
2011-12-12,10388,25,1971,1113,706,514,383,40,11,79,19,0,0,3,10,0,0,0
2011-12-13,9001,25,1524,1157,762,167,344,80,2,55,66,0,0,1,7,0,0,0
2011-12-14,7570,25,2237,1258,1163,603,413,157,44,102,72,0,0,5,4,0,0,0
2011-12-15,6850,29,1571,1076,1203,691,181,206,15,48,49,0,0,5,1,0,0,0
2011-12-16,5544,158,2023,1186,984,908,206,212,2,51,19,0,0,3,0,0,0,0
2011-12-17,6848,25,1529,946,1133,438,122,989,0,24,3,0,0,0,0,0,0,0
2011-12-18,6765,28,1439,860,656,395,107,684,0,14,121,0,0,3,0,0,0,0
2011-12-19,4943,58,2582,1137,796,693,177,276,11,53,364,0,0,10,0,0,0,0
2011-12-20,10893,123,2020,1462,626,585,174,106,5,117,116,0,0,19,0,0,0,0
2011-12-21,2999,69,1937,1242,675,520,126,22,20,23,125,0,0,41,0,0,0,0
2011-12-22,1962,44,615,1209,176,119,97,75,10,33,178,0,0,44,0,0,0,0
2011-12-23,2883,25,701,1039,447,349,96,115,10,94,18,0,0,61,0,0,0,0
2011-12-24,2820,45,672,866,266,111,86,293,11,68,6,0,0,41,0,0,0,0
2011-12-25,2072,25,1001,805,235,298,67,313,8,47,0,0,0,0,0,0,0,0
2011-12-26,1921,25,896,958,1099,455,140,194,2,53,0,0,0,0,0,0,0,0
2011-12-27,1829,24,882,1336,681,732,160,289,2,26,0,0,0,0,0,0,0,0
2011-12-28,4794,48,1198,1680,846,434,155,358,7,44,0,0,0,0,0,0,0,0
2011-12-29,2186,29,1419,931,2019,664,144,246,10,24,4,0,0,43,0,0,0,0
2011-12-30,965,2325,965,1149,2899,736,72,146,35,36,16,0,0,20,0,0,0,0
2011-12-31,1188,24,2756,864,2744,475,155,298,3,31,2,0,0,0,0,0,0,0
2012-01-01,1857,24,1571,888,2810,494,91,54,0,9,1,0,0,0,0,0,0,0
2012-01-02,2449,675,4426,782,3364,640,83,117,35,12,1,0,0,0,0,0,0,0
2012-01-03,1368,252,4954,60,3509,499,94,174,7,57,116,0,0,0,0,0,0,0
2012-01-04,1428,40,3565,0,3592,14,183,92,40,50,42,0,0,0,0,0,0,0
2012-01-05,1392,224,1083,750,3821,225,201,173,75,41,30,0,0,0,3,0,0,0
2012-01-06,1975,49,5601,1156,3641,681,220,67,114,58,43,0,0,2,0,0,0,0
2012-01-07,963,4671,4679,1073,3171,345,212,248,24,17,146,0,0,0,3,0,0,0
2012-01-08,696,1026,4195,909,2989,1188,158,321,12,38,202,0,0,0,9,0,0,0
2012-01-09,681,494,9968,795,3723,458,240,43,35,75,5,0,0,1,4,0,0,0
2012-01-10,890,7939,4511,505,3388,10,158,281,31,79,6,0,0,0,0,0,0,0
2012-01-11,3781,79,4967,1361,2686,159,148,64,6,29,14,0,0,3,3,0,0,0
2012-01-12,8335,2764,5055,1320,1708,481,238,169,8,50,26,0,0,3,0,0,0,0
2012-01-13,5994,1224,5515,1390,2079,645,232,215,2,50,83,0,0,6,0,0,0,0
2012-01-14,5908,893,4082,997,1710,396,147,40,1,30,104,0,0,0,0,0,0,0
2012-01-15,3227,1073,4665,1085,1025,112,164,70,0,43,56,0,0,0,0,0,0,0
2012-01-16,3358,806,4910,1524,1259,740,187,264,4,30,17,0,0,1,0,0,0,0
2012-01-17,2156,580,4246,1238,1978,651,202,60,2,36,35,0,0,3,0,0,0,0
2012-01-18,2079,697,3652,1482,3564,763,227,76,2,157,21,0,0,3,0,0,0,0
2012-01-19,2011,111,1151,1773,2483,620,197,67,1,304,35,0,0,4,0,0,0,0
2012-01-20,2704,3321,2209,1392,2251,598,258,41,0,1235,119,0,0,0,0,0,0,0
2012-01-21,1845,48,2727,1221,1579,396,313,21,0,820,42,0,0,0,0,0,0,0
2012-01-22,487,33,1874,879,1219,403,324,13,7,57,19,0,0,0,0,0,0,0
2012-01-23,5336,1028,1913,1434,1289,686,296,27,20,129,29,0,0,1,0,0,0,0
2012-01-24,4072,29,3615,1770,1379,128,227,36,1,47,331,0,0,24,0,0,0,0
2012-01-25,3438,29,2956,1724,1672,532,227,68,2,55,43,0,0,9,2,0,0,0
2012-01-26,3181,25,145,1545,1489,208,254,94,1,57,31,0,0,3,2,0,0,0
2012-01-27,8094,24,806,1552,1663,889,276,234,0,69,27,0,0,23,0,0,0,0
2012-01-28,7997,24,646,1158,1240,723,197,67,0,46,17,0,0,32,0,0,0,0
2012-01-29,5436,24,827,1229,1292,382,140,58,5,67,5,0,0,29,22,0,0,0
2012-01-30,6099,424,1654,1777,1411,460,161,64,2,68,48,0,0,38,8,0,0,0
2012-01-31,4652,28,1758,1658,1721,126,40,118,0,70,58,0,0,3,3,0,0,0
