Day,[PURDUE STEELE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[NICS ATHENA] Number of Jobs Running,[NCSA ABE] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NCAR FROST] Number of Jobs Running,[ORNL NSTG] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[TACC SPUR] Number of Jobs Running
2011-07-09,1054,84,1276,1397,277,299,0,621,202,217,94,5,103,723,353,53,3,35,1,0
2011-07-10,2839,94,1705,1780,291,432,0,612,73,190,98,9,85,116,380,36,2,36,1,0
2011-07-11,3192,2264,2732,1286,456,698,0,508,432,263,345,15,223,102,58,85,4,34,0,5
2011-07-12,3065,1271,2473,1187,606,624,0,309,109,200,255,79,134,425,27,106,8,34,3,11
2011-07-13,2826,2944,1634,1344,1953,963,0,669,553,196,164,339,271,428,438,101,10,33,1,26
2011-07-14,4208,2844,1386,1221,4789,414,0,535,527,188,496,2123,131,115,574,93,7,26,3,11
2011-07-15,1999,1727,1257,1099,793,927,0,340,543,186,358,51,139,123,507,89,2,37,0,8
2011-07-16,668,619,1142,1153,3083,2236,0,340,178,189,215,186,62,115,374,55,6,38,0,1
2011-07-17,687,133,1991,1017,2301,2477,0,276,7,160,268,347,44,118,118,47,9,37,0,1
2011-07-18,3185,2920,1433,1212,910,171,0,291,138,250,322,939,158,150,262,97,5,37,3,2
2011-07-19,2268,1475,1208,1154,807,103,0,586,485,406,64,323,109,89,114,91,4,38,8,16
2011-07-20,15107,34998,1485,1015,2096,133,0,531,483,628,208,77,71,58,226,72,4,37,16,6
2011-07-21,2330,2647,2651,1148,3709,80,0,730,459,391,141,101,59,38,485,119,9,38,10,3
2011-07-22,1802,697,2179,1066,2821,59,0,262,326,257,102,91,37,23,408,88,2,37,13,20
2011-07-23,906,84,2608,941,3051,42,0,382,126,333,7,54,12,14,81,88,2,38,14,1
2011-07-24,811,386,3541,1085,2153,166,0,467,277,176,26,60,12,17,190,101,2,37,22,1
2011-07-25,1416,2110,2160,1301,5707,0,0,807,148,381,235,103,34,17,342,128,2,37,14,22
2011-07-26,4619,98,2525,1537,5627,0,0,1321,387,264,296,179,54,8,340,84,2,39,16,6
2011-07-27,11859,3524,2275,1444,3547,0,0,1557,407,239,264,191,136,10,434,85,3,38,0,5
2011-07-28,11079,616,1484,1419,701,0,0,1363,614,292,378,86,81,12,177,96,2,38,9,10
2011-07-29,3268,1159,2137,1174,335,0,0,1200,551,217,94,118,35,9,231,89,2,39,3,10
2011-07-30,1601,296,1699,1051,355,0,0,476,479,179,64,133,34,13,5,91,2,38,8,2
2011-07-31,2474,577,1854,1005,380,0,0,236,469,150,114,47,34,13,65,64,2,15,14,3
