Day,[TACC STAMPEDE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running
2014-03-05,4609,8882,941,877,0,328,502,1425,0,15,20,0
2014-03-06,4709,3350,993,800,0,540,346,1145,0,17,28,0
2014-03-07,8223,10857,1309,823,0,536,247,822,0,23,45,0
2014-03-08,5845,5128,394,955,0,298,63,249,0,15,4,0
2014-03-09,3676,2467,29,172,0,123,51,116,0,7,17,0
2014-03-10,7754,7572,0,0,0,602,56,193,0,29,27,0
2014-03-11,8131,6792,481,211,0,576,355,264,0,13,10,0
2014-03-12,7076,8680,1192,361,0,647,439,208,0,24,9,0
2014-03-13,4816,4233,1927,754,0,654,421,150,0,29,20,0
2014-03-14,5741,7859,1637,900,0,423,459,118,0,25,11,0
2014-03-15,4323,9034,954,737,0,635,379,144,0,19,9,0
2014-03-16,4353,4473,904,653,0,687,398,110,0,15,10,0
2014-03-17,5672,5172,994,913,0,448,997,416,0,18,2,0
2014-03-18,11235,6636,1639,659,0,757,316,323,0,19,0,6
2014-03-19,5863,3012,1773,935,0,1180,579,216,0,17,0,0
2014-03-20,4913,2615,1733,1131,0,680,519,170,0,16,0,0
2014-03-21,4399,2491,1788,969,0,429,256,90,0,29,0,0
2014-03-22,618,4093,1956,905,0,43,309,47,0,32,0,0
2014-03-23,4219,5490,1153,890,0,185,292,120,0,28,0,0
2014-03-24,6022,5475,1791,1864,0,508,665,128,0,31,0,0
2014-03-25,3438,6035,1818,1654,0,976,278,315,0,37,0,0
2014-03-26,3712,6851,4561,1217,0,1197,430,174,0,45,0,0
2014-03-27,4048,5953,2855,1059,0,980,355,213,0,52,0,0
2014-03-28,4715,9080,1639,1170,0,682,327,198,0,39,0,4
2014-03-29,3474,6991,2986,2884,0,447,319,85,0,38,0,0
2014-03-30,3174,4131,794,1182,0,399,320,1867,0,28,0,0
2014-03-31,4375,3511,1230,2344,0,1472,429,1612,0,23,0,0
2014-04-01,4926,3956,2115,3098,0,518,66,230,0,20,0,0
2014-04-02,4792,8410,1898,1758,0,550,377,172,0,15,0,0
2014-04-03,3811,8404,2084,2287,0,663,350,186,0,38,0,0
2014-04-04,4452,10818,1539,1450,0,603,406,147,0,21,0,0
2014-04-05,4513,6132,261,445,0,803,184,133,0,16,0,0
2014-04-06,2865,5516,1605,545,0,450,164,80,0,6,0,0
2014-04-07,3284,9257,3219,1279,0,376,337,252,0,27,0,0
2014-04-08,5473,6273,2650,1900,0,608,345,519,0,23,0,0
2014-04-09,4614,4996,1587,2278,0,1124,352,232,0,46,0,0
2014-04-10,4243,8645,961,2488,0,477,551,227,0,24,0,0
2014-04-11,4954,7061,1111,2792,0,1462,447,122,0,19,0,0
2014-04-12,4159,7767,1087,2912,0,1242,449,25,0,17,0,0
2014-04-13,4812,8433,677,2256,0,689,645,96,0,27,0,0
2014-04-14,5247,9810,1166,1645,0,638,467,183,0,27,0,0
2014-04-15,141,11041,807,1344,1,54,530,79,0,37,0,0
2014-04-16,3393,9500,650,1158,0,251,873,224,0,65,0,1
2014-04-17,3581,7382,807,833,25,532,482,268,0,19,0,0
2014-04-18,3719,11835,609,717,7,413,387,75,0,7,0,1
2014-04-19,3821,8085,429,751,0,723,357,109,0,13,0,0
2014-04-20,6190,10628,452,807,0,470,149,172,0,9,0,0
2014-04-21,3963,7106,937,1229,64,767,381,163,0,141,0,7
2014-04-22,3792,8796,1024,1498,1315,210,520,103,0,60,0,0
2014-04-23,3575,7742,1054,1179,1531,855,529,175,0,69,0,11
2014-04-24,4059,10974,1287,1219,1593,659,469,131,0,41,0,0
2014-04-25,4438,8959,781,1929,1586,696,456,142,0,52,0,0
2014-04-26,3054,9277,429,637,1822,759,214,241,0,31,0,0
2014-04-27,4433,8363,447,907,1924,592,216,174,0,412,0,0
2014-04-28,3073,6895,1558,1152,930,334,460,183,0,63,0,0
2014-04-29,4425,9125,1190,2210,1640,393,421,227,0,159,0,0
2014-04-30,4282,1862,1743,1491,1488,329,333,166,0,62,0,0
2014-05-01,4031,0,3421,2139,2223,319,300,114,0,46,0,0
2014-05-02,4394,0,3926,1104,690,320,407,144,0,18,0,0
2014-05-03,5301,0,968,741,0,182,289,135,0,21,0,0
2014-05-04,7498,0,430,245,0,204,170,89,0,16,0,0
2014-05-05,6456,0,1342,829,939,287,289,150,0,40,0,0
2014-05-06,7229,0,1043,1010,1066,284,144,169,0,28,0,0
2014-05-07,8119,0,2982,1107,1704,266,239,211,0,31,0,0
2014-05-08,8027,0,4520,1094,2182,297,323,123,0,16,0,0
2014-05-09,4008,0,1077,1005,473,186,236,135,0,17,0,0
2014-05-10,5410,0,748,687,28,288,247,304,0,24,0,0
2014-05-11,6519,0,974,648,62,184,310,246,0,43,0,0
2014-05-12,9311,0,1556,1235,1330,201,235,132,0,29,0,0
2014-05-13,3890,0,1344,3947,2129,330,13,118,0,0,0,0
2014-05-14,5263,0,1667,2643,2047,423,77,127,0,19,0,0
2014-05-15,7200,0,1907,2057,2065,359,402,133,0,18,0,0
2014-05-16,9548,0,935,1659,539,377,552,182,0,27,0,0
2014-05-17,6824,0,418,1247,26,264,224,104,0,32,0,0
2014-05-18,8478,0,639,722,1453,541,150,96,0,32,0,0
2014-05-19,8242,0,821,857,2078,186,342,103,0,122,0,0
2014-05-20,3003,0,1661,1085,1986,392,332,179,0,9,0,0
2014-05-21,4305,0,1317,1202,2075,488,369,167,0,34,0,0
2014-05-22,5208,0,2362,974,2272,389,379,126,0,13,0,0
2014-05-23,4041,0,2896,790,1169,497,436,47,0,33,0,0
2014-05-24,2908,0,705,1002,69,153,317,10,0,17,0,0
2014-05-25,5174,0,392,1490,1457,243,253,0,0,14,0,0
2014-05-26,7193,0,1251,901,2144,216,246,0,0,10,0,0
2014-05-27,4412,0,1550,968,2238,146,299,137,0,8,0,0
2014-05-28,4598,0,916,981,2165,265,294,210,0,60,0,0
2014-05-29,3315,0,1549,1053,2186,278,364,98,0,41,0,0
2014-05-30,4297,0,1915,1064,761,331,286,243,0,37,0,0
2014-05-31,5930,0,518,828,133,185,344,185,0,59,0,0
2014-06-01,5320,0,432,913,1494,334,407,451,0,16,0,0
2014-06-02,4244,0,812,1654,1930,623,627,231,0,7,0,0
2014-06-03,4691,0,1042,2595,2271,139,161,246,0,4,0,0
2014-06-04,3618,0,3914,2142,1997,302,344,123,0,5,0,0
2014-06-05,5159,0,1265,1557,2180,467,330,819,0,13,0,0
2014-06-06,4484,0,2757,980,964,459,594,1181,0,26,0,0
2014-06-07,6321,0,1672,990,103,276,534,950,0,11,0,0
2014-06-08,6109,0,586,1349,56,158,520,908,0,7,0,0
2014-06-09,7486,0,3527,1533,197,265,748,175,0,4,0,0
2014-06-10,5341,0,6649,1573,148,360,388,97,6,10,0,0
2014-06-11,5242,0,3045,1553,102,506,374,521,64,39,0,0
2014-06-12,4711,0,2021,1541,65,462,590,1191,48,22,0,0
2014-06-13,5282,0,2840,1429,73,401,579,926,59,50,0,0
2014-06-14,5563,0,2504,862,56,283,265,2484,76,11,0,0
2014-06-15,5589,0,2163,1715,355,324,282,974,77,9,0,0
2014-06-16,3875,0,3222,1512,71,295,234,279,64,45,0,0
2014-06-17,1214,0,4735,1377,396,471,110,964,163,39,0,0
2014-06-18,3292,0,8667,989,400,482,266,178,107,14,0,0
2014-06-19,2427,0,5018,1138,377,471,660,1245,133,45,0,0
2014-06-20,2827,0,1505,1512,413,530,616,1799,56,37,0,0
2014-06-21,3068,0,2017,1116,81,228,510,1552,69,23,0,0
2014-06-22,3679,0,486,1349,39,184,562,286,39,11,0,0
2014-06-23,3783,0,795,1615,419,366,597,110,68,26,0,0
2014-06-24,2105,0,1542,2653,485,676,831,459,83,25,0,0
2014-06-25,3600,0,1894,1526,318,505,466,380,68,24,0,0
2014-06-26,3197,0,758,1450,218,396,325,286,75,19,0,3
2014-06-27,2635,0,1897,1270,164,372,139,1016,53,33,0,2
2014-06-28,2867,0,1752,669,85,407,154,158,24,25,0,2
2014-06-29,2134,0,1920,813,13,398,279,1452,18,23,0,3
2014-06-30,3794,0,779,891,363,399,1010,804,123,17,0,6
2014-07-01,3465,0,779,1084,76,400,257,192,159,7,0,6
2014-07-02,5105,0,717,968,16,377,115,530,156,5,0,3
2014-07-03,5640,0,872,965,105,458,382,355,121,1,0,0
2014-07-04,6818,0,713,1342,37,654,351,106,40,0,0,0
2014-07-05,5830,0,332,980,36,409,280,104,6,0,0,0
2014-07-06,4573,0,729,1885,44,172,199,105,24,12,0,5
2014-07-07,4596,0,1989,1805,177,379,404,266,50,7,0,3
2014-07-08,4060,0,1240,2262,183,158,603,333,143,38,0,17
2014-07-09,4257,0,1094,2585,136,297,707,155,65,38,0,17
2014-07-10,5141,0,1742,2412,215,360,511,201,175,16,0,5
2014-07-11,7187,0,2138,1403,116,243,534,76,83,68,0,9
2014-07-12,11087,0,827,934,67,231,552,131,56,7,0,0
2014-07-13,7428,0,928,756,69,188,455,133,44,8,0,0
2014-07-14,6274,0,1447,1335,145,162,508,126,92,6,0,10
2014-07-15,2182,0,1405,1321,98,243,524,128,25,13,0,3
2014-07-16,2798,0,1353,1133,170,226,440,208,153,3,0,15
2014-07-17,4375,0,1470,1385,221,169,409,24,62,6,0,22
2014-07-18,7574,0,1327,1716,248,186,433,31,109,24,0,1
2014-07-19,7945,0,1223,868,141,103,367,17,96,25,0,1
2014-07-20,7243,0,894,1186,185,109,480,9,57,12,0,1
2014-07-21,5133,0,1108,1205,292,163,368,21,75,3,0,1
2014-07-22,4913,0,1235,1120,250,188,569,19,126,20,0,16
2014-07-23,4445,0,1253,1056,91,198,145,38,596,20,0,14
2014-07-24,4957,0,1292,1232,1004,276,264,29,1145,12,0,3
2014-07-25,6965,0,1152,1836,1621,255,622,22,124,622,0,4
2014-07-26,10168,0,1317,2711,1323,139,866,73,42,205,0,44
2014-07-27,11776,0,905,1489,929,156,482,41,29,207,0,27
2014-07-28,8425,0,842,1424,1438,190,269,44,800,406,0,10
2014-07-29,3799,0,1072,2863,402,191,257,50,910,65,0,12
2014-07-30,5817,0,1252,1342,194,162,316,208,2128,47,0,8
2014-07-31,6277,0,1262,2184,1700,155,323,83,1150,68,0,18
