title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  257 - 512,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
2015-08-07,4,20,2,56,15,8,17,,122,3.2786885246,16.393442623,1.6393442623,45.9016393443,12.2950819672,6.5573770492,13.9344262295
2015-08-08,7,8,3,43,12,1,13,,87,8.0459770115,9.1954022989,3.4482758621,49.4252873563,13.7931034483,1.1494252874,14.9425287356
2015-08-09,15,12,6,34,36,0,10,,113,13.2743362832,10.6194690265,5.3097345133,30.0884955752,31.8584070796,0,8.8495575221
2015-08-10,11,16,2,14,20,12,8,,83,13.2530120482,19.2771084337,2.4096385542,16.8674698795,24.0963855422,14.4578313253,9.6385542169
2015-08-11,1,20,2,8,6,7,14,,58,1.724137931,34.4827586207,3.4482758621,13.7931034483,10.3448275862,12.0689655172,24.1379310345
2015-08-12,2,7,3,12,6,1,12,,43,4.6511627907,16.2790697674,6.976744186,27.9069767442,13.9534883721,2.3255813953,27.9069767442
2015-08-13,1,14,0,8,5,0,12,,40,2.5,35,0,20,12.5,0,30
2015-08-14,4,10,5,28,0,8,13,,68,5.8823529412,14.7058823529,7.3529411765,41.1764705882,0,11.7647058824,19.1176470588
2015-08-15,2,7,0,8,3,1,19,,40,5,17.5,0,20,7.5,2.5,47.5
2015-08-16,0,0,0,2,0,0,1,,3,0,0,0,66.6666666667,0,0,33.3333333333
2015-08-17,4,27,1,3,2,1,24,,62,6.4516129032,43.5483870968,1.6129032258,4.8387096774,3.2258064516,1.6129032258,38.7096774194
2015-08-18,5,7,50,1,0,1,4,,68,7.3529411765,10.2941176471,73.5294117647,1.4705882353,0,1.4705882353,5.8823529412
2015-08-19,2,45,3,31,6,4,14,,105,1.9047619048,42.8571428571,2.8571428571,29.5238095238,5.7142857143,3.8095238095,13.3333333333
2015-08-20,13,56,2,60,9,5,16,,161,8.0745341615,34.7826086957,1.2422360248,37.2670807453,5.5900621118,3.1055900621,9.9378881988
2015-08-21,6,10,1,26,8,8,18,,77,7.7922077922,12.987012987,1.2987012987,33.7662337662,10.3896103896,10.3896103896,23.3766233766
2015-08-22,4,7,4,6,3,3,17,,44,9.0909090909,15.9090909091,9.0909090909,13.6363636364,6.8181818182,6.8181818182,38.6363636364
2015-08-23,2,1,3,5,2,6,17,,36,5.5555555556,2.7777777778,8.3333333333,13.8888888889,5.5555555556,16.6666666667,47.2222222222
2015-08-24,11,35,4,54,3,1,38,,146,7.5342465753,23.9726027397,2.7397260274,36.9863013699,2.0547945205,0.6849315068,26.0273972603
2015-08-25,7,10,2,6,13,0,20,,58,12.0689655172,17.2413793103,3.4482758621,10.3448275862,22.4137931034,0,34.4827586207
2015-08-26,8,6,2,4,7,6,29,,62,12.9032258065,9.6774193548,3.2258064516,6.4516129032,11.2903225806,9.6774193548,46.7741935484
2015-08-27,6,23,2,3,7,1,18,,60,10,38.3333333333,3.3333333333,5,11.6666666667,1.6666666667,30
2015-08-28,5,21,14,21,5,9,17,,92,5.4347826087,22.8260869565,15.2173913043,22.8260869565,5.4347826087,9.7826086957,18.4782608696
2015-08-29,0,10,0,19,24,10,18,,81,0,12.3456790123,0,23.4567901235,29.6296296296,12.3456790123,22.2222222222
2015-08-30,3,12,0,38,25,9,23,,110,2.7272727273,10.9090909091,0,34.5454545455,22.7272727273,8.1818181818,20.9090909091
2015-08-31,11,27,3,4,3,6,19,,73,15.0684931507,36.9863013699,4.1095890411,5.4794520548,4.1095890411,8.2191780822,26.0273972603
2015-09-01,11,62,4,4,3,4,25,,113,9.7345132743,54.8672566372,3.5398230088,3.5398230088,2.6548672566,3.5398230088,22.1238938053
2015-09-02,6,12,5,14,8,4,23,,72,8.3333333333,16.6666666667,6.9444444444,19.4444444444,11.1111111111,5.5555555556,31.9444444444
2015-09-03,0,0,0,0,0,0,5,,5,0,0,0,0,0,0,100
2015-09-04,1,8,4,22,11,4,18,,68,1.4705882353,11.7647058824,5.8823529412,32.3529411765,16.1764705882,5.8823529412,26.4705882353
2015-09-05,1,5,7,10,10,1,29,,63,1.5873015873,7.9365079365,11.1111111111,15.873015873,15.873015873,1.5873015873,46.0317460317
2015-09-06,12,17,1,5,3,9,17,,64,18.75,26.5625,1.5625,7.8125,4.6875,14.0625,26.5625
2015-09-07,6,23,5,12,6,1,23,,76,7.8947368421,30.2631578947,6.5789473684,15.7894736842,7.8947368421,1.3157894737,30.2631578947
2015-09-08,0,24,3,8,12,1,15,,63,0,38.0952380952,4.7619047619,12.6984126984,19.0476190476,1.5873015873,23.8095238095
2015-09-09,12,7,3,6,9,2,13,,52,23.0769230769,13.4615384615,5.7692307692,11.5384615385,17.3076923077,3.8461538462,25
2015-09-10,2,35,2,13,8,4,18,,82,2.4390243902,42.6829268293,2.4390243902,15.8536585366,9.756097561,4.8780487805,21.9512195122
2015-09-11,5,13,1,16,5,9,12,,61,8.1967213115,21.3114754098,1.6393442623,26.2295081967,8.1967213115,14.7540983607,19.6721311475
2015-09-12,0,9,2,13,3,1,25,,53,0,16.9811320755,3.7735849057,24.5283018868,5.6603773585,1.8867924528,47.1698113208
2015-09-13,2,12,2,11,1,1,9,,38,5.2631578947,31.5789473684,5.2631578947,28.9473684211,2.6315789474,2.6315789474,23.6842105263
2015-09-14,1,15,1,12,4,0,23,,56,1.7857142857,26.7857142857,1.7857142857,21.4285714286,7.1428571429,0,41.0714285714
2015-09-15,2,14,3,1,2,3,18,,43,4.6511627907,32.5581395349,6.976744186,2.3255813953,4.6511627907,6.976744186,41.8604651163
2015-09-16,2,16,1,2,11,1,5,,38,5.2631578947,42.1052631579,2.6315789474,5.2631578947,28.9473684211,2.6315789474,13.1578947368
2015-09-17,3,11,2,6,0,3,16,,41,7.3170731707,26.8292682927,4.8780487805,14.6341463415,0,7.3170731707,39.0243902439
2015-09-18,2,60,7,5,1,3,11,,89,2.2471910112,67.4157303371,7.8651685393,5.6179775281,1.1235955056,3.3707865169,12.3595505618
2015-09-19,3,9,2,7,1,0,7,,29,10.3448275862,31.0344827586,6.8965517241,24.1379310345,3.4482758621,0,24.1379310345
2015-09-20,1,6,0,6,4,4,10,,31,3.2258064516,19.3548387097,0,19.3548387097,12.9032258065,12.9032258065,32.2580645161
2015-09-21,7,12,2,8,1,1,6,,37,18.9189189189,32.4324324324,5.4054054054,21.6216216216,2.7027027027,2.7027027027,16.2162162162
2015-09-22,9,36,1,9,4,0,12,,71,12.676056338,50.7042253521,1.4084507042,12.676056338,5.6338028169,0,16.9014084507
2015-09-23,0,19,5,7,2,3,12,,48,0,39.5833333333,10.4166666667,14.5833333333,4.1666666667,6.25,25
2015-09-24,5,49,3,19,2,2,9,,89,5.6179775281,55.0561797753,3.3707865169,21.3483146067,2.2471910112,2.2471910112,10.1123595506
2015-09-25,5,26,5,9,0,0,12,,57,8.7719298246,45.6140350877,8.7719298246,15.7894736842,0,0,21.0526315789
2015-09-26,1,9,3,10,0,1,11,,35,2.8571428571,25.7142857143,8.5714285714,28.5714285714,0,2.8571428571,31.4285714286
2015-09-27,2,32,6,50,4,1,6,,101,1.9801980198,31.6831683168,5.9405940594,49.504950495,3.9603960396,0.9900990099,5.9405940594
2015-09-28,9,44,2,26,0,1,10,,92,9.7826086957,47.8260869565,2.1739130435,28.2608695652,0,1.0869565217,10.8695652174
2015-09-29,2,38,1,3,6,5,1,,56,3.5714285714,67.8571428571,1.7857142857,5.3571428571,10.7142857143,8.9285714286,1.7857142857
2015-09-30,2,26,1,9,7,6,3,,54,3.7037037037,48.1481481481,1.8518518519,16.6666666667,12.962962963,11.1111111111,5.5555555556
2015-10-01,7,26,9,32,6,1,13,,94,7.4468085106,27.6595744681,9.5744680851,34.0425531915,6.3829787234,1.0638297872,13.829787234
2015-10-02,10,13,8,18,0,3,13,,65,15.3846153846,20,12.3076923077,27.6923076923,0,4.6153846154,20
2015-10-03,5,15,1,15,2,1,14,,53,9.4339622642,28.3018867925,1.8867924528,28.3018867925,3.7735849057,1.8867924528,26.4150943396
2015-10-04,4,29,5,8,8,2,14,,70,5.7142857143,41.4285714286,7.1428571429,11.4285714286,11.4285714286,2.8571428571,20
2015-10-05,9,48,0,13,5,2,9,,86,10.4651162791,55.8139534884,0,15.1162790698,5.8139534884,2.3255813953,10.4651162791
2015-10-06,11,42,10,18,4,1,10,,96,11.4583333333,43.75,10.4166666667,18.75,4.1666666667,1.0416666667,10.4166666667
2015-10-07,8,21,5,14,5,3,8,,64,12.5,32.8125,7.8125,21.875,7.8125,4.6875,12.5
2015-10-08,8,24,7,14,2,0,14,,69,11.5942028986,34.7826086957,10.1449275362,20.2898550725,2.8985507246,0,20.2898550725
2015-10-09,7,17,8,27,2,4,9,,74,9.4594594595,22.972972973,10.8108108108,36.4864864865,2.7027027027,5.4054054054,12.1621621622
2015-10-10,0,14,2,3,5,0,12,,36,0,38.8888888889,5.5555555556,8.3333333333,13.8888888889,0,33.3333333333
2015-10-11,0,13,1,2,0,1,3,,20,0,65,5,10,0,5,15
2015-10-12,4,34,4,17,6,3,14,,82,4.8780487805,41.4634146341,4.8780487805,20.7317073171,7.3170731707,3.6585365854,17.0731707317
2015-10-13,4,13,5,18,6,2,16,,64,6.25,20.3125,7.8125,28.125,9.375,3.125,25
2015-10-14,4,17,3,11,6,1,15,,57,7.0175438596,29.8245614035,5.2631578947,19.298245614,10.5263157895,1.7543859649,26.3157894737
2015-10-15,4,12,4,16,6,6,15,,63,6.3492063492,19.0476190476,6.3492063492,25.3968253968,9.5238095238,9.5238095238,23.8095238095
2015-10-16,9,21,6,18,3,6,15,,78,11.5384615385,26.9230769231,7.6923076923,23.0769230769,3.8461538462,7.6923076923,19.2307692308
2015-10-17,18,12,5,6,5,2,12,,60,30,20,8.3333333333,10,8.3333333333,3.3333333333,20
2015-10-18,0,14,0,6,0,5,9,,34,0,41.1764705882,0,17.6470588235,0,14.7058823529,26.4705882353
2015-10-19,5,9,4,4,2,1,14,,39,12.8205128205,23.0769230769,10.2564102564,10.2564102564,5.1282051282,2.5641025641,35.8974358974
2015-10-20,2,13,3,2,5,0,6,,31,6.4516129032,41.935483871,9.6774193548,6.4516129032,16.1290322581,0,19.3548387097
2015-10-21,1,8,14,6,1,1,12,,43,2.3255813953,18.6046511628,32.5581395349,13.9534883721,2.3255813953,2.3255813953,27.9069767442
2015-10-22,15,72,12,31,3,2,11,,146,10.2739726027,49.3150684932,8.2191780822,21.2328767123,2.0547945205,1.3698630137,7.5342465753
2015-10-23,8,33,6,6,3,3,11,,70,11.4285714286,47.1428571429,8.5714285714,8.5714285714,4.2857142857,4.2857142857,15.7142857143
2015-10-24,2,9,2,5,4,0,7,,29,6.8965517241,31.0344827586,6.8965517241,17.2413793103,13.7931034483,0,24.1379310345
2015-10-25,0,6,5,8,1,1,16,,37,0,16.2162162162,13.5135135135,21.6216216216,2.7027027027,2.7027027027,43.2432432432
2015-10-26,0,38,4,8,1,1,15,,67,0,56.7164179104,5.9701492537,11.9402985075,1.4925373134,1.4925373134,22.3880597015
2015-10-27,3,11,5,5,2,2,7,,35,8.5714285714,31.4285714286,14.2857142857,14.2857142857,5.7142857143,5.7142857143,20
2015-10-28,5,65,5,6,8,3,11,,103,4.854368932,63.1067961165,4.854368932,5.8252427184,7.7669902913,2.9126213592,10.6796116505
2015-10-29,3,40,1,8,2,3,12,,69,4.347826087,57.9710144928,1.4492753623,11.5942028986,2.8985507246,4.347826087,17.3913043478
2015-10-30,7,53,7,11,5,3,13,,99,7.0707070707,53.5353535354,7.0707070707,11.1111111111,5.0505050505,3.0303030303,13.1313131313
2015-10-31,3,27,2,7,3,6,12,,60,5,45,3.3333333333,11.6666666667,5,10,20
2015-11-01,6,21,4,9,5,2,18,,65,9.2307692308,32.3076923077,6.1538461538,13.8461538462,7.6923076923,3.0769230769,27.6923076923
2015-11-02,9,10,2,7,10,9,25,,72,12.5,13.8888888889,2.7777777778,9.7222222222,13.8888888889,12.5,34.7222222222
2015-11-03,4,5,2,2,1,2,2,,18,22.2222222222,27.7777777778,11.1111111111,11.1111111111,5.5555555556,11.1111111111,11.1111111111
2015-11-04,14,34,2,17,12,10,5,,94,14.8936170213,36.170212766,2.1276595745,18.085106383,12.7659574468,10.6382978723,5.3191489362
2015-11-05,2,22,3,9,2,7,14,,59,3.3898305085,37.2881355932,5.0847457627,15.2542372881,3.3898305085,11.8644067797,23.7288135593
2015-11-06,3,60,4,9,11,7,14,,108,2.7777777778,55.5555555556,3.7037037037,8.3333333333,10.1851851852,6.4814814815,12.962962963
2015-11-07,3,17,1,6,6,4,15,,52,5.7692307692,32.6923076923,1.9230769231,11.5384615385,11.5384615385,7.6923076923,28.8461538462
2015-11-08,5,23,2,8,11,3,15,,67,7.4626865672,34.328358209,2.9850746269,11.9402985075,16.4179104478,4.4776119403,22.3880597015
2015-11-09,2,22,1,6,9,4,6,,50,4,44,2,12,18,8,12
2015-11-10,10,17,1,8,6,2,8,,52,19.2307692308,32.6923076923,1.9230769231,15.3846153846,11.5384615385,3.8461538462,15.3846153846
2015-11-11,5,16,0,1,6,2,15,,45,11.1111111111,35.5555555556,0,2.2222222222,13.3333333333,4.4444444444,33.3333333333
2015-11-12,9,21,3,6,5,2,18,,64,14.0625,32.8125,4.6875,9.375,7.8125,3.125,28.125
2015-11-13,8,20,3,10,7,4,3,,55,14.5454545455,36.3636363636,5.4545454545,18.1818181818,12.7272727273,7.2727272727,5.4545454545
2015-11-14,23,22,1,4,5,4,11,,70,32.8571428571,31.4285714286,1.4285714286,5.7142857143,7.1428571429,5.7142857143,15.7142857143
2015-11-15,19,33,0,12,0,2,6,,72,26.3888888889,45.8333333333,0,16.6666666667,0,2.7777777778,8.3333333333
2015-11-16,13,17,5,9,2,2,4,,52,25,32.6923076923,9.6153846154,17.3076923077,3.8461538462,3.8461538462,7.6923076923
2015-11-17,10,22,2,4,1,2,12,,53,18.8679245283,41.5094339623,3.7735849057,7.5471698113,1.8867924528,3.7735849057,22.641509434
2015-11-18,15,46,4,17,2,4,9,,97,15.4639175258,47.4226804124,4.1237113402,17.5257731959,2.0618556701,4.1237113402,9.2783505155
2015-11-19,59,53,4,15,5,2,16,,154,38.3116883117,34.4155844156,2.5974025974,9.7402597403,3.2467532468,1.2987012987,10.3896103896
2015-11-20,21,27,3,13,3,5,17,,89,23.595505618,30.3370786517,3.3707865169,14.606741573,3.3707865169,5.6179775281,19.1011235955
2015-11-21,12,40,1,11,1,5,11,,81,14.8148148148,49.3827160494,1.2345679012,13.5802469136,1.2345679012,6.1728395062,13.5802469136
2015-11-22,8,96,1,22,6,5,5,,143,5.5944055944,67.1328671329,0.6993006993,15.3846153846,4.1958041958,3.4965034965,3.4965034965
2015-11-23,54,146,0,1,1,8,7,,217,24.8847926267,67.2811059908,0,0.4608294931,0.4608294931,3.6866359447,3.2258064516
2015-11-24,28,60,0,20,1,4,9,,122,22.9508196721,49.1803278689,0,16.393442623,0.8196721311,3.2786885246,7.3770491803
2015-11-25,2,26,2,4,1,4,6,,45,4.4444444444,57.7777777778,4.4444444444,8.8888888889,2.2222222222,8.8888888889,13.3333333333
2015-11-26,3,19,0,12,3,10,7,,54,5.5555555556,35.1851851852,0,22.2222222222,5.5555555556,18.5185185185,12.962962963
2015-11-27,2,65,1,7,6,10,3,,94,2.1276595745,69.1489361702,1.0638297872,7.4468085106,6.3829787234,10.6382978723,3.1914893617
2015-11-28,3,12,1,5,0,5,19,,45,6.6666666667,26.6666666667,2.2222222222,11.1111111111,0,11.1111111111,42.2222222222
2015-11-29,1,6,2,3,3,9,10,,34,2.9411764706,17.6470588235,5.8823529412,8.8235294118,8.8235294118,26.4705882353,29.4117647059
2015-11-30,18,17,1,8,6,3,3,,56,32.1428571429,30.3571428571,1.7857142857,14.2857142857,10.7142857143,5.3571428571,5.3571428571
2015-12-01,13,18,3,9,4,8,11,,66,19.696969697,27.2727272727,4.5454545455,13.6363636364,6.0606060606,12.1212121212,16.6666666667
2015-12-02,5,31,2,18,2,13,16,,87,5.7471264368,35.632183908,2.2988505747,20.6896551724,2.2988505747,14.9425287356,18.3908045977
2015-12-03,10,25,3,29,7,5,12,,91,10.989010989,27.4725274725,3.2967032967,31.8681318681,7.6923076923,5.4945054945,13.1868131868
2015-12-04,1,14,3,35,2,10,18,,83,1.2048192771,16.8674698795,3.6144578313,42.1686746988,2.4096385542,12.0481927711,21.686746988
2015-12-05,2,29,7,33,25,21,24,,141,1.4184397163,20.5673758865,4.9645390071,23.4042553191,17.7304964539,14.8936170213,17.0212765957
2015-12-06,3,19,3,24,4,9,11,,73,4.1095890411,26.0273972603,4.1095890411,32.8767123288,5.4794520548,12.3287671233,15.0684931507
2015-12-07,6,25,8,61,12,25,10,,147,4.0816326531,17.0068027211,5.4421768707,41.4965986395,8.1632653061,17.0068027211,6.8027210884
2015-12-08,69,30,33,28,3,0,4,,167,41.3173652695,17.9640718563,19.7604790419,16.7664670659,1.7964071856,0,2.3952095808
2015-12-09,1,9,4,36,5,3,0,,58,1.724137931,15.5172413793,6.8965517241,62.0689655172,8.6206896552,5.1724137931,0
2015-12-10,8,4,2,10,7,4,18,,53,15.0943396226,7.5471698113,3.7735849057,18.8679245283,13.2075471698,7.5471698113,33.9622641509
2015-12-11,19,34,17,21,7,1,20,,119,15.9663865546,28.5714285714,14.2857142857,17.6470588235,5.8823529412,0.8403361345,16.8067226891
2015-12-12,28,31,4,6,4,2,8,,83,33.734939759,37.3493975904,4.8192771084,7.2289156627,4.8192771084,2.4096385542,9.6385542169
2015-12-13,2,47,3,13,4,1,7,,77,2.5974025974,61.038961039,3.8961038961,16.8831168831,5.1948051948,1.2987012987,9.0909090909
2015-12-14,4,39,3,5,2,8,10,,71,5.6338028169,54.9295774648,4.2253521127,7.0422535211,2.8169014085,11.2676056338,14.0845070423
2015-12-15,4,13,0,11,4,1,19,,52,7.6923076923,25,0,21.1538461538,7.6923076923,1.9230769231,36.5384615385
2015-12-16,1,8,4,11,2,6,30,,62,1.6129032258,12.9032258065,6.4516129032,17.7419354839,3.2258064516,9.6774193548,48.3870967742
2015-12-17,8,4,3,8,5,8,26,,62,12.9032258065,6.4516129032,4.8387096774,12.9032258065,8.064516129,12.9032258065,41.935483871
2015-12-18,9,9,2,4,5,3,23,,55,16.3636363636,16.3636363636,3.6363636364,7.2727272727,9.0909090909,5.4545454545,41.8181818182
2015-12-19,3,5,4,2,3,5,24,,46,6.5217391304,10.8695652174,8.6956521739,4.347826087,6.5217391304,10.8695652174,52.1739130435
2015-12-20,0,16,1,15,2,0,25,,59,0,27.1186440678,1.6949152542,25.4237288136,3.3898305085,0,42.3728813559
2015-12-21,0,11,0,1,0,0,3,,15,0,73.3333333333,0,6.6666666667,0,0,20
2015-12-22,0,3,0,1,2,0,3,,9,0,33.3333333333,0,11.1111111111,22.2222222222,0,33.3333333333
2015-12-23,4,4,0,6,6,1,17,,38,10.5263157895,10.5263157895,0,15.7894736842,15.7894736842,2.6315789474,44.7368421053
2015-12-24,9,17,2,4,2,4,8,,46,19.5652173913,36.9565217391,4.347826087,8.6956521739,4.347826087,8.6956521739,17.3913043478
2015-12-25,6,6,2,3,3,2,11,,33,18.1818181818,18.1818181818,6.0606060606,9.0909090909,9.0909090909,6.0606060606,33.3333333333
2015-12-26,189,47,65,23,8,1,8,,341,55.4252199413,13.7829912023,19.0615835777,6.7448680352,2.3460410557,0.293255132,2.3460410557
2015-12-27,6,26,5,40,7,2,16,,102,5.8823529412,25.4901960784,4.9019607843,39.2156862745,6.862745098,1.9607843137,15.6862745098
2015-12-28,5,12,5,17,6,5,16,,66,7.5757575758,18.1818181818,7.5757575758,25.7575757576,9.0909090909,7.5757575758,24.2424242424
2015-12-29,8,10,1,15,11,13,7,,65,12.3076923077,15.3846153846,1.5384615385,23.0769230769,16.9230769231,20,10.7692307692
2015-12-30,2,9,13,49,14,5,16,,108,1.8518518519,8.3333333333,12.037037037,45.3703703704,12.962962963,4.6296296296,14.8148148148
2015-12-31,5,9,3,48,1,0,15,,81,6.1728395062,11.1111111111,3.7037037037,59.2592592593,1.2345679012,0,18.5185185185
2016-01-01,5,22,7,7,3,1,14,,59,8.4745762712,37.2881355932,11.8644067797,11.8644067797,5.0847457627,1.6949152542,23.7288135593
2016-01-02,10,30,5,11,1,3,9,,69,14.4927536232,43.4782608696,7.2463768116,15.9420289855,1.4492753623,4.347826087,13.0434782609
2016-01-03,1,12,4,14,5,3,17,,56,1.7857142857,21.4285714286,7.1428571429,25,8.9285714286,5.3571428571,30.3571428571
2016-01-04,43,201,4,14,3,7,8,,280,15.3571428571,71.7857142857,1.4285714286,5,1.0714285714,2.5,2.8571428571
2016-01-05,6,21,5,14,2,2,21,,71,8.4507042254,29.5774647887,7.0422535211,19.7183098592,2.8169014085,2.8169014085,29.5774647887
2016-01-06,4,32,10,9,2,1,11,,69,5.7971014493,46.3768115942,14.4927536232,13.0434782609,2.8985507246,1.4492753623,15.9420289855
2016-01-07,6,17,3,9,4,0,10,,49,12.2448979592,34.693877551,6.1224489796,18.3673469388,8.1632653061,0,20.4081632653
2016-01-08,28,24,9,11,0,2,13,,87,32.183908046,27.5862068966,10.3448275862,12.6436781609,0,2.2988505747,14.9425287356
2016-01-09,8,32,2,6,6,0,9,,63,12.6984126984,50.7936507937,3.1746031746,9.5238095238,9.5238095238,0,14.2857142857
2016-01-10,3,5,1,14,25,0,10,,58,5.1724137931,8.6206896552,1.724137931,24.1379310345,43.1034482759,0,17.2413793103
2016-01-11,17,29,0,11,12,3,13,,85,20,34.1176470588,0,12.9411764706,14.1176470588,3.5294117647,15.2941176471
2016-01-12,20,26,2,22,3,3,16,,92,21.7391304348,28.2608695652,2.1739130435,23.9130434783,3.2608695652,3.2608695652,17.3913043478
2016-01-13,21,124,1,27,1,2,12,,188,11.170212766,65.9574468085,0.5319148936,14.3617021277,0.5319148936,1.0638297872,6.3829787234
2016-01-14,9,154,0,3,3,3,11,,183,4.9180327869,84.1530054645,0,1.6393442623,1.6393442623,1.6393442623,6.0109289617
2016-01-15,1,69,4,10,4,9,17,,114,0.8771929825,60.5263157895,3.5087719298,8.7719298246,3.5087719298,7.8947368421,14.9122807018
2016-01-16,1,18,0,3,1,4,13,,40,2.5,45,0,7.5,2.5,10,32.5
2016-01-17,10,15,1,14,21,6,13,,80,12.5,18.75,1.25,17.5,26.25,7.5,16.25
2016-01-18,13,223,0,13,5,6,16,,276,4.7101449275,80.7971014493,0,4.7101449275,1.8115942029,2.1739130435,5.7971014493
2016-01-19,59,179,1,9,36,21,20,,325,18.1538461538,55.0769230769,0.3076923077,2.7692307692,11.0769230769,6.4615384615,6.1538461538
2016-01-20,56,357,1,7,23,28,5,,477,11.7400419287,74.8427672956,0.2096436059,1.4675052411,4.821802935,5.8700209644,1.0482180294
2016-01-21,4,40,0,3,10,43,26,,126,3.1746031746,31.746031746,0,2.380952381,7.9365079365,34.126984127,20.6349206349
2016-01-22,6,46,1,4,7,7,18,,89,6.7415730337,51.6853932584,1.1235955056,4.4943820225,7.8651685393,7.8651685393,20.2247191011
2016-01-23,6,6,1,15,2,9,37,,76,7.8947368421,7.8947368421,1.3157894737,19.7368421053,2.6315789474,11.8421052632,48.6842105263
2016-01-24,7,9,0,4,4,13,18,,55,12.7272727273,16.3636363636,0,7.2727272727,7.2727272727,23.6363636364,32.7272727273
2016-01-25,12,167,5,6,0,13,23,,226,5.3097345133,73.8938053097,2.2123893805,2.6548672566,0,5.7522123894,10.1769911504
2016-01-26,2,81,2,14,9,9,30,,147,1.3605442177,55.1020408163,1.3605442177,9.5238095238,6.1224489796,6.1224489796,20.4081632653
2016-01-27,6,27,5,6,4,7,17,,72,8.3333333333,37.5,6.9444444444,8.3333333333,5.5555555556,9.7222222222,23.6111111111
2016-01-28,7,28,1,11,2,3,9,,61,11.4754098361,45.9016393443,1.6393442623,18.0327868852,3.2786885246,4.9180327869,14.7540983607
2016-01-29,1,19,1,7,6,5,12,,51,1.9607843137,37.2549019608,1.9607843137,13.7254901961,11.7647058824,9.8039215686,23.5294117647
2016-01-30,19,19,1,13,4,6,10,,72,26.3888888889,26.3888888889,1.3888888889,18.0555555556,5.5555555556,8.3333333333,13.8888888889
2016-01-31,4,31,1,6,6,7,9,,64,6.25,48.4375,1.5625,9.375,9.375,10.9375,14.0625
---------,,,,,,,,,,,,,,,,
