title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Size,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,,,,,,,,,,[9 – 64] Avg Percent of Jobs Ended,[65 – 256] Avg Percent of Jobs Ended,[257 – 512] Avg Percent of Jobs Ended,[513 - 1024] Avg Percent of Jobs Ended,[1k – 8k] Avg Percent of Jobs Ended,[8k – 32k] Avg Percent of Jobs Ended,[32k - 131k] Avg Percent of Jobs Ended
2015-08-22,1593,579,44,31,27,0,0,,2274,70.0527704485,25.4617414248,1.9349164468,1.3632365875,1.1873350923,0,0
2015-08-23,1392,410,36,48,47,0,0,,1933,72.0124159338,21.2105535437,1.8623900673,2.4831867563,2.4314536989,0,0
2015-08-24,2297,634,146,99,61,1,0,,3238,70.9388511427,19.5799876467,4.5089561458,3.057442866,1.8838789376,0.0308832613,0
2015-08-25,2479,796,58,70,70,5,0,,3478,71.2765957447,22.8867165037,1.6676250719,2.0126509488,2.0126509488,0.1437607821,0
2015-08-26,2543,830,62,39,42,4,0,,3520,72.2443181818,23.5795454545,1.7613636364,1.1079545455,1.1931818182,0.1136363636,0
2015-08-27,2155,763,60,55,52,1,0,,3086,69.8314970836,24.7245625405,1.94426442,1.782242385,1.685029164,0.032404407,0
2015-08-28,2316,884,92,50,63,3,0,,3408,67.9577464789,25.9389671362,2.6995305164,1.4671361502,1.8485915493,0.088028169,0
2015-08-29,1641,849,81,52,54,2,0,,2679,61.2541993281,31.6909294513,3.0235162374,1.9410227697,2.0156774916,0.0746547219,0
2015-08-30,1870,1552,110,93,48,2,0,,3675,50.8843537415,42.231292517,2.9931972789,2.5306122449,1.306122449,0.0544217687,0
2015-08-31,2740,2087,73,60,93,7,0,,5060,54.1501976285,41.2450592885,1.442687747,1.185770751,1.837944664,0.1383399209,0
2015-09-01,2233,1187,113,68,63,1,0,,3665,60.9276944065,32.3874488404,3.0832196453,1.8553888131,1.7189631651,0.0272851296,0
2015-09-02,2306,1067,72,51,50,2,0,,3548,64.9943630214,30.0732807215,2.0293122886,1.4374295378,1.4092446449,0.0563697858,0
2015-09-03,142,70,5,0,1,0,0,,218,65.1376146789,32.1100917431,2.2935779817,0,0.4587155963,0,0
2015-09-04,1807,997,68,100,51,0,0,,3023,59.7750578895,32.9804829639,2.2494211049,3.307972213,1.6870658286,0,0
2015-09-05,1924,841,63,31,36,1,0,,2896,66.4364640884,29.0400552486,2.1754143646,1.070441989,1.2430939227,0.0345303867,0
2015-09-06,2268,1153,64,29,59,4,0,,3577,63.4050880626,32.233715404,1.7892088342,0.810735253,1.649426894,0.1118255521,0
2015-09-07,1587,619,76,46,82,1,0,,2411,65.8233098299,25.6739941933,3.1522189963,1.9079220241,3.4010783907,0.0414765657,0
2015-09-08,2503,779,63,31,99,4,0,,3479,71.9459614832,22.391491808,1.8108651911,0.8910606496,2.8456453004,0.1149755677,0
2015-09-09,2050,794,52,33,36,1,0,,2966,69.1166554282,26.7700606878,1.753202967,1.1126095752,1.2137559002,0.0337154417,0
2015-09-10,2779,896,82,28,38,0,0,,3823,72.6916034528,23.4370912896,2.1449123725,0.7324091028,0.9939837824,0,0
2015-09-11,3863,1157,61,53,77,0,0,,5211,74.131644598,22.2030320476,1.1706006525,1.0170792554,1.4776434466,0,0
2015-09-12,1649,681,53,37,52,0,0,,2472,66.7071197411,27.5485436893,2.144012945,1.496763754,2.1035598706,0,0
2015-09-13,2440,1246,38,17,53,0,0,,3794,64.3120716921,32.8413284133,1.0015814444,0.4480759093,1.3969425409,0,0
2015-09-14,2630,1008,56,44,45,1,0,,3784,69.5031712474,26.6384778013,1.4799154334,1.1627906977,1.189217759,0.0264270613,0
2015-09-15,2038,429,43,58,52,5,0,,2625,77.6380952381,16.3428571429,1.6380952381,2.2095238095,1.980952381,0.1904761905,0
2015-09-16,3137,866,38,74,46,4,0,,4165,75.3181272509,20.7923169268,0.912364946,1.7767106843,1.1044417767,0.0960384154,0
2015-09-17,3640,887,41,51,46,1,0,,4666,78.0111444492,19.0098585512,0.8786969567,1.0930132876,0.9858551222,0.0214316331,0
2015-09-18,2949,412,89,46,73,2,0,,3571,82.5819098292,11.5373844861,2.4922990759,1.2881545785,2.0442453094,0.0560067208,0
2015-09-19,1102,354,29,46,57,9,0,,1597,69.0043832185,22.1665623043,1.8159048215,2.8804007514,3.5691922354,0.5635566688,0
2015-09-20,1152,327,31,57,58,14,0,,1639,70.2867602196,19.9511897498,1.8913971934,3.4777303234,3.5387431361,0.8541793777,0
2015-09-21,3047,748,37,46,58,8,0,,3944,77.2565922921,18.9655172414,0.9381338742,1.1663286004,1.4705882353,0.2028397566,0
2015-09-22,3147,690,71,53,73,2,0,,4036,77.9732408325,17.0961347869,1.7591674926,1.3131813677,1.8087215064,0.0495540139,0
2015-09-23,2486,545,48,43,54,0,0,,3176,78.274559194,17.1599496222,1.5113350126,1.3539042821,1.7002518892,0,0
2015-09-24,2328,923,89,90,81,3,0,,3514,66.24928856,26.266363119,2.5327262379,2.5611838361,2.3050654525,0.0853727945,0
2015-09-25,2151,619,57,35,57,3,0,,2922,73.613963039,21.1841204654,1.9507186858,1.1978097194,1.9507186858,0.1026694045,0
2015-09-26,1488,373,35,42,39,2,0,,1979,75.1894896412,18.8479029813,1.7685699848,2.1222839818,1.9706922688,0.101061142,0
2015-09-27,1938,368,101,79,81,2,0,,2569,75.4379135851,14.3246399377,3.9314908525,3.0751265084,3.1529778124,0.077851304,0
2015-09-28,3632,604,92,50,90,4,0,,4472,81.2164579606,13.5062611807,2.0572450805,1.1180679785,2.0125223614,0.0894454383,0
2015-09-29,1061,378,56,58,59,1,1,,1614,65.7372986369,23.4200743494,3.4696406444,3.5935563817,3.6555142503,0.0619578686,0.0619578686
2015-09-30,1673,410,54,27,27,2,0,,2193,76.2881896945,18.6958504332,2.462380301,1.2311901505,1.2311901505,0.0911992704,0
2015-10-01,1885,594,94,52,73,1,0,,2699,69.840681734,22.0081511671,3.4827713968,1.9266394961,2.7047054465,0.0370507595,0
2015-10-02,2083,518,65,988,92,6,0,,3752,55.5170575693,13.8059701493,1.7324093817,26.3326226013,2.4520255864,0.1599147122,0
2015-10-03,1503,408,53,1536,38,2,0,,3540,42.4576271186,11.5254237288,1.4971751412,43.3898305085,1.0734463277,0.0564971751,0
2015-10-04,1625,628,70,63,77,0,0,,2463,65.9764514819,25.4973609419,2.8420625254,2.5578562728,3.1262687779,0,0
2015-10-05,2701,713,86,95,178,6,0,,3779,71.4739349034,18.8674252448,2.2757343212,2.5138925642,4.7102408044,0.1587721619,0
2015-10-06,2530,669,96,78,103,3,0,,3479,72.7220465651,19.2296636965,2.7594136246,2.24202357,2.9606208681,0.0862316758,0
2015-10-07,2565,578,64,99,83,3,0,,3392,75.6191037736,17.0400943396,1.8867924528,2.9186320755,2.4469339623,0.0884433962,0
2015-10-08,2209,546,69,82,45,6,0,,2957,74.7040919851,18.4646601285,2.3334460602,2.7730808252,1.521812648,0.2029083531,0
2015-10-09,2024,418,74,47,33,6,0,,2602,77.7863182168,16.0645657187,2.8439661799,1.806302844,1.2682551883,0.2305918524,0
2015-10-10,1777,361,36,44,26,0,0,,2244,79.1889483066,16.0873440285,1.6042780749,1.9607843137,1.1586452763,0,0
2015-10-11,950,161,20,29,37,0,0,,1197,79.3650793651,13.4502923977,1.6708437761,2.4227234754,3.0910609858,0,0
2015-10-12,2796,641,82,87,59,5,0,,3670,76.1852861035,17.4659400545,2.2343324251,2.3705722071,1.6076294278,0.136239782,0
2015-10-13,2681,612,64,35,53,1,0,,3446,77.8003482298,17.7597214161,1.857225769,1.0156703424,1.53801509,0.0290191526,0
2015-10-14,2850,599,57,51,64,3,0,,3624,78.642384106,16.5286975717,1.5728476821,1.4072847682,1.766004415,0.082781457,0
2015-10-15,2476,484,63,29,59,0,0,,3111,79.5885567342,15.5576984892,2.025072324,0.9321761491,1.8964963034,0,0
2015-10-16,2686,683,78,47,45,0,0,,3539,75.8971460865,19.2992370726,2.2040124329,1.3280587737,1.2715456344,0,0
2015-10-17,1725,595,60,61,75,0,0,,2516,68.5612082671,23.6486486486,2.3847376789,2.4244833068,2.9809220986,0,0
2015-10-18,2017,323,34,52,47,0,0,,2473,81.5608572584,13.061059442,1.3748483623,2.10270926,1.9005256773,0,0
2015-10-19,2013,412,39,31,22,1,0,,2518,79.9444003177,16.362192216,1.5488482923,1.2311358221,0.8737092931,0.0397140588,0
2015-10-20,2234,508,31,64,32,0,0,,2869,77.8668525619,17.7065179505,1.0805158592,2.230742419,1.1153712095,0,0
2015-10-21,3051,635,43,37,49,0,0,,3815,79.9737876802,16.6448230668,1.127129751,0.9698558322,1.2844036697,0,0
2015-10-22,3756,766,146,68,111,1,0,,4848,77.4752475248,15.800330033,3.0115511551,1.402640264,2.2896039604,0.0206270627,0
2015-10-23,2760,755,70,37,55,0,0,,3677,75.0611911885,20.5330432418,1.9037258635,1.0062550993,1.495784607,0,0
2015-10-24,1636,425,29,30,36,0,0,,2156,75.8812615955,19.7124304267,1.3450834879,1.3914656772,1.6697588126,0,0
2015-10-25,2024,447,37,26,43,0,0,,2577,78.5409390764,17.3457508731,1.4357780365,1.0089251067,1.6686069073,0,0
2015-10-26,2511,606,67,24,128,0,0,,3336,75.2697841727,18.1654676259,2.0083932854,0.7194244604,3.8369304556,0,0
2015-10-27,2409,653,35,38,92,0,0,,3227,74.6513789898,20.2355128602,1.0845986985,1.1775643012,2.8509451503,0,0
2015-10-28,2681,1080,103,43,89,0,0,,3996,67.0920920921,27.027027027,2.5775775776,1.0760760761,2.2272272272,0,0
2015-10-29,2368,803,69,25,134,0,0,,3399,69.6675492792,23.6245954693,2.0300088261,0.7355104442,3.9423359812,0,0
2015-10-30,1952,1127,99,37,107,0,0,,3322,58.7597832631,33.925346177,2.9801324503,1.1137868754,3.2209512342,0,0
2015-10-31,1471,783,60,56,45,0,0,,2415,60.9109730849,32.4223602484,2.4844720497,2.3188405797,1.8633540373,0,0
2015-11-01,1554,1097,65,33,28,2,0,,2779,55.919395466,39.4746311623,2.3389708528,1.1874775099,1.0075566751,0.0719683339,0
2015-11-02,2278,1376,72,68,59,0,0,,3853,59.1227614846,35.7124318713,1.8686737607,1.7648585518,1.5312743317,0,0
2015-11-03,726,323,18,59,18,0,0,,1144,63.4615384615,28.2342657343,1.5734265734,5.1573426573,1.5734265734,0,0
2015-11-04,2597,880,94,137,73,0,0,,3781,68.6855329278,23.2742660672,2.4861147844,3.6233800582,1.9307061624,0,0
2015-11-05,3086,1088,59,61,49,0,0,,4343,71.0568731292,25.0518075063,1.3585079438,1.4045590606,1.1282523601,0,0
2015-11-06,2852,1083,108,49,48,0,0,,4140,68.8888888889,26.1594202899,2.6086956522,1.1835748792,1.1594202899,0,0
2015-11-07,1782,741,52,25,29,0,0,,2629,67.7824267782,28.1856219095,1.9779383796,0.9509319133,1.1030810194,0,0
2015-11-08,2250,780,67,42,76,0,0,,3215,69.9844479005,24.2612752722,2.0839813375,1.3063763608,2.3639191291,0,0
2015-11-09,2665,832,50,34,83,0,0,,3664,72.7347161572,22.7074235808,1.364628821,0.9279475983,2.2652838428,0,0
2015-11-10,2242,970,52,46,113,0,0,,3423,65.4981010809,28.3377154543,1.5191352615,1.3438504236,3.3011977797,0,0
2015-11-11,2480,952,45,38,66,0,0,,3581,69.2543982128,26.5847528623,1.2566322256,1.0611561016,1.8430605976,0,0
2015-11-12,2079,929,64,56,49,0,0,,3177,65.4390934844,29.2414227258,2.0144790683,1.7626691848,1.5423355367,0,0
2015-11-13,2357,765,55,72,128,0,0,,3377,69.7956766361,22.6532425229,1.6286644951,2.1320698845,3.7903464614,0,0
2015-11-14,1944,1108,70,97,62,0,0,,3281,59.2502285888,33.7701920146,2.1334958854,2.9564157269,1.8896677842,0,0
2015-11-15,2426,738,72,83,100,0,0,,3419,70.9564200058,21.5852588476,2.105878912,2.4276104124,2.9248318222,0,0
2015-11-16,2591,954,52,90,88,0,0,,3775,68.6357615894,25.2715231788,1.3774834437,2.3841059603,2.3311258278,0,0
2015-11-17,2851,1037,53,76,38,0,0,,4055,70.3082614057,25.5733662146,1.30702836,1.8742293465,0.9371146732,0,0
2015-11-18,2516,876,97,94,51,0,0,,3634,69.2350027518,24.1056686846,2.6692350028,2.5866813429,1.4034122179,0,0
2015-11-19,2572,1025,154,147,89,0,0,,3987,64.5096563832,25.7085527966,3.8625532982,3.6869826938,2.2322548282,0,0
2015-11-20,2423,855,89,128,42,0,0,,3537,68.5043822448,24.1730279898,2.5162567147,3.6188860616,1.187446989,0,0
2015-11-21,2098,803,81,64,37,0,0,,3083,68.0506000649,26.0460590334,2.6273110607,2.0759000973,1.2001297438,0,0
2015-11-22,2212,1013,143,78,35,0,0,,3481,63.5449583453,29.1008330939,4.1080149382,2.2407354209,1.0054582017,0,0
2015-11-23,3576,1458,217,196,46,0,0,,5493,65.1010376843,26.5428727471,3.9504824322,3.5681776807,0.8374294557,0,0
2015-11-24,2653,946,122,133,44,0,0,,3898,68.0605438687,24.2688558235,3.1298101591,3.412006157,1.1287839918,0,0
2015-11-25,3476,971,45,45,24,0,0,,4561,76.2113571585,21.2891909669,0.98662574,0.98662574,0.5262003947,0,0
2015-11-26,3087,906,54,45,25,3,0,,4120,74.927184466,21.9902912621,1.3106796117,1.0922330097,0.6067961165,0.072815534,0
2015-11-27,3741,888,94,41,45,0,0,,4809,77.7916406737,18.4653774173,1.9546683302,0.8525681015,0.9357454772,0,0
2015-11-28,1863,885,45,16,47,0,0,,2856,65.231092437,30.987394958,1.5756302521,0.5602240896,1.6456582633,0,0
2015-11-29,2288,777,34,19,61,0,0,,3179,71.9723183391,24.4416483171,1.0695187166,0.597672224,1.9188424033,0,0
2015-11-30,2922,932,56,52,40,0,0,,4002,73.0134932534,23.2883558221,1.3993003498,1.2993503248,0.9995002499,0,0
2015-12-01,3993,827,66,41,34,0,0,,4961,80.487804878,16.6700262044,1.3303769401,0.826446281,0.6853456964,0,0
2015-12-02,3410,1048,87,35,42,1,0,,4623,73.7616266494,22.6692623837,1.8818948735,0.7570841445,0.9085009734,0.0216309756,0
2015-12-03,2895,1203,91,38,45,0,0,,4272,67.7668539326,28.1601123596,2.1301498127,0.8895131086,1.0533707865,0,0
2015-12-04,2807,1064,83,61,59,0,0,,4074,68.9003436426,26.116838488,2.0373097693,1.4972999509,1.4482081492,0,0
2015-12-05,2378,1269,141,52,25,0,0,,3865,61.5265200517,32.8331177232,3.6481241915,1.3454075032,0.6468305304,0,0
2015-12-06,2695,1245,73,32,26,0,0,,4071,66.199950872,30.5821665438,1.793171211,0.7860476541,0.638663719,0,0
2015-12-07,3900,1011,147,21,69,6,0,,5154,75.6693830035,19.6158323632,2.8521536671,0.4074505239,1.338766007,0.1164144354,0
2015-12-08,1518,640,167,38,32,0,0,,2395,63.382045929,26.7223382046,6.9728601253,1.5866388309,1.3361169102,0,0
2015-12-09,3316,977,58,40,22,0,0,,4413,75.1416270111,22.1391343757,1.314298663,0.9064128711,0.4985270791,0,0
2015-12-10,3097,1036,53,41,35,1,0,,4263,72.6483696927,24.302134647,1.2432559231,0.961764016,0.8210180624,0.0234576589,0
2015-12-11,3766,824,119,43,55,4,0,,4811,78.2789440865,17.1274163376,2.4734982332,0.8937850759,1.1432134691,0.0831427978,0
2015-12-12,2173,561,83,20,25,0,0,,2862,75.9259259259,19.6016771488,2.9000698812,0.6988120196,0.8735150245,0,0
2015-12-13,2338,553,77,18,27,2,0,,3015,77.5456053068,18.3416252073,2.5538971808,0.5970149254,0.8955223881,0.0663349917,0
2015-12-14,2754,628,71,29,22,0,0,,3504,78.595890411,17.9223744292,2.0262557078,0.8276255708,0.6278538813,0,0
2015-12-15,2190,763,52,34,25,1,0,,3065,71.4518760196,24.8939641109,1.6965742251,1.1092985318,0.8156606852,0.0326264274,0
2015-12-16,2149,550,62,95,23,1,0,,2880,74.6180555556,19.0972222222,2.1527777778,3.2986111111,0.7986111111,0.0347222222,0
2015-12-17,2151,518,62,39,19,1,0,,2790,77.0967741935,18.5663082437,2.2222222222,1.3978494624,0.6810035842,0.0358422939,0
2015-12-18,1489,436,55,35,23,2,0,,2040,72.9901960784,21.3725490196,2.6960784314,1.7156862745,1.1274509804,0.0980392157,0
2015-12-19,1953,513,46,49,24,1,0,,2586,75.5220417633,19.837587007,1.7788089714,1.8948182521,0.9280742459,0.0386697602,0
2015-12-20,3723,608,59,26,20,1,0,,4437,83.908045977,13.7029524453,1.3297272932,0.585981519,0.4507550146,0.0225377507,0
2015-12-21,648,184,15,10,9,0,0,,866,74.8267898383,21.247113164,1.7321016166,1.1547344111,1.03926097,0,0
2015-12-22,794,220,9,16,38,0,0,,1077,73.7233054782,20.4271123491,0.8356545961,1.4856081708,3.5283194058,0,0
2015-12-23,1758,428,38,51,72,0,0,,2347,74.9041329357,18.2360460162,1.6190881977,2.1729867916,3.0677460588,0,0
2015-12-24,1484,358,46,32,40,0,0,,1960,75.7142857143,18.2653061224,2.3469387755,1.6326530612,2.0408163265,0,0
2015-12-25,1141,339,33,40,29,0,0,,1582,72.1238938053,21.4285714286,2.0859671302,2.5284450063,1.8331226296,0,0
2015-12-26,1394,447,341,63,36,0,0,,2281,61.11354669,19.596668128,14.949583516,2.7619465147,1.5782551512,0,0
2015-12-27,1485,508,102,34,41,0,0,,2170,68.4331797235,23.4101382488,4.7004608295,1.5668202765,1.8894009217,0,0
2015-12-28,1655,488,66,45,38,0,0,,2292,72.2076788831,21.2914485166,2.8795811518,1.9633507853,1.6579406632,0,0
2015-12-29,1651,407,65,45,52,0,0,,2220,74.3693693694,18.3333333333,2.9279279279,2.027027027,2.3423423423,0,0
2015-12-30,1785,420,108,38,47,0,0,,2398,74.437030859,17.5145954962,4.5037531276,1.5846538782,1.9599666389,0,0
2015-12-31,2782,424,81,52,69,0,0,,3408,81.6314553991,12.441314554,2.3767605634,1.5258215962,2.0246478873,0,0
2016-01-01,7410,501,59,88,57,0,0,,8115,91.3123844732,6.1737523105,0.7270486753,1.0844115835,0.7024029575,0,0
2016-01-02,2548,560,69,79,143,0,0,,3399,74.9632244778,16.4754339512,2.0300088261,2.3242130038,4.2071197411,0,0
2016-01-03,1590,494,56,41,86,3,0,,2270,70.0440528634,21.7621145374,2.4669603524,1.8061674009,3.7885462555,0.1321585903,0
2016-01-04,2296,569,280,117,51,2,0,,3315,69.2609351433,17.1644042232,8.4464555053,3.5294117647,1.5384615385,0.060331825,0
2016-01-05,2418,619,71,52,53,1,0,,3214,75.2333540759,19.2594897324,2.209085252,1.617921593,1.6490354698,0.0311138768,0
2016-01-06,2714,722,69,34,55,2,0,,3596,75.4727474972,20.0778642937,1.9187986652,0.9454949944,1.5294771969,0.0556173526,0
2016-01-07,2990,813,49,57,75,0,0,,3984,75.0502008032,20.406626506,1.2299196787,1.4307228916,1.8825301205,0,0
2016-01-08,3457,735,87,67,83,1,0,,4430,78.0361173815,16.5914221219,1.9638826185,1.5124153499,1.8735891648,0.0225733634,0
2016-01-09,6255,602,63,55,58,13,0,,7046,88.7737723531,8.5438546693,0.8941243259,0.7805847289,0.8231620778,0.184501845,0
2016-01-10,1875,314,58,17,46,0,0,,2310,81.1688311688,13.5930735931,2.5108225108,0.7359307359,1.9913419913,0,0
2016-01-11,7216,637,85,50,134,1,0,,8123,88.834174566,7.8419303213,1.0464114244,0.615536132,1.6496368337,0.0123107226,0
2016-01-12,4062,861,92,58,69,0,0,,5142,78.9964994166,16.7444574096,1.7891870867,1.1279657721,1.3418903151,0,0
2016-01-13,6851,512,188,43,84,0,0,,7678,89.2289658765,6.66840323,2.448554311,0.5600416775,1.0940349049,0,0
2016-01-14,6268,572,183,41,59,0,0,,7123,87.9966306332,8.0303243016,2.5691422154,0.5756001685,0.8283026815,0,0
2016-01-15,3539,467,114,75,58,3,0,,4256,83.1531954887,10.9727443609,2.6785714286,1.7622180451,1.3627819549,0.0704887218,0
2016-01-16,1769,509,40,37,88,0,0,,2443,72.4109701187,20.8350388866,1.6373311502,1.514531314,3.6021285305,0,0
2016-01-17,2211,1046,80,76,56,0,0,,3469,63.7359469588,30.1527817815,2.306140098,2.1908330931,1.6142980686,0,0
2016-01-18,2571,772,276,79,90,0,0,,3788,67.8722280887,20.3801478353,7.2861668427,2.0855332629,2.3759239704,0,0
2016-01-19,4074,1146,325,64,95,0,0,,5704,71.4235624123,20.0911640954,5.6977559607,1.1220196353,1.6654978962,0,0
2016-01-20,3248,859,477,71,68,0,0,,4723,68.7698496718,18.1875926318,10.0995130214,1.5032818124,1.4397628626,0,0
2016-01-21,4260,711,126,41,36,0,0,,5174,82.3347506765,13.7417858523,2.435253189,0.7924236567,0.6957866254,0,0
2016-01-22,3765,642,89,46,77,0,0,,4619,81.5111495995,13.899112362,1.9268239879,0.9958865555,1.6670274951,0,0
2016-01-23,3238,616,76,35,34,0,0,,3999,80.9702425606,15.4038509627,1.9004751188,0.8752188047,0.8502125531,0,0
2016-01-24,6903,932,55,27,75,0,0,,7992,86.3738738739,11.6616616617,0.6881881882,0.3378378378,0.9384384384,0,0
2016-01-25,7596,766,226,187,146,0,0,,8921,85.1474049994,8.5864813362,2.5333482793,2.0961775586,1.6365878265,0,0
2016-01-26,3495,645,147,228,61,0,0,,4576,76.3767482517,14.0952797203,3.2124125874,4.9825174825,1.333041958,0,0
2016-01-27,3613,656,72,210,78,0,0,,4629,78.0514149924,14.1715273277,1.555411536,4.5366169799,1.685029164,0,0
2016-01-28,3851,599,61,90,165,0,0,,4766,80.8015107008,12.5681913554,1.2798992866,1.8883759966,3.4620226605,0,0
2016-01-29,4001,612,51,89,91,0,0,,4844,82.5970272502,12.6341866226,1.0528488852,1.8373245252,1.8786127168,0,0
2016-01-30,9823,623,72,146,98,0,0,,10762,91.2748559747,5.788886824,0.6690206281,1.3566251626,0.9106114105,0,0
2016-01-31,13003,522,64,99,85,0,0,,13773,94.40935163,3.7900239599,0.4646772671,0.7187976476,0.6171494954,0,0
---------,,,,,,,,,,,,,,,,
