title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  65 - 256,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
2015-09-15,42,210,14,81,24,27,31,,429,9.7902097902,48.951048951,3.2634032634,18.8811188811,5.5944055944,6.2937062937,7.2261072261
2015-09-16,179,495,20,77,25,21,49,,866,20.6697459584,57.1593533487,2.3094688222,8.8914549654,2.8868360277,2.4249422633,5.6581986143
2015-09-17,48,608,24,99,22,32,54,,887,5.4114994363,68.5456595265,2.7057497182,11.1612175874,2.480270575,3.6076662909,6.0879368658
2015-09-18,21,181,42,92,33,9,34,,412,5.0970873786,43.932038835,10.1941747573,22.3300970874,8.0097087379,2.1844660194,8.2524271845
2015-09-19,23,86,11,103,42,23,66,,354,6.4971751412,24.2937853107,3.1073446328,29.0960451977,11.8644067797,6.4971751412,18.6440677966
2015-09-20,24,98,9,84,32,32,48,,327,7.3394495413,29.9694189602,2.752293578,25.6880733945,9.7859327217,9.7859327217,14.6788990826
2015-09-21,59,444,44,101,22,21,57,,748,7.8877005348,59.3582887701,5.8823529412,13.5026737968,2.9411764706,2.807486631,7.6203208556
2015-09-22,79,406,24,67,44,24,46,,690,11.4492753623,58.8405797101,3.4782608696,9.7101449275,6.3768115942,3.4782608696,6.6666666667
2015-09-23,86,224,27,109,36,25,38,,545,15.7798165138,41.1009174312,4.9541284404,20,6.6055045872,4.5871559633,6.9724770642
2015-09-24,64,524,39,138,63,45,50,,923,6.9339111593,56.7713976165,4.2253521127,14.9512459372,6.8255687974,4.8754062839,5.4171180932
2015-09-25,36,364,18,81,58,15,47,,619,5.8158319871,58.8045234249,2.9079159935,13.0856219709,9.3699515347,2.4232633279,7.5928917609
2015-09-26,24,129,12,91,29,40,48,,373,6.4343163539,34.5844504021,3.2171581769,24.3967828418,7.7747989276,10.7238605898,12.8686327078
2015-09-27,14,143,20,76,69,23,23,,368,3.8043478261,38.8586956522,5.4347826087,20.652173913,18.75,6.25,6.25
2015-09-28,63,298,39,102,39,11,52,,604,10.4304635762,49.3377483444,6.4569536424,16.8874172185,6.4569536424,1.821192053,8.6092715232
2015-09-29,71,126,27,76,66,4,8,,378,18.7830687831,33.3333333333,7.1428571429,20.1058201058,17.4603174603,1.0582010582,2.1164021164
2015-09-30,50,123,35,76,73,24,29,,410,12.1951219512,30,8.5365853659,18.5365853659,17.8048780488,5.8536585366,7.0731707317
2015-10-01,38,153,33,173,71,47,79,,594,6.3973063973,25.7575757576,5.5555555556,29.1245791246,11.9528619529,7.9124579125,13.2996632997
2015-10-02,36,192,40,117,39,29,65,,518,6.9498069498,37.0656370656,7.722007722,22.5868725869,7.528957529,5.5984555985,12.5482625483
2015-10-03,27,177,21,52,34,16,81,,408,6.6176470588,43.3823529412,5.1470588235,12.7450980392,8.3333333333,3.9215686275,19.8529411765
2015-10-04,137,128,45,70,103,68,77,,628,21.8152866242,20.3821656051,7.1656050955,11.1464968153,16.4012738854,10.8280254777,12.2611464968
2015-10-05,135,340,25,75,55,33,50,,713,18.9340813464,47.6858345021,3.5063113604,10.5189340813,7.713884993,4.6283309958,7.0126227209
2015-10-06,79,320,37,90,80,19,44,,669,11.8086696562,47.8325859492,5.5306427504,13.4529147982,11.9581464873,2.8400597907,6.576980568
2015-10-07,87,204,34,103,54,22,74,,578,15.0519031142,35.2941176471,5.8823529412,17.8200692042,9.3425605536,3.8062283737,12.8027681661
2015-10-08,60,250,37,87,37,13,62,,546,10.989010989,45.7875457875,6.7765567766,15.9340659341,6.7765567766,2.380952381,11.3553113553
2015-10-09,56,140,30,55,51,24,62,,418,13.3971291866,33.4928229665,7.1770334928,13.1578947368,12.2009569378,5.7416267943,14.8325358852
2015-10-10,32,95,36,72,39,15,72,,361,8.864265928,26.3157894737,9.972299169,19.944598338,10.8033240997,4.1551246537,19.944598338
2015-10-11,14,69,10,20,6,7,35,,161,8.6956521739,42.8571428571,6.2111801242,12.4223602484,3.7267080745,4.347826087,21.7391304348
2015-10-12,36,353,40,103,26,27,56,,641,5.616224649,55.0702028081,6.24024961,16.0686427457,4.0561622465,4.2121684867,8.736349454
2015-10-13,61,270,61,110,39,25,46,,612,9.9673202614,44.1176470588,9.9673202614,17.9738562092,6.3725490196,4.0849673203,7.5163398693
2015-10-14,111,214,40,102,39,38,55,,599,18.530884808,35.7262103506,6.6777963272,17.0283806344,6.510851419,6.3439065109,9.1819699499
2015-10-15,48,199,42,111,34,20,30,,484,9.9173553719,41.1157024793,8.6776859504,22.9338842975,7.0247933884,4.132231405,6.1983471074
2015-10-16,82,340,30,106,34,36,55,,683,12.0058565154,49.7803806735,4.39238653,15.5197657394,4.9780380673,5.270863836,8.0527086384
2015-10-17,51,251,16,106,75,33,63,,595,8.5714285714,42.1848739496,2.6890756303,17.8151260504,12.6050420168,5.5462184874,10.5882352941
2015-10-18,19,86,22,82,34,24,56,,323,5.8823529412,26.6253869969,6.8111455108,25.386996904,10.5263157895,7.4303405573,17.3374613003
2015-10-19,58,119,22,83,44,28,58,,412,14.0776699029,28.8834951456,5.3398058252,20.145631068,10.6796116505,6.7961165049,14.0776699029
2015-10-20,39,198,34,132,44,14,47,,508,7.6771653543,38.9763779528,6.6929133858,25.9842519685,8.6614173228,2.7559055118,9.2519685039
2015-10-21,51,232,59,124,68,71,30,,635,8.031496063,36.5354330709,9.2913385827,19.5275590551,10.7086614173,11.1811023622,4.7244094488
2015-10-22,142,233,40,153,83,33,82,,766,18.5378590078,30.4177545692,5.2219321149,19.9738903394,10.8355091384,4.3080939948,10.7049608355
2015-10-23,108,203,62,250,33,47,52,,755,14.3046357616,26.8874172185,8.2119205298,33.1125827815,4.3708609272,6.2251655629,6.8874172185
2015-10-24,55,126,24,82,51,23,64,,425,12.9411764706,29.6470588235,5.6470588235,19.2941176471,12,5.4117647059,15.0588235294
2015-10-25,10,207,20,74,54,21,61,,447,2.2371364653,46.3087248322,4.4742729306,16.5548098434,12.0805369128,4.6979865772,13.6465324385
2015-10-26,61,294,22,91,30,69,39,,606,10.0660066007,48.5148514851,3.6303630363,15.0165016502,4.9504950495,11.3861386139,6.4356435644
2015-10-27,64,315,35,105,75,20,39,,653,9.8009188361,48.2388973966,5.3598774885,16.0796324655,11.4854517611,3.0627871363,5.9724349158
2015-10-28,290,419,59,179,66,28,39,,1080,26.8518518519,38.7962962963,5.462962963,16.5740740741,6.1111111111,2.5925925926,3.6111111111
2015-10-29,61,342,38,175,105,31,51,,803,7.596513076,42.5902864259,4.7322540473,21.7932752179,13.0759651308,3.8605230386,6.3511830635
2015-10-30,219,460,63,146,147,36,56,,1127,19.4321206744,40.8163265306,5.5900621118,12.9547471162,13.0434782609,3.1943212067,4.9689440994
2015-10-31,149,367,44,70,78,22,53,,783,19.0293742018,46.87100894,5.619412516,8.9399744572,9.9616858238,2.809706258,6.7688378033
2015-11-01,185,519,71,128,96,35,63,,1097,16.8641750228,47.3108477666,6.4721969006,11.6681859617,8.7511394713,3.1905195989,5.742935278
2015-11-02,85,813,50,221,49,107,51,,1376,6.1773255814,59.0843023256,3.6337209302,16.0610465116,3.5610465116,7.7761627907,3.7063953488
2015-11-03,18,233,12,23,16,6,15,,323,5.572755418,72.1362229102,3.7151702786,7.1207430341,4.9535603715,1.8575851393,4.6439628483
2015-11-04,113,491,25,111,32,81,27,,880,12.8409090909,55.7954545455,2.8409090909,12.6136363636,3.6363636364,9.2045454545,3.0681818182
2015-11-05,211,547,31,127,29,84,59,,1088,19.3933823529,50.2757352941,2.8492647059,11.6727941176,2.6654411765,7.7205882353,5.4227941176
2015-11-06,209,513,49,112,73,75,52,,1083,19.298245614,47.3684210526,4.5244690674,10.3416435826,6.7405355494,6.9252077562,4.8014773777
2015-11-07,84,427,20,83,41,38,48,,741,11.3360323887,57.624831309,2.6990553306,11.2010796221,5.5330634278,5.1282051282,6.4777327935
2015-11-08,113,333,53,68,81,59,73,,780,14.4871794872,42.6923076923,6.7948717949,8.7179487179,10.3846153846,7.5641025641,9.358974359
2015-11-09,104,471,44,81,58,12,62,,832,12.5,56.6105769231,5.2884615385,9.7355769231,6.9711538462,1.4423076923,7.4519230769
2015-11-10,81,550,55,68,63,14,139,,970,8.3505154639,56.7010309278,5.6701030928,7.0103092784,6.4948453608,1.4432989691,14.3298969072
2015-11-11,85,595,30,71,41,33,97,,952,8.9285714286,62.5,3.1512605042,7.4579831933,4.3067226891,3.4663865546,10.1890756303
2015-11-12,121,547,21,74,71,23,72,,929,13.0247578041,58.8805166846,2.2604951561,7.9655543595,7.6426264801,2.475780409,7.7502691066
2015-11-13,72,472,22,90,20,24,65,,765,9.4117647059,61.6993464052,2.8758169935,11.7647058824,2.614379085,3.137254902,8.4967320261
2015-11-14,99,678,19,114,19,16,163,,1108,8.9350180505,61.1913357401,1.714801444,10.2888086643,1.714801444,1.4440433213,14.7111913357
2015-11-15,104,444,21,59,24,10,76,,738,14.0921409214,60.162601626,2.8455284553,7.9945799458,3.2520325203,1.3550135501,10.298102981
2015-11-16,163,569,45,65,25,15,72,,954,17.0859538784,59.64360587,4.7169811321,6.8134171908,2.6205450734,1.572327044,7.5471698113
2015-11-17,93,565,44,144,23,13,155,,1037,8.9681774349,54.4840887175,4.2430086789,13.8862102218,2.2179363549,1.2536162006,14.9469623915
2015-11-18,123,480,33,126,26,16,72,,876,14.0410958904,54.7945205479,3.7671232877,14.3835616438,2.9680365297,1.8264840183,8.2191780822
2015-11-19,119,512,26,127,60,10,171,,1025,11.6097560976,49.9512195122,2.5365853659,12.3902439024,5.8536585366,0.9756097561,16.6829268293
2015-11-20,49,448,35,122,82,25,94,,855,5.730994152,52.3976608187,4.0935672515,14.269005848,9.5906432749,2.9239766082,10.9941520468
2015-11-21,85,426,15,81,59,25,112,,803,10.5853051059,53.0510585305,1.8679950187,10.0871731009,7.3474470735,3.1133250311,13.9476961395
2015-11-22,138,594,18,100,39,34,90,,1013,13.6229022705,58.637709773,1.7769002962,9.8716683119,3.8499506417,3.3563672261,8.8845014808
2015-11-23,131,1020,46,131,24,36,70,,1458,8.9849108368,69.9588477366,3.1550068587,8.9849108368,1.646090535,2.4691358025,4.8010973937
2015-11-24,54,573,20,102,79,15,103,,946,5.7082452431,60.5708245243,2.1141649049,10.7822410148,8.3509513742,1.5856236786,10.88794926
2015-11-25,29,448,25,146,108,42,173,,971,2.9866117405,46.1380020597,2.5746652935,15.0360453141,11.122554068,4.3254376931,17.8166838311
2015-11-26,139,480,19,83,92,17,76,,906,15.3421633554,52.9801324503,2.0971302428,9.1611479029,10.1545253863,1.8763796909,8.3885209713
2015-11-27,111,374,56,110,78,25,134,,888,12.5,42.1171171171,6.3063063063,12.3873873874,8.7837837838,2.8153153153,15.0900900901
2015-11-28,114,468,10,88,30,33,142,,885,12.8813559322,52.8813559322,1.1299435028,9.9435028249,3.3898305085,3.7288135593,16.0451977401
2015-11-29,19,442,29,96,114,8,69,,777,2.4453024453,56.8854568855,3.7323037323,12.3552123552,14.6718146718,1.0296010296,8.8803088803
2015-11-30,79,461,46,86,125,35,100,,932,8.4763948498,49.4635193133,4.9356223176,9.2274678112,13.4120171674,3.7553648069,10.7296137339
2015-12-01,92,385,60,133,66,24,67,,827,11.1245465538,46.553808948,7.2551390568,16.0822249093,7.9806529625,2.9020556227,8.1015719468
2015-12-02,198,438,77,119,34,60,122,,1048,18.893129771,41.7938931298,7.3473282443,11.3549618321,3.2442748092,5.7251908397,11.641221374
2015-12-03,212,444,157,259,85,14,32,,1203,17.6226101413,36.9077306733,13.0507065669,21.5295095594,7.0656691604,1.1637572735,2.6600166251
2015-12-04,122,520,88,127,91,34,82,,1064,11.4661654135,48.8721804511,8.2706766917,11.9360902256,8.5526315789,3.1954887218,7.7067669173
2015-12-05,129,665,68,144,142,33,88,,1269,10.1654846336,52.4034672971,5.3585500394,11.3475177305,11.1899133176,2.6004728132,6.9345941686
2015-12-06,113,702,49,203,89,25,64,,1245,9.0763052209,56.3855421687,3.9357429719,16.3052208835,7.1485943775,2.0080321285,5.140562249
2015-12-07,100,490,60,134,138,28,61,,1011,9.8911968348,48.4668644906,5.9347181009,13.2542037587,13.649851632,2.7695351137,6.0336300692
2015-12-08,238,221,56,105,6,1,13,,640,37.1875,34.53125,8.75,16.40625,0.9375,0.15625,2.03125
2015-12-09,257,451,70,119,29,33,18,,977,26.3050153531,46.1617195496,7.164790174,12.1801432958,2.9682702149,3.3776867963,1.8423746162
2015-12-10,209,495,77,113,35,26,81,,1036,20.1737451737,47.7799227799,7.4324324324,10.9073359073,3.3783783784,2.5096525097,7.8185328185
2015-12-11,140,334,69,92,93,34,62,,824,16.9902912621,40.5339805825,8.3737864078,11.1650485437,11.286407767,4.1262135922,7.5242718447
2015-12-12,38,220,24,111,63,19,86,,561,6.7736185383,39.2156862745,4.2780748663,19.7860962567,11.2299465241,3.3868092692,15.3297682709
2015-12-13,28,266,43,66,59,39,52,,553,5.0632911392,48.1012658228,7.7757685353,11.9349005425,10.6690777577,7.0524412297,9.4032549729
2015-12-14,106,233,38,160,33,26,32,,628,16.8789808917,37.101910828,6.050955414,25.4777070064,5.2547770701,4.1401273885,5.0955414013
2015-12-15,82,339,23,132,31,77,79,,763,10.747051114,44.4298820446,3.0144167759,17.3001310616,4.0629095675,10.0917431193,10.3538663172
2015-12-16,33,239,16,128,40,30,64,,550,6,43.4545454545,2.9090909091,23.2727272727,7.2727272727,5.4545454545,11.6363636364
2015-12-17,20,206,23,136,47,35,51,,518,3.861003861,39.7683397683,4.4401544402,26.2548262548,9.0733590734,6.7567567568,9.8455598456
2015-12-18,37,207,39,60,20,33,40,,436,8.4862385321,47.4770642202,8.9449541284,13.7614678899,4.5871559633,7.5688073394,9.1743119266
2015-12-19,48,175,42,57,14,69,108,,513,9.3567251462,34.1130604288,8.1871345029,11.1111111111,2.7290448343,13.4502923977,21.0526315789
2015-12-20,73,233,47,85,34,54,82,,608,12.0065789474,38.3223684211,7.7302631579,13.9802631579,5.5921052632,8.8815789474,13.4868421053
2015-12-21,8,96,18,16,5,34,7,,184,4.347826087,52.1739130435,9.7826086957,8.6956521739,2.7173913043,18.4782608696,3.8043478261
2015-12-22,21,42,10,11,30,16,90,,220,9.5454545455,19.0909090909,4.5454545455,5,13.6363636364,7.2727272727,40.9090909091
2015-12-23,32,176,20,57,23,25,95,,428,7.476635514,41.1214953271,4.6728971963,13.3177570093,5.3738317757,5.8411214953,22.1962616822
2015-12-24,23,111,13,37,52,25,97,,358,6.4245810056,31.0055865922,3.6312849162,10.3351955307,14.5251396648,6.9832402235,27.094972067
2015-12-25,32,103,29,44,20,39,72,,339,9.4395280236,30.383480826,8.5545722714,12.9793510324,5.8997050147,11.5044247788,21.2389380531
2015-12-26,45,141,36,57,27,58,83,,447,10.067114094,31.5436241611,8.0536912752,12.7516778523,6.0402684564,12.9753914989,18.5682326622
2015-12-27,52,220,22,71,41,16,86,,508,10.2362204724,43.3070866142,4.3307086614,13.9763779528,8.0708661417,3.1496062992,16.9291338583
2015-12-28,31,213,44,71,18,23,88,,488,6.3524590164,43.6475409836,9.0163934426,14.5491803279,3.6885245902,4.7131147541,18.0327868852
2015-12-29,25,148,59,98,19,15,43,,407,6.1425061425,36.3636363636,14.4963144963,24.0786240786,4.6683046683,3.6855036855,10.5651105651
2015-12-30,18,148,33,98,48,11,64,,420,4.2857142857,35.2380952381,7.8571428571,23.3333333333,11.4285714286,2.619047619,15.2380952381
2015-12-31,53,133,32,69,42,27,68,,424,12.5,31.3679245283,7.5471698113,16.2735849057,9.9056603774,6.3679245283,16.0377358491
2016-01-01,19,170,63,67,116,8,58,,501,3.7924151697,33.9321357285,12.5748502994,13.373253493,23.1536926148,1.5968063872,11.5768463074
2016-01-02,63,233,27,75,78,23,61,,560,11.25,41.6071428571,4.8214285714,13.3928571429,13.9285714286,4.1071428571,10.8928571429
2016-01-03,33,191,50,60,52,32,76,,494,6.6801619433,38.6639676113,10.1214574899,12.1457489879,10.5263157895,6.4777327935,15.3846153846
2016-01-04,35,298,29,86,25,18,78,,569,6.151142355,52.3725834798,5.0966608084,15.1142355009,4.3936731107,3.1634446397,13.7082601054
2016-01-05,91,279,30,108,27,19,65,,619,14.7011308562,45.0726978998,4.8465266559,17.4474959612,4.3618739903,3.0694668821,10.5008077544
2016-01-06,137,240,40,89,103,37,76,,722,18.9750692521,33.2409972299,5.540166205,12.3268698061,14.2659279778,5.1246537396,10.5263157895
2016-01-07,108,280,60,154,77,34,100,,813,13.2841328413,34.4403444034,7.3800738007,18.9421894219,9.4710947109,4.1820418204,12.3001230012
2016-01-08,133,225,47,142,67,41,80,,735,18.0952380952,30.612244898,6.3945578231,19.3197278912,9.1156462585,5.5782312925,10.8843537415
2016-01-09,77,247,37,106,31,35,69,,602,12.7906976744,41.0299003322,6.146179402,17.6079734219,5.1495016611,5.8139534884,11.4617940199
2016-01-10,29,120,17,43,28,17,60,,314,9.2356687898,38.2165605096,5.4140127389,13.6942675159,8.9171974522,5.4140127389,19.1082802548
2016-01-11,79,279,38,96,54,23,68,,637,12.4018838305,43.7990580848,5.9654631083,15.0706436421,8.4772370487,3.6106750392,10.6750392465
2016-01-12,149,302,54,126,123,24,83,,861,17.3054587689,35.0754936121,6.2717770035,14.6341463415,14.2857142857,2.787456446,9.6399535424
2016-01-13,62,192,38,91,27,11,91,,512,12.109375,37.5,7.421875,17.7734375,5.2734375,2.1484375,17.7734375
2016-01-14,79,185,53,114,55,18,68,,572,13.8111888112,32.3426573427,9.2657342657,19.9300699301,9.6153846154,3.1468531469,11.8881118881
2016-01-15,62,152,22,71,65,13,82,,467,13.2762312634,32.5481798715,4.7109207709,15.2034261242,13.9186295503,2.7837259101,17.5588865096
2016-01-16,44,262,25,40,67,11,60,,509,8.6444007859,51.4734774067,4.9115913556,7.858546169,13.163064833,2.1611001965,11.7878192534
2016-01-17,25,812,23,36,61,15,74,,1046,2.3900573614,77.6290630975,2.1988527725,3.4416826004,5.8317399618,1.4340344168,7.0745697897
2016-01-18,43,506,21,57,55,18,72,,772,5.5699481865,65.5440414508,2.7202072539,7.3834196891,7.1243523316,2.3316062176,9.3264248705
2016-01-19,41,804,50,84,69,24,74,,1146,3.5776614311,70.1570680628,4.3630017452,7.3298429319,6.0209424084,2.0942408377,6.4572425829
2016-01-20,82,553,56,44,53,41,30,,859,9.545983702,64.3771827707,6.5192083818,5.1222351572,6.1699650757,4.772991851,3.4924330617
2016-01-21,53,365,20,75,112,34,52,,711,7.4542897328,51.3361462729,2.8129395218,10.5485232068,15.7524613221,4.7819971871,7.3136427567
2016-01-22,30,336,30,84,72,32,58,,642,4.6728971963,52.3364485981,4.6728971963,13.0841121495,11.214953271,4.984423676,9.0342679128
2016-01-23,20,321,36,74,67,25,73,,616,3.2467532468,52.1103896104,5.8441558442,12.012987013,10.8766233766,4.0584415584,11.8506493506
2016-01-24,37,544,44,107,117,15,68,,932,3.9699570815,58.3690987124,4.7210300429,11.4806866953,12.5536480687,1.6094420601,7.2961373391
2016-01-25,44,391,36,158,62,15,60,,766,5.7441253264,51.044386423,4.6997389034,20.6266318538,8.0939947781,1.9582245431,7.8328981723
2016-01-26,45,265,42,85,107,19,82,,645,6.976744186,41.0852713178,6.511627907,13.1782945736,16.5891472868,2.9457364341,12.7131782946
2016-01-27,95,240,60,68,105,25,63,,656,14.4817073171,36.5853658537,9.1463414634,10.3658536585,16.006097561,3.8109756098,9.6036585366
2016-01-28,107,223,53,64,59,25,68,,599,17.8631051753,37.2287145242,8.8480801336,10.6844741235,9.8497495826,4.1736227045,11.3522537563
