title,,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Wall Time,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,
Job Size =  1,,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,
Day,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total,,,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
12/10/2015,0,2.3875,7306.3512,23359.0717,87845.9544,152.4036,150.5564,15132.3057,,,,,,,,,,
12/11/2015,0,1.3143,5214.4198,32676.475,130198.3454,217.1355,451.3784,22570.4324,,,,,,,,,,
12/12/2015,0,0.1678,1884.2981,12905.4744,148748.1928,37.1253,186.2059,17851.0485,,,,,,,,,,
12/13/2015,0,0.0064,2260.2016,11723.0911,86912.2342,65.0778,8.3634,12742.4631,,,,,,,,,,
12/14/2015,0,0.1795,1390.8339,12535.6664,90495.0792,7868.9455,34.2928,8505.9897,,,,,,,,,,
12/15/2015,0,0.4203,76.8892,494.7935,19573.8117,15115.4473,5.26,5115.0339,,,,,,,,,,
12/16/2015,0,0.125,600.7589,3676.2842,16621.7375,883.9919,77.1771,6134.7648,,,,,,,,,,
12/17/2015,0,0.1411,728.7347,4442.4858,18463.8638,18.8233,46.0655,4789.3026,,,,,,,,,,
12/18/2015,0,0.1939,902.6033,5439.0047,29091.8698,136.671,49.385,4673.8598,,,,,,,,,,
12/19/2015,0,0.2067,1017.7901,5898.9885,26328.5146,36.2369,25.0956,5527.1837,,,,,,,,,,
12/20/2015,0,0.413,944.7916,5283.8555,21049.5881,448.0953,50.1603,7627.7898,,,,,,,,,,
12/21/2015,0,0.1548,179.3346,1151.9581,22569.2593,230.3906,22.4186,10882.6339,,,,,,,,,,
12/22/2015,0,0.055,122.1303,855.0341,18764.7426,211.6546,0,8902.1717,,,,,,,,,,
12/23/2015,0,0.3056,253.7827,1312.6922,21167.7306,365.7989,25.9403,10221.4095,,,,,,,,,,
12/24/2015,0,0.0533,2786.9664,7924.5403,19355.3208,334.7805,50.0913,8776.1233,,,,,,,,,,
12/25/2015,0,0.0431,4859.318,13507.413,35924.4031,102.1733,0,10010.3296,,,,,,,,,,
12/26/2015,0,0.8492,8172.8962,24533.1067,56446.9867,45.9847,9.9603,7987.5802,,,,,,,,,,
12/27/2015,0,0.5044,2614.0875,13542.6295,146438.5438,282.9128,6.503,9804.9626,,,,,,,,,,
12/28/2015,0,0.1339,10201.2616,36684.3567,207790.8921,4397.6828,21.9972,7695.78,,,,,,,,,,
12/29/2015,0,13.1042,12959.1255,21309.4978,87098.3411,107.6588,90.5486,3205.1434,,,,,,,,,,
12/30/2015,0,0.0642,3019.7536,10503.7336,74264.7637,251.9409,126.9075,7584.0908,,,,,,,,,,
12/31/2015,0,0.0216,2000.9791,9176.1667,75409.1011,300.3154,100.4433,5582.1609,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,
