Day,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2013-10-10,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-11,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-12,1,0,1,0,1,0,0,1,1,1,1,1
2013-10-13,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-14,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-15,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-16,1,1,1,0,1,1,0,1,1,1,1,1
2013-10-17,1,1,1,0,1,1,0,1,1,1,1,1
2013-10-18,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-19,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-20,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-21,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-22,1,1,1,1,1,0,0,1,1,1,1,1
2013-10-23,1,1,1,0,1,1,0,1,1,1,1,1
2013-10-24,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-25,1,0,1,0,1,0,0,1,1,1,1,1
2013-10-26,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-27,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-28,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-29,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-30,1,1,1,0,1,0,0,1,1,1,1,1
2013-10-31,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-01,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-02,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-03,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-04,1,0,1,0,1,0,0,1,1,1,1,1
2013-11-05,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-06,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-07,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-08,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-09,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-10,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-11,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-12,1,1,1,0,1,1,0,1,1,1,1,1
2013-11-13,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-14,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-15,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-16,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-17,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-18,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-19,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-20,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-21,1,1,1,0,1,1,0,1,1,1,1,1
2013-11-22,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-23,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-24,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-25,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-26,1,1,1,1,1,0,0,1,1,1,1,1
2013-11-27,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-28,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-29,1,1,1,0,1,0,0,1,1,1,1,1
2013-11-30,1,1,1,0,1,0,0,1,1,1,1,1
2013-12-01,1,1,1,0,1,0,0,1,1,1,1,1
2013-12-02,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-03,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-04,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-05,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-06,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-07,1,1,1,1,1,0,0,0,0,1,1,1
2013-12-08,1,1,1,1,1,0,0,0,0,1,1,1
2013-12-09,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-10,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-11,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-12,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-13,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-14,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-15,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-16,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-17,1,0,1,0,1,0,0,1,1,1,1,1
2013-12-18,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-19,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-20,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-21,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-22,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-23,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-24,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-25,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-26,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-27,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-28,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-29,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-30,1,1,1,1,1,0,0,1,1,1,1,1
2013-12-31,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-01,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-02,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-03,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-04,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-05,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-06,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-07,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-08,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-09,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-10,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-11,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-12,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-13,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-14,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-15,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-16,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-17,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-18,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-19,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-20,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-21,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-22,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-23,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-24,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-25,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-26,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-27,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-28,1,1,1,1,1,0,0,1,1,1,1,1
2014-01-29,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-30,1,1,1,0,1,0,0,1,1,1,1,1
2014-01-31,1,1,1,0,1,0,0,1,1,1,1,1
