Day,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2013-03-16,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-17,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-18,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-19,1,0,1,0,1,1,1,1,1,1,1,0,1
2013-03-20,0,0,1,0,1,1,1,1,1,1,1,0,1
2013-03-21,0,0,1,0,1,1,1,1,1,1,1,0,1
2013-03-22,0,0,1,0,1,1,1,1,1,1,1,0,1
2013-03-23,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-24,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-25,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-26,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-27,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-28,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-29,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-30,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-31,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-01,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-02,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-03,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-04,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-05,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-06,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-07,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-08,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-09,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-10,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-11,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-12,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-13,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-15,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-16,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-17,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-18,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-19,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-20,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-21,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-22,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-23,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-24,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-25,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-26,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-27,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-28,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-29,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-04-30,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-01,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-02,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-03,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-04,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-05,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-06,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-07,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-08,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-09,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-10,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-11,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-12,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-13,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-15,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-16,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-17,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-18,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-19,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-20,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-21,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-22,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-23,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-24,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-25,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-26,1,0,1,1,1,1,1,1,1,1,0,0,1
2013-05-27,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-28,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-29,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-30,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-05-31,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-01,1,0,1,1,1,1,1,1,1,1,1,0,0
2013-06-02,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-03,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-04,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-05,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-06,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-07,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-08,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-09,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-10,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-11,0,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-12,0,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-13,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-15,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-16,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-17,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-18,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-19,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-20,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-21,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-22,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-23,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-24,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-25,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-06-26,1,0,1,1,1,1,1,1,1,1,0,0,1
2013-06-27,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-28,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-06-29,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-06-30,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-07-01,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-02,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-03,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-04,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-05,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-06,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-07,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-08,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-09,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-10,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-11,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-12,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-13,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-07-15,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-16,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-17,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-18,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-19,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-20,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-21,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-22,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-23,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-24,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-25,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-26,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-27,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-28,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-29,1,1,1,1,1,1,1,1,1,1,1,0,1
2013-07-30,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-07-31,1,0,1,1,1,1,1,1,1,1,1,0,1
