Day,[CCT LSU SUPERMIC] Number of Resources: Active,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS DARTER] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[OSG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC MAVERICK2] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2014-09-03,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-04,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-05,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-06,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-07,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-08,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-09,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-10,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-11,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-12,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-13,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-14,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-15,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-16,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-17,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-18,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-19,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-20,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-21,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-22,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-23,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-24,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-25,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-26,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-27,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-28,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-29,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-30,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-01,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-02,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-03,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-04,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-05,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-06,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-07,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-08,1,1,0,1,0,0,1,1,1,1,1,1
2014-10-09,1,1,0,1,0,0,1,1,1,1,1,1
2014-10-10,1,1,0,1,0,0,1,1,1,1,1,1
2014-10-11,1,1,0,1,0,0,1,1,1,1,1,1
2014-10-12,0,1,0,1,0,0,1,1,1,1,1,1
2014-10-13,1,1,0,1,0,0,1,1,1,1,1,1
2014-10-14,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-15,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-16,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-17,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-18,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-19,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-20,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-21,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-22,1,1,0,1,1,0,1,1,1,1,1,1
2014-10-23,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-24,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-25,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-26,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-27,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-28,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-29,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-30,0,1,0,1,1,0,1,1,1,1,1,1
2014-10-31,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-01,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-02,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-03,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-04,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-05,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-06,1,1,0,1,0,0,1,1,1,1,1,1
2014-11-07,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-08,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-09,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-10,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-11,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-12,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-13,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-14,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-15,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-16,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-17,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-18,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-19,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-20,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-21,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-22,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-23,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-24,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-25,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-26,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-27,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-28,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-29,1,1,0,1,1,0,1,1,1,1,1,1
2014-11-30,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-01,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-02,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-03,1,1,0,1,0,0,1,1,1,1,1,1
2014-12-04,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-05,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-06,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-07,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-08,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-09,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-10,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-11,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-12,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-13,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-14,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-15,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-16,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-17,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-18,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-19,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-20,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-21,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-22,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-23,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-24,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-25,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-26,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-27,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-28,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-29,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-30,1,1,0,1,1,0,1,1,1,1,1,1
2014-12-31,1,1,0,1,1,0,1,1,1,1,1,1
2015-01-01,1,0,0,1,1,0,1,1,1,1,1,1
2015-01-02,1,0,0,1,1,0,1,1,1,1,1,1
2015-01-03,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-04,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-05,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-06,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-07,1,0,0,1,0,0,1,1,1,0,1,1
2015-01-08,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-09,1,0,0,1,1,0,1,1,1,0,1,1
2015-01-10,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-11,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-12,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-13,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-14,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-15,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-16,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-17,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-18,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-19,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-20,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-21,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-22,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-23,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-24,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-25,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-26,1,0,0,1,1,1,1,1,1,0,1,1
2015-01-27,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-28,1,0,0,1,0,1,1,1,1,1,1,1
2015-01-29,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-30,1,0,0,1,1,1,1,1,1,1,1,1
2015-01-31,1,0,0,1,1,1,1,1,1,0,1,1
