Day,[GATECH KEENELAND] Number of Resources: Active,[NCSA FORGE] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2012-08-27,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-28,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-30,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-08-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-03,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-06,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-07,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-09,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-10,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-12,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-13,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-14,1,1,1,1,1,1,1,1,1,0,0,1,0,0
2012-09-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-16,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-18,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-22,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-23,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-24,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-27,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-28,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-09-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-09-30,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-01,1,0,1,0,1,1,1,1,1,1,1,1,0,0
2012-10-02,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-03,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-04,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-05,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-06,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-07,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-08,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-09,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-10,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-11,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-12,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-13,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-14,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-15,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-16,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-17,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-18,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-19,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-20,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-21,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-10-22,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-23,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-24,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-25,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-26,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-27,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-28,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-29,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-30,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-10-31,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-01,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-02,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-03,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-04,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-05,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-06,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-07,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-08,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-09,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-10,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-11,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-12,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-13,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-14,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-15,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-16,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-17,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-18,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-19,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-20,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-21,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-22,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-23,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-24,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-25,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-26,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-27,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-11-28,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-29,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-11-30,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-01,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-02,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-03,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-04,1,0,1,1,1,0,1,1,1,1,1,1,1,0
2012-12-05,1,0,1,1,1,0,1,1,1,1,1,1,1,0
2012-12-06,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-07,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-08,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-09,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-10,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-11,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-12,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-13,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-14,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-15,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-16,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-17,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-18,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-19,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-20,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2012-12-21,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-22,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-23,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-24,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-25,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-26,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-27,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-28,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-29,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2012-12-30,1,0,1,1,1,0,0,1,1,1,1,1,1,0
2012-12-31,1,0,1,1,1,0,0,1,1,1,1,1,1,0
2013-01-01,1,0,1,1,1,0,0,1,1,1,1,1,0,0
2013-01-02,1,0,1,1,1,0,0,1,1,1,1,1,0,0
2013-01-03,1,0,1,1,1,0,0,1,1,1,1,1,0,0
2013-01-04,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2013-01-05,1,0,1,1,1,0,1,1,1,1,1,1,0,0
2013-01-06,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2013-01-07,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-08,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-09,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-10,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-11,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-12,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-13,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-14,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-15,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-16,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-17,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-18,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-19,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-20,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-21,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-22,1,0,1,1,1,1,1,1,1,1,1,1,0,0
2013-01-23,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-24,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-25,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-26,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-27,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-28,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-29,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-30,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2013-01-31,1,0,1,1,1,1,1,1,1,1,1,1,0,1
