Day,[IU BIGRED*] Number of Resources: Active,[LONI QUEENBEE] Number of Resources: Active,[NCAR FROST] Number of Resources: Active,[NCSA ABE] Number of Resources: Active,[NCSA EMBER*] Number of Resources: Active,[NCSA LINCOLN] Number of Resources: Active,[NICS ATHENA] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[ORNL NSTG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PSC POPLE] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC DASH] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active
2011-03-13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-03-14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-15,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2011-03-16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-19,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-20,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-22,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-03-23,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2011-03-24,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-25,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-26,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-27,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-30,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-31,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-04-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-04-02,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-04-03,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-04-04,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-04-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2011-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-04-17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-04-18,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-20,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-04-24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-25,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-26,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-27,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-04-29,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-04-30,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-01,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-02,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-03,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-04,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-05,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-05-06,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-07,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-08,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-09,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-12,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-13,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-15,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-18,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-20,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-05-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-25,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-26,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-27,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-05-28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-05-29,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-30,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-05-31,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-01,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-02,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-03,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-04,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-05,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2011-06-06,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-07,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-08,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-09,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-06-10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-12,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-13,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-15,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-18,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-06-19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-06-20,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-06-21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-24,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-25,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-06-26,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-27,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-06-29,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-06-30,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-01,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2011-07-02,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-03,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-04,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-05,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-06,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-07,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-08,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-09,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-07-10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2011-07-11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-07-12,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-13,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-15,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-07-16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-07-17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-07-18,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-20,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-25,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-26,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-27,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2011-07-28,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-29,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-30,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-07-31,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
