Day,[IU BIGRED*] Number of Resources: Active,[LONI QUEENBEE] Number of Resources: Active,[NCAR FROST] Number of Resources: Active,[NCSA ABE] Number of Resources: Active,[NCSA COBALT] Number of Resources: Active,[NCSA DTF] Number of Resources: Active,[NCSA LINCOLN] Number of Resources: Active,[NICS ATHENA] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[ORNL NSTG] Number of Resources: Active,[PSC BIGBEN] Number of Resources: Active,[PSC POPLE] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC DASH] Number of Resources: Active,[TACC LONESTAR] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active
2010-02-16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-18,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-19,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-20,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
2010-02-21,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-02-22,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-26,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-02-27,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-28,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-02,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-03,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-04,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-05,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-06,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-03-07,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-08,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-09,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-12,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-03-14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-03-15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-19,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-20,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-03-21,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-03-22,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-03-24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-03-26,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-27,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-28,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
2010-03-29,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-30,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-03-31,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-04-01,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-02,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-03,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-04,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
2010-04-05,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-06,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-08,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-09,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-10,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-11,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-12,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-13,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-14,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-17,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1
2010-04-18,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-19,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-20,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-21,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-22,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-23,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-04-24,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-25,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-26,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-04-27,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-04-28,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-04-29,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-04-30,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-01,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-02,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-03,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-04,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
2010-05-05,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
2010-05-06,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-05-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-08,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-09,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-10,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-11,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-12,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-13,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-14,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1
2010-05-15,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1
2010-05-16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-17,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-18,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-19,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-20,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-21,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-22,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-23,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-24,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-25,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-26,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-27,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-28,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-29,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-30,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-05-31,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-06-01,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-02,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
2010-06-03,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-04,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-05,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-06,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-07,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-08,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-09,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-10,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-11,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-12,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-13,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-14,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-17,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-18,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-19,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-20,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-21,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-22,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-23,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-24,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-25,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-26,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-27,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-28,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-29,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-06-30,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-01,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-02,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-03,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-04,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-05,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-06,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-08,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-09,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-10,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-11,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-12,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-13,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-14,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-15,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-17,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-18,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-19,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-20,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-21,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-22,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-23,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-24,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2010-07-25,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-26,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-27,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-28,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-29,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-30,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
2010-07-31,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
