Day,[CCT LSU SUPERMIC] Number of Resources: Active,[NICS DARTER] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[OSG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[SDSC COMET] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC MAVERICK2] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2015-05-10,1,1,1,1,1,0,1,0,0,1,1
2015-05-11,1,1,0,1,1,1,1,0,0,1,1
2015-05-12,1,1,0,1,1,1,1,0,0,1,1
2015-05-13,1,1,0,1,1,1,1,0,0,1,1
2015-05-14,1,1,0,1,1,1,1,0,0,1,1
2015-05-15,1,1,0,1,1,1,1,0,0,1,1
2015-05-16,1,1,0,1,1,1,1,0,0,1,1
2015-05-17,1,1,0,1,1,1,1,0,0,1,1
2015-05-18,1,1,0,1,1,1,1,0,0,1,1
2015-05-19,1,1,0,1,1,1,1,0,0,1,1
2015-05-20,1,1,0,1,1,1,1,0,0,1,1
2015-05-21,1,1,0,1,1,1,1,0,0,1,1
2015-05-22,1,1,0,1,1,1,1,0,0,1,1
2015-05-23,1,1,0,1,1,1,1,0,0,1,1
2015-05-24,1,1,0,1,1,1,1,0,0,1,1
2015-05-25,1,1,0,1,1,1,1,0,0,1,1
2015-05-26,1,1,0,1,1,1,1,0,0,1,1
2015-05-27,1,1,0,1,1,1,1,0,0,1,1
2015-05-28,1,1,0,1,1,1,1,0,0,1,1
2015-05-29,1,1,0,1,1,1,1,0,0,1,1
2015-05-30,1,1,0,1,1,1,1,0,0,1,1
2015-05-31,1,1,0,1,1,1,1,0,0,1,1
2015-06-01,1,1,0,1,1,1,1,0,0,1,1
2015-06-02,1,1,0,1,1,1,1,0,0,1,1
2015-06-03,1,1,0,1,1,1,1,0,0,1,1
2015-06-04,1,1,0,1,1,1,1,0,0,1,1
2015-06-05,1,1,0,1,1,1,1,0,0,1,1
2015-06-06,1,1,0,1,1,1,1,0,0,1,1
2015-06-07,1,1,0,1,1,1,1,0,0,1,1
2015-06-08,1,1,0,1,1,1,1,0,0,1,1
2015-06-09,1,1,0,1,1,1,1,0,0,1,1
2015-06-10,1,1,0,1,1,1,1,0,0,1,1
2015-06-11,1,1,0,1,1,1,1,0,0,1,1
2015-06-12,1,1,0,1,1,1,1,0,0,1,1
2015-06-13,1,1,0,1,1,1,1,0,0,1,1
2015-06-14,1,1,0,1,1,1,1,0,0,1,1
2015-06-15,1,1,0,1,1,1,1,0,0,1,1
2015-06-16,1,1,0,1,1,1,1,0,0,1,1
2015-06-17,1,1,0,1,1,1,1,0,0,1,1
2015-06-18,1,1,0,1,1,1,1,0,0,1,1
2015-06-19,1,1,0,1,1,1,1,0,0,1,1
2015-06-20,1,1,0,1,1,1,1,0,0,1,1
2015-06-21,1,1,0,1,1,1,1,0,0,1,1
2015-06-22,1,1,0,1,1,1,1,0,0,1,1
2015-06-23,1,1,0,1,1,1,1,0,0,1,1
2015-06-24,1,1,0,1,1,1,1,0,0,1,1
2015-06-25,1,1,0,1,1,1,1,0,0,1,1
2015-06-26,1,1,0,1,1,1,1,0,0,1,1
2015-06-27,1,1,0,1,1,1,1,0,0,1,1
2015-06-28,1,1,0,1,1,1,1,0,0,1,1
2015-06-29,1,1,0,1,1,1,1,0,0,1,1
2015-06-30,1,1,0,1,1,1,1,0,0,1,1
2015-07-01,1,1,0,1,1,1,1,0,0,1,1
2015-07-02,1,1,0,1,1,1,1,0,0,1,1
2015-07-03,1,1,0,1,1,1,1,0,0,1,1
2015-07-04,1,1,0,1,1,1,1,0,0,1,1
2015-07-05,1,1,0,1,1,1,1,0,0,1,1
2015-07-06,1,1,0,1,1,1,1,0,0,1,1
2015-07-07,1,1,0,1,1,1,1,0,0,1,1
2015-07-08,1,1,0,1,1,1,1,0,0,1,1
2015-07-09,1,1,0,1,1,1,1,0,0,1,1
2015-07-10,1,1,0,1,1,1,1,0,0,1,1
2015-07-11,1,1,0,1,1,1,1,0,0,1,1
2015-07-12,1,1,0,1,1,1,1,0,0,1,1
2015-07-13,1,1,0,1,1,1,1,0,0,1,1
2015-07-14,1,1,0,1,1,1,1,0,1,1,1
2015-07-15,1,1,0,1,1,1,1,0,0,1,1
2015-07-16,1,1,0,1,1,1,1,0,0,1,1
2015-07-17,1,1,0,1,1,1,1,0,0,1,1
2015-07-18,1,1,0,1,1,1,1,0,0,1,1
2015-07-19,1,1,0,1,1,1,1,0,0,1,1
2015-07-20,1,1,0,1,1,1,1,0,0,1,1
2015-07-21,1,1,0,1,1,1,1,0,0,1,1
2015-07-22,1,1,0,1,1,1,1,0,0,1,1
2015-07-23,1,1,0,1,1,1,1,0,0,1,1
2015-07-24,1,1,0,1,1,1,1,0,0,1,1
2015-07-25,1,1,0,1,1,1,1,0,1,1,1
2015-07-26,1,1,0,1,1,1,1,0,0,1,1
2015-07-27,1,1,0,1,1,1,1,0,0,1,1
2015-07-28,1,1,0,1,1,1,1,0,0,1,1
2015-07-29,1,1,0,1,1,1,1,0,0,1,1
2015-07-30,1,1,0,1,1,1,1,0,1,1,1
2015-07-31,1,1,0,1,1,1,1,0,0,1,1
