title
"Number of Resources: Active: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[IU BIGRED*] Number of Resources: Active","[LONI QUEENBEE] Number of Resources: Active","[NCAR FROST] Number of Resources: Active","[NCSA ABE] Number of Resources: Active","[NCSA COBALT] Number of Resources: Active","[NCSA EMBER*] Number of Resources: Active","[NCSA LINCOLN] Number of Resources: Active","[NICS ATHENA] Number of Resources: Active","[NICS KRAKEN] Number of Resources: Active","[NICS NAUTILUS] Number of Resources: Active","[ORNL NSTG] Number of Resources: Active","[PSC BLACKLIGHT] Number of Resources: Active","[PSC POPLE] Number of Resources: Active","[PURDUE CONDOR] Number of Resources: Active","[PURDUE STEELE] Number of Resources: Active","[SDSC DASH] Number of Resources: Active","[SDSC TRESTLES] Number of Resources: Active","[TACC LONESTAR] Number of Resources: Active","[TACC LONGHORN] Number of Resources: Active","[TACC RANGER] Number of Resources: Active","[TACC SPUR] Number of Resources: Active"
2010-08-13,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-14,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-15,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-16,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-17,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-18,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-19,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-20,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-21,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-22,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
2010-08-23,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-24,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-25,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-26,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-27,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
2010-08-28,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-29,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
2010-08-30,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-31,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-01,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
2010-09-02,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
2010-09-03,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-04,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0
2010-09-05,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
2010-09-06,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
2010-09-07,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-08,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-09,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-10,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-11,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1
2010-09-12,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1
2010-09-13,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-14,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-15,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-16,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-17,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-18,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
2010-09-19,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-20,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-21,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-22,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-23,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-24,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-25,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0
2010-09-26,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1
2010-09-27,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-09-28,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0
2010-09-29,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-09-30,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-10-01,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-02,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-10-03,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-10-04,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-05,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-06,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-09,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-15,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
2010-10-18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
2010-10-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-24,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-25,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-10-26,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
2010-10-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-29,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-30,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-10-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
2010-11-01,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-11-02,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-11-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-11-04,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2010-11-05,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-11-06,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-07,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0
2010-11-08,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-09,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-10,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
2010-11-11,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-12,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-13,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-14,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-15,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-16,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1
2010-11-17,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
2010-11-18,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-19,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-20,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-21,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-22,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-23,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-24,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-25,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
2010-11-26,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
2010-11-27,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
2010-11-28,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
2010-11-29,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-11-30,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-12-01,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2010-12-02,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-03,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-04,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-05,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-06,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-07,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-08,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-09,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-11,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-12,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-13,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-14,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-15,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-16,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-17,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-18,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-19,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-20,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-21,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-22,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-23,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-24,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-25,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-26,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-27,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2010-12-28,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-29,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-30,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2010-12-31,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
2011-01-01,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2011-01-02,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2011-01-03,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2011-01-04,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2011-01-05,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-06,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-07,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-08,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-09,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-11,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-12,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-13,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-14,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-15,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-16,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-17,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-18,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2011-01-19,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-20,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2011-01-21,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-22,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-23,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-24,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-25,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-26,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-27,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-28,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-29,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
2011-01-30,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-01-31,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
---------
