title
"Number of Jobs Started: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[NCSA LINCOLN] Number of Jobs Started","[PSC POPLE] Number of Jobs Started","[TACC SPUR] Number of Jobs Started","[SDSC DASH] Number of Jobs Started","[NCSA EMBER*] Number of Jobs Started","[IU BIGRED*] Number of Jobs Started","[NCAR FROST] Number of Jobs Started"
2011-10-13,11869,1940,1315,1739,837,158,546,104,38,55,31,40,0,3,0,0,0,0
2011-10-14,13277,1872,690,1434,752,450,1120,13,57,12,7,8,0,11,0,0,0,0
2011-10-15,9616,6157,651,1274,535,246,237,12,28,4,9,13,0,2,0,0,0,0
2011-10-16,11498,12045,1839,883,173,157,156,1,66,3,2,10,0,1,0,0,0,0
2011-10-17,34001,9523,1905,1361,374,7,214,10,98,10,12,7,0,8,0,0,0,0
2011-10-18,37417,2180,1167,707,74,108,355,106,42,30,16,0,0,3,0,0,0,0
2011-10-19,36982,512,1662,923,406,303,503,16,38,14,0,0,1,7,0,0,0,0
2011-10-20,3399,2338,1056,955,435,190,535,11,66,19,0,0,0,10,0,0,0,0
2011-10-21,3839,13480,1534,587,569,426,415,39,53,24,3,0,0,1,0,0,0,0
2011-10-22,6196,8600,1196,683,257,123,213,18,51,11,0,0,0,0,0,0,0,0
2011-10-23,9054,120,1188,654,287,176,76,22,69,20,1,0,0,2,0,0,0,0
2011-10-24,12563,2800,1965,1132,791,441,138,151,34,11,10,0,2,10,1,0,0,0
2011-10-25,6434,5920,1485,890,892,358,220,100,84,25,16,0,1,3,0,0,0,0
2011-10-26,12685,3942,1185,1213,476,29,395,112,40,6,23,0,0,5,3,0,0,0
2011-10-27,9640,7210,1112,1213,766,184,380,19,49,3,43,0,0,1,3,0,0,0
2011-10-28,10428,1120,1356,1381,453,499,291,33,58,5,14,0,0,5,9,0,0,0
2011-10-29,9315,1100,1562,831,364,298,137,3,44,1,7,0,0,5,3,0,0,0
2011-10-30,6593,1789,2069,2560,471,419,178,22,113,2,11,0,0,0,1,0,0,0
2011-10-31,8168,1920,1666,3243,698,559,371,0,134,6,26,0,0,6,5,0,0,0
2011-11-01,4264,1174,2402,2353,696,62,296,179,68,5,13,0,0,9,1,0,0,0
2011-11-02,7733,1260,1941,1406,724,174,163,153,171,3,0,0,0,7,0,0,0,0
2011-11-03,6397,2562,1967,1226,686,441,432,28,42,3,0,0,0,20,0,0,0,0
2011-11-04,4693,1940,2090,921,670,458,369,158,115,12,11,0,0,3,0,0,0,0
2011-11-05,6872,200,2265,872,149,253,140,15,60,6,2,0,0,4,1,0,0,0
2011-11-06,7682,3340,999,1221,90,336,135,19,37,9,5,0,0,4,0,0,0,0
2011-11-07,8704,3660,375,532,491,304,426,13,94,24,0,0,0,6,3,0,0,0
2011-11-08,4299,3486,922,1436,960,165,399,48,57,23,11,0,0,4,8,0,0,0
2011-11-09,4334,1168,1988,1309,517,522,201,35,58,32,6,0,0,9,7,0,0,0
2011-11-10,3444,302,870,1288,591,158,341,35,47,42,5,0,0,6,0,0,0,0
2011-11-11,5885,194,2599,1497,844,381,423,35,51,49,7,0,0,3,0,0,0,0
2011-11-12,5371,2006,1636,1073,265,379,276,27,28,11,7,0,0,6,0,0,0,0
2011-11-13,5999,3385,2232,1269,356,236,280,30,173,9,4,0,0,1,0,0,0,0
2011-11-14,4857,3639,1903,1586,469,203,446,34,32,6,17,0,0,1,0,0,0,0
2011-11-15,6272,6292,1863,1318,396,481,613,64,13,13,35,0,0,5,0,0,0,0
2011-11-16,5910,5677,1898,1248,634,395,606,37,28,6,14,0,0,3,0,0,0,0
2011-11-17,3946,8026,1194,1137,1439,389,319,45,72,11,3,0,0,5,5,0,0,0
2011-11-18,2326,11608,878,649,916,12,143,45,66,3,11,0,0,2,10,0,0,0
2011-11-19,3654,4233,1156,1047,639,156,0,125,39,1,15,0,0,2,0,0,0,0
2011-11-20,2527,5554,1057,871,647,256,0,65,35,1,29,0,0,2,0,0,0,0
2011-11-21,3677,18342,1040,925,1237,297,244,164,48,20,24,0,0,3,0,0,0,0
2011-11-22,6191,46444,1024,1057,1051,435,140,36,80,72,4,0,0,2,0,0,0,0
2011-11-23,3885,53443,1061,1110,1117,356,227,62,47,22,6,0,0,0,0,0,0,0
2011-11-24,3823,54648,359,953,820,186,129,59,37,1,6,0,0,0,0,0,0,0
2011-11-25,10369,42964,591,670,1209,5,102,20,59,2,9,0,0,0,0,0,0,0
2011-11-26,8427,43092,831,924,1034,120,42,122,72,1,4,0,0,2,0,0,0,0
2011-11-27,2389,35929,1185,443,1800,274,204,118,12,2,14,0,0,19,0,0,0,0
2011-11-28,3110,18827,1313,549,562,286,348,282,61,8,24,0,0,6,0,0,0,0
2011-11-29,3489,662,1161,733,592,257,162,247,84,26,25,0,0,1,0,0,0,0
2011-11-30,9611,1029,1249,1169,550,0,275,141,69,19,16,0,0,3,0,0,0,0
2011-12-01,8516,29,1186,849,563,149,659,323,52,47,16,0,0,2,1,0,0,0
2011-12-02,5459,48,1405,899,359,590,562,146,180,6,15,0,0,2,29,0,0,0
2011-12-03,4352,24,1252,889,147,492,163,110,37,7,41,0,0,0,2,0,0,0
2011-12-04,2395,24,1307,493,67,1,249,207,18,5,36,0,0,0,0,0,0,0
2011-12-05,6691,1738,1597,1005,400,64,468,242,57,20,25,0,0,0,0,0,0,0
2011-12-06,2684,4569,2643,834,419,490,340,111,76,62,18,0,0,2,4,0,0,0
2011-12-07,3869,3187,2461,1249,515,370,119,62,65,48,16,0,0,1,0,0,0,0
2011-12-08,4598,30,1026,788,379,322,442,24,0,8,8,0,0,1,4,0,0,0
2011-12-09,4327,24,1567,1115,379,196,379,47,67,2,7,0,0,1,0,0,0,0
2011-12-10,1965,24,948,1218,521,629,356,28,29,0,1,0,0,0,4,0,0,0
2011-12-11,3975,24,1584,1025,167,415,247,53,29,4,3,0,0,2,9,0,0,0
2011-12-12,9974,24,1639,782,419,433,313,33,60,19,11,0,0,3,9,0,0,0
2011-12-13,8619,24,1173,824,542,156,262,76,36,66,1,0,0,0,5,0,0,0
2011-12-14,7322,24,1895,893,880,525,315,146,84,66,44,0,0,5,4,0,0,0
2011-12-15,6586,8,1350,760,498,619,110,201,30,48,11,0,0,4,1,0,0,0
2011-12-16,5189,157,1566,824,474,788,170,195,32,19,1,0,0,3,0,0,0,0
2011-12-17,6234,24,1277,582,435,326,93,980,8,3,0,0,0,0,0,0,0,0
2011-12-18,6300,27,1153,664,192,331,84,683,10,121,0,0,0,3,0,0,0,0
2011-12-19,3672,57,2330,855,654,575,162,243,48,363,11,0,0,10,0,0,0,0
2011-12-20,9704,68,1485,1151,409,464,146,102,109,114,5,0,0,19,0,0,0,0
2011-12-21,2686,40,1720,972,443,373,97,21,7,124,16,0,0,41,0,0,0,0
2011-12-22,1667,43,394,976,103,109,76,74,21,177,7,0,0,44,0,0,0,0
2011-12-23,2286,20,551,743,323,278,69,112,86,18,7,0,0,61,0,0,0,0
2011-12-24,2484,24,517,606,150,91,65,291,58,6,6,0,0,41,0,0,0,0
2011-12-25,1777,24,847,527,161,225,51,312,33,0,0,0,0,0,0,0,0,0
2011-12-26,1690,24,617,780,1008,375,117,188,52,0,1,0,0,0,0,0,0,0
2011-12-27,1580,24,711,1150,216,621,131,289,22,0,2,0,0,0,0,0,0,0
2011-12-28,4399,4,1021,1462,222,350,120,355,43,0,7,0,0,0,0,0,0,0
2011-12-29,1678,5,1204,766,1581,558,133,245,21,4,10,0,0,43,0,0,0,0
2011-12-30,460,2321,631,982,904,571,48,146,24,16,35,0,0,18,0,0,0,0
2011-12-31,718,24,2749,717,171,373,143,294,20,2,3,0,0,0,0,0,0,0
2012-01-01,1457,24,1040,687,194,438,66,50,4,1,0,0,0,0,0,0,0,0
2012-01-02,2269,675,4261,649,704,554,49,107,12,1,35,0,0,0,0,0,0,0
2012-01-03,885,248,4611,0,703,429,85,172,56,116,7,0,0,0,0,0,0,0
2012-01-04,844,40,3286,0,691,14,155,82,47,38,40,0,0,0,0,0,0,0
2012-01-05,821,224,869,750,943,211,167,160,38,26,75,0,0,0,3,0,0,0
2012-01-06,1254,49,5429,885,696,621,185,62,47,39,97,0,0,2,0,0,0,0
2012-01-07,539,4671,4407,771,253,281,169,246,11,146,4,0,0,0,3,0,0,0
2012-01-08,464,890,3988,659,297,1137,115,317,36,202,0,0,0,0,9,0,0,0
2012-01-09,485,380,9690,550,1105,419,210,22,68,5,35,0,0,1,4,0,0,0
2012-01-10,654,7889,4218,427,1598,10,120,274,75,6,31,0,0,0,0,0,0,0
2012-01-11,3348,41,4525,991,1636,149,148,64,21,14,6,0,0,3,3,0,0,0
2012-01-12,7472,2723,4703,977,857,376,162,164,39,26,8,0,0,3,0,0,0,0
2012-01-13,5635,1023,5009,1013,1434,550,163,210,42,83,2,0,0,6,0,0,0,0
2012-01-14,4953,393,3559,619,810,274,95,25,20,97,1,0,0,0,0,0,0,0
2012-01-15,2531,781,4310,792,233,111,132,68,31,49,0,0,0,0,0,0,0,0
2012-01-16,2628,626,4480,1302,900,660,156,251,19,13,4,0,0,1,0,0,0,0
2012-01-17,1528,500,3886,922,1344,534,168,60,27,34,2,0,0,3,0,0,0,0
2012-01-18,1456,589,3150,999,2850,626,183,70,156,21,2,0,0,3,0,0,0,0
2012-01-19,1399,34,1121,1402,1011,477,159,65,288,35,1,0,0,4,0,0,0,0
2012-01-20,2080,3317,1759,996,1300,513,209,34,1225,102,0,0,0,0,0,0,0,0
2012-01-21,1081,28,2357,791,593,267,265,18,808,25,0,0,0,0,0,0,0,0
2012-01-22,229,9,1599,573,413,341,277,11,38,15,7,0,0,0,0,0,0,0
2012-01-23,5076,1028,1627,1210,722,618,224,24,111,27,14,0,0,1,0,0,0,0
2012-01-24,2792,25,3364,1468,595,124,169,35,47,317,1,0,0,24,0,0,0,0
2012-01-25,2613,25,2550,1352,926,467,171,62,38,29,1,0,0,9,2,0,0,0
2012-01-26,1878,4,87,1113,902,192,193,86,46,17,1,0,0,3,2,0,0,0
2012-01-27,6783,4,791,1128,1131,751,217,227,53,14,0,0,0,23,0,0,0,0
2012-01-28,6520,24,496,854,295,652,134,62,28,4,0,0,0,32,0,0,0,0
2012-01-29,3380,24,654,939,485,278,84,55,55,5,5,0,0,29,22,0,0,0
2012-01-30,5018,424,1508,1423,676,394,125,54,53,44,2,0,0,38,8,0,0,0
2012-01-31,3214,28,1480,1212,945,111,0,111,58,40,0,0,0,3,3,0,0,0
---------
