title
"Number of Jobs Started: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[NICS DARTER] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[TACC MAVERICK2] Number of Jobs Started","[GATECH KIDS] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started"
2014-04-07,2814,8932,2688,1055,0,348,227,264,0,26,0,0
2014-04-08,5032,5933,1859,1532,0,508,466,222,0,8,0,0
2014-04-09,4024,4911,1045,1951,0,1033,188,298,0,31,0,0
2014-04-10,3694,8416,620,2179,0,384,186,397,0,10,0,0
2014-04-11,4463,6774,829,2515,0,1393,83,389,0,8,0,0
2014-04-12,3676,7527,905,2536,0,1216,0,282,0,12,0,0
2014-04-13,4152,8110,499,1873,0,639,79,437,0,18,0,0
2014-04-14,4609,9497,1040,1268,0,612,146,244,0,20,0,0
2014-04-15,61,10707,633,877,1,50,36,463,0,32,0,0
2014-04-16,3393,9188,525,832,0,208,200,691,0,60,0,1
2014-04-17,3108,7094,678,540,25,503,242,332,0,14,0,0
2014-04-18,2998,11392,495,489,6,363,49,317,0,2,0,1
2014-04-19,3369,7710,313,507,0,674,69,181,0,8,0,0
2014-04-20,5502,10318,299,535,0,442,126,39,0,4,0,0
2014-04-21,3339,6609,827,929,64,734,130,351,0,140,0,7
2014-04-22,3137,8577,776,1111,1312,194,59,301,0,45,0,0
2014-04-23,3039,7575,857,784,1508,807,142,380,0,54,0,11
2014-04-24,3552,10761,1105,921,1583,577,98,338,0,24,0,0
2014-04-25,3873,8687,596,1583,1572,583,109,285,0,43,0,0
2014-04-26,2480,8890,288,411,1806,681,206,113,0,15,0,0
2014-04-27,3891,8091,339,668,1897,554,144,151,0,404,0,0
2014-04-28,2507,6762,1423,945,909,300,147,402,0,45,0,0
2014-04-29,3948,8876,898,2045,1624,344,183,217,0,149,0,0
2014-04-30,3873,1677,1545,1260,1488,288,133,167,0,54,0,0
2014-05-01,3353,0,3224,1967,2185,286,74,183,0,35,0,0
2014-05-02,3669,0,3749,898,656,288,97,248,0,7,0,0
2014-05-03,4905,0,742,530,0,153,90,83,0,12,0,0
2014-05-04,6717,0,277,107,0,188,60,69,0,2,0,0
2014-05-05,5504,0,1205,649,939,260,101,273,0,30,0,0
2014-05-06,6400,0,792,781,1025,266,122,80,0,9,0,0
2014-05-07,7291,0,2684,876,1704,218,165,153,0,26,0,0
2014-05-08,7083,0,4251,811,2141,247,78,221,0,6,0,0
2014-05-09,3122,0,852,767,429,154,93,112,0,9,0,0
2014-05-10,4779,0,512,457,28,253,235,148,0,14,0,0
2014-05-11,5637,0,734,438,42,136,211,205,0,35,0,0
2014-05-12,8523,0,1363,1075,1328,179,94,65,0,26,0,0
2014-05-13,3567,0,1045,3711,2093,292,75,0,0,0,0,0
2014-05-14,4423,0,1222,2022,2017,381,84,77,0,19,0,0
2014-05-15,6422,0,1570,1640,2020,255,110,361,0,0,0,0
2014-05-16,8759,0,559,1308,516,334,147,427,0,15,0,0
2014-05-17,5955,0,250,834,24,193,72,136,0,24,0,0
2014-05-18,7904,0,521,372,1451,505,69,82,0,23,0,0
2014-05-19,7558,0,743,592,2035,166,76,286,0,116,0,0
2014-05-20,2530,0,1530,806,1944,364,153,146,0,5,0,0
2014-05-21,3686,0,911,861,2025,380,131,223,0,32,0,0
2014-05-22,4679,0,2081,685,2227,344,102,176,0,8,0,0
2014-05-23,3379,0,2187,494,1116,446,32,296,0,24,0,0
2014-05-24,2362,0,494,683,53,120,8,145,0,13,0,0
2014-05-25,4666,0,301,1146,1451,222,0,152,0,4,0,0
2014-05-26,6651,0,1132,552,2108,193,0,159,0,0,0,0
2014-05-27,3718,0,1350,593,2196,136,135,232,0,5,0,0
2014-05-28,4276,0,681,626,2124,239,190,154,0,56,0,0
2014-05-29,2874,0,1338,774,2136,251,56,228,0,37,0,0
2014-05-30,3718,0,1265,752,719,305,194,204,0,33,0,0
2014-05-31,5233,0,292,520,125,147,150,267,0,49,0,0
2014-06-01,4681,0,252,662,1487,302,411,309,0,4,0,0
2014-06-02,3670,0,744,1284,1882,564,197,427,0,1,0,0
2014-06-03,4004,0,922,2054,2214,133,216,56,0,1,0,0
2014-06-04,3116,0,3675,1584,1957,277,115,340,0,5,0,0
2014-06-05,4835,0,946,926,2107,431,715,189,0,9,0,0
2014-06-06,3914,0,2336,699,911,404,1130,459,0,17,0,0
2014-06-07,5658,0,1205,681,71,234,812,392,0,3,0,0
2014-06-08,5564,0,362,884,38,138,864,454,0,3,0,0
2014-06-09,6997,0,3354,935,185,241,149,587,0,0,0,0
2014-06-10,4964,0,6483,1033,96,296,61,275,6,7,0,0
2014-06-11,4628,0,2815,1100,94,445,475,288,58,37,0,0
2014-06-12,4158,0,1723,1169,47,393,1063,506,41,12,0,0
2014-06-13,4772,0,2633,1091,62,343,871,486,48,46,0,0
2014-06-14,4901,0,2070,538,40,232,2380,207,53,8,0,0
2014-06-15,5121,0,2021,1438,338,285,940,230,44,6,0,0
2014-06-16,3583,0,3106,1206,63,247,250,163,49,42,0,0
2014-06-17,1097,0,4356,1079,383,418,892,47,135,37,0,0
2014-06-18,3288,0,8527,815,395,393,137,262,71,14,0,0
2014-06-19,2178,0,4635,711,371,369,1016,507,113,37,0,0
2014-06-20,2399,0,1185,1159,402,493,1761,500,56,24,0,0
2014-06-21,2557,0,1605,891,67,176,1502,342,44,18,0,0
2014-06-22,3142,0,272,1119,28,145,249,458,33,5,0,0
2014-06-23,3260,0,706,1351,415,317,80,483,63,22,0,0
2014-06-24,1833,0,1343,2334,467,638,415,698,81,20,0,0
2014-06-25,3200,0,1606,1133,304,427,343,359,52,16,0,0
2014-06-26,2697,0,533,1001,203,359,241,198,49,11,0,3
2014-06-27,2191,0,1736,829,151,324,987,85,38,26,0,2
2014-06-28,2589,0,1556,330,75,349,117,125,22,12,0,2
2014-06-29,1775,0,1737,517,0,306,1306,187,15,13,0,3
2014-06-30,3467,0,655,594,363,315,791,906,122,8,0,6
2014-07-01,2986,0,700,920,64,290,169,138,142,1,0,6
2014-07-02,4698,0,599,704,13,306,486,108,135,5,0,3
2014-07-03,5124,0,718,709,97,404,318,318,105,1,0,0
2014-07-04,6140,0,491,1144,28,580,76,306,27,0,0,0
2014-07-05,5427,0,228,748,27,354,60,210,5,0,0,0
2014-07-06,4120,0,649,1597,36,133,75,98,21,12,0,5
2014-07-07,4286,0,1842,1533,166,352,223,348,48,7,0,3
2014-07-08,3374,0,1039,1967,169,124,291,473,136,38,0,17
2014-07-09,3656,0,878,2255,131,239,129,523,51,25,0,17
2014-07-10,4423,0,1404,2000,201,316,185,329,166,3,0,5
2014-07-11,6497,0,1815,1048,111,199,68,372,80,65,0,9
2014-07-12,10358,0,610,572,59,191,123,366,32,4,0,0
2014-07-13,6901,0,806,395,64,154,99,242,39,2,0,0
2014-07-14,5939,0,1176,1016,139,129,99,294,92,2,0,10
2014-07-15,1969,0,1078,922,92,223,96,315,11,10,0,1
2014-07-16,2798,0,1088,737,169,199,207,247,151,1,0,15
2014-07-17,4014,0,1156,994,203,142,15,235,39,5,0,21
2014-07-18,6970,0,941,1322,224,159,28,290,90,21,0,0
2014-07-19,7340,0,825,384,119,79,12,163,60,14,0,1
2014-07-20,6771,0,706,868,163,90,7,312,37,1,0,1
2014-07-21,4639,0,972,813,271,151,18,174,57,1,0,1
2014-07-22,4360,0,993,658,243,169,16,371,110,18,0,15
2014-07-23,3763,0,987,687,88,185,23,8,595,19,0,14
2014-07-24,4417,0,1067,856,990,252,26,264,1123,10,0,2
2014-07-25,6253,0,881,1415,1580,218,14,373,95,619,0,4
2014-07-26,9400,0,1093,2142,1287,115,62,616,17,201,0,44
2014-07-27,11110,0,654,976,928,132,31,232,24,202,0,12
2014-07-28,7935,0,667,1038,1405,167,34,62,795,401,0,10
2014-07-29,3318,0,854,2428,385,169,40,195,897,60,0,3
2014-07-30,5035,0,1044,929,194,144,194,160,2113,35,0,7
2014-07-31,5516,0,1040,1781,1691,140,75,155,1128,53,0,17
---------
