Day,[PURDUE STEELE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[SDSC DASH] Number of Jobs Started
2011-03-31,12862,28,3610,144,773,1338,513,291,416,192,127,70,281,12,46,15,0,13,4,34
2011-04-01,15766,618,2884,91,587,3063,292,275,188,543,41,73,99,18,44,6,0,26,8,7
2011-04-02,26125,24,3111,20,606,125,343,136,0,150,22,69,136,2,76,208,0,24,15,12
2011-04-03,46526,24,1728,9,785,86,278,195,149,145,34,69,151,15,58,27,0,24,4,2
2011-04-04,18036,1540,2072,20,822,501,774,208,322,166,31,71,153,30,72,3,0,25,14,7
2011-04-05,22037,4961,2357,36,922,362,347,424,252,164,30,305,123,35,83,77,0,20,8,13
2011-04-06,10079,10028,450,98,961,309,571,211,163,186,68,50,227,50,80,31,8,51,4,6
2011-04-07,6871,6777,237,109,851,210,511,364,448,152,56,29,230,44,53,175,45,26,3,0
2011-04-08,11311,6777,675,99,887,147,299,332,302,204,67,27,153,28,23,46,52,63,3,3
2011-04-09,3609,28,864,106,1214,545,201,145,12,161,10,318,46,20,57,60,49,60,0,1
2011-04-10,3448,48,1982,96,566,587,388,143,0,177,27,72,105,10,71,29,52,32,0,9
2011-04-11,5136,6784,1359,129,1086,339,334,208,518,234,73,4,83,29,91,94,50,56,0,3
2011-04-12,21078,6398,1505,198,1105,346,403,286,879,113,213,18,85,12,141,46,46,56,1,4
2011-04-13,18400,200,1744,221,998,875,495,199,952,170,163,36,144,43,331,54,47,71,1,14
2011-04-14,6726,332,1265,191,822,693,745,278,561,1598,131,143,68,13,34,36,44,64,7,5
2011-04-15,4693,257,818,203,807,374,16,542,666,118,163,801,88,17,178,131,40,43,1,5
2011-04-16,3184,20,6022,79,439,84,0,410,280,243,162,643,67,7,134,41,52,14,0,1
2011-04-17,3151,0,2456,64,502,151,0,297,84,221,95,710,94,4,110,42,51,20,0,4
2011-04-18,3989,40,1646,127,721,350,0,41,263,220,137,198,147,30,95,23,31,74,9,6
2011-04-19,3852,41,2461,107,801,646,0,510,134,142,237,235,145,21,67,63,28,89,13,4
2011-04-20,3674,120,138,188,838,1637,0,600,128,179,275,126,143,35,45,14,55,90,17,1
2011-04-21,8918,363,156,394,571,986,0,457,407,184,439,53,209,44,38,41,49,87,2,2
2011-04-22,7253,162,275,121,531,1626,0,308,300,223,154,69,50,13,50,24,52,36,3,2
2011-04-23,9586,0,509,250,94,733,0,166,2,176,70,50,39,23,41,29,51,1,0,2
2011-04-24,13445,0,920,222,259,599,0,227,113,204,82,46,25,20,56,32,48,34,1,0
2011-04-25,30838,0,1228,367,1015,404,0,244,419,223,117,65,140,22,84,20,48,89,1,19
2011-04-26,31905,48,1181,248,1170,1190,0,196,489,239,179,248,235,15,45,30,45,151,4,56
2011-04-27,21452,59,209,640,1080,3601,0,220,425,157,183,1170,237,29,44,38,44,148,3,15
2011-04-28,23679,63,50,751,1090,2367,0,625,460,562,177,126,103,8,9,20,46,100,3,0
2011-04-29,12529,2888,713,1040,932,412,0,276,194,728,83,133,104,20,47,17,49,116,3,0
2011-04-30,3911,1454,0,764,1229,62,0,162,562,179,50,104,37,10,32,13,906,121,3,1
2011-05-01,673,535,788,876,1254,1463,0,415,494,216,60,35,70,1,29,23,51,95,1,0
2011-05-02,2494,8356,1151,712,757,2060,0,247,386,159,90,395,122,15,38,276,42,87,4,0
2011-05-03,1988,6180,946,1025,849,2407,0,282,162,241,124,469,140,27,23,186,39,72,3,0
2011-05-04,7549,5845,1557,610,1027,2248,0,327,183,227,89,942,44,42,14,514,11,77,16,9
2011-05-05,15672,5774,620,464,1093,2319,0,311,302,257,82,130,115,46,14,57,0,80,6,12
2011-05-06,35956,45,465,655,744,3932,0,643,337,277,126,214,90,125,8,76,13,69,4,29
2011-05-07,17153,24,565,1192,1073,2535,0,877,407,188,41,78,49,8,7,52,40,109,2,1
2011-05-08,23444,24,1048,612,1278,2050,0,1383,496,199,22,211,81,20,8,20,46,84,1,0
2011-05-09,56643,24,1874,300,1036,2104,0,686,975,271,83,461,66,11,24,241,46,95,24,6
2011-05-10,14678,24,1024,631,960,2436,0,1173,624,280,422,542,73,29,94,569,51,52,15,11
2011-05-11,33319,24,1929,439,869,2885,0,347,1079,350,120,590,116,32,108,453,48,92,10,1
2011-05-12,45282,281,448,441,1296,2362,0,344,941,319,395,135,130,62,11,37,49,92,5,5
2011-05-13,22265,3225,106,760,868,406,0,369,874,230,273,133,196,23,30,279,50,101,5,0
2011-05-14,23371,6757,854,970,820,177,0,630,276,468,574,89,123,11,23,45,47,72,1,0
2011-05-15,22285,6745,2187,319,855,2176,0,583,282,141,310,150,137,13,35,76,48,82,1,0
2011-05-16,19175,534,1925,320,1095,2247,0,306,692,202,116,105,88,49,8,30,49,85,9,16
2011-05-17,11792,2765,1562,424,645,2490,0,646,998,149,88,166,98,81,2,265,3983,92,21,13
2011-05-18,9737,16,1727,405,1102,2277,0,332,548,126,72,103,56,25,13,357,3008,106,20,4
2011-05-19,2764,1030,1404,305,777,2531,0,309,774,374,79,82,25,63,21,18,35,89,10,8
2011-05-20,12288,1377,1171,469,711,316,0,592,324,242,112,70,151,233,43,53,45,100,15,7
2011-05-21,13484,216,1156,358,809,133,0,700,222,369,77,58,58,12,40,36,50,86,15,4
2011-05-22,11727,24,987,316,760,2175,0,336,412,193,77,67,50,12,20,62,50,60,0,0
2011-05-23,7166,24,1213,36,987,2355,0,565,517,404,85,59,33,19,42,91,48,77,22,0
2011-05-24,4482,57,1122,1310,1388,2197,0,361,133,435,0,51,6,17,27,146,49,97,29,12
2011-05-25,4640,40,1227,4308,1200,2408,0,416,229,240,46,47,22,32,25,49,44,101,22,16
2011-05-26,6739,37,380,3289,1291,2219,0,304,201,264,114,65,98,62,29,17,53,86,5,12
2011-05-27,7930,27,1248,5231,882,2590,0,396,452,486,173,65,44,49,21,28,48,86,1,18
2011-05-28,10817,24,1805,4238,726,355,0,267,316,227,63,110,51,52,14,2,46,54,0,6
2011-05-29,5089,39,3646,2656,776,2227,0,285,332,229,59,88,67,61,4,2,42,25,3,0
2011-05-30,13615,234,4399,3892,745,2319,0,888,562,66,74,87,116,92,0,28,50,37,2,0
2011-05-31,14068,332,1831,1788,698,2530,0,404,466,444,92,101,70,103,18,65,49,89,6,7
2011-06-01,14314,1491,1181,369,960,2532,0,414,585,400,82,86,69,88,23,28,49,70,2,0
2011-06-02,12629,3186,250,430,1006,2315,0,535,547,507,142,84,162,63,8,12,40,79,2,0
2011-06-03,13393,10057,37,2556,621,254,0,576,506,419,477,64,73,67,33,6,36,57,18,0
2011-06-04,12138,2312,692,326,550,887,0,492,314,727,134,79,77,26,2,6,36,37,2,0
2011-06-05,16265,9441,1537,887,666,2241,0,353,212,351,91,90,110,127,8,12,36,54,0,0
2011-06-06,11276,3886,1292,1347,690,2545,0,533,19,8,192,55,141,70,6,161,36,103,11,0
2011-06-07,7222,9853,1344,6203,1119,2392,0,893,109,0,110,65,266,90,30,102,48,55,4,0
2011-06-08,11127,5622,982,560,912,2273,0,525,193,98,417,118,146,60,25,24,56,131,5,0
2011-06-09,7786,1099,1394,595,1051,2182,0,279,825,200,396,93,150,148,23,95,55,93,6,0
2011-06-10,6656,9670,1392,5498,1219,294,0,347,393,285,317,61,160,124,17,20,60,82,4,1
2011-06-11,4991,24,1093,9714,1206,178,0,218,8,39,100,61,90,330,10,93,58,73,9,4
2011-06-12,5104,24,1188,7051,936,169,0,621,247,106,135,54,89,59,4,24,58,65,7,0
2011-06-13,7855,234,1356,5724,939,1236,0,573,682,541,459,57,88,135,20,38,58,57,8,7
2011-06-14,11207,66,2952,6765,234,577,0,473,202,295,272,71,82,140,14,55,53,0,1,6
2011-06-15,30510,299,1505,6360,617,158,0,526,251,510,163,59,104,110,55,38,39,101,8,6
2011-06-16,8298,552,76,5681,895,332,0,274,13,578,234,104,75,89,9,30,52,69,28,2
2011-06-17,6378,2261,425,1940,641,597,0,296,144,459,169,84,77,142,10,110,33,65,17,5
2011-06-18,4711,24,313,467,846,473,0,368,324,181,73,39,41,45,10,27,63,70,0,2
2011-06-19,3003,53,791,469,929,1370,0,262,179,233,125,60,29,127,10,39,56,47,0,4
2011-06-20,4718,1230,907,461,423,722,0,316,160,216,176,89,118,249,8,23,53,96,0,25
2011-06-21,5197,2228,1320,506,932,698,0,579,1071,287,137,95,90,373,25,19,57,76,3,3
2011-06-22,5848,988,1408,858,710,164,0,473,478,148,101,39,120,213,6,412,54,111,10,4
2011-06-23,14377,281,913,991,919,723,0,1247,533,357,118,130,130,308,5,739,60,71,1,2
2011-06-24,30610,2058,827,1177,1065,362,0,400,26,299,56,68,463,354,0,163,55,43,1,1
2011-06-25,15846,1219,580,964,778,112,0,98,265,221,36,15,69,255,2,10,55,22,0,1
2011-06-26,15971,276,682,4158,1017,60,0,128,216,99,56,0,35,216,9,180,55,21,1,0
2011-06-27,8985,999,742,812,876,218,0,471,12,187,197,19,73,370,0,24,52,70,1,1
2011-06-28,11286,2758,1396,1226,616,385,0,438,257,335,86,50,103,349,4,513,61,12,0,2
2011-06-29,9601,1667,321,388,804,154,0,251,477,267,156,107,76,684,6,66,54,47,8,0
2011-06-30,9484,512,204,291,1006,267,0,745,410,186,99,73,30,273,7,67,55,57,4,0
2011-07-01,4144,1094,485,426,1163,412,0,542,0,129,83,101,41,203,3,29,48,89,2,0
2011-07-02,3484,276,695,272,1031,1676,0,226,29,162,54,55,37,17,1,32,36,53,11,0
2011-07-03,21208,8,1062,458,1135,1122,0,299,85,99,42,48,70,6,2,30,37,33,1,0
2011-07-04,6622,24,954,318,916,159,0,416,515,146,46,16,29,129,1,37,36,55,6,0
2011-07-05,10134,2385,1294,347,758,136,0,450,471,139,658,123,78,150,2,134,34,80,15,8
2011-07-06,6667,24,2010,436,564,97,0,876,108,152,193,79,76,148,23,75,38,35,2,2
2011-07-07,2093,1024,210,442,902,409,0,952,548,268,143,66,89,424,2,77,36,43,2,0
2011-07-08,3178,1137,602,432,785,445,0,485,398,129,124,18,58,575,3,80,38,52,3,2
2011-07-09,839,24,1170,130,1085,128,0,557,162,137,64,2,82,339,1,651,35,23,0,0
2011-07-10,2548,34,1372,179,1334,282,0,517,68,118,68,7,66,345,1,44,36,23,0,0
2011-07-11,3020,2204,2236,378,939,438,0,430,388,184,311,12,190,39,3,32,34,72,5,0
2011-07-12,2923,1211,1918,489,926,315,0,255,106,91,219,74,114,8,5,359,34,89,11,3
2011-07-13,2691,2884,1323,1751,1053,635,0,586,471,121,140,327,231,438,5,362,33,69,26,1
2011-07-14,4041,2758,1081,4149,979,234,0,435,464,127,444,2028,86,539,3,47,26,64,10,2
2011-07-15,1549,1545,956,626,740,669,0,265,469,132,298,48,104,489,1,53,37,58,7,0
2011-07-16,444,321,840,2857,917,1731,0,282,99,99,168,180,37,353,5,44,38,30,1,0
2011-07-17,200,55,1760,2121,618,2393,0,225,7,111,215,335,23,113,6,50,37,33,1,0
2011-07-18,2682,2857,1123,753,850,124,0,226,131,164,299,932,142,259,2,80,37,83,2,3
2011-07-19,1769,1096,995,612,928,29,0,500,382,276,31,315,69,111,3,19,38,70,16,8
2011-07-20,14565,34791,1322,1969,801,45,0,438,407,468,156,65,33,220,3,11,37,42,4,8
2011-07-21,1826,2578,2281,3510,918,16,0,636,337,235,82,95,50,481,7,8,38,106,2,2
2011-07-22,1250,637,1840,2515,864,19,0,180,284,147,55,85,20,393,1,4,37,60,20,11
2011-07-23,397,24,1974,2790,642,25,0,312,121,228,7,48,12,60,1,9,38,59,1,11
2011-07-24,285,326,3133,1843,725,162,0,382,209,60,22,51,4,168,1,9,37,71,1,14
2011-07-25,1010,2049,1824,5359,965,0,0,725,132,302,232,97,31,332,1,8,37,110,22,12
2011-07-26,4403,33,2133,5080,1218,0,0,1232,286,144,242,172,42,334,1,2,39,48,4,5
2011-07-27,11451,3464,1486,3281,1024,0,0,1520,365,115,203,184,119,420,2,7,38,74,5,0
2011-07-28,10284,556,1448,525,1133,0,0,1320,553,174,321,69,56,164,1,7,38,68,10,9
2011-07-29,2870,1099,1783,248,823,0,0,1156,452,101,64,109,21,224,1,4,39,58,10,2
2011-07-30,1262,148,1249,288,788,0,0,424,315,77,0,116,0,5,1,11,38,64,2,7
2011-07-31,2124,517,1556,288,683,0,0,181,366,49,50,41,0,64,1,6,15,32,3,9
