Day,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[SDSC DASH] Number of Jobs Started
2010-02-14,6,2411,1172,1218,441,193,0,138,62,37,241,87,34,21,54,0,4,5,0
2010-02-15,54,8716,2120,1795,497,231,0,313,200,41,358,111,133,58,56,2,37,2,0
2010-02-16,111,7557,797,780,453,199,0,320,197,31,646,96,154,129,59,13,36,2,0
2010-02-17,4077,5353,1797,1017,567,0,0,275,153,20,528,111,539,84,76,48,68,2,0
2010-02-18,4133,3886,2751,1451,640,0,0,298,238,28,440,116,760,74,63,22,327,1,0
2010-02-19,5079,8235,994,1322,573,0,0,532,230,29,287,108,743,83,58,2,150,2,0
2010-02-20,8059,3575,945,1037,556,0,0,229,124,12,402,82,529,69,56,0,41,0,0
2010-02-21,3938,4129,1518,1271,422,1,0,201,115,9,716,55,809,66,58,0,22,1,0
2010-02-22,2810,1169,2822,1658,653,44,0,365,121,21,572,163,584,125,70,7,70,3,0
2010-02-23,2341,1159,1251,1334,559,270,0,285,252,85,658,95,774,81,70,7,57,5,0
2010-02-24,2731,979,1027,281,517,210,0,250,223,78,938,92,94,477,60,6,33,3,0
2010-02-25,2653,2519,1037,187,559,226,0,512,291,124,1139,138,128,234,73,41,32,1,0
2010-02-26,1259,3618,825,1631,924,431,0,305,114,124,1661,86,399,24,62,27,85,0,0
2010-02-27,1518,870,218,1171,550,585,0,254,132,108,1166,114,1033,20,59,3,14,4,0
2010-02-28,2038,3019,449,680,637,110,0,232,107,117,751,234,524,22,56,13,52,4,0
2010-03-01,3742,3702,1010,1042,588,71,0,199,138,305,653,166,99,65,59,49,27,3,0
2010-03-02,8139,1276,1237,740,679,163,0,2682,232,24,261,387,267,37,58,54,70,5,0
2010-03-03,4579,1586,1910,8,693,165,0,2031,220,31,260,152,816,39,57,59,122,5,0
2010-03-04,4409,1394,1383,6,853,327,0,1385,346,32,280,115,269,54,60,80,114,5,0
2010-03-05,1862,1054,1333,8,722,430,0,192,271,82,365,223,93,50,60,10,22,8,0
2010-03-06,4356,3148,1724,768,756,117,0,275,235,143,208,36,526,30,54,8,18,0,0
2010-03-07,4825,4881,3321,715,649,748,0,191,308,50,237,51,274,46,52,6,41,2,0
2010-03-08,8630,10719,1238,1760,700,567,0,215,191,56,258,158,85,13,63,17,35,3,0
2010-03-09,10127,10923,1637,1477,828,408,0,261,213,45,235,265,81,51,68,50,44,3,0
2010-03-10,5519,4277,1164,4,830,347,0,228,267,19,268,105,53,37,69,82,23,2,0
2010-03-11,3871,4156,2500,61,536,175,0,164,266,14,375,92,151,27,63,114,20,9,0
2010-03-12,5260,3055,4240,1464,688,568,0,122,158,11,210,135,269,27,61,39,18,3,0
2010-03-13,6133,355,994,869,286,113,0,60,122,6,243,148,1445,7,55,28,6,0,0
2010-03-14,18800,926,919,652,369,222,0,69,205,23,250,32,595,44,51,64,13,0,0
2010-03-15,25005,3426,1354,1090,641,178,0,127,128,0,207,35,341,105,63,37,16,1,0
2010-03-16,12757,2186,1086,1524,393,262,0,114,270,85,522,128,607,42,53,23,76,4,0
2010-03-17,4430,2486,271,73,983,190,0,246,246,60,354,104,590,0,41,2,112,6,0
2010-03-18,19891,5973,1466,765,832,205,0,161,235,46,1739,133,108,85,63,6,21,7,0
2010-03-19,14771,6020,999,1882,733,354,0,226,215,47,570,52,65,66,59,7,15,5,0
2010-03-20,10053,2662,1272,1409,655,201,0,222,138,56,143,92,96,35,53,0,7,9,0
2010-03-21,9643,1143,944,1023,654,129,0,487,166,42,251,38,55,7,30,0,6,3,0
2010-03-22,25545,1286,1171,1254,979,120,0,367,362,29,418,79,158,14,33,8,12,9,0
2010-03-23,6694,3214,2303,1081,1035,207,0,587,365,38,259,159,203,26,57,0,7,7,0
2010-03-24,27850,6220,2793,38,939,345,0,282,176,75,209,198,154,68,56,46,31,9,0
2010-03-25,18179,5349,3134,24,710,423,0,218,390,36,340,207,123,101,58,15,6,0,0
2010-03-26,19498,9910,1081,789,1280,215,0,347,355,46,316,405,121,105,61,33,11,1,0
2010-03-27,14639,3825,826,1141,835,632,0,211,123,72,327,170,67,88,70,6,6,3,0
2010-03-28,29281,5945,1236,1228,744,280,0,143,196,70,293,245,67,43,69,14,4,0,0
2010-03-29,38174,10592,1609,1431,1001,207,0,205,281,71,240,308,213,37,74,71,17,4,0
2010-03-30,20195,1169,2412,861,856,148,0,203,205,80,245,169,390,108,68,11,12,8,0
2010-03-31,3012,1135,1203,39,765,293,0,337,297,227,143,70,277,79,72,16,16,6,0
2010-04-01,37375,1405,930,5,849,423,8,397,343,61,25,95,0,11,61,25,4,4,0
2010-04-02,38526,1296,0,582,940,224,26,389,210,39,0,67,0,0,39,28,16,5,0
2010-04-03,18624,817,0,1676,608,387,50,161,418,29,0,37,0,0,16,4,5,2,0
2010-04-04,13774,689,0,2483,834,135,56,140,153,19,0,114,0,0,17,3,8,0,0
2010-04-05,27557,1157,1156,1424,795,972,95,312,328,76,0,263,0,60,52,59,5,6,0
2010-04-06,45390,1177,1351,186,817,576,73,185,316,122,0,164,0,77,56,5,16,7,0
2010-04-07,40260,8515,1469,14,739,187,148,243,345,66,0,155,0,83,64,58,8,6,0
2010-04-08,60057,7656,1698,191,740,259,258,436,287,72,0,220,0,19,63,18,6,4,0
2010-04-09,35281,7282,1963,1097,1026,209,476,542,270,81,0,110,0,8,55,23,2,12,0
2010-04-10,46704,10776,2611,1474,923,164,12,176,312,94,0,116,0,5,55,16,0,3,0
2010-04-11,66566,7878,2844,797,606,122,1,358,191,76,0,70,0,6,53,22,3,3,0
2010-04-12,64194,3099,1225,565,1076,194,78,364,403,98,0,107,0,10,64,39,4,2,0
2010-04-13,50229,3246,2475,526,1088,221,243,336,233,91,0,93,0,22,39,51,5,4,0
2010-04-14,26335,7796,3800,471,1129,263,307,466,227,68,0,71,0,48,22,86,13,2,0
2010-04-15,16635,1228,4772,440,839,307,340,290,198,55,0,85,0,49,23,48,11,6,0
2010-04-16,15111,994,3803,570,987,184,333,320,153,62,0,85,0,45,23,49,18,18,0
2010-04-17,12298,959,1887,529,532,229,77,299,60,57,0,0,0,38,17,46,9,12,0
2010-04-18,21745,1329,2117,437,629,159,112,327,139,84,0,42,0,42,17,11,7,7,0
2010-04-19,29373,4094,1948,1044,1021,302,729,325,184,101,0,100,0,73,26,3,31,11,0
2010-04-20,35965,7465,1642,1136,913,248,573,278,272,97,0,163,0,59,23,5,22,8,0
2010-04-21,27419,1137,1534,526,966,183,596,307,158,68,0,130,0,53,34,9,14,19,0
2010-04-22,18869,1670,1711,794,949,307,793,267,188,62,0,104,0,75,65,17,6,12,0
2010-04-23,15940,1086,2540,585,886,221,332,212,194,74,0,92,0,97,59,20,7,12,1
2010-04-24,18335,2271,3480,529,663,159,281,222,254,58,0,27,0,124,49,10,59,4,0
2010-04-25,19659,1187,2411,579,1006,116,1123,238,139,51,0,151,0,65,57,32,17,5,0
2010-04-26,12054,2104,2447,655,1090,234,1213,266,336,53,0,122,0,57,52,61,6,11,0
2010-04-27,20819,1382,1777,497,988,292,1633,327,151,52,0,148,0,114,65,69,69,9,2
2010-04-28,19810,2963,2968,677,983,199,1905,351,205,55,0,109,0,67,65,74,127,5,3
2010-04-29,11862,1411,4095,901,1024,364,1583,200,311,52,0,331,0,107,62,43,7,8,3
2010-04-30,9244,1074,2517,948,1039,95,600,198,223,44,0,335,0,28,39,38,36,4,0
2010-05-01,2092,736,1591,1065,853,32,204,117,62,34,0,131,0,91,16,34,8,4,0
2010-05-02,2018,5412,2223,657,1255,34,802,68,60,20,0,138,0,53,24,35,12,2,0
2010-05-03,2136,4716,987,656,1305,172,972,313,362,32,0,243,0,63,42,53,24,5,0
2010-05-04,10072,440,1791,905,476,192,990,270,287,19,0,91,0,58,68,44,26,0,0
2010-05-05,10787,736,1462,1276,854,156,1014,226,283,30,0,117,0,99,65,38,13,0,1
2010-05-06,8122,534,1234,819,1197,140,1000,212,313,42,0,123,0,55,58,43,7,13,0
2010-05-07,10367,1686,1264,866,901,381,70,239,426,23,0,123,0,53,57,45,21,3,2
2010-05-08,23107,6981,823,57,609,102,33,250,178,20,0,85,0,17,52,37,10,4,2
2010-05-09,28310,4785,611,619,623,72,968,263,200,20,0,61,0,10,53,39,21,2,0
2010-05-10,45058,5763,1527,1000,911,154,976,226,400,20,0,125,0,24,64,49,14,11,1
2010-05-11,30203,7585,1579,1125,695,162,981,229,289,19,0,110,0,44,60,77,12,8,9
2010-05-12,26735,5425,1865,1456,857,277,972,306,219,24,0,74,0,15,57,60,11,6,8
2010-05-13,38845,3798,1053,1216,697,289,275,163,242,26,0,203,0,50,44,60,9,4,18
2010-05-14,29491,793,1989,0,606,210,0,255,119,37,0,186,0,39,0,82,13,6,12
2010-05-15,29580,764,2416,0,859,181,0,155,60,28,0,215,0,77,0,34,16,1,4
2010-05-16,33065,8074,1199,174,567,240,960,197,112,22,0,96,0,20,15,43,9,1,6
2010-05-17,41107,712,11873,603,764,119,971,236,255,30,0,103,0,58,61,74,12,12,6
2010-05-18,54033,415,4359,977,724,196,952,209,217,36,0,155,0,63,79,97,15,7,10
2010-05-19,57136,2553,2141,705,889,219,960,171,288,63,0,180,0,36,81,90,14,6,2
2010-05-20,85784,4782,1574,847,763,250,44,300,216,60,0,118,0,49,62,62,6,9,1
2010-05-21,62662,1546,3844,1534,801,141,4,351,206,69,0,106,0,42,52,61,7,3,3
2010-05-22,76247,1725,707,726,808,102,41,218,198,62,0,38,0,23,56,22,8,3,0
2010-05-23,46229,7798,2992,427,498,57,938,234,198,53,0,52,0,20,59,42,7,1,3
2010-05-24,39140,7120,3276,1123,832,202,987,235,482,85,0,100,0,208,66,67,6,2,9
2010-05-25,45027,4303,1845,869,931,127,966,177,196,358,0,81,0,749,60,6,8,4,6
2010-05-26,57366,8598,2165,125,751,2728,947,281,653,207,0,141,0,906,55,55,16,9,2
2010-05-27,65121,7184,2706,77,924,794,935,417,277,61,0,90,0,24,60,43,8,1,4
2010-05-28,74339,4602,2393,453,763,362,80,387,441,52,0,269,0,21,59,41,6,4,7
2010-05-29,60052,1503,2498,313,684,202,31,146,228,170,0,122,0,28,54,4,7,6,9
2010-05-30,84424,2520,1119,289,500,176,988,154,151,50,0,139,0,11,56,7,5,1,3
2010-05-31,62113,1214,1515,868,797,127,995,166,264,53,0,99,0,37,48,6,7,1,0
2010-06-01,17970,3485,890,1740,941,2394,2191,257,223,30,0,132,0,15,35,76,9,4,0
2010-06-02,15956,9643,820,95,1015,2399,2080,172,351,38,0,170,0,29,0,27,9,0,3
2010-06-03,35538,2980,1931,1189,911,701,1720,138,385,30,0,69,0,65,26,26,41,2,0
2010-06-04,30400,2156,3594,1037,925,7928,1080,260,327,45,0,128,0,34,55,16,51,6,0
2010-06-05,27943,5529,1572,411,704,253,1860,199,126,57,0,82,0,19,55,8,16,2,0
2010-06-06,40958,1362,0,588,966,357,2076,258,134,50,0,52,0,0,58,24,13,2,0
2010-06-07,31397,4360,0,1184,1045,3278,1524,261,297,67,0,53,0,0,66,26,51,18,0
2010-06-08,21770,3466,0,1583,859,1341,2346,276,330,64,0,149,0,0,66,22,25,19,0
2010-06-09,23500,3379,3654,17,883,398,1903,289,257,66,0,170,0,105,65,62,31,14,0
2010-06-10,25055,2376,856,855,1156,193,2147,265,226,88,0,65,0,47,67,68,10,13,0
2010-06-11,14765,3523,3749,1658,1180,301,1673,184,239,50,0,130,0,77,55,34,23,18,0
2010-06-12,23793,5154,5168,1175,1324,199,1731,218,109,271,0,74,0,17,63,27,8,7,0
2010-06-13,24460,1818,4162,385,1210,197,1425,199,130,77,0,69,0,7,60,20,8,8,0
2010-06-14,29796,4374,5538,1097,1185,1788,1357,291,217,62,0,39,0,59,66,79,38,31,0
2010-06-15,8504,5379,5009,1912,784,3260,1715,314,295,76,0,88,0,32,66,15,46,19,0
2010-06-16,16327,1869,1852,171,833,31,2043,362,359,267,0,131,0,25,60,52,18,57,0
2010-06-17,18577,1811,1803,1382,1017,236,1718,1235,262,106,0,117,0,9,52,41,16,54,0
2010-06-18,17980,2640,3708,1193,1004,582,1378,522,237,68,0,129,0,9,62,23,16,20,0
2010-06-19,23243,2679,574,1070,823,210,606,222,207,59,0,71,0,25,61,28,6,3,0
2010-06-20,112,6866,216,793,822,168,2565,223,150,65,0,88,0,16,63,43,6,2,0
2010-06-21,2994,5906,80,1310,922,229,1922,216,312,50,0,130,0,6,70,84,10,13,0
2010-06-22,1017,7498,0,1357,817,4941,1076,480,319,448,0,188,0,0,135,20,16,5,0
2010-06-23,1201,7099,114,89,924,257,3822,258,378,92,0,152,0,0,60,31,12,21,0
2010-06-24,1034,5488,1465,560,840,254,6104,311,404,137,0,104,0,23,62,78,18,2,0
2010-06-25,4443,134,1612,854,1015,330,2582,270,300,342,0,108,0,54,75,61,10,9,0
2010-06-26,1298,6378,1447,224,764,187,2558,181,121,76,0,131,0,25,58,5,6,6,0
2010-06-27,202,2144,893,700,823,151,2691,258,151,543,0,101,0,25,57,6,4,9,0
2010-06-28,6821,3993,1565,1058,993,681,2625,356,140,423,0,152,0,203,59,10,11,45,0
2010-06-29,11969,5710,3013,1786,724,176,1739,555,309,81,0,127,0,151,538,4,41,13,0
2010-06-30,18661,2721,1579,7,748,418,1318,179,303,614,0,132,0,18,64,35,16,22,2
2010-07-01,20402,1725,1464,122,941,108,2399,187,303,201,0,176,0,10,331,17,7,9,7
2010-07-02,27544,4273,1098,381,1108,202,868,152,287,492,0,131,0,24,83,8,31,12,5
2010-07-03,32462,3790,601,357,863,83,2309,96,154,1702,0,58,0,10,60,3,21,11,0
2010-07-04,16981,3866,763,689,745,90,2649,118,101,214,0,30,0,6,59,3,14,8,0
2010-07-05,14829,2135,1523,629,958,61,3068,151,228,1429,0,32,0,19,64,8,15,9,8
2010-07-06,21877,4411,1561,1239,1023,64,2599,188,229,6197,0,173,0,49,32,13,6,12,17
2010-07-07,3562,6359,1043,1265,1071,291,1842,184,292,2170,0,135,0,60,33,23,18,13,12
2010-07-08,7609,3340,2336,1073,1731,231,1820,454,259,71,0,180,0,388,38,11,24,15,20
2010-07-09,13322,3296,3458,1359,1077,930,1590,371,241,232,0,144,0,60,164,16,36,22,2
2010-07-10,13994,3720,1061,1979,1037,31,1732,235,194,137,0,91,0,57,4,5,8,8,0
2010-07-11,17577,2280,2082,1386,700,59,1430,294,158,108,0,59,0,73,13,2,8,10,2
2010-07-12,34779,448,1403,1311,810,107,780,405,166,509,0,86,0,96,40,16,20,9,1
2010-07-13,14413,3217,2392,2342,411,1043,2287,704,266,1300,0,113,0,346,96,43,26,2,3
2010-07-14,12439,2179,2480,161,1173,169,1386,290,248,663,0,137,0,102,172,36,18,14,2
2010-07-15,10419,2063,2629,165,1006,680,755,598,342,262,0,161,0,155,362,24,14,15,1
2010-07-16,16613,2165,2605,1173,1170,211,1004,616,228,128,0,154,0,567,816,10,34,10,2
2010-07-17,17324,5748,1204,664,676,509,1170,478,149,182,0,76,0,392,80,9,15,10,1
2010-07-18,12917,1716,1363,885,468,388,877,287,174,171,0,31,0,10,7,4,7,7,0
2010-07-19,10915,6504,1988,2258,799,103,982,344,221,203,0,117,0,49,4,16,33,7,1
2010-07-20,10033,4851,1740,1548,925,110,198,242,261,111,0,141,0,69,43,18,9,5,0
2010-07-21,8891,5685,1798,276,921,4319,135,890,255,93,0,68,0,415,122,36,17,9,0
2010-07-22,9041,8101,1986,1841,712,12250,160,883,292,115,0,135,0,403,128,17,15,19,0
2010-07-23,12260,2277,1361,1169,732,11337,201,439,134,57,0,162,0,194,8,36,26,34,0
2010-07-24,720,445,894,855,773,122,257,231,248,70,0,119,0,11,40,12,5,12,1
2010-07-25,11581,2849,1347,895,562,6097,122,239,251,69,0,75,0,40,78,5,5,8,0
2010-07-26,4798,2451,1594,1287,937,7302,241,463,186,90,0,155,0,69,34,17,11,12,0
2010-07-27,886,2148,3109,1237,1117,17334,219,1177,103,41,0,150,0,109,24,15,13,13,0
2010-07-28,930,2048,878,112,1202,618,204,413,120,85,0,131,0,100,21,9,55,14,0
2010-07-29,349,5655,8695,972,1005,215,224,386,267,51,0,182,0,44,62,11,21,21,0
2010-07-30,365,3316,3171,1693,1250,6546,172,255,277,47,0,109,0,38,65,13,18,8,0
2010-07-31,61,8037,1837,848,635,992,96,149,187,51,0,88,0,5,50,2,6,7,0
