Day,[TACC STAMPEDE] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started
2013-09-18,4551,1957,822,419,1937,148,121,35,18,0,0,19
2013-09-19,5007,2065,817,545,996,147,180,4,14,0,0,1
2013-09-20,3945,1965,510,636,1017,221,136,33,2,89,0,20
2013-09-21,4707,2550,369,911,1492,181,130,5,9,12,0,3
2013-09-22,3213,1918,709,621,2515,102,92,23,5,2,0,3
2013-09-23,5037,3000,904,662,2104,237,165,18,11,10,0,8
2013-09-24,4614,919,485,401,880,61,110,22,3,0,0,6
2013-09-25,3708,716,861,635,968,220,107,29,4,0,0,27
2013-09-26,4952,1194,1031,469,1080,174,67,35,2,18,0,20
2013-09-27,3780,1715,903,495,1006,86,125,27,0,29,0,12
2013-09-28,3672,1857,1028,381,832,132,135,30,0,7,0,11
2013-09-29,3447,1987,1327,411,544,112,84,16,0,0,0,16
2013-09-30,3210,2048,1180,464,663,53,188,56,111,68,0,27
2013-10-01,3725,3000,2056,599,706,18,150,117,6,0,0,6
2013-10-02,3229,4123,1156,1209,1018,51,367,93,8,0,0,4
2013-10-03,4100,4158,827,1734,1283,130,196,24,76,2,0,4
2013-10-04,3190,4453,613,1288,1351,364,177,42,92,2,0,7
2013-10-05,2421,6147,709,396,564,127,89,9,54,2,0,2
2013-10-06,2612,6383,877,359,369,131,99,21,107,10,0,1
2013-10-07,3545,4830,1080,2212,1003,335,203,16,120,0,0,13
2013-10-08,2643,3448,793,994,1162,158,282,7,85,0,0,1
2013-10-09,3882,2740,1038,2665,769,157,345,24,125,0,0,0
2013-10-10,4092,2436,1543,538,1114,340,213,2,166,0,0,0
2013-10-11,4236,2759,1101,616,824,538,156,5,93,0,0,0
2013-10-12,4218,23,1545,542,227,32,78,19,0,0,0,0
2013-10-13,4577,1121,754,377,392,108,49,3,3,0,0,0
2013-10-14,4592,2953,1114,507,1088,164,147,91,30,0,0,0
2013-10-15,2472,3453,1025,317,1002,241,276,12,24,0,0,0
2013-10-16,5208,3182,840,597,903,100,413,54,26,4,0,0
2013-10-17,3600,3886,795,834,806,86,192,60,41,2,0,0
2013-10-18,2889,4782,1018,668,654,49,260,27,69,0,0,0
2013-10-19,3364,3081,850,591,366,60,206,22,26,0,0,0
2013-10-20,2146,3068,654,419,225,128,93,126,14,0,0,0
2013-10-21,3757,2391,1080,524,910,91,72,102,5,0,0,0
2013-10-22,3461,2032,1731,1038,1106,57,74,22,19,0,0,4
2013-10-23,4300,3504,662,869,695,267,143,12,23,1,0,0
2013-10-24,3337,3846,770,1097,653,168,149,15,1,0,0,0
2013-10-25,3590,1767,2362,1077,825,136,537,63,0,0,0,0
2013-10-26,1984,1096,1460,736,369,61,101,234,3,0,0,0
2013-10-27,1835,2101,349,2090,413,59,105,184,17,0,0,0
2013-10-28,4672,1972,565,2506,1133,147,409,118,29,0,0,0
2013-10-29,844,1182,552,943,700,128,418,295,9,0,0,0
2013-10-30,4829,1198,444,954,1083,230,422,578,7,0,0,0
2013-10-31,4637,2918,624,1617,851,167,119,125,3,0,0,0
2013-11-01,3729,3016,723,1699,684,39,147,527,0,0,0,0
2013-11-02,2284,3168,1429,1137,680,141,93,420,1,0,0,0
2013-11-03,2598,2788,682,1353,1596,75,448,3,0,0,0,0
2013-11-04,3571,2010,2218,1310,1926,410,66,8,0,0,0,0
2013-11-05,3856,856,898,1161,781,65,201,49,1,0,0,0
2013-11-06,3056,2461,571,1257,682,257,294,34,2,0,0,0
2013-11-07,3019,3315,770,1935,1064,134,231,55,2,0,0,0
2013-11-08,3828,3097,426,1281,931,406,220,7,2,0,0,0
2013-11-09,3010,3665,475,3760,321,121,11,150,1,0,0,0
2013-11-10,2283,3767,560,7089,652,58,140,247,2,0,0,5
2013-11-11,4295,3072,1565,2512,977,632,321,93,1,0,0,2
2013-11-12,3191,2417,1470,730,559,111,240,35,3,7,0,0
2013-11-13,3264,3587,688,2402,1036,109,273,266,147,0,0,0
2013-11-14,4756,3351,838,772,2131,188,249,244,103,0,0,0
2013-11-15,6179,3315,664,4551,751,146,222,269,190,0,0,1
2013-11-16,3130,3765,746,2773,1035,169,123,101,2,0,0,0
2013-11-17,3859,2979,573,1754,703,191,49,34,5,0,0,0
2013-11-18,3577,3460,743,1036,725,254,188,22,246,0,0,0
2013-11-19,3455,3634,1753,854,640,32,117,19,141,0,0,6
2013-11-20,3780,3116,1596,545,2567,156,143,149,6,0,0,13
2013-11-21,21086,1888,1876,782,1790,249,124,396,2,1,0,0
2013-11-22,3682,3948,986,541,505,120,195,178,3,0,0,0
2013-11-23,3275,2182,677,2306,262,71,86,151,1,0,0,0
2013-11-24,6472,3957,482,3146,485,39,65,114,17,0,0,0
2013-11-25,4329,3519,947,2102,618,330,137,28,0,0,0,3
2013-11-26,3815,2823,934,1922,959,178,152,23,2,0,0,3
2013-11-27,2705,2868,810,588,1240,285,63,76,147,0,0,0
2013-11-28,2134,2469,693,578,279,0,39,277,0,0,0,0
2013-11-29,2615,2455,829,509,317,0,1,255,1,0,0,0
2013-11-30,2008,3442,902,733,72,0,0,273,1,0,0,0
2013-12-01,3006,2289,830,824,385,254,219,74,45,0,0,0
2013-12-02,3966,2419,1604,953,474,25,127,21,504,0,0,3
2013-12-03,3761,3709,1397,1038,533,48,192,23,1011,0,0,6
2013-12-04,4119,1854,1340,1401,538,194,229,74,495,0,0,6
2013-12-05,3279,1891,277,1656,536,202,240,12,3,0,0,5
2013-12-06,4334,2530,39,916,78,191,207,19,597,0,0,5
2013-12-07,2669,2368,0,648,0,150,76,11,482,0,0,3
2013-12-08,15635,2421,0,860,0,186,81,150,353,0,0,2
2013-12-09,2985,2434,580,928,9,658,72,551,787,0,0,11
2013-12-10,1265,2764,620,1111,43,262,131,113,593,0,0,3
2013-12-11,4112,3337,566,1062,459,94,168,115,488,0,0,7
2013-12-12,3402,2137,689,668,418,202,132,157,50,0,0,6
2013-12-13,2639,1789,681,750,547,177,80,131,32,0,0,6
2013-12-14,2702,1313,435,598,357,118,73,7,19,0,0,6
2013-12-15,5252,2298,677,474,384,167,37,10,25,0,0,1
2013-12-16,4234,2002,1262,755,599,42,154,23,9,0,0,2
2013-12-17,2429,585,1099,835,677,14,138,26,0,0,0,0
2013-12-18,3253,1717,842,904,843,48,84,263,50,0,0,2
2013-12-19,3138,1400,1112,828,785,228,129,113,107,0,0,1
2013-12-20,2729,1474,1144,1007,892,253,157,165,81,0,0,2
2013-12-21,1289,1312,216,352,266,57,148,137,57,0,0,5
2013-12-22,1927,2393,362,407,863,52,250,16,137,0,0,5
2013-12-23,2628,2301,691,416,951,128,152,27,107,0,0,3
2013-12-24,2520,1284,784,705,354,124,155,18,64,0,0,4
2013-12-25,2850,1283,620,392,224,72,78,19,30,0,0,3
2013-12-26,3666,1192,170,557,317,105,91,26,92,0,0,2
2013-12-27,3192,885,307,1534,247,140,141,185,22,0,0,3
2013-12-28,2094,677,272,1628,184,126,126,449,6,0,0,2
2013-12-29,1830,564,855,1432,286,142,89,90,4,0,0,2
2013-12-30,1314,723,1608,1408,315,103,101,510,9,0,0,3
2013-12-31,2158,640,212,1454,319,77,79,525,2,0,0,2
2014-01-01,3632,356,925,1186,219,208,101,148,4,0,0,3
2014-01-02,25237,898,1640,1171,338,53,174,16,60,0,0,2
2014-01-03,23346,1266,1795,978,540,131,104,13,38,0,0,1
2014-01-04,18619,328,461,606,242,52,68,18,64,0,0,2
2014-01-05,39150,1024,1098,3933,320,9,114,2,117,0,0,1
2014-01-06,28414,1163,683,3120,536,77,137,16,34,0,0,1
2014-01-07,6509,478,1097,625,363,220,226,15,30,0,0,4
2014-01-08,3239,1287,528,558,793,250,118,4,125,0,0,4
2014-01-09,9468,1322,1973,569,1532,490,187,49,169,0,0,2
2014-01-10,8641,1103,1977,464,1366,180,141,432,45,0,0,0
2014-01-11,9021,861,717,226,309,85,79,197,64,0,0,0
2014-01-12,7092,753,794,275,537,194,117,445,71,0,0,0
2014-01-13,5885,1886,1871,580,915,200,101,77,67,0,0,0
2014-01-14,6215,2197,1510,557,1110,150,145,27,53,0,0,2
2014-01-15,8240,1356,2069,583,1768,456,126,57,158,0,0,1
2014-01-16,6641,1445,2178,389,2204,519,123,47,157,0,0,0
2014-01-17,10979,2250,643,433,815,279,67,48,90,0,0,3
2014-01-18,16497,5215,893,173,410,212,58,23,83,0,0,3
2014-01-19,12431,5174,652,185,504,356,85,24,43,0,0,1
2014-01-20,10770,3560,818,436,686,304,143,8,109,0,0,0
2014-01-21,4715,2236,1106,584,1168,106,115,32,54,0,0,1
2014-01-22,8188,3339,676,426,1288,465,317,8,70,0,0,1
2014-01-23,9913,1204,1469,528,2257,583,112,23,36,0,0,3
2014-01-24,12736,4552,605,570,1550,469,81,51,31,0,0,0
2014-01-25,9544,6476,752,257,687,499,118,20,6,0,0,0
2014-01-26,6302,4629,1136,373,2337,407,107,0,10,0,0,0
2014-01-27,3792,4433,1643,500,821,526,116,35,5,0,0,0
2014-01-28,2995,7217,1224,593,834,190,206,20,97,0,0,2
2014-01-29,3215,5946,1762,808,674,364,110,27,36,0,0,0
2014-01-30,4231,7037,721,244,899,772,102,29,33,0,0,0
2014-01-31,7199,3356,691,365,918,668,95,41,25,0,0,0
