title
"Number of Jobs Started: by Resource"
parameters

start,end
2015-02-01,2015-07-31
---------
Day,"[OSG] Number of Jobs Started","[TACC STAMPEDE] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[SDSC COMET] Number of Jobs Started","[NICS DARTER] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[TACC MAVERICK2] Number of Jobs Started","[CCT LSU SUPERMIC] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started"
2015-03-24,46925,3013,1407,0,64,507,275,29,87,13,4
2015-03-25,69469,2784,3550,0,69,858,229,31,75,5,3
2015-03-26,86246,2199,1719,0,302,505,291,88,17,4,5
2015-03-27,143087,2757,792,0,397,653,362,200,59,5,3
2015-03-28,106956,2122,1543,0,5,1121,262,195,15,1,0
2015-03-29,172213,2182,1529,0,30,318,286,149,43,9,4
2015-03-30,159372,3526,1429,0,143,628,68,64,26,18,2
2015-03-31,11893,1842,1327,0,79,546,365,139,69,28,0
2015-04-01,189450,2364,1479,0,283,736,616,111,2,30,0
2015-04-02,176738,4208,1465,0,156,385,263,91,45,30,0
2015-04-03,208988,3158,1790,0,307,4344,175,96,55,5,0
2015-04-04,177413,2046,1245,0,665,6490,296,115,83,6,0
2015-04-05,141638,2575,586,0,112,424,284,38,17,5,0
2015-04-06,138028,2977,1279,0,773,461,289,44,74,6,0
2015-04-07,168827,4192,1181,0,321,502,480,33,31,5,0
2015-04-08,98670,3130,1868,0,147,556,290,14,130,5,0
2015-04-09,158830,2761,1703,0,89,457,490,19,183,2,0
2015-04-10,113482,2790,1586,0,82,838,196,70,162,7,0
2015-04-11,98802,2619,1067,0,222,352,329,28,177,6,0
2015-04-12,60829,1752,675,0,39,438,437,21,72,6,0
2015-04-13,63261,2786,1341,0,247,1700,552,116,74,6,0
2015-04-14,58579,2542,1251,0,863,828,116,297,82,6,0
2015-04-15,74498,2582,941,0,54,767,188,88,60,4,0
2015-04-16,61481,4933,1514,0,29,607,162,105,105,6,0
2015-04-17,28898,3276,938,0,24,530,209,92,55,4,0
2015-04-18,36744,2676,692,0,0,332,189,70,48,0,0
2015-04-19,106999,1952,659,0,0,242,284,43,49,0,4
2015-04-20,89622,3572,1477,0,29,453,197,67,114,1,0
2015-04-21,36090,4203,1472,0,115,458,218,90,93,7,0
2015-04-22,48459,556,1413,0,137,441,247,61,102,4,0
2015-04-23,57631,5392,1969,0,134,902,242,52,99,4,0
2015-04-24,51445,5427,1818,0,123,1030,240,57,58,4,0
2015-04-25,74580,2569,881,0,129,821,64,84,26,4,0
2015-04-26,59810,3180,1170,0,419,585,1,68,36,4,0
2015-04-27,21148,5088,1943,0,1710,410,97,93,39,4,0
2015-04-28,10786,2475,1453,0,941,275,164,80,74,4,0
2015-04-29,63964,3394,1143,0,1534,284,101,27,33,4,0
2015-04-30,101610,4219,909,0,2746,232,152,39,43,4,0
2015-05-01,213651,4007,1078,0,47,0,214,38,31,6,0
2015-05-02,155738,1591,883,0,118,0,204,35,39,4,1
2015-05-03,83583,2489,1034,0,716,0,198,26,30,4,0
2015-05-04,156797,4284,978,0,1769,0,245,51,97,2,2
2015-05-05,34768,4362,1205,0,3496,0,173,57,44,3,1
2015-05-06,72615,4109,1180,0,2175,0,187,54,80,4,0
2015-05-07,96526,4391,927,0,2834,0,218,340,57,5,3
2015-05-08,99386,4474,1431,0,3070,0,199,0,72,6,0
2015-05-09,91919,5074,380,0,131,0,93,0,38,3,0
2015-05-10,147972,2990,343,0,1333,0,11,47,149,1,0
2015-05-11,144179,5604,583,1,17,0,147,254,97,0,0
2015-05-12,98338,4745,297,0,2480,0,61,162,269,0,0
2015-05-13,134135,4411,1776,144,602,0,124,82,139,0,0
2015-05-14,129058,4282,1563,1035,2386,0,175,67,71,0,0
2015-05-15,115151,5139,646,1598,1511,0,173,57,76,0,0
2015-05-16,91029,1069,480,801,388,0,60,53,50,0,0
2015-05-17,95152,1632,576,988,2938,0,73,54,20,0,0
2015-05-18,99966,3611,1262,1446,2108,0,67,42,106,0,0
2015-05-19,61107,4310,873,1775,2559,0,195,79,44,0,0
2015-05-20,237120,3557,997,2172,1061,0,117,64,191,0,0
2015-05-21,174408,3936,1417,934,1795,0,87,119,228,0,0
2015-05-22,90152,3642,1406,1088,879,0,143,91,87,0,0
2015-05-23,57976,1678,692,564,44,0,189,48,253,0,0
2015-05-24,95674,1817,1010,459,519,0,93,27,144,0,0
2015-05-25,102979,3970,919,703,2066,0,30,65,14,0,0
2015-05-26,51063,4420,1100,962,898,0,156,73,134,0,0
2015-05-27,79494,4040,1192,1067,2324,0,119,85,132,0,0
2015-05-28,121960,4667,1343,1132,3367,0,115,87,129,0,0
2015-05-29,69259,4391,1666,1124,2583,0,89,114,95,0,0
2015-05-30,66929,2041,527,613,2039,0,30,47,106,0,0
2015-05-31,99916,2544,716,827,829,0,30,29,95,0,0
2015-06-01,95465,4516,631,1183,6083,0,100,80,105,0,0
2015-06-02,77842,3066,670,1685,3160,0,83,30,112,0,0
2015-06-03,127620,4690,1336,2045,4251,0,273,248,145,0,0
2015-06-04,117192,4310,1311,1430,1773,0,236,496,94,0,0
2015-06-05,70418,4603,1087,1443,3875,0,199,1005,148,0,0
2015-06-06,48851,2101,2703,968,3281,0,94,348,50,0,0
2015-06-07,148242,2006,2657,978,529,0,36,67,124,0,0
2015-06-08,245319,2972,2362,1391,120,0,147,101,118,0,0
2015-06-09,186675,2810,1341,1106,86,0,200,134,105,0,0
2015-06-10,148816,3494,1370,1336,146,0,106,85,67,0,0
2015-06-11,288478,2560,954,1560,814,0,120,186,108,0,0
2015-06-12,430632,3241,1177,1048,93,0,196,118,33,0,0
2015-06-13,313186,1899,469,749,83,0,191,72,105,0,0
2015-06-14,160941,2281,216,927,156,0,230,56,45,0,0
2015-06-15,245355,2646,846,2046,74,0,142,75,132,0,0
2015-06-16,291832,2646,673,1302,63,0,92,163,61,0,0
2015-06-17,123758,2648,920,996,155,0,164,62,60,0,0
2015-06-18,61292,2498,1757,1203,124,0,196,67,30,0,0
2015-06-19,124726,2985,1469,1249,102,0,66,94,209,0,0
2015-06-20,112021,2147,792,814,177,0,4,110,271,0,0
2015-06-21,48933,2223,550,716,48,0,33,115,51,0,0
2015-06-22,216332,2409,976,979,195,0,155,230,52,0,0
2015-06-23,106580,2756,1231,1318,533,0,91,26,57,0,0
2015-06-24,142205,3470,1222,1253,115,0,139,83,263,0,0
2015-06-25,365427,2395,966,1057,713,0,47,74,147,0,0
2015-06-26,256470,2273,1240,2590,259,0,163,363,120,0,0
2015-06-27,287679,2084,667,1423,91,0,205,523,256,0,0
2015-06-28,307515,2409,962,3927,180,0,203,394,100,0,0
2015-06-29,343053,2677,1007,4210,165,0,235,80,210,0,0
2015-06-30,335491,3240,1564,1443,151,0,119,131,104,0,0
2015-07-01,87451,2956,1445,11301,151,0,127,89,237,0,0
2015-07-02,113280,3217,958,4284,401,0,109,51,188,0,0
2015-07-03,231602,2446,914,820,445,0,158,73,125,0,0
2015-07-04,135254,1842,446,606,393,0,133,29,9,0,0
2015-07-05,167553,2033,416,1626,357,0,66,54,79,0,0
2015-07-06,212101,2758,803,10528,259,0,26,85,115,0,0
2015-07-07,144858,2572,897,10633,91,0,142,106,181,0,0
2015-07-08,39063,2613,1063,3829,163,0,121,79,149,0,0
2015-07-09,55379,2592,1037,1468,297,0,107,62,262,0,0
2015-07-10,51508,3433,949,1455,136,0,23,97,132,0,0
2015-07-11,47050,2375,501,730,185,0,62,45,40,0,0
2015-07-12,62476,2395,643,916,253,0,55,35,19,0,0
2015-07-13,52029,3773,824,3018,304,0,267,46,102,0,0
2015-07-14,43075,1721,1023,2224,302,0,166,91,85,0,3
2015-07-15,53293,2584,905,1696,135,0,158,110,172,0,0
2015-07-16,93639,2274,658,2002,212,0,123,217,209,0,0
2015-07-17,60215,2439,784,1598,276,0,92,171,226,0,0
2015-07-18,130596,1840,642,830,150,0,46,57,29,0,0
2015-07-19,135424,1479,722,782,168,0,44,33,63,0,0
2015-07-20,211443,3145,557,2487,319,0,125,69,180,0,0
2015-07-21,153614,2976,775,3752,307,0,63,147,217,0,0
2015-07-22,184078,2764,734,3266,246,0,214,80,84,0,0
2015-07-23,77395,2539,617,965,210,0,179,36,87,0,0
2015-07-24,88408,2887,785,2876,223,0,102,30,103,0,0
2015-07-25,248061,1940,531,1133,81,0,31,40,66,0,2
2015-07-26,300885,1924,400,941,138,0,61,21,56,0,0
2015-07-27,253113,2818,614,1425,320,0,221,40,215,0,0
2015-07-28,109243,3094,593,2210,413,0,56,125,266,0,0
2015-07-29,9768,3107,618,2056,303,0,69,115,216,0,0
2015-07-30,4448,2695,578,1797,363,0,70,137,82,0,1
2015-07-31,2913,2232,628,3032,240,0,45,192,60,0,0
---------
