Day,[OSG] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[CCT LSU SUPERMIC] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started
2015-09-30,33031,1303,2072,616,264,55,74,50,0,0
2015-10-01,709,2491,2678,492,598,192,99,64,0,0
2015-10-02,117,9278,3873,607,467,172,65,38,0,0
2015-10-03,15,4185,3485,439,169,159,42,21,0,0
2015-10-04,292,8784,2460,450,153,36,71,2,0,0
2015-10-05,882,2745,3702,619,610,83,85,51,0,0
2015-10-06,1217,2476,3563,1536,201,158,87,27,0,0
2015-10-07,60032,2636,3395,1453,385,138,117,49,0,0
2015-10-08,47755,7908,2878,1381,628,216,65,29,0,0
2015-10-09,17169,3748,2608,1054,304,103,137,5,0,0
2015-10-10,31685,2389,1915,473,590,48,74,15,0,0
2015-10-11,33423,5326,1415,401,415,51,23,26,0,0
2015-10-12,175591,2692,3877,605,306,135,89,31,0,0
2015-10-13,99401,3485,3408,2059,619,223,70,29,0,0
2015-10-14,143580,5554,3350,568,575,33,77,25,0,0
2015-10-15,80155,5759,3289,1114,548,272,59,23,0,0
2015-10-16,118456,2693,3634,1375,325,39,91,24,0,0
2015-10-17,64443,2865,2398,1548,246,91,21,1,0,0
2015-10-18,115257,1784,2508,2352,293,109,13,9,0,0
2015-10-19,51882,6893,2496,2430,174,76,45,33,0,0
2015-10-20,97416,8446,2967,1697,142,109,36,26,0,0
2015-10-21,130164,3162,3844,2523,308,156,92,11,0,0
2015-10-22,44064,3562,4915,2919,184,39,64,4,0,0
2015-10-23,192452,2601,3570,2579,611,121,53,27,0,0
2015-10-24,199201,3605,2186,2473,421,46,47,7,0,0
2015-10-25,140493,3230,2412,2386,256,76,19,0,0,0
2015-10-26,298902,2083,3328,1932,324,168,44,38,0,0
2015-10-27,166038,2379,3255,2453,360,167,71,1,0,0
2015-10-28,149960,2602,4021,1513,397,240,92,15,0,0
2015-10-29,152382,2451,3322,543,260,206,93,23,0,0
2015-10-30,197582,1878,3380,419,322,276,109,42,0,0
2015-10-31,203238,1882,2369,239,303,161,31,20,0,0
2015-11-01,205353,3075,2785,300,286,187,71,19,0,0
2015-11-02,173600,3979,3623,487,250,358,121,30,0,0
2015-11-03,77881,4777,1546,501,489,198,168,31,0,0
2015-11-04,79561,2529,3666,706,444,164,142,36,0,0
2015-11-05,31493,2141,4397,586,280,362,139,30,0,0
2015-11-06,40518,1689,4096,524,257,290,121,23,0,0
2015-11-07,81978,959,2731,392,258,315,85,0,0,0
2015-11-08,60476,1581,3084,424,183,215,62,366,0,0
2015-11-09,54051,6070,3733,672,261,441,92,951,0,0
2015-11-10,32368,5678,3589,1220,235,284,72,850,0,0
2015-11-11,37910,2352,3420,830,489,154,129,549,0,0
2015-11-12,63832,2229,3095,811,408,252,110,936,0,0
2015-11-13,65378,3150,3519,995,490,143,100,609,0,0
2015-11-14,60825,1546,3264,454,494,81,29,23,0,0
2015-11-15,37879,1519,3339,611,551,141,41,4,0,0
2015-11-16,39009,1999,3948,2360,463,164,68,193,0,0
2015-11-17,30489,5513,3942,1039,354,110,110,35,0,0
2015-11-18,65303,8150,3675,1229,694,111,134,37,0,0
2015-11-19,32515,3225,3897,1662,297,94,135,46,0,0
2015-11-20,37564,2597,3538,1395,206,165,78,85,0,0
2015-11-21,42871,1574,3145,996,424,25,65,22,0,0
2015-11-22,51174,1688,3497,738,351,89,14,16,0,0
2015-11-23,37551,2742,5689,782,500,123,61,107,0,0
2015-11-24,22672,1914,3668,801,469,115,48,112,0,0
2015-11-25,30103,3253,4549,567,417,59,28,34,0,0
2015-11-26,56644,2069,4243,437,250,143,22,21,0,0
2015-11-27,136299,1493,4675,411,127,28,40,15,0,0
2015-11-28,137217,1273,2777,306,400,139,41,24,0,0
2015-11-29,93125,1051,3352,316,251,132,31,26,0,0
2015-11-30,76323,1857,4020,780,504,273,75,22,0,0
2015-12-01,115131,3187,4991,638,672,183,90,3,0,0
2015-12-02,102882,8188,4682,719,605,80,120,18,0,0
2015-12-03,75229,5248,4426,694,285,72,131,20,0,0
2015-12-04,116894,532,3889,948,237,110,103,24,0,0
2015-12-05,43994,465,3802,435,130,60,42,9,0,0
2015-12-06,67322,1798,4040,470,137,149,14,49,0,0
2015-12-07,54302,1807,4744,1256,420,72,75,51,0,0
2015-12-08,75436,2350,2730,784,224,275,156,94,0,0
2015-12-09,114881,3478,4376,861,392,116,85,30,0,0
2015-12-10,103944,4323,4444,999,391,248,148,84,0,0
2015-12-11,139005,2475,5017,997,157,75,123,38,0,0
2015-12-12,87274,1907,2650,710,196,39,54,44,0,0
2015-12-13,61144,1283,2974,374,178,10,72,110,0,0
2015-12-14,69147,2260,3441,563,268,182,228,241,0,0
2015-12-15,7815,2750,2952,839,309,41,256,189,0,0
2015-12-16,16883,2272,2963,598,225,61,215,196,0,0
2015-12-17,18492,2790,2658,987,150,145,203,912,0,0
2015-12-18,26557,2261,2102,830,96,105,127,41,0,0
2015-12-19,25229,1805,2751,772,81,45,221,34,0,0
2015-12-20,21656,1989,4047,431,69,77,90,22,0,0
2015-12-21,11804,2632,928,455,137,39,127,34,0,0
2015-12-22,9439,3016,1371,1028,77,99,133,16,0,0
2015-12-23,11896,3031,2319,625,112,68,195,32,0,0
2015-12-24,30284,2318,1976,1178,83,102,147,11,0,0
2015-12-25,56210,1210,1518,266,69,44,161,6,0,0
2015-12-26,91103,4596,2324,327,119,107,146,11,0,0
2015-12-27,97012,5178,2147,268,118,89,301,10,0,0
2015-12-28,190247,3784,2222,442,200,82,217,50,0,0
2015-12-29,230487,6955,2350,391,168,67,139,25,0,0
2015-12-30,69092,6536,2329,351,191,63,96,16,0,0
2015-12-31,57662,772,3365,391,149,22,169,12,0,0
2016-01-01,67862,879,8174,540,219,39,38,11,0,0
2016-01-02,185908,1488,3263,1676,128,20,26,9,0,0
2016-01-03,178302,2689,2271,1595,124,53,58,30,0,0
2016-01-04,147625,3898,3402,387,111,518,108,24,0,0
2016-01-05,61212,2766,3364,557,158,1658,142,26,0,0
2016-01-06,80289,4083,3649,1375,199,1472,179,26,0,0
2016-01-07,33271,5414,3868,645,278,2049,152,18,0,0
2016-01-08,30430,5102,4465,587,246,1812,77,15,0,1
2016-01-09,73048,2520,6801,446,273,1660,19,1,0,0
2016-01-10,204152,1198,2449,468,209,3343,82,11,0,0
2016-01-11,125228,3582,8203,955,131,3237,79,35,0,13
2016-01-12,281440,5894,5160,619,294,556,181,5,0,41
2016-01-13,131876,5721,7580,738,133,120,152,14,0,6
2016-01-14,85091,7087,7266,660,99,35,136,2,0,5
2016-01-15,36716,7325,4155,493,92,85,119,22,0,12
2016-01-16,46354,2750,2436,442,156,634,152,10,0,0
2016-01-17,117319,3199,3427,329,165,163,67,7,0,0
2016-01-18,177005,4081,3888,521,191,40,72,33,0,0
2016-01-19,123508,6287,5543,809,221,87,120,43,0,4
2016-01-20,163276,3543,4931,769,135,137,89,17,0,0
2016-01-21,89575,3406,4962,768,215,125,31,22,0,7
2016-01-22,241726,2211,4814,673,129,40,131,9,0,6
2016-01-23,127066,1868,3875,479,56,74,166,0,0,0
2016-01-24,130563,2221,7984,379,223,93,75,22,0,0
2016-01-25,38946,4912,9122,792,194,87,219,11,0,0
2016-01-26,192253,4427,4457,618,172,92,127,46,0,4
2016-01-27,123030,4210,4669,929,257,135,62,31,0,12
2016-01-28,51127,2536,4759,915,331,107,111,22,0,4
2016-01-29,16069,1616,4718,518,118,103,80,22,0,3
2016-01-30,30506,1244,10820,389,89,84,48,30,0,0
2016-01-31,79513,1269,13723,575,65,134,112,43,0,0
