title
"Number of Jobs Started: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Started","[PURDUE STEELE] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[GATECH KIDS] Number of Jobs Started"
2013-06-23,4534,1501,186,2533,2601,598,587,59,95,7,7,0,0
2013-06-24,4128,2817,308,4059,1795,734,1384,163,92,27,55,0,0
2013-06-25,734,1636,105,4975,2316,1003,924,167,272,21,50,0,170
2013-06-26,3968,1074,1864,6792,1095,1301,1317,135,456,0,21,0,0
2013-06-27,6776,1630,164,2608,1324,1754,844,151,246,8,35,0,0
2013-06-28,4491,1136,429,6236,1651,1686,367,294,416,16,37,0,4
2013-06-29,6553,2042,214,3447,1539,312,133,0,122,47,8,0,0
2013-06-30,7646,1953,150,2857,2727,489,414,0,95,65,15,0,0
2013-07-01,6647,2271,228,5926,1663,998,460,396,150,24,43,0,2
2013-07-02,3950,2106,1462,5872,789,864,555,206,66,18,46,0,5
2013-07-03,3286,1253,1683,5062,1318,1089,684,596,114,27,49,0,37
2013-07-04,2748,3502,100,4293,1160,585,790,75,38,15,17,0,24
2013-07-05,4177,3079,296,4394,2036,561,544,164,93,301,41,0,25
2013-07-06,4418,2803,2486,2148,1062,337,1149,317,33,15,38,0,26
2013-07-07,4510,2867,693,2397,457,182,1405,141,62,9,15,0,21
2013-07-08,4898,2335,188,3691,1183,508,785,100,114,67,59,0,27
2013-07-09,4014,2368,579,2779,961,710,358,42,85,56,23,0,112
2013-07-10,3352,2988,1173,2640,567,861,406,34,128,87,23,0,31
2013-07-11,2941,3109,222,3698,469,1058,416,247,97,18,38,0,45
2013-07-12,3329,3464,483,4546,386,757,425,90,123,3,31,0,61
2013-07-13,4313,1964,2568,3521,871,221,356,81,80,1,21,0,25
2013-07-14,3336,1746,3439,3402,544,441,556,91,55,4,25,0,0
2013-07-15,4741,1829,1271,3803,814,1334,319,161,22,43,25,0,19
2013-07-16,5793,1038,250,2792,721,1550,317,156,92,11,57,0,17
2013-07-17,8684,1359,115,3227,613,1924,398,183,141,53,53,0,31
2013-07-18,6568,2240,136,3153,672,906,465,36,603,37,30,0,15
2013-07-19,7656,4171,24,2939,664,827,501,76,357,8,36,0,1
2013-07-20,7521,7398,4371,1556,326,716,544,11,0,10,23,0,15
2013-07-21,7114,1583,7429,2674,578,1083,455,72,182,2,22,0,27
2013-07-22,8009,4451,2740,2658,665,1672,546,164,133,10,66,0,13
2013-07-23,1537,1611,30,1485,314,574,414,104,18,29,94,0,8
2013-07-24,3333,1315,24,2119,936,662,540,121,10,50,16,0,4
2013-07-25,6863,2878,24,1247,921,1087,490,198,56,24,50,0,31
2013-07-26,8390,2780,28,1774,644,709,306,310,109,24,60,0,48
2013-07-27,6725,4733,16,2239,955,841,268,105,165,22,14,0,25
2013-07-28,6134,4572,20,2480,980,285,478,113,106,12,21,0,22
2013-07-29,15025,5410,24,2657,1333,849,506,165,101,34,25,0,7
2013-07-30,7845,3379,29,2601,1525,3759,370,192,22,22,6,0,0
2013-07-31,27992,5117,77,2854,1635,1065,331,211,30,21,19,0,0
---------
