title
"Number of Jobs Started: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NCSA ABE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[NICS ATHENA] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[TACC LONESTAR] Number of Jobs Started","[PSC POPLE] Number of Jobs Started","[NCSA EMBER*] Number of Jobs Started","[NCSA COBALT] Number of Jobs Started","[IU BIGRED*] Number of Jobs Started","[NCAR FROST] Number of Jobs Started","[NCSA LINCOLN] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[ORNL NSTG] Number of Jobs Started","[SDSC DASH] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC SPUR] Number of Jobs Started"
2010-09-24,854,608,2082,67,1204,245,80,2281,54,0,162,36,33,98,4,16,0,0,0,0,8
2010-09-25,5527,531,839,835,1071,124,100,1759,17,0,170,18,11,42,0,16,0,0,0,0,0
2010-09-26,831,1452,976,58,1176,36,80,1866,16,0,47,33,28,77,0,11,0,0,0,0,3
2010-09-27,1699,1388,1463,117,900,214,100,1987,60,0,227,26,34,44,8,15,0,0,0,0,13
2010-09-28,2087,259,894,218,367,251,239,1235,55,0,302,29,35,49,0,13,0,0,0,0,0
2010-09-29,1937,1511,101,67,1572,185,97,1648,101,0,224,34,27,40,9,13,2,0,0,0,4
2010-09-30,2316,1001,509,8,1400,160,140,1673,95,0,207,23,11,50,11,14,0,0,0,0,6
2010-10-01,2045,938,1146,8,1072,154,102,117,29,0,142,20,19,30,15,13,1,0,0,0,7
2010-10-02,2322,2552,786,15,1130,72,96,115,17,0,262,17,23,14,10,18,0,0,0,0,1
2010-10-03,2130,4023,858,8,1041,145,119,75,122,0,187,17,12,8,8,12,0,0,0,0,4
2010-10-04,2592,2197,1150,825,951,413,43,97,233,0,128,22,35,35,49,15,6,0,0,0,1
2010-10-05,3183,1792,1238,812,828,431,76,173,83,11,68,77,27,60,20,14,11,0,0,0,9
2010-10-06,1617,4902,187,213,772,149,115,119,60,15,194,9,31,66,28,16,7,0,0,0,4
2010-10-07,1506,6303,117,77,836,197,157,133,69,6,168,15,49,24,47,12,9,0,0,0,27
2010-10-08,2218,6573,916,442,597,72,130,260,46,11,114,19,5,59,27,29,1,0,0,0,6
2010-10-09,4076,8841,1431,31,506,40,169,199,2,8,94,49,4,9,16,51,9,0,0,0,3
2010-10-10,1456,12409,1370,37,787,134,100,184,1,37,88,51,11,1,14,50,2,1,0,0,4
2010-10-11,260,7704,2476,96,550,111,146,106,82,13,205,45,13,24,43,50,6,0,0,0,2
2010-10-12,414,11562,6521,883,583,127,135,351,18,19,229,74,34,37,207,55,0,0,0,0,2
2010-10-13,3061,7017,3712,1055,559,136,171,151,1,20,179,99,9,33,124,51,13,5,0,0,10
2010-10-14,2537,7263,1489,1649,764,1843,150,79,5,11,180,45,19,47,50,53,45,0,0,0,20
2010-10-15,1436,3346,1693,1500,688,336,137,201,92,40,110,101,15,62,17,53,9,0,0,0,6
2010-10-16,801,1584,721,477,1169,168,117,173,66,8,76,23,7,34,21,53,27,0,0,0,4
2010-10-17,1096,5249,1476,3897,1034,49,133,266,103,2,92,48,10,19,9,58,14,0,0,0,0
2010-10-18,1175,5425,1163,2286,917,191,141,430,124,31,156,75,8,66,25,45,4,11,0,0,3
2010-10-19,1569,2612,1107,1769,816,124,174,370,65,48,145,49,34,34,17,8,0,3,0,0,0
2010-10-20,1457,5809,790,1152,806,145,158,485,94,33,218,33,83,33,146,56,6,6,0,0,4
2010-10-21,1572,2088,861,4545,800,139,111,400,75,85,427,80,21,25,146,50,12,7,0,0,2
2010-10-22,1487,6537,1105,703,934,263,208,470,181,15,214,60,34,34,51,51,20,2,0,0,1
2010-10-23,580,6423,687,497,707,360,135,430,38,58,68,146,22,22,15,48,16,0,0,0,1
2010-10-24,1413,9176,882,698,777,373,120,336,45,48,109,52,15,4,38,54,13,0,0,0,2
2010-10-25,1534,4334,1939,1092,1013,124,238,555,124,65,162,57,19,43,57,51,9,3,0,0,2
2010-10-26,896,9793,706,892,590,755,190,147,69,78,275,57,13,33,62,51,6,0,0,0,2
2010-10-27,1971,7981,2848,3373,0,459,155,244,136,110,448,47,17,88,25,29,5,0,0,0,0
2010-10-28,1739,6675,3477,1829,317,486,118,335,102,102,191,37,20,42,15,14,0,0,0,0,1
2010-10-29,721,3329,4729,1005,866,1651,150,226,104,46,110,55,19,48,5,15,20,0,0,0,3
2010-10-30,282,2773,1075,701,1023,965,136,129,74,31,105,47,15,17,4,16,7,0,0,0,1
2010-10-31,587,4984,2811,1620,1060,183,133,184,33,32,104,55,21,60,13,14,3,3,0,0,0
2010-11-01,971,4386,4729,1634,1233,2154,193,232,92,45,132,48,35,115,49,15,31,3,0,0,3
2010-11-02,2514,4623,3969,3152,707,1521,142,219,95,83,104,81,30,106,42,21,29,1,0,0,10
2010-11-03,6745,546,484,1114,864,189,180,228,175,162,177,24,26,26,71,10,13,1,0,0,1
2010-11-04,3428,444,86,1183,794,186,201,227,99,152,166,52,41,37,25,14,20,1,0,0,6
2010-11-05,1910,1250,516,1973,849,540,177,234,219,122,72,64,32,78,26,15,59,0,0,0,1
2010-11-06,1527,1012,543,104,654,939,108,203,134,75,0,68,18,67,13,0,2,0,0,0,1
2010-11-07,3040,985,966,81,314,463,159,71,107,80,0,44,3,19,16,0,0,0,0,0,0
2010-11-08,1338,359,1910,797,849,434,195,209,89,204,0,203,7,86,63,0,17,0,0,0,4
2010-11-09,13571,711,4691,42,1013,456,193,304,91,132,0,41,23,61,205,0,33,0,0,0,3
2010-11-10,9458,708,2053,908,878,250,209,403,119,374,0,83,12,30,19,0,0,18,0,0,14
2010-11-11,5982,635,4421,822,820,160,158,265,98,145,0,44,7,36,19,0,13,0,0,0,22
2010-11-12,817,2015,2088,549,763,131,111,314,101,96,0,73,8,32,25,0,3,0,0,0,10
2010-11-13,792,870,2282,727,534,228,83,222,19,140,0,51,12,11,14,0,0,0,0,0,6
2010-11-14,2607,472,1601,682,873,184,92,185,24,37,0,27,9,14,22,0,0,0,0,0,7
2010-11-15,3798,228,2023,1291,1017,204,197,372,120,0,0,71,13,7,28,0,4,0,0,0,16
2010-11-16,5425,981,1541,782,569,165,199,394,470,87,0,139,16,10,27,0,0,0,0,0,1
2010-11-17,5811,2284,875,1594,811,151,311,304,306,185,0,97,7,36,52,0,59,0,0,0,9
2010-11-18,7502,1483,489,645,723,154,334,213,123,350,0,88,18,47,30,0,4,10,0,0,15
2010-11-19,3529,1914,1659,4787,582,402,304,192,118,199,0,70,16,22,36,0,4,7,0,0,18
2010-11-20,3585,5965,0,956,986,65,204,203,203,185,0,50,9,31,72,0,19,26,0,0,8
2010-11-21,1782,2919,2619,453,820,116,179,224,264,111,0,58,7,33,17,0,21,27,0,0,5
2010-11-22,3036,2636,3123,11441,781,127,167,210,281,157,0,55,20,46,58,0,15,26,0,0,29
2010-11-23,1487,1590,2439,17818,785,805,238,49,159,145,0,41,18,46,42,0,105,10,0,0,18
2010-11-24,1644,1224,597,15100,1284,234,257,83,56,191,0,41,21,86,20,0,74,11,0,0,4
2010-11-25,982,1060,2795,24,1000,204,257,55,56,105,0,6,14,42,14,0,8,7,0,0,0
2010-11-26,707,1808,4355,43,859,183,504,77,58,124,0,48,9,33,20,0,12,0,0,0,0
2010-11-27,1386,1227,3511,3739,699,1419,236,59,73,181,0,88,11,35,13,0,25,0,0,0,0
2010-11-28,1762,1304,3495,4057,1147,1645,257,110,106,111,0,64,6,59,14,0,45,0,0,0,0
2010-11-29,1883,306,4109,13190,951,148,146,105,81,169,0,67,21,4,24,0,58,2,0,0,4
2010-11-30,1796,1090,494,7050,1323,246,158,193,65,321,0,146,17,110,10,0,37,7,0,0,2
2010-12-01,1440,1646,2591,715,1063,194,255,6,106,510,0,99,18,272,15,0,28,2,0,0,1
2010-12-02,1139,2031,604,6538,1060,1159,222,0,64,297,0,75,15,59,26,0,24,19,0,0,4
2010-12-03,1078,1668,1475,24,968,482,113,0,113,492,0,28,19,95,13,0,19,8,0,0,7
2010-12-04,3017,1448,2796,471,873,475,28,0,35,63,0,55,11,111,8,0,5,2,0,0,8
2010-12-05,1144,1539,1509,10,911,1431,52,0,31,55,0,76,14,116,12,0,18,7,0,0,4
2010-12-06,1125,2730,3431,54,716,410,25,0,31,279,0,72,16,70,36,0,48,5,0,0,2
2010-12-07,1459,5073,3320,54,974,2123,138,0,61,178,0,82,14,32,30,0,28,9,0,0,2
2010-12-08,1418,3655,3293,20,996,3002,53,0,57,148,0,78,19,46,48,0,36,9,0,0,3
2010-12-09,3091,3468,2413,22,847,859,107,0,92,168,0,75,58,53,45,0,12,24,0,0,6
2010-12-10,11184,2171,3350,561,852,3599,70,0,170,332,0,40,21,28,43,0,10,24,0,0,3
2010-12-11,8452,3304,2193,190,920,3544,104,0,25,210,0,19,11,44,20,0,15,21,0,0,0
2010-12-12,9221,3446,987,47,436,1291,86,0,46,127,0,10,11,11,17,0,5,29,0,0,3
2010-12-13,13412,2956,1843,8603,883,1021,81,0,133,164,0,19,10,287,28,0,15,12,0,0,4
2010-12-14,8505,6087,1402,4432,710,165,169,0,129,282,0,22,12,28,11,0,11,24,0,0,1
2010-12-15,5946,3208,788,1427,875,214,110,0,181,243,0,95,10,74,41,0,10,25,0,0,1
2010-12-16,4916,1447,901,404,1261,1912,176,0,99,295,0,187,11,31,37,0,6,24,0,0,2
2010-12-17,4809,1478,992,837,1189,3337,193,0,235,220,0,22,7,42,40,0,2,10,0,0,1
2010-12-18,3427,1155,1061,49,868,2186,67,0,62,122,0,60,5,38,38,0,2,19,0,0,0
2010-12-19,2536,2043,2788,34,835,615,228,0,27,120,0,134,7,57,37,0,1,31,0,0,0
2010-12-20,4484,1176,2846,1175,835,1735,120,0,49,138,0,32,7,47,50,0,5,23,0,0,4
2010-12-21,5171,2216,2500,256,798,1194,134,0,68,61,0,65,27,48,34,0,1,69,0,0,10
2010-12-22,2701,1684,2152,1277,631,160,109,0,122,156,0,83,9,61,52,0,2,49,0,0,0
2010-12-23,4030,6985,130,58,571,198,79,0,99,85,0,129,17,40,75,0,2,39,0,0,1
2010-12-24,5333,1642,35,223,973,144,78,0,103,49,0,56,8,79,47,0,8,22,0,0,0
2010-12-25,6107,973,69,1071,539,152,81,0,56,72,0,204,81,55,45,0,3,26,0,0,0
2010-12-26,5025,907,169,869,499,160,107,0,102,103,0,5,10,46,50,0,1,21,0,0,0
2010-12-27,4723,6622,518,428,508,167,143,0,86,81,0,45,30,50,47,0,2,18,0,0,1
2010-12-28,5800,962,662,487,15,170,120,0,82,181,0,86,24,51,37,0,1,2,0,0,0
2010-12-29,11596,798,1250,90,50,135,142,0,82,157,0,237,10,50,34,0,4,2,0,0,0
2010-12-30,6985,1356,493,82,337,295,135,0,37,46,0,95,30,62,21,0,13,18,0,0,0
2010-12-31,8900,2421,2954,36,281,460,145,0,52,60,0,169,29,58,13,0,4,10,0,0,0
2011-01-01,8498,3456,1332,5,679,155,68,0,41,138,0,58,34,54,30,0,15,9,0,0,1
2011-01-02,8216,5959,926,14,632,197,99,0,32,234,0,437,19,48,26,0,10,29,0,0,7
2011-01-03,8970,8450,1561,381,909,227,130,0,61,200,0,81,54,59,45,0,6,15,0,0,3
2011-01-04,9087,10727,1841,601,958,188,113,0,63,115,0,199,39,50,51,0,7,19,0,0,1
2011-01-05,9747,8662,251,1945,1375,109,173,0,92,125,0,223,50,272,41,0,3,28,0,101,0
2011-01-06,6499,7013,629,11229,1114,1310,208,0,146,185,0,117,22,205,74,0,7,11,0,0,7
2011-01-07,5125,1771,1319,737,911,2722,121,0,78,242,0,90,10,71,45,0,7,11,0,0,2
2011-01-08,5047,7049,979,1389,1185,1928,160,0,91,159,0,98,26,142,19,0,1,2,0,38,0
2011-01-09,6327,11354,2430,1498,994,1118,333,0,242,174,0,73,43,57,74,0,6,1,0,0,10
2011-01-10,5404,10817,5059,2640,1503,518,416,0,137,207,0,88,52,30,44,0,14,11,0,0,0
2011-01-11,3340,4530,1939,2230,1013,505,118,0,338,170,0,63,220,56,37,0,0,9,0,0,0
2011-01-12,7015,1803,1752,4248,1043,577,307,0,162,327,0,69,387,124,45,0,4,6,0,11,0
2011-01-13,14073,1534,475,12907,1097,136,326,0,273,552,0,57,38,242,93,0,7,12,0,7,3
2011-01-14,22869,4400,726,10979,949,1986,313,0,90,145,0,69,72,66,86,0,4,21,0,4,0
2011-01-15,19823,2765,1493,5562,1188,7282,545,0,57,81,0,59,42,88,19,0,3,3,0,0,5
2011-01-16,18787,2932,1286,1859,1176,6978,549,0,44,92,0,61,43,104,34,0,3,3,0,17,2
2011-01-17,17979,1083,1537,2957,747,3684,540,0,136,196,0,60,154,403,12,0,7,0,0,12,2
2011-01-18,11131,2644,2340,754,376,2111,388,0,211,213,0,54,34,88,37,0,2,3,0,20,0
2011-01-19,14130,4529,1163,1484,759,206,684,0,341,151,0,53,202,64,43,0,3,15,0,26,6
2011-01-20,10512,2792,1926,887,1079,802,500,0,255,131,0,65,244,101,14,0,78,21,0,54,4
2011-01-21,12782,3365,1516,375,1638,3739,276,0,241,161,0,76,69,61,40,0,4,16,13,34,7
2011-01-22,10520,3218,1296,157,936,2452,304,0,105,102,0,58,1744,36,27,0,1,2,13,15,3
2011-01-23,26205,2532,1174,263,627,4244,259,0,100,145,0,63,1106,75,43,0,2,6,10,4,6
2011-01-24,25122,1945,1358,1573,1131,444,236,0,230,234,0,252,1576,75,44,0,4,1,40,17,7
2011-01-25,15538,1235,2126,3477,797,216,238,0,92,156,0,73,29,116,44,0,1,3,14,24,5
2011-01-26,15177,1568,788,4824,1089,161,213,0,164,298,0,60,19,171,32,0,4,15,72,193,2
2011-01-27,35924,6648,441,425,1322,767,204,0,226,265,0,117,136,83,57,0,1,16,176,93,2
2011-01-28,41409,5016,1048,103,802,453,203,0,1044,382,0,71,44,128,39,0,1,21,478,109,7
2011-01-29,36563,9106,980,476,1005,250,160,0,139,251,0,69,921,46,38,0,0,4,81,17,0
2011-01-30,24673,14982,165,127,850,209,183,0,317,366,0,73,96,46,26,0,1,4,27,22,1
2011-01-31,27047,1228,973,262,1000,260,160,0,347,376,0,167,2169,138,19,0,1,3,92,49,0
---------
