title
"Number of Jobs Started: by Resource"
parameters

start,end
2012-02-01,2012-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC SPUR] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[SDSC DASH] Number of Jobs Started"
2012-02-23,5500,155,58,2196,2695,0,457,177,72,60,74,9,4,0,0
2012-02-24,7937,100,63,1580,3549,0,516,167,144,38,51,9,1,0,0
2012-02-25,8172,126,20,1683,1578,0,513,113,108,39,0,0,2,0,0
2012-02-26,2122,1031,12,1774,2187,0,788,67,63,8,0,0,0,0,0
2012-02-27,683,1937,0,2614,2943,0,518,253,105,53,41,2,26,0,0
2012-02-28,2247,2180,113,1913,2947,0,488,340,60,32,104,5,1,0,0
2012-02-29,8462,1940,24,2371,2170,0,128,341,59,54,60,76,4,0,0
2012-03-01,13057,1838,66,779,1878,0,873,186,217,24,70,53,0,0,0
2012-03-02,13475,1277,36,792,2196,0,280,190,59,17,55,22,4,0,0
2012-03-03,4232,1416,0,1019,1417,0,14,502,36,15,27,7,13,0,0
2012-03-04,1652,971,29,1349,1801,0,103,284,229,30,13,40,10,0,0
2012-03-05,2933,1190,87,1175,2177,85,373,375,156,31,48,17,0,0,0
2012-03-06,5721,1173,89,1430,2543,130,349,516,143,40,43,0,2,0,0
2012-03-07,2332,1151,280,3173,2180,80,317,477,137,38,63,2,14,0,0
2012-03-08,2975,315,111,2670,2363,118,3,236,192,34,42,2,12,0,0
2012-03-09,12302,860,101,1554,1866,51,101,255,123,25,20,0,10,0,0
2012-03-10,13158,621,22,1048,965,62,351,157,75,20,402,37,7,0,0
2012-03-11,13472,549,180,736,1026,15,305,271,66,19,122,30,17,0,0
2012-03-12,10815,1110,1568,1553,1217,58,173,381,84,18,229,12,49,0,0
2012-03-13,1177,1182,2383,3132,1129,454,390,506,145,33,272,3,11,0,0
2012-03-14,2790,1948,600,1858,1193,65,442,380,81,30,142,3,4,0,0
2012-03-15,3900,1684,1340,2360,1596,70,0,349,119,25,37,9,20,0,0
2012-03-16,2848,887,331,1493,1451,87,5,298,118,18,148,18,49,0,0
2012-03-17,6855,766,87,1708,1038,60,122,262,104,4,106,5,7,0,0
2012-03-18,4059,709,24,2830,1130,58,263,189,228,8,23,9,49,0,0
2012-03-19,8637,1347,125,2365,998,76,4,512,103,31,25,13,4,0,0
2012-03-20,16226,1405,5599,1716,1441,53,140,419,242,132,14,7,35,0,0
2012-03-21,16547,1339,49,929,1798,445,650,172,307,181,39,10,48,0,0
2012-03-22,8886,1341,232,2311,1462,414,480,231,380,146,23,34,58,0,0
2012-03-23,7552,1068,61,2127,1444,267,30,181,78,75,14,3,66,0,0
2012-03-24,5864,845,0,1177,1515,578,209,296,61,48,7,2,12,0,0
2012-03-25,19629,1094,8,768,1968,769,656,592,51,9,11,0,14,0,0
2012-03-26,19504,1751,125,1287,1947,522,510,275,41,41,52,2,15,0,0
2012-03-27,7279,1717,2480,1347,2192,305,168,81,59,40,53,12,4,0,0
2012-03-28,5978,1863,455,1517,2717,295,483,299,456,40,55,15,3,0,0
2012-03-29,4849,1479,3940,477,2511,756,439,718,184,16,62,8,7,0,0
2012-03-30,5799,1857,644,959,2759,579,279,949,62,16,24,3,0,0,0
2012-03-31,16727,55,214,1211,2298,599,11,310,56,7,0,2,2,0,0
2012-04-01,45772,422,36,2195,1583,299,223,460,21,27,0,4,0,0,0
2012-04-02,7891,1206,113,1821,1467,5897,834,174,17,162,0,0,0,0,0
2012-04-03,5077,2218,2085,1721,1248,644,386,276,53,180,57,1,0,0,0
2012-04-04,4394,1724,191,1605,1417,1856,395,223,32,164,45,2,0,0,0
2012-04-05,4818,1862,90,1346,1630,4245,287,158,130,158,14,5,0,0,0
2012-04-06,5572,2616,1086,1192,1295,3734,49,244,47,51,18,1,0,0,0
2012-04-07,6564,1422,3484,342,1179,276,161,141,64,105,26,1,0,0,0
2012-04-08,15715,1024,61,1457,905,602,272,103,40,94,12,3,0,0,0
2012-04-09,6404,1604,6634,1106,1750,397,290,127,76,127,50,2,0,0,0
2012-04-10,8177,1953,16276,1367,1424,414,336,260,122,129,91,3,0,0,0
2012-04-11,5029,1695,3217,1972,1363,334,497,176,48,15,37,4,0,0,0
2012-04-12,4680,4846,10241,1358,1020,334,534,187,111,114,26,6,0,0,0
2012-04-13,6833,5281,6821,541,1309,198,2,188,120,102,12,1,0,0,0
2012-04-14,10288,3772,13110,337,637,132,168,186,76,100,52,0,0,0,0
2012-04-15,3102,2679,12194,391,745,122,383,59,41,124,16,0,0,0,0
2012-04-16,1630,6157,5913,852,1235,468,304,0,87,100,90,1,0,0,0
2012-04-17,6487,6968,4340,550,355,735,85,314,135,6,52,0,0,0,0
2012-04-18,3428,5060,3773,718,956,502,499,169,89,63,75,3,0,0,0
2012-04-19,8730,3607,5397,751,1587,458,425,119,94,118,42,3,0,0,0
2012-04-20,5176,3912,9834,672,1307,627,395,200,89,129,38,3,0,0,0
2012-04-21,9387,2020,8034,499,1361,478,235,110,85,105,6,1,0,0,0
2012-04-22,5993,2263,3323,588,1321,580,94,123,55,52,13,0,0,0,0
2012-04-23,3591,4058,5320,942,1260,665,245,178,87,134,33,0,0,0,0
2012-04-24,9390,5718,4287,728,0,302,0,225,76,0,30,0,0,0,0
2012-04-25,8533,5051,6699,818,0,2523,0,212,76,0,37,0,0,0,0
2012-04-26,5076,4163,60,746,0,2972,0,160,117,0,36,0,0,0,0
2012-04-27,6021,2277,0,1118,0,1123,0,228,91,0,37,0,0,0,0
2012-04-28,5621,929,8,1417,0,1335,0,121,379,0,56,0,0,0,0
2012-04-29,796,2203,4,1385,0,1112,0,136,18,0,19,0,0,0,0
2012-04-30,1283,4659,10,1484,4,852,0,175,142,0,101,0,0,0,0
2012-05-01,1521,4929,35,1619,91,1114,0,218,64,0,78,0,0,0,0
2012-05-02,7468,3027,479,1741,504,1264,0,184,74,19,30,0,0,0,0
2012-05-03,4252,3990,1029,1573,1500,973,0,182,36,116,14,4,0,0,0
2012-05-04,1879,4605,708,954,1296,1050,3,201,104,152,12,8,0,0,0
2012-05-05,3743,2444,1150,2183,1407,717,169,213,24,68,12,0,0,0,0
2012-05-06,3806,3101,826,1391,1375,392,451,173,51,57,5,1,0,0,0
2012-05-07,2689,5103,10613,1004,992,705,494,407,37,52,30,2,0,0,0
2012-05-08,4108,5549,6956,983,970,418,369,427,71,40,20,0,0,0,0
2012-05-09,7141,7675,1659,1906,1579,477,397,198,61,23,22,1,0,0,0
2012-05-10,9990,5261,7558,2328,1003,264,395,232,127,36,30,3,0,0,0
2012-05-11,6073,3117,10387,1032,989,976,353,325,58,35,14,4,0,0,0
2012-05-12,2828,1758,1347,546,1219,804,237,120,41,47,6,2,0,0,0
2012-05-13,3680,3728,2505,864,1075,1124,215,132,28,66,3,0,0,0,0
2012-05-14,2547,4123,3065,1201,1056,428,335,206,43,62,7,1,0,0,0
2012-05-15,4,3076,68,2222,1337,1358,374,190,47,68,5,4,0,0,0
2012-05-16,0,3658,0,812,1130,906,435,240,53,54,14,1,0,0,0
2012-05-17,1680,3269,40,1533,1273,1016,417,192,65,58,14,3,0,0,0
2012-05-18,1572,4041,3159,765,899,631,386,233,180,63,4,2,0,0,0
2012-05-19,141,1076,3215,1522,774,664,268,119,40,30,2,0,0,0,0
2012-05-20,123,5774,4452,692,1150,688,306,136,26,25,18,0,0,0,0
2012-05-21,295,7042,1648,467,1041,307,493,163,37,48,40,10,0,0,0
2012-05-22,5919,4137,2511,818,483,997,341,129,85,26,22,3,0,0,0
2012-05-23,3674,5582,5609,1169,1599,375,400,127,151,34,36,7,0,0,0
2012-05-24,9573,7119,2337,907,1270,1165,307,140,253,43,32,4,0,0,0
2012-05-25,4752,5448,1036,3102,1292,608,301,112,46,33,47,10,0,0,0
2012-05-26,2769,7290,1321,925,1210,9,340,138,16,4,16,5,0,0,0
2012-05-27,4803,6284,4738,24,1340,0,529,109,20,11,9,17,0,0,0
2012-05-28,5132,4826,163,2346,1605,0,334,90,89,4,9,1,0,0,0
2012-05-29,5889,4499,21182,4960,1366,0,270,254,73,39,16,1,0,0,0
2012-05-30,6671,198,12595,3847,1232,396,283,125,128,16,23,1,0,0,0
2012-05-31,8907,8587,954,3517,981,682,331,221,86,16,39,0,0,0,0
2012-06-01,6102,6302,2362,6002,893,462,413,199,72,30,12,0,0,0,0
2012-06-02,5710,3684,4919,2804,965,586,311,95,34,23,11,0,0,0,0
2012-06-03,4786,7777,6040,2545,1042,645,195,105,80,13,6,0,0,0,0
2012-06-04,3947,6012,9795,2234,1140,522,387,132,391,75,26,0,0,0,0
2012-06-05,3031,5977,840,2180,1539,1084,381,163,280,78,12,0,0,0,0
2012-06-06,3925,9475,3494,948,1252,968,521,175,323,51,25,0,0,0,0
2012-06-07,7298,12336,3764,1032,1690,1164,318,160,357,79,25,42,0,0,0
2012-06-08,5811,8645,3220,527,1161,932,312,117,307,52,84,1,0,0,0
2012-06-09,4815,8312,4268,1262,1070,877,286,98,307,21,22,3,0,0,0
2012-06-10,3221,5825,2900,2301,853,999,284,214,330,1,17,0,0,0,0
2012-06-11,5612,2712,2764,1560,1044,1446,333,174,326,69,40,0,0,0,0
2012-06-12,5101,4122,2344,1798,1104,1180,369,164,306,67,51,0,0,0,0
2012-06-13,4667,5563,2737,1978,1122,1008,383,123,428,77,50,0,0,0,0
2012-06-14,4527,5006,5458,7442,1088,2132,365,412,528,41,50,2,0,0,0
2012-06-15,4536,6355,5227,3579,1286,1413,353,146,569,101,44,9,0,0,0
2012-06-16,4437,8870,3756,4770,1114,2315,359,347,278,4,23,4,0,0,0
2012-06-17,4883,12711,3552,5524,928,1283,379,302,209,19,13,4,0,0,0
2012-06-18,6628,7571,4172,6056,1538,357,421,246,84,478,32,7,0,0,0
2012-06-19,8491,794,3294,933,1458,1072,474,181,222,253,11,4,0,0,0
2012-06-20,6515,1958,3901,3077,1694,665,533,275,160,608,28,0,0,0,0
2012-06-21,7850,2987,2683,884,1247,1135,604,94,117,177,29,1,0,0,0
2012-06-22,5135,4088,769,1067,1954,673,581,110,155,381,28,6,0,0,0
2012-06-23,5447,3793,1683,621,1381,2014,621,138,151,389,16,0,0,0,0
2012-06-24,5185,3222,1782,650,1335,908,638,196,164,131,18,1,0,0,0
2012-06-25,9603,3953,1508,559,1696,864,624,232,209,111,17,6,0,0,0
2012-06-26,13127,3308,710,1112,1351,1150,559,298,165,115,23,0,0,0,0
2012-06-27,11044,950,134,1245,1576,1613,512,99,134,116,37,0,0,0,0
2012-06-28,19374,1435,655,1014,1624,2043,477,152,141,67,77,7,0,0,0
2012-06-29,16996,4315,2588,1001,1250,1296,749,339,73,124,90,44,0,0,0
2012-06-30,14108,6902,3250,1155,1208,389,658,96,20,70,59,64,0,0,0
2012-07-01,6018,2470,312,773,900,489,503,118,114,39,14,6,0,0,0
2012-07-02,5751,4007,200,1973,1928,936,661,188,160,127,124,2,0,0,0
2012-07-03,4792,2479,80,1617,1471,1902,820,171,91,130,34,0,0,0,0
2012-07-04,8294,2946,420,783,1409,1710,734,87,52,70,14,1,0,0,0
2012-07-05,4322,1769,73,925,1463,577,681,177,145,89,20,6,0,0,0
2012-07-06,5861,2581,120,741,1856,1241,787,166,133,18,59,18,0,0,0
2012-07-07,5992,2285,40,792,1197,311,806,104,61,6,4,73,0,0,0
2012-07-08,2172,2738,60,628,910,293,788,112,115,12,22,20,0,0,0
2012-07-09,3016,4982,420,779,2354,683,721,191,147,10,58,14,0,0,0
2012-07-10,573,3148,1261,1344,1631,809,532,168,123,80,34,5,0,0,0
2012-07-11,316,2953,266,1329,1405,848,507,212,89,44,22,7,0,0,0
2012-07-12,165,2622,300,778,1324,1282,618,193,57,27,96,6,0,10,0
2012-07-13,1687,2511,180,1214,1583,1009,590,98,20,25,58,8,0,8,0
2012-07-14,1741,2442,60,462,716,602,528,64,39,5,8,45,0,10,0
2012-07-15,4860,2006,40,404,857,327,728,118,73,7,13,6,0,3,0
2012-07-16,6106,3220,162,585,1216,605,517,147,127,23,67,7,0,32,0
2012-07-17,3867,3001,660,568,1560,973,654,124,42,37,69,14,0,3,0
2012-07-18,2099,4083,1940,1348,1709,1497,739,216,92,17,19,10,0,2,0
2012-07-19,4157,1928,200,3497,1543,1262,389,93,71,28,59,33,0,0,0
2012-07-20,3344,2905,302,2454,1166,1905,422,84,123,16,22,7,0,0,0
2012-07-21,6301,2635,260,738,1115,678,426,132,132,6,17,2,0,0,0
2012-07-22,9888,2260,340,804,1047,673,423,115,98,11,13,0,0,0,0
2012-07-23,4134,3034,1480,743,1119,1126,526,111,222,33,39,6,0,0,0
2012-07-24,3457,2286,5660,570,1500,1304,116,163,377,44,58,4,0,0,0
2012-07-25,1993,4425,5966,772,1518,2266,397,243,300,29,18,9,0,0,0
2012-07-26,1142,2041,6031,600,1448,1171,499,324,292,6,14,3,0,0,0
2012-07-27,1964,2096,4711,880,1509,1164,497,261,218,29,10,6,0,0,0
2012-07-28,1727,2185,1399,801,1282,265,323,172,272,17,2,0,0,1,0
2012-07-29,2166,1889,1136,906,1263,162,340,182,109,18,33,1,0,14,0
2012-07-30,4797,3101,1937,1430,1307,1688,388,121,132,2,4,3,0,6,0
2012-07-31,6715,3356,1814,2618,720,1588,804,252,178,22,54,4,0,8,0
---------
