title
"Number of Jobs Started: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[TACC STAMPEDE] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC SPUR] Number of Jobs Started"
2012-10-24,1987,2786,290,2651,985,3620,583,0,144,69,38,13,0,3
2012-10-25,3397,3912,620,2762,1083,1188,470,0,101,58,32,32,0,1
2012-10-26,3066,2872,168,1345,1078,774,427,0,98,67,21,12,0,17
2012-10-27,9076,2926,20,401,1637,565,318,0,68,38,13,9,0,64
2012-10-28,5727,2344,24,1155,1316,464,373,0,99,36,11,25,0,25
2012-10-29,5134,3908,24,2200,1641,622,552,0,180,72,6,64,0,55
2012-10-30,8965,3085,3320,1224,1079,1186,442,0,120,46,15,21,0,1
2012-10-31,9816,3828,255,2668,1147,483,434,0,138,56,30,77,0,0
2012-11-01,10925,403,16,1631,614,492,586,0,130,68,38,69,0,10
2012-11-02,9513,1022,476,3945,677,489,604,0,133,61,36,47,0,0
2012-11-03,9377,2861,20,2522,491,346,387,0,74,67,30,4,0,0
2012-11-04,10411,3614,12,5148,1436,223,459,0,74,54,11,17,0,0
2012-11-05,8826,2800,4836,2169,1279,600,771,0,305,77,29,43,0,0
2012-11-06,13650,2127,7814,4170,1476,339,620,0,228,48,26,71,0,0
2012-11-07,8293,2432,5470,2625,1364,161,481,0,80,37,29,93,0,0
2012-11-08,8413,1888,9277,1223,1467,295,460,0,49,48,43,40,0,2
2012-11-09,7845,2692,2392,2505,925,696,494,0,62,34,42,27,0,3
2012-11-10,9368,2243,3177,1166,1254,641,442,0,40,120,14,5,0,0
2012-11-11,6647,2427,53,893,1391,384,522,0,66,46,39,13,0,0
2012-11-12,7503,3056,871,1674,1268,698,580,0,155,52,30,54,0,0
2012-11-13,9341,2163,327,2880,1193,633,653,0,202,50,31,37,0,24
2012-11-14,10324,2248,690,3409,733,755,713,0,201,57,39,85,0,10
2012-11-15,8383,2668,1188,1371,1129,630,529,0,393,36,16,68,0,0
2012-11-16,6715,1447,728,792,921,797,895,0,282,48,26,36,0,0
2012-11-17,5433,251,254,1228,1521,492,2025,0,168,99,22,35,0,0
2012-11-18,11418,2343,40,678,850,237,305,0,225,56,4,26,0,0
2012-11-19,10007,2279,192,1746,1206,398,350,0,439,78,169,23,0,1
2012-11-20,9166,1919,27,1711,1353,1773,316,0,420,71,101,73,0,7
2012-11-21,8648,2010,32,2385,1275,3874,299,0,198,54,61,39,0,7
2012-11-22,6981,1589,24,1874,763,5825,145,0,101,24,50,16,0,0
2012-11-23,5808,1503,24,643,879,218,711,0,285,37,16,34,0,0
2012-11-24,7238,1533,24,683,1022,4430,724,0,479,28,0,31,0,2
2012-11-25,9991,1799,491,1408,744,3921,1463,0,109,101,17,27,0,0
2012-11-26,9462,2255,3449,1616,664,3574,560,0,147,126,55,24,0,0
2012-11-27,4239,2264,12540,2351,681,2779,523,0,130,51,81,61,0,0
2012-11-28,14077,704,10000,2254,1205,574,757,0,112,41,142,71,0,11
2012-11-29,10876,555,8776,3379,1300,1505,593,0,120,130,19,50,0,11
2012-11-30,19620,1366,15816,608,1122,905,755,0,246,117,42,32,0,6
2012-12-01,15796,2027,0,1095,971,407,398,0,275,105,41,35,0,0
2012-12-02,10223,1939,0,889,959,1619,738,0,371,50,75,70,0,0
2012-12-03,10416,1328,4,1468,1272,1219,2040,0,306,86,59,29,0,0
2012-12-04,9869,889,0,2042,867,809,1256,0,286,95,48,42,0,3
2012-12-05,5319,2686,0,2691,1165,592,1366,0,260,55,30,62,0,2
2012-12-06,16540,1325,67,1181,1301,452,1391,0,231,69,40,20,0,0
2012-12-07,14080,1728,73,4341,1145,297,1179,0,177,70,62,20,0,5
2012-12-08,4520,1493,4808,3494,651,156,443,0,174,58,50,20,0,4
2012-12-09,6523,1431,20,1729,505,260,761,0,122,47,75,16,0,2
2012-12-10,8075,1346,0,4165,753,456,1829,0,125,82,60,15,0,0
2012-12-11,5234,1776,14,7663,1308,1212,1418,0,226,57,52,25,0,0
2012-12-12,6146,1575,6753,6859,1249,2274,866,0,254,62,101,23,0,2
2012-12-13,3659,1651,1295,2850,1329,2752,1602,0,316,40,135,14,0,2
2012-12-14,4134,1892,5723,3457,1297,2193,1849,0,229,52,155,25,0,0
2012-12-15,5328,838,1205,400,945,1392,1890,0,104,31,69,15,0,0
2012-12-16,8366,1463,0,3813,871,1462,1001,0,117,7,72,19,0,0
2012-12-17,5244,2329,40,1606,1233,348,859,0,239,53,223,32,0,0
2012-12-18,5116,2319,71,1221,1118,199,426,0,235,47,98,47,0,2
2012-12-19,7221,2958,366,824,942,117,542,0,107,22,47,30,0,11
2012-12-20,7234,1058,4,769,852,319,282,0,148,51,33,9,0,0
2012-12-21,15064,1360,8,616,839,143,475,0,284,32,54,3,0,1
2012-12-22,5584,2587,33,489,782,149,378,0,61,16,51,5,0,4
2012-12-23,3825,2046,24,1425,819,233,559,0,129,10,59,20,0,2
2012-12-24,4729,1229,1023,1214,640,141,257,0,69,21,50,15,0,2
2012-12-25,3890,1724,24,261,812,135,365,0,87,19,54,15,0,0
2012-12-26,7464,2581,55,757,1125,388,459,0,91,27,65,13,0,1
2012-12-27,5313,1188,27,997,1019,325,272,0,117,31,90,9,0,1
2012-12-28,2791,1485,24,352,1057,293,197,0,82,24,92,43,0,2
2012-12-29,726,1057,125,261,895,71,150,0,27,14,1,45,0,12
2012-12-30,0,1402,0,229,860,141,267,0,76,71,16,26,0,25
2012-12-31,0,1004,0,508,802,86,142,0,36,39,56,19,0,2
2013-01-01,0,1168,0,752,708,115,211,0,47,34,83,9,0,0
2013-01-02,0,1496,0,2593,1072,279,316,0,138,47,129,48,0,0
2013-01-03,0,1956,0,1065,1506,300,414,0,106,82,194,64,0,0
2013-01-04,1878,1827,2,627,1197,365,519,0,74,63,182,55,0,0
2013-01-05,4536,1949,0,424,1426,162,365,0,78,34,92,30,0,0
2013-01-06,2720,1631,20,1369,767,376,372,0,196,41,133,26,0,0
2013-01-07,4127,2440,176,3013,1371,435,457,7,191,30,310,39,0,0
2013-01-08,2302,2513,15,2177,1400,430,365,751,253,32,90,40,0,0
2013-01-09,3985,2554,166,3056,1525,543,414,762,72,22,124,94,0,0
2013-01-10,6306,1494,532,1334,1836,463,385,872,159,74,125,98,0,0
2013-01-11,4609,2671,504,2171,2210,479,321,1674,84,53,151,107,0,0
2013-01-12,3896,1252,24,614,1314,294,157,471,68,17,96,41,0,0
2013-01-13,5082,2904,24,878,673,438,276,1422,80,61,104,28,0,0
2013-01-14,4098,3485,144,899,1321,570,328,3508,65,123,17,50,0,0
2013-01-15,4921,2947,278,1192,753,623,415,1867,90,59,313,60,0,0
2013-01-16,3516,2772,454,1448,2699,948,288,4122,87,141,203,107,0,0
2013-01-17,6766,3076,126,879,3312,483,408,3499,106,63,138,49,0,0
2013-01-18,5314,4417,346,1022,1730,214,281,3295,142,35,206,34,0,0
2013-01-19,5376,2800,213,702,1884,1016,132,2136,99,1,91,15,0,0
2013-01-20,6005,2325,28,685,1619,325,321,2429,159,25,103,21,0,0
2013-01-21,4358,2640,40,1189,2097,536,267,1813,105,58,88,44,0,0
2013-01-22,4799,3088,6,1178,1315,547,271,0,109,27,134,61,0,0
2013-01-23,4003,2362,588,1864,1150,536,603,1306,78,28,154,43,0,0
2013-01-24,1475,2066,467,2278,1357,584,620,4730,149,25,135,35,0,0
2013-01-25,2248,3107,1217,1471,1202,791,385,5028,83,20,70,29,0,0
2013-01-26,735,2893,48,876,1872,374,182,2830,76,6,99,33,0,0
2013-01-27,610,2596,51,874,1752,436,237,2148,107,38,65,25,0,0
2013-01-28,853,3334,74,1336,1772,242,418,2226,125,25,73,67,0,0
2013-01-29,3527,3938,1220,1159,1134,1024,594,2072,88,31,71,83,0,0
2013-01-30,5434,2494,2739,1600,1328,695,574,6771,156,37,47,105,0,0
2013-01-31,6617,2557,1136,724,1108,609,434,5625,94,44,45,78,0,0
---------
