Day,[OSG] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[CCT LSU SUPERMIC] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started
2016-04-29,63418,17046,4936,666,446,0,496,43,11,0,0,0
2016-04-30,183504,18132,2980,913,134,0,213,36,3,0,0,0
2016-05-01,204991,20920,4808,698,2254,0,124,29,0,0,0,0
2016-05-02,307933,15545,6108,1068,6229,0,172,31,21,0,1,0
2016-05-03,305738,10624,1771,880,321,0,369,45,26,0,0,0
2016-05-04,138103,9164,4898,853,608,0,187,64,39,0,0,0
2016-05-05,100347,13914,3903,886,887,0,54,37,25,0,0,0
2016-05-06,159917,12315,4821,965,717,0,64,91,0,0,0,0
2016-05-07,165738,13709,2571,740,292,0,67,43,0,0,0,0
2016-05-08,315491,17346,2969,720,925,0,54,74,0,0,0,0
2016-05-09,245259,14277,3428,712,972,0,99,88,0,0,0,0
2016-05-10,254339,18255,3915,897,779,0,74,65,15,0,0,0
2016-05-11,239163,20368,4051,866,1220,0,34,52,26,0,0,0
2016-05-12,141116,19669,3483,1331,605,0,49,33,34,0,0,0
2016-05-13,132149,19946,4241,1118,573,0,36,47,16,0,0,0
2016-05-14,131127,4441,2688,371,155,0,40,12,12,0,0,0
2016-05-15,155440,5210,4090,646,578,0,44,28,9,0,0,0
2016-05-16,185463,6351,4421,1110,1428,0,102,42,4,0,0,0
2016-05-17,185835,6607,5323,1351,470,0,44,74,14,0,0,0
2016-05-18,127515,7763,3364,1263,1110,0,120,119,13,0,0,0
2016-05-19,134575,9667,3966,2246,830,0,277,121,4,0,0,0
2016-05-20,120307,4982,3628,1354,433,0,140,104,9,0,0,0
2016-05-21,77742,2887,2495,1104,17,0,38,14,3,0,0,0
2016-05-22,90472,5679,3860,671,581,0,173,27,0,0,0,0
2016-05-23,73675,5818,4334,589,1092,0,73,8,1,0,0,0
2016-05-24,45074,5784,5123,937,943,0,170,60,2,0,0,0
2016-05-25,62380,5740,3853,1106,922,0,117,56,27,0,0,0
2016-05-26,58909,6349,3466,1516,822,0,143,101,17,0,0,0
2016-05-27,122978,5947,3330,822,311,0,45,77,20,0,0,0
2016-05-28,69364,3948,2257,614,99,0,47,54,2,0,0,0
2016-05-29,84993,4878,3274,643,676,0,40,75,2,0,0,0
2016-05-30,79229,3554,4129,885,793,0,114,132,6,0,0,0
2016-05-31,56984,3736,3946,754,976,0,55,91,8,0,0,0
2016-06-01,59041,3322,3870,801,627,0,93,168,42,0,0,0
2016-06-02,70557,10043,4061,883,985,0,42,89,44,0,0,0
2016-06-03,76113,6812,3516,854,634,0,84,241,52,0,0,0
2016-06-04,101482,5410,1884,621,102,0,25,99,9,0,0,0
2016-06-05,47843,6912,3013,1007,203,0,133,102,18,0,0,0
2016-06-06,102669,5757,2534,1195,273,0,79,207,43,0,0,0
2016-06-07,104765,5814,2556,1005,373,0,44,233,28,0,0,0
2016-06-08,92801,4386,2169,1467,221,0,30,186,19,0,0,0
2016-06-09,101303,7014,1524,887,98,0,46,84,16,0,0,0
2016-06-10,138676,3650,2332,744,75,0,20,64,17,0,0,0
2016-06-11,69619,1323,1759,465,193,0,31,112,6,0,0,0
2016-06-12,64580,5088,2107,521,97,0,53,85,7,1,0,0
2016-06-13,195829,13460,2837,1166,165,0,70,95,4,0,0,0
2016-06-14,69736,6477,2438,947,172,0,43,98,14,0,0,0
2016-06-15,103090,6484,2252,1099,786,0,299,73,16,0,0,0
2016-06-16,96552,7745,1659,1223,1206,0,39,87,14,0,0,0
2016-06-17,118508,8712,2004,984,614,0,122,232,16,0,0,0
2016-06-18,160958,9503,2278,379,174,0,80,114,7,0,0,0
2016-06-19,215049,964,1605,127,1201,0,83,29,30,0,0,0
2016-06-20,203659,4161,2818,847,1103,5,233,61,10,0,0,0
2016-06-21,86922,7308,2725,911,1651,92,297,98,17,0,0,0
2016-06-22,67015,10203,3321,680,1768,420,165,72,21,0,0,0
2016-06-23,75631,5678,2261,694,1888,613,87,84,51,0,0,0
2016-06-24,87063,5791,2764,1093,592,850,23,96,22,18,0,0
2016-06-25,112576,3973,1808,375,189,202,33,87,5,8,0,0
2016-06-26,84485,1754,2267,439,949,295,44,44,12,3,0,0
2016-06-27,27027,4071,3318,897,1235,1363,119,68,21,3,0,1
2016-06-28,2382,3568,2541,648,1178,1197,103,80,28,7,0,0
2016-06-29,96264,3952,2552,832,757,194,83,67,17,9,0,0
2016-06-30,47435,3813,3017,628,26,834,74,85,30,10,0,0
2016-07-01,40695,15937,3086,719,0,814,73,76,17,8,0,1
2016-07-02,44105,18365,1658,229,0,97,54,31,15,15,0,10
2016-07-03,66920,16927,2264,231,0,80,54,46,1,16,0,0
2016-07-04,68635,10583,2245,271,0,525,68,73,4,5,0,0
2016-07-05,106762,21816,2855,577,0,57,105,47,16,3,0,0
2016-07-06,105777,7283,2417,799,0,0,5,110,15,0,0,0
2016-07-07,109703,8592,2725,693,0,0,0,129,15,0,0,0
2016-07-08,47096,5637,2370,801,0,536,0,86,7,18,0,0
2016-07-09,42790,10314,1977,523,0,174,0,77,1,1,0,0
2016-07-10,83492,15301,1894,465,0,231,0,95,26,3,0,0
2016-07-11,80547,7346,3315,762,0,354,0,81,6,26,0,0
2016-07-12,49360,7673,3497,659,0,437,0,94,23,22,0,3
2016-07-13,22735,10659,3841,1088,0,1076,0,72,21,14,0,0
2016-07-14,19228,11657,4049,1054,0,1103,0,73,7,7,0,0
2016-07-15,28310,12980,2800,511,0,1428,0,78,7,17,0,0
2016-07-16,34353,9790,2266,412,0,1566,0,72,6,7,0,0
2016-07-17,19696,11514,1952,374,0,666,0,70,0,24,0,0
2016-07-18,56513,7753,3710,843,0,1120,0,48,2,6,0,0
2016-07-19,71849,511,2066,674,0,3316,0,139,6,13,0,0
2016-07-20,53350,6153,2446,1218,0,1057,0,55,7,28,0,0
2016-07-21,45412,13052,3957,1566,0,902,10,67,4,11,0,0
2016-07-22,87428,7624,11824,866,0,546,41,53,4,18,0,0
2016-07-23,131993,15342,3725,618,0,758,82,74,14,40,0,0
2016-07-24,132575,11080,2002,409,0,964,74,70,0,11,0,0
2016-07-25,167636,9763,6284,1078,0,1025,868,60,0,45,0,0
2016-07-26,79237,11241,9266,867,0,1975,495,72,2,14,0,0
2016-07-27,59151,6099,9206,740,0,431,599,38,3,54,0,0
2016-07-28,48710,15281,475,1006,0,749,201,1,0,15,0,2
2016-07-29,118645,11904,1563,1422,0,63,56,22,9,0,0,1
2016-07-30,155687,12263,2050,475,0,14,236,50,0,2,0,0
2016-07-31,274837,4925,2467,189,0,1040,408,57,1,2,0,6
