title,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Wall Time,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,
Job Size =  5 - 8,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
9/26/2015,0.0267,84.5044,61.1534,527.9,618.8605,1056.5883,16096.6011,,,,,,,,,,
9/27/2015,0.3809,61.8125,91.74,836.6022,959.4702,2476.8983,13706.7606,,,,,,,,,,
9/28/2015,0.9178,99.9132,133.7694,2526.99,2189.9078,3917.3156,13789.8167,,,,,,,,,,
9/29/2015,0.6552,60.04,200.6519,1605.4106,1400.9294,2171.6117,20897.7911,,,,,,,,,,
9/30/2015,0.54,81.9667,144.7622,1535.514,828.5539,2920.0467,28688.6879,,,,,,,,,,
10/1/2015,0.38,64.7658,91.3316,1483.5689,634.5878,2130.1478,27070.92,,,,,,,,,,
10/2/2015,1.0141,67.9844,133.42,619.4422,679.0377,2337.3188,25469.9144,,,,,,,,,,
10/3/2015,0.4933,40.1978,91.8244,501.2257,472.37,1988.5706,26108.0972,,,,,,,,,,
10/4/2015,0.32,82.2194,58.1845,401.9511,406.1861,1915.7162,22315.3595,,,,,,,,,,
10/5/2015,1.3644,85.9506,100.1378,411.1511,1230.0845,1650.0822,20034.7717,,,,,,,,,,
10/6/2015,1.2422,43.6955,70.7495,454.8666,1417.8756,2396.4772,16053.4933,,,,,,,,,,
10/7/2015,1.1033,60.1766,95.8356,696.4967,689.9572,2285.42,14322.5655,,,,,,,,,,
10/8/2015,1.0483,32.2405,57.7978,533.3727,1226.7806,2167.2167,12718.0611,,,,,,,,,,
10/9/2015,1.4067,23.2992,64.34,375.8156,850.2311,1367.2995,11956.9205,,,,,,,,,,
10/10/2015,0.0556,24.1511,40.0933,391.1303,439.495,1049.1067,12610.9761,,,,,,,,,,
10/11/2015,0.9667,13.2056,23.0556,285.7934,647.6833,534.0244,10437.8623,,,,,,,,,,
10/12/2015,0.38,65.4933,135.0067,636.7192,525.5533,1139.2572,8999.3939,,,,,,,,,,
10/13/2015,0.0822,70.7755,42.4089,253.8825,547.3053,1596.395,11438.4645,,,,,,,,,,
10/14/2015,0.6878,48.7658,64.6511,357.0911,1224.4073,1319.2909,11751.7633,,,,,,,,,,
10/15/2015,0.5044,62.91,89.3589,549.2661,1034.5766,1123.1247,12173.1788,,,,,,,,,,
10/16/2015,0.7444,27.7078,20.8778,312.8511,815.8422,1360.4,13807.9322,,,,,,,,,,
10/17/2015,0.1667,24.8911,21.5556,119.4127,126.0422,673.7289,10852.6255,,,,,,,,,,
10/18/2015,0.1644,35.28,86.57,56.2756,251.3806,377.3545,9112.3678,,,,,,,,,,
10/19/2015,0.4667,120.4994,202.1256,574.5189,393.1655,1120.2039,11488.4099,,,,,,,,,,
10/20/2015,0.9089,73.0077,110.5978,625.3555,904.8716,1015.341,13848.6718,,,,,,,,,,
10/21/2015,0.4361,35.6767,60.8489,473.5516,1049.7067,931.4711,14653.5299,,,,,,,,,,
10/22/2015,0.8775,44.6622,63.98,725.3489,1542.1817,1345.1072,17325.0106,,,,,,,,,,
10/23/2015,0.4089,29.1733,78.5467,669.3661,1063.84,1851.6989,15918.3845,,,,,,,,,,
10/24/2015,0.2689,11.9422,40.1339,133.9392,586.3733,911.0405,14096.3223,,,,,,,,,,
10/25/2015,0.1578,26.5322,79.4133,284.0689,570.0878,605.4267,12375.574,,,,,,,,,,
10/26/2015,0.8278,54.1761,58.5956,469.4645,830.985,1211.0867,11717.6473,,,,,,,,,,
10/27/2015,0.5067,49.1422,48.8822,215.9367,705.7756,937.9511,14433.455,,,,,,,,,,
10/28/2015,0.4577,73.7344,61.3489,516.3101,1884.4722,1210.6406,16173.1717,,,,,,,,,,
10/29/2015,0.5639,51.0561,87.77,831.9916,1561.5306,1898.4355,20226.0623,,,,,,,,,,
10/30/2015,0.9011,63.4339,96.8578,754.9878,1016.3244,1543.6761,22148.1633,,,,,,,,,,
10/31/2015,0.4133,26.5933,14.4661,222.5133,506.9378,686.1222,19584.195,,,,,,,,,,
11/1/2015,0.2367,24.7673,15.1583,146.5511,306.4828,251.76,15865.8166,,,,,,,,,,
11/2/2015,1.2178,95.9484,128.3511,413.9312,630.0255,584.2344,18924.8839,,,,,,,,,,
11/3/2015,0.7739,85.8414,131.4345,730.505,848.2939,1769.1799,21237.899,,,,,,,,,,
11/4/2015,0.8228,82.1311,84.2633,811.1134,1231.8244,1777.3084,23115.6873,,,,,,,,,,
11/5/2015,1.1489,72.5847,150.1894,638.5628,1259.2712,1189.8506,25328.3451,,,,,,,,,,
11/6/2015,0.4456,104.1919,106.0139,1033.0584,720.5022,991.0406,29085.0956,,,,,,,,,,
11/7/2015,0.3044,16.9873,66.5106,127.5244,674.9995,702.6867,29231.2873,,,,,,,,,,
11/8/2015,0.6322,23.6527,44.1761,267.5305,522.0761,635.079,24588.6038,,,,,,,,,,
11/9/2015,1.4067,60.0883,147.7673,457.9156,609.7778,1932.4294,21218.8744,,,,,,,,,,
11/10/2015,0.6483,78.2033,160.7511,867.7345,810.9889,1694.2517,25877.4889,,,,,,,,,,
11/11/2015,0.9333,119.0895,201.06,937.93,1067.5845,1604.2389,25351.1778,,,,,,,,,,
11/12/2015,0.4778,121.1884,241.1034,1060.2567,890.1294,2016.8828,21927.0394,,,,,,,,,,
11/13/2015,0.8422,42.7822,134.4555,517.9435,797.7539,1150.7555,20660.455,,,,,,,,,,
11/14/2015,0.3888,27.8512,95.9267,761.2684,694.3766,1137.4589,20376.9011,,,,,,,,,,
11/15/2015,0.3066,39.5333,150.9622,309.3211,463.695,795.585,17094.4228,,,,,,,,,,
11/16/2015,0.8495,49.2027,71.9867,378.3445,983.9622,2194.6478,21081.8433,,,,,,,,,,
11/17/2015,0.7933,86.8589,166.921,742.5416,1399.7534,1858.2227,23124.0372,,,,,,,,,,
11/18/2015,1.4361,71.8373,182.1288,886.4755,1325.0156,2138.755,21098.5867,,,,,,,,,,
11/19/2015,0.6166,54.0021,83.4289,734.1261,1603.0756,1764.8989,16830.4984,,,,,,,,,,
11/20/2015,0.5406,68.2469,123.0838,705.7347,1250.175,2147.1594,15739.9539,,,,,,,,,,
11/21/2015,0.2133,43.2797,122.018,447.8617,912.0861,524.9578,13627.8428,,,,,,,,,,
11/22/2015,0.3733,86.1105,46.5467,416.1209,748.7711,507.0578,13115.7922,,,,,,,,,,
11/23/2015,0.98,101.8469,124.4961,1109.8917,891.8006,968.7923,12145.1906,,,,,,,,,,
11/24/2015,0.7266,99.1322,261.0239,1351.9424,1635.7855,2288.4344,13974.7183,,,,,,,,,,
11/25/2015,1.0111,114.6106,132.5328,875.4812,2618.905,2627.3122,19431.5206,,,,,,,,,,
11/26/2015,0.7886,74.3775,93.8306,703.7111,1582.0973,2367.9378,22535.5549,,,,,,,,,,
11/27/2015,0.4356,49.3669,92.5982,714.135,685.5005,2051.4283,20074.7895,,,,,,,,,,
11/28/2015,0.3489,39.9984,17.4794,327.6686,464.0077,1286.4406,22217.2517,,,,,,,,,,
11/29/2015,0.0867,28.9262,69.9072,371.4343,963.3578,772.3894,20029.1501,,,,,,,,,,
11/30/2015,0.4422,31.8557,77.2184,595.6466,1452.3944,4586.9383,17197.9212,,,,,,,,,,
12/1/2015,0.24,34.285,99.0466,1646.8363,1583.5634,1617.1561,15901.5778,,,,,,,,,,
12/2/2015,0.5311,38.5294,64.4889,726.7039,1033.3588,3649.9534,14348.8761,,,,,,,,,,
12/3/2015,0.3867,31.4867,93.6756,575.2644,789.8199,1650.0733,10873.9038,,,,,,,,,,
12/4/2015,0.2,44.08,353.3444,656.2531,576.3067,1438.4756,9975.1573,,,,,,,,,,
12/5/2015,0.0533,15.9286,37.1689,405.58,451.6089,1071.1667,9540.0606,,,,,,,,,,
12/6/2015,0.3289,19.1133,45.0644,601.54,489.031,773.2334,9423.1845,,,,,,,,,,
12/7/2015,1.3333,85.5467,159.2667,432.68,819.08,935.7756,10962.88,,,,,,,,,,
12/8/2015,0.6911,37.6022,87.9889,559.5511,1347.2133,1364.0822,10028.25,,,,,,,,,,
12/9/2015,1.3061,287.3395,123.1439,519.3356,752.44,1631.9644,9210.3644,,,,,,,,,,
12/10/2015,1.1156,79.1971,285.5044,1283.7923,1021.5689,1617.5161,10859.0656,,,,,,,,,,
12/11/2015,0.5689,35.7467,200.0516,1159.9685,693.9384,1214.4583,13903.6228,,,,,,,,,,
12/12/2015,0.1861,18.7356,51.4356,380.2384,536.5356,549.46,12572.3201,,,,,,,,,,
12/13/2015,0.4039,21.3078,39.36,490.3133,538.8044,1690.0178,18195.394,,,,,,,,,,
12/14/2015,0.0956,50.0006,162.4094,815.5333,1667.829,1772.1901,15970.7689,,,,,,,,,,
12/15/2015,0.7366,47.8928,342.9055,1301.176,1657.3188,5734.6977,17258.0139,,,,,,,,,,
12/16/2015,0.3178,37.6073,158.7805,1455.524,1068.5611,3270.4328,15391.5333,,,,,,,,,,
12/17/2015,0.2089,49.8961,172.5389,1171.5411,1185.8756,803.2978,14162.2534,,,,,,,,,,
12/18/2015,0.2933,33.9622,257.0411,865.6722,872.9689,1041.1961,12177.0683,,,,,,,,,,
12/19/2015,0.2601,15.7523,163.6267,1000.2594,135.1689,362.6689,11177.5739,,,,,,,,,,
12/20/2015,0.1144,181.2002,168.41,499.9567,183.3778,278.9622,10918.6477,,,,,,,,,,
12/21/2015,0.235,203.295,393.7545,880.8583,414.2533,1009.0333,11253.8827,,,,,,,,,,
12/22/2015,0.3467,181.4905,96.585,605.5622,783.3356,1235.1167,11544.6772,,,,,,,,,,
12/23/2015,0.4184,43.5244,34.8289,145.0573,1124.8778,1757.275,13053.3739,,,,,,,,,,
12/24/2015,0.3333,19.9884,55.4444,170.7344,271.4111,804.3655,11424.5422,,,,,,,,,,
12/25/2015,0.2111,36.0617,44.6389,276.4444,653.3911,367.3023,8931.5533,,,,,,,,,,
12/26/2015,0.1506,234.15,384.4055,533.1355,654.7711,317.9533,7139.7939,,,,,,,,,,
12/27/2015,0.1022,192.8073,199.6,374.4461,131.5956,469.0889,6612.2194,,,,,,,,,,
12/28/2015,0.18,120.0705,214.5484,598.8694,461.86,1302.1228,8975.0889,,,,,,,,,,
12/29/2015,0.3134,105.6322,537.694,757.7584,825.5044,2002.0127,11439.1789,,,,,,,,,,
12/30/2015,0.0467,32.0351,481.1989,608.7105,467.3811,1083.0777,11502.6194,,,,,,,,,,
12/31/2015,0.3472,16.465,75.1122,225.005,339.1311,1571.8751,11311.3989,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,
