title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  9 - 64,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
2015-08-26,397,984,135,503,90,108,326,,2543,15.611482501,38.6944553677,5.308690523,19.7797876524,3.5391270153,4.2469524184,12.8195045222
2015-08-27,241,848,123,387,105,133,318,,2155,11.1832946636,39.3503480278,5.7076566125,17.9582366589,4.8723897912,6.1716937355,14.7563805104
2015-08-28,297,878,141,411,122,139,328,,2316,12.8238341969,37.9101899827,6.0880829016,17.7461139896,5.2677029361,6.0017271157,14.1623488774
2015-08-29,161,613,112,329,60,90,276,,1641,9.8110907983,37.3552711761,6.8251066423,20.0487507617,3.6563071298,5.4844606947,16.8190127971
2015-08-30,279,757,84,304,120,142,184,,1870,14.9197860963,40.4812834225,4.4919786096,16.256684492,6.4171122995,7.5935828877,9.8395721925
2015-08-31,349,1539,123,386,86,76,181,,2740,12.7372262774,56.1678832117,4.4890510949,14.0875912409,3.1386861314,2.7737226277,6.6058394161
2015-09-01,276,861,112,430,92,144,318,,2233,12.3600537394,38.5579937304,5.0156739812,19.2566054635,4.1200179131,6.4487236901,14.2409314823
2015-09-02,273,881,205,410,121,170,246,,2306,11.8386816999,38.2046834345,8.8898525585,17.7797051171,5.2471812663,7.3720728534,10.6678230703
2015-09-03,9,48,11,67,2,2,3,,142,6.338028169,33.8028169014,7.7464788732,47.1830985915,1.4084507042,1.4084507042,2.1126760563
2015-09-04,317,524,141,373,148,98,206,,1807,17.5428887659,28.9983397897,7.8029883785,20.6419479801,8.1903707803,5.4233536248,11.4001106807
2015-09-05,200,957,75,315,115,138,124,,1924,10.395010395,49.7401247401,3.8981288981,16.3721413721,5.9771309771,7.1725571726,6.4449064449
2015-09-06,259,1129,63,352,108,126,231,,2268,11.4197530864,49.7795414462,2.7777777778,15.5202821869,4.7619047619,5.5555555556,10.1851851852
2015-09-07,224,503,95,302,68,215,180,,1587,14.1146817895,31.6950220542,5.9861373661,19.029615627,4.2848141147,13.5475740391,11.3421550095
2015-09-08,492,1090,138,308,103,165,207,,2503,19.6564123052,43.5477427087,5.5133839393,12.3052337195,4.1150619257,6.5920894926,8.2700759089
2015-09-09,491,671,166,348,130,99,145,,2050,23.9512195122,32.7317073171,8.0975609756,16.9756097561,6.3414634146,4.8292682927,7.0731707317
2015-09-10,396,1231,250,459,85,103,255,,2779,14.2497301187,44.2965095358,8.9960417416,16.5167326376,3.0586541922,3.7063691976,9.1759625765
2015-09-11,411,2451,195,319,73,228,186,,3863,10.6393994305,63.4480973337,5.0478902407,8.2578307015,1.8897230132,5.9021485892,4.8149106912
2015-09-12,184,701,70,240,90,131,233,,1649,11.1582777441,42.5106124924,4.2449969679,14.5542753184,5.4578532444,7.9442086113,14.1297756216
2015-09-13,393,1397,121,157,122,122,128,,2440,16.106557377,57.2540983607,4.9590163934,6.4344262295,5,5,5.2459016393
2015-09-14,481,1389,134,257,134,112,123,,2630,18.288973384,52.8136882129,5.0950570342,9.7718631179,5.0950570342,4.2585551331,4.6768060837
2015-09-15,502,627,115,290,109,88,307,,2038,24.6319921492,30.7654563297,5.6427870461,14.2296368989,5.3483807655,4.3179587831,15.0637880275
2015-09-16,500,1905,131,266,111,88,136,,3137,15.9387950271,60.7268090532,4.1759642971,8.4794389544,3.538412496,2.8052279248,4.3353522474
2015-09-17,408,2367,119,345,117,71,213,,3640,11.2087912088,65.0274725275,3.2692307692,9.478021978,3.2142857143,1.9505494505,5.8516483516
2015-09-18,387,1820,136,240,86,73,207,,2949,13.1230925738,61.7158358766,4.6117327908,8.1383519837,2.9162427942,2.475415395,7.019328586
2015-09-19,221,292,71,200,106,58,154,,1102,20.054446461,26.497277677,6.442831216,18.1488203267,9.6188747731,5.2631578947,13.9745916515
2015-09-20,165,286,130,181,91,124,175,,1152,14.3229166667,24.8263888889,11.2847222222,15.7118055556,7.8993055556,10.7638888889,15.1909722222
2015-09-21,408,1714,149,239,162,107,268,,3047,13.3902198884,56.2520511979,4.8900557926,7.843780768,5.3167049557,3.5116508041,8.7955365934
2015-09-22,565,1562,228,348,146,149,149,,3147,17.9536066095,49.6345726088,7.2449952336,11.0581506196,4.6393390531,4.7346679377,4.7346679377
2015-09-23,356,955,256,393,89,116,321,,2486,14.3201930813,38.4151246983,10.2976669348,15.8085277554,3.5800482703,4.6661303298,12.91230893
2015-09-24,349,773,177,636,108,129,156,,2328,14.9914089347,33.204467354,7.6030927835,27.3195876289,4.6391752577,5.5412371134,6.7010309278
2015-09-25,477,617,86,507,135,94,235,,2151,22.1757322176,28.6843328684,3.9981403998,23.570432357,6.2761506276,4.370060437,10.9251510925
2015-09-26,184,521,101,306,87,108,181,,1488,12.3655913978,35.0134408602,6.7876344086,20.564516129,5.8467741935,7.2580645161,12.1639784946
2015-09-27,288,759,214,258,107,168,144,,1938,14.8606811146,39.1640866873,11.0423116615,13.3126934985,5.5211558308,8.6687306502,7.4303405573
2015-09-28,903,1429,481,455,100,116,148,,3632,24.8623348018,39.3447136564,13.2433920705,12.5275330396,2.7533039648,3.1938325991,4.0748898678
2015-09-29,333,355,61,240,11,35,26,,1061,31.3854853911,33.4590009425,5.7492931197,22.6201696513,1.0367577757,3.2987747408,2.4505183789
2015-09-30,333,558,146,206,148,161,121,,1673,19.904363419,33.353257621,8.7268380155,12.3132098027,8.8463837418,9.6234309623,7.2325164375
2015-10-01,326,632,156,307,110,120,234,,1885,17.2944297082,33.5278514589,8.275862069,16.2864721485,5.8355437666,6.3660477454,12.4137931034
2015-10-02,300,650,117,517,130,181,188,,2083,14.4023043687,31.2049927988,5.6168987038,24.8199711954,6.2409985598,8.6893903024,9.0254440711
2015-10-03,217,413,65,380,109,107,212,,1503,14.4377910845,27.4783765802,4.3246839654,25.2827677977,7.252162342,7.119095143,14.1051230872
2015-10-04,319,462,74,380,85,56,249,,1625,19.6307692308,28.4307692308,4.5538461538,23.3846153846,5.2307692308,3.4461538462,15.3230769231
2015-10-05,542,1044,126,465,145,98,281,,2701,20.0666419845,38.6523509811,4.6649389115,17.215845983,5.3683820807,3.6282858201,10.4035542392
2015-10-06,473,808,171,655,192,72,159,,2530,18.6956521739,31.9367588933,6.7588932806,25.8893280632,7.5889328063,2.8458498024,6.2845849802
2015-10-07,710,738,138,449,135,150,245,,2565,27.6803118908,28.7719298246,5.3801169591,17.5048732943,5.2631578947,5.8479532164,9.5516569201
2015-10-08,489,690,185,332,147,110,256,,2209,22.136713445,31.2358533273,8.3748302399,15.0294250792,6.6545948393,4.9796287913,11.588954278
2015-10-09,329,682,122,393,166,98,234,,2024,16.2549407115,33.6956521739,6.0276679842,19.4169960474,8.2015810277,4.8418972332,11.5612648221
2015-10-10,320,499,130,382,80,104,262,,1777,18.0078784468,28.081035453,7.315700619,21.4969048959,4.5019696117,5.8525604952,14.7439504783
2015-10-11,226,415,24,156,70,17,42,,950,23.7894736842,43.6842105263,2.5263157895,16.4210526316,7.3684210526,1.7894736842,4.4210526316
2015-10-12,735,945,200,462,189,61,204,,2796,26.2875536481,33.7982832618,7.1530758226,16.5236051502,6.7596566524,2.1816881259,7.2961373391
2015-10-13,895,880,95,356,160,77,218,,2681,33.3830660201,32.8235732935,3.5434539351,13.2786273778,5.967922417,2.8720626632,8.1312942932
2015-10-14,750,871,147,454,241,150,237,,2850,26.3157894737,30.5614035088,5.1578947368,15.9298245614,8.4561403509,5.2631578947,8.3157894737
2015-10-15,504,834,265,472,124,124,153,,2476,20.3554119548,33.6833602585,10.7027463651,19.0630048465,5.0080775444,5.0080775444,6.1793214863
2015-10-16,566,825,246,443,233,169,204,,2686,21.0722263589,30.7148175726,9.1586001489,16.4929262844,8.6746090841,6.2918838421,7.5949367089
2015-10-17,342,412,97,342,150,118,264,,1725,19.8260869565,23.884057971,5.6231884058,19.8260869565,8.6956521739,6.8405797101,15.3043478261
2015-10-18,557,560,121,236,214,103,226,,2017,27.6152702033,27.7640059494,5.9990084284,11.7005453644,10.6098165592,5.1065939514,11.2047595439
2015-10-19,285,581,270,364,218,205,90,,2013,14.1579731744,28.8623944362,13.4128166915,18.0824639841,10.8296075509,10.1838052658,4.4709388972
2015-10-20,209,568,221,747,183,116,190,,2234,9.3554162936,25.4252461952,9.8925693823,33.4377797672,8.1915846016,5.1924798568,8.5049239033
2015-10-21,864,839,248,631,87,249,133,,3051,28.3185840708,27.4991805965,8.1284824648,20.6817436906,2.8515240905,8.1612586037,4.3592264831
2015-10-22,1677,733,306,544,107,196,193,,3756,44.6485623003,19.5154419595,8.1469648562,14.4834930777,2.8487752929,5.2183173589,5.1384451544
2015-10-23,709,784,252,510,118,229,158,,2760,25.6884057971,28.4057971014,9.1304347826,18.4782608696,4.2753623188,8.2971014493,5.7246376812
2015-10-24,182,325,456,253,59,176,185,,1636,11.1246943765,19.8655256724,27.8728606357,15.4645476773,3.6063569682,10.7579462103,11.3080684597
2015-10-25,472,484,240,302,108,188,230,,2024,23.3201581028,23.9130434783,11.8577075099,14.9209486166,5.3359683794,9.2885375494,11.3636363636
2015-10-26,797,659,221,375,121,146,192,,2511,31.740342493,26.244524094,8.8012743927,14.9342891278,4.8187972919,5.8144165671,7.6463560335
2015-10-27,577,763,201,352,170,193,153,,2409,23.9518472395,31.6728933167,8.3437110834,14.6118721461,7.0568700706,8.0116230801,6.3511830635
2015-10-28,669,842,238,456,140,133,203,,2681,24.9533756061,31.4061917195,8.8772845953,17.0085788885,5.2219321149,4.9608355091,7.5718015666
2015-10-29,576,651,227,373,162,252,127,,2368,24.3243243243,27.4915540541,9.5861486486,15.7516891892,6.8412162162,10.6418918919,5.3631756757
2015-10-30,392,609,140,337,150,140,184,,1952,20.0819672131,31.1987704918,7.1721311475,17.2643442623,7.6844262295,7.1721311475,9.4262295082
2015-10-31,281,496,71,210,126,156,131,,1471,19.1026512576,33.7185588035,4.8266485384,14.2760027192,8.5656016315,10.6050305914,8.9055064582
2015-11-01,298,563,157,214,103,83,136,,1554,19.1763191763,36.2290862291,10.102960103,13.7709137709,6.6280566281,5.3410553411,8.7516087516
2015-11-02,627,846,126,398,125,63,93,,2278,27.524143986,37.1378402107,5.531167691,17.4714661984,5.4872695347,2.7655838455,4.0825285338
2015-11-03,157,259,58,115,16,39,82,,726,21.6253443526,35.6749311295,7.9889807163,15.8402203857,2.2038567493,5.3719008264,11.2947658402
2015-11-04,497,954,324,454,185,114,69,,2597,19.1374663073,36.7346938776,12.4759337697,17.481709665,7.1236041586,4.3896804005,2.6569118213
2015-11-05,975,947,272,506,117,115,154,,3086,31.5942968244,30.6869734284,8.8139987038,16.3966299417,3.7913156189,3.7265068049,4.9902786779
2015-11-06,627,947,224,650,159,69,176,,2852,21.98457223,33.2047685835,7.8541374474,22.7910238429,5.5750350631,2.4193548387,6.1711079944
2015-11-07,358,439,111,487,112,106,169,,1782,20.0897867565,24.6352413019,6.228956229,27.3288439955,6.2850729517,5.948372615,9.4837261504
2015-11-08,340,601,255,585,69,75,325,,2250,15.1111111111,26.7111111111,11.3333333333,26,3.0666666667,3.3333333333,14.4444444444
2015-11-09,551,1142,292,273,111,43,253,,2665,20.6754221388,42.851782364,10.95684803,10.243902439,4.1651031895,1.6135084428,9.4934333959
2015-11-10,313,808,295,438,136,104,148,,2242,13.960749331,36.039250669,13.1578947368,19.5361284567,6.0660124888,4.6387154326,6.6012488849
2015-11-11,529,953,213,301,130,101,253,,2480,21.3306451613,38.4274193548,8.5887096774,12.1370967742,5.2419354839,4.0725806452,10.2016129032
2015-11-12,312,704,186,386,161,110,220,,2079,15.0072150072,33.8624338624,8.9466089466,18.5666185666,7.7441077441,5.291005291,10.582010582
2015-11-13,472,939,148,372,183,93,150,,2357,20.0254560882,39.8387781078,6.2791684345,15.7827747136,7.7641069156,3.9456936784,6.3640220619
2015-11-14,475,503,108,455,86,101,216,,1944,24.4341563786,25.8744855967,5.5555555556,23.4053497942,4.4238683128,5.195473251,11.1111111111
2015-11-15,751,558,172,469,151,142,183,,2426,30.9563066777,23.0008244023,7.0898598516,19.3322341303,6.2242374279,5.8532563891,7.5432811212
2015-11-16,534,682,222,788,131,106,128,,2591,20.6098031648,26.3218834427,8.5681204168,30.412967966,5.0559629487,4.0910845234,4.9401775376
2015-11-17,437,1268,171,520,159,107,189,,2851,15.3279551035,44.4756225886,5.9978954753,18.2392143108,5.5769905296,3.7530690986,6.6292528937
2015-11-18,345,987,172,527,162,108,215,,2516,13.7122416534,39.2289348172,6.8362480127,20.9459459459,6.4387917329,4.2925278219,8.5453100159
2015-11-19,451,900,129,664,135,124,169,,2572,17.534992224,34.9922239502,5.0155520995,25.8164852255,5.2488335925,4.8211508554,6.5707620529
2015-11-20,317,972,153,490,160,171,160,,2423,13.0829550144,40.1155592241,6.3144861742,20.2228642179,6.6033842344,7.0573669005,6.6033842344
2015-11-21,268,917,65,386,123,118,221,,2098,12.7740705434,43.708293613,3.0981887512,18.3984747378,5.8627264061,5.6244041945,10.5338417541
2015-11-22,309,826,107,418,164,104,284,,2212,13.9692585895,37.3417721519,4.8372513562,18.896925859,7.4141048825,4.7016274864,12.8390596745
2015-11-23,693,1699,171,335,141,188,349,,3576,19.3791946309,47.5111856823,4.7818791946,9.3680089485,3.9429530201,5.2572706935,9.75950783
2015-11-24,292,1159,140,442,74,157,389,,2653,11.0064078402,43.6863927629,5.2770448549,16.6603844704,2.7892951376,5.917828873,14.6626460611
2015-11-25,1479,1045,104,420,138,97,193,,3476,42.5489067894,30.0632911392,2.9919447641,12.082853855,3.9700805524,2.7905638665,5.5523590334
2015-11-26,1339,806,81,340,154,113,254,,3087,43.3754454163,26.1094914156,2.6239067055,11.0139293813,4.9886621315,3.6605118238,8.228053126
2015-11-27,1895,1107,93,229,67,99,251,,3741,50.6549051056,29.5910184443,2.4859663192,6.1213579257,1.7909649826,2.646351243,6.7094359797
2015-11-28,145,1009,111,215,76,74,233,,1863,7.7831454643,54.1599570585,5.9581320451,11.5405260333,4.0794417606,3.9720880301,12.5067096082
2015-11-29,171,1236,150,349,83,84,215,,2288,7.4737762238,54.020979021,6.5559440559,15.2534965035,3.6276223776,3.6713286713,9.3968531469
2015-11-30,392,1371,171,480,144,65,299,,2922,13.4154688569,46.9199178645,5.8521560575,16.4271047228,4.9281314168,2.2245037645,10.2327173169
2015-12-01,985,1636,300,493,169,174,236,,3993,24.6681692963,40.9717004758,7.513148009,12.3466065615,4.2324067117,4.3576258452,5.9103431004
2015-12-02,431,1614,232,496,141,180,316,,3410,12.6392961877,47.3313782991,6.8035190616,14.5454545455,4.1348973607,5.2785923754,9.2668621701
2015-12-03,660,1127,211,346,236,140,175,,2895,22.7979274611,38.9291882556,7.2884283247,11.9516407599,8.1519861831,4.8359240069,6.0449050086
2015-12-04,413,1126,324,429,96,116,303,,2807,14.7132169576,40.1140007125,11.5425721411,15.2832205201,3.4200213751,4.1325258283,10.7944424653
2015-12-05,357,915,185,316,117,140,348,,2378,15.0126156434,38.4777123633,7.779646762,13.2884777124,4.9201009251,5.8873002523,14.6341463415
2015-12-06,392,1380,117,279,119,89,319,,2695,14.5454545455,51.2059369202,4.3413729128,10.3525046382,4.4155844156,3.3024118738,11.8367346939
2015-12-07,545,2215,238,439,89,64,310,,3900,13.9743589744,56.7948717949,6.1025641026,11.2564102564,2.2820512821,1.641025641,7.9487179487
2015-12-08,507,497,87,291,36,16,84,,1518,33.3992094862,32.7404479578,5.7312252964,19.1699604743,2.371541502,1.0540184453,5.5335968379
2015-12-09,682,1410,245,447,183,163,186,,3316,20.5669481303,42.5211097708,7.3884197829,13.4800965018,5.5186972256,4.9155609168,5.6091676719
2015-12-10,892,1303,132,270,167,82,251,,3097,28.802066516,42.0729738457,4.2621892154,8.7181143042,5.3923151437,2.6477236035,8.1046173716
2015-12-11,788,1639,188,551,226,129,245,,3766,20.9240573553,43.5209771641,4.9920339883,14.6309081253,6.0010621349,3.4253850239,6.5055762082
2015-12-12,333,725,79,289,134,117,496,,2173,15.3244362632,33.3640128854,3.6355269213,13.299585826,6.1665899678,5.3842613898,22.8255867464
2015-12-13,333,922,141,353,126,88,375,,2338,14.2429426861,39.4354148845,6.0307955518,15.0983746792,5.3892215569,3.7639007699,16.0393498717
2015-12-14,373,1220,142,394,205,145,275,,2754,13.543936093,44.2992011619,5.1561365287,14.3064633261,7.443718228,5.2650689906,9.9854756718
2015-12-15,297,1082,179,209,96,76,251,,2190,13.5616438356,49.4063926941,8.1735159817,9.5433789954,4.3835616438,3.4703196347,11.4611872146
2015-12-16,324,1000,140,198,200,96,191,,2149,15.0767798976,46.533271289,6.5146579805,9.2135877152,9.3066542578,4.4671940437,8.8878548162
2015-12-17,423,868,153,277,102,123,205,,2151,19.6652719665,40.3533240353,7.1129707113,12.8777312878,4.7419804742,5.7182705718,9.530450953
2015-12-18,174,771,92,131,64,82,175,,1489,11.6856950974,51.7797179315,6.1786433848,8.7978509066,4.2981867025,5.5070517126,11.7528542646
2015-12-19,232,859,141,324,84,121,192,,1953,11.8791602663,43.9836149514,7.2196620584,16.5898617512,4.3010752688,6.1955965182,9.8310291859
2015-12-20,1994,899,77,246,44,127,336,,3723,53.5589578297,24.1471931238,2.0682245501,6.6075745367,1.1818426001,3.4112275047,9.024979855
2015-12-21,278,158,20,77,24,15,76,,648,42.9012345679,24.3827160494,3.0864197531,11.8827160494,3.7037037037,2.3148148148,11.7283950617
2015-12-22,107,299,55,100,62,29,142,,794,13.476070529,37.6574307305,6.9269521411,12.5944584383,7.8085642317,3.6523929471,17.8841309824
2015-12-23,297,740,139,207,64,69,242,,1758,16.8941979522,42.0932878271,7.9067121729,11.7747440273,3.6405005688,3.9249146758,13.7656427759
2015-12-24,156,540,49,222,99,105,313,,1484,10.5121293801,36.3881401617,3.3018867925,14.9595687332,6.6711590296,7.0754716981,21.0916442049
2015-12-25,160,424,61,107,65,60,264,,1141,14.0227870289,37.1603856266,5.3461875548,9.3777388256,5.6967572305,5.2585451358,23.1375985977
2015-12-26,283,446,79,194,67,54,271,,1394,20.3012912482,31.9942611191,5.6671449067,13.9167862267,4.806312769,3.8737446198,19.4404591105
2015-12-27,164,631,157,184,71,24,254,,1485,11.0437710438,42.4915824916,10.5723905724,12.3905723906,4.7811447811,1.6161616162,17.1043771044
2015-12-28,221,689,151,223,74,60,237,,1655,13.3534743202,41.6314199396,9.1238670695,13.4743202417,4.4712990937,3.6253776435,14.3202416918
2015-12-29,245,749,64,199,72,96,226,,1651,14.8394912174,45.366444579,3.8764385221,12.0533010297,4.3609933374,5.8146577832,13.6886735312
2015-12-30,183,835,104,228,68,136,231,,1785,10.2521008403,46.7787114846,5.8263305322,12.7731092437,3.8095238095,7.619047619,12.9411764706
2015-12-31,210,1897,84,220,60,67,244,,2782,7.5485262401,68.1883537024,3.019410496,7.9079798706,2.1567217829,2.4083393242,8.7706685838
2016-01-01,134,6553,52,365,89,37,180,,7410,1.8083670715,88.4345479082,0.701754386,4.9257759784,1.2010796221,0.4993252362,2.4291497976
2016-01-02,201,1505,137,340,99,70,196,,2548,7.8885400314,59.0659340659,5.3767660911,13.3437990581,3.885400314,2.7472527473,7.6923076923
2016-01-03,214,691,70,264,105,80,166,,1590,13.4591194969,43.4591194969,4.4025157233,16.6037735849,6.6037735849,5.0314465409,10.4402515723
2016-01-04,655,733,121,374,171,113,129,,2296,28.5278745645,31.925087108,5.2700348432,16.2891986063,7.4477351916,4.9216027875,5.618466899
2016-01-05,592,889,128,396,165,67,181,,2418,24.4830438379,36.7659222498,5.2936311001,16.3771712159,6.82382134,2.7708850289,7.4855252275
2016-01-06,586,780,341,512,122,85,288,,2714,21.5917464996,28.7398673545,12.5644804716,18.8651436993,4.4952100221,3.131908622,10.6116433309
2016-01-07,755,1163,134,352,178,160,248,,2990,25.2508361204,38.8963210702,4.4816053512,11.7725752508,5.9531772575,5.3511705686,8.2943143813
2016-01-08,763,1654,161,349,217,109,204,,3457,22.0711599653,47.8449522708,4.6572172404,10.09545849,6.2771188892,3.1530228522,5.9010702922
2016-01-09,599,4680,111,390,210,84,181,,6255,9.5763389289,74.8201438849,1.7745803357,6.2350119904,3.3573141487,1.3429256595,2.893685052
2016-01-10,426,858,60,236,101,51,143,,1875,22.72,45.76,3.2,12.5866666667,5.3866666667,2.72,7.6266666667
2016-01-11,975,4987,128,613,269,69,175,,7216,13.5116407982,69.1103104213,1.7738359202,8.4950110865,3.727827051,0.9562084257,2.4251662971
2016-01-12,1112,1870,203,451,215,65,146,,4062,27.3756770064,46.0364352536,4.9975381585,11.1029049729,5.2929591334,1.6001969473,3.5942885278
2016-01-13,312,5480,128,432,222,57,220,,6851,4.5540796964,79.9883228726,1.8683403883,6.3056488104,3.2404028609,0.8319953291,3.2112100423
2016-01-14,401,4646,220,503,180,125,193,,6268,6.397574984,74.1225271219,3.5098915124,8.0248883216,2.8717294193,1.9942565412,3.0791320996
2016-01-15,290,2187,98,418,154,157,235,,3539,8.1944051992,61.7971178299,2.7691438259,11.8112461147,4.3515117265,4.4362814354,6.6402938683
2016-01-16,252,651,75,330,181,67,213,,1769,14.2453363482,36.8004522329,4.239683437,18.6546071227,10.2317693612,3.787450537,12.040700961
2016-01-17,203,1146,113,292,103,115,239,,2211,9.1813658978,51.8317503392,5.1108095884,13.2066938037,4.658525554,5.2012663953,10.8095884215
2016-01-18,520,1249,138,356,60,95,153,,2571,20.2255931544,48.580318942,5.3675612602,13.8467522365,2.333722287,3.6950602878,5.950991832
2016-01-19,851,1760,210,563,327,58,305,,4074,20.8885616102,43.2007854688,5.1546391753,13.8193421699,8.0265095729,1.4236622484,7.4864997545
2016-01-20,887,1465,243,346,172,72,63,,3248,27.3091133005,45.104679803,7.4815270936,10.6527093596,5.2955665025,2.2167487685,1.9396551724
2016-01-21,874,2478,114,209,150,173,262,,4260,20.5164319249,58.1690140845,2.676056338,4.9061032864,3.5211267606,4.0610328638,6.1502347418
2016-01-22,1091,1688,144,416,155,75,196,,3765,28.9774236388,44.833997344,3.8247011952,11.0491367862,4.1168658699,1.9920318725,5.2058432935
2016-01-23,643,1542,152,450,147,138,166,,3238,19.8579369981,47.621988882,4.6942557134,13.8974675726,4.539839407,4.2618900556,5.1266213712
2016-01-24,558,5216,256,483,100,54,236,,6903,8.0834419817,75.5613501376,3.7085325221,6.9969578444,1.4486455164,0.7822685789,3.4188034188
