title,,,,,,,,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Size,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,,,,,,,
Day,[1] CPU Hours: Total,[2 - 4] CPU Hours: Total,[5 - 8] CPU Hours: Total,[9 - 64] CPU Hours: Total,[65 - 256] CPU Hours: Total,[257 - 512] CPU Hours: Total,[513 - 1024] CPU Hours: Total,[1k - 8k] CPU Hours: Total,[8k - 32k] CPU Hours: Total,[32k - 131k] CPU Hours: Total,,,,CPU Hours by Job Size,,,,,,,,,,
7/17/2015,92513.0351,115.9028,34569.2013,500426.1375,731260.5102,477963.9164,721165.0998,1313447.134,1129.2444,0,,,,,,,,,,,,,,
7/18/2015,115142.6873,117.4777,25070.294,510406.4356,918907.1398,613498.6933,638243.1336,769450.0025,550.6844,0,,,,,,,,,,,,,,
7/19/2015,134402.1485,143.6833,34511.9058,522823.2188,982887.7716,603037.0446,666925.94,775635.8489,0,0,,,,,,,,,,,,,,
7/20/2015,198189.4965,220.2429,35453.6456,530148.9623,1043348.979,593308.4845,637831.1109,810911.1402,896.5689,0,,,,,,,,,,,,,,
7/21/2015,155833.7089,196.1851,37539.3575,508404.1192,1149069.102,562328.4345,665014.5201,870324.1888,0,0,,,,,,,,,,,,,,
7/22/2015,147869.0247,138.5801,39986.0511,446416.8429,1018195.413,667442.3734,592547.0264,715312.5203,0,0,,,,,,,,,,,,,,
7/23/2015,88639.5035,323.2044,39315.0623,399399.291,888954.131,584190.4199,501571.187,646562.7156,1005.7956,0,,,,,,,,,,,,,,
7/24/2015,82432.294,1314.4539,38858.4544,522063.328,1104960.348,558054.5861,811833.9,803274.791,0,0,,,,,,,,,,,,,,
7/25/2015,219561.9503,691.4189,35525.9394,482443.9898,949631.0795,456551.6154,919490.2023,1025391.707,0,0,,,,,,,,,,,,,,
7/26/2015,163801.2054,38.916,26884.7684,400676.7829,1012565.459,451558.0956,1058968.536,699094.8577,0,0,,,,,,,,,,,,,,
7/27/2015,119911.1753,132.121,36281.5399,522564.8239,1263788.664,478661.571,683827.8979,607456.7446,0,0,,,,,,,,,,,,,,
7/28/2015,68892.9788,137.7905,41310.1131,625319.8097,930199.5612,638585.9045,882648.42,549722.4111,5352.1067,0,,,,,,,,,,,,,,
7/29/2015,27804.2144,108.9763,40532.509,603698.0421,970777.5369,636295.3353,861097.7599,661581.8134,2910.4356,0,,,,,,,,,,,,,,
7/30/2015,31848.5813,101.3312,40726.9824,539763.6266,1154137.188,605294.5023,723422.2664,643930.0021,0,0,,,,,,,,,,,,,,
7/31/2015,36406.4018,63.635,42000.8671,464083.8181,1077999.856,568294.5683,1111141.026,482949.72,0,0,,,,,,,,,,,,,,
8/1/2015,54557.5977,112.1222,40856.4238,586376.0173,1092994.063,673611.067,791479.4355,434478.0999,40948.6222,0,,,,,,,,,,,,,,
8/2/2015,40812.7737,278.4993,38764.0501,614625.0057,1088071.833,467992.9639,577081.3512,737762.1822,0,0,,,,,,,,,,,,,,
8/3/2015,18556.9554,299.38,30629.504,777180.8199,858392.0837,565027.3824,551528.3464,777470.9221,0,0,,,,,,,,,,,,,,
8/4/2015,16753.2586,311.3746,25757.4092,651845.7529,1057473.646,589407.3054,793077.3758,588655.9154,0,0,,,,,,,,,,,,,,
8/5/2015,19171.8045,300.1517,28697.465,555068.8357,885086.6042,439850.3533,650078.7064,724953.1266,141753.4578,0,,,,,,,,,,,,,,
8/6/2015,17013.896,196.9901,24696.5428,580752.453,1150815.492,602361.9622,570540.0537,501915.0841,198842.5956,0,,,,,,,,,,,,,,
8/7/2015,15334.0978,164.3981,22005.3345,698456.6634,931606.6345,630168.2137,481938.4355,553780.4,260673.9911,0,,,,,,,,,,,,,,
8/8/2015,19761.4248,278.6417,21488.9792,559202.1709,821828.1122,575935.0458,671677.72,650675.6735,265534.5778,0,,,,,,,,,,,,,,
8/9/2015,12272.1621,233.4183,13104.0969,636892.4731,949667.1899,590237.558,884788.218,664489.4712,170002.2044,0,,,,,,,,,,,,,,
8/10/2015,3430.6025,282.5064,11308.7034,738915.7698,1082426.102,535161.8444,671802.0246,649941.5687,6958.6489,0,,,,,,,,,,,,,,
8/11/2015,5737.1435,162.305,15240.4017,810712.7403,1020669.814,521089.791,572929.5264,625050.7355,0,0,,,,,,,,,,,,,,
8/12/2015,68867.6326,74.0595,54012.1094,802269.7923,993902.5067,475858.5866,415511.1269,700994.4354,0,0,,,,,,,,,,,,,,
8/13/2015,20840.9658,63.1812,49923.3072,597263.6406,1027776.088,567878.7399,559160.2574,803203.4356,0,0,,,,,,,,,,,,,,
8/14/2015,11467.9647,174.8434,38982.7839,648383.716,1041549.504,473067.8235,853602.1621,616269.8887,0,0,,,,,,,,,,,,,,
8/15/2015,9740.8687,21.3356,32350.0333,501594.4492,872706.8024,349295.7958,529040.3822,643534.52,0,0,,,,,,,,,,,,,,
8/16/2015,6411.8034,14.07,26880.8629,521712.7787,669929.0019,435756.5155,282041.7109,355918.3066,0,0,,,,,,,,,,,,,,
8/17/2015,7301.5756,15.4217,41937.1372,618458.4807,809143.5394,390106.7403,307013.5133,542357.5199,0,0,,,,,,,,,,,,,,
8/18/2015,13296.2565,43.155,33378.9739,470152.5835,491394.8082,231668.6599,234226.0488,258568.4799,0,0,,,,,,,,,,,,,,
8/19/2015,33345.2325,31.0334,32754.7823,835360.936,1003612.944,623059.0397,479999.64,624750.7912,24439.4666,0,,,,,,,,,,,,,,
8/20/2015,30801.2051,33.5184,33861.4534,887084.491,1070756.749,597001.0512,608298.1265,520059.2359,0,0,,,,,,,,,,,,,,
8/21/2015,24979.4702,136.274,33761.4045,830578.561,1050265.574,629049.8734,540600.06,485316.8754,5457.5733,0,,,,,,,,,,,,,,
8/22/2015,25986.6046,84.2844,37850.5322,718531.0283,957005.6142,505631.011,538219.3668,510621.36,0,0,,,,,,,,,,,,,,
8/23/2015,25736.3729,0.9749,37191.9332,613827.4444,813496.131,619678.6266,546396.7067,602114.5155,0,0,,,,,,,,,,,,,,
8/24/2015,19238.795,123.635,43813.699,691759.0958,732353.3074,533214.3589,680797.7578,613920.5954,14335.7156,0,,,,,,,,,,,,,,
8/25/2015,37257.3713,66.4889,49682.8856,736749.7821,894190.9787,502035.4059,597568.8022,567472.0399,29232,0,,,,,,,,,,,,,,
8/26/2015,44753.4813,42.4339,53546.6085,718934.437,769029.1656,580376.8512,384824.6354,749963.8378,14083.0222,0,,,,,,,,,,,,,,
8/27/2015,66530.0364,133.4544,49579.0101,572001.8024,763910.8887,679983.8878,583273.4426,919718.8754,12057.8222,0,,,,,,,,,,,,,,
8/28/2015,62121.0011,56.5245,40833.8473,546487.3658,882944.7176,733772.4806,435496.1357,812712.5956,39371.9333,0,,,,,,,,,,,,,,
8/29/2015,47810.4312,5.135,30276.5912,514704.8394,725767.6379,760595.0401,471235.3889,685768.3999,56361.4,0,,,,,,,,,,,,,,
8/30/2015,43880.7511,181.1932,30164.6678,512027.3553,747611.1124,716938.5512,386940.8688,623693.5065,907.2,0,,,,,,,,,,,,,,
8/31/2015,20178.3548,64.3517,30941.6247,502181.958,808728.2349,684338.5096,333187.9532,911895.1598,34506.5244,0,,,,,,,,,,,,,,
9/1/2015,6851.9924,184.6444,36120.6206,613870.2856,790575.6419,393191.7198,325589.8445,686825.4444,26886.6667,0,,,,,,,,,,,,,,
9/2/2015,20490.1486,298.3599,33461.4918,514695.6871,587231.7651,320017.078,208521.4223,677015.8222,96066.56,0,,,,,,,,,,,,,,
9/3/2015,18111.3948,68.3649,33064.1519,348436.6842,455729.0469,458508.6336,113843.6978,681645.56,0,0,,,,,,,,,,,,,,
9/4/2015,4276.6845,33.629,36415.6479,482679.3031,579067.4048,425169.1997,493709.0311,1119550.809,0,0,,,,,,,,,,,,,,
9/5/2015,9288.4789,55.3034,37920.854,421207.3373,623708.7581,452648.1825,541481.0913,1147340.534,773.6889,0,,,,,,,,,,,,,,
9/6/2015,15817.5696,0,34017.3583,520374.4485,632191.8666,387403.1377,164647.7534,1016857.613,12934.2578,0,,,,,,,,,,,,,,
9/7/2015,10168.5817,0,32965.4528,549989.2293,739578.6676,320614.121,315873.9511,584661.7287,4059.5911,0,,,,,,,,,,,,,,
9/8/2015,3703.8961,2.945,35799.5794,444706.9352,560722.3331,329529.0465,412601.1685,725893.3643,5934.6489,0,,,,,,,,,,,,,,
9/9/2015,8365.8867,36.1494,44652.1129,694126.8337,668085.8904,390271.9834,335897.6401,1011242.396,3106.1333,0,,,,,,,,,,,,,,
9/10/2015,12431.6672,23.4755,44069.595,786110.8473,704920.6468,516065.3611,375160.2221,946225.6933,0,0,,,,,,,,,,,,,,
9/11/2015,7288.4801,45.0444,37280.0816,729438.0164,656768.0886,435412.7411,389235.8667,905581.6846,0,0,,,,,,,,,,,,,,
9/12/2015,19065.4638,0,32268.3594,682354.1123,646444.133,275451.4441,382907.5067,1218012.942,0,0,,,,,,,,,,,,,,
9/13/2015,23667.3004,15.304,31506.9824,624286.2147,700382.2841,372371.7334,379904.1112,1164179.493,0,0,,,,,,,,,,,,,,
9/14/2015,2951.7901,58.9071,30306.976,619340.8926,584118.1449,402703.4267,360218.4378,1197336.609,96829.44,0,,,,,,,,,,,,,,
9/15/2015,4019.0962,48,31336.1644,610317.6893,590500.6221,380933.553,627726.0135,965436.1511,8989.5821,0,,,,,,,,,,,,,,
9/16/2015,5384.5313,48.3167,24621.4397,680416.0092,697276.9514,422286.5409,632705.0264,763092.2399,3768.32,0,,,,,,,,,,,,,,
9/17/2015,3786.9342,14.6597,35907.5029,755726.6251,637720.8401,357181.5378,412553.4442,1060640.884,2980.9778,0,,,,,,,,,,,,,,
9/18/2015,4042.4875,99.8338,36266.6365,718773.4494,701177.2486,413449.9278,660055.1243,965220.9644,3240.3911,0,,,,,,,,,,,,,,
9/19/2015,6577.2732,87.6876,34324.8496,564907.5924,703806.0011,310364.4165,745234.0534,759753.2532,24114.3467,0,,,,,,,,,,,,,,
9/20/2015,11580.7538,51.3775,31605.4634,501537.3472,720378.499,244066.8976,555894.32,925378.0043,77136.7822,0,,,,,,,,,,,,,,
9/21/2015,7299.8202,53.8173,28376.5046,548294.7775,707980.519,344321.7692,616556.1733,848482.6023,125522.6311,0,,,,,,,,,,,,,,
9/22/2015,2230.2022,51.8794,28536.4433,627996.8146,695815.9482,347188.2511,544888.0844,851549.2778,151984.3556,0,,,,,,,,,,,,,,
9/23/2015,8981.7126,65.7284,26161.4412,581784.3485,700658.8745,303588.4332,417850.9431,1330263.497,0,0,,,,,,,,,,,,,,
9/24/2015,8630.5451,79.8548,28284.8461,599828.828,812036.3689,372001.8731,290796.74,1070501.998,134551.5466,0,,,,,,,,,,,,,,
9/25/2015,2607.0621,132.7222,21729.5017,551940.9878,678204.734,476077.8751,158133.1757,650568.7915,784170.0978,0,,,,,,,,,,,,,,
9/26/2015,2827.6465,52.3922,18445.6344,514616.8483,512752.5563,289034.0123,258800.9698,615379.8714,957813.1911,0,,,,,,,,,,,,,,
9/27/2015,4633.4129,57.5028,18133.6647,540764.1541,597646.8973,278599.6098,264493.6622,856582.4666,409909.4756,0,,,,,,,,,,,,,,
9/28/2015,2276.1683,157.6311,22658.6305,451476.0026,593740.29,224064.359,186261.9513,1017925.178,439529.2445,0,,,,,,,,,,,,,,
9/29/2015,55703.6948,117.8731,26337.0899,376356.6898,444931.9241,205295.4145,121916.3076,432677.9864,96818.0622,11769.6,,,,,,,,,,,,,,
9/30/2015,57908.12,85.8101,34200.0714,600364.5566,935312.6461,313960.9055,186767.6924,846928.0712,285458.3467,0,,,,,,,,,,,,,,
10/1/2015,3000.8037,580.8843,31475.7019,619388.8295,1002209.306,327858.509,265904.5179,807450.5022,2598.6,0,,,,,,,,,,,,,,
10/2/2015,6382.39,1619.5532,29308.1316,652718.0975,834073.1814,494580.433,479808.556,786214.6222,86330.0267,0,,,,,,,,,,,,,,
10/3/2015,4556.3717,1818.1522,29202.779,600639.791,828632.6127,448470.6977,582916.7823,629472.4403,59613.4,0,,,,,,,,,,,,,,
10/4/2015,6894.0998,3631.6433,25179.9368,684754.511,808212.8982,272988.6222,417327.3113,600059.3602,0,0,,,,,,,,,,,,,,
10/5/2015,11477.7349,4866.5163,23513.5423,645173.1398,749550.5726,295410.1199,415598.4205,856415.7441,79119.2045,0,,,,,,,,,,,,,,
10/6/2015,9740.541,5725.4031,20438.3999,803739.1773,1005153.61,317870.5488,439221.7788,884932.6885,28901.8311,0,,,,,,,,,,,,,,
10/7/2015,14188.5217,7840.6731,18151.5549,841335.6662,1015927.633,334432.2979,680372.902,614275.0288,14562.88,0,,,,,,,,,,,,,,
10/8/2015,24247.641,7663.8893,16736.5177,765314.702,1044858.072,498988.8309,776238.2304,586809.7688,13425.7778,0,,,,,,,,,,,,,,
10/9/2015,46622.7032,7305.2504,14639.3126,873490.6056,987945.1614,373996.8538,568637.1065,500475.8354,126998.1689,0,,,,,,,,,,,,,,
10/10/2015,76817.9797,7364.5032,14555.0081,637401.927,827748.6835,289628.4491,445216.7322,561627.2134,273091.5556,0,,,,,,,,,,,,,,
10/11/2015,82476.2455,6153.1181,11942.5913,568614.4791,617128.0708,295373.0776,304819.9021,563544.7512,271063.1467,0,,,,,,,,,,,,,,
10/12/2015,54412.867,6251.8245,11501.8036,726913.0751,876480.2203,356417.1064,467887.7866,877105.1244,175687.4133,0,,,,,,,,,,,,,,
10/13/2015,70280.9399,10138.1226,13949.3139,968933.4966,945580.0712,538141.3988,444628.2534,1047324.258,4810.5244,0,,,,,,,,,,,,,,
10/14/2015,110440.107,9942.5237,14766.6573,835331.6756,762198.522,498015.619,464253.5244,1086575.496,27485.2978,0,,,,,,,,,,,,,,
10/15/2015,99512.3746,8353.1817,15032.9195,850780.5472,805479.3669,583759.2286,345128.502,1018166.56,0,0,,,,,,,,,,,,,,
10/16/2015,42096.6626,7850.5486,16346.3555,918390.8652,1000200.23,462995.2207,320433.8066,1061999.893,0,0,,,,,,,,,,,,,,
10/17/2015,41438.6648,9389.9807,11818.4227,796988.9146,881082.9615,380423.2999,426066.1355,849782.3642,0,0,,,,,,,,,,,,,,
10/18/2015,150304.5501,9958.5744,9919.3929,718240.6794,1023650.99,447730.958,366241.8087,1055691.32,0,0,,,,,,,,,,,,,,
10/19/2015,78395.8234,13373.4554,13899.3899,648114.8934,844562.2341,420778.382,702655.6954,813061.0089,8292.1244,0,,,,,,,,,,,,,,
10/20/2015,91895.2668,12201.2803,16578.7543,745597.5863,792139.7862,423078.7702,1059037.044,424442.3599,0,0,,,,,,,,,,,,,,
10/21/2015,69227.9473,15083.9066,17205.221,813738.1162,1290629.539,492346.3464,467468.1111,661304.1866,0,0,,,,,,,,,,,,,,
10/22/2015,37995.0546,15383.8657,21047.1681,881772.1716,1031696.731,448995.9113,435663.8798,925693.902,8201.1022,0,,,,,,,,,,,,,,
10/23/2015,91990.8683,15508.849,19611.4184,889290.9713,1137126.036,487671.998,396716.1558,1060626.4,0,0,,,,,,,,,,,,,,
10/24/2015,128223.2338,13716.0141,15780.0203,921361.1176,1044297.659,432465.222,287504.7465,1263124.929,0,0,,,,,,,,,,,,,,
10/25/2015,232842.778,12226.5048,13941.2607,853647.1652,890725.8088,400040.9758,369284.7156,1160986.591,0,0,,,,,,,,,,,,,,
10/26/2015,333331.5741,11122.8732,14342.783,728333.198,896665.4103,383708.371,275251.1002,1403161.027,756,0,,,,,,,,,,,,,,
10/27/2015,146493.893,10413.7672,16391.6495,715287.2809,914692.4773,492781.4511,533299.0354,1008311.44,0,0,,,,,,,,,,,,,,
10/28/2015,182065.4123,11057.8166,19920.1356,634944.1516,1018393.333,525771.3685,515304.291,938211.5557,0,0,,,,,,,,,,,,,,
10/29/2015,169676.6271,14757.9622,24657.41,605347.6925,999164.0494,447058.953,597537.9354,994061.7556,0,0,,,,,,,,,,,,,,
10/30/2015,196501.5882,14446.9698,25624.3444,619812.815,1029970.431,470886.5444,555394.9445,924496.4136,571.2,0,,,,,,,,,,,,,,
10/31/2015,190247.399,10894.491,21041.241,470242.8409,957574.5718,671077.5155,479738.211,902856.7022,0,0,,,,,,,,,,,,,,
11/1/2015,165905.6831,8409.4105,16610.7728,409911.5844,1046848.409,637099.5378,486431.8493,865520.7112,27315.7689,0,,,,,,,,,,,,,,
11/2/2015,99189.4515,7121.5342,20778.5923,430268.0887,998776.2072,496175.7334,368133.6646,951005.0267,0,0,,,,,,,,,,,,,,
11/3/2015,71365.4402,7542.5897,24803.9276,427062.5982,619284.933,358201.6186,219990.7064,582516.6558,0,0,,,,,,,,,,,,,,
11/4/2015,49060.5374,6548.2455,27103.1507,608226.0662,1237748.509,648331.2399,444380.08,787318.8843,0,0,,,,,,,,,,,,,,
11/5/2015,33013.6307,5888.6394,28639.9527,540478.5465,1389210.61,603939.854,475784.4833,731214.0801,0,0,,,,,,,,,,,,,,
11/6/2015,41287.749,5236.585,32040.3482,624623.243,1257886.307,490715.1289,556010.8802,727264.6,0,0,,,,,,,,,,,,,,
11/7/2015,59256.1354,4687.0884,30820.3002,732488.73,1168113.178,505462.9975,580909.7266,548556.6309,0,0,,,,,,,,,,,,,,
11/8/2015,64771.8066,4425.3835,26081.7504,647344.1624,1212934.893,482950.6712,396558.129,749445.6176,0,0,,,,,,,,,,,,,,
11/9/2015,72649.048,8360.4846,24428.2595,658023.1928,1183645.373,420300.062,501787.6844,930301.089,0,0,,,,,,,,,,,,,,
11/10/2015,49759.0988,6605.4847,29490.0667,728105.583,1111498.771,464775.7241,433416.9377,1006047.485,0,0,,,,,,,,,,,,,,
11/11/2015,37584.0967,9054.9794,29282.014,684591.8217,1132734.102,533221.8066,439032.1778,973728.2691,0,0,,,,,,,,,,,,,,
11/12/2015,43282.4952,7984.5069,26257.0779,595044.181,1164993.982,426241.1487,543457.6775,1051570.438,0,0,,,,,,,,,,,,,,
11/13/2015,65433.4712,8597.0229,23304.9878,623950.2772,1135689.477,445327.0905,731067.6957,927840.0313,0,0,,,,,,,,,,,,,,
11/14/2015,55278.6846,8102.376,23094.1717,631297.9189,981076.1154,392405.8054,816548.2556,903414.862,0,0,,,,,,,,,,,,,,
11/15/2015,34702.8017,6739.2995,18853.826,614666.2237,1103596.035,374144.3177,865755.0176,805670.7466,0,0,,,,,,,,,,,,,,
11/16/2015,48795.416,7530.8053,24760.8367,611106.2,1166549.387,448590.0587,685291.6241,818593.7689,1776,0,,,,,,,,,,,,,,
11/17/2015,42518.0624,7250.4095,27379.1281,950434.4417,1213776.971,500285.181,583039.8087,594106.2934,838.4,0,,,,,,,,,,,,,,
11/18/2015,59511.1124,7519.6078,25704.235,869145.9929,1262433.718,524832.1167,565491.9623,677822.2377,0,0,,,,,,,,,,,,,,
11/19/2015,42959.251,8196.7916,21070.6466,760544.158,1065295.843,576511.4866,698005.87,838841.0487,0,0,,,,,,,,,,,,,,
11/20/2015,53855.6707,7039.5375,20034.8943,803008.5542,1005205.008,536039.6981,653551.1444,937128.5363,0,0,,,,,,,,,,,,,,
11/21/2015,43889.8347,5318.8212,15678.2594,801022.8678,1027971.262,422900.3198,786644.1944,741492.5001,0,0,,,,,,,,,,,,,,
11/22/2015,58819.7015,6474.7248,14920.7725,872152.9499,791453.9955,317081.9579,737729.0221,757631.2489,0,0,,,,,,,,,,,,,,
11/23/2015,47385.7288,6041.8931,15342.9982,776292.9184,1025305.802,340822.0513,664128.6397,703121.1511,0,0,,,,,,,,,,,,,,
11/24/2015,41481.2312,6145.6563,19611.7633,804134.0436,1289953.342,446504.4311,434808.3533,505572.6089,110445.2267,0,,,,,,,,,,,,,,
11/25/2015,35861.9538,6024.7199,25801.3735,709564.392,1072931.047,360289.3068,438058.3468,818785.44,294912,0,,,,,,,,,,,,,,
11/26/2015,52243.4898,7786.659,27358.2978,611429.7796,1146237.576,229768.86,603010.2311,743897.7611,197498.88,0,,,,,,,,,,,,,,
11/27/2015,93215.5258,8955.5343,23668.254,583682.784,1071420.161,341477.4533,362589.5599,961264.5065,0,0,,,,,,,,,,,,,,
11/28/2015,129139.7344,6294.6729,24353.1953,590992.4072,1062922.751,256565.5645,359703.6546,915174.7733,0,0,,,,,,,,,,,,,,
11/29/2015,112544.1564,6119.9886,22235.2517,538148.21,950938.4575,339805.6954,441905.2711,1087525.96,0,0,,,,,,,,,,,,,,
11/30/2015,103727.6216,5664.7038,23942.4168,686888.0342,1086942.957,422852.4179,490465.1056,843740.4444,0,0,,,,,,,,,,,,,,
12/1/2015,108334.614,5900.1573,20882.7052,784320.2009,1125635.807,503985.2863,539851.4789,692116.9921,0,0,,,,,,,,,,,,,,
12/2/2015,107831.3235,5504.1062,19862.4416,777681.5041,1003608.657,508304.2621,529426.9388,757246.6622,1852.3022,0,,,,,,,,,,,,,,
12/3/2015,73902.3176,7433.5141,14014.6104,619589.197,850361.1534,442680.0467,358964.0256,576960.5999,0,0,,,,,,,,,,,,,,
12/4/2015,117800.4667,7330.9536,13043.8171,628148.6356,774367.525,447409.3801,419715.7869,602063.2449,91.0222,0,,,,,,,,,,,,,,
12/5/2015,99091.1051,10661.4263,11521.567,643339.9268,881741.9521,438641.9196,354269.027,492710.0888,0,0,,,,,,,,,,,,,,
12/6/2015,89271.3002,16278.3936,11351.4955,647061.8379,1051851.165,562307.5778,344383.8599,749000.5689,0,0,,,,,,,,,,,,,,
12/7/2015,78678.3825,18521.7043,13396.5623,569908.2325,790711.398,602409.9979,295278.5533,698175.667,11600.7822,0,,,,,,,,,,,,,,
12/8/2015,73920.669,20184.5083,13425.3788,406236.9907,448273.5802,291552.669,302860.1824,405619.6643,0,0,,,,,,,,,,,,,,
12/9/2015,102460.0456,16433.5246,12525.8939,664705.8517,860996.0738,551801.5203,419040.516,1037931.222,0,0,,,,,,,,,,,,,,
12/10/2015,133949.0305,17071.134,15147.76,745219.6899,980330.9289,504397.0242,460853.5466,1073711.36,13575.9644,0,,,,,,,,,,,,,,
12/11/2015,191329.5008,15413.7677,17208.3552,902936.3001,930535.5204,439068.4354,421800.3398,755678.3178,190049.8489,0,,,,,,,,,,,,,,
12/12/2015,181612.5128,13013.336,14108.9114,936856.6076,892500.402,407201.9446,267827.3489,653154.1467,377127.8222,0,,,,,,,,,,,,,,
12/13/2015,113711.4376,7503.2032,20975.6012,662189.4048,744392.6244,452356.5514,398832.7046,517152.2889,261297.4933,0,,,,,,,,,,,,,,
12/14/2015,120830.987,10044.1436,20438.8269,676342.5776,784547.2739,567267.6643,431103.8375,537326.2935,362295.7511,0,,,,,,,,,,,,,,
12/15/2015,40381.6559,12826.8629,26342.7413,757822.5859,854626.8737,648420.26,464118.9246,845048.0978,146149.8311,0,,,,,,,,,,,,,,
12/16/2015,27994.8394,13401.1011,21382.7568,691255.1911,807833.3356,558690.2511,707348.5023,546840.3865,357043.7689,0,,,,,,,,,,,,,,
12/17/2015,28489.4168,15244.5972,17545.6118,670963.3331,799840.8267,617943.8782,549913.4292,720548.3157,245095.5378,0,,,,,,,,,,,,,,
12/18/2015,40293.5875,8551.5118,15248.2021,670385.7702,952624.0344,517444.9355,446924.9888,909709.6847,168368.3556,0,,,,,,,,,,,,,,
12/19/2015,38834.0161,6404.0846,12855.3102,796156.1345,924047.9668,610270.3245,643488.511,534971.7509,235055.7867,0,,,,,,,,,,,,,,
12/20/2015,35404.6936,6157.4514,12230.669,637141.3653,685867.6185,422522.2021,541312.0268,657008.5244,63201.28,0,,,,,,,,,,,,,,
12/21/2015,35036.1499,7155.7005,14155.3121,410316.854,532958.1449,344164.4399,396626.8042,469641.809,0,0,,,,,,,,,,,,,,
12/22/2015,28855.7883,9394.8166,14447.1139,595562.8602,1128698.185,390017.1243,566806.2089,800601.3643,0,0,,,,,,,,,,,,,,
12/23/2015,33347.6598,9325.5725,16159.3557,669984.1383,887019.553,386644.7822,657156.9045,1125334.933,0,0,,,,,,,,,,,,,,
