Day,[OSG] Number of Jobs Ended,[TACC STAMPEDE] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[SDSC COMET] Number of Jobs Ended,[NICS DARTER] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[TACC MAVERICK2] Number of Jobs Ended,[CCT LSU SUPERMIC] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended
2015-02-28,77672,1696,1193,0,77,563,612,78,44,30,0
2015-03-01,81239,2464,1301,0,58,692,586,52,67,30,0
2015-03-02,79276,3390,1378,0,77,1533,370,44,112,29,2
2015-03-03,80459,3635,1146,0,113,1741,1529,47,125,28,3
2015-03-04,82575,3248,1784,0,78,569,423,132,131,28,6
2015-03-05,93596,3200,1538,0,168,436,556,190,117,34,1
2015-03-06,253050,3800,1971,0,347,836,122,344,67,32,7
2015-03-07,267884,2989,3285,0,81,316,86,347,131,27,5
2015-03-08,318271,2573,95,0,56,55,72,131,64,28,2
2015-03-09,122858,3329,1862,0,187,508,73,302,98,29,4
2015-03-10,90557,3443,1658,0,789,595,212,131,85,26,9
2015-03-11,45375,3580,2052,0,963,531,91,207,145,28,2
2015-03-12,63323,3748,830,0,1317,566,104,56,47,27,8
2015-03-13,113775,3337,1461,0,157,632,114,40,120,13,1
2015-03-14,141096,1918,1323,0,118,570,64,87,43,10,2
2015-03-15,201202,2155,1323,0,80,706,62,68,73,24,5
2015-03-16,286478,2687,866,0,62,705,132,76,58,21,2
2015-03-17,106944,3333,1128,0,124,687,75,66,91,16,4
2015-03-18,84337,3610,1701,0,103,693,199,63,73,22,0
2015-03-19,42833,2946,1643,0,97,799,355,398,114,36,0
2015-03-20,28425,3333,1461,0,126,608,235,383,82,29,4
2015-03-21,77836,2184,1159,0,415,579,198,126,96,31,0
2015-03-22,113887,2344,728,0,771,572,210,102,100,32,4
2015-03-23,72595,3368,976,0,348,497,203,60,113,22,0
2015-03-24,45524,2921,1455,0,53,526,279,29,84,13,4
2015-03-25,69218,2858,3522,0,74,857,238,29,77,6,2
2015-03-26,82894,2263,1919,0,307,522,345,65,15,4,5
2015-03-27,143923,2689,755,0,364,563,369,206,64,5,3
2015-03-28,106832,2069,1701,0,44,1193,270,194,14,1,2
2015-03-29,165069,2187,1499,0,20,330,290,153,46,5,2
2015-03-30,163781,3842,1193,0,144,658,78,75,26,18,0
2015-03-31,20431,1406,1449,0,80,568,368,139,67,27,2
2015-04-01,178515,2467,1386,0,283,674,618,98,5,31,2
2015-04-02,175780,3897,1555,0,156,391,271,100,39,34,0
2015-04-03,208797,3436,1883,0,316,4177,192,95,55,5,0
2015-04-04,174934,2108,1295,0,664,6544,310,100,82,6,0
2015-04-05,149257,2289,501,0,114,592,294,46,19,5,0
2015-04-06,134547,3221,1275,0,771,449,307,45,75,6,0
2015-04-07,166567,4050,931,0,316,511,484,45,33,5,0
2015-04-08,99286,3208,1963,0,153,538,313,14,125,5,0
2015-04-09,167122,2809,1623,0,90,458,506,23,178,2,0
2015-04-10,111469,2810,1479,0,73,824,206,65,165,7,0
2015-04-11,97953,2702,1248,0,222,363,341,24,182,6,0
2015-04-12,63837,1706,688,0,46,466,460,26,69,6,0
2015-04-13,62567,2650,1422,0,241,1632,584,113,74,6,0
2015-04-14,58704,2712,1209,0,873,884,111,295,82,6,0
2015-04-15,75586,2470,875,0,50,772,189,90,64,4,0
2015-04-16,59872,4546,1628,0,32,605,162,110,102,6,0
2015-04-17,28943,3622,916,0,25,566,214,85,52,4,0
2015-04-18,33902,2595,752,0,0,347,197,75,44,0,0
2015-04-19,113877,2216,697,0,0,243,316,46,51,0,4
2015-04-20,85159,3586,1324,0,22,418,207,65,108,1,0
2015-04-21,40313,4334,1419,0,119,511,210,79,97,7,0
2015-04-22,44819,150,1492,0,130,422,251,71,110,4,0
2015-04-23,56654,5290,1850,0,135,873,248,50,85,4,0
2015-04-24,52740,5444,1786,0,122,934,257,60,61,4,0
2015-04-25,70264,2502,982,0,133,957,72,67,34,4,0
2015-04-26,66148,3346,1076,0,412,573,8,86,30,4,0
2015-04-27,22726,5482,1851,0,1720,352,84,72,37,4,0
2015-04-28,9391,2090,1441,0,933,363,169,101,79,4,0
2015-04-29,61770,3453,1202,0,1520,278,100,29,31,4,0
2015-04-30,103707,4247,1026,0,2765,251,149,23,43,4,0
2015-05-01,213090,3773,972,0,40,0,217,53,30,6,0
2015-05-02,154470,1876,854,0,131,0,218,28,42,4,1
2015-05-03,78826,2392,1267,0,690,0,209,34,38,4,0
2015-05-04,160087,4280,886,0,1745,0,255,45,82,2,2
2015-05-05,36231,4273,1291,0,3518,0,178,57,52,3,1
2015-05-06,73118,4192,1136,0,2181,0,194,55,77,4,0
2015-05-07,90811,4260,953,0,2829,0,222,344,58,5,3
2015-05-08,101237,4558,1470,0,3060,0,179,1,76,6,0
2015-05-09,93123,4920,577,0,158,0,110,0,32,3,0
2015-05-10,145520,3147,447,0,1343,0,22,21,149,1,0
2015-05-11,147337,5680,566,0,0,0,144,259,95,0,0
2015-05-12,100171,4687,291,0,2465,0,63,175,254,0,0
2015-05-13,135649,4414,1559,0,573,0,123,83,158,0,0
2015-05-14,126810,4202,1521,723,2382,0,166,67,62,0,0
2015-05-15,117014,5597,816,1526,1557,0,179,61,78,0,0
2015-05-16,90062,799,520,927,379,0,64,46,57,0,0
2015-05-17,95177,1618,503,918,2927,0,73,44,21,0,0
2015-05-18,100867,3609,1052,1404,2079,0,55,62,100,0,0
2015-05-19,61439,4185,905,1705,2607,0,203,52,47,0,0
2015-05-20,236958,3725,970,2348,1050,0,131,87,177,0,0
2015-05-21,173171,3908,1256,1029,1814,0,101,99,232,0,0
2015-05-22,86940,3611,1378,1011,883,0,137,112,84,0,0
2015-05-23,59212,1821,771,597,48,0,204,49,248,0,0
2015-05-24,94889,1620,1296,523,479,0,93,29,171,0,0
2015-05-25,105530,4013,821,773,2083,0,31,64,19,0,0
2015-05-26,52579,4326,1078,798,883,0,148,55,118,0,0
2015-05-27,79528,4154,1146,1053,2342,0,106,86,136,0,0
2015-05-28,121927,4659,1259,1228,3310,0,128,85,129,0,0
2015-05-29,67153,4216,1588,1107,2657,0,83,125,94,0,0
2015-05-30,68497,2199,542,665,2027,0,42,48,103,0,0
2015-05-31,98880,2573,822,830,823,0,51,18,103,0,0
2015-06-01,97845,4729,730,1138,6083,0,79,97,95,0,0
2015-06-02,77059,2563,782,1510,3153,0,90,14,117,0,0
2015-06-03,127262,4735,1171,2027,4248,0,274,240,139,0,0
2015-06-04,116844,4546,1318,1391,1760,0,256,483,96,0,0
2015-06-05,71904,4528,1017,1645,3904,0,238,1006,146,0,0
2015-06-06,49133,2011,2879,952,3282,0,80,366,49,0,0
2015-06-07,147125,2140,2695,1016,539,0,44,69,128,0,0
2015-06-08,244197,2917,2189,1285,111,0,129,114,117,0,0
2015-06-09,188125,2833,1342,1120,101,0,187,122,94,0,0
2015-06-10,145172,3423,1227,1315,130,0,116,97,64,0,0
2015-06-11,282897,2646,1051,1607,819,0,123,187,102,0,0
2015-06-12,432133,3290,1186,1043,94,0,196,120,23,0,0
2015-06-13,315176,2021,764,808,84,0,205,63,116,0,0
2015-06-14,163264,2065,413,873,158,0,222,56,48,0,0
2015-06-15,244533,2665,427,2037,71,0,137,85,133,0,0
2015-06-16,293945,2662,745,1260,59,0,118,141,74,0,0
2015-06-17,124622,2564,905,1092,161,0,149,77,75,0,0
2015-06-18,60068,2582,1486,1159,129,0,189,75,29,0,0
2015-06-19,124598,2801,1503,1216,100,0,78,64,187,0,0
2015-06-20,114042,2252,863,885,170,0,45,135,273,0,0
2015-06-21,47498,2339,751,715,49,0,25,102,68,0,0
2015-06-22,216003,2528,1040,939,181,0,127,202,35,0,0
2015-06-23,108081,2627,1154,1168,502,0,90,58,57,0,0
2015-06-24,140375,3302,1272,1445,136,0,142,89,235,0,0
2015-06-25,360147,2719,1001,1015,711,0,87,76,144,0,0
2015-06-26,258362,2221,1064,2581,281,0,133,360,154,0,0
2015-06-27,285407,2052,727,1612,76,0,209,506,244,0,0
2015-06-28,308556,2465,857,3975,170,0,220,415,105,0,0
2015-06-29,347563,2655,1105,4098,176,0,238,80,224,0,0
2015-06-30,340275,3163,1537,1410,172,0,123,106,100,0,0
2015-07-01,84075,3014,1479,11338,149,0,125,105,219,0,0
2015-07-02,113215,2855,916,4296,350,0,108,56,182,0,0
2015-07-03,232878,2624,925,864,406,0,167,63,152,0,0
2015-07-04,135284,2044,571,711,391,0,158,46,20,0,0
2015-07-05,166065,1995,435,1614,399,0,62,24,76,0,0
2015-07-06,211313,2567,770,10412,240,0,34,92,76,0,0
2015-07-07,145251,2712,910,10392,166,0,133,112,210,0,0
2015-07-08,39716,2556,1095,3902,151,0,123,74,120,0,0
2015-07-09,54114,2597,1034,1570,256,0,98,81,264,0,0
2015-07-10,53073,3273,885,1535,171,0,24,61,155,0,0
2015-07-11,44320,2470,538,740,169,0,80,58,50,0,0
2015-07-12,62815,2518,593,977,202,0,55,41,25,0,0
2015-07-13,54728,4142,856,1877,333,0,258,68,97,0,0
2015-07-14,41319,1082,1009,2174,336,0,168,67,73,0,3
2015-07-15,54107,2650,923,2635,139,0,157,102,185,0,0
2015-07-16,93088,2560,638,2013,198,0,119,219,208,0,0
2015-07-17,62856,2317,828,1648,246,0,82,194,230,0,0
2015-07-18,127029,1782,621,906,186,0,60,50,34,0,0
2015-07-19,135069,1615,598,755,157,0,50,37,62,0,0
2015-07-20,210990,2976,666,2017,295,0,110,62,176,0,0
2015-07-21,154932,3005,710,2556,309,0,118,141,217,0,0
2015-07-22,185350,2833,793,3389,250,0,173,81,83,0,0
2015-07-23,79080,2416,661,2385,192,0,203,55,87,0,0
2015-07-24,83787,2967,787,1835,259,0,94,32,102,0,0
2015-07-25,247232,1927,549,1315,76,0,39,40,68,0,2
2015-07-26,304179,2019,452,1774,135,0,66,19,47,0,0
2015-07-27,252927,2754,524,1323,295,0,215,41,224,0,0
2015-07-28,112374,3008,604,1800,417,0,64,116,263,0,0
2015-07-29,10010,3023,595,2059,269,0,57,118,211,0,0
2015-07-30,4845,2892,604,2037,358,0,68,105,93,0,1
2015-07-31,2471,2213,606,1610,320,0,58,216,52,0,0
