title
"Number of Jobs Ended: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[TACC RANGER] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[NCSA FORGE] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[LONI QUEENBEE] Number of Jobs Ended","[NCSA LINCOLN] Number of Jobs Ended","[PSC POPLE] Number of Jobs Ended","[TACC SPUR] Number of Jobs Ended","[SDSC DASH] Number of Jobs Ended","[NCSA EMBER*] Number of Jobs Ended","[IU BIGRED*] Number of Jobs Ended","[NCAR FROST] Number of Jobs Ended"
2011-08-13,35080,14765,556,864,272,55,510,519,0,13,96,42,42,3,9,0,0,0
2011-08-14,2312,10259,1356,656,217,396,543,0,0,19,222,50,32,2,14,0,0,0
2011-08-15,7908,16257,1546,883,422,0,260,372,0,21,97,99,32,6,9,1,0,0
2011-08-16,3510,15923,1177,1187,591,0,1334,335,0,51,118,65,65,3,8,2,0,0
2011-08-17,4974,17270,2505,932,1107,51,1689,237,0,6,86,75,1,5,28,26,0,0
2011-08-18,2060,11621,2299,1147,620,747,777,344,4,16,213,53,59,7,8,25,0,0
2011-08-19,1446,12692,1280,1098,536,422,428,49,0,15,193,130,40,3,7,5,0,0
2011-08-20,896,14950,2493,641,565,455,418,21,0,24,111,88,41,0,2,7,0,0
2011-08-21,1284,13538,1929,955,344,496,364,40,0,32,134,42,37,2,9,2,0,4
2011-08-22,1909,14103,1678,861,597,509,855,56,0,79,27,86,60,4,9,4,0,2
2011-08-23,4191,14744,4528,277,613,785,1089,32,3,50,92,133,51,2,17,6,0,11
2011-08-24,3369,13734,7846,1090,564,775,793,110,16,35,37,41,80,2,14,2,0,9
2011-08-25,3068,12473,5181,999,655,664,1028,11,0,25,15,95,71,6,22,9,0,17
2011-08-26,2241,14244,4121,576,643,541,821,128,0,44,31,81,39,1,16,3,0,9
2011-08-27,1754,13696,1765,793,498,241,632,274,0,23,7,52,15,1,7,7,0,4
2011-08-28,3054,12975,1149,663,417,371,173,211,0,6,44,43,0,0,7,6,0,0
2011-08-29,3293,9285,1351,1387,720,465,558,129,0,13,86,51,61,6,2,5,0,3
2011-08-30,4550,7822,1982,1376,989,145,443,111,0,51,65,76,36,3,1,12,0,6
2011-08-31,2949,4287,2999,1528,609,551,179,250,0,40,115,53,21,2,4,1,0,0
2011-09-01,2217,4753,1281,1232,719,214,332,21,0,36,187,108,1,2,0,0,0,0
2011-09-02,3905,3552,2194,1268,461,605,226,26,0,35,98,93,0,9,5,0,0,0
2011-09-03,4376,6762,2338,940,515,148,212,3,0,48,47,42,0,2,3,1,0,0
2011-09-04,3917,4548,3507,938,307,604,182,11,0,43,25,41,0,1,7,0,0,0
2011-09-05,2779,3064,3088,1140,173,483,110,109,0,34,50,38,9,0,4,0,0,0
2011-09-06,2842,3169,843,1422,443,475,220,197,0,28,129,44,3,6,6,4,0,0
2011-09-07,4315,2514,1143,1342,608,464,279,103,0,41,178,76,1,5,3,9,2,0
2011-09-08,2452,2212,493,1131,34,540,486,19,0,42,117,52,13,9,0,16,0,0
2011-09-09,927,4421,647,1367,1,66,450,22,0,40,107,76,11,19,0,1,0,0
2011-09-10,3608,9370,1780,665,125,305,172,5,0,50,127,68,3,7,17,0,0,0
2011-09-11,4946,3948,2328,779,224,200,153,49,0,26,81,75,0,8,0,0,3,0
2011-09-12,3081,1112,1705,1081,647,586,496,34,0,41,87,67,6,8,0,1,0,0
2011-09-13,5167,1859,1186,1576,582,726,543,41,0,64,77,68,76,8,0,0,0,0
2011-09-14,3387,2596,1478,1190,467,572,338,18,0,101,51,58,2,5,0,0,0,0
2011-09-15,5370,3421,2464,1628,505,484,277,115,0,100,140,92,1,6,0,1,0,0
2011-09-16,5381,4218,2088,1202,344,442,256,17,0,64,36,59,0,0,0,10,0,0
2011-09-17,6206,4306,1211,1068,308,400,207,4,0,70,18,50,0,2,0,0,0,0
2011-09-18,9938,4440,4197,755,135,0,166,8,0,74,13,48,0,7,0,0,0,0
2011-09-19,14731,4512,2898,1224,83,126,335,30,0,67,18,49,0,9,0,0,0,0
2011-09-20,12578,4029,1576,1444,447,22,188,55,5,57,19,50,0,8,1,2,0,0
2011-09-21,13091,4915,1478,868,357,0,238,86,2,37,49,26,0,5,0,7,0,0
2011-09-22,3582,4496,1662,1098,321,226,214,49,24,54,56,44,0,9,0,4,0,0
2011-09-23,1722,9200,1950,1086,468,545,208,57,29,37,48,44,0,5,0,11,0,0
2011-09-24,492,6594,813,944,210,409,176,24,1,41,29,37,0,6,0,0,0,0
2011-09-25,574,7625,1682,809,320,189,133,14,0,36,20,35,0,12,0,0,0,0
2011-09-26,1433,3702,3450,1120,396,370,247,2,32,33,50,50,13,4,0,0,0,0
2011-09-27,404,5921,1223,1411,512,495,264,83,28,47,34,103,6,3,0,0,0,0
2011-09-28,1226,4719,2089,1426,268,729,210,232,20,39,51,85,16,1,0,0,0,0
2011-09-29,10643,3042,283,1228,502,422,260,216,71,25,40,28,13,13,0,0,0,0
2011-09-30,21525,2490,843,1286,349,756,588,114,61,33,17,142,0,8,0,0,0,0
2011-10-01,10526,6237,729,520,191,460,211,7,16,12,7,31,8,1,0,0,0,0
2011-10-02,37618,4717,793,961,127,350,433,10,67,1,26,29,8,16,0,0,0,0
2011-10-03,20254,2947,1797,1015,439,259,161,30,160,8,14,28,10,3,1,0,0,0
2011-10-04,18020,3243,2143,168,662,0,101,115,73,0,27,39,11,0,0,0,0,0
2011-10-05,36355,7081,1919,1270,306,37,698,105,19,9,16,53,10,7,0,0,0,0
2011-10-06,19604,5199,1476,1194,300,309,355,77,26,7,17,25,14,6,0,0,0,0
2011-10-07,19679,3416,1594,1222,454,307,240,243,18,5,18,27,0,2,1,0,0,0
2011-10-08,16333,6455,1126,1018,1007,289,282,7,2,6,5,15,0,1,0,0,0,0
2011-10-09,11437,9129,2258,1026,1080,22,359,183,0,1,1,13,0,3,0,0,0,0
2011-10-10,8414,9195,1973,1225,241,254,158,139,1,4,1,13,23,15,0,0,0,0
2011-10-11,5588,5945,1997,1095,336,0,0,20,3,18,9,72,0,14,0,0,0,0
2011-10-12,8707,4429,2359,1206,727,0,456,98,26,11,11,6,0,6,1,0,0,0
2011-10-13,11563,3357,1377,1812,792,44,581,103,38,55,29,40,0,3,0,0,0,0
2011-10-14,14021,2072,711,1445,758,434,1123,14,50,13,7,8,0,11,0,0,0,0
2011-10-15,8757,6261,638,1327,546,282,252,5,42,4,9,13,0,2,0,0,0,0
2011-10-16,11856,10586,1797,957,254,261,147,8,67,3,4,10,0,1,0,0,0,0
2011-10-17,33079,10641,1788,1431,380,0,202,10,89,6,11,7,0,7,0,0,0,0
2011-10-18,37751,2872,1199,460,32,26,355,102,42,32,13,0,0,4,0,0,0,0
2011-10-19,38411,489,1618,908,387,389,478,20,54,12,4,0,1,7,0,0,0,0
2011-10-20,3437,2261,1103,1033,369,94,534,11,57,18,0,0,0,10,0,0,0,0
2011-10-21,3706,13735,1302,585,592,442,415,37,45,23,1,0,0,1,0,0,0,0
2011-10-22,5469,8340,1416,710,287,196,234,20,48,13,2,0,0,0,0,0,0,0
2011-10-23,9306,1040,1145,576,281,75,93,21,70,20,1,0,0,2,0,0,0,0
2011-10-24,12589,2440,1915,1073,691,457,141,148,43,11,3,0,1,10,1,0,0,0
2011-10-25,5990,6456,1552,897,975,453,228,104,75,28,17,0,1,3,0,0,0,0
2011-10-26,13495,3922,1183,1219,446,0,372,103,50,2,18,0,1,5,3,0,0,0
2011-10-27,8852,7610,1122,1235,711,70,358,28,44,7,36,0,0,1,3,0,0,0
2011-10-28,10705,1120,1263,1341,549,514,287,29,63,3,24,0,0,5,9,0,0,0
2011-10-29,8819,1080,1593,943,428,304,151,5,53,4,8,0,0,5,2,0,0,0
2011-10-30,7041,2109,1831,2617,446,422,181,24,112,2,11,0,0,0,2,0,0,0
2011-10-31,7603,2040,1946,3171,652,662,388,0,115,3,14,0,0,6,5,0,0,0
2011-11-01,5187,1393,2360,2313,534,60,306,177,70,5,14,0,0,8,1,0,0,0
2011-11-02,6836,1340,1959,1444,836,89,159,148,179,6,18,0,0,8,0,0,0,0
2011-11-03,6824,2640,2005,1183,678,459,407,32,27,3,0,0,0,20,0,0,0,0
2011-11-04,4676,1940,2128,995,627,414,394,153,116,12,3,0,0,2,0,0,0,0
2011-11-05,6177,380,2248,865,332,294,126,23,68,6,5,0,0,5,1,0,0,0
2011-11-06,7993,3240,1135,1231,37,329,140,17,42,7,6,0,0,4,0,0,0,0
2011-11-07,9502,3540,491,628,385,392,422,12,79,23,1,0,0,6,2,0,0,0
2011-11-08,4375,4605,789,1218,889,75,403,47,64,22,8,0,0,4,9,0,0,0
2011-11-09,3636,1461,2102,1318,530,602,244,36,69,33,6,0,0,9,7,0,0,0
2011-11-10,3964,329,703,1356,653,100,273,36,45,44,6,0,0,6,0,0,0,0
2011-11-11,5457,225,2470,1455,783,347,387,34,46,47,8,0,0,3,0,0,0,0
2011-11-12,5536,2047,1769,1157,342,360,332,27,31,13,4,0,0,6,0,0,0,0
2011-11-13,6121,3402,2119,1234,339,353,290,30,178,10,6,0,0,1,0,0,0,0
2011-11-14,4672,3204,1828,1546,438,82,389,36,28,3,13,0,0,0,0,0,0,0
2011-11-15,6550,6750,1939,1236,385,494,601,62,24,13,37,0,0,5,0,0,0,0
2011-11-16,5318,5655,2026,1255,573,426,646,39,29,9,11,0,0,4,0,0,0,0
2011-11-17,4488,8046,1165,1242,720,477,349,35,65,9,5,0,0,3,5,0,0,0
2011-11-18,2378,11696,879,723,1527,0,145,54,58,5,11,0,0,4,9,0,0,0
2011-11-19,3473,3963,1201,945,444,62,6,117,33,2,17,0,0,2,1,0,0,0
2011-11-20,2688,5934,979,932,422,312,38,70,45,1,26,0,0,2,0,0,0,0
2011-11-21,2742,18280,1005,936,1115,271,150,159,47,16,19,0,0,3,0,0,0,0
2011-11-22,6981,46485,1028,1013,1167,408,188,43,75,71,14,0,0,2,0,0,0,0
2011-11-23,4163,53678,1198,1066,1082,341,225,63,54,26,4,0,0,0,0,0,0,0
2011-11-24,3812,54846,397,965,678,304,144,57,31,1,9,0,0,0,0,0,0,0
2011-11-25,8645,43226,587,793,1189,0,105,22,57,2,8,0,0,0,0,0,0,0
2011-11-26,10157,43233,633,875,1264,41,63,120,75,1,4,0,0,2,0,0,0,0
2011-11-27,1537,36129,1217,514,785,290,169,120,28,2,15,0,0,19,0,0,0,0
2011-11-28,3915,19067,1316,688,544,316,345,270,42,5,26,0,0,6,0,0,0,0
2011-11-29,3200,661,1281,402,560,295,197,256,86,27,20,0,0,0,0,0,0,0
2011-11-30,9848,1031,1037,1168,686,0,245,140,80,21,17,0,0,4,0,0,0,0
2011-12-01,7169,30,1504,933,582,63,615,309,44,47,16,0,0,1,0,0,0,0
2011-12-02,6578,48,1186,869,366,608,552,161,170,6,12,0,0,3,16,0,0,0
2011-12-03,4426,25,1046,938,231,559,170,112,41,7,39,0,0,0,16,0,0,0
2011-12-04,2630,25,1548,570,43,0,229,202,27,5,40,0,0,0,0,0,0,0
2011-12-05,6283,1737,1564,935,350,29,462,249,57,21,25,0,0,0,0,0,0,0
2011-12-06,3224,4569,2748,775,566,473,391,99,63,62,12,0,0,2,4,0,0,0
2011-12-07,3637,3187,2583,1219,1074,334,142,70,70,47,21,0,0,1,0,0,0,0
2011-12-08,4800,30,736,833,987,405,391,29,19,9,9,0,0,1,4,0,0,0
2011-12-09,4308,24,1654,1067,490,88,366,37,45,2,7,0,0,1,0,0,0,0
2011-12-10,2034,25,1022,1230,450,633,327,34,29,0,6,0,0,0,1,0,0,0
2011-12-11,4077,24,1395,1011,246,445,311,50,32,4,4,0,0,2,11,0,0,0
2011-12-12,10006,24,1620,780,486,503,301,36,60,19,10,0,0,2,8,0,0,0
2011-12-13,8753,24,1182,792,479,89,246,69,37,60,2,0,0,1,7,0,0,0
2011-12-14,7306,24,2016,942,458,531,342,152,84,71,40,0,0,4,4,0,0,0
2011-12-15,6495,28,1114,714,693,571,145,189,29,49,14,0,0,5,1,0,0,0
2011-12-16,4930,157,1771,822,286,796,177,203,35,19,2,0,0,3,0,0,0,0
2011-12-17,6383,24,1243,750,669,374,99,988,20,3,0,0,0,0,0,0,0,0
2011-12-18,5494,27,1187,578,514,277,92,651,9,120,0,0,0,3,0,0,0,0
2011-12-19,3754,57,2047,826,579,572,149,272,45,362,11,0,0,10,0,0,0,0
2011-12-20,10580,94,1803,1192,394,438,145,105,101,115,1,0,0,19,0,0,0,0
2011-12-21,2704,68,1716,1009,602,510,105,21,11,124,17,0,0,41,0,0,0,0
2011-12-22,1365,43,465,913,52,48,70,72,25,178,7,0,0,44,0,0,0,0
2011-12-23,2547,4,546,779,331,329,75,113,84,18,5,0,0,61,0,0,0,0
2011-12-24,2525,44,518,588,192,38,70,292,54,6,3,0,0,41,0,0,0,0
2011-12-25,1841,24,722,627,144,218,44,307,46,0,7,0,0,0,0,0,0,0
2011-12-26,1672,25,725,772,634,344,111,194,49,0,2,0,0,0,0,0,0,0
2011-12-27,1434,0,705,1118,57,648,125,286,25,0,2,0,0,0,0,0,0,0
2011-12-28,4286,44,983,1515,408,328,144,357,41,0,7,0,0,0,0,0,0,0
2011-12-29,1681,29,1085,764,24,499,120,246,12,4,10,0,0,41,0,0,0,0
2011-12-30,495,2325,958,1002,326,634,60,142,25,16,35,0,0,20,0,0,0,0
2011-12-31,788,24,2225,663,128,419,130,294,26,2,3,0,0,0,0,0,0,0
2012-01-01,1677,24,1406,755,150,408,57,44,9,1,0,0,0,0,0,0,0,0
2012-01-02,1966,675,4083,722,558,570,74,115,11,1,35,0,0,0,0,0,0,0
2012-01-03,784,252,4675,60,608,499,66,164,54,112,7,0,0,0,0,0,0,0
2012-01-04,857,40,3351,0,714,0,149,79,47,38,40,0,0,0,0,0,0,0
2012-01-05,671,224,911,479,876,165,166,168,30,26,58,0,0,0,3,0,0,0
2012-01-06,1551,49,5329,854,723,617,177,65,52,43,94,0,0,2,0,0,0,0
2012-01-07,731,4615,4472,823,479,294,169,244,15,146,12,0,0,0,3,0,0,0
2012-01-08,500,912,3917,664,371,1149,128,300,31,202,12,0,0,0,9,0,0,0
2012-01-09,445,456,9675,717,1933,458,202,36,71,5,35,0,0,1,4,0,0,0
2012-01-10,457,7921,4069,135,2338,0,158,281,71,6,31,0,0,0,0,0,0,0
2012-01-11,2918,38,4615,1018,1835,54,72,59,18,14,6,0,0,3,3,0,0,0
2012-01-12,7976,2743,4549,943,1063,386,169,164,42,26,8,0,0,3,0,0,0,0
2012-01-13,5039,804,4992,1012,1179,523,180,200,40,76,2,0,0,6,0,0,0,0
2012-01-14,5212,621,3727,704,918,395,115,38,18,97,1,0,0,0,0,0,0,0
2012-01-15,2497,953,4235,863,666,32,133,57,32,52,0,0,0,0,0,0,0,0
2012-01-16,2730,726,4550,1208,625,623,153,264,21,16,4,0,0,1,0,0,0,0
2012-01-17,1533,472,3744,755,1264,514,158,54,35,35,2,0,0,3,0,0,0,0
2012-01-18,1467,620,3622,1111,2092,620,189,74,141,21,2,0,0,3,0,0,0,0
2012-01-19,1387,107,701,1377,1532,535,148,60,294,18,1,0,0,4,0,0,0,0
2012-01-20,1940,3301,1839,962,1265,469,210,38,1223,102,0,0,0,0,0,0,0,0
2012-01-21,1587,44,2452,915,773,334,266,19,801,38,0,0,0,0,0,0,0,0
2012-01-22,227,33,1588,655,652,335,252,10,39,17,1,0,0,0,0,0,0,0
2012-01-23,4056,1024,1662,1132,505,682,238,26,129,15,20,0,0,1,0,0,0,0
2012-01-24,3247,25,3209,1398,633,63,171,30,30,317,0,0,0,24,0,0,0,0
2012-01-25,2135,28,2898,1292,1085,516,166,60,44,29,2,0,0,9,2,0,0,0
2012-01-26,1870,25,130,1121,957,70,195,87,41,18,1,0,0,3,2,0,0,0
2012-01-27,6617,24,656,1248,718,818,213,229,51,14,0,0,0,23,0,0,0,0
2012-01-28,5941,24,473,868,433,619,141,64,34,17,0,0,0,32,0,0,0,0
2012-01-29,4355,24,681,875,557,316,104,48,52,1,5,0,0,29,22,0,0,0
2012-01-30,4661,424,1376,1331,635,445,121,57,56,30,2,0,0,38,8,0,0,0
2012-01-31,3531,28,1458,1258,916,86,40,112,65,41,0,0,0,3,3,0,0,0
---------
