Day,[PURDUE STEELE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[NCSA FORGE] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended
2012-03-07,3277,1416,320,2900,2176,77,359,484,136,39,61,2,9,0,0
2012-03-08,2981,229,111,2158,2425,122,0,230,189,32,49,2,4,0,0
2012-03-09,12429,781,105,1733,1916,48,24,241,123,26,25,0,20,0,0
2012-03-10,13167,659,44,1645,1103,55,314,190,74,19,395,37,8,0,0
2012-03-11,13467,502,58,403,976,8,379,256,73,22,128,30,14,0,0
2012-03-12,10394,1108,1388,1310,1202,52,119,368,86,17,206,12,50,0,0
2012-03-13,1537,1063,2763,2745,1151,459,406,512,147,33,280,3,12,0,0
2012-03-14,2793,1991,40,2663,1178,78,523,377,84,31,157,3,6,0,0
2012-03-15,3950,1670,1931,1955,1544,69,0,352,112,24,39,9,17,0,0
2012-03-16,2796,973,320,1947,1402,82,0,299,126,19,144,18,20,0,0
2012-03-17,6882,762,107,1513,1136,64,45,275,102,13,108,5,33,0,0
2012-03-18,4324,720,44,2662,1117,57,345,210,231,8,21,9,55,0,0
2012-03-19,8083,1322,106,2767,1098,77,0,495,92,24,27,13,3,0,0
2012-03-20,16186,1376,5618,1516,1258,54,71,450,246,131,11,7,12,0,0
2012-03-21,16928,1354,68,1401,1860,454,673,120,309,184,43,8,64,0,0
2012-03-22,8229,1362,201,2301,1464,355,530,234,380,145,23,36,61,0,0
2012-03-23,7429,1217,101,2388,1454,267,0,188,88,76,15,3,68,0,0
2012-03-24,5793,680,20,798,1559,521,166,288,59,48,7,2,11,0,0
2012-03-25,19202,1070,28,1033,2025,696,586,596,45,9,12,0,18,0,0
2012-03-26,20455,1736,145,1529,1817,546,647,276,36,40,49,2,11,0,0
2012-03-27,7335,1720,2422,1291,2204,430,89,92,59,39,54,8,6,0,0
2012-03-28,5444,1857,513,915,2636,309,458,289,460,47,50,15,3,0,0
2012-03-29,4907,1470,4004,1064,2567,511,479,728,196,17,59,8,6,0,0
2012-03-30,6240,2093,804,1260,2705,794,349,936,48,16,34,7,4,0,0
2012-03-31,16732,57,194,1234,2396,554,0,322,68,9,0,2,4,0,0
2012-04-01,45686,334,36,2055,1608,405,103,448,27,21,0,4,0,0,0
2012-04-02,7316,1036,133,1703,1446,5822,789,183,19,160,0,0,0,0,0
2012-04-03,5592,2188,2085,1661,1216,649,482,279,52,165,50,1,0,0,0
2012-04-04,4534,1692,191,1375,1386,1837,410,223,35,181,52,2,0,0,0
2012-04-05,4869,1894,78,1156,1673,4263,350,156,107,161,13,5,0,0,0
2012-04-06,5279,2579,1114,1136,1289,3758,13,230,55,51,18,1,0,0,0
2012-04-07,6895,1425,3469,368,1285,301,179,148,73,105,26,1,0,0,0
2012-04-08,15693,1145,88,1537,970,619,226,97,27,94,12,3,0,0,0
2012-04-09,6209,1688,6522,1015,1502,316,313,137,79,125,41,2,0,0,0
2012-04-10,8256,1898,16208,1404,1416,444,339,254,130,132,94,3,0,0,0
2012-04-11,4756,1703,3107,1939,1470,290,450,197,42,16,37,4,0,0,0
2012-04-12,4950,4835,10281,1309,996,371,621,149,119,111,27,5,0,0,0
2012-04-13,6484,5289,6171,560,1349,221,0,195,119,102,17,2,0,0,0
2012-04-14,10817,3709,12788,383,656,152,88,201,60,101,52,0,0,0,0
2012-04-15,3234,2598,12834,510,820,64,408,71,50,122,12,0,0,0,0
2012-04-16,1262,6178,6033,1084,1338,441,359,0,92,106,87,1,0,0,0
2012-04-17,6296,6938,4327,719,78,707,45,297,130,0,53,0,0,0,0
2012-04-18,4098,5110,3987,709,1028,529,464,177,88,68,76,3,0,0,0
2012-04-19,8317,3642,5196,720,1474,457,453,147,99,113,44,3,0,0,0
2012-04-20,5342,3955,9840,959,1337,698,351,181,93,127,39,3,0,0,0
2012-04-21,9325,2048,8277,468,1446,503,319,115,70,106,9,1,0,0,0
2012-04-22,6031,2136,3508,582,1327,518,48,133,63,54,11,0,0,0,0
2012-04-23,3593,3920,5432,858,1549,653,300,155,80,139,35,0,0,0,0
2012-04-24,9434,5742,4327,737,0,279,0,219,89,0,30,0,0,0,0
2012-04-25,7674,5188,6719,834,0,2507,0,203,75,0,36,0,0,0,0
2012-04-26,6017,4118,44,750,0,2895,0,185,108,0,36,0,0,0,0
2012-04-27,5965,2219,16,1147,0,854,0,203,90,0,34,0,0,0,0
2012-04-28,5799,1213,14,1499,0,1676,0,124,388,0,59,0,0,0,0
2012-04-29,794,2035,20,1308,0,1121,0,143,21,0,19,0,0,0,0
2012-04-30,1206,4693,6,1473,0,859,0,185,131,0,101,0,0,0,0
2012-05-01,1358,4846,46,1728,0,1031,0,210,60,0,77,0,0,0,0
2012-05-02,7586,3166,429,1612,191,1378,0,185,76,5,31,0,0,0,0
2012-05-03,4262,3894,939,1577,1527,955,0,182,43,123,13,4,0,0,0
2012-05-04,1758,4514,779,977,1312,988,0,182,105,149,12,8,0,0,0
2012-05-05,3797,2254,1198,2314,1290,670,121,212,24,73,14,0,0,0,0
2012-05-06,3580,3298,774,1594,1532,453,441,156,48,57,3,1,0,0,0
2012-05-07,2778,5206,10080,697,1296,681,491,416,39,36,32,2,0,0,0
2012-05-08,3890,5515,7470,1013,570,496,360,452,78,41,19,0,0,0,0
2012-05-09,7095,7750,1713,2034,1446,478,409,214,58,40,23,1,0,0,0
2012-05-10,10124,5297,7677,2265,1222,289,385,234,116,35,29,3,0,0,0
2012-05-11,6246,3037,9624,1058,875,863,373,304,69,35,15,4,0,0,0
2012-05-12,2984,1731,1817,595,1245,950,237,111,29,31,6,2,0,0,0
2012-05-13,3612,3782,1720,856,1165,1058,209,130,35,63,3,0,0,0,0
2012-05-14,2876,4246,4119,1056,1022,427,328,202,40,58,7,1,0,0,0
2012-05-15,32,3081,142,2367,1260,1285,355,194,51,88,5,4,0,0,0
2012-05-16,0,3550,0,636,1253,968,464,234,49,54,13,1,0,0,0
2012-05-17,1673,3306,0,1597,1235,849,419,195,62,37,13,3,0,0,0
2012-05-18,1571,4031,3111,909,998,587,370,254,181,64,4,2,0,0,0
2012-05-19,121,1064,3067,1430,694,936,251,110,41,34,3,0,0,0,0
2012-05-20,128,5717,4255,771,1214,663,284,117,29,34,17,0,0,0,0
2012-05-21,286,6961,2041,523,1301,325,488,166,47,56,35,10,0,0,0
2012-05-22,4972,4258,2071,755,222,997,398,117,78,25,27,3,0,0,0
2012-05-23,4339,5638,5879,1021,1381,347,392,138,151,35,36,7,0,0,0
2012-05-24,9566,7057,2507,1017,1336,1152,322,151,258,42,34,4,0,0,0
2012-05-25,4730,5391,1052,3150,1275,649,270,117,40,39,46,10,0,0,0
2012-05-26,2807,7457,1325,1103,1225,72,344,133,24,5,17,5,0,0,0
2012-05-27,4757,6232,4442,26,1392,0,418,104,11,6,9,17,0,0,0
2012-05-28,5196,4833,460,1874,1505,0,508,89,83,9,7,1,0,0,0
2012-05-29,5300,4660,21117,5070,1463,0,151,276,75,33,15,1,0,0,0
2012-05-30,7093,149,12704,4063,1156,113,381,111,129,17,23,1,0,0,0
2012-05-31,9007,8432,903,3437,1079,830,316,210,81,21,41,0,0,0,0
2012-06-01,6100,6289,2332,5802,930,425,372,199,72,24,13,0,0,0,0
2012-06-02,5728,3616,4779,2763,959,657,279,115,33,25,9,0,0,0,0
2012-06-03,4478,7857,5940,2226,1057,579,268,85,81,15,8,0,0,0,0
2012-06-04,4300,6051,10095,2505,1075,526,367,134,399,36,26,0,0,0,0
2012-06-05,2217,5929,1000,2555,1510,1006,397,159,278,81,10,0,0,0,0
2012-06-06,4697,9480,3434,896,1343,952,509,176,323,65,25,0,0,0,0
2012-06-07,7204,12232,3799,1069,1576,1057,331,168,355,57,25,42,0,0,0
2012-06-08,5732,8830,3460,574,1192,1143,309,144,302,81,81,1,0,0,0
2012-06-09,4831,8306,4228,1113,1217,879,273,96,309,31,26,3,0,0,0
2012-06-10,3231,5831,3220,1889,856,973,288,200,327,7,16,0,0,0,0
2012-06-11,5542,2554,3004,2055,940,1429,338,187,326,40,37,0,0,0,0
2012-06-12,4600,4107,2464,1728,1105,1286,371,158,306,67,41,0,0,0,0
2012-06-13,5201,5590,2853,1863,1202,954,397,121,437,85,58,0,0,0,0
2012-06-14,4576,4883,5590,7444,999,1835,341,403,518,53,51,2,0,0,0
2012-06-15,4478,6390,4823,3535,1254,1571,353,153,574,84,48,9,0,0,0
2012-06-16,4585,8973,3996,4917,1130,2436,306,351,281,27,16,4,0,0,0
2012-06-17,4947,12770,3521,5435,1018,1294,405,294,214,15,15,4,0,0,0
2012-06-18,5496,7762,4683,6178,1480,434,455,242,87,452,39,7,0,0,0
2012-06-19,8446,469,3201,908,1338,935,494,171,217,274,8,4,0,0,0
2012-06-20,7038,2256,4270,3008,1648,794,519,286,158,576,25,0,0,0,0
2012-06-21,7202,2708,2803,985,1388,1049,551,104,111,200,33,1,0,0,0
2012-06-22,5790,3988,709,1014,1912,713,634,110,159,357,26,6,0,0,0
2012-06-23,4970,4026,1563,515,1418,2043,589,128,153,431,14,0,0,0,0
2012-06-24,5122,3156,1882,761,1331,788,645,209,166,105,19,1,0,0,0
2012-06-25,10538,3951,1240,611,1578,1000,604,245,196,117,22,6,0,0,0
2012-06-26,12839,3314,978,1117,1432,1107,568,315,167,111,16,0,0,0,0
2012-06-27,10534,1178,207,1204,1546,1611,524,87,141,119,37,0,0,0,0
2012-06-28,20209,1372,438,1072,1631,1983,481,135,143,62,74,7,0,0,0
2012-06-29,16677,3958,2843,1007,1282,1271,747,342,77,130,96,44,0,0,0
2012-06-30,14087,7094,3298,1180,1261,554,657,98,21,82,57,64,0,0,0
2012-07-01,6421,2432,238,856,998,404,517,101,111,33,19,6,0,0,0
2012-07-02,5668,3989,295,1739,1845,907,662,199,148,115,123,2,0,0,0
2012-07-03,4852,2554,186,1680,1430,1785,707,185,96,142,34,0,0,0,0
2012-07-04,8436,2827,440,858,1371,1517,856,85,56,73,15,1,0,0,0
2012-07-05,4040,1910,161,912,1441,841,674,193,140,81,20,4,0,0,0
2012-07-06,6129,2561,80,765,1910,1122,751,139,131,36,60,20,0,0,0
2012-07-07,5992,2248,120,808,1253,556,849,103,54,6,4,73,0,0,0
2012-07-08,2374,2721,60,607,1037,242,776,108,136,13,22,20,0,0,0
2012-07-09,3046,4889,460,718,2082,606,728,210,139,9,55,14,0,0,0
2012-07-10,573,3207,1281,1098,1669,779,539,158,127,56,37,2,0,0,0
2012-07-11,337,2715,266,1592,1501,813,518,214,88,49,22,7,0,0,0
2012-07-12,176,3027,280,781,1251,1318,588,193,66,42,92,7,0,8,0
2012-07-13,1004,2373,237,1289,1613,1027,604,98,25,29,57,7,0,8,0
2012-07-14,2212,2519,180,463,801,650,537,61,38,9,13,48,0,11,0
2012-07-15,4048,1989,60,421,887,295,647,104,65,4,12,6,0,3,0
2012-07-16,6680,3089,49,466,1156,655,594,167,132,17,62,4,0,32,0
2012-07-17,4046,2784,700,583,1527,1007,602,118,26,31,62,14,0,3,0
2012-07-18,2178,4236,2060,1124,1778,1447,755,217,75,32,32,11,0,3,0
2012-07-19,3996,2016,260,3306,1464,1237,423,110,98,13,54,35,0,0,0
2012-07-20,3572,2970,342,2777,1177,1804,412,77,116,19,21,7,0,0,0
2012-07-21,6234,2449,280,720,1160,863,370,129,130,18,23,2,0,0,0
2012-07-22,9152,2207,400,786,1062,663,437,116,101,12,11,0,0,0,0
2012-07-23,4864,3223,1540,782,1153,1078,612,120,222,14,41,6,0,0,0
2012-07-24,3461,2178,5792,630,1442,1156,81,134,366,49,48,4,0,0,0
2012-07-25,2058,4708,5960,776,1525,2382,378,243,306,30,16,9,0,0,0
2012-07-26,1212,2003,6021,672,1419,1219,482,327,286,19,24,3,0,0,0
2012-07-27,1805,1977,4738,878,1475,1091,500,267,218,13,12,6,0,0,0
2012-07-28,1799,2290,1403,866,1255,410,314,188,275,30,2,0,0,1,0
2012-07-29,2130,1861,1217,857,1395,171,371,177,102,19,32,1,0,5,0
2012-07-30,4736,3023,1937,1394,1512,1505,383,131,141,4,5,2,0,12,0
2012-07-31,6034,3225,1537,2591,404,1629,810,255,177,7,49,5,0,7,0
