title
"Number of Jobs Ended: by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[TACC RANGER] Number of Jobs Ended","[NICS ATHENA] Number of Jobs Ended","[NCSA ABE] Number of Jobs Ended","[NCSA EMBER*] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[LONI QUEENBEE] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[NCSA LINCOLN] Number of Jobs Ended","[PSC POPLE] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[NCAR FROST] Number of Jobs Ended","[IU BIGRED*] Number of Jobs Ended","[ORNL NSTG] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[TACC SPUR] Number of Jobs Ended","[SDSC DASH] Number of Jobs Ended"
2011-04-14,6809,352,1243,217,883,718,770,282,523,1562,111,136,74,17,26,35,44,57,7,5
2011-04-15,4662,313,816,173,904,382,22,508,698,156,168,810,92,14,170,128,40,53,1,5
2011-04-16,3144,60,5890,92,504,92,0,433,353,236,159,645,70,10,138,39,52,39,0,5
2011-04-17,3094,40,2619,71,138,115,0,323,52,225,101,705,89,0,109,49,51,6,0,1
2011-04-18,3808,20,1591,145,937,310,0,23,276,191,162,205,147,31,91,31,31,53,9,8
2011-04-19,4020,21,2709,118,904,535,0,495,163,189,224,225,134,20,70,90,28,89,13,6
2011-04-20,3880,140,189,191,825,1675,0,574,47,135,282,128,144,32,47,25,55,91,17,0
2011-04-21,9036,326,148,321,594,1091,0,458,422,189,429,54,222,51,39,52,49,97,2,2
2011-04-22,7105,197,268,119,661,1628,0,332,371,216,149,69,51,8,43,27,52,60,3,1
2011-04-23,9586,2,296,283,0,732,0,177,0,177,82,49,44,19,43,25,51,0,0,3
2011-04-24,13575,60,998,296,119,630,0,229,32,181,73,45,29,25,58,33,48,14,1,1
2011-04-25,30552,0,1208,245,981,394,0,243,430,218,122,59,102,26,89,18,48,80,1,13
2011-04-26,31947,47,1216,251,1072,1157,0,184,471,222,169,211,236,15,48,31,45,139,4,55
2011-04-27,21445,59,349,536,1167,3590,0,233,462,173,180,1157,231,29,35,34,44,177,3,20
2011-04-28,24053,59,46,663,1111,2406,0,619,504,540,185,153,122,1,29,23,46,73,3,2
2011-04-29,12524,2466,718,1062,985,513,0,269,135,727,82,131,103,27,25,17,49,115,3,0
2011-04-30,3936,1481,8,800,1171,2,0,181,561,251,49,100,53,3,36,19,906,121,3,0
2011-05-01,684,849,612,950,1220,1408,0,378,487,193,60,70,58,7,29,21,51,113,1,1
2011-05-02,2098,7156,1065,644,844,2093,0,230,459,180,73,390,117,16,37,281,42,72,4,0
2011-05-03,2157,6434,1017,1037,781,2402,0,292,76,190,128,471,152,22,30,137,39,74,3,0
2011-05-04,6975,6817,1521,619,921,2180,0,312,214,235,82,950,47,44,18,480,11,86,16,7
2011-05-05,15837,5833,765,467,1202,2313,0,346,292,258,82,114,108,44,21,84,0,97,6,12
2011-05-06,35830,46,449,687,802,4022,0,631,351,300,133,229,86,126,9,75,13,70,3,31
2011-05-07,17315,24,447,1271,862,2553,0,927,384,231,62,78,57,7,8,39,40,86,3,1
2011-05-08,23316,24,1007,654,1394,2066,0,1283,445,201,37,193,97,20,9,36,46,97,1,0
2011-05-09,57157,24,1757,281,1113,2017,0,745,949,233,79,476,59,13,23,243,46,83,24,1
2011-05-10,13740,24,1134,474,822,2434,0,1164,707,285,423,512,82,26,92,569,51,59,15,11
2011-05-11,34270,24,1920,418,986,2876,0,389,978,356,111,598,82,38,107,440,48,77,9,6
2011-05-12,44087,281,601,474,1091,2358,0,342,1027,317,391,125,113,61,14,31,49,110,5,4
2011-05-13,22015,3225,214,521,956,400,0,343,902,225,253,137,186,19,8,305,50,86,6,1
2011-05-14,23549,6757,612,1255,841,202,0,642,291,447,579,92,109,16,32,21,47,73,1,0
2011-05-15,22472,6742,1862,403,835,2170,0,565,287,212,311,144,149,13,32,77,48,78,1,0
2011-05-16,19280,413,2096,269,1034,2206,0,332,615,158,102,110,112,47,21,28,49,86,8,0
2011-05-17,12606,2889,1673,433,820,2388,0,666,1032,170,110,158,103,80,4,265,3963,92,22,16
2011-05-18,10045,16,1688,405,1077,2245,0,305,517,138,67,102,57,28,3,354,3028,104,20,16
2011-05-19,2762,1029,1429,288,864,2477,0,316,780,321,89,82,55,59,29,20,35,89,10,8
2011-05-20,11069,1377,1185,540,773,540,0,600,420,259,101,65,114,224,32,67,45,103,15,6
2011-05-21,13601,217,1144,418,551,178,0,668,118,348,87,65,80,24,42,84,50,84,15,5
2011-05-22,11592,24,894,344,894,2110,0,315,419,230,88,61,46,10,21,19,50,82,0,1
2011-05-23,7684,24,1226,55,1034,2354,0,614,605,397,93,69,60,20,38,76,48,57,22,0
2011-05-24,5000,55,1156,1157,1144,2188,0,346,60,452,4,51,9,18,30,148,49,95,29,0
2011-05-25,4249,42,1397,4153,1366,2422,0,412,305,259,41,54,9,31,26,54,43,102,22,27
2011-05-26,6569,36,469,3323,1181,2160,0,321,71,257,104,70,81,62,37,16,54,91,5,12
2011-05-27,8011,28,1107,5234,1087,2611,0,375,524,473,169,56,41,49,16,88,48,81,1,4
2011-05-28,11168,24,1662,4356,684,325,0,229,244,256,66,115,58,51,21,0,46,81,0,21
2011-05-29,5195,39,3756,2709,730,2152,0,310,380,240,61,71,52,60,6,0,42,18,3,0
2011-05-30,13064,203,4372,3875,715,2421,0,912,575,66,61,78,89,89,0,26,50,38,2,0
2011-05-31,14244,363,1847,1805,856,2523,0,420,475,399,83,105,89,99,13,67,49,71,6,4
2011-06-01,14161,1365,1457,343,909,2564,0,348,542,374,83,87,77,98,26,30,49,77,2,3
2011-06-02,12881,3311,250,425,1004,2406,0,567,562,497,151,86,158,60,9,7,40,70,2,0
2011-06-03,13453,9863,27,2570,675,241,0,583,462,437,469,58,83,61,33,5,36,82,18,0
2011-06-04,11603,2506,348,347,490,910,0,451,384,707,137,79,78,28,2,12,36,34,2,0
2011-06-05,16554,9414,1444,761,633,2151,0,350,284,443,94,87,110,130,9,12,36,49,0,0
2011-06-06,11860,3440,1373,1209,725,2534,0,554,18,11,192,65,131,61,6,163,36,115,11,0
2011-06-07,6796,10024,1318,5562,1007,2440,0,915,116,0,143,60,279,99,23,74,48,34,4,0
2011-06-08,9992,5504,1154,1223,960,2264,0,470,104,57,391,124,132,53,28,29,56,139,5,0
2011-06-09,9083,1479,1205,662,1127,2198,0,334,788,167,392,88,139,118,19,45,55,95,6,0
2011-06-10,6631,9689,1439,4797,1180,340,0,364,519,308,348,60,154,152,14,21,60,88,4,1
2011-06-11,4773,44,963,9795,1116,196,0,161,0,64,82,61,108,339,19,92,58,46,9,1
2011-06-12,4924,26,1254,7691,980,200,0,625,162,113,136,51,92,55,2,23,58,90,7,3
2011-06-13,8152,234,1451,5371,1138,1149,0,653,760,499,454,67,91,143,15,37,58,53,8,2
2011-06-14,10692,27,2707,6431,111,640,0,448,57,244,266,90,77,125,23,54,53,19,1,7
2011-06-15,30466,299,2041,7088,596,115,0,549,411,517,165,51,103,120,49,107,39,79,6,8
2011-06-16,8847,557,110,5304,855,227,0,263,0,600,240,108,71,87,14,29,52,73,30,1
2011-06-17,6829,2260,339,2253,707,473,0,288,53,469,162,81,74,137,5,46,33,61,17,4
2011-06-18,4776,35,326,581,815,645,0,340,383,181,75,53,53,46,15,25,63,74,0,5
2011-06-19,2822,66,641,446,1088,1396,0,284,223,229,126,55,35,135,7,39,56,56,0,2
2011-06-20,4914,1238,1070,436,146,552,0,292,44,193,150,81,111,233,11,26,53,66,0,21
2011-06-21,5055,2351,1024,544,992,836,0,612,1041,318,134,95,87,370,25,23,57,100,3,8
2011-06-22,5709,988,1410,821,785,176,0,462,528,183,123,53,127,215,4,402,54,105,10,4
2011-06-23,11657,281,1046,872,854,663,0,1238,630,306,106,115,115,304,8,735,60,78,1,2
2011-06-24,30675,2058,821,1334,910,475,0,389,0,276,58,82,467,351,0,196,55,43,1,0
2011-06-25,17109,1219,598,1036,1065,115,0,125,109,245,35,37,78,268,0,22,55,23,0,2
2011-06-26,17599,252,769,4185,1006,78,0,154,398,130,59,0,35,225,10,184,55,22,1,0
2011-06-27,8263,1023,677,672,1006,128,0,469,0,175,194,16,46,374,1,29,52,81,1,1
2011-06-28,10982,2758,1444,1345,266,423,0,400,127,331,90,41,113,336,4,522,61,3,0,1
2011-06-29,9430,1474,442,263,924,120,0,233,535,236,148,107,87,680,5,71,54,38,8,1
2011-06-30,9796,675,187,423,959,188,0,738,494,187,86,75,46,269,8,67,55,43,4,0
2011-07-01,5153,835,371,364,1095,426,0,554,0,156,97,102,39,222,2,35,48,89,2,1
2011-07-02,3104,412,684,327,1028,1829,0,222,0,138,73,48,39,16,1,35,36,75,11,0
2011-07-03,21522,84,1233,473,1127,1102,0,295,77,128,46,48,70,7,2,32,37,31,1,0
2011-07-04,6201,83,790,304,950,114,0,436,506,136,50,17,64,108,1,40,36,55,6,1
2011-07-05,9427,2403,1167,344,917,157,0,450,517,154,619,130,65,162,3,74,34,61,15,0
2011-07-06,7597,24,1991,425,680,70,0,874,34,143,194,55,73,158,23,58,38,54,2,9
2011-07-07,2152,1022,497,454,644,178,0,953,562,247,161,90,78,412,1,104,36,23,2,0
2011-07-08,3380,1139,519,377,817,633,0,504,418,141,136,23,64,576,2,60,38,55,3,2
2011-07-09,763,24,943,165,951,149,0,526,197,145,64,3,84,318,2,651,35,40,0,0
2011-07-10,2667,34,1209,213,1433,172,0,534,29,111,64,6,52,361,1,46,36,23,0,1
2011-07-11,3050,2204,2177,339,1025,389,0,454,429,154,309,10,203,39,1,36,34,68,5,0
2011-07-12,2930,1211,2162,404,896,296,0,226,27,125,231,67,94,27,3,359,34,74,11,3
2011-07-13,2659,2858,1329,1313,1102,783,0,569,490,135,112,244,226,403,6,360,33,72,25,0
2011-07-14,3758,2662,1085,4622,862,156,0,460,453,134,436,2120,96,556,6,45,26,62,10,3
2011-07-15,1775,1429,955,567,863,422,0,282,464,96,311,45,114,486,1,52,37,64,8,0
2011-07-16,181,541,911,2903,754,2152,0,289,178,140,162,174,41,369,3,47,38,41,1,0
2011-07-17,184,70,1681,2144,655,2430,0,211,0,74,245,340,28,115,6,48,37,33,1,0
2011-07-18,2686,2541,1220,715,986,97,0,205,35,120,289,931,118,259,4,80,37,76,2,3
2011-07-19,1726,1268,1045,680,940,15,0,493,409,246,12,311,71,108,3,42,38,61,14,0
2011-07-20,14603,34929,1115,1897,785,69,0,437,361,472,149,71,62,222,2,28,37,59,5,8
2011-07-21,1778,2587,2312,3403,946,40,0,648,417,281,94,95,42,470,8,19,38,91,3,8
2011-07-22,1293,637,1545,2560,767,42,0,192,321,152,102,85,37,387,1,18,37,59,20,10
2011-07-23,380,24,2200,2741,581,38,0,297,58,217,3,45,4,59,1,6,38,58,1,6
2011-07-24,405,325,3205,1805,749,166,0,385,261,97,23,54,9,180,1,8,37,83,1,20
2011-07-25,1200,2045,1768,5160,982,0,0,718,47,261,181,96,22,336,1,11,37,92,20,3
2011-07-26,4211,38,1736,5361,1117,0,0,1284,345,140,235,172,37,326,1,5,39,73,6,16
2011-07-27,11064,3464,2239,3371,1158,0,0,1514,346,121,207,174,111,421,2,5,38,57,5,0
2011-07-28,10681,556,1130,614,1068,0,0,1319,515,176,348,77,67,170,1,7,38,65,10,8
2011-07-29,2929,1011,1687,268,911,0,0,1148,387,115,30,101,1,231,1,7,39,62,10,2
2011-07-30,1251,236,1401,263,729,0,0,421,376,78,0,127,0,4,1,6,38,59,2,3
2011-07-31,2239,503,1526,289,741,0,0,229,367,64,90,46,34,65,1,9,15,49,3,7
---------
