Day,[PURDUE STEELE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[TACC STAMPEDE] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[NCSA FORGE] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended
2012-09-09,3133,3428,2758,424,779,2004,240,0,68,55,12,27,57,0
2012-09-10,4354,3481,4603,2761,1193,566,518,0,60,49,7,42,135,0
2012-09-11,4890,3009,3456,3441,1270,702,397,0,93,66,0,95,37,1
2012-09-12,4698,2153,6731,3411,1368,759,528,0,165,58,5,56,90,4
2012-09-13,10284,2283,891,3325,1071,852,290,0,146,72,0,22,90,0
2012-09-14,5420,2691,3177,3232,0,1299,0,0,301,0,1,39,75,0
2012-09-15,6020,2789,2576,5321,1,2244,71,0,223,20,3,6,133,0
2012-09-16,2230,3481,2449,1628,741,3730,235,0,317,63,14,6,63,0
2012-09-17,5921,2785,500,3314,847,1384,388,0,394,65,18,9,60,3
2012-09-18,8267,2858,489,3631,932,763,553,0,540,99,2,10,67,50
2012-09-19,8764,3538,448,4825,1377,1114,436,0,344,96,4,23,56,33
2012-09-20,10220,2498,508,2842,1204,1035,349,0,171,85,6,92,121,7
2012-09-21,7694,3184,165,1856,1115,677,365,0,279,88,16,73,73,4
2012-09-22,10801,1642,82,552,991,1739,333,0,225,65,6,22,60,0
2012-09-23,9001,2002,38,750,704,936,317,0,191,65,6,28,54,0
2012-09-24,5665,2725,30,699,1041,1568,443,0,200,89,7,336,87,5
2012-09-25,6650,2739,30,2911,1165,861,520,0,173,63,11,555,50,7
2012-09-26,8393,2908,17,992,1073,1210,421,0,152,63,31,48,71,7
2012-09-27,9194,4713,100,656,671,677,437,0,200,92,32,25,21,5
2012-09-28,9025,3432,750,1115,1287,1203,416,0,250,48,12,33,52,0
2012-09-29,12000,3108,2154,391,1013,215,309,0,181,68,8,6,11,1
2012-09-30,5758,1901,796,348,907,397,372,0,179,49,4,8,1,2
2012-10-01,9146,2696,431,673,1581,359,503,0,224,103,20,0,0,0
2012-10-02,13215,3167,24,1169,1268,508,200,0,424,101,18,24,0,0
2012-10-03,11181,2491,923,954,1431,596,360,0,523,70,36,55,0,2
2012-10-04,5616,2685,16555,2353,1153,430,623,0,189,57,21,35,0,0
2012-10-05,5524,2233,27071,541,1128,421,507,0,213,69,28,36,0,0
2012-10-06,8173,2458,13856,868,928,337,309,0,280,48,16,19,0,0
2012-10-07,6704,3194,20,959,1243,451,485,0,156,46,40,25,0,0
2012-10-08,3446,2674,17947,4379,981,948,361,0,296,51,31,23,0,0
2012-10-09,6023,1702,24832,4727,1047,1089,871,0,246,61,16,53,0,0
2012-10-10,6649,2357,13698,3145,1011,873,922,0,158,68,14,68,0,0
2012-10-11,4614,1211,8080,1845,925,518,503,0,152,70,16,28,0,3
2012-10-12,6619,2954,5948,770,676,537,639,0,240,82,28,37,0,1
2012-10-13,8656,3882,2070,637,818,982,205,0,209,37,18,15,0,0
2012-10-14,9847,2955,415,470,1116,281,44,0,200,5,34,21,0,0
2012-10-15,9241,2194,2838,1079,1092,402,533,0,226,45,7,71,0,3
2012-10-16,3837,3538,2574,1018,679,676,484,0,159,77,469,38,0,1
2012-10-17,4185,2379,1912,1216,1427,417,447,0,161,29,304,58,0,0
2012-10-18,8243,2883,3129,1230,1935,477,650,0,187,72,17,66,0,2
2012-10-19,10282,2115,3932,1471,1713,444,463,0,184,39,40,53,0,0
2012-10-20,9317,2080,3080,1417,1312,887,267,0,223,60,47,68,0,1
2012-10-21,10901,2553,856,594,1133,550,359,0,205,35,45,36,0,0
2012-10-22,7717,3258,3064,374,1346,75,368,0,241,39,34,15,0,2
2012-10-23,2231,2494,6431,2854,1786,3034,256,0,205,72,13,18,0,4
2012-10-24,2012,2795,313,2590,1249,3576,557,0,136,62,28,10,0,3
2012-10-25,3338,3860,520,2916,953,1222,477,0,100,61,30,34,0,1
2012-10-26,3092,2972,236,1372,995,818,430,0,103,59,33,13,0,15
2012-10-27,8787,2814,52,827,1676,570,355,0,74,55,9,8,0,67
2012-10-28,5951,2612,24,974,1362,534,358,0,111,39,12,26,0,24
2012-10-29,5149,3656,24,1905,1694,561,588,0,156,45,8,65,0,56
2012-10-30,8694,3209,2807,1704,943,1195,397,0,108,64,5,19,0,1
2012-10-31,10017,3863,704,2301,1263,464,436,0,148,48,33,75,0,0
2012-11-01,10716,540,104,1710,734,521,599,0,137,60,44,66,0,10
2012-11-02,9488,979,488,3798,570,447,545,0,126,67,34,48,0,0
2012-11-03,9328,2305,20,2934,539,343,408,0,81,71,30,10,0,0
2012-11-04,10370,3934,4,5250,1193,256,542,0,80,69,15,15,0,0
2012-11-05,8849,2891,2842,1046,1275,556,697,0,290,61,28,42,0,0
2012-11-06,13686,2103,7450,4434,1538,443,625,0,258,63,21,69,0,0
2012-11-07,7949,2476,6721,2936,1200,192,481,0,80,38,26,97,0,0
2012-11-08,8668,1910,8733,1074,1539,273,488,0,46,30,45,40,0,2
2012-11-09,8053,2566,2471,2552,1129,593,549,0,52,64,38,25,0,3
2012-11-10,9380,2257,3570,1280,1176,539,405,0,46,94,13,7,0,0
2012-11-11,6794,2447,1324,976,1425,541,556,0,66,59,35,14,0,0
2012-11-12,7325,3015,887,1328,1159,648,531,0,153,57,37,51,0,0
2012-11-13,9387,2318,318,3196,1109,649,676,0,193,45,24,37,0,24
2012-11-14,10221,2140,698,3462,1011,707,679,0,203,53,44,79,0,10
2012-11-15,8067,2743,1203,1666,1063,714,563,0,377,36,22,72,0,0
2012-11-16,7047,1629,28,872,921,811,911,0,273,40,23,38,0,0
2012-11-17,5484,194,123,1082,1384,374,1986,0,184,85,24,23,0,0
2012-11-18,11212,2137,47,740,926,398,321,0,213,55,8,35,0,0
2012-11-19,9892,2223,1010,1320,1183,371,360,0,449,77,155,12,0,1
2012-11-20,9222,2030,39,1679,1316,1608,311,0,417,86,102,85,0,7
2012-11-21,8652,2062,32,2335,1343,3793,311,0,196,63,58,39,0,7
2012-11-22,7005,1616,24,1993,843,6000,172,0,111,38,51,19,0,0
2012-11-23,5514,1422,24,655,784,303,715,0,270,23,24,36,0,0
2012-11-24,7575,1586,24,1105,1052,4220,693,0,501,43,6,18,0,2
2012-11-25,9426,1728,511,1090,858,3885,1445,0,104,82,17,25,0,0
2012-11-26,10313,2274,666,1885,879,3648,586,0,145,122,41,33,0,0
2012-11-27,4124,2403,15363,2232,362,2898,521,0,136,67,82,63,0,0
2012-11-28,14068,770,10000,2416,1141,570,762,0,102,38,129,70,0,11
2012-11-29,10856,499,6956,3342,1338,1516,568,0,108,117,30,51,0,11
2012-11-30,19595,1271,17653,659,1082,881,774,0,250,122,44,33,0,6
2012-12-01,15964,1991,0,975,1033,482,400,0,282,111,48,33,0,0
2012-12-02,9941,1843,3,1053,959,1386,742,0,367,51,76,72,0,0
2012-12-03,10618,1538,4,1412,1220,1095,1931,0,318,65,67,29,0,0
2012-12-04,9781,897,0,2016,852,868,1302,0,278,115,25,41,0,3
2012-12-05,5071,2700,0,2740,1187,681,1388,0,277,41,44,59,0,2
2012-12-06,16838,1309,67,1142,1332,450,1387,0,239,71,35,23,0,0
2012-12-07,13916,1639,73,4052,1201,441,1166,0,193,66,56,16,0,5
2012-12-08,4758,1258,4800,3798,695,241,484,0,132,66,56,20,0,4
2012-12-09,6327,1549,1,1832,565,277,734,0,110,62,79,21,0,2
2012-12-10,8191,1375,7,4055,694,392,1810,0,121,70,63,14,0,0
2012-12-11,5252,1729,34,7618,1273,1140,1472,0,220,58,41,24,0,0
2012-12-12,6389,1558,6753,6405,1146,2162,868,0,257,59,98,24,0,2
2012-12-13,3740,1752,1295,2834,1379,2907,1548,0,309,42,132,13,0,1
2012-12-14,3929,1876,5763,3545,1235,2253,1850,0,237,51,155,27,0,1
2012-12-15,4519,815,1203,443,1075,1305,1925,0,110,35,69,17,0,0
2012-12-16,8637,1349,0,4358,826,1570,986,0,140,32,78,19,0,0
2012-12-17,6062,2396,42,1601,1191,314,878,0,213,35,208,30,0,0
2012-12-18,5137,2414,71,1226,1210,234,432,0,237,54,117,48,0,2
2012-12-19,6964,3104,365,778,921,163,546,0,114,24,48,31,0,11
2012-12-20,7420,957,4,675,843,228,308,0,141,43,34,10,0,0
2012-12-21,14822,1332,9,686,872,187,409,0,297,37,53,2,0,1
2012-12-22,5778,2490,33,457,775,154,419,0,73,23,49,5,0,4
2012-12-23,3646,2061,24,1357,841,193,581,0,124,11,64,21,0,1
2012-12-24,5004,1234,1023,1014,678,196,257,0,75,10,36,14,0,2
2012-12-25,3863,1763,24,301,747,156,343,0,83,20,49,15,0,1
2012-12-26,6978,2479,55,724,1119,307,456,0,81,24,72,14,0,0
2012-12-27,5580,1344,27,847,1049,370,283,0,121,29,89,9,0,1
2012-12-28,2865,1408,24,678,1001,276,209,0,96,27,109,36,0,1
2012-12-29,1173,1140,125,454,964,104,150,0,34,24,7,44,0,14
2012-12-30,0,1377,0,268,852,131,252,0,81,54,15,27,0,20
2012-12-31,0,933,0,435,815,91,170,0,37,42,29,21,0,7
2013-01-01,0,1137,0,625,740,120,209,0,44,34,69,14,0,0
2013-01-02,0,1462,0,2472,960,203,293,0,112,39,133,46,0,0
2013-01-03,0,1889,0,1284,1543,320,407,0,122,76,165,60,0,0
2013-01-04,1411,1980,2,651,1225,376,524,0,73,83,186,55,0,0
2013-01-05,4730,1907,0,363,1434,202,377,0,78,23,97,27,0,0
2013-01-06,2737,1560,0,1439,811,352,386,0,184,37,144,28,0,0
2013-01-07,4196,2489,196,3029,1290,376,424,7,191,52,264,40,0,0
2013-01-08,2313,2531,15,2135,1352,417,382,718,260,15,146,39,0,0
2013-01-09,3704,2742,146,3017,1557,510,380,759,76,31,91,84,0,0
2013-01-10,6276,1133,369,1313,1790,476,429,841,158,48,128,111,0,0
2013-01-11,4817,2805,707,2123,2200,476,310,1676,81,50,182,100,0,0
2013-01-12,3703,1246,24,647,1440,364,182,475,77,52,73,38,0,0
2013-01-13,5328,2850,24,827,773,422,262,1402,85,49,100,33,0,0
2013-01-14,3840,3546,124,990,1340,544,319,3539,64,100,78,47,0,0
2013-01-15,5153,2992,298,1120,612,598,406,1763,81,84,243,70,0,0
2013-01-16,3492,2770,454,1074,2613,726,285,4071,109,97,203,99,0,0
2013-01-17,6746,3046,106,1169,3154,588,401,3437,73,103,166,50,0,0
2013-01-18,5168,4420,343,652,1718,418,280,3371,136,36,212,39,0,0
2013-01-19,5362,2853,234,817,2059,695,175,2174,112,23,67,19,0,0
2013-01-20,5998,2393,24,795,1554,618,309,2437,161,13,104,16,0,0
2013-01-21,4556,2641,44,942,2068,430,297,1958,98,41,146,43,0,0
2013-01-22,4864,3033,8,1171,1298,561,209,0,110,53,69,61,0,0
2013-01-23,3810,2496,560,1759,1177,582,576,1087,81,26,150,42,0,0
2013-01-24,1655,2030,455,2376,1402,545,614,4730,139,26,157,36,0,0
2013-01-25,2179,3022,1277,1502,1233,749,395,5026,85,20,105,27,0,0
2013-01-26,876,2830,68,901,1925,448,239,2967,86,6,69,33,0,0
2013-01-27,701,2594,51,1135,1758,469,235,1999,100,18,94,26,0,0
2013-01-28,755,3387,62,889,1756,272,416,2414,130,49,49,63,0,0
2013-01-29,3001,3883,1192,1229,1086,1016,529,1843,85,11,88,82,0,0
2013-01-30,5451,2730,2759,2012,1340,679,617,6840,153,40,53,101,0,0
2013-01-31,6702,2347,1156,744,1132,501,435,5570,91,57,39,90,0,0
