title
"Number of Jobs Ended: by Resource"
parameters

start,end
2016-02-01,2016-07-31
---------
Day,"[OSG] Number of Jobs Ended","[SDSC COMET] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[PSC BRIDGES] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC GREENFIELD] Number of Jobs Ended","[PSC BRIDGES LARGE] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[Stanford XSTREAM] Number of Jobs Ended"
2016-03-06,18946,1751,4129,1544,200,0,97,22,13,0,0,0
2016-03-07,70423,3170,4705,828,277,0,87,78,18,0,0,0
2016-03-08,196955,2636,4685,1286,115,0,139,165,25,0,0,0
2016-03-09,8140,6273,4982,2195,136,0,115,159,22,0,0,0
2016-03-10,16811,3051,5373,986,155,0,145,312,25,0,0,0
2016-03-11,76062,2929,5102,726,300,0,106,482,16,0,0,0
2016-03-12,74425,1610,2957,470,66,0,66,266,8,0,0,0
2016-03-13,109831,199,3553,109,70,0,99,76,28,0,0,0
2016-03-14,103690,5832,5793,610,220,0,110,170,1,0,0,0
2016-03-15,82849,8599,7176,723,296,0,92,156,35,0,0,0
2016-03-16,92446,16538,5509,856,183,0,98,99,36,0,0,0
2016-03-17,32809,11567,4957,858,235,0,83,165,27,0,0,0
2016-03-18,29846,3271,4824,860,349,0,75,142,22,0,0,0
2016-03-19,61923,2547,4194,556,541,0,40,117,17,0,0,0
2016-03-20,61230,2932,2620,556,148,0,76,99,12,0,0,0
2016-03-21,65077,11700,3246,884,228,0,106,93,17,0,0,0
2016-03-22,52975,9748,2789,968,327,0,60,254,18,0,0,0
2016-03-23,46388,5354,3576,955,285,0,159,159,13,0,0,0
2016-03-24,92765,8916,3096,975,381,0,116,166,31,0,0,0
2016-03-25,32157,18339,2541,796,203,0,102,167,20,0,0,0
2016-03-26,23727,24469,2840,415,212,0,42,82,2,0,0,0
2016-03-27,30921,8550,2645,497,174,0,75,67,25,0,0,0
2016-03-28,30492,12769,3678,996,1734,0,79,48,50,0,0,0
2016-03-29,54193,14477,2562,1385,642,0,87,91,10,0,0,0
2016-03-30,14081,24134,2441,913,493,0,114,114,14,0,0,0
2016-03-31,3232,11254,1940,1770,305,0,101,112,39,0,0,0
2016-04-01,10894,15031,3998,1009,162,0,185,69,28,0,0,0
2016-04-02,5746,22893,3074,1023,178,0,332,34,22,0,0,0
2016-04-03,63924,8676,4590,683,64,0,245,18,18,0,0,0
2016-04-04,98418,6819,3975,1270,98,0,214,149,28,0,0,0
2016-04-05,52757,6470,3893,1383,99,0,143,29,31,0,0,0
2016-04-06,28157,8382,3101,894,149,0,144,70,39,0,0,0
2016-04-07,22663,21642,3324,1167,132,0,94,134,48,0,0,0
2016-04-08,48659,27440,4271,1037,76,0,187,178,35,0,0,0
2016-04-09,22393,15771,2568,425,69,0,92,94,33,0,0,0
2016-04-10,72260,15179,2692,557,279,0,140,205,19,0,0,0
2016-04-11,59630,20214,2679,1551,213,0,133,246,24,0,3,0
2016-04-12,16006,13062,2839,1829,247,0,110,347,35,0,0,0
2016-04-13,46613,7795,2814,835,233,0,80,255,54,0,0,0
2016-04-14,45603,10216,2572,809,282,0,168,132,37,0,0,0
2016-04-15,40370,5944,2726,965,168,0,217,53,50,0,0,0
2016-04-16,79003,6046,2029,476,42,0,45,44,12,0,0,0
2016-04-17,124476,23232,2822,464,62,0,26,42,39,0,0,0
2016-04-18,80992,13764,3287,802,130,0,0,42,77,0,0,0
2016-04-19,64148,7435,4592,852,178,0,59,113,54,0,0,0
2016-04-20,100963,9987,4451,1728,278,0,306,192,45,0,0,0
2016-04-21,38787,16251,4570,955,333,0,89,160,27,0,0,0
2016-04-22,41846,21651,3816,732,318,0,214,69,28,0,0,0
2016-04-23,145069,9713,963,749,0,0,114,55,14,0,0,0
2016-04-24,142900,9930,3183,894,0,0,54,64,6,0,0,0
2016-04-25,145361,10740,4109,929,13,0,53,83,49,0,0,0
2016-04-26,71997,14428,5144,1250,908,0,148,72,0,0,0,0
2016-04-27,78150,15278,4750,850,422,0,105,94,13,0,0,0
2016-04-28,76172,15219,5651,1141,199,0,74,62,10,0,0,0
2016-04-29,62326,17362,4918,769,452,0,475,36,11,0,0,0
2016-04-30,178274,18548,3083,781,111,0,221,33,5,0,0,0
2016-05-01,201541,21356,4895,714,2232,0,80,39,0,0,0,0
2016-05-02,304623,15252,6297,1117,6249,0,195,29,20,0,1,0
2016-05-03,314352,11036,1783,876,343,0,405,47,24,0,0,0
2016-05-04,143209,9086,4575,1025,576,0,175,60,38,0,0,0
2016-05-05,99180,13593,4036,784,930,0,59,40,19,0,0,0
2016-05-06,161750,12368,4640,876,692,0,67,73,1,0,0,0
2016-05-07,158095,14128,2725,648,301,0,59,50,6,0,0,0
2016-05-08,317283,17212,2909,664,916,0,60,77,0,0,0,0
2016-05-09,243760,14296,3433,849,949,0,102,84,3,0,0,0
2016-05-10,255092,18226,3878,1064,806,0,64,69,9,0,0,0
2016-05-11,242875,18781,3952,905,1217,0,36,61,27,0,0,0
2016-05-12,141779,20526,3594,1233,614,0,57,34,35,0,0,0
2016-05-13,133639,19555,4145,1266,586,0,26,36,16,0,0,0
2016-05-14,129893,5572,2696,562,145,0,47,25,12,0,0,0
2016-05-15,158597,5350,4039,601,571,0,42,27,10,0,0,0
2016-05-16,178288,5743,4662,942,1431,0,110,41,4,0,0,0
2016-05-17,192211,7132,5033,1239,486,0,39,53,12,0,0,0
2016-05-18,125798,6982,3497,1310,1094,0,120,133,15,0,0,0
2016-05-19,135554,10633,4065,2238,822,0,264,120,6,0,0,0
2016-05-20,120625,4843,3644,1389,472,0,145,96,8,0,0,0
2016-05-21,77128,2860,2375,1049,3,0,49,23,3,0,0,0
2016-05-22,90317,5774,3935,887,553,0,162,18,1,0,0,0
2016-05-23,75200,5608,4288,602,1097,0,87,28,2,0,0,0
2016-05-24,42059,5852,4885,831,925,0,169,45,2,0,0,0
2016-05-25,63325,5413,4162,1002,930,0,113,54,25,0,0,0
2016-05-26,59252,6491,3325,1604,819,0,148,98,18,0,0,0
2016-05-27,122805,6228,3492,813,351,0,40,79,19,0,0,0
2016-05-28,67731,3173,2223,469,82,0,49,71,2,0,0,0
2016-05-29,82920,5049,3228,523,667,0,43,60,4,0,0,0
2016-05-30,80949,3616,4321,1283,789,0,98,129,3,0,0,0
2016-05-31,59328,3656,3748,736,962,0,71,88,9,0,0,0
2016-06-01,58540,3725,3926,758,659,0,98,163,41,0,0,0
2016-06-02,71819,9197,4000,916,973,0,41,90,40,0,0,0
2016-06-03,74191,6869,3497,814,638,0,64,221,53,0,0,0
2016-06-04,102159,6152,1953,709,103,0,45,129,13,0,0,0
2016-06-05,45868,6470,2979,766,189,0,125,71,18,0,0,0
2016-06-06,103843,6186,2586,1399,279,0,89,183,43,0,0,0
2016-06-07,105362,5764,2541,1014,348,0,46,249,30,0,0,0
2016-06-08,94427,4454,2156,1233,247,0,31,192,17,0,0,0
2016-06-09,97118,6178,1656,1003,125,0,45,111,16,0,0,0
2016-06-10,142238,4666,2323,712,53,0,6,43,19,0,0,0
2016-06-11,70558,1334,1743,468,197,0,47,138,6,0,0,0
2016-06-12,61215,5026,2108,589,102,0,52,81,6,0,0,0
2016-06-13,199318,12278,2811,1157,157,0,69,72,5,0,0,0
2016-06-14,68374,7205,2337,1007,160,0,24,100,11,0,0,0
2016-06-15,102671,6545,2330,1060,815,0,259,83,17,0,0,0
2016-06-16,96510,8123,1860,1276,1176,0,85,91,15,0,0,0
2016-06-17,119871,8831,1860,950,631,0,118,216,15,0,0,0
2016-06-18,158622,9711,2232,418,111,0,75,134,9,0,0,0
2016-06-19,213454,1292,1695,283,1271,0,78,47,30,0,0,0
2016-06-20,207201,3321,2652,758,1075,0,245,62,9,0,0,0
2016-06-21,85814,7083,2679,796,1626,0,281,80,16,0,0,0
2016-06-22,67835,10710,3434,709,1670,309,178,89,23,1,0,0
2016-06-23,75469,5846,2235,705,1940,479,94,60,51,0,0,0
2016-06-24,86398,5666,2522,1110,698,858,27,99,22,16,0,0
2016-06-25,114075,4282,1925,445,132,390,23,75,4,8,0,0
2016-06-26,84035,1577,2309,479,991,411,51,59,12,4,0,0
2016-06-27,28739,3737,3249,806,1195,928,107,88,22,2,0,1
2016-06-28,0,3769,2595,716,1202,1314,103,44,27,9,0,0
2016-06-29,96091,3894,2649,827,790,510,103,96,18,8,0,0
2016-06-30,47963,3455,2915,579,36,550,67,73,30,9,0,0
2016-07-01,40917,14998,3203,691,0,743,76,95,19,8,0,0
2016-07-02,43919,17878,1729,324,0,274,49,30,14,14,0,11
2016-07-03,64672,17211,2097,264,0,247,57,46,2,14,0,0
2016-07-04,67741,10888,2271,283,0,348,65,42,4,9,0,0
2016-07-05,107118,22204,2769,532,0,127,119,76,16,2,0,0
2016-07-06,103942,7712,2584,631,0,150,5,103,13,0,0,0
2016-07-07,114871,8337,2636,708,0,0,0,121,16,0,0,0
2016-07-08,44928,6137,2307,811,0,247,0,103,7,18,0,0
2016-07-09,43373,10452,1883,459,0,358,0,65,0,1,0,0
2016-07-10,81030,14516,2018,548,0,236,0,92,29,3,0,0
2016-07-11,82357,7137,3307,749,0,308,0,77,6,21,0,0
2016-07-12,51511,8348,3496,692,0,462,0,91,23,21,0,3
2016-07-13,23092,9396,3775,1046,0,884,0,78,22,18,0,0
2016-07-14,18595,11131,3945,1055,0,1085,0,80,7,9,0,0
2016-07-15,28846,14644,2984,614,0,1386,0,70,8,15,0,0
2016-07-16,32763,9130,2356,354,0,1470,0,86,7,7,0,0
2016-07-17,18817,11944,2051,395,0,736,0,58,0,26,0,0
2016-07-18,59116,8232,3825,726,0,1141,0,56,2,5,0,0
2016-07-19,71055,386,1831,745,0,3326,0,100,3,14,0,0
2016-07-20,53718,6131,2487,1031,0,1157,0,93,14,24,0,0
2016-07-21,43803,11583,4019,1731,0,830,6,59,4,15,0,0
2016-07-22,85991,8960,11661,901,0,498,37,66,4,20,0,0
2016-07-23,131353,14669,3641,636,0,722,69,62,14,40,0,0
2016-07-24,128657,11932,1903,476,0,1007,91,85,0,11,0,0
2016-07-25,167693,9451,6192,940,0,1141,861,44,0,8,0,0
2016-07-26,86676,11768,9610,836,0,1687,496,82,2,15,0,0
2016-07-27,58149,6140,9609,802,0,582,589,48,2,56,0,0
2016-07-28,49770,14396,422,928,0,1105,202,1,1,49,0,2
2016-07-29,117997,10953,971,1486,0,97,66,15,9,0,0,1
2016-07-30,149290,13887,2319,515,0,0,227,48,0,0,0,0
2016-07-31,273950,5240,2287,208,0,907,425,40,0,4,0,3
---------
